barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
185.04985,184.717546939,11575.0483946,367.73388,185.04985,185.433710739,11659.4673065,371.49892,168.79471,177.237040952,13442.3722709,368.13879,-16.4675,-16.8181157324,24.6478245092,56.556,0.03263,0.0479177848101,0.00427776473063,0.90941,-22.689,-23.0562224231,18.6063374731,48.455,173.280365,177.740916872,10315.4123782,372.90948,185.04985,185.434883039,11678.8040857,372.11323,40.4155,39.8983942134,20.4437139459,51.846,-107.4795,-103.272820072,1625.30607246,413.533,-22.465,-19.7344792043,1609.51436871,238.944,-6.3665,-4.4887875226,613.600570044,321.616,2.0995,0.0298670886076,812.501607703,215.944,-27.9925,-23.7706627486,565.557909636,262.334,15.369,15.9034855335,1019.82084805,196.272,-18.2745,-17.8517640145,355.083247958,192.127,-4.098,-5.45271609403,601.008906813,175.743,-4.449,-6.35637522604,308.063359645,121.902,5.612,6.37167902351,131.880889654,110.087,2.0315,2.09301898734,456.243939552,137.597,0.134,0.229832730561,0.060850699869,0.998,0.4075,0.505374321881,0.118625979232,0.993,0.1405,0.290974683544,0.115880541855,0.998,0.096,0.133787522604,0.0193863138045,0.959,0.146,0.28346925859,0.0996806975179,0.995,0.079,0.127587703436,0.0214151121092,0.979,0.164,0.355622061483,0.143154616656,0.998,0.055,0.0960352622061,0.0172664246155,0.998,0.153,0.273258589512,0.083746027164,0.997,0.217,0.352598553345,0.107941768316,0.992,0.053,0.122314647378,0.0303851071453,0.997,0.1425,0.271345388788,0.0949956691333,0.997,4.0,6.0,0.0,368.123,378.3571,0.589,0.0,0.0,-13.443,95.112,0.714728372426
113.062545,113.021668125,4299.8731414,225.20676,114.07705,114.035980089,4319.35572605,227.25767,86.69426,108.892001429,6932.6746256,221.01743,-5.465,-7.36832615385,49.3352188105,59.339,0.03875,0.0459835589744,0.000767121996872,0.3002,-18.304,-19.7836317949,80.8288356419,55.257,107.12848,109.930586759,4185.79456409,227.59415,113.95278,113.909218875,4319.38014278,227.51695,48.085,46.9352687179,48.2741898396,55.922,34.875,37.4556164103,1776.83738038,344.636,-20.681,-19.0247835897,2312.29544006,319.459,17.667,20.1514830769,2045.23233227,336.649,20.538,19.7931579487,1135.01960591,220.946,2.027,6.7852,1581.66709617,301.97,14.881,14.0275774359,638.617834911,161.79,-1.356,-0.283021538462,624.543434319,173.924,-6.818,-6.75016615385,301.806903275,133.33,3.231,3.23756615385,560.198108701,159.919,-2.273,-1.66790871795,540.745359141,162.861,7.333,6.90276615385,227.971189763,103.888,0.343,0.440332307692,0.1118101747,0.996,0.309,0.402332307692,0.0968922793152,0.998,0.281,0.359983589744,0.0888513904999,0.996,0.186,0.269515897436,0.0623107851319,0.998,0.247,0.403747692308,0.127780266597,0.996,0.273,0.350245128205,0.080011440425,0.994,0.233,0.287302564103,0.0499338335832,0.997,0.203,0.330651282051,0.106627864037,0.997,0.16,0.246467692308,0.0523115310075,0.993,0.194,0.359267692308,0.117056993982,0.993,0.182,0.313193846154,0.0902312475519,0.998,0.32,0.410501538462,0.0956363566643,0.991,4.0,0.0,1.0,216.085,228.88444,0.311,0.0,0.0,-4.951,118.207,0.711869820574
190.69956,191.300804366,12455.7916517,382.95651,191.61498,192.209252573,12544.9278317,385.69071,178.6557,178.22850375,14010.8414151,382.29808,-19.309,-19.178129001,28.8549110163,43.708,0.04234,0.0678103394762,0.00757239109251,0.90662,-24.341,-24.5736925315,27.4051643817,48.291,206.6122,198.789473065,12292.3664045,386.59383,191.498345,192.096345608,12544.6471354,385.91945,37.981,38.0132541222,25.6022288355,46.537,-68.342,-67.0716120272,3248.50940589,498.867,27.659,35.2249767216,3024.45510875,320.043,2.362,4.62384966052,876.254371831,220.65,-4.464,0.211488845781,1448.80348144,268.339,-22.317,-17.9677662464,575.993111444,244.11,1.123,1.30222793404,716.575212952,162.721,-2.679,-5.08620271581,358.291240674,163.373,-4.724,-4.22568671193,494.207226526,168.469,-1.693,-2.11082638215,187.804444691,109.089,4.381,4.21020659554,147.480314629,94.027,6.916,6.46773811833,596.024345247,168.685,0.084,0.199314258002,0.0661693367414,0.999,0.094,0.226523763337,0.0814483735866,0.999,0.178,0.31361299709,0.103196578648,0.998,0.103,0.152260911736,0.0208424411394,0.934,0.804,0.634957322987,0.154577959381,0.998,0.089,0.143315227934,0.0253927667807,0.997,0.14,0.234012609117,0.0661298941184,0.997,0.168,0.297155189137,0.0967233629192,0.997,0.098,0.168485935984,0.0350086028575,0.998,0.155,0.301806013579,0.101277184484,0.998,0.053,0.0896120271581,0.0159037389048,0.998,0.269,0.386039767216,0.115990435858,0.996,4.0,2.0,1.0,379.617,387.10812,2.937,0.0,0.0,-14.574,131.814,0.708008517531
122.80293,122.809864962,4908.76234289,240.93441,123.71331,123.722336034,5001.77024786,244.61041,126.44912,123.396307,5718.19416439,240.06498,-11.23,-12.687572043,47.7793024577,50.59,0.043385,0.0541202150538,0.00288682378468,1.23982,-21.042,-22.710372043,56.1855859734,50.431,118.424715,120.14339829,4797.6450871,246.18644,123.827075,123.836449451,5001.77952739,244.83988,44.439,42.9417774194,44.8138831279,51.067,36.7265,35.9400537634,1480.24439203,426.978,32.19,33.0999129032,1578.47587414,223.348,17.945,15.3191021505,1579.45119635,364.362,10.9815,9.87064193548,784.758438249,192.042,3.2905,9.12144086022,1306.22034133,274.54,5.4595,5.16511935484,411.488417361,142.285,-5.462,-4.58207956989,553.413184972,197.572,-2.127,-2.2655,282.435372773,125.283,5.1865,5.35439247312,332.524637499,113.927,-1.567,-2.63225806452,366.806684938,127.437,6.5295,5.94940752688,188.446282097,94.79,0.3945,0.508133333333,0.111718898351,0.977,0.331,0.409092473118,0.068520208653,0.976,0.369,0.411652688172,0.0570040331379,0.981,0.2075,0.29665483871,0.0491438475304,0.976,0.39,0.486451612903,0.0879383508845,0.968,0.4885,0.564689247312,0.117929734616,0.978,0.3815,0.401067741935,0.0439040244433,0.986,0.4105,0.466731182796,0.087891654619,0.96,0.283,0.327079569892,0.0415492237762,0.977,0.3325,0.39022688172,0.0794447388473,0.982,0.181,0.251069892473,0.044131690814,0.987,0.401,0.494886021505,0.0868026558261,0.991,4.0,0.0,1.0,235.857,248.24118,8.847,0.0,0.0,-9.826,131.521,0.686982048196
149.10244,148.780833472,7353.93472045,295.03358,150.17996,149.811545908,7483.26059815,298.3082,131.956545,134.373020625,8169.89877808,291.7535,-10.329,-11.4055558282,31.9193148064,48.691,0.0567,0.089997803681,0.0143850315187,1.79791,-13.855,-15.0256699387,33.39386935,52.522,130.27864,135.154464613,7395.15886755,298.76984,150.06583,149.697420015,7483.31855296,298.54353,47.895,46.7602650307,31.8861510218,50.033,-32.234,-30.5971877301,1691.25066797,243.09,57.407,56.4711877301,955.211992469,208.181,-2.906,-3.25609325153,297.397039393,161.539,27.594,31.1270944785,1026.41304098,208.035,-24.838,-24.5725165644,146.405230171,97.85,-13.085,-13.5801030675,617.786344618,161.481,-4.392,-4.00718404908,162.466871753,97.321,-2.562,-4.28311165644,577.566561353,141.014,-3.376,-4.51120490798,150.935141552,90.333,3.738,3.93793496933,81.6615799528,53.801,4.644,5.12734478528,624.32289772,158.19,0.476,0.546007361963,0.165204694424,0.992,0.1,0.160226993865,0.0262323717867,0.991,0.227,0.34743190184,0.097881980332,0.992,0.045,0.0640098159509,0.00421653241898,0.581,0.129,0.23097791411,0.066775844911,0.991,0.059,0.172494478528,0.0754107726689,0.996,0.083,0.129710429448,0.0216555210569,0.992,0.495,0.571457668712,0.125926299742,0.978,0.067,0.0919926380368,0.00935346252249,0.748,0.135,0.228280981595,0.0598403664481,0.991,0.035,0.0610355828221,0.0061748514946,0.579,0.106,0.19203190184,0.0507450983688,0.995,3.0,0.0,1.0,288.038,303.01995,4.4,0.0,0.0,-8.253,129.592,0.678254053517
143.32654,143.554617801,6977.69823549,287.20156,144.86115,145.094268995,7052.9028546,290.26777,144.86115,137.75658,8116.22069256,283.7844,-14.225,-14.331025584,15.3276363542,53.935,0.04623,0.0662878754171,0.0064190006946,0.88467,-18.011,-18.2318053393,18.9248960656,52.138,129.99914,134.81630396,6530.91304863,290.5722,144.94747,145.179723365,7044.66921032,290.43797,43.723,43.6224204672,15.6063144105,51.987,-42.493,-45.4247430478,1120.69186133,356.005,24.915,25.9618053393,1319.08432373,258.249,-7.677,-6.62357619577,468.013773568,344.396,-21.226,-20.5017953281,677.014480012,199.0,-26.082,-24.9119933259,280.976324681,290.586,16.752,18.1599721913,570.691685938,152.699,-6.95,-7.06681646274,209.068807754,163.881,12.55,13.5186685206,369.990556591,133.306,1.846,1.55757508343,182.97412034,132.551,2.853,2.76725472747,75.1603208128,71.316,16.76,17.2055828699,313.852104753,104.179,0.578,0.579651835373,0.122946645189,0.989,0.439,0.481164627364,0.119562569116,0.997,0.242,0.309464961068,0.063484606948,0.998,0.183,0.235760845384,0.0493159706137,0.997,0.294,0.398236929922,0.09054006511,0.998,0.274,0.376469410456,0.106758698452,0.997,0.243,0.354914349277,0.102133430929,0.997,0.44,0.500031145717,0.0937775229454,0.989,0.211,0.291588431591,0.0578524379529,0.991,0.336,0.431391546162,0.11317993123,0.998,0.145,0.22993214683,0.0617006171979,0.999,0.138,0.231368186874,0.0592220279534,0.996,4.0,4.0,0.0,288.311,295.70567,0.102,0.0,0.0,-11.322,117.356,0.665884191735
86.387505,83.7471107143,2410.25811933,166.14975,86.39263,85.705586747,2453.54626414,170.26547,76.062825,72.066595,2772.23565749,162.04602,-9.133,-9.47286416185,25.5786408891,59.393,0.050015,0.0598336705202,0.00130063178855,0.35093,-17.145,-18.2625982659,33.185087012,51.704,84.456895,83.9271771965,2161.80976682,170.60526,86.50713,85.8206874531,2446.97051676,170.4945,47.2915,46.5292456647,21.4303129368,53.856,-43.01,-34.5406372832,3552.82864115,368.039,4.6605,8.11010693642,2152.81620004,275.887,-4.348,2.9158699422,2009.62876282,289.491,27.6915,26.1450823699,1168.63317051,210.419,-11.067,-3.8511300578,997.303967078,206.582,6.248,6.93070953757,760.441968229,192.516,-7.333,-6.84231647399,1138.47749859,231.711,-1.2375,-0.612244219653,528.514821702,125.678,-1.981,-1.30497687861,719.58134128,176.047,-4.515,-4.34393063584,300.873767128,137.822,-4.1355,-4.12881936416,266.219435553,92.107,0.4085,0.483492774566,0.107222319312,0.99,0.267,0.362917630058,0.0913933328106,0.998,0.244,0.356838150289,0.0903251154232,0.998,0.25,0.355803468208,0.099539941144,0.996,0.408,0.477153179191,0.110299895611,0.992,0.269,0.387199421965,0.104456205896,0.992,0.195,0.283927745665,0.0703780410221,0.994,0.2245,0.336666184971,0.0839491616889,0.99,0.1645,0.25238583815,0.0573877658688,0.998,0.3405,0.444976878613,0.113003606402,0.996,0.196,0.266088150289,0.0556903491659,0.999,0.206,0.276484104046,0.0562346254699,0.997,4.0,9.0,0.0,159.382,170.73587,0.218,0.0,0.0,-5.18,88.123,0.656728650451
94.548005,94.2439017647,2947.48780265,186.09709,94.551825,94.9638847134,3005.3892258,189.73928,74.25448,74.2019142857,2887.76594787,152.11767,-9.434,-9.97617206478,15.6312058024,56.546,0.053335,0.0733846761134,0.00369290288724,0.54395,-14.1375,-15.155902834,23.6599142132,51.779,94.287415,95.4659637045,2912.67358084,190.11601,94.5457,94.9635302392,2995.77912691,189.73928,48.387,47.4416518219,15.0190425427,52.689,-30.509,-23.651062753,1866.0345922,355.937,38.891,41.0463927126,717.684560579,227.109,-1.505,-0.517740890688,910.482059245,244.985,11.6025,12.8734574899,345.67137454,149.829,-21.0935,-15.5283380567,444.171193151,175.911,-2.9195,-1.72977530364,416.395743251,113.15,-2.619,-3.08436234818,372.479040053,182.799,20.0865,20.8968279352,270.335656066,98.279,4.946,4.80371052632,210.958402768,101.658,-0.803,-0.712534412955,128.979482945,143.178,16.7365,16.842402834,255.01125754,93.282,0.333,0.467562753036,0.152502011244,0.992,0.106,0.237129554656,0.0819647322034,0.993,0.094,0.142329959514,0.025554504487,0.991,0.1395,0.281556680162,0.0979822467874,0.988,0.094,0.138064777328,0.0233860646298,0.989,0.145,0.310226720648,0.112388499205,0.99,0.0745,0.119894736842,0.0182943168549,0.883,0.1525,0.214611336032,0.0391741323411,0.991,0.249,0.446293522267,0.149758616274,0.994,0.095,0.149042510121,0.021146943537,0.972,0.098,0.258117408907,0.0962566420856,0.993,0.0995,0.186690283401,0.045787497193,0.993,3.0,5.0,0.0,190.798,190.79791,0.218,0.0,0.0,-7.616,98.835,0.655078011272
143.78655,143.767455,6885.30874354,286.00779,144.680945,144.665819453,6954.50880202,288.53214,103.885975,120.00485875,8411.27233675,283.18235,-9.7,-11.7312582375,67.5264343279,51.93,0.03306,0.0397644291188,0.000923507473563,0.42186,-20.633,-22.4862114943,68.2566124442,51.369,153.78871,146.617378077,6853.79028218,289.27256,144.68169,144.66580289,6963.16054093,288.89221,45.285,43.1322061303,60.5975789299,47.314,33.816,36.1483356322,2579.13831405,456.004,-18.451,-16.5571019157,2523.33620122,311.482,19.158,19.7220145594,1753.97773722,335.332,9.591,11.8451961686,892.791163437,197.799,-12.969,-7.0774743295,1290.46285192,299.781,3.278,3.15472796935,561.857414077,173.945,-2.025,-0.561299616858,405.629280296,212.888,-1.777,-2.1695164751,346.579935589,127.414,4.738,2.91835555556,268.106255489,134.416,3.974,6.09520689655,471.233583985,172.691,1.671,2.46933103448,192.831243543,109.427,0.444,0.512554022989,0.104894708384,0.996,0.419,0.487890421456,0.0960930906745,0.974,0.251,0.364691187739,0.0896380617231,0.987,0.217,0.307126436782,0.0719989273088,0.994,0.263,0.367268965517,0.0907420617572,0.996,0.197,0.25643908046,0.0491908991624,0.996,0.19,0.253543295019,0.0477031753286,0.993,0.302,0.384950191571,0.0932180979023,0.993,0.262,0.356239846743,0.0825051861517,0.989,0.255,0.379391570881,0.0936372129558,0.995,0.284,0.402072030651,0.112382535808,0.997,0.233,0.339779310345,0.0916561643229,0.993,4.0,7.0,0.0,281.501,289.48853,5.312,0.0,0.0,-5.205,166.964,0.65106752523
106.4377,106.44355592,3811.46134225,212.00357,107.50886,107.509826494,3841.5745217,213.79269,104.30415,98.48953,4574.14631948,209.55508,-9.5325,-10.3367637615,33.1584790268,57.775,0.033035,0.0412075917431,0.000875638035714,0.23848,-18.3465,-19.9963130734,93.949468043,53.523,99.47349,100.803064151,3685.39386273,214.45206,107.50886,107.509550259,3849.18919016,214.21174,45.1145,44.9425172018,48.9999318093,54.766,37.885,37.4641192661,2214.77005974,414.652,19.645,8.96726949541,4035.90791283,335.757,17.717,23.6018704128,1949.57952028,312.905,17.123,16.0455504587,690.26223141,174.218,-14.8305,-6.67366055046,1189.04261223,283.794,1.0115,0.936908256881,492.207907758,154.859,-16.601,-15.834391055,747.983420023,216.918,2.322,2.36689678899,413.005237581,143.1,-3.1065,-4.72231995413,408.727348236,162.622,7.3425,6.96217775229,408.407170323,177.253,10.884,11.8731077982,204.621175509,101.407,0.6105,0.599047018349,0.114419352147,0.985,0.309,0.407717889908,0.0897288630744,0.981,0.37,0.451222477064,0.101785842706,0.988,0.235,0.319006880734,0.061732259127,0.991,0.452,0.485855504587,0.0852947451761,0.98,0.3065,0.360634174312,0.0734651196119,0.989,0.271,0.31619266055,0.0526922725149,0.991,0.4135,0.463792431193,0.0919026920069,0.986,0.281,0.337525229358,0.0555479787213,0.985,0.441,0.526599770642,0.107918455642,0.973,0.279,0.337345183486,0.0520099943805,0.982,0.4075,0.467737385321,0.083082863373,0.971,4.0,9.0,0.0,210.262,215.19628,0.345,0.0,0.0,-6.636,140.334,0.644426000659
