barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
137.97803,137.281698933,6220.36648318,269.04047,137.2574,137.374998695,6311.24248572,274.06699,62.498945,92.11178125,7695.15439163,268.30498,-5.6535,-7.81793280977,51.0844437084,58.092,0.034715,0.0437083856894,0.00111493163361,0.49268,-11.37,-14.4824310646,73.4383562191,55.634,128.93417,132.862768822,6220.86118314,275.08376,137.2574,136.041849263,6225.32206439,272.15629,1.42,4.40812565445,737.639317462,258.261,0.9995,4.26192582897,786.422933755,287.981,1.1,4.11381762653,816.21135605,292.337,1.5555,4.82157329843,758.626847485,251.323,2.1125,4.4654991274,721.727363753,253.602,1.558,4.68903839442,778.977131239,289.833,1.5205,5.1809991274,776.204453488,274.543,1.1465,4.7959938918,792.171722404,251.631,1.6285,5.17553054101,731.400362556,250.145,1.802,5.46579406632,779.097935027,269.946,1.191,4.70160034904,786.16140398,281.136,2.6325,5.60707504363,767.847728445,284.369,5.0,5.0,0.0,265.381,278.83057,0.189,0.0,0.0,-5.12,83.337,0.58860536878
158.67668,158.6395141,8311.38304085,314.43736,159.8644,159.821446832,8414.77302064,317.66666,136.370875,134.593049167,8531.43935458,307.86618,-10.6245,-12.3105286765,40.0870395654,49.627,0.050925,0.0603757573529,0.00147858360913,0.37146,-19.4745,-21.4848919118,64.0849096979,51.324,149.835375,150.590181838,7942.53915291,318.46431,158.478855,158.333823955,8390.90126049,314.08477,5.1625,5.71409852941,1166.39460067,528.111,4.0845,6.29675220588,1110.61002476,351.702,3.583,4.56403308824,1128.82911573,339.331,4.262,5.30034338235,1134.85557827,317.54,6.0675,5.90714632353,1092.84547502,353.839,5.1295,5.40579338235,1180.79366944,378.586,3.7105,5.30187867647,1095.51094724,337.577,4.0515,5.04799264706,1164.34753264,442.17,4.8315,5.46538235294,1202.07698807,314.525,2.6655,4.28321470588,1115.24725857,389.225,3.451,4.10750514706,1040.72731021,342.013,3.3505,5.58781838235,1097.92754928,320.676,4.0,7.0,1.0,306.254,318.85016,0.0,0.0,0.0,-9.176,151.995,0.554282391178
95.423445,95.4174561364,3071.08815587,190.78634,96.15153,96.1455344802,3083.08024914,192.23661,80.51223,82.9194985714,3912.34480329,182.24874,-5.735,-6.93018901099,26.1661583093,58.359,0.044635,0.0506090769231,0.00100313943211,0.39912,-11.772,-14.0988395604,53.7415698534,55.991,94.029275,95.1307378352,2985.84505505,192.69315,92.878405,92.7698096591,3064.28628576,184.77189,4.9325,7.36286263736,1004.25378428,389.331,3.761,6.69352967033,1000.65579916,384.087,5.392,6.84886483516,1026.30328105,397.573,4.34,6.82255164835,977.234953357,420.886,4.4455,6.41928021978,964.118106028,409.912,3.716,7.25948021978,1003.95158479,365.608,4.6685,7.18484065934,1028.18221024,372.089,3.5895,6.23499340659,1076.48713094,390.93,5.5205,7.40735824176,954.003179894,385.01,5.6695,8.08544285714,995.987316284,361.139,5.4425,7.89948021978,995.350907236,430.12,3.2175,6.40642087912,1024.73720703,391.781,4.0,1.0,0.0,187.455,196.0224,0.073,0.0,0.0,-4.686,164.972,0.536727032635
129.39657,129.395655607,5611.20625104,257.98141,130.33727,130.333077328,5676.45813776,260.62492,142.33447,132.624855,7536.38934621,252.74855,-9.7845,-10.6398407767,36.0777691649,50.668,0.050255,0.0586123300971,0.00135922669049,0.47381,-19.963,-21.0434582524,60.9118439318,53.792,123.870295,125.914588369,5597.94875711,260.78054,127.24425,127.045638276,5670.73326502,253.85924,6.048,7.16014757282,1033.99924055,324.321,3.134,4.27670776699,1026.95845884,268.34,2.95,4.76221747573,999.947228531,261.094,4.9335,7.46625242718,1088.84042956,266.792,5.2175,7.41894271845,1241.06346954,502.244,4.424,6.01615631068,1006.86729784,221.338,5.731,7.29795533981,1058.52622636,279.099,5.5405,6.4545,1067.70490495,262.349,5.7445,7.4179407767,1146.23930535,306.116,3.199,4.24126504854,1027.47209433,284.059,4.9765,6.34452718447,994.908803834,293.12,5.7585,7.14563398058,1075.53290899,289.56,4.0,5.0,1.0,249.684,262.3473,0.0,0.0,0.0,-7.707,160.075,0.536005801284
112.804915,112.8720455,4241.47138932,222.89056,114.21826,114.283248142,4322.2865909,227.1851,92.34553,90.0336533333,4807.63291481,220.80581,-9.091,-11.0047642384,50.5523812636,48.557,0.03811,0.0518893509934,0.00240012928739,0.46907,-15.805,-18.3202529801,65.7422659612,53.114,129.34385,125.858743709,3871.66208553,227.87152,113.15835,113.301907103,4275.96398078,226.0841,0.789,0.069561589404,977.222620802,323.178,0.221,0.28580794702,1281.32755317,489.422,-0.762,0.665280794702,935.393944679,250.938,0.233,1.8458807947,993.259495451,249.955,0.327,1.26368874172,1017.20446647,368.062,1.05,1.92149668874,1175.31029198,415.086,0.64,1.99266225166,970.234855249,279.694,-0.42,0.451630463576,984.005012641,274.422,0.994,2.32026622517,939.815596839,274.433,-0.736,0.47580794702,1083.28826208,339.862,0.534,1.65371788079,1168.02696106,359.482,0.072,0.770021192053,1133.72414416,358.85,4.0,11.0,0.0,214.814,230.922,3.39,0.0,0.0,-7.14,85.028,0.533312769386
137.771015,137.564540241,6299.50519273,274.09047,137.771015,137.564540241,6299.50519273,274.09047,144.50154,134.6292225,7879.73907659,261.45835,-8.268,-10.0213918367,41.8394822403,57.829,0.05395,0.0627832142857,0.00163272694059,0.40526,-17.1915,-19.6806295918,100.660005905,55.018,130.818435,132.026531531,6081.19532992,274.42177,137.00404,136.154737865,6162.02141607,269.47737,2.478,3.23183367347,1227.99716399,364.543,3.522,3.48997755102,1313.02319704,449.403,3.138,4.73540306122,1234.19412988,455.533,2.466,4.62890306122,1343.00861837,438.517,2.685,4.12475204082,1373.20284722,486.518,1.3635,3.6746877551,1300.79820142,458.146,-0.0235,2.02663469388,1219.96756413,493.731,3.4005,4.2841744898,1407.36542398,443.975,2.0715,3.10326632653,1220.36258402,460.263,3.139,3.52842244898,1103.19210528,323.576,2.4845,2.95669387755,1151.02075567,360.054,3.9225,3.63985,1210.63006023,383.935,1.0,7.0,0.0,266.995,279.50975,4.551,0.0,0.0,-6.59,117.843,0.525961363697
137.47067,137.464502653,6331.65305754,274.0771,138.40794,138.402925161,6353.22387558,275.96889,85.67067,101.63726,6672.47154799,266.82662,-8.16,-9.08445821596,25.8124179966,58.583,0.0403,0.0532384694836,0.00166098609878,0.32503,-16.916,-17.4896553991,34.583055839,54.693,143.42662,140.151656676,6322.91544996,276.40159,136.29339,136.863703469,6326.33821951,271.72358,4.052,4.63957464789,1000.27170904,236.888,5.923,5.5462056338,1142.43886404,274.037,4.605,4.64301220657,1019.86116899,223.244,5.687,5.76885070423,1029.11464037,264.497,5.06,4.74398215962,1105.99121645,266.881,6.858,6.86895774648,1045.86028079,276.58,6.818,6.44807981221,968.075353452,252.009,6.027,5.18531549296,1078.08295352,247.078,7.126,6.82357370892,949.855261698,257.105,5.515,6.45978591549,1057.88806182,286.237,6.42,6.18789483568,1080.55668545,268.726,6.859,6.50503192488,1100.01761132,426.462,4.0,0.0,1.0,275.011,280.58077,0.119,0.0,0.0,-6.006,127.998,0.525961363697
129.48349,129.489783883,5642.2664345,257.67857,130.75053,130.75297988,5725.25281231,261.47643,120.960295,120.518723,6033.85861253,255.18298,-10.532,-11.7622329495,32.3605742956,50.7,0.03964,0.0454053055802,0.00070302072783,0.20935,-19.955,-21.4891514615,54.5152895776,48.74,121.59397,122.292458875,5654.48459001,261.6146,126.009855,125.933852246,5687.23998396,251.68343,-1.163,-1.9810336581,1008.83789727,252.712,-0.541,-1.47266341895,1035.82119893,326.776,-0.564,-1.95994596988,1000.09404527,312.743,-0.265,-2.13585385297,1141.40663153,246.257,0.162,-1.05692294066,966.873122422,243.497,-0.873,-1.65422054916,1056.17278335,326.013,-0.451,-1.71247298494,1068.54057583,243.991,-2.52,-2.53260584588,1033.64084762,234.047,0.268,-1.49555270151,1036.34992595,265.281,-0.431,-1.3399105403,973.391165298,267.638,-1.234,-2.32547918512,1083.98869964,242.469,0.196,-1.37373782108,1003.07320975,242.915,4.0,5.0,0.0,252.209,271.49016,0.0,0.0,0.0,-8.945,95.0,0.522512181499
115.429925,115.395138194,4412.21588727,227.4431,116.22989,116.184818021,4487.24705871,230.63428,70.65266,82.6813433333,5596.55775781,216.26684,-9.086,-10.6128443114,51.2254918225,57.673,0.04991,0.0637641916168,0.00271103863153,0.50384,-15.766,-17.212491018,77.3808628583,54.85,106.38163,107.627451162,4093.77675703,231.17478,101.94202,101.943070938,4354.68026973,203.75679,0.163,-1.48693173653,1207.33016348,395.335,1.76,0.608052694611,1074.19666806,396.227,1.084,0.0400467065868,1192.5125812,530.317,2.205,0.187203592814,1245.61870483,481.912,1.352,0.225110179641,1109.77208439,429.771,1.514,0.703900598802,1166.9066785,416.756,0.635,0.116747305389,1137.05539747,455.073,1.084,0.291647904192,1121.70225084,441.171,2.125,0.811929341317,1141.90077807,438.711,1.308,0.592638323353,1143.15303621,498.564,1.101,1.08367664671,1077.59434979,478.958,2.898,2.18378922156,1160.26963194,456.753,4.0,11.0,0.0,218.889,236.5122,2.328,0.0,0.0,-6.853,150.098,0.521988514722
172.9589,172.91270008,10033.7721995,344.23906,174.34422,174.300869441,10074.3734877,347.01395,202.08561,178.591611111,16559.9424834,338.04142,-8.626,-9.91647765177,25.7807243135,57.758,0.03686,0.0474452101401,0.00159921405057,0.54313,-16.205,-18.2868939293,66.298235908,55.135,173.39737,178.104080207,10578.6970452,348.23837,175.03145,174.03458018,10081.1188879,347.36657,3.868,6.86887925284,894.435208775,264.919,4.669,7.68374449633,925.890513933,368.15,3.206,6.11292128085,838.501682929,291.057,3.037,6.76625883923,932.33842302,319.431,4.601,7.35650233489,854.468987237,256.747,4.69,6.9739766511,838.545398631,246.073,3.566,6.69270847231,912.736029587,378.062,3.425,7.03635356905,953.028431561,432.385,4.502,8.1978599066,910.622918035,284.373,4.224,7.46684856571,782.766467992,231.547,4.561,7.42192128085,809.925188075,258.573,4.747,7.86344629753,916.690027262,316.965,4.0,2.0,1.0,336.556,352.28689,0.154,0.0,0.0,-6.957,86.498,0.521988514722
