barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
318.52262,319.31580282,33510.4879012,635.27684,318.52262,319.31580282,33510.4879012,635.27684,322.354725,320.511097895,35305.4152931,630.48258,-26.737,-27.5977546145,73.8026469973,51.587,0.05625,0.075526927253,0.0141425710137,2.59229,-40.104,-39.8369543974,27.3783014681,37.297,318.19184,313.905596971,31434.2926954,637.03152,317.2842,319.087869843,33473.9794313,632.76641,3.087,2.66716178067,1495.93852585,310.326,6.638,5.97222149837,1614.3380615,297.058,3.617,4.33385016287,1597.32598241,356.528,4.085,3.58685993485,1615.21448717,295.367,1.362,2.27441368078,1553.21144028,278.579,4.229,4.29409880565,1616.81917671,317.744,3.526,4.37152225841,1607.71519336,325.132,4.218,3.29264060803,1637.39470985,291.58,2.989,4.5200184582,1605.37306247,307.958,2.459,3.89727795874,1723.29515089,346.13,3.833,3.11448751357,1571.81593576,339.791,3.754,3.84109446254,1487.16257509,292.433,1.0,5.0,1.0,625.964,642.35057,5.195,0.0,0.0,-21.087,143.66,0.506270993523
72.759485,71.6025951389,1640.48681559,139.41337,72.759485,71.6025951389,1640.48681559,139.41337,66.07051,70.370196,2042.7691931,133.85943,-13.84,-15.1120188324,33.6791665834,54.51,0.04617,0.0600482109228,0.00227422317288,0.35275,-22.713,-23.7575969868,31.5897845231,46.291,67.77615,67.7440931262,1631.55612233,140.09492,56.15217,55.4917541667,1583.49328268,109.25287,6.523,7.89621845574,935.740532321,254.506,8.001,9.3537834275,834.31532962,215.651,6.576,8.5031393597,849.698326097,215.145,6.447,7.7759905838,885.488612857,280.41,4.837,6.14775141243,1006.73792868,322.955,5.187,6.32748210923,843.881723229,224.199,7.151,9.00964030132,800.896463413,228.02,8.111,8.83346516008,882.910998399,223.531,5.715,8.23394161959,845.475519833,186.443,7.19,8.14973634652,820.418515516,184.445,6.4,9.34724293785,1078.31278218,409.761,9.122,9.12293220339,914.389782534,245.992,1.0,10.0,0.0,136.278,145.97179,0.252,0.0,0.0,-11.914,122.961,0.495453136525
257.377545,247.33355,12802.2609959,402.83248,217.03196,215.337776246,15209.3775742,426.44304,206.62794,200.791698947,16063.0490947,403.26245,-15.728,-17.8477182576,53.6354594016,53.52,0.04907,0.0699398887859,0.00511561442019,0.65948,-23.338,-24.4716422614,59.0174384096,49.563,240.99088,230.538997081,14329.1321796,428.1263,213.98976,214.397430309,14977.254748,420.5249,8.974,11.8589295644,1561.73266551,369.967,9.435,11.9148211307,1769.22283052,400.93,8.94,10.0212493049,1618.05609637,305.41,9.346,11.398497683,1683.04741857,334.716,10.706,12.874304912,1633.2380513,345.19,8.465,12.1013873957,1691.37406194,415.394,9.83,11.9804346617,1553.46784332,306.78,8.774,12.1554698795,1735.40544537,434.115,10.909,12.2866163114,1651.95757235,353.981,9.913,13.3516376274,1687.70669207,402.527,8.923,12.121695088,1556.42441221,328.705,10.414,13.3185625579,1722.67132684,328.125,4.0,5.0,1.0,421.941,435.87873,2.752,0.0,0.0,-13.253,40.559,0.490808487631
529.51712,528.866703792,91885.5667305,1044.48071,529.51712,528.866703792,91885.5667305,1044.48071,427.58905,446.895868,89951.7709549,1037.92998,-14.4165,-16.2056621261,53.7863642061,55.149,0.035625,0.0470842521368,0.00207174098577,0.75995,-24.286,-24.1623661859,60.6053770633,52.09,657.173765,616.425110459,82909.1268767,1044.75583,527.4354,527.265984332,91692.9170108,1040.19506,11.9715,10.1983357372,1038.94350406,317.849,10.995,9.69898798077,1025.53060951,248.377,11.896,10.0711241987,1063.25065359,281.239,10.8685,9.49720566239,1022.34565114,341.246,12.129,10.5217572115,1014.61600765,246.914,12.5195,10.892536859,1007.27425097,233.555,12.6815,11.2189105235,1023.23120854,283.765,12.255,10.7988319979,1074.97330862,280.088,11.2685,9.78851388889,1032.65187516,227.288,12.0655,10.3329337607,1045.90280437,293.379,12.5205,10.3638410791,988.389660218,232.145,12.79,11.046110844,1057.01767335,294.174,1.0,7.0,1.0,1040.486,1048.39791,3.448,0.0,0.0,-11.199,99.087,0.428702262523
535.330445,525.987552171,91314.8225581,1033.91021,539.52065,529.597771804,91739.8932204,1042.25175,384.29065,426.52801725,76889.3412208,918.42006,-15.6275,-17.4788196891,48.1784441851,53.723,0.03587,0.0469813134715,0.00193246585918,0.85901,-24.899,-25.4691417098,53.2743995724,49.451,630.27016,608.071301062,77296.1862864,1043.79193,539.3231,529.289180095,91629.701155,1039.31915,11.136,9.27450103627,1058.8007351,293.509,10.8905,9.22026968912,1038.38585789,296.098,11.8085,9.60859637306,1047.95602548,291.025,11.5265,9.54948911917,1086.16575573,287.011,11.2315,9.02034067358,1036.29072658,279.729,11.302,9.31331088083,1020.05988903,254.209,12.2995,9.67420569948,1067.73624699,279.479,11.66,9.18615388601,1121.34906299,476.753,11.4805,9.48882124352,1011.48249816,387.345,11.7775,9.5297992228,1030.18542667,262.565,10.9975,8.92166865285,1014.26647467,252.99,12.386,9.37110051813,1089.32091667,377.884,4.0,7.0,1.0,1043.151,1048.37179,2.357,0.0,0.0,-12.946,96.865,0.424090810967
595.11383,586.363228283,109941.172309,1141.25767,595.11383,586.363228283,109941.172309,1141.25767,573.24678,558.823978333,103685.640918,1132.72186,-15.964,-16.6135672711,33.9116061456,53.584,0.03102,0.0398543989255,0.00125093682486,0.95355,-25.506,-25.4091455115,29.6439853681,48.673,618.64594,608.359032485,100814.932166,1142.48875,588.71835,580.201554198,109969.176608,1129.05751,9.106,6.36468479964,978.029195025,339.407,9.505,6.09104141482,992.047560776,291.492,9.504,6.00470047011,965.632174705,299.612,10.137,6.32835415268,1045.36762351,466.362,9.494,6.37891739422,1018.18232362,241.994,10.392,6.75329639579,1039.26515769,469.685,10.317,7.2423062458,1015.4911814,483.188,9.98,7.00848018805,994.188797911,265.144,10.638,7.33024714574,1004.94442068,456.64,10.28,6.84014461607,1002.67955992,308.373,10.335,6.69097985225,941.622980708,257.32,9.482,6.35267651668,988.074271794,459.833,1.0,7.0,0.0,1140.123,1143.97995,0.974,0.0,0.0,-12.436,154.829,0.401486711428
627.14154,622.272774674,126488.479081,1217.29711,631.87115,625.660847484,127550.903353,1221.80846,438.689725,519.14476125,135130.725436,1218.36453,-16.7735,-19.0610349112,68.9020886591,54.034,0.03594,0.0502798550296,0.00305814888823,0.96372,-29.072,-29.9129878698,58.6261976007,46.619,860.94932,794.934159988,100354.393143,1222.26676,627.92896,621.721860702,127344.512157,1213.37737,7.2625,13.1254982249,1684.19204699,413.454,7.604,12.9962236686,1673.20444122,380.167,6.443,11.8188991124,1681.39565821,357.205,6.476,12.3836221893,1666.24048273,386.083,6.975,12.0640893491,1638.34047601,373.477,6.894,12.2264742604,1711.5942027,492.637,6.8635,11.743058284,1720.21118528,426.465,6.653,11.1535156805,1645.34113564,413.356,7.441,12.3708325444,1730.54506724,369.956,7.6595,12.870589645,1671.4425608,390.798,7.282,12.5231210059,1684.72818643,380.955,7.423,13.1017636095,1688.18475262,352.297,5.0,0.0,1.0,1218.56,1227.28444,0.142,0.0,0.0,-13.898,118.205,0.377531644977
585.43545,587.356398912,113563.771877,1171.4106,585.43545,587.356398912,113563.771877,1171.4106,427.33291,452.580236889,98893.9639277,1166.12806,-21.719,-24.147591457,79.6983653496,48.365,0.03986,0.0514699895178,0.00161767651101,0.82281,-29.047,-31.2116171384,83.4861726472,46.03,720.450705,696.96098021,90367.8498646,1172.52939,581.5122,583.853015675,113564.999647,1165.25062,7.1705,7.14973218029,1017.42157575,269.758,7.3525,7.51472589099,1032.17189348,284.082,7.248,7.83384748428,977.64758155,271.335,7.1305,7.91039858491,1038.7412894,261.98,7.8855,8.03643763103,1109.17089627,469.61,7.695,7.90069523061,1017.04556667,269.111,8.1335,7.76140801887,1014.31376447,281.205,7.4905,8.0748432914,1060.65549393,515.732,7.423,7.88380450734,1015.25316828,279.025,6.759,7.55481446541,1001.66326713,312.538,6.957,7.43991561845,1037.9119117,303.205,7.413,7.69848611111,992.380880448,255.43,1.0,7.0,1.0,1157.938,1190.16444,4.011,0.0,0.0,-18.113,74.561,0.367273415809
114.02676,114.169767712,4343.00855401,225.98631,115.23984,115.373287782,4453.01229485,230.01628,87.56049,95.7758442857,5986.15346614,224.0882,-5.316,-6.47738757062,24.5744284249,59.834,0.03483,0.0526546553672,0.0030664102172,0.66529,-12.007,-13.5264418079,47.2643078534,56.667,107.83646,109.015017469,4215.69928537,230.40853,113.78569,114.514441646,4379.52730854,227.36331,6.084,7.82196271186,1010.01672786,281.559,5.556,8.40018757062,1086.20343042,323.711,3.675,7.38290621469,1019.26328766,294.695,3.472,6.70779548023,1056.28351449,328.967,5.047,6.54953107345,1049.59826885,289.815,4.537,7.44041581921,1021.65406394,273.387,4.493,7.09955028249,1016.09536562,294.787,6.606,7.70589717514,1045.05193626,261.151,4.826,7.68641581921,1009.75889746,279.333,4.425,7.05935028249,1107.72099798,349.773,4.545,8.2058259887,1114.11237533,304.997,5.321,8.49036045198,1119.87680666,445.809,4.0,2.0,0.0,228.31,234.37016,2.577,0.0,0.0,-4.238,124.14,0.355285536423
643.74186,642.763277633,139145.303417,1281.75807,642.82186,643.186727087,139145.939716,1284.06229,621.78676,624.582475714,161472.53487,1277.83537,-22.91,-23.6501508137,62.2372248217,49.436,0.03274,0.0398681717902,0.000735849742933,0.4463,-32.538,-32.2505683544,69.2483602211,46.959,733.782405,715.240306161,120142.38517,1284.56961,638.845795,639.512004401,139061.85138,1276.0555,7.6925,7.5670965642,987.019654047,254.508,8.121,7.86230307414,1008.75076643,486.114,7.7605,7.19330759494,940.581228812,301.681,7.661,7.26651356239,995.119518594,494.458,6.9745,7.16575931284,940.134308349,252.847,6.956,7.14604466546,962.346091914,281.995,7.481,7.01144954792,960.777571385,424.969,7.7395,7.36331971067,969.041098441,252.975,7.0625,6.94375497288,955.563394441,258.397,7.4565,6.83399005425,945.391943654,327.459,7.5445,7.30831537071,958.505413857,311.368,7.807,7.39339746835,967.70039294,299.377,4.0,0.0,1.0,1283.814,1303.66649,1.094,0.0,0.0,-17.718,156.932,0.340922755864
