barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
105.32348,105.328392159,3704.81130977,208.47381,106.82227,106.82632264,3790.00619112,212.66824,83.15821,87.56776,4196.31795944,206.57458,-11.455,-13.0453828947,32.2695623652,53.29,0.031785,0.0403871710526,0.00120139687844,0.42897,-19.452,-20.4700447368,43.9260646138,48.376,98.258255,99.3515354737,3823.54487794,213.1449,106.597135,106.601720667,3790.02501616,213.11979,44.5455,43.2437105263,31.9729284741,50.111,27.987,30.2684552632,1562.29068294,237.09,13.906,13.6819157895,1361.57594893,220.371,10.446,9.14221973684,817.93363769,251.215,-4.6145,-2.51021447368,589.026518963,156.387,-18.4095,-16.9752157895,574.494369246,155.17,-7.389,-8.56941710526,553.15127688,145.836,-6.234,-4.73599736842,339.122793492,158.979,4.7285,3.54903289474,392.527046316,120.871,7.573,6.66048947368,325.586657434,127.485,4.461,4.9936,217.542375472,100.78,2.6515,2.12030526316,349.483821423,132.328,0.432,0.512559210526,0.0969222149152,0.964,0.511,0.536626315789,0.0848614577285,0.971,0.437,0.502856578947,0.0976371439041,0.974,0.1685,0.205913157895,0.0251408108795,0.992,0.234,0.371503947368,0.106240744721,0.997,0.14,0.198244736842,0.0325089901039,0.994,0.245,0.315886842105,0.0594676345637,0.98,0.308,0.386485526316,0.0857769418958,0.985,0.257,0.311307894737,0.0465883078324,0.982,0.4485,0.487728947368,0.0929437554778,0.985,0.2815,0.355307894737,0.0762844920429,0.987,0.3575,0.456201315789,0.110322268682,0.991,4.0,7.0,1.0,204.428,217.10322,0.327,0.0,0.0,-10.598,100.202,0.817534352406
99.809515,99.4126225862,3272.23923748,196.84764,101.09983,100.695624968,3343.58989825,200.58767,74.40211,84.3851657143,4592.38925306,193.28703,-5.9575,-8.12092321429,56.576644303,57.826,0.02944,0.0575769285714,0.00726328811342,0.77444,-12.006,-13.3513285714,63.4468776206,54.847,82.93551,87.7845627857,3227.88178922,200.90186,100.993095,100.588578252,3343.61297369,200.79579,50.0145,49.3989270833,7.6713615676,17.74,28.677,26.4361840278,719.159242449,193.983,7.108,3.45018055556,1173.74633808,318.036,-12.3675,-13.2607239583,502.053193992,156.777,-11.704,-11.6398350694,389.705700405,153.623,-33.055,-31.6324722222,316.616470294,133.548,0.7385,1.69771354167,322.360017826,124.743,-1.303,-2.05154861111,244.366688348,111.498,-2.894,-3.68803125,190.932805079,83.115,1.631,0.701107638889,123.512109322,81.291,0.536,1.30005381944,119.735906395,75.174,-5.1665,-6.32381597222,259.77327789,97.734,0.7185,0.677732638889,0.093737116018,0.911,0.3465,0.385590277778,0.0582136307388,0.968,0.2405,0.317074652778,0.0562757010242,0.975,0.181,0.23315625,0.0345543540582,0.984,0.2765,0.358048611111,0.0646705948592,0.977,0.26,0.406130208333,0.115482207004,0.986,0.277,0.311373263889,0.0358821158824,0.982,0.417,0.483998263889,0.0918743420109,0.975,0.2805,0.328722222222,0.0495633429784,0.988,0.2455,0.367383680556,0.103019910081,0.986,0.207,0.251222222222,0.0342323429784,0.99,0.404,0.412456597222,0.061620744644,0.971,4.0,0.0,1.0,187.321,203.02322,0.293,0.0,0.0,-5.341,139.354,0.894043922287
117.62989,117.618007081,4569.19888844,232.71816,118.536295,118.528136323,4655.13388492,236.21927,99.260445,105.452698333,5191.36420465,230.33352,-4.6245,-5.22434129213,4.49223336245,18.08,0.044165,0.0636428792135,0.00363410105955,0.43118,-9.854,-11.3054985955,26.8852656348,55.715,100.429025,106.252363427,4445.58909483,236.89891,118.53584,118.528228809,4662.33337094,236.58309,52.554,51.8644044944,12.755658165,45.436,18.5825,9.15664466292,1667.00942699,262.253,39.7575,35.2465421348,998.462391099,173.111,-3.584,0.731023876404,1113.36415402,538.482,-24.8195,-26.2606811798,616.14266738,151.768,-12.1925,-8.63633146067,446.936542087,191.62,-7.872,-6.67609831461,319.379336496,182.941,-10.1105,-9.07150842697,534.893529233,325.18,6.2395,7.79409550562,236.882150286,99.518,-8.157,-8.03497752809,372.806579022,122.211,-1.162,-1.62378230337,195.180164976,144.087,-9.417,-8.50655758427,132.552291682,81.805,0.249,0.411813202247,0.131337062017,0.995,0.213,0.275098314607,0.0489214847163,0.986,0.2155,0.400789325843,0.139976860111,0.99,0.1405,0.171186797753,0.0143238092077,0.775,0.268,0.32283005618,0.0488241073551,0.966,0.179,0.374176966292,0.14871372711,0.994,0.146,0.213018258427,0.0386246330936,0.995,0.171,0.244137640449,0.0456729445383,0.996,0.169,0.226403089888,0.0333539709455,0.99,0.42,0.503959269663,0.128014112105,0.983,0.12,0.160103932584,0.01562873358,0.741,0.123,0.181929775281,0.0274120905741,0.992,4.0,9.0,0.0,232.728,242.78159,0.0,0.0,0.0,-4.312,165.091,0.820173409983
122.368405,122.897727222,5120.62243103,246.06139,124.38705,124.911693693,5217.7135319,250.10624,92.37117,110.599313333,7346.27897858,241.50666,-8.921,-9.66477106046,45.9375101349,58.157,0.02734,0.0393423488603,0.0010466407486,0.29721,-18.994,-20.8524965312,59.3065494968,51.331,126.96984,126.662774648,5095.09624697,250.43587,124.531625,125.055429862,5217.79408832,250.39574,46.191,44.7764886026,42.1091789595,52.833,33.68,36.7870822597,3042.45319598,348.518,-25.87,-19.0679286422,3559.10838204,363.303,11.17,16.1314360753,2511.68884458,493.74,22.27,28.6138969277,2339.99651071,295.14,-10.276,-5.92634786918,1402.53622108,284.785,-21.734,-23.1548721506,1338.59994506,202.137,-19.399,-17.1338652131,876.265049244,192.567,4.156,3.18057185332,477.257584768,149.987,6.571,4.89538453915,495.621623678,137.246,2.596,3.79416451933,477.167465596,155.445,-9.992,-11.9139663033,748.817090033,209.799,0.433,0.526003964321,0.147382868171,0.998,0.223,0.292668979187,0.0566071253112,0.998,0.182,0.316426164519,0.106160355549,0.998,0.122,0.208015857284,0.0533890740796,0.998,0.343,0.395981169475,0.0982872672371,0.997,0.25,0.327290386521,0.0881544637431,0.998,0.175,0.359917740337,0.133651956563,0.998,0.358,0.476062438057,0.142847263693,0.996,0.137,0.279912784936,0.0994521628593,0.996,0.228,0.35317938553,0.11868787565,0.998,0.093,0.181201189296,0.0441038237449,0.999,0.131,0.272336967294,0.0971884216364,0.999,4.0,0.0,1.0,236.762,253.64853,0.0,0.0,0.0,-6.283,104.05,0.803341316117
119.54824,119.550146322,4747.66496104,235.61808,120.91563,120.922448952,4885.61726243,241.12302,118.86023,112.970861111,4373.48273597,203.92792,-4.348,-5.59702623457,18.7799876367,58.837,0.041645,0.0573416666667,0.00442254093426,0.63878,-9.5445,-11.1312901235,29.4483258479,55.763,118.0539,119.990027901,5121.82583625,241.60662,120.74406,120.751208867,4885.58569727,241.47411,52.922,51.5623641975,18.998034676,55.813,54.9195,51.9201373457,867.935704514,252.75,29.8085,30.3278271605,960.635777714,302.157,-1.3575,-2.91411265432,561.180101347,387.454,-25.0055,-23.1405108025,508.097388031,150.25,-19.7585,-16.685970679,468.045867618,235.804,6.341,5.80844135802,374.153792487,139.303,8.9825,7.12365277778,364.049983424,174.438,1.4775,2.11493055556,190.426880916,87.505,2.839,2.57485802469,217.266317687,162.827,-1.9595,-2.3434537037,235.518865844,194.454,3.22,2.52538425926,236.194985838,97.786,0.2325,0.367273148148,0.107622855946,0.996,0.3895,0.462895061728,0.109789492074,0.997,0.3795,0.448962962963,0.109803890604,0.993,0.1775,0.234436728395,0.0347113416757,0.987,0.3155,0.40737345679,0.10262061053,0.983,0.16,0.22987345679,0.0368048944806,0.986,0.242,0.317415123457,0.0640648292157,0.985,0.234,0.353029320988,0.106353979079,0.986,0.1405,0.193023148148,0.0240059824889,0.976,0.192,0.323635802469,0.0999718457552,0.991,0.132,0.167675925926,0.0176012097908,0.919,0.211,0.291625,0.0651716078318,0.984,4.0,2.0,1.0,242.004,253.30893,0.136,0.0,0.0,-3.778,87.463,0.927916243495
105.596225,105.619352111,3743.84582215,209.62892,107.36548,107.386713753,3849.22418325,214.3566,80.27942,84.8022288889,4707.46665909,208.10891,-7.1295,-7.99526302083,20.3308487329,58.218,0.043505,0.0603723177083,0.00341800605348,0.77036,-12.5195,-13.9794921875,37.4507797916,56.005,100.9939,104.140786966,3798.73331447,214.51465,107.292025,107.312965981,3838.70342985,214.50498,50.1865,49.0496432292,23.4064396748,55.77,58.77,59.3566380208,1408.75974497,361.347,8.1965,6.16142708333,1270.45879589,269.743,-11.504,-12.2598098958,827.279079735,366.522,-19.841,-17.7334375,769.215049243,178.414,-15.9715,-13.1909479167,474.242967065,152.06,1.1915,0.08437109375,509.25468864,191.508,-3.2405,-2.98804166667,499.943330696,193.455,6.09,6.34663932292,215.117589179,93.535,1.2135,0.839404947917,337.06298477,142.172,-0.2195,-1.24942838542,203.146556656,159.422,0.2455,0.226765625,295.294955515,125.665,0.2395,0.35437890625,0.0963553421071,0.996,0.3265,0.422997395833,0.0998922161391,0.987,0.4305,0.513272135417,0.121492109536,0.986,0.2095,0.273904947917,0.0488942735172,0.986,0.2135,0.311592447917,0.0790366971825,0.994,0.1195,0.180151041667,0.0294678730197,0.997,0.1975,0.258966145833,0.0477767358331,0.993,0.218,0.331770833333,0.0974523407118,0.998,0.1865,0.253703125,0.0473278858236,0.997,0.303,0.418149739583,0.111539793984,0.989,0.188,0.24728515625,0.0419697559255,0.993,0.245,0.366631510417,0.0995788290592,0.997,4.0,2.0,1.0,214.831,223.86893,0.207,0.0,0.0,-5.507,101.914,0.948995962993
72.50129,72.496225,1786.72979574,144.37154,74.02579,74.0214574227,1824.49957803,147.40144,58.76856,66.2046028571,2000.49470077,136.55084,-6.056,-8.12785884692,25.6627150278,30.868,0.04127,0.0556476143141,0.00287830979073,0.54637,-16.243,-18.9666003976,110.269639564,56.223,69.12862,70.9627373161,1776.44124331,148.18717,74.152955,74.1484485223,1824.51625582,147.64835,48.367,46.5675526839,45.3959580365,53.05,66.239,64.9338508946,1182.37075021,203.172,28.95,20.3235328032,2387.48579961,272.688,12.945,21.923415507,3270.46333302,587.29,11.23,15.0883677932,1313.33186503,256.689,-8.893,6.2980695825,2458.33577624,273.667,1.004,1.03742544732,855.934095871,147.71,-0.176,1.5150139165,706.875199171,207.295,-6.242,-6.11683300199,344.697630696,145.503,-1.89,-2.21875149105,573.470056576,157.316,2.553,3.15533797217,777.50965785,200.99,5.781,5.13212127237,438.001497991,112.776,0.229,0.280459244533,0.0515752781601,0.992,0.356,0.43817693837,0.103124793743,0.995,0.216,0.329737574553,0.0848729649301,0.989,0.301,0.326934393638,0.0374906418191,0.978,0.555,0.577654075547,0.132360166619,0.975,0.229,0.268761431412,0.0281561737013,0.974,0.281,0.390163021869,0.0994609913165,0.983,0.167,0.259868787276,0.0574857720476,0.994,0.267,0.378705765408,0.0989505217759,0.982,0.215,0.296236580517,0.0677385464153,0.991,0.129,0.176568588469,0.0278166071246,0.992,0.255,0.338403578529,0.0726727218162,0.986,4.0,1.0,0.0,146.837,150.33424,2.543,0.0,0.0,-6.094,118.103,0.948239772106
117.37955,117.011779615,4374.95902367,227.72054,118.48092,118.103869943,4475.07138388,231.55823,75.19705,103.751014286,7038.20512941,224.77892,-6.1845,-9.36967432432,106.524334101,52.394,0.045955,0.0704021486486,0.00715155217498,1.30907,-10.55,-13.8197405405,107.153080603,57.306,113.78068,116.410657176,4494.5183557,233.02621,118.48092,118.10466548,4466.56095064,231.55823,51.49,48.3104135135,104.704485386,55.704,-3.2225,-15.0464243243,2777.4376821,372.06,30.9,27.2306351351,1549.67865195,228.863,-7.503,-10.9600243243,726.864640886,297.369,-3.293,6.06898243243,2173.78678557,255.145,-21.0065,-20.8859189189,322.40097872,133.599,-3.055,-9.63045,1083.95897508,193.534,-7.331,-8.72844054054,359.693735501,196.902,2.0285,3.06339864865,388.799299105,216.892,-2.1575,-3.17197702703,257.328197974,133.919,-0.2985,-0.948718918919,154.762740672,117.742,-4.1175,-4.1534027027,262.722377184,111.633,0.2065,0.258517567568,0.0457605659076,0.994,0.4005,0.470531081081,0.102947351737,0.99,0.2305,0.337243243243,0.0920354489408,0.994,0.2155,0.275517567568,0.0517835794211,0.995,0.335,0.415125675676,0.0864172098813,0.981,0.1865,0.244956756757,0.0404042494814,0.993,0.2515,0.330289189189,0.0790528866399,0.99,0.159,0.201206756757,0.0252643045489,0.992,0.2305,0.291727027027,0.0434155795398,0.972,0.4735,0.567981081081,0.141843791534,0.977,0.2385,0.274705405405,0.0350745942951,0.982,0.2175,0.348832432432,0.102438166516,0.99,4.0,9.0,1.0,229.512,235.36281,17.955,0.0,0.0,-4.62,135.787,0.805538281869
36.73683,36.7377247273,470.754208143,73.68594,37.424915,37.4221408434,476.973183477,75.02675,41.30601,39.52842,684.316443833,72.90601,-12.661,-14.0484149378,25.8984572718,41.009,0.06266,0.0755341908714,0.00241372920526,0.34533,-20.237,-20.6768381743,34.915949007,51.453,36.84127,35.5877283817,495.811058076,75.36499,37.42492,37.4213501813,474.136133032,75.02675,44.108,43.0057676349,25.1286217385,43.274,-44.578,-56.6988630705,5071.79086206,321.784,-3.899,-7.80966804979,981.668105964,194.533,-28.118,-25.5418506224,1200.78096404,287.947,-2.114,-8.47682157676,1231.97653508,152.565,-5.459,-4.14157676349,541.66177753,213.495,-18.333,-17.5002572614,903.807913942,184.139,-7.022,-6.82030290456,535.96925168,194.329,4.247,5.43063485477,390.066541178,129.144,-4.163,-6.49915352697,420.702691765,165.228,-1.423,-2.49385062241,311.584436891,104.761,3.431,3.48438589212,228.154133839,79.773,0.086,0.164199170124,0.03979796863,0.998,0.111,0.222178423237,0.0741521714847,0.995,0.315,0.47032780083,0.137105954787,0.982,0.077,0.122863070539,0.0184054376819,0.994,0.101,0.232269709544,0.0890452011157,0.997,0.059,0.105161825726,0.0176407829411,0.852,0.211,0.280381742739,0.0532998127787,0.988,0.085,0.304846473029,0.144724271035,0.994,0.06,0.12420746888,0.0289463884919,0.996,0.165,0.297489626556,0.0928569220916,0.996,0.067,0.117883817427,0.0214063101531,0.919,0.181,0.415925311203,0.179559753758,0.995,3.0,11.0,0.0,75.07,82.96444,0.0,0.0,0.0,-10.958,131.166,0.910720346781
117.39867,117.299376497,4570.21522491,232.57879,117.77269,117.671906735,4614.06186899,234.81881,71.37762,95.92289,6228.28463532,226.86143,-5.9315,-7.32407920792,20.7084377561,46.824,0.037125,0.0657521039604,0.00704009265424,0.60362,-11.4265,-12.7691720297,28.802336234,55.195,112.95367,113.424149864,4531.35268593,235.1805,117.86642,117.765086648,4614.06687037,235.00491,51.3475,49.995450495,22.3219759307,54.078,43.1915,36.1524616337,1527.42005204,275.476,14.641,18.3211844059,1055.40871433,283.692,-9.334,-7.66415470297,938.396398977,499.119,-27.939,-32.0826076733,556.620549377,150.12,-20.664,-19.2423626238,453.036828838,366.07,-2.986,-1.0185990099,484.892899837,150.68,0.1295,-0.501543316832,493.439241387,190.11,9.498,9.1514009901,256.705909314,94.814,7.8755,5.00977227723,314.580908713,137.943,-1.5395,-1.37149876238,158.335560144,121.271,1.727,0.744482673267,248.650506062,103.687,0.434,0.471626237624,0.0883576994106,0.996,0.448,0.496290841584,0.0868085131835,0.993,0.446,0.50897029703,0.103649491692,0.993,0.2395,0.269387376238,0.0335021358307,0.994,0.2895,0.353045792079,0.0605187813189,0.993,0.342,0.443762376238,0.114426359377,0.993,0.321,0.337258663366,0.0403437511626,0.992,0.3525,0.42986509901,0.0971859855146,0.993,0.271,0.306342821782,0.0427221361861,0.993,0.3765,0.481352722772,0.100856183755,0.989,0.248,0.326045792079,0.0716267169625,0.993,0.2825,0.319459158416,0.0521763275399,0.993,4.0,5.0,1.0,234.214,242.31138,0.0,0.0,0.0,-5.353,161.148,0.854214959151
