barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
154.925315,154.820447574,7937.40385613,307.29043,155.18167,155.074890033,8016.46188281,309.84386,167.159695,161.820583571,9223.44950529,303.758,-8.507,-9.72936426914,33.6381563167,59.079,0.0398,0.0473706264501,0.00100599198143,0.258,-18.842,-19.5317285383,49.4820247206,53.428,157.24018,155.04933406,8139.06720745,310.11102,155.18167,155.07498447,8003.30181037,309.84386,46.945,45.8478793503,34.0735434704,55.531,87.556,91.5726249033,2163.89079924,375.906,15.944,15.3371160093,3090.33781865,429.86,9.602,11.6628677494,1122.19283386,486.764,-4.88,-0.580131477185,967.813827073,195.058,-3.064,-2.66265815932,1085.71459988,405.696,-6.267,-5.79563341067,1330.10898773,238.81,2.427,3.22305491106,525.70466257,170.095,2.071,3.97757308585,445.221549154,123.332,11.981,11.8951910286,296.352597998,141.002,2.068,2.29117478732,382.973003864,174.44,9.784,9.19528692962,289.033648236,128.71,0.535,0.531952822892,0.109473908834,0.997,0.294,0.376802784223,0.0741198706187,0.996,0.243,0.343477184841,0.0841632780951,0.995,0.185,0.251139984532,0.0505173578212,0.996,0.292,0.378758700696,0.0749757190368,0.992,0.169,0.267959010054,0.058246937995,0.993,0.272,0.412201856148,0.113043670778,0.99,0.309,0.475552204176,0.134797760036,0.984,0.256,0.353401392111,0.0752762433701,0.978,0.393,0.465521268368,0.103243075534,0.979,0.181,0.291174013921,0.078873088822,0.992,0.455,0.497736272235,0.134883448622,0.999,3.0,7.0,1.0,305.586,311.66649,0.136,0.0,0.0,-6.971,117.592,0.754831189702
90.54729,92.3386869048,2882.09446339,181.85039,93.35053,94.3829145245,2906.12225635,185.10875,104.21195,101.478226667,3693.63735955,184.70403,-4.007,-5.16970487484,24.465405515,52.348,0.05671,0.0644817523057,0.00186054323949,0.46949,-10.282,-12.010115942,46.3541272566,56.568,95.17642,93.7110451779,2883.35608186,186.16875,93.272585,94.2927666219,2911.8171587,185.61793,53.202,51.8407720685,28.4696434276,56.973,21.087,19.3956007905,1055.15035499,328.159,44.892,45.8597022398,1202.59577475,239.517,5.205,3.43011857708,625.324046426,171.972,31.588,32.1760935441,679.20378419,209.071,-11.026,-8.1040513834,564.875793466,213.959,21.921,19.6455770751,510.284963409,154.354,-4.793,-3.84948353096,437.294994584,163.918,-17.401,-17.589314888,318.233711575,142.982,-10.931,-10.7753636364,346.284316974,150.365,-2.849,-3.79199209486,188.040133512,141.996,-5.904,-5.76555467721,256.473049667,121.56,0.218,0.287869565217,0.0529273597984,0.982,0.296,0.401736495389,0.0964608607366,0.973,0.348,0.450828722003,0.102560442337,0.972,0.169,0.220368906456,0.0295261274126,0.985,0.258,0.363092226614,0.0902167503875,0.986,0.241,0.337649538867,0.0751717981256,0.987,0.165,0.230343873518,0.0366560965073,0.987,0.227,0.386868247694,0.121932860112,0.987,0.22,0.305071146245,0.0587291965192,0.984,0.443,0.523666666667,0.125664709706,0.989,0.284,0.350566534914,0.0693842561133,0.985,0.179,0.227724637681,0.0355957015142,0.989,4.0,2.0,0.0,183.6,192.02567,0.437,0.0,0.0,-3.717,113.623,0.693366890107
131.74203,131.740995398,5881.14958035,263.32086,133.15644,133.151686878,5923.28585836,266.13773,82.840505,103.380421,5278.55692269,241.77369,-8.188,-9.37228768066,17.1214672689,41.049,0.02721,0.0333146799725,0.000521834611408,0.25904,-17.742,-20.5944845148,84.44615911,51.755,133.59256,131.33942808,6383.97545736,266.18503,133.15644,133.151686878,5923.28585836,266.13773,47.383,45.5718761184,29.8869763811,41.762,37.062,38.269854095,2086.95428025,272.705,61.169,63.1535739849,2967.37122255,327.019,38.986,47.5180034412,2148.18656443,518.855,-47.897,-45.4688313833,1066.74372524,182.192,-2.733,3.2554604267,1497.93211831,261.413,9.876,8.53947625602,1008.5070672,228.389,-2.007,-1.61595939436,371.452556495,130.097,18.559,19.6944418445,718.898329061,260.812,7.662,6.76700137646,323.056610034,153.484,7.839,8.39957536132,492.292037769,226.272,7.456,4.88181830695,945.074066998,227.498,0.429,0.487944253269,0.0684738475461,0.957,0.363,0.417006194081,0.0561464631413,0.97,0.3,0.390317274604,0.074551096171,0.977,0.292,0.341152099105,0.0423173140992,0.978,0.341,0.367352374398,0.03887717246,0.961,0.606,0.624754301445,0.0759272149247,0.98,0.615,0.614731589814,0.0868698563799,0.975,0.693,0.627689607708,0.105216025474,0.971,0.419,0.50567377839,0.108015703628,0.984,0.352,0.474105987612,0.111884650845,0.99,0.282,0.388736407433,0.0891742629347,0.987,0.117,0.227384721266,0.0659270722235,0.996,5.0,7.0,1.0,259.976,266.55302,0.0,0.0,0.0,-7.521,127.638,0.672797351154
167.05178,167.013726219,9395.06043042,333.49166,167.88606,167.84871767,9465.75057268,336.00631,167.25977,159.290031667,11840.8015543,329.90796,-7.3815,-8.91282210031,23.5554829691,56.927,0.039095,0.0501284561129,0.0013454935629,0.28107,-18.448,-19.94130721,59.9458990796,54.455,167.133655,168.085840486,8533.54061244,336.44213,167.991095,167.952938048,9465.83004936,336.21618,47.5155,46.0814663009,26.9360696627,53.365,46.5895,47.3626167712,1578.16196492,322.142,-17.1225,-23.5269365204,2932.85717676,292.567,3.5475,6.33584404389,2524.24368387,354.952,-19.7385,-18.8990007837,810.37363251,210.188,-4.287,3.61507758621,1788.71598618,334.416,13.5785,11.84519279,914.074671942,191.21,-1.983,-0.333979623824,641.408504711,203.74,-12.4505,-13.1264310345,379.489526521,157.828,3.506,4.64602586207,403.626123905,157.649,-4.4565,-4.4357539185,453.900059806,145.608,-4.982,-6.33282601881,351.060036528,126.105,0.3555,0.449808777429,0.103850030832,0.991,0.3465,0.429463949843,0.0944501860045,0.994,0.285,0.362340125392,0.0825494376063,0.998,0.236,0.293651253918,0.0542202741442,0.998,0.396,0.470881661442,0.107620618441,0.997,0.379,0.450856583072,0.102332741971,0.998,0.307,0.367864420063,0.0690425952544,0.999,0.3695,0.518220219436,0.14247390213,0.997,0.173,0.240656739812,0.0483153508245,0.992,0.1215,0.228312695925,0.0674765832557,0.998,0.08,0.141320532915,0.0296153024311,0.998,0.2985,0.337826802508,0.0620398375575,0.997,4.0,0.0,1.0,331.79,340.58404,0.99,0.0,0.0,-7.088,143.629,0.64727218019
214.14124,214.13416824,15405.0588375,426.52251,216.2072,216.198005787,15603.8515251,432.05444,180.77779,187.1585515,17478.1319786,417.75756,-18.582,-21.1623412494,79.6555163105,54.602,0.02447,0.0256725554982,0.000203722514223,0.17673,-40.924,-40.6104605059,16.6904762422,40.453,212.76717,215.147339401,15931.3355733,432.47528,216.321635,216.312632646,15587.3574832,432.28769,30.61,29.8313076923,28.4495243741,46.863,-46.76,-46.2548781621,5644.15180153,485.88,-143.579,-141.421477026,1950.94750987,262.03,52.431,47.5881858544,5911.97486729,561.289,-28.561,-28.6237965927,1521.19606405,229.132,-17.114,-8.37218895199,3702.47583263,344.766,-0.329,-2.24169024264,944.180107394,251.723,8.77,3.93413422819,1506.98506534,214.66,10.635,9.52845379453,585.482104139,147.541,20.056,20.9850129066,579.420140375,172.36,15.999,17.451326794,838.996224639,256.642,0.596,2.40567630356,457.798199989,126.897,0.983,0.86354104285,0.0419154935401,0.939,0.875,0.814481156427,0.0466931087053,0.938,0.241,0.27678316985,0.0423941945954,0.987,0.141,0.25731285493,0.0688697782189,0.99,0.109,0.211433144037,0.0556076621539,0.994,0.079,0.205230252969,0.078515103411,0.996,0.07,0.190866288074,0.075987798848,0.996,0.074,0.179459989675,0.0646917620801,0.997,0.09,0.175990191017,0.053407618386,0.997,0.058,0.151726897264,0.0564591505052,0.997,0.063,0.125311306144,0.0319930321541,0.997,0.182,0.313040268456,0.0773282038508,0.998,5.0,1.0,1.0,419.997,432.95302,0.162,0.0,0.0,-14.147,87.22,0.629073143344
120.38762,120.994820795,4964.91706668,240.62562,123.12229,122.854757326,5014.45342847,245.02693,112.90901,119.230159333,5896.91362519,242.3197,-19.819,-20.1503830898,40.4713440046,55.264,0.06488,0.0767545511482,0.0026868772486,0.5803,-28.933,-29.2120114823,50.7280027212,49.908,122.5178,123.10210739,5002.09049362,245.21574,123.12229,122.854801228,4995.76590285,245.02693,35.8965,35.3407661795,39.9885099015,51.15,-42.0435,-36.660526096,2648.64924734,345.921,-36.5735,-35.2376231733,1809.2254432,265.059,-33.942,-33.8346847599,2070.32070432,286.107,27.419,28.2549102296,1121.48883155,230.804,4.1245,7.6443256785,987.291803975,207.76,-36.327,-38.2003006263,1217.82235862,200.887,-8.0805,-6.41999582463,718.1609861,219.067,2.31,1.6984091858,417.608415137,163.662,-9.622,-9.75786221294,385.166784042,161.058,-5.3345,-6.30007515658,401.603143852,126.215,6.0465,6.56196450939,565.271017097,142.156,0.079,0.219326722338,0.0921204203924,0.995,0.077,0.151372651357,0.0408477640537,0.995,0.119,0.280254697286,0.106101864148,0.994,0.142,0.31256993737,0.11915203634,0.995,0.085,0.153518789144,0.0357689135301,0.996,0.2955,0.391299582463,0.104825598142,0.995,0.4775,0.537936325678,0.132485725591,0.993,0.2015,0.282907098121,0.0727731615154,0.993,0.061,0.153396659708,0.0588276902602,0.995,0.056,0.107230688935,0.0228855595175,0.995,0.075,0.183392484342,0.0689582008621,0.998,0.049,0.11493006263,0.0335848917685,0.996,4.0,3.0,0.0,240.448,249.5473,0.38,0.0,0.0,-15.436,87.735,0.62830343443
204.43725,204.432525644,13972.4032974,407.67804,205.34573,205.342676545,14066.0340205,410.42629,207.16528,220.661935385,13783.7548204,407.37036,-10.606,-11.7341303623,23.1555224174,55.503,0.02635,0.0289228029988,0.000193155403014,0.13925,-23.932,-24.9457530196,31.0091921052,45.615,206.69701,208.978381703,12576.4526729,411.02408,205.458985,205.456412685,14066.0449965,410.65432,42.71,42.0429337776,17.1603268957,49.435,-34.622,-28.6390691379,3099.68151664,453.252,-84.069,-80.1278129946,1443.5489515,304.138,23.684,27.4537488546,1864.58532283,452.266,8.869,7.89187505206,716.959142936,227.496,-22.27,-17.843424823,1502.03015883,278.2,6.332,11.225967097,694.653733069,175.716,-2.912,-5.52803956685,831.854836344,203.547,1.691,1.87144689713,310.266386644,148.431,0.341,0.308205747605,541.798509369,122.85,7.645,7.13590254061,425.783413615,198.056,0.302,0.0694543940025,254.485931498,130.926,0.686,0.683840066639,0.0512361093651,0.902,1.0,0.82066847147,0.0674433186603,0.934,0.417,0.451824656393,0.0615876881218,0.976,0.356,0.388686797168,0.0472259352234,0.978,0.304,0.336261557684,0.040443908264,0.988,0.266,0.297877134527,0.0397626433797,0.987,0.234,0.323020408163,0.0551671828405,0.975,0.242,0.331603082049,0.0628310748593,0.988,0.288,0.405372344856,0.0962202028837,0.988,0.256,0.361289462724,0.079949361026,0.986,0.265,0.366483132028,0.0808543954881,0.984,0.247,0.334024156601,0.0867492330691,0.995,4.0,11.0,0.0,406.727,413.1522,0.131,0.0,0.0,-9.464,131.88,0.626842492398
93.250835,93.3347216667,2946.86857313,184.94733,94.98461,95.084420137,3032.05912239,190.16217,60.09141,83.2179857143,4433.25315536,176.68996,-19.368,-20.2062283272,52.0945856341,49.067,0.05041,0.0534586446886,0.000698291106222,0.29951,-31.884,-32.1888547009,35.796785438,41.503,91.29918,90.773460293,2562.04883308,191.28317,95.15875,95.2597011668,3043.41915837,191.20465,34.538,33.6211428571,33.3056789796,43.433,-55.736,-55.241042735,3374.33997462,384.555,-7.088,1.90652503053,3194.51926004,402.169,9.323,14.0757081807,2021.2363965,390.211,20.335,18.4035848596,806.418071007,187.216,17.011,21.3268351648,2007.72161597,256.459,17.475,18.0444627595,894.068919514,183.843,-4.852,-5.07210500611,411.531099657,136.332,-25.667,-24.8258559219,411.882153066,142.539,-12.376,-12.4782612943,336.682892535,149.198,-4.727,-8.03042857143,434.920895454,138.706,10.359,10.563969475,339.175414726,106.316,0.33,0.452142857143,0.112472845282,0.984,0.223,0.334313797314,0.0793293484177,0.992,0.212,0.371603174603,0.123372715545,0.997,0.235,0.336061050061,0.0804727899237,0.992,0.385,0.473427350427,0.0977677001555,0.991,0.184,0.289240537241,0.0707822144251,0.995,0.243,0.348111111111,0.0831771415005,0.989,0.22,0.325371184371,0.0798121674725,0.993,0.346,0.422768009768,0.0951275701122,0.987,0.297,0.424274725275,0.12092907593,0.983,0.223,0.337393162393,0.081088494996,0.989,0.427,0.496079365079,0.101876952187,0.986,4.0,4.0,0.0,182.724,192.9922,0.0,0.0,0.0,-14.661,69.084,0.610985551309
119.03362,118.366486706,4625.97965951,233.74201,117.66653,118.222643732,4730.09138168,237.90192,113.87154,115.547099,6014.25211904,231.06072,-8.6065,-10.4676272366,43.7469885618,57.248,0.0453,0.0557617693837,0.00155874076645,0.34297,-19.023,-21.147667992,75.9565959534,52.218,114.799475,117.481299712,4651.27646265,237.93805,117.66653,118.221530956,4716.59070816,237.90192,46.3585,44.6648270378,46.1122840377,52.838,-29.0575,-29.7355248509,2109.49936924,386.421,14.2945,16.9057027833,2325.81226556,311.558,8.237,8.04004373757,2042.57053462,331.603,-3.3695,-2.94866898608,1325.74973966,227.411,-0.417,5.51473956262,1687.95219868,310.135,6.459,5.44499502982,863.590974126,185.054,8.9115,9.7265417495,854.946819717,215.551,12.6645,12.1878737575,388.470806758,137.499,2.0895,1.97347912525,540.75867711,156.004,-3.0555,-4.00984691849,621.506602851,219.164,-9.3035,-10.1903588469,355.130331276,113.917,0.455,0.497903578529,0.0873596736055,0.988,0.378,0.473793240557,0.100083382698,0.987,0.315,0.421611332008,0.10488059347,0.99,0.2335,0.308009940358,0.0597204869787,0.994,0.3475,0.421279324056,0.0855207182007,0.996,0.246,0.304454274354,0.0518526395593,0.994,0.2425,0.336274353877,0.0776152467975,0.995,0.2455,0.357604373757,0.0926459746926,0.992,0.283,0.38235387674,0.0901555725844,0.988,0.343,0.43805666004,0.102680447088,0.991,0.3105,0.394833001988,0.0886145943781,0.989,0.353,0.465125248509,0.119613608567,0.996,4.0,9.0,1.0,220.74,238.78485,0.38,0.0,0.0,-8.069,87.602,0.586472505382
78.298,79.4890128814,2191.51644214,158.31594,81.6293,81.5340097143,2211.64128016,162.35194,75.63131,67.43356,2951.02489965,139.3143,-7.703,-7.41908278581,11.6356178762,58.933,0.04864,0.0581273324573,0.00159608288447,0.33782,-14.324,-14.8127779238,17.2035150348,53.783,81.9059,81.1790082786,2157.62789518,162.93705,81.712895,81.6171444592,2211.65225542,162.85399,49.147,49.1345387648,9.38465522879,54.936,13.9,15.4167135348,1494.35494892,269.651,31.165,34.759738502,1634.90335185,256.848,6.918,5.47738633377,830.761620245,210.678,-6.3,-9.00469119579,1046.00194644,194.521,-5.392,-4.48126938239,707.730085556,262.452,-10.144,-4.97695926413,706.742886199,138.708,-2.52,-1.15617214192,733.547089659,185.178,-6.908,-6.39232325887,290.162094805,122.495,-0.398,-0.66455847569,450.52601042,128.7,-0.297,-0.0559724047306,242.144684899,114.159,10.097,10.1308462549,192.104400188,99.322,0.745,0.682818659658,0.093244734527,0.973,0.48,0.521019710907,0.0792214936982,0.972,0.323,0.383985545335,0.0685019275177,0.993,0.198,0.296858081472,0.0665651230917,0.997,0.203,0.275371879106,0.047389276949,0.993,0.257,0.316136662286,0.0598002493918,0.994,0.308,0.390321944809,0.0726052222385,0.981,0.616,0.601875164258,0.106461128963,0.965,0.442,0.466272010512,0.0747396829091,0.982,0.336,0.415333771353,0.0928084904364,0.99,0.36,0.3994717477,0.0625688773227,0.988,0.347,0.376777923784,0.0546039441119,0.988,4.0,7.0,0.0,163.134,163.13424,0.253,0.0,0.0,-4.571,90.055,0.575511786732
