barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
205.55165,205.566132301,14141.0440058,410.18403,206.84367,206.858251093,14289.4063368,413.45891,117.65807,157.102634545,17669.0009717,411.078,-15.741,-16.9640488351,26.3455833583,48.886,0.0405,0.0431994399642,0.000862402105824,0.78995,-27.3875,-28.1611043907,34.6713186759,44.18,202.338575,203.468737155,13721.3101809,413.82308,202.967675,202.8670415,14250.8261041,405.2696,4.282,4.44694041219,969.905637773,508.885,6.171,4.56140053763,860.956807046,323.49,3.498,3.23391935484,912.620883284,304.699,5.4125,4.27278763441,928.532260661,300.813,4.822,3.79085887097,881.600292301,310.838,4.689,3.46093817204,912.663393138,336.205,5.611,4.14494489247,880.883616276,305.041,4.6235,3.52465770609,935.731797198,344.082,4.0505,3.40711514337,871.548951245,349.952,4.3475,3.66540546595,870.475738297,332.104,4.8065,4.28517293907,867.968383827,354.663,5.5185,4.71734677419,924.579284655,319.363,4.0,1.0,1.0,408.091,419.3171,5.062,0.0,0.0,-14.526,139.245,0.459724988331
178.94078,179.042101354,10765.2834335,357.52491,180.113765,180.212392662,10821.8911914,359.87015,162.772995,160.599267857,11448.2225318,324.65543,-17.906,-18.5912408554,16.1848679848,48.585,0.03416,0.0392162408554,0.000607218184856,0.27571,-27.268,-27.6396646033,25.8578758931,44.508,176.34077,176.608436106,10493.0353483,360.24104,175.42548,175.641286641,10756.308535,350.50329,3.446,0.120171074845,945.077795181,228.1,3.443,0.166629150253,1060.70425174,305.242,3.655,0.424199212155,1003.41361381,301.594,2.961,-0.73400450197,1073.78474373,433.986,2.564,0.214670793472,986.661099279,463.861,3.118,-0.205293190771,987.379726144,253.808,2.973,-0.0677585818796,978.530345329,299.786,4.252,0.956902082161,1042.44863488,245.603,1.392,-1.09554192459,988.597313206,220.776,3.002,0.340365222285,1033.14281021,414.184,2.185,-0.698989307822,941.033644423,263.757,2.427,-0.27685481148,1028.76485146,266.251,4.0,0.0,1.0,358.58,367.82975,0.345,0.0,0.0,-16.259,128.034,0.433949343095
204.744185,204.575420972,13975.0131922,408.15668,204.744185,204.575420972,13975.0131922,408.15668,172.94242,182.546965,20504.8979494,403.77333,-15.0855,-16.1824256293,26.3828839035,53.319,0.03923,0.0511451372998,0.00196277550233,0.39604,-21.641,-22.6896864989,31.5622581088,48.346,210.392655,205.690831876,13144.9186393,408.47583,203.0435,203.662532013,13790.3094621,404.7192,1.285,-2.01559839817,1092.38321892,267.661,2.625,-0.162998855835,1128.01749481,266.44,3.3485,0.52031979405,1131.05883017,281.357,1.6985,-0.994788329519,1136.21646041,323.771,2.551,-0.422817505721,1168.3340807,350.904,3.4,0.0551287185355,1185.07675744,345.376,2.08,-0.768229405034,1155.24962784,366.588,3.012,-0.448520022883,1200.46625555,370.448,3.025,-0.275880434783,1173.45927297,333.254,2.6635,-0.717931350114,1153.67802824,307.369,2.1165,-1.18530091533,1139.82577812,262.209,2.9205,-1.15774485126,1147.12686599,345.496,1.0,10.0,0.0,396.545,413.30893,0.171,0.0,0.0,-13.414,52.803,0.424090810967
168.58188,168.528625253,9083.09608082,329.52878,167.91375,167.961794692,9347.07309266,332.92422,147.94107,144.754467778,12130.2329121,328.49857,-13.158,-14.0689968534,19.9787793147,44.424,0.04147,0.0491075267464,0.00695278241824,2.29209,-25.421,-25.2811327879,34.3881462813,48.135,170.52467,170.756082228,8688.52411766,335.80286,166.35786,167.173232,9236.48378573,329.75247,-5.324,-3.86458086847,1181.11681566,334.836,-4.182,-3.13301384519,1153.07841288,285.946,-4.856,-4.01835305223,1181.60926956,345.978,-4.754,-4.18198993077,1153.05211784,338.235,-4.22,-4.40777847703,1115.21156965,277.793,-3.759,-3.2383096287,1130.50422961,288.262,-3.901,-3.82059282568,1108.3150226,358.529,-4.476,-4.15621963499,1215.43697406,352.808,-4.061,-4.00586847074,1185.35722729,344.368,-4.618,-3.89976085588,1186.75598547,338.709,-4.568,-3.60958212712,1143.74895739,320.382,-3.562,-3.74826809314,1161.81235367,276.726,5.0,2.0,1.0,330.194,343.69261,12.742,0.0,0.0,-12.114,90.07,0.386477291255
149.31108,149.297880238,7422.2294501,296.69684,150.4206,150.408367234,7511.0004347,300.01477,151.08162,144.249356667,9100.6899327,289.45703,-13.857,-14.5099190939,16.52827093,47.446,0.03313,0.0369537475728,0.000516916180454,0.34941,-24.16,-24.8165695793,28.3664302089,47.782,149.50018,151.954903987,7145.16551515,300.52245,145.753485,145.622135536,7414.43291302,289.79916,-0.145,0.200771521036,1109.27800292,249.815,-0.625,0.439249190939,1142.82278563,295.667,0.611,0.00732297734628,1158.62803416,257.047,-0.854,-0.116482200647,1182.02293411,302.396,-0.553,-0.262469255663,1134.53272458,264.436,0.269,-0.247319093851,1033.84071336,253.377,-1.515,-0.25133592233,1173.23378907,230.801,-1.426,-0.735750161812,1139.48851113,275.405,0.402,0.906525566343,1213.20254339,308.579,-0.173,0.238532686084,1131.11566541,273.637,-0.447,0.32744012945,1145.01113033,265.759,-1.1,-0.00942912621359,1086.77320267,261.449,4.0,3.0,1.0,294.957,307.43465,0.0,0.0,0.0,-12.384,135.091,0.377531644977
175.144675,175.095175806,10126.2609598,346.46619,175.768675,175.717982875,10198.5928693,348.95438,238.59365,199.597988889,14716.5453052,340.00399,-17.6565,-19.059672327,45.5705889222,51.01,0.03879,0.047593754717,0.00165796709452,0.4727,-24.8125,-26.4621025157,64.9310887448,48.528,172.47213,173.759906132,10431.9773664,350.00317,170.459205,170.331278925,10119.4616936,338.82804,-0.258,0.26633836478,1138.54919984,374.479,0.3245,2.22150314465,1064.11330412,337.088,0.1825,1.54935471698,1050.47254835,332.768,-0.425,1.85211572327,1046.18132369,321.872,-1.3725,1.00931006289,1059.24611709,351.743,-1.3295,0.36056918239,1084.10444885,357.274,-1.2675,0.855810062893,1070.53676536,330.98,-0.289,1.54626415094,1114.35428804,370.851,0.2635,2.6340572327,1120.57170472,343.535,0.27,1.69283459119,1168.04964662,368.824,0.244,1.07654465409,1060.12338913,340.864,-0.6695,0.320239622642,998.906313422,380.911,3.0,2.0,1.0,347.754,351.45098,0.0,0.0,0.0,-14.234,96.034,0.377531644977
152.82703,152.82708491,7793.34387686,303.99433,154.20301,154.200457355,7910.7262421,307.64533,123.30307,125.641141,7383.12363776,264.52971,-15.184,-16.5252903654,26.7554582539,53.407,0.04025,0.0431506112957,0.000447562627533,0.27744,-25.135,-26.6294239203,42.5631728754,45.018,155.31465,155.456360638,7997.36824267,307.97379,149.85182,149.728339196,7877.0368824,298.72873,3.69,2.92349700997,1111.57341481,375.155,3.366,3.65705116279,1108.77194724,333.981,4.02,4.11341129568,1104.03505967,393.904,3.485,2.59543189369,1109.93745328,304.938,3.16,3.18304252492,1176.98848451,399.844,5.304,3.73124186047,1082.11448638,338.62,4.326,4.0372717608,1089.84593993,328.636,3.411,2.78952757475,1104.82114876,400.756,5.555,3.05409302326,1184.66657736,339.898,4.075,3.52223654485,1111.92323072,335.549,3.606,3.45505448505,1067.87273352,308.131,4.083,3.61321395349,1095.70447593,306.139,4.0,8.0,0.0,307.246,314.67057,0.34,0.0,0.0,-13.747,131.076,0.367273415809
180.60338,181.101737871,10794.5131875,358.91598,181.289235,181.786966,10822.4960833,360.32106,165.02595,162.575481765,12922.3390614,349.7388,-15.5035,-16.2533783069,21.146927513,50.0,0.0358,0.0514365873016,0.0127348894302,3.75315,-22.1855,-22.6363578042,26.9100726808,47.698,191.914785,190.763546958,10148.1414445,362.47179,180.1468,180.746154733,10723.7847657,358.44573,0.709,-4.37405621693,1450.02091366,342.447,0.0525,-4.20985449735,1438.49110866,283.525,-0.42,-3.69907208995,1355.58046801,328.203,-0.99,-4.35766798942,1424.43275261,302.806,-1.919,-5.22548280423,1424.85102574,299.066,0.0695,-5.61933531746,1513.21271407,307.549,0.169,-4.43358267196,1457.46632721,300.985,0.75,-4.13647156085,1626.66106552,524.511,0.246,-4.48805224868,1437.39315002,369.993,0.356,-4.63488888889,1593.79929891,471.229,0.4905,-5.36024404762,1546.49794235,318.54,-0.324,-4.40064748677,1541.19260818,330.754,3.0,0.0,0.0,359.915,374.9873,7.192,0.0,0.0,-13.441,130.995,0.367273415809
258.269185,258.073959388,22129.2341177,513.494,259.58449,259.388469619,22317.9465811,517.02716,232.0907,244.123524348,27065.1752761,509.51653,-13.799,-14.5806909379,15.3524417355,53.322,0.03952,0.0441555639098,0.000991205190491,0.73539,-22.422,-22.9523217254,27.1017060821,49.601,256.14218,255.476125002,21895.7631674,517.8137,254.42675,254.456587908,22120.9703906,506.70516,-0.598,-1.25005579739,980.742726725,264.004,-0.401,-0.924811238623,983.238994709,309.547,0.013,-0.859320538188,987.185748846,277.835,-0.372,-1.636514444,1025.98387114,432.37,-0.29,-0.831698456668,963.04673961,247.412,0.442,-0.521368816779,959.374521796,261.684,0.089,-0.624508508112,992.631895341,349.348,-0.1,-1.25293707954,979.081459658,315.379,0.52,-0.463363276613,1006.06008584,336.85,-0.221,-1.74079659676,976.326187929,261.063,-0.874,-1.2727186387,971.981688783,377.377,-0.523,-1.24038306292,960.967361982,237.348,4.0,11.0,0.0,515.367,524.14649,0.752,0.0,0.0,-12.251,137.002,0.367273415809
199.40902,199.09269316,13319.6212031,397.18292,200.06197,199.742123128,13405.9864934,399.02983,205.18648,177.885716923,14401.8902381,388.81002,-10.607,-12.3118732473,34.1834419391,55.164,0.03814,0.0510498653954,0.00269072436297,0.78786,-18.102,-19.0334111049,27.8162148063,50.503,218.85361,216.408103102,11469.2171808,399.44413,198.530315,198.330557338,13405.3921421,396.88814,2.625,4.32010600112,738.998545341,245.71,2.057,3.61708300617,784.753530526,255.48,2.531,4.04316489063,814.165310484,244.012,1.812,3.4676186203,779.333286875,284.568,2.801,4.16889680314,793.577625738,278.982,2.6,4.16923387549,759.071071464,249.573,2.479,3.51381155356,773.148832733,263.818,1.487,3.19157319125,789.989231428,309.562,1.268,3.31062871565,794.488631853,245.918,2.213,3.15717666854,828.370151349,273.992,3.108,4.02052495794,750.454590642,244.021,2.932,4.23743297813,766.556631059,282.525,3.0,2.0,1.0,388.075,404.55791,5.677,0.0,0.0,-9.744,137.113,0.355285536423
