barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
105.67738,105.675857765,3684.34505138,207.80997,107.22365,107.222049335,3816.02154381,213.37261,80.31914,82.18363,3547.03621334,175.56226,-7.528,-7.99091609195,12.2459947274,57.105,0.03865,0.0424948045977,0.000488552092778,0.27689,-16.6845,-18.6987724138,53.5144019022,51.699,106.65229,106.916128138,3827.95820733,214.17238,107.146475,107.14486847,3827.08598897,214.14752,47.7885,47.0966287356,16.883159976,52.7,16.53,16.858791954,1012.83883896,270.628,-6.5285,-8.78709310345,1248.76533622,221.418,3.6915,5.88302413793,2169.46810065,463.12,3.813,3.03419195402,963.285493762,181.094,-4.128,5.56314942529,1793.52064577,327.191,12.325,11.1744827586,683.884963629,174.163,2.236,3.66629885057,628.003112692,207.19,-3.747,-3.07262873563,336.350744461,113.985,4.183,5.40473908046,397.473452276,152.557,-0.702,-1.13261034483,440.353007307,172.465,6.4375,2.44553563218,447.512239373,128.166,0.4255,0.436766666667,0.0735082041762,0.997,0.7625,0.663354022989,0.122767865472,0.994,0.26,0.328585057471,0.0643543025353,0.998,0.1785,0.223593103448,0.0316714574237,0.998,0.1895,0.219101149425,0.0272660518378,0.997,0.2215,0.273524137931,0.0431242195323,0.991,0.2815,0.413183908046,0.110067577672,0.994,0.161,0.20835862069,0.0299688185176,0.996,0.2035,0.329545977011,0.0899668570815,0.987,0.185,0.287063218391,0.0698737672678,0.998,0.16,0.252494252874,0.0657725005417,0.997,0.175,0.296733333333,0.0863737909579,0.998,4.0,11.0,1.0,211.615,215.66649,1.122,0.0,0.0,-6.522,96.985,0.829072531969
66.0095,65.852618125,1451.86258986,130.96249,66.86464,66.7379703974,1484.73732922,133.2916,53.89113,56.1440833333,1621.37704065,114.0305,-11.0255,-11.7866028037,14.9923258749,25.713,0.04062,0.0499578037383,0.00133664736324,0.49327,-23.923,-24.0788037383,51.8259455191,40.714,66.184125,67.3069978193,1483.9053642,133.52345,66.86464,66.7378711271,1481.46075004,133.2916,43.526,42.5819252336,22.9928955053,26.403,90.997,90.4149937695,1692.90156889,216.613,10.7775,13.9135825545,3927.10729118,351.779,16.414,16.5027056075,1997.38660451,352.296,0.018,-2.26946728972,806.221450224,188.222,11.367,12.9189501558,1646.58303141,224.265,-6.678,-9.62520716511,1192.95918495,188.988,-1.705,-0.995562305296,537.874493994,148.232,20.063,19.7311199377,306.388577968,124.699,17.023,18.2308380062,427.565275852,131.125,-1.1395,-2.11820404984,447.957590639,116.625,-3.775,-5.42978504673,496.586361244,133.208,0.4345,0.475546728972,0.118205412925,0.983,0.4895,0.534250778816,0.119446349883,0.984,0.1725,0.288169781931,0.0858353309872,0.994,0.1395,0.211546728972,0.0527194721155,0.995,0.1155,0.191702492212,0.0441749971589,0.994,0.2085,0.288210280374,0.0663546551591,0.993,0.194,0.286560747664,0.0712793179608,0.992,0.1855,0.25935046729,0.0599163989795,0.992,0.356,0.427281931464,0.108246850421,0.989,0.166,0.265381619938,0.0588653356746,0.994,0.2735,0.35122741433,0.096278633641,0.991,0.1595,0.280838006231,0.0818150859076,0.994,4.0,1.0,1.0,133.877,133.8771,0.0,0.0,0.0,-9.858,205.154,0.827354518192
127.32665,127.834079187,5569.8033055,256.69201,129.57416,129.793290699,5671.970575,259.62759,126.81556,127.904016154,6339.72431475,251.95473,-9.494,-10.3736175373,14.1850136392,55.421,0.04311,0.0501867630597,0.00107072351294,0.32156,-21.4025,-22.2551697761,61.867718876,53.072,123.869705,127.503025737,5901.98285422,260.03356,129.71455,129.92295522,5672.04850408,259.87378,45.532,44.4883199627,21.3932540833,53.084,66.0015,64.439079291,2137.85322149,385.017,5.3145,-1.43376958955,3372.30396141,391.437,8.706,12.2508442164,2627.64659688,401.272,-12.7995,-9.3029505597,895.509253717,223.659,6.4815,11.7680774254,1925.84958135,314.184,10.127,7.89180503731,646.041770735,222.477,2.787,2.38204664179,556.06975839,201.605,-2.101,-2.7573255597,402.469164705,177.913,6.35,6.15515485075,474.654973327,161.732,-8.1695,-8.26646828358,603.941563413,228.113,-21.2745,-21.7978712687,376.034126189,139.105,0.271,0.408851679104,0.136468880053,0.993,0.317,0.416989738806,0.114779687395,0.991,0.174,0.30678358209,0.101004104283,0.996,0.1915,0.277192164179,0.0667125283714,0.995,0.122,0.194186567164,0.0417281312375,0.997,0.1065,0.209208022388,0.067788131167,0.998,0.1225,0.21334141791,0.0589096744786,0.997,0.193,0.403277052239,0.155728467085,0.997,0.213,0.295139925373,0.0744610942269,0.994,0.123,0.222020522388,0.0607723540564,0.997,0.123,0.239651119403,0.0729153185808,0.997,0.116,0.197362873134,0.0457830800768,0.994,4.0,0.0,0.0,259.425,265.22077,0.148,0.0,0.0,-8.918,117.819,0.791932100616
97.12783,97.1301767901,3131.6202048,191.44996,98.08518,98.0876530562,3194.27398179,195.29568,76.786455,76.215799,3059.45948705,174.20525,-6.0975,-8.37330506329,36.5973413487,58.331,0.04157,0.0527285063291,0.00218203751321,0.51552,-13.563,-15.4377835443,54.9873207873,56.144,94.641065,93.7100622911,3048.4059013,196.01388,98.165,98.1674594617,3189.08785986,195.45573,50.4155,48.2669177215,40.3293218173,55.874,10.327,4.7417556962,1785.40584185,309.653,-0.3075,-7.83328987342,1620.97226818,361.042,-9.786,-12.169635443,1319.48301553,474.598,-4.836,-6.56506455696,1288.644806,271.824,-14.9795,-11.2583810127,765.182347719,201.791,0.7615,1.33261518987,739.343136151,201.761,2.5675,2.63048481013,391.545779624,196.465,0.419,1.56069113924,604.282012315,150.988,0.672,0.0627810126582,277.954335677,190.902,0.131,-1.22409493671,278.421841202,133.733,-2.7615,-2.23594683544,355.076371131,127.138,0.369,0.428220253165,0.0864287185772,0.997,0.425,0.502992405063,0.111106815132,0.998,0.176,0.221878481013,0.0345657852331,0.997,0.211,0.280793670886,0.0498667916055,0.996,0.4335,0.509137974684,0.110922931596,0.997,0.271,0.331017721519,0.0641131996859,0.998,0.344,0.438129113924,0.112417978266,0.997,0.213,0.296546835443,0.0647974199583,0.995,0.3165,0.397179746835,0.0838526132607,0.992,0.2745,0.389065822785,0.104934370351,0.997,0.207,0.273282278481,0.0574138633568,0.997,0.244,0.355258227848,0.10062656623,0.996,5.0,4.0,1.0,193.283,203.78077,0.394,0.0,0.0,-5.188,125.318,0.791263547867
108.03143,108.031760099,3882.25631898,213.84302,109.10514,109.100764693,3940.46584435,217.05601,72.505005,73.3906233333,3662.49652674,149.71088,-9.821,-10.605376914,25.3977480252,35.604,0.03914,0.0480118845701,0.00124900338114,0.35787,-17.428,-18.7325889282,42.1973638605,51.375,109.62404,108.654336584,3860.08344035,217.53374,109.10514,109.100862349,3930.78928908,217.05601,46.49,45.2132473498,27.0171013004,48.392,54.583,53.7865335689,1768.6784096,284.65,-15.138,-18.5640223793,1565.74426366,249.953,-12.674,-9.39458657244,1358.9622506,504.186,2.477,0.117347467609,852.533880547,199.186,-14.458,-8.95636277974,995.327802106,221.879,-16.964,-12.853991755,606.923870835,165.449,-2.853,-0.624209658422,560.94409153,186.145,17.753,15.9404405183,414.310624508,125.799,9.958,9.9341590106,313.147532888,116.268,-1.526,-2.21739458186,240.049396418,170.477,5.658,3.02181861013,349.242829388,118.71,0.423,0.46326737338,0.0793257200309,1.0,0.311,0.361146054181,0.0641604121193,1.0,0.118,0.164972909305,0.0242154256501,0.966,0.171,0.232784452297,0.0429503999467,1.0,0.336,0.41419434629,0.105606995209,1.0,0.179,0.229505300353,0.0387904101604,0.997,0.268,0.361156654888,0.0818682734569,0.997,0.178,0.269830388693,0.0628278181107,0.996,0.266,0.381250883392,0.0997781596724,0.997,0.236,0.428852767962,0.138346379972,0.999,0.2,0.301902237927,0.0731960293118,0.999,0.568,0.589804475854,0.138157865186,0.999,4.0,4.0,1.0,216.532,225.77587,0.0,0.0,0.0,-7.684,112.242,0.777368981562
75.92641,75.9349968675,1925.94899745,151.08678,75.92641,75.9349968675,1925.94899745,151.08678,51.25517,61.73993,2393.93967741,144.54065,-8.646,-9.14834992679,5.00935084827,15.568,0.03805,0.0495189897511,0.00209805307409,0.39201,-19.82,-20.1093396779,39.4090420222,50.362,72.4088,73.2095327086,1883.47093344,151.74485,75.92641,75.935028917,1930.55224615,151.4592,46.346,45.370477306,12.0232967209,19.142,62.181,60.9118038067,1194.27803652,191.442,25.41,14.5363206442,2823.27543395,275.586,23.014,23.0482679356,1805.5600982,279.944,-10.066,-11.2925212299,765.829538173,170.81,2.777,3.74885944363,1649.14277047,348.287,8.124,7.33195461201,779.041635308,174.308,-10.574,-10.3531332357,493.2301817,148.624,22.312,21.9538286969,342.801480034,125.564,17.522,17.065658858,390.584019106,132.245,-5.386,-5.25650805271,475.14776324,194.183,-13.604,-14.0598594436,597.152227154,151.507,0.739,0.623672035139,0.14636583973,0.99,0.352,0.438704245974,0.104011206819,0.991,0.144,0.224103953148,0.0452344035422,0.995,0.146,0.218786237189,0.0522944579658,0.995,0.108,0.1802284041,0.0354518921947,0.995,0.181,0.353592972182,0.127564001239,0.994,0.158,0.241674963397,0.0488699617011,0.997,0.138,0.319522693997,0.127896720934,0.996,0.138,0.223401171303,0.0535569020191,0.995,0.1,0.17598682284,0.039653916371,0.994,0.121,0.185231332357,0.0364355365293,0.996,0.189,0.255014641288,0.0538258358032,0.995,1.0,5.0,0.0,151.954,151.95383,0.0,0.0,0.0,-8.382,163.996,0.77590609872
99.66838,99.6730545963,3305.52271185,197.93031,99.97505,99.9824217311,3336.50894459,199.79168,100.59315,98.35376,3639.87384657,198.00782,-5.409,-5.80169175258,10.9569215679,60.275,0.03872,0.0527200824742,0.00196460847814,0.40036,-12.2975,-13.6961752577,33.2916720332,55.336,101.227095,99.8154363402,3248.51981489,199.961,99.97505,99.9824271616,3331.35137434,199.79168,51.2505,50.5166474227,11.7752607953,55.358,32.2025,33.4412309278,1613.48528168,319.73,8.713,7.51461958763,1320.87860965,303.951,-4.7355,-3.55120824742,1526.76727789,445.917,-15.286,-16.5232319588,1236.83241935,227.656,-7.9425,-3.75434226804,1210.17278383,342.768,-10.1165,-9.93975876289,677.370254822,174.367,1.4925,5.2023556701,597.676933338,183.979,-11.2115,-8.94199793814,578.477935322,139.498,3.773,5.22359587629,381.62883302,169.848,2.221,0.0349670103093,400.425421096,166.407,9.345,7.96796597938,290.660875396,115.486,0.5405,0.565480412371,0.0995604599256,0.985,0.3995,0.47173814433,0.0955949417409,0.995,0.2425,0.326470103093,0.0711999583845,0.993,0.1925,0.25653814433,0.0421160382357,0.988,0.274,0.358170103093,0.0760843865289,0.996,0.175,0.242827835052,0.0459767239675,0.991,0.2245,0.305657731959,0.060388548832,0.988,0.2595,0.349367010309,0.0756708261282,0.994,0.304,0.443610309278,0.113279019275,0.997,0.373,0.489148453608,0.129936557343,0.995,0.2405,0.322684536082,0.0636131747093,0.985,0.298,0.405921649485,0.101271822727,0.992,4.0,7.0,1.0,196.772,205.73995,0.642,0.0,0.0,-3.897,193.996,0.772816750719
112.04525,112.045129474,4163.38557638,221.1695,112.92247,112.927712344,4252.00900609,225.44091,57.93276,70.9694244444,2930.65052793,169.68662,-8.856,-9.75070138249,12.0277391274,55.19,0.04634,0.0564809769585,0.00135130647517,0.33707,-16.681,-17.3846304147,23.4481131676,51.471,117.98286,115.68385882,4576.78791702,226.05478,112.994375,113.001269225,4252.04806141,225.87504,47.612,46.7248175115,13.82584461,52.187,17.096,14.8416672811,847.328358878,261.551,-8.683,-6.63337603687,991.719403484,219.865,-16.824,-15.0504608295,1009.33600427,460.639,-3.939,-4.6149281106,422.211137057,141.463,-4.549,-3.75915760369,637.787949666,180.652,-4.573,-5.41682119816,422.762830558,136.073,3.482,3.78778156682,299.26773002,175.048,-1.608,-0.335439631336,269.126837072,117.815,6.595,6.43286451613,206.801485678,152.665,-3.28,-2.89628940092,249.368479111,160.13,4.859,4.71556682028,231.317260917,108.19,0.538,0.56931797235,0.118632325622,0.989,0.423,0.493923502304,0.109984949908,0.986,0.326,0.399822119816,0.0732929333356,0.988,0.279,0.335592626728,0.0572648865816,0.99,0.379,0.443011981567,0.0861940560776,0.991,0.3,0.379643317972,0.0814501041143,0.986,0.299,0.343478341014,0.0541458366277,0.985,0.461,0.504712442396,0.10217679473,0.987,0.295,0.356624884793,0.0629039505328,0.976,0.261,0.348492165899,0.0784991863442,0.99,0.182,0.262587096774,0.0496127659165,0.988,0.194,0.270284792627,0.0542618645153,0.989,4.0,0.0,1.0,225.408,228.57098,0.107,0.0,0.0,-7.984,101.985,0.764835820311
72.119375,72.1220236111,1726.89091846,142.66043,72.78609,72.7890988558,1767.31830224,145.33477,65.13382,68.5316042857,2633.64168968,134.75697,-6.6255,-7.5672,13.4260627862,54.761,0.03763,0.0437893770492,0.000793376294038,0.2415,-14.9175,-15.9800311475,37.7470083154,52.972,74.843745,74.1200113443,1723.29728164,145.58748,72.78609,72.7890830928,1763.27374332,145.33477,49.383,48.5444180328,18.0052276334,53.635,27.659,26.5857032787,1642.83129634,338.654,19.046,17.8252327869,1877.96066199,305.649,5.9875,3.92803606557,1416.96042128,631.698,9.192,10.5786016393,628.639659804,170.138,-12.667,-6.81068852459,1028.18169396,188.199,6.307,5.56187540984,590.967013919,180.783,3.676,4.99842295082,424.857141687,157.566,1.975,1.74498196721,201.227822054,106.117,5.932,6.42096721311,326.445621796,124.589,-5.03,-5.20570327869,307.596233337,142.546,-9.0235,-9.2298557377,416.80203613,135.2,0.4185,0.476039344262,0.0992960279602,0.988,0.299,0.375583606557,0.0876173249772,0.985,0.168,0.232460655738,0.0398835238619,0.989,0.204,0.288429508197,0.0660349794571,0.992,0.2925,0.414747540984,0.115471831346,0.997,0.21,0.263562295082,0.0498362985783,0.991,0.266,0.340760655738,0.0666142214028,0.985,0.263,0.357008196721,0.0885545950148,0.987,0.229,0.287,0.050917704918,0.993,0.19,0.271940983607,0.0580850161892,0.991,0.246,0.328955737705,0.071941665254,0.989,0.503,0.55166557377,0.124535642257,0.981,4.0,4.0,0.0,143.981,151.66649,0.071,0.0,0.0,-6.05,180.079,0.751934196013
114.59029,114.586783516,4404.17522092,227.406,115.8574,115.850179264,4477.62951454,231.18391,76.68411,82.3463011111,4660.14871546,224.50339,-8.244,-9.44244729345,25.7091236394,58.446,0.04227,0.0536847008547,0.00159466213526,0.33163,-18.032,-18.6471367521,39.1571743764,53.911,116.45093,115.723481852,4066.49398833,231.47483,115.77611,115.771262387,4465.46799188,231.34156,47.112,46.0633960114,26.1063462677,54.323,13.193,11.762377018,2158.01011802,322.306,-20.362,-19.1471272555,1241.27087047,208.489,-10.295,-11.2838081671,1831.21198303,334.813,15.897,15.186977208,818.989497678,192.482,-3.527,-2.6265660019,1150.25377797,281.057,-10.878,-11.6035527066,468.520566232,139.417,-0.152,1.72194491928,576.019721817,236.602,-5.62,-5.86724406458,375.636787142,146.844,3.71,4.00058974359,348.637325843,157.596,1.82,0.389929724596,355.18461133,125.432,0.421,-1.01614814815,326.340225752,108.169,0.376,0.435481481481,0.0805342648517,0.996,0.614,0.603969610636,0.108988758811,0.988,0.278,0.319189933523,0.0475802773156,0.994,0.392,0.452411206078,0.0867537216978,0.99,0.353,0.422331433998,0.0869946280432,0.994,0.318,0.386853751187,0.0756901628468,0.994,0.493,0.541929724596,0.10249019829,0.994,0.3,0.377639126306,0.073430407282,0.995,0.356,0.432696106363,0.0873284470599,0.993,0.23,0.310327635328,0.0603986438422,0.996,0.301,0.379632478632,0.0808867604646,0.996,0.293,0.406859449193,0.102625577586,0.995,4.0,11.0,1.0,225.698,238.23628,0.206,0.0,0.0,-6.695,94.971,0.750900044771
