barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
118.14615,118.134271014,4602.2500366,231.47752,120.18847,120.177755467,4819.23283778,239.74244,122.913685,117.540833333,5369.68152243,233.27951,-8.911,-9.87219788918,33.3068242133,57.873,0.03821,0.0466899120493,0.000939653627081,0.27678,-21.849,-22.7763878628,56.4497164925,52.386,121.06322,120.472308329,4499.91187291,240.52113,120.30166,120.291231594,4828.39923488,240.41249,44.76,43.9014494283,32.1025334313,52.918,19.514,21.0463579595,2536.9284051,336.963,-22.819,-24.2127519789,2102.26875298,328.697,12.021,13.4573139842,3411.24693723,600.47,1.427,1.03385664028,729.298190663,182.101,10.11,15.4590228672,1791.73367186,263.425,-8.621,-9.30889094107,684.151119102,190.883,-9.534,-9.92667722076,789.086593329,199.232,18.071,18.7061574318,416.278024778,142.161,3.825,2.97276165347,526.526723291,159.266,-2.008,-2.12874670185,607.486619857,189.159,2.465,1.90970272647,471.285051178,148.108,0.298,0.381525065963,0.081260868545,0.993,0.566,0.568353562005,0.14523620393,0.996,0.178,0.246621811785,0.0433662773782,0.996,0.147,0.276514511873,0.0932478874323,0.998,0.149,0.241777484609,0.0579693884816,0.998,0.216,0.325798592788,0.0925404475618,0.996,0.139,0.284153034301,0.0987315579349,0.999,0.15,0.275545294635,0.0839757184849,0.997,0.254,0.428502198769,0.153382644015,0.997,0.134,0.257217238347,0.0800115051382,0.998,0.109,0.231244503078,0.0727188126897,0.999,0.077,0.165590149516,0.0465427132891,0.999,5.0,1.0,1.0,233.256,242.93832,0.288,0.0,0.0,-7.543,88.081,0.774004274306
235.10469,235.412903383,18585.8529794,470.16909,235.95843,236.521984857,18738.6180693,473.09163,191.173915,211.615626,20982.5051846,455.75424,-17.5635,-18.6204550764,30.4008398643,33.251,0.0323,0.0361489757412,0.000518068674512,0.35896,-27.5125,-28.5377681941,31.7586703928,43.953,243.608865,243.121972426,16417.5884788,474.03252,235.95843,236.522280674,18755.8660889,473.53867,38.308,36.9838773585,26.3150217473,42.793,-3.4995,-6.29734681042,2249.18697801,344.62,14.0375,12.7728975741,1473.88544062,278.206,22.757,25.1528463612,1224.98710156,536.453,5.691,4.22613207547,501.78537306,171.299,-6.725,-4.72414779874,925.151643157,312.618,-5.9185,-5.20679784367,798.527875395,212.844,4.482,5.43315633423,502.168112657,195.519,3.5105,1.56041913747,332.372994995,163.234,9.978,8.92219766397,284.505990494,143.973,1.999,2.51635534591,198.557969752,123.341,0.652,0.775828391734,283.093287904,163.025,0.5555,0.569247079964,0.121141685582,0.988,0.341,0.399205750225,0.0806136036686,0.99,0.1935,0.288542677448,0.0680061223925,0.992,0.189,0.265590296496,0.0528502571206,0.992,0.349,0.455754716981,0.120217471732,0.995,0.248,0.315145552561,0.0643476526689,0.996,0.212,0.284590745732,0.0550284897436,0.988,0.287,0.376312668464,0.0842905958593,0.987,0.2895,0.367288409704,0.0731963247264,0.99,0.3775,0.451792902066,0.107308723058,0.995,0.207,0.321865678347,0.0830825897744,0.992,0.234,0.346999101527,0.0875568014367,0.992,4.0,0.0,1.0,473.832,480.05179,0.0,0.0,0.0,-14.939,137.54,0.753432948582
103.069265,103.064135,3525.37318478,202.48492,104.0328,104.02901678,3592.75246877,207.12391,102.741965,98.57601625,3806.74132526,188.2416,-10.621,-11.1687761658,13.3105709613,56.791,0.03972,0.0489766632124,0.000950588525861,0.28112,-22.571,-23.1360829016,41.7850396429,52.329,102.03746,102.068785689,3486.87786901,208.02467,103.926095,103.921876175,3600.23064803,207.8004,43.482,43.065507772,17.7428943246,53.004,-12.468,-11.5309813472,1924.02463178,394.281,-22.432,-24.2088984456,1969.00126806,325.612,9.28,8.76597823834,2458.84229217,328.262,8.365,8.95676787565,752.419852172,177.771,6.18,7.97562487047,1389.867505,248.139,9.929,10.1835398964,774.339424729,191.825,-6.648,-5.0412880829,1057.96218319,230.257,-0.416,0.760879792746,499.234034122,151.121,4.836,4.87406321244,614.545131431,162.683,-1.341,-2.61208082902,491.999264321,177.601,-0.276,-1.34623834197,361.124904041,123.836,0.33,0.437107772021,0.12615813139,0.995,0.23,0.309847668394,0.0737577788676,0.997,0.203,0.341284974093,0.112411331225,0.999,0.161,0.229662176166,0.0429133304346,0.999,0.236,0.369027979275,0.11250756502,0.998,0.197,0.316240414508,0.0958322717345,1.0,0.216,0.27407357513,0.054024341737,0.996,0.235,0.395022797927,0.129751230568,0.995,0.179,0.252019689119,0.0589429270735,0.996,0.125,0.259030051813,0.0915077410658,1.0,0.09,0.176452849741,0.0447903824919,0.998,0.203,0.288521243523,0.0682277645746,0.996,5.0,0.0,1.0,204.04,209.60608,0.073,0.0,0.0,-9.364,93.334,0.733281707705
139.992155,139.989631625,6470.47607666,275.19405,144.53805,144.523002005,6767.19465816,284.3048,167.846,150.273465,9146.41536268,280.41314,-10.197,-10.7873308333,11.2052546664,26.356,0.03338,0.04337865,0.00460997803201,2.17139,-20.585,-21.1551608333,40.16975958,51.206,144.851765,142.337874792,6275.80369277,286.82145,144.42066,144.406728067,6756.1871523,284.53582,44.6945,44.2380575,16.2821315609,49.884,27.327,22.3962508333,2387.82397493,283.155,14.016,10.2336241667,1930.92931372,315.157,17.185,20.7499975,1913.65451528,514.91,-4.791,-5.83063916667,669.370003091,167.372,-5.86,0.586545,1268.81251844,273.561,-11.1295,-10.0542116667,432.759818105,142.252,-8.66,-8.9047375,383.582768042,159.004,16.6245,17.4994308333,201.704671377,125.879,6.55,5.21448583333,278.849065585,131.224,6.3475,5.39144583333,416.963947329,149.673,6.511,6.68115166667,220.440801999,111.495,0.3495,0.4050375,0.0835382960938,0.99,0.3545,0.448263333333,0.103666018989,0.982,0.3705,0.434370833333,0.0870700016493,0.982,0.22,0.267594166667,0.0416601577993,0.991,0.3055,0.414706666667,0.107610792289,0.991,0.2585,0.3512475,0.0751889745771,0.99,0.2115,0.272001666667,0.0554062833306,0.989,0.305,0.4242575,0.11464614286,0.991,0.2045,0.2482975,0.0387932089937,0.992,0.2425,0.339294166667,0.0826053626326,0.99,0.191,0.297845,0.0797130876417,0.994,0.246,0.33085,0.0749052125,0.987,5.0,0.0,1.0,284.143,292.41424,2.49,0.0,0.0,-9.239,86.119,0.717727443439
237.264445,237.413793848,19063.9480287,473.27565,237.07839,237.336776544,19250.4341228,475.3753,168.553905,205.125918,24102.500324,460.79163,-13.5545,-14.9857607573,34.0734338679,33.508,0.02824,0.0349324913941,0.00340474788196,2.61347,-23.5765,-24.3699913941,30.027558296,51.178,243.467145,243.871156067,17612.2992164,478.49043,237.07839,237.337966402,19264.4906217,475.73029,42.101,40.6785236661,27.9162840025,48.936,-22.61,-23.2029539587,1372.86741516,319.944,-17.449,-17.2556880379,1029.65961994,279.263,11.5325,12.4223833907,969.589869199,491.744,-14.729,-15.7857413941,573.778931063,171.242,-13.1855,-11.5035920826,877.336877935,249.831,-1.3135,-1.61470438898,599.243460221,198.541,-6.001,-5.19361746988,321.518864246,178.196,3.218,2.64199698795,306.816749148,167.091,8.275,7.84394621343,219.207443243,109.975,3.7395,4.35822633391,208.997765342,119.493,3.026,1.57309509466,279.244149284,138.146,0.4315,0.477735370052,0.093786074119,0.99,0.474,0.506997418244,0.0980907616112,0.993,0.3795,0.449793459552,0.093170285224,0.987,0.2925,0.350555077453,0.0616484251076,0.995,0.415,0.47469535284,0.0996576963467,0.996,0.3925,0.454608864028,0.0965050711951,0.995,0.284,0.349866609294,0.070012230916,0.995,0.348,0.405481927711,0.0893251377973,0.996,0.302,0.389478915663,0.0846694887981,0.997,0.395,0.471818846816,0.111173930609,0.995,0.259,0.358256024096,0.0880413014912,0.995,0.2265,0.293636402754,0.0575996014459,0.995,4.0,2.0,0.0,477.594,483.73506,3.68,0.0,0.0,-11.432,165.097,0.715868702051
176.963405,175.486235788,9757.48774703,342.27952,176.963405,175.486235788,9757.48774703,342.27952,191.28664,188.626902222,8367.96077748,320.7614,-11.7825,-13.0534777228,37.3787587903,55.827,0.03541,0.0442111076733,0.00541894486963,2.78362,-21.607,-22.5148564356,47.8435359497,51.335,190.36896,185.925335167,8880.73735116,345.22395,176.96399,175.487150748,9744.16124589,342.27952,43.853,42.6264084158,37.1810884792,51.476,27.4205,27.2744634901,2412.89646782,418.755,-5.895,-3.7638335396,1953.0717459,319.203,5.554,8.19216398515,1100.96911479,496.304,-0.0275,2.14078403465,717.026344544,204.755,-10.2345,-5.02546720297,1035.23607317,277.184,-2.2185,-2.38212252475,535.951456486,188.352,2.167,2.88253341584,345.650660074,177.981,13.892,14.4041373762,221.807308317,137.755,10.3085,10.9544919554,298.881793304,116.917,1.2655,0.901225866337,285.349556966,110.551,4.799,4.42208972772,214.783551916,132.674,0.658,0.639287747525,0.102290436385,0.979,0.518,0.538798267327,0.0959820632643,0.984,0.2885,0.353156559406,0.0639630280882,0.992,0.2615,0.322248143564,0.0580435467169,0.993,0.2975,0.361018564356,0.0689479278732,0.995,0.39,0.456885519802,0.0923721533547,0.99,0.27,0.332823019802,0.0639675330344,0.989,0.288,0.346375618812,0.0669814176976,0.991,0.343,0.406500618812,0.08687710396,0.989,0.3405,0.421704207921,0.093380182309,0.99,0.3265,0.388756188119,0.0815223229815,0.992,0.222,0.301959777228,0.0628198405851,0.99,1.0,5.0,1.0,345.379,351.7122,3.135,0.0,0.0,-9.756,127.622,0.707356725598
147.94668,147.79759669,7017.93714576,289.15252,149.196655,149.043002201,7163.29371251,293.71802,124.625215,130.5829475,8206.71094911,256.71128,-15.948,-16.7557135678,18.5403754305,50.446,0.0377,0.0447100921273,0.00154252526473,1.0138,-28.493,-28.5138701843,40.2581967043,46.362,150.72959,151.223298459,7085.96179886,295.12218,149.32222,149.168537355,7163.06486527,293.96589,38.233,37.6280251256,21.2789661769,47.241,6.5065,3.02957453936,1615.44656708,397.462,37.403,37.7150041876,1601.67717664,280.649,36.073,36.4994447236,1746.33856974,325.8,0.734,4.08799329983,999.516200881,236.1,10.9685,13.9795058626,1500.81811357,206.109,-1.76,-1.06388777219,462.272516188,146.447,-8.097,-7.46380569514,431.485866951,159.756,-4.9755,-4.64761474037,302.729275723,159.416,0.8325,1.68585175879,388.7705235,160.187,4.79,4.55697738693,357.604825421,137.475,2.9715,2.51447319933,250.739518155,143.822,0.548,0.586236180905,0.122408657786,0.984,0.2445,0.323108040201,0.0609480176405,0.988,0.202,0.26472361809,0.0469788197604,0.992,0.212,0.316819095477,0.0753671699536,0.988,0.231,0.301572026801,0.0519930421321,0.977,0.255,0.379028475712,0.104082293997,0.991,0.178,0.244131490787,0.0407805848877,0.985,0.376,0.484090452261,0.117666661835,0.993,0.125,0.195630653266,0.0410394992614,0.993,0.141,0.201042713568,0.0347389320114,0.99,0.207,0.334974036851,0.0924457321567,0.987,0.248,0.312001675042,0.0535768626438,0.989,4.0,7.0,0.0,295.213,301.13914,3.651,0.0,0.0,-14.765,119.727,0.699313782103
158.50692,157.721247383,8095.91603383,311.75512,158.50692,157.721247383,8095.91603383,311.75512,142.45708,150.656530909,10059.2156739,298.91833,-20.6645,-22.6443397683,76.9850616876,39.005,0.032235,0.0388603957529,0.00088382320438,0.39686,-29.9545,-32.0960511583,72.3941190678,43.298,167.122905,158.78659444,7708.64076681,312.68277,158.7412,157.954293743,8095.30334736,312.22478,35.114,32.9037876448,69.2536546731,43.454,20.1355,20.7605627413,2035.89642454,295.323,-13.291,-18.2020627413,2142.97351697,269.184,8.6305,10.4912055985,1160.44378715,301.656,0.418,0.217898648649,509.331492805,166.305,-12.952,-7.60485617761,986.701351256,210.823,-12.752,-11.6573754826,561.608496076,162.902,-3.401,-1.00237741313,604.082696248,183.204,6.197,5.87587355212,270.555515188,117.671,5.746,5.62254150579,319.968125262,128.629,3.079,3.3123465251,195.288245831,94.975,3.1205,1.9832953668,272.50882872,148.583,0.255,0.356522200772,0.0985550564569,0.995,0.238,0.337027992278,0.0751761102203,0.988,0.423,0.519712355212,0.13460745201,0.987,0.21,0.294181467181,0.0710802450619,0.991,0.172,0.27836969112,0.081588177035,0.995,0.157,0.244103281853,0.0651464671321,0.997,0.1295,0.258053088803,0.0858045232434,0.998,0.1885,0.308361003861,0.0959365685179,0.999,0.151,0.250151544402,0.0610272231733,0.997,0.2625,0.386877413127,0.0991359087176,0.988,0.173,0.271785714286,0.0694769193326,0.993,0.11,0.20316023166,0.0554376345575,0.996,1.0,7.0,0.0,297.198,320.70485,2.955,0.0,0.0,-16.171,85.947,0.69523977068
174.90331,174.930536755,10244.8110696,348.5462,176.94457,176.962563882,10381.1254016,352.60396,196.97688,184.835955333,10747.166502,340.94194,-18.198,-18.7621472965,59.0595369969,55.888,0.03869,0.0434240211311,0.000799448521245,0.35773,-25.693,-26.3607395898,43.168007591,48.957,181.13034,179.440937993,10266.604551,353.2234,176.79628,176.81728554,10389.727323,353.16857,38.501,37.4212144189,48.7174821883,51.442,39.627,42.1646681168,1647.24112594,295.027,3.782,7.82812678682,2194.92009511,253.915,4.831,4.63255500311,971.458064699,436.844,22.534,26.3112666252,1030.2715113,226.777,-13.576,-9.71966376631,836.998216764,270.876,-12.053,-12.4125786203,614.354129292,156.77,-7.005,-6.17801305158,346.506139823,254.328,12.966,11.4931497825,362.10006184,140.309,1.767,1.70004972032,308.469078363,131.543,0.244,-0.118709757613,227.202845811,144.1,5.877,6.58793598508,302.95667095,123.857,0.608,0.612428837787,0.112207522748,0.969,0.286,0.382474207582,0.0828222493348,0.986,0.202,0.294121814792,0.0604120261804,0.993,0.135,0.224293349907,0.0482850948035,0.997,0.268,0.405343691734,0.117848914194,0.995,0.222,0.360699192045,0.105839716848,0.997,0.171,0.289518955873,0.0816538220459,0.995,0.411,0.487735239279,0.105649396651,0.991,0.16,0.249463642014,0.0547646476837,0.994,0.184,0.310395898073,0.0889022888831,0.996,0.183,0.261465506526,0.0565458883379,0.995,0.177,0.246786824114,0.0491349595281,0.997,4.0,0.0,1.0,352.247,358.32118,2.305,0.0,0.0,-12.434,103.41,0.683711996906
198.24556,197.517586967,12783.1045205,387.024,199.89037,199.495873037,13103.4247107,395.01743,214.38898,206.91865,13604.8144073,368.39928,-10.253,-10.7682002159,12.6856500954,29.223,0.03374,0.0440092444684,0.00334025502156,2.19542,-20.895,-21.234125742,26.9057331482,50.278,198.08077,197.489209244,12121.5319442,397.22073,199.89037,199.495768417,13088.4363968,395.01743,44.854,44.3358024825,13.9096501563,52.427,49.93,51.5530485699,1046.04780484,353.816,-7.189,-9.36258931462,1859.61199469,313.516,9.043,9.73177280086,1177.5835411,511.326,-3.084,-4.56404587156,567.161515114,178.276,-5.371,-2.18549649217,1238.75685386,289.927,-0.286,-1.72522072315,374.383988989,134.18,3.754,3.93299622234,339.221095354,173.784,10.595,10.5354614139,191.377031472,115.106,10.023,10.1339201295,263.059852398,147.804,1.018,-0.0140620615219,345.767218705,130.977,3.304,2.09614085267,256.988558289,125.78,0.509,0.538364813815,0.0887088534192,0.971,0.471,0.517603885591,0.0913760988948,0.977,0.345,0.393866162979,0.0620321893192,0.987,0.343,0.387128440367,0.0628396122133,0.989,0.458,0.497959525094,0.0940255293925,0.987,0.43,0.494213167836,0.104186618888,0.986,0.348,0.431472746897,0.0938645234073,0.991,0.36,0.464478143551,0.109152158859,0.993,0.305,0.380144090664,0.0732851217095,0.988,0.37,0.449702104695,0.0985938227533,0.982,0.313,0.357235294118,0.0588987325482,0.986,0.293,0.372826227739,0.0721720162144,0.982,7.0,0.0,1.0,396.725,404.11383,3.088,0.0,0.0,-8.681,130.484,0.681846748268
