barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
165.0595,165.159271022,9213.62822392,329.99272,166.57486,166.675589473,9281.49661928,333.02021,136.573785,131.943643,10216.2521499,321.72743,-12.655,-14.2629674647,31.1182670137,53.7,0.03109,0.0408555064457,0.00205913226968,1.24469,-23.435,-25.0661540823,53.505742285,46.428,160.48744,162.671946685,9418.76612055,333.47887,164.60443,164.623979454,9244.56867077,328.79192,3.313,1.68391282996,1772.57924514,562.279,2.767,2.19813136894,1590.82144479,431.898,3.858,3.02737998772,1700.65986846,550.683,3.19,1.77686678944,1689.34689465,555.349,3.461,3.32022713321,1732.28200345,621.316,3.963,2.30758502149,1669.68664848,517.277,3.391,2.16465868631,1619.30389244,515.562,2.974,2.2327704113,1709.36303113,525.884,2.687,2.92841129527,1602.98232982,534.47,2.907,2.22349355433,1640.46591785,580.703,4.204,2.91238367096,1702.19156747,569.29,4.505,3.16216206262,1590.75617094,547.043,4.0,6.0,1.0,329.99,336.74404,0.183,0.0,0.0,-11.699,99.009,0.634914267366
153.829805,152.962013393,7364.73172921,298.00488,155.13101,155.194024535,7962.36199533,309.06842,133.699765,131.089864,6860.89892258,288.11284,-8.6405,-10.3098914422,44.0842026514,57.32,0.031595,0.0434320998415,0.00218520929092,0.76094,-19.6375,-19.8074104596,41.9919935922,53.53,157.56324,161.795416181,6340.81795631,310.05823,151.70576,151.963281837,7859.89221479,302.57701,7.242,8.4061481775,1332.57314117,331.313,5.826,9.26267670365,1313.72329335,286.263,6.7115,9.43804278922,1309.2495479,322.27,6.036,9.0220911252,1311.20813569,301.337,6.476,8.76683201268,1325.3139708,293.359,6.9065,8.76143581616,1269.2634985,309.77,5.96,8.15803328051,1341.41483725,334.673,6.585,9.15275198098,1396.90214428,408.113,6.938,7.43137400951,1317.65411561,341.976,6.1215,9.1468637084,1398.15699231,368.408,6.6655,9.27815689382,1320.62788402,335.814,6.795,9.59276228209,1349.09245225,322.071,3.0,4.0,0.0,323.082,323.082,0.146,0.0,0.0,-7.301,69.043,0.620398702413
182.75558,182.403235513,10829.4521562,360.0671,183.21078,182.857689559,10939.8751359,362.81037,200.01142,175.561804545,16975.6185524,354.87341,-16.263,-17.7614335766,38.2000215668,50.99,0.046655,0.0583753941606,0.00314428894514,1.01936,-26.1965,-26.137229927,40.8883322486,48.419,186.42118,180.992290985,9097.60574454,363.72027,178.509295,178.200905909,10908.8797343,353.39072,4.533,5.06488613139,970.844683329,326.159,3.523,4.86824890511,956.960256301,286.447,2.8805,4.68886277372,998.676888351,281.082,3.6195,4.71512481752,1003.42316198,284.901,3.7025,5.18199124088,1141.6924998,472.684,3.9705,4.83864306569,992.941765978,243.942,3.946,5.14258321168,915.643077303,243.856,3.999,5.27538467153,931.617687006,230.644,2.6265,4.18353722628,1035.84726,355.949,3.198,5.02207956204,934.862132286,231.277,3.618,4.42529708029,877.722133844,256.05,2.8315,4.6392540146,902.484669471,242.796,3.0,9.0,1.0,358.052,365.66159,2.247,0.0,0.0,-14.057,131.894,0.594970753131
160.249975,160.336628291,8484.52901555,316.97275,160.8551,160.942066166,8549.32012332,319.80637,100.32644,118.700555,9903.49813761,315.57689,-19.4765,-20.2613019257,44.8220235285,51.072,0.034515,0.0447510797799,0.00361243831637,1.73105,-27.2635,-28.9446568088,51.4409582117,45.966,159.27794,160.572808989,8606.48130302,320.80966,156.55249,156.699238788,8520.63019897,311.45547,3.4765,2.07660316369,1202.87340503,359.198,2.3745,1.21590508941,1209.36945875,384.777,3.7275,2.66390440165,1250.62870449,358.958,2.4505,1.42342434663,1228.73156002,339.432,3.175,2.07726409904,1230.34853202,275.805,3.287,1.98749312242,1125.34915572,314.8,1.05,1.5020261348,1169.38639464,350.252,2.0225,1.87762861073,1205.15689237,343.472,2.8745,2.91382324622,1157.9337973,344.459,2.805,2.53461004127,1092.16397586,306.338,1.0955,1.22579229711,1218.5940149,371.544,4.0285,3.08684594223,1180.2819442,409.851,5.0,8.0,0.0,313.818,321.35791,7.303,0.0,0.0,-15.315,148.761,0.59241811058
299.88391,302.856414296,31220.8080381,606.30478,308.840515,307.182666384,30734.7738074,608.19394,220.66053,237.291404762,25795.3433507,542.06738,-21.112,-23.1531236424,63.4522486965,46.91,0.05969,0.105244185464,0.0242952842781,1.84861,-25.208,-27.8585822891,73.8404809667,47.276,350.24717,340.72516447,28547.713467,609.12617,307.82544,306.357298645,30630.8456594,607.00784,1.828,0.792345864662,1563.619943,351.281,2.484,1.31937928154,1480.28338573,301.615,3.593,1.70259732665,1466.58088954,271.875,1.415,0.597627401838,1658.33029649,366.755,2.518,0.369103592314,1599.72094617,281.883,3.248,1.93851629073,1561.24146146,415.134,2.473,0.588213868003,1612.95300791,410.505,2.573,0.527487050961,1593.42210475,414.027,2.14,0.642235588972,1562.52319933,379.658,2.135,1.26497410192,1472.87031929,347.298,1.824,0.984488721805,1632.95286137,446.229,2.009,0.368562238931,1654.04739037,561.415,3.0,4.0,1.0,609.489,609.48853,0.0,0.0,0.0,-17.604,91.028,0.578562291056
78.56265,78.346949031,2025.12617608,154.32972,78.56265,78.346949031,2025.12617608,154.32972,14.77281,55.3335433333,4634.22880126,151.22782,-12.421,-13.5191029851,38.1275686775,53.41,0.0287,0.0468495074627,0.00346858223692,0.64552,-21.7025,-22.1511328358,34.8608235689,48.432,83.63517,82.126050597,1686.79830507,156.01927,74.250555,73.9225851563,1988.8205834,145.95023,0.325,-1.10101343284,1208.24167134,279.833,-2.2915,-2.33740895522,1168.31233275,326.16,-1.9625,-1.49637761194,1173.94421286,238.389,0.516,-0.938525373134,1226.56510101,267.845,-0.252,-1.50437164179,1152.21641506,255.016,1.8145,-0.237962686567,1338.46776766,445.791,-0.4085,-0.0419552238806,1197.79945707,248.872,-1.309,-1.79525671642,1230.87178469,249.605,-0.009,-1.97581940299,1123.15395964,217.244,0.137,-1.28345522388,1204.62802592,247.633,0.1845,-1.26078208955,1196.20989088,271.21,0.1065,-1.4207358209,1246.46200715,271.42,1.0,3.0,1.0,147.975,161.72363,5.399,0.0,0.0,-11.07,99.362,0.578562291056
187.96415,187.82413798,11763.5972426,374.85508,187.96415,187.82413798,11763.5972426,374.85508,164.64414,180.696353636,17981.949231,362.20469,-12.832,-14.5091878327,41.3193994849,55.362,0.05016,0.0731809885932,0.00728401894168,1.64779,-20.862,-21.6519703422,42.6271345717,51.453,205.41211,203.564714456,11385.762905,375.73651,187.44394,187.816912583,11763.4160864,374.23928,-2.113,-0.0530197718631,1070.84359173,254.593,-0.851,1.14686920152,1070.36096942,272.909,-0.251,1.00527604563,1156.33308668,317.173,-1.155,0.513400760456,1139.76359482,286.405,-1.115,1.18561064639,1093.7289049,259.325,-1.052,1.33736806084,1124.46869366,280.266,-0.379,1.33245627376,1137.60469479,295.749,-1.978,0.720963498099,1143.62823308,317.625,-1.822,1.10954752852,1214.67305943,358.401,-1.555,1.28203041825,1079.87127182,305.722,-0.855,1.39937794677,1127.35559718,268.995,-0.657,1.4478608365,1100.02540122,246.812,1.0,3.0,1.0,357.866,384.67873,0.125,0.0,0.0,-10.702,96.601,0.548412285969
272.23645,272.249516823,23402.5954912,527.60879,270.30921,270.311884514,24243.3684215,539.55805,265.35093,240.038622308,38861.244784,538.17782,-10.987,-12.3257466871,34.2930095734,55.992,0.03938,0.0552908358818,0.00558143503365,2.30308,-19.522,-19.9857533129,35.6498544376,51.224,288.182675,284.235801509,19025.8451646,537.59764,266.543475,266.715737828,24188.3543724,532.3531,2.159,2.54939143731,1261.84075375,498.588,2.2065,2.29310295617,1203.55345503,377.769,2.3345,2.19603975535,1133.25374747,329.331,0.8245,1.42282262997,1152.33410929,321.099,1.618,2.14531141692,1123.23276307,334.132,0.7545,1.07287818552,1217.42758397,406.371,2.5265,3.22579765545,1214.83366069,393.861,2.997,2.12557798165,1182.66996436,385.272,1.871,2.66802701325,1205.48237266,387.317,2.276,2.16353261978,1261.9089669,410.361,0.4515,1.64399796126,1239.57815918,368.109,1.2885,1.74277879715,1262.8935902,397.261,5.0,2.0,1.0,515.39,549.56363,0.236,0.0,0.0,-9.025,108.75,0.541525381881
288.78166,288.893792575,28109.4018877,576.13536,295.04547,295.155310129,29201.9067437,590.1076,266.5163,279.840941333,43397.8217249,581.10404,-15.481,-16.9055720654,47.1357182597,40.679,0.04435,0.055215230312,0.00342426436729,1.83706,-25.172,-25.4437166914,51.0892028826,48.61,314.25224,313.323205676,24451.4424663,591.08435,289.82592,289.706206509,28980.9906443,579.80526,-0.011,-1.25779742447,1568.84583937,334.927,0.878,-0.307341258049,1583.81016698,331.958,0.071,-1.47666121842,1587.25300627,357.803,1.602,-0.522187716691,1618.240923,327.221,0.037,-1.3782803368,1631.60963697,390.273,1.237,-0.954318969787,1607.03037702,356.333,-0.904,-2.2186354631,1599.06879041,332.158,-0.114,-2.23926547796,1680.4973412,345.416,-0.85,-1.39924566617,1655.31567707,303.836,1.538,0.0472738979693,1587.00609571,382.135,0.497,-1.92851807826,1539.38620168,311.299,-0.683,-1.75784843982,1652.86836226,315.467,5.0,2.0,1.0,571.925,599.74485,0.0,0.0,0.0,-12.601,86.21,0.530385795147
105.23372,105.487634074,3751.34616941,209.64843,105.98223,106.223906037,3786.82775122,212.17337,104.72947,99.3962988889,3876.68920931,201.83664,-13.069,-14.5621950646,30.3151779572,30.837,0.04294,0.0562643125734,0.00294578680596,0.85335,-22.164,-23.2000317274,44.3432610107,49.85,98.0966,100.182653608,3842.67996435,212.96925,89.430705,89.7047301389,3637.36773425,178.92515,6.472,7.84659106933,962.685934535,369.153,6.308,7.59663219741,1043.72096696,319.248,7.341,7.62406345476,955.488317397,331.379,7.067,8.53557931845,859.178765384,244.215,6.589,7.47320681551,1070.29404457,440.282,5.086,7.50349001175,997.3979857,327.9,5.13,6.00307285546,1074.27761375,346.885,8.118,8.46718918919,1071.65444348,399.848,7.071,7.84850293772,1214.44694132,488.244,7.062,7.20845828437,1159.54825635,406.585,7.116,8.57679318449,961.916343262,272.083,7.106,8.6253666275,950.869571071,358.229,4.0,11.0,1.0,212.869,217.57342,0.0,0.0,0.0,-11.773,121.958,0.482137585065
