barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
93.11423,93.2056229915,2950.68297921,186.32077,93.90659,94.0092967164,2963.55127652,187.91617,79.51453,80.6215875,3530.96697174,179.18366,-9.216,-9.65305420561,14.0636772027,56.608,0.0459,0.0720291962617,0.00762807865674,1.06934,-14.196,-15.4023981308,27.7866193761,52.453,87.26263,89.3815095514,2822.18785646,188.08127,87.71287,87.8675434615,2933.28422588,175.49882,1.356,5.43649158879,1129.93520714,333.939,0.817,4.23818691589,1049.50401287,259.276,0.688,3.78886915888,944.065365916,202.291,0.852,3.41518504673,1053.65101173,371.943,2.389,5.31100934579,972.575548925,240.769,1.124,4.92455700935,1049.90349893,214.898,2.253,4.74952897196,1068.82275715,210.441,-0.204,5.53120373832,1132.96949575,268.801,1.1,4.2938953271,1095.24718815,278.121,0.833,5.62321495327,1014.45310434,240.251,2.374,6.47606168224,1267.18519976,437.415,-0.078,3.63562429907,1071.79876554,239.646,4.0,8.0,1.0,184.813,195.13424,0.473,0.0,0.0,-7.605,150.022,0.359553469182
95.496025,95.5021122917,3070.61329059,189.49089,97.246925,97.2450772938,3133.96676644,192.99627,90.99583,80.7478377778,3784.87660048,186.50337,-5.523,-6.26076840215,24.6395765693,48.325,0.02877,0.0493610771993,0.0068569631299,1.59085,-10.832,-11.9880861759,33.3263161039,55.476,95.63905,93.8615664811,2882.94645618,193.72059,91.7453,91.6191789062,3059.93246086,181.71349,5.373,8.40843087971,1006.93715137,208.555,5.073,8.03907540395,942.245467894,245.83,6.529,9.17051166966,851.032984192,182.371,6.35,8.13578635548,1043.56080654,273.074,5.568,8.52144344704,1001.83215002,258.429,6.247,9.22528186715,1006.1835104,193.259,7.417,10.4795906643,937.37290371,207.618,6.944,8.78571095153,942.334736127,224.23,5.743,7.94629982047,1005.83643569,232.216,4.884,7.4930502693,985.770890439,259.164,4.357,6.78808797127,1031.11059521,223.07,6.764,8.58740933573,1015.51309937,315.184,4.0,4.0,1.0,189.33,196.54485,2.212,0.0,0.0,-3.729,120.02,0.327736683178
100.54877,100.492165143,3342.5002455,199.11088,101.08661,101.028723541,3366.45258905,200.89579,61.606115,73.94320625,4171.78132223,191.27466,-6.542,-8.09712593985,28.8974873582,37.317,0.043395,0.0663596428571,0.00680259490495,0.7185,-12.136,-13.9187236842,62.2408995759,56.488,93.973945,95.1519961654,3437.47318354,201.401,98.39904,98.0675183871,3317.73495867,195.19169,2.9565,7.33935714286,1044.35369953,332.097,5.883,7.68752631579,929.367358174,260.597,3.2475,5.73743796992,821.314577964,190.383,4.071,5.91106015038,1030.39439456,345.35,3.295,6.33976315789,994.594336745,312.447,4.7965,7.24644360902,994.673386326,258.846,5.7465,8.64278383459,970.249324527,256.457,5.529,8.19095676692,1016.62433447,271.431,3.68,7.07577819549,1056.1710636,318.965,2.4755,5.2822424812,913.299244774,271.64,4.5015,6.86853383459,990.429574065,285.361,3.5805,6.94664849624,973.62874269,246.163,4.0,7.0,0.0,199.483,206.78485,0.0,0.0,0.0,-5.009,167.873,0.327736683178
106.1466,106.264824868,3853.03675391,212.14318,107.56236,107.679926131,3879.20226705,214.97476,107.912415,107.126315,5016.42170963,209.56305,-7.2975,-7.81427591973,20.520012474,58.439,0.04363,0.0625858528428,0.00342142242762,0.57719,-12.6345,-13.5202759197,25.3250504774,53.883,98.63576,104.048927659,3606.96784592,215.1927,106.32513,107.052916931,3828.83858925,212.85347,-3.612,1.5065451505,1017.80137265,252.803,-1.947,1.10716220736,962.424079654,212.757,-0.6035,1.87974414716,877.321151525,207.151,-2.8645,1.57358026756,1001.08841696,282.629,-2.333,1.69901003344,922.587845007,228.036,-2.388,1.51103511706,1081.09704405,240.693,-0.9965,2.96555183946,916.873512361,222.002,-1.5285,2.1357909699,885.647295998,197.914,-1.772,1.42566220736,872.818841689,231.28,-3.4455,1.02211036789,926.3611897,201.023,0.3305,3.9072173913,955.253584334,238.077,-0.6315,3.32283277592,962.441416099,187.904,4.0,8.0,1.0,212.312,220.39465,0.764,0.0,0.0,-5.029,84.978,0.270775998946
108.21497,108.219822205,3946.27013862,215.52409,108.85531,108.862260333,3977.78808712,217.66992,122.3337,101.22503,5479.86970177,209.7739,-6.895,-7.99136396396,35.4665354855,59.846,0.04846,0.0759088108108,0.00877984975859,0.80206,-12.611,-14.4464756757,43.9675445341,54.786,107.06417,105.931272829,3662.17247637,218.10676,108.85273,108.739645647,3967.94371683,215.53053,1.94,5.33170810811,1143.86592225,233.884,1.98,3.54503783784,1198.54678248,240.932,-1.1,1.69344144144,1080.64201847,262.346,-0.202,1.99838918919,1214.64814173,300.637,1.166,2.14557657658,1167.57429912,316.325,0.504,2.29841981982,1019.04509334,242.392,0.188,1.42076216216,1169.66676471,327.896,-2.596,1.20532432432,1204.98184359,281.67,0.923,3.23798198198,1237.04670916,307.442,-1.649,2.33476216216,1184.87503788,279.57,0.058,3.18542882883,1111.82354815,306.993,0.909,4.78347747748,1182.79653607,380.015,4.0,2.0,1.0,206.75,223.84281,0.404,0.0,0.0,-4.295,140.006,0.270775998946
86.637005,86.460584697,2533.98930463,171.8776,90.97623,90.7591120438,2730.25408313,180.92219,71.24228,86.9491136364,3552.5530127,179.82718,-7.3605,-7.65278968254,11.7905656978,57.921,0.03241,0.0398127645503,0.000825384978468,0.23073,-14.6785,-15.1157116402,13.8242273031,51.58,87.84104,88.9241960847,2677.08631452,181.65791,86.745285,86.3277738235,2683.05893397,171.43874,-0.146,2.06505026455,981.400532087,273.954,0.3085,0.863616402116,1113.6686205,448.221,-0.5585,0.108525132275,979.328902437,210.842,1.2145,1.4145,1145.34824237,248.204,0.1675,0.998743386243,1064.08394122,276.693,-1.2545,1.64072751323,1194.80823083,260.686,-0.0005,0.608010582011,1034.96216523,220.654,-0.357,1.40934126984,1057.04092271,264.498,-0.9005,0.543246031746,1044.57309025,242.64,-0.547,1.2521005291,1053.11905074,236.841,1.6095,1.6316494709,958.962616259,189.154,-2.385,0.0067962962963,1148.690072,323.289,4.0,2.0,1.0,177.116,186.38322,0.398,0.0,0.0,-5.859,90.862,0.270775998946
102.8814,102.768958842,3442.49226551,201.40137,103.957975,103.84064531,3565.1787318,206.36429,108.989845,103.13332,4286.37695157,202.09517,-9.142,-10.1036752717,25.4403417274,56.526,0.03547,0.0437101222826,0.00121116689903,0.36115,-14.734,-16.1352649457,30.3071524447,51.757,95.001475,97.6864242527,3657.12544968,207.25274,87.108655,87.1777838889,3420.13062264,173.84499,2.5845,5.39883423913,909.090494035,211.336,0.645,3.86445380435,909.780320416,215.566,1.7555,4.43132201087,871.733059099,211.98,1.793,4.01467798913,836.706376373,185.889,0.611,4.31769429348,945.004826612,271.041,2.8265,4.67513451087,931.496791312,235.252,2.3505,5.58312907609,854.861753213,206.4,1.762,4.16753396739,911.934435689,254.988,1.092,3.48329755435,873.237536263,217.107,2.3955,4.4436875,891.936075288,258.204,1.862,4.36369836957,891.261452213,222.31,1.416,4.53547146739,878.150571814,206.196,3.0,4.0,1.0,199.303,210.33751,0.427,0.0,0.0,-7.462,83.794,0.270775998946
112.76607,112.764443805,4256.12925663,224.01103,113.513,113.514639207,4294.19289265,226.49238,23.76851,68.22894,7001.9141846,224.83677,-4.47,-6.14781230769,48.2449928509,59.126,0.029125,0.0559037076923,0.0108675167156,1.97569,-9.18,-11.4299969231,54.4056741169,55.47,108.96778,110.221610908,3865.34371086,226.99678,109.0068,109.3757048,4209.92500334,217.93944,3.4075,5.75469230769,1166.16214991,331.688,4.7645,6.16404153846,1072.73774158,275.488,4.503,7.61073384615,1083.78754221,329.897,4.3875,6.81862,1134.19736199,328.01,4.9365,6.56813846154,1093.74483705,318.461,3.6885,7.08886307692,1127.79611294,326.247,6.1005,8.27823230769,1153.37052832,332.857,4.1485,6.90534769231,1082.54130167,305.908,5.011,7.22967846154,1106.10985388,314.369,3.038,5.94613076923,1110.50322782,309.332,4.382,7.31928615385,1105.44200122,282.906,4.2275,6.38543384615,1136.15084051,302.797,4.0,1.0,1.0,222.227,229.92934,4.307,0.0,0.0,-3.476,120.006,0.270775998946
146.24733,146.301436954,7149.86314583,290.76368,146.973075,147.028512888,7197.64852348,293.17379,118.04229,131.285015294,8411.96610581,290.87351,-9.491,-9.41605560459,14.6859789404,57.448,0.0281,0.033967819947,0.000626941636465,0.4489,-16.629,-16.942729038,14.0132925541,50.435,141.63084,142.974074404,7060.1991889,294.05977,146.24733,147.137820594,7198.15640214,291.72666,-0.463,2.41755251545,925.829404519,260.084,0.483,2.30136540159,902.998665369,213.167,-0.087,2.23237246249,894.658382689,234.72,-0.244,2.30351985878,915.901959978,236.072,-0.666,1.99538658429,935.673668592,259.305,0.786,2.60974404237,903.234847516,273.62,1.547,3.00983142101,879.578168426,217.191,0.656,2.83123477493,897.385427583,203.922,0.011,2.54975904678,878.406816596,204.854,1.242,2.45306531333,893.936870792,221.984,0.537,1.58425772286,886.744067822,262.945,0.081,2.63183759929,946.021412198,255.833,4.0,6.0,0.0,294.307,296.98567,3.274,0.0,0.0,-6.65,123.743,0.215080318509
102.42652,102.400906053,3474.56745595,203.70917,102.42652,102.400906053,3474.56745595,203.70917,83.23712,89.21166,4070.29019373,197.79295,-8.1885,-8.83190816327,20.2955790273,56.555,0.04497,0.0542511096939,0.00121990786573,0.27719,-14.7185,-15.5621505102,26.2006627324,54.128,104.24041,103.030320064,3443.70675485,203.9556,98.14078,98.4745521333,3379.84567002,195.35339,-0.455,1.27357653061,894.781259997,284.247,0.2015,1.5096875,800.828511251,192.52,-1.1675,2.01778061224,938.798318674,440.852,1.0425,3.21644005102,807.414996537,197.574,1.363,4.33656760204,1065.86191754,482.102,0.8735,3.29756760204,805.982333748,198.142,-0.0835,2.61886862245,817.116770188,205.701,0.636,2.91049234694,870.052970347,199.218,1.2175,2.78842857143,819.142399559,212.423,0.0885,2.58891326531,816.199630393,208.39,0.0785,2.44165433673,844.579168002,285.446,0.4125,1.99391709184,743.665174584,172.36,1.0,4.0,1.0,194.072,205.97506,0.42,0.0,0.0,-7.007,134.175,0.215080318509
