barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
109.25698,108.974839263,3957.78633243,216.86926,109.92311,109.643270595,4006.42151964,218.87439,64.42846,80.9114171429,4781.57921336,211.9078,-7.1885,-9.55207804233,37.568011482,57.102,0.040595,0.0598547354497,0.00333123065588,0.51642,-12.6055,-14.4625079365,39.7893255515,54.191,101.79676,104.643287526,3925.24655185,219.22186,110.006585,109.726947802,4006.40207625,219.04049,50.1465,47.8978796296,36.9754756747,54.005,42.686,34.5766838624,2118.95136145,359.264,22.8605,29.5809550265,1530.42749486,269.123,-4.567,-4.33026058201,626.506732701,279.293,-15.0225,-9.69203703704,1167.92426145,214.623,-22.268,-22.3136798942,291.090031937,131.047,5.25,5.6634047619,481.00887159,169.161,-0.312,-0.419653439153,260.392391883,174.035,5.1815,4.87296957672,299.137505903,113.601,6.889,7.52601719577,227.392661665,109.246,-2.9495,-2.54064153439,142.049560725,90.145,-1.991,-2.12994312169,228.274725985,97.328,0.5255,0.561374338624,0.10431015749,0.992,0.5915,0.590382275132,0.117141061538,0.991,0.218,0.287206349206,0.0593835658856,0.995,0.2195,0.27769973545,0.0530722894708,0.996,0.2515,0.33303042328,0.0775740083337,0.997,0.2205,0.293128306878,0.0649594901511,0.995,0.279,0.360862433862,0.0841456953613,0.993,0.23,0.298288359788,0.055381760764,0.988,0.315,0.396092592593,0.0925614517441,0.993,0.1935,0.303235449735,0.0800670609655,0.993,0.177,0.274468253968,0.0660627304737,0.997,0.24,0.360412698413,0.102531684177,0.997,3.0,11.0,1.0,196.702,221.962,0.078,0.0,0.0,-6.759,179.879,0.810670115291
146.66445,146.39886211,7169.08094881,289.88652,146.66445,147.141583333,7197.81818829,293.33934,122.60397,120.057904545,9223.21211689,271.75958,-5.2,-6.490416826,10.4067303922,34.291,0.04972,0.134344110899,0.0710859916483,2.32263,-8.663,-10.1314340344,21.7000656453,55.062,111.24952,124.870825315,6992.42118046,293.99061,146.56472,147.030551188,7186.93242913,293.56793,52.962,51.5037265774,14.7561015639,48.645,53.248,53.1097552581,640.561463389,205.584,13.142,14.4799617591,551.222360549,254.145,-18.427,-17.2642963671,324.675163834,273.612,-13.637,-9.64737858509,695.360543864,184.151,-28.895,-28.5145965583,174.195054856,87.174,2.871,4.02408986616,234.859917669,111.707,0.55,-0.917508604207,218.236416411,166.016,2.023,1.06606309751,231.609050078,109.22,2.589,1.96922179732,140.336688589,83.957,-1.066,-1.79658891013,76.7716398903,68.76,6.786,5.25693499044,155.279298692,87.635,0.282,0.324841300191,0.0521577243364,0.992,0.355,0.420380497132,0.0828238418376,0.982,0.335,0.367833652008,0.0429457715635,0.979,1.0,0.812472275335,0.0801672281988,0.972,0.473,0.486783938815,0.053680387352,0.98,0.32,0.37173040153,0.0621164110643,0.99,0.303,0.363210325048,0.0723063802376,0.99,0.273,0.337124282983,0.0644594281484,0.99,0.26,0.33559082218,0.0694114539884,0.995,0.24,0.302472275335,0.0510969107992,0.991,0.436,0.468005736138,0.0631618106746,0.982,0.244,0.281168260038,0.0423487518033,0.989,4.0,10.0,0.0,295.627,295.6273,0.0,0.0,0.0,-5.035,88.085,0.80978530571
109.07498,109.12418039,3983.52681991,215.47702,110.12966,110.187776258,4035.95493128,219.02574,83.48798,84.99942,4715.53422255,178.7759,-7.1925,-7.80954045307,11.1467884717,49.885,0.036565,0.0707603074434,0.00997654219295,1.07958,-11.3785,-12.3308608414,20.8280198577,52.727,98.0507,102.774526392,4000.17344618,219.79215,109.8668,109.921937702,4035.96799689,219.55638,50.881,50.0156359223,13.464280772,49.69,35.0575,38.0791796117,576.958726419,193.926,17.609,17.6177184466,536.802893396,209.836,-12.0995,-11.619131068,385.261870923,413.121,-16.066,-17.0668478964,467.493052747,170.282,-26.015,-24.2926553398,369.859984103,304.717,-1.885,-1.16200809061,234.5075365,121.977,-1.6555,-1.61798705502,199.205824967,116.422,9.0425,9.77974595469,189.91075272,98.43,6.471,6.76795631068,135.196516307,89.905,-0.168,-0.37484789644,100.355964825,137.79,-1.604,-0.328019417476,129.371585689,78.111,0.6535,0.65071197411,0.0702132018307,0.895,0.544,0.591655339806,0.0765113456106,0.922,0.302,0.350388349515,0.0386531080843,0.944,0.454,0.526707119741,0.0900844401111,0.954,0.416,0.447925566343,0.0364902145244,0.964,0.438,0.530029126214,0.0883865913847,0.959,0.3585,0.406401294498,0.0465946609692,0.972,0.2735,0.341841423948,0.0484726835915,0.972,0.3095,0.366702265372,0.0436530925839,0.934,0.337,0.391758899676,0.0601404968868,0.963,0.3935,0.457614886731,0.0763317869629,0.972,0.403,0.422724919094,0.0447485295085,0.96,4.0,1.0,1.0,216.95,221.46567,0.282,0.0,0.0,-6.835,84.878,0.805290160896
127.48544,127.985783143,5484.21403141,254.37159,128.2152,128.716714695,5562.35818994,257.27449,123.78294,124.443416364,6431.106355,252.68713,-8.0405,-10.1650389294,27.2282108647,31.791,0.040745,0.0688016666667,0.00596821706523,0.70295,-13.716,-15.0475036496,27.9652066855,53.247,113.464785,121.920903114,5492.6058884,257.53451,128.2152,128.716603165,5554.53804371,257.27449,49.252,47.346743309,26.0437959134,34.761,23.8565,13.3498004866,1451.3095095,193.75,9.2975,11.2224209246,978.478956336,242.366,-12.1085,-10.1921873479,576.80317767,369.497,-9.0665,-10.6255620438,592.730954587,148.19,-24.9415,-22.8218868613,392.994375765,331.082,0.424,0.47153649635,224.308792553,116.129,-2.648,-3.71070072993,271.985606156,190.448,6.802,6.60380291971,202.644346292,97.615,5.866,5.07721289538,199.993189148,139.469,-0.6265,-0.536032846715,109.721620934,98.044,0.434,1.41209854015,156.849811753,93.411,0.6015,0.566341849148,0.106301300414,0.989,0.47,0.522863746959,0.10925239506,0.991,0.242,0.279189781022,0.0365697060756,0.993,0.465,0.542430656934,0.111044780471,0.975,0.244,0.290884428224,0.0382558954023,0.987,0.3215,0.386812652068,0.0712548846088,0.981,0.2725,0.344671532847,0.0652937169268,0.986,0.22,0.264358880779,0.0380284125671,0.983,0.216,0.303771289538,0.0612989841879,0.987,0.1955,0.302284671533,0.0668901355071,0.987,0.405,0.463917274939,0.0890271756383,0.976,0.4075,0.476344282238,0.101026473927,0.99,4.0,3.0,0.0,254.16,257.67138,0.0,0.0,0.0,-7.452,165.021,0.797786500354
117.48232,117.48423067,4606.86539544,233.9788,117.85577,117.859340493,4636.39734001,235.48012,112.79535,106.819474167,4640.45106945,228.48578,-4.223,-5.20175633293,14.776207007,59.187,0.03727,0.0596809047045,0.00442621634478,0.60587,-9.12,-10.1472931242,23.1164637175,56.876,110.2629,112.459300736,4635.55220563,235.76658,117.95006,117.953122281,4636.40753607,235.66753,53.193,52.2844427021,18.105191909,58.051,35.537,33.1825572979,1020.21434359,275.55,25.386,23.7712159228,491.158239887,275.239,-8.791,-9.42417249698,660.639696693,807.757,-9.381,-7.59176718938,465.553181805,142.762,-22.48,-20.8088685163,271.303066857,122.899,-7.571,-8.02224366707,286.50063314,115.751,-3.82,-3.86465379976,177.255125973,188.662,9.794,9.18605669481,230.30692938,111.41,7.637,7.09423522316,139.962029562,120.416,0.6,0.605806996381,116.16570412,115.864,4.789,4.14660193004,158.546940254,93.069,0.454,0.479143546441,0.0477157417587,0.949,0.861,0.718973462002,0.0979962743259,0.956,0.369,0.398353437877,0.0357715168187,0.971,0.324,0.399369119421,0.0641273040404,0.954,0.402,0.453513872135,0.078681207588,0.971,0.356,0.379283474065,0.0469357929838,0.965,0.279,0.354598311218,0.0665496154857,0.981,0.304,0.361180940893,0.0576328068261,0.982,0.463,0.520817852835,0.0779670126608,0.952,0.39,0.477550060314,0.102164457385,0.976,0.263,0.30781544029,0.0422483217881,0.977,0.229,0.277194209891,0.0396516715708,0.978,3.0,1.0,0.0,235.892,246.25587,0.119,0.0,0.0,-3.501,160.044,0.797038435546
128.916505,129.358339851,5704.36132409,260.96016,130.66633,130.959687852,5765.99116309,262.85802,123.41442,120.071226364,5387.63121895,242.82388,-7.263,-7.91477908938,12.9757131738,55.455,0.04076,0.0476956913997,0.0010623255768,0.26688,-16.34,-17.7477580101,38.5979251227,52.925,122.514965,125.438495902,5714.33643117,263.51456,130.540785,130.837866759,5765.76330204,263.11065,48.9445,47.8820775717,15.7791598253,53.36,36.7045,36.3979021922,1487.82069783,336.36,20.035,19.1928254637,1359.09485413,279.207,7.1445,6.90536003373,1429.43725535,558.855,-10.8935,-9.78181112985,789.301087291,213.817,3.2,8.3871846543,1243.5853252,253.5,-9.1095,-11.9792301855,579.060128078,171.279,-3.921,-4.19682799325,578.004355156,277.02,5.859,6.10350927487,327.893331171,183.707,10.436,11.6493136594,372.182090782,177.487,-2.304,-3.24155480607,401.388793259,193.223,5.166,4.50050674536,249.525014565,148.502,0.3095,0.436662731872,0.116235700753,0.993,0.379,0.450738617201,0.0798017175138,0.99,0.4695,0.524801011804,0.114425697335,0.995,0.209,0.247557335582,0.0309726767295,0.994,0.216,0.287609612142,0.0557703762651,0.99,0.1735,0.236162731872,0.0382074600276,0.994,0.285,0.356592748735,0.0689398181262,0.988,0.466,0.5181306914,0.118077553746,0.995,0.2745,0.359584317032,0.0713857133797,0.994,0.335,0.418727655987,0.0904455185775,0.983,0.178,0.258478920742,0.0518623372454,0.991,0.2125,0.297618043845,0.0683129089156,0.997,4.0,7.0,1.0,263.082,265.22077,0.102,0.0,0.0,-6.458,121.811,0.784575267639
154.16936,154.003117463,7865.5491149,305.73975,154.91991,154.752542715,7961.98689097,308.75436,138.901155,143.509335,8590.32567176,303.13774,-11.075,-11.7780597938,78.6454529572,59.083,0.033435,0.0549664329897,0.00507015848398,0.96574,-17.097,-17.127014433,85.2125074163,56.694,127.68338,140.707111753,8935.54258886,309.29846,154.826095,154.658845509,7961.99084654,308.94773,45.2655,45.3308030928,78.2691377519,56.658,7.4485,-0.35261443299,2494.41459296,447.115,22.709,15.8393690722,1690.02491666,286.166,-1.253,-3.83224123711,811.264408389,463.578,-9.8445,-7.54536082474,1293.46553484,276.115,-23.145,-21.9818938144,415.152570582,278.775,-5.3505,-4.15404226804,455.289391577,146.654,-7.0575,-8.80869381443,363.816282144,190.628,5.43,4.75094742268,277.966594561,121.056,1.1095,0.337573195876,252.311320038,140.556,3.4845,3.2355443299,135.818279613,98.017,4.371,4.12522680412,246.113772489,135.134,0.266,0.322915463918,0.0463800856372,0.998,0.6805,0.639724742268,0.110772968563,0.997,0.4255,0.485472164948,0.103023952318,0.995,0.552,0.58384742268,0.0979591004315,0.985,0.2775,0.353342268041,0.0674904127495,0.993,0.2565,0.354332989691,0.0793264757158,0.996,0.204,0.308803092784,0.0790361746296,0.998,0.1455,0.231937113402,0.0542780073855,0.998,0.178,0.267132989691,0.0621882988086,0.997,0.125,0.216667010309,0.0511396530354,0.998,0.272,0.328756701031,0.0614850583314,0.997,0.116,0.198430927835,0.0465398802806,0.998,4.0,1.0,1.0,290.72,313.44281,3.088,0.0,0.0,-5.778,160.109,0.779932544464
124.02969,124.088127806,5135.42680743,246.60649,125.034275,125.088994695,5168.87642289,248.60912,140.42802,122.40999,6617.35631676,242.63341,-5.0845,-7.32302025316,48.1997418325,55.681,0.03318,0.0574499113924,0.00623393025809,1.14963,-10.957,-12.7244696203,52.1905683908,56.285,115.698345,119.640572051,5162.24637465,249.80952,125.135065,125.189130458,5168.89607002,248.8098,51.98,49.9164151899,48.8250431846,56.557,12.504,10.0578405063,1056.66491905,306.005,13.742,13.3118316456,742.334466239,186.548,-7.0865,-7.30636708861,461.616431521,172.694,-12.012,-12.0235531646,659.683187379,176.875,-21.5935,-19.6125670886,394.092501767,161.702,-8.794,-8.37473924051,276.075001137,125.503,-5.6285,-7.26893924051,302.611993946,177.814,7.2915,7.03457721519,233.854275231,120.942,5.0455,4.38679493671,222.62417752,117.098,2.9525,3.14482025316,125.312859861,67.586,9.1675,9.6415835443,127.329595856,91.936,0.4145,0.437317721519,0.0429828648758,0.975,1.0,0.881778481013,0.0599730281445,0.969,0.3675,0.383988607595,0.0373850391107,0.985,0.318,0.375479746835,0.0641025204759,0.992,0.3055,0.367744303797,0.0680649244929,0.991,0.1915,0.244578481013,0.0343654311825,0.994,0.1965,0.262787341772,0.0476379699664,0.989,0.2085,0.275681012658,0.0490129311585,0.992,0.4025,0.444069620253,0.0589639837606,0.978,0.188,0.254227848101,0.0468406696042,0.987,0.143,0.190663291139,0.028151344855,0.995,0.2085,0.286993670886,0.0596328366688,0.995,4.0,1.0,0.0,235.787,253.23057,3.396,0.0,0.0,-4.685,150.002,0.779674712437
118.26749,118.269416696,4636.506754,233.89881,119.29355,119.295775763,4738.39217673,238.02453,50.57218,98.0081085714,7653.91649065,230.59536,-7.338,-9.18930612245,27.4118518475,35.878,0.029,0.0515896398559,0.00425576930479,0.52769,-12.048,-13.7541404562,31.5430673548,51.348,123.37646,121.494790516,4054.99021503,238.68086,119.48601,119.488129296,4738.43052558,238.41167,50.24,48.3796230492,26.2473672096,34.55,43.457,35.1755726291,2047.2906796,398.189,14.955,17.6818355342,1148.9671903,357.007,-8.213,-7.84455342137,447.228801849,324.045,-22.471,-23.1792593037,1098.02890971,243.653,-27.581,-26.4303613445,349.046427926,253.815,-4.512,-4.12540216086,304.288268682,137.997,-2.042,-2.35937214886,197.478855583,95.593,6.936,6.74177430972,227.642536453,114.222,8.274,8.07315246098,147.377926158,90.934,0.59,0.661286914766,107.228686377,90.447,-4.318,-6.14898319328,208.060965664,104.605,0.64,0.629271308523,0.0952026490808,0.988,0.456,0.504908763505,0.0968252857935,0.983,0.234,0.278697478992,0.0361048904738,0.993,0.276,0.372755102041,0.0830787347429,0.985,0.311,0.353617046819,0.0499478953637,0.984,0.501,0.561427370948,0.116345867774,0.966,0.303,0.349726290516,0.0492009767038,0.991,0.284,0.347740696279,0.0629409699765,0.991,0.328,0.397042016807,0.0700611302874,0.995,0.239,0.331238895558,0.0639318624967,0.995,0.299,0.391906362545,0.0883359864301,0.992,0.305,0.375418967587,0.0773918568791,0.995,4.0,5.0,0.0,227.219,239.17669,0.0,0.0,0.0,-7.282,116.94,0.772903347844
138.734515,139.908090889,6571.99942789,275.82464,140.22523,140.858550654,6746.03714295,282.44425,131.87821,117.122439091,6769.253996,231.65275,-7.4855,-8.32791286307,9.50291861896,55.672,0.035675,0.0591306120332,0.0040921173406,0.63774,-12.5655,-13.1143547718,13.2735089094,52.759,141.311135,137.420015985,6649.66129301,283.08907,140.22523,140.858610065,6746.06751013,282.85684,50.055,49.3731317427,8.94283145878,53.357,47.3205,48.0752997925,760.913751274,303.939,10.036,12.5007240664,606.589993978,232.843,-11.2375,-11.388280083,389.712304834,367.428,-25.19,-25.3180311203,630.578202833,188.253,-23.6965,-22.7462282158,264.335876801,237.767,-1.4935,-1.5134346473,289.023013663,165.365,-2.8625,-1.8700840249,195.360099627,118.847,7.719,7.79314211618,194.766371114,104.699,9.001,8.59640352697,126.028419809,85.761,-0.9265,-1.03389419087,128.556108783,210.794,-3.464,-2.93166390041,140.662127103,99.061,0.3945,0.467185684647,0.0772603669735,0.991,0.6125,0.617170124481,0.0955902137962,0.994,0.2485,0.313386929461,0.0502828347254,0.993,0.317,0.380891078838,0.0645931904183,0.996,0.261,0.321564315353,0.0523205612162,0.996,0.294,0.31657780083,0.0350261049429,0.997,0.4215,0.498442946058,0.110586740521,0.993,0.3705,0.393696058091,0.055607906582,0.995,0.352,0.448064315353,0.0978734377722,0.997,0.306,0.391809128631,0.086891324564,0.994,0.3515,0.426440871369,0.0973985660059,0.995,0.31,0.390788381743,0.0858283307364,0.996,5.0,8.0,0.0,282.151,285.77914,0.328,0.0,0.0,-7.146,97.289,0.771822602264
