barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
136.87018,136.904195759,6306.93558839,271.10561,137.43723,137.553449259,6347.04701009,273.19291,125.757885,117.211645,7162.09241267,227.29276,-27.884,-28.2217949674,18.3704310465,39.21,0.04061,0.0599910344828,0.00743305786296,1.58297,-33.026,-33.5162618826,16.3971787711,35.569,142.97932,141.658010252,6109.51899552,274.69442,134.33968,134.201355333,6260.82384026,266.51144,-0.676,-4.65180801491,1197.60724819,246.549,-1.798,-4.99519850885,1194.87684914,234.119,0.432,-3.80131034483,1116.60334062,260.497,-0.39,-4.98757409133,1184.43990099,258.521,-0.05,-4.84960764212,1133.33529466,251.577,-1.416,-4.3732917055,1139.19149999,313.047,0.056,-4.16598415657,1116.59917399,268.654,-0.35,-4.12902982293,1223.03820781,309.565,-0.312,-4.74808667288,1235.99983234,258.957,-1.119,-4.37291798695,1172.99952209,246.309,-0.515,-4.85707362535,1260.57360875,244.998,-1.212,-4.83404100652,1161.31248055,250.902,4.0,8.0,0.0,275.284,285.3873,7.419,0.0,0.0,-25.33,136.395,0.359767708042
275.06762,274.035964112,25078.1290247,546.94215,275.72733,274.703596126,25170.0244409,548.96673,230.15071,246.734014762,29825.0757547,538.70796,-16.595,-17.4992729985,31.1998087733,52.911,0.03878,0.0538792043759,0.00465235213035,2.05155,-21.825,-22.7442466435,32.6511433047,48.201,330.96263,301.912668444,22921.6623204,549.60204,274.24037,273.281792701,25079.4363013,545.94874,3.67,-2.69250571855,3459.37330005,501.982,4.981,-2.52378070612,3597.4732215,510.075,3.394,-2.81958826455,3478.36631432,477.839,3.711,-3.02860069617,3506.71626902,474.509,2.758,-2.967041273,3526.24330598,506.008,4.0,-2.74862108404,3666.79660267,465.487,1.674,-3.74233664843,3766.89078303,483.94,3.91,-3.06195723521,3701.32953286,488.187,3.811,-2.82288861263,3735.30750859,499.778,3.201,-3.04178319244,3701.1496859,491.558,3.414,-2.56878766783,3484.87117499,490.307,4.313,-3.02608801591,3574.72486111,473.544,4.0,4.0,0.0,530.918,551.13098,0.38,0.0,0.0,-14.593,180.86,0.288481642656
165.13419,165.173270676,8984.01346039,326.26876,165.50441,165.544582192,9106.52109959,329.92959,142.209525,145.204513333,8088.70984671,313.49528,-27.946,-28.7017608696,46.4853586155,40.952,0.034105,0.0412930124224,0.00106660428006,0.48351,-37.3975,-38.1952161491,23.4087966378,31.44,163.99401,161.030458416,8440.09148047,330.92803,160.90425,160.879073763,9070.70571076,320.83912,2.715,1.58858695652,1749.16544023,382.212,2.311,0.732119254658,1832.27030165,380.047,1.2695,1.17297018634,1815.45134831,367.149,1.444,-0.131480745342,1743.07663361,386.437,3.421,1.35772608696,1723.41281397,421.288,2.14,1.50159813665,1746.37625942,403.012,0.221,0.600239751553,1799.98930171,439.666,0.761,0.991864596273,1778.21189745,393.703,1.5325,1.06815093168,1867.57496872,357.851,1.8055,2.00860186335,1792.93541239,364.274,2.3765,1.15791242236,1870.1355063,379.625,1.8035,1.01353354037,1817.29534145,379.914,3.0,7.0,1.0,330.228,341.96853,4.934,0.0,0.0,-23.735,81.178,0.288481642656
165.34504,169.2004,9206.32569619,316.5989,173.93491,172.875995312,9467.36134971,334.82438,119.24689,135.986481111,14122.2803082,333.24126,-28.846,-29.5723588667,24.3994334305,36.079,0.05354,0.0762227072403,0.0168220128456,3.61602,-34.246,-34.9126537251,22.053727005,33.923,165.70136,165.971572183,8791.38858069,338.74712,173.74667,170.527784648,9248.34832078,330.67334,7.669,3.49752256034,2374.28816522,317.499,9.244,2.50754039874,2428.66770244,351.146,7.19,1.94129380902,2413.576965,295.744,5.115,2.67493179433,2403.59835167,319.983,6.536,2.98995173137,2439.86413234,326.375,10.144,4.04387827912,2425.91890602,346.915,8.111,4.09034942288,2351.67457095,306.705,6.546,2.44393704092,2272.64587655,300.468,6.151,2.50087303253,2430.68472011,321.149,8.025,3.35005561385,2495.07805469,317.563,7.376,2.45145540399,2288.27275413,296.311,6.171,1.76837670514,2308.98231648,345.334,4.0,5.0,1.0,322.473,343.74485,8.731,0.0,0.0,-26.696,52.898,0.288481642656
43.1947,41.1798286364,482.145098965,72.78771,41.28974,40.8153903497,481.151599657,74.9562,16.98083,25.9345775,718.397576752,69.77665,-30.406,-32.815620438,66.9226166589,37.543,0.05438,0.125253284672,0.0730025488323,2.70817,-33.759,-35.9287080292,61.7660344111,33.415,33.20834,36.1630683212,376.20667773,77.96372,41.28974,39.3365778261,465.421252765,72.33426,-2.576,-11.4875255474,1533.59395035,234.641,-6.419,-12.895810219,1460.14134034,230.557,-4.469,-11.134459854,1263.34545457,204.182,-3.515,-10.596649635,1221.82816865,233.622,-5.775,-12.3916715328,1155.60333029,213.383,-5.709,-12.079620438,1613.91917689,302.98,-2.96,-10.6660583942,1387.00473271,206.604,-1.852,-11.5932043796,1402.79330742,223.191,-2.376,-11.7552992701,1489.50078868,253.651,-3.944,-8.89195620438,1478.86511401,298.857,-4.569,-11.9011459854,1262.03924802,233.304,-2.086,-13.0831459854,1338.69151637,207.547,3.0,1.0,1.0,80.979,80.97914,2.694,0.0,0.0,-28.039,110.79,0.229144103717
205.86459,206.112774076,14060.8965544,408.96609,206.300405,206.554641835,14242.817697,413.34927,257.63361,230.873986667,15951.8950251,404.445,-27.811,-28.1039285714,20.5986730741,34.365,0.02942,0.0355259595525,0.000855735835697,0.47827,-33.74,-34.7837254733,20.2010360546,33.016,180.988095,190.297054036,13862.2751748,414.05524,202.74891,202.83436839,14112.3936949,406.9066,-5.766,-6.02250043029,989.022695022,331.469,-5.092,-5.22771901893,979.653990478,337.835,-5.313,-5.88751118761,1014.07901697,337.193,-4.9795,-5.00435154905,972.051343237,315.638,-4.502,-4.64596557659,965.119854439,325.438,-4.9385,-5.49556540448,1005.28531474,338.946,-5.565,-5.57296127367,1007.40227985,347.519,-3.9745,-3.60249182444,957.656115413,354.871,-6.2455,-6.17449612737,1019.90268549,348.206,-5.4785,-5.25431626506,999.943435353,344.33,-4.274,-4.85263339071,968.234199758,352.875,-4.2595,-4.6345580895,973.249689961,350.182,3.0,8.0,1.0,407.882,418.0371,6.531,0.0,0.0,-25.066,68.992,0.229144103717
223.10441,225.489334932,18765.742887,464.55529,220.04374,225.349534401,18762.3683991,470.52134,298.63721,235.29044,24891.5283924,461.9539,-21.093,-20.2475262304,55.175963835,54.301,0.04739,0.0617358734451,0.00321362011326,1.14576,-26.64,-25.9993829097,55.3281763628,51.712,199.88526,215.871838902,19024.2975791,471.1298,217.02925,222.088092963,18551.1399307,463.43001,-5.739,-15.9297760952,3025.48138683,409.032,-4.873,-15.7077950243,3136.44338997,412.705,-6.487,-16.8285776095,3082.33694258,384.172,-5.273,-16.6113737155,3125.57553428,400.576,-4.803,-15.9255570579,3101.77084786,405.424,-5.137,-16.0293985938,3084.41090731,385.955,-5.675,-16.440055165,3088.71435265,362.419,-4.423,-16.0866679286,3036.50247413,395.313,-5.57,-16.343540292,3098.68100637,398.544,-4.936,-15.7232660898,3125.96084983,382.956,-5.913,-17.1639388859,3097.3663969,384.785,-5.514,-16.6200708491,3147.01973421,417.919,5.0,0.0,0.0,470.274,473.3122,1.147,0.0,0.0,-13.76,92.056,0.229144103717
111.90357,110.499643836,4067.4191271,216.53021,111.53232,111.4282396,4124.81868434,221.71927,138.56665,125.213419091,5159.44026546,217.10396,-17.681,-18.033879562,61.6008849818,38.073,0.03293,0.0467864781022,0.00193570923668,0.55129,-27.7225,-27.8397718978,29.0149049242,44.289,105.484695,105.927231113,4151.06681548,222.44472,108.200635,108.9787586,4109.31435024,215.78805,-9.3335,-14.293459854,3801.05788127,381.126,-7.022,-12.8449744526,4117.46859466,546.271,-6.7615,-12.7001861314,3724.23179,462.92,-8.468,-13.2682226277,4142.86308813,455.47,-5.3205,-12.4650346715,4169.4048178,533.198,-8.164,-12.7996861314,3652.52848092,411.193,-6.496,-12.2664872263,4219.04399468,451.147,-9.428,-11.4646441606,4420.63062056,698.031,-7.495,-13.8104379562,4000.12738712,427.374,-6.7035,-12.6287864964,4263.66794438,527.381,-6.621,-12.0086405109,3999.36814724,466.943,-9.308,-12.8895255474,4111.5494423,462.544,4.0,10.0,0.0,204.986,227.60444,0.0,0.0,0.0,-11.289,80.949,0.229144103717
57.28058,57.1863334343,1107.75217598,114.19808,58.254275,58.1571422667,1130.28997913,116.14576,66.23691,55.5558975,1224.87264039,89.74977,-19.101,-19.9571391304,28.1053558372,48.67,0.036215,0.0504968913043,0.00214568688142,0.64068,-26.2435,-26.6211717391,36.6764161901,44.359,55.88989,56.802080587,1161.15111111,116.36431,56.69367,57.0701072,1126.20665453,113.05053,-4.8565,-11.8834891304,1879.08715173,254.309,-1.958,-11.362826087,2084.22147405,299.421,-6.2135,-12.9258826087,1955.69092689,292.852,-2.979,-12.1882608696,2051.63936247,277.508,-4.785,-9.6785173913,1929.77071824,370.58,-1.2175,-10.3733695652,1839.42239827,265.782,-4.336,-13.2730826087,1871.11125045,260.136,-4.6855,-10.1410804348,1783.46173551,291.778,-5.5575,-11.7788391304,1743.47991748,245.908,-0.863,-10.3612543478,1802.70625924,262.591,-5.6875,-13.0004195652,1943.12852092,337.19,-5.7545,-12.4671108696,1802.4563212,265.985,3.0,0.0,1.0,110.928,116.79302,0.194,0.0,0.0,-16.964,154.165,0.229144103717
71.597985,70.0684660714,1521.45095125,128.63696,70.946815,71.2842863889,1657.37559294,140.42741,67.99216,64.6705057143,2157.08198762,130.51518,-27.5415,-29.8099942197,52.0888082601,39.178,0.061715,0.0976565028902,0.0135852545008,0.88108,-33.026,-34.2636618497,46.8782351602,36.27,71.43238,71.3141426301,1363.50823219,141.981,49.34252,49.5172519444,1464.79090931,97.29214,-5.2505,-7.70155491329,3448.94297941,405.798,-5.237,-8.65553179191,3534.31924417,397.092,-4.907,-8.73434682081,3525.0395119,423.223,-3.802,-8.51889595376,3657.39390712,428.083,-5.1155,-9.29453179191,3802.75889873,434.789,-3.6215,-7.30012716763,3569.5824512,421.763,-2.7435,-6.92580635838,3435.29605163,409.866,-0.742,-6.25063583815,3558.01430227,431.014,-3.41,-6.80643930636,3266.16403194,402.298,-0.886,-5.79109248555,3192.07267371,407.063,-3.3285,-7.35460404624,3486.49881705,410.064,-6.072,-8.68981213873,3501.39912185,414.396,7.0,4.0,0.0,141.99,146.54649,2.833,0.0,0.0,-24.301,91.514,0.229144103717
