barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
81.73884,81.7435768932,2233.86604643,162.15015,82.73417,82.7370976202,2277.6505693,164.92599,79.35842,72.575086,2391.21942548,144.53131,-8.622,-9.2878813314,17.9506060235,29.303,0.03435,0.0432202026049,0.00117021717304,0.28159,-15.308,-18.2930940666,80.2488065946,53.872,81.52816,81.1424068741,2354.68708765,165.18381,82.634405,82.6378060457,2277.65815723,165.1247,47.591,46.122024602,37.260727833,33.729,3.768,-9.7142301013,2490.0378874,298.107,-19.457,-26.0468625181,2467.1607212,277.318,-6.828,1.18625036179,2275.68353711,705.258,-6.395,-8.08293053546,738.282411492,200.314,-19.356,-12.1909059334,1492.60485644,271.073,-0.939,-0.317994211288,349.713767433,161.225,-4.814,-5.59378437048,544.712661124,213.949,-0.306,1.08259768452,262.514240481,91.874,1.432,-0.307018813314,425.106100053,150.99,0.652,1.28461505065,457.770519452,212.838,3.577,3.59852966715,198.650896553,90.854,0.262,0.326732272069,0.0507867749209,0.989,0.499,0.556570188133,0.124485478069,0.971,0.216,0.279785817656,0.0406052739523,0.992,0.262,0.336599131693,0.0646065759182,0.995,0.288,0.419124457308,0.115783781905,0.99,0.306,0.397141823444,0.0960143735185,0.988,0.333,0.407147612156,0.0887116250992,0.985,0.168,0.260616497829,0.0625004071953,0.995,0.179,0.32210130246,0.101498970924,0.996,0.135,0.195765557164,0.0336264457601,0.998,0.164,0.257465991317,0.0693483588289,0.997,0.281,0.388015918958,0.103181364435,0.997,4.0,11.0,1.0,164.531,167.83628,0.0,0.0,0.0,-6.892,150.945,0.948565306789
99.77328,99.8032378761,3317.00322792,197.78101,100.432625,100.466365482,3376.37788142,200.87635,148.290765,118.1671325,4580.53064912,196.15256,-9.397,-11.33440625,41.9287498422,56.14,0.034855,0.0497436177885,0.00385298737429,1.15246,-17.471,-19.9066887019,67.8358947096,52.89,100.903245,100.596307933,3356.27726674,201.19841,100.43317,100.466292141,3368.9908235,200.87635,46.0725,44.4337391827,47.2607834981,54.012,-29.742,-31.37346875,3057.35802373,456.52,-28.0195,-30.6240420673,2879.7791834,324.593,-6.3785,-5.575578125,1499.7202399,542.392,7.2175,10.0296105769,1165.6921609,192.213,-16.72,-11.0580288462,1240.82070724,350.515,-19.053,-21.3446694712,576.676658637,158.544,-7.0715,-5.99960817308,402.689358483,164.289,15.9715,13.9993449519,295.965356589,136.652,4.4955,2.95672836538,270.682085864,189.219,1.832,1.92546634615,273.111298703,112.564,3.089,3.90700240385,248.893365255,123.098,0.319,0.384407451923,0.0832682053772,0.992,0.2845,0.401112980769,0.117591345408,0.994,0.116,0.146789663462,0.0176132886912,0.996,0.179,0.26934375,0.0643443986629,0.991,0.147,0.29303125,0.109921020658,0.997,0.081,0.138598557692,0.0262852474979,0.996,0.1835,0.291661057692,0.0752318009835,0.993,0.076,0.125200721154,0.0205652061052,0.997,0.147,0.213570913462,0.0421603459328,0.996,0.061,0.112387019231,0.0175973454084,0.856,0.1875,0.263140625,0.0589176424842,0.993,0.9595,0.699484375,0.121367006967,0.996,4.0,11.0,1.0,186.485,204.09424,0.067,0.0,0.0,-8.496,136.003,0.926474922757
125.58976,126.430033562,5423.22840682,254.00992,126.47186,127.311254463,5481.61730133,256.66988,145.776865,133.3084675,6767.32870619,252.69317,-9.177,-9.62594421365,17.6816137453,46.843,0.02022,0.0269126350148,0.000670530990208,0.42997,-21.956,-22.737851632,44.1982947388,50.014,134.93927,135.603798576,5552.96536618,257.09533,126.58205,127.420726354,5481.86493388,256.89102,44.807,44.0468854599,19.2959337513,46.396,41.257,30.0553341246,4792.55028274,374.602,-10.606,-13.9802534125,3158.01095899,390.504,37.259,39.6247602374,1738.32228006,541.214,-6.758,-6.61543145401,1374.61118615,237.658,-27.256,-23.1073204748,1992.99150537,309.391,7.158,3.86957388724,1218.68511862,253.054,5.93,6.37395905045,504.134415086,182.317,-5.578,-4.73161780415,542.323609259,158.95,9.438,10.7740652819,430.765548773,156.373,10.076,9.35649020772,504.014094238,207.281,2.708,3.3992,558.155052861,204.739,0.7,0.687416023739,0.0839183236602,0.989,0.995,0.839264688427,0.0719680284564,0.987,0.616,0.552109792285,0.121080910794,0.998,0.705,0.59251810089,0.118948257981,0.999,0.499,0.501489614243,0.104649449892,0.998,0.515,0.505437982196,0.105877265738,0.999,0.408,0.415313353116,0.0781191706526,0.999,0.366,0.37192462908,0.0625651331916,0.999,0.25,0.343459940653,0.0815948145674,0.998,0.227,0.318983976261,0.0751718543426,0.999,0.191,0.343989317507,0.118546577927,0.998,0.065,0.19316379822,0.078927071093,0.999,4.0,1.0,0.0,253.248,260.77995,0.0,0.0,0.0,-7.14,135.999,0.91371492091
102.92099,102.734626628,3506.28759119,203.12619,104.41232,104.226967759,3588.99252736,207.3029,62.92381,78.3758675,3788.38132974,196.453,-9.984,-11.0253448276,35.1781473359,58.281,0.05911,0.0694123152709,0.00265837656262,0.57832,-18.939,-20.4735632184,53.4997609554,52.546,108.08077,104.899102233,3283.26228582,207.74626,104.26279,104.077677874,3589.03420627,207.60764,45.934,44.602270936,31.9384111893,53.382,-41.171,-38.7335697865,2744.35027174,359.423,5.672,6.1386091954,2297.88966477,284.78,-10.155,-9.16586535304,1617.23952521,406.251,33.381,34.0968555008,873.762661289,210.877,-1.124,3.48212643678,1314.01028819,199.938,6.699,0.88847454844,856.30315018,221.586,-2.128,-2.58069293924,724.256280088,220.801,-4.04,-5.39101313629,377.015706827,145.174,-4.612,-4.25980623974,467.790440724,161.024,-3.011,-3.67505254516,343.371894963,121.266,8.313,8.87037438424,245.120748779,102.602,0.379,0.488413793103,0.137491648151,0.996,0.138,0.198896551724,0.0385059416794,0.997,0.148,0.25728407225,0.0781826204524,0.999,0.11,0.178039408867,0.0378849015668,0.998,0.24,0.378770114943,0.119488206595,0.998,0.155,0.326377668309,0.121057877071,0.997,0.132,0.196855500821,0.0421747640133,0.996,0.363,0.480564860427,0.137264863199,0.996,0.139,0.18465681445,0.0302059101383,0.994,0.128,0.25080952381,0.0849714021425,0.997,0.095,0.151044334975,0.0266676220081,0.997,0.137,0.220220032841,0.0532971798286,0.999,4.0,0.0,1.0,203.813,214.85669,1.088,0.0,0.0,-7.057,100.109,0.874646710137
64.53264,64.5273980597,1391.5467764,128.63929,64.53264,64.5273980597,1391.5467764,128.63929,52.31166,53.6554028571,1609.27379287,117.88383,-10.3615,-12.1743684211,60.7954359507,51.297,0.04309,0.0483564661654,0.000846416423226,0.2543,-19.6715,-21.7184680451,65.4908193392,50.758,64.815215,65.1483856579,1367.6177247,129.21011,64.641535,64.6347125083,1386.94568157,128.85601,45.6045,43.178806391,54.8656495772,49.48,-25.8005,-26.8206090226,1957.25557711,318.747,-36.1425,-36.9311616541,1251.44269542,219.467,-12.9365,-11.6676860902,1273.15832184,278.454,23.697,25.5299943609,665.072033186,163.814,-4.3485,-0.0475676691729,967.089510482,190.526,-7.2,-8.40505827068,381.80054719,111.035,-5.1645,-4.45709962406,558.741423883,202.678,3.711,4.73938157895,294.265274747,111.741,-4.4915,-6.09406766917,464.877370631,138.272,0.6155,1.11435902256,265.290824753,109.72,14.8775,15.8393590226,350.566020208,122.528,0.265,0.37015037594,0.0917106879134,0.99,0.3275,0.382819548872,0.0659216930013,0.978,0.349,0.453268796992,0.117228452184,0.99,0.1235,0.157417293233,0.017312822107,0.996,0.074,0.171317669173,0.0597412205149,0.995,0.081,0.120477443609,0.0143911028747,0.885,0.2745,0.413114661654,0.113578165424,0.983,0.182,0.293161654135,0.0875833272514,0.986,0.149,0.231112781955,0.0495712805133,0.993,0.368,0.471154135338,0.127117231881,0.989,0.164,0.201090225564,0.0225463302052,0.992,0.1455,0.283860902256,0.10079393178,0.993,1.0,2.0,1.0,119.983,129.98485,0.0,0.0,0.0,-8.176,93.337,0.873931998585
108.88988,109.001912143,3906.39120964,214.67997,109.96187,110.076340965,3968.88596942,217.67256,80.81485,84.3533733333,3300.98995704,158.15487,-7.3705,-8.34656593407,14.5688989783,20.801,0.032615,0.0638716666667,0.0130598112714,1.0844,-11.425,-12.5589010989,19.879028243,53.836,112.39608,114.457437747,3974.646158,219.3795,109.96241,110.076425143,3976.70667266,218.10127,50.567,49.3417380952,19.3786954534,52.288,14.41,14.7296025641,1504.27705728,314.704,17.6405,15.4281391941,851.242948717,291.529,-8.3565,-6.16066117216,799.273035535,459.239,-5.1625,-3.60279487179,536.529146562,183.092,-30.191,-30.3853058608,270.723433132,285.221,5.086,5.35593223443,188.223715598,116.175,-1.125,-3.05477655678,186.937195225,127.907,-8.3055,-9.28424908425,247.534406927,96.984,0.375,-0.563923076923,123.427482818,110.076,0.919,0.9196996337,116.498738712,184.779,-5.2345,-5.55554945055,115.056595416,76.712,0.155,0.294435897436,0.0803587697004,0.994,0.301,0.379263736264,0.0748371685384,0.977,0.1595,0.260754578755,0.0635733097318,0.998,0.143,0.204137362637,0.0271708840619,0.853,0.2045,0.307571428571,0.0685148309785,0.991,0.154,0.213840659341,0.0347383244274,0.99,0.209,0.371692307692,0.12766930093,0.992,0.166,0.210137362637,0.03333001593,0.991,0.2105,0.299481684982,0.072584641606,0.995,0.4975,0.562183150183,0.121582501255,0.982,0.173,0.265562271062,0.0514624036315,0.986,0.2805,0.458181318681,0.145561588003,0.997,4.0,9.0,1.0,218.117,223.4771,0.0,0.0,0.0,-5.948,140.086,0.87260774003
104.09556,104.093109189,3609.36501844,206.24044,104.799255,104.796313661,3674.97270357,209.53024,105.73456,96.471445,4220.78358978,202.9957,-7.0695,-7.85680042463,12.6844200621,21.188,0.033405,0.0430187154989,0.00106601150971,0.2761,-16.247,-16.5807632696,33.6344393293,53.777,100.54336,101.732410456,3751.44615248,209.97061,104.91588,104.913524766,3674.97953242,209.76004,48.3045,48.0567600849,14.4666163692,24.608,4.4765,3.59745647558,1644.51116963,349.219,-17.682,-15.9656072187,1641.51208639,255.676,5.2305,4.10039596603,1454.53876688,365.264,-26.5865,-25.171007431,472.164478506,167.003,-12.193,-7.3863566879,1007.5585607,348.743,0.5525,-0.384712314225,611.25667584,139.289,-14.665,-13.6058057325,651.947289804,182.342,13.0675,13.018873673,355.496390938,144.865,6.0495,6.62226645435,470.87565686,169.635,2.056,1.87943205945,433.939328746,211.578,4.8405,3.54318789809,300.094393677,126.65,0.5495,0.544121019108,0.117768182807,0.986,0.3925,0.440554140127,0.103832584648,0.981,0.186,0.207343949045,0.021110926285,0.958,0.218,0.343416135881,0.101454879909,0.986,0.2325,0.291976645435,0.0381168041255,0.982,0.3815,0.500713375796,0.114078641838,0.967,0.348,0.394318471338,0.0411553338202,0.98,0.335,0.404583864119,0.0687913767248,0.978,0.322,0.429845010616,0.0890749547469,0.992,0.122,0.223357749469,0.0574866904867,0.994,0.1595,0.278061571125,0.0837311639372,0.995,0.1735,0.326560509554,0.110467921498,0.992,4.0,1.0,1.0,209.717,215.24853,0.0,0.0,0.0,-5.922,127.964,0.87147077919
114.92593,115.043985984,4415.98366674,228.57202,115.83232,115.950883151,4468.67256709,231.33011,130.9926,112.872317,4898.13117317,207.16423,-13.047,-13.9534409257,77.7757451308,45.834,0.0437,0.056410998782,0.00248454531374,0.48922,-27.466,-27.804817296,94.452609304,56.68,103.43329,110.108974336,4667.26244418,231.95243,115.83232,115.950857801,4477.46758422,231.79204,39.952,39.2318355664,57.8496361959,44.602,-31.136,-35.2648343484,7539.00891024,579.831,-59.22,-59.6932935445,3710.0660018,416.542,1.04,6.76580633374,5334.3007216,540.56,9.247,8.65862484775,1300.79527005,243.45,3.422,16.2215883069,2989.43294781,371.79,-8.418,-9.48316443362,742.533127007,173.218,-14.688,-15.7793507917,1738.34839555,266.272,3.305,4.5386589525,643.451171224,169.536,-7.843,-8.02791230207,968.449772092,220.605,-5.091,-6.7320998782,847.582272485,288.012,3.377,3.05244823386,465.88760358,159.951,0.281,0.412246041413,0.121320991839,0.998,0.244,0.367652862363,0.115343588387,0.998,0.168,0.251568818514,0.052685928577,0.995,0.361,0.449103532278,0.124402886967,0.998,0.166,0.263524969549,0.0661401714228,0.997,0.238,0.380518879415,0.123433170472,0.997,0.157,0.258147381242,0.072040715185,0.999,0.178,0.319108404385,0.100488301281,0.996,0.211,0.321444579781,0.0932043614231,0.998,0.122,0.204457978076,0.0481624528627,0.998,0.203,0.33609135201,0.101876609194,0.997,0.121,0.216602923264,0.0587161663252,0.996,4.0,8.0,1.0,229.053,237.47873,0.0,0.0,0.0,-6.986,132.581,0.870211837279
159.1874,159.09688599,8458.89107956,314.87883,160.27261,160.163575582,8512.39715807,317.04493,122.43423,122.541017,7646.57659358,309.74995,-6.9585,-8.489564,27.4886884299,32.287,0.029515,0.0652675066667,0.0138749801928,1.11199,-11.44,-14.187124,53.9126232713,54.35,143.183125,145.72696392,7826.22830379,317.51837,160.27261,160.164734768,8498.31561423,317.04493,50.279,48.279876,37.2389207113,43.253,31.9885,11.370036,4031.03577264,393.819,20.952,11.3654706667,2070.11005186,309.286,-3.744,0.459172,1169.92874203,500.666,-19.499,-20.5339093333,455.938477954,178.472,-28.5035,-26.3897986667,515.938336811,219.086,0.505,1.29291333333,184.596584682,147.404,-5.3645,-7.76951866667,395.704945212,239.936,-0.5495,0.408669333333,213.943318253,126.692,-2.7755,-2.95077066667,217.102039742,149.673,1.202,1.73055066667,181.957997135,198.14,-6.7115,-6.77628933333,163.630063507,101.444,0.815,0.695874666667,0.107948813625,0.999,0.3475,0.384294666667,0.0620096131716,0.999,0.246,0.36974,0.0917267604,0.991,0.1255,0.170336,0.0217795484373,0.999,0.14,0.167778666667,0.0140976816782,0.999,0.25,0.298229333333,0.0562013660729,0.991,0.12,0.132137333333,0.00879775047289,0.98,0.202,0.259101333333,0.0357603923982,0.984,0.109,0.138537333333,0.0148752806062,0.933,0.1925,0.240457333333,0.0310654961796,0.994,0.4095,0.504857333333,0.14994422898,0.996,0.424,0.468354666667,0.0797416022116,0.992,3.0,5.0,1.0,307.676,323.60444,0.0,0.0,0.0,-5.938,111.048,0.866112353084
96.408465,96.405502561,3101.98165485,191.76855,97.142985,97.1408547727,3140.06256322,193.82251,85.81612,84.7551109091,3471.49204322,186.99239,-5.8425,-8.02838271605,52.8204174807,55.824,0.039455,0.0467069382716,0.00120622754914,0.607,-13.9595,-16.9021296296,92.0746561005,55.749,92.40993,93.6522332963,3109.14619122,194.16698,97.0694,97.0673461818,3140.06770337,193.96969,50.1765,47.8304444444,57.1382803407,54.14,54.105,50.0208790123,1817.34396343,458.232,-0.5185,-3.78582222222,1736.15738736,339.928,-0.9265,4.84062222222,1664.82429508,719.126,-29.9105,-28.498337037,620.59357371,249.231,-8.634,-1.48864567901,1276.23780565,417.39,-6.4085,-5.32972098765,540.985547263,185.398,-1.187,1.0990654321,683.163836454,249.863,-0.4205,-0.470419753086,298.95054776,116.319,-1.117,-0.549443209877,374.425712244,149.703,-0.164,0.341256790123,389.138031179,202.538,-0.9045,0.139560493827,368.48871158,133.72,0.406,0.469496296296,0.111969857394,0.995,0.519,0.535934567901,0.116304438929,0.998,0.168,0.229043209877,0.035369026528,0.995,0.1615,0.246779012346,0.0581366536336,0.999,0.1195,0.20515308642,0.0478970259473,0.998,0.2275,0.299308641975,0.0597899467154,0.993,0.5325,0.56120617284,0.141490116752,0.991,0.2115,0.290439506173,0.0631828586862,0.995,0.1465,0.230401234568,0.0565683340725,0.996,0.122,0.183616049383,0.0296104044338,0.991,0.1955,0.293590123457,0.0702189628654,0.998,0.191,0.362361728395,0.127514127177,0.997,4.0,6.0,1.0,179.891,196.07465,0.0,0.0,0.0,-5.488,204.069,0.857491847396
