barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
228.44374,225.738356944,16739.3218117,446.75942,229.358975,226.662866639,16847.4274391,449.34546,235.12657,229.3231824,20260.4249271,442.50108,-9.766,-10.8046477273,25.6973570325,44.824,0.02432,0.0351431225296,0.00130416687483,0.40374,-18.9685,-20.5462643281,41.5543316569,50.229,224.804215,221.922098804,16434.9254585,449.56444,229.36083,226.66361005,16833.492226,449.34546,45.6075,44.3051398221,24.4873441381,47.26,3.432,4.61549160079,1681.24645983,343.425,15.41,8.10737302372,2041.40216583,338.927,19.908,25.5664906126,1644.53776811,503.999,-4.4475,-7.19406274704,740.9276136,189.921,-24.143,-22.01375,987.105153562,345.077,5.566,6.95958596838,581.754278162,198.479,-2.8465,-2.74760918972,426.369590942,167.837,18.1505,18.1298829051,300.282505123,172.707,8.3315,8.41472282609,273.657636142,139.62,6.433,7.60008498024,268.306234141,128.823,11.0015,10.6162060277,286.489571946,147.04,0.7135,0.669270256917,0.0849135420798,0.972,0.7175,0.670968873518,0.0915564866794,0.964,0.31,0.396147233202,0.0757699882038,0.984,0.276,0.360001976285,0.0660757163993,0.983,0.4285,0.476505434783,0.0793080355436,0.983,0.3645,0.426506916996,0.0777848873039,0.978,0.332,0.389619071146,0.059548818826,0.984,0.32,0.381862648221,0.0615088101859,0.987,0.273,0.335806324111,0.0554681205924,0.982,0.3,0.37734041502,0.0715594587224,0.987,0.256,0.315343379447,0.0528297659838,0.988,0.248,0.32794812253,0.0644427902929,0.992,4.0,4.0,0.0,440.297,452.23138,0.0,0.0,0.0,-7.887,162.239,0.374640926121
98.73276,98.1156878495,3131.47774305,191.8505,100.437245,99.8362901056,3241.97580445,196.58477,109.71627,102.66528875,3962.01089275,191.11002,-5.251,-6.5685398374,20.641350037,33.454,0.05186,0.0628506666667,0.00244902586801,0.60853,-12.153,-13.3098780488,33.9842317656,48.182,94.5605,94.202171626,3127.83728869,197.42426,100.32392,99.7195978077,3249.8314898,197.26979,50.765,50.4811681818,9.77070852171,53.68,81.349,77.2173045455,648.35644948,203.672,15.6685,17.4171090909,614.243884215,274.905,-13.3375,-13.6080022727,753.371307561,704.387,-31.8045,-33.3539454545,681.664895538,170.436,-24.647,-23.4500931818,230.631967294,217.627,-3.6875,-1.509775,311.890480533,145.377,3.124,4.21798636364,192.904481218,142.031,4.894,3.90901590909,145.900779066,81.163,0.8095,2.80899545455,204.827050545,196.744,-3.7925,-4.44418181818,81.4464800897,98.795,-10.259,-11.3206613636,147.682582538,76.59,0.5955,0.5965,0.0815561,0.959,0.631,0.602247727273,0.097222931813,0.959,0.4395,0.477965909091,0.0814396511105,0.968,0.459,0.487970454545,0.0736882150362,0.957,0.4755,0.502615909091,0.0879834774742,0.973,0.339,0.376911363636,0.048497471689,0.946,0.348,0.389484090909,0.0549121952014,0.959,0.2255,0.283188636364,0.0415098030527,0.972,0.296,0.343118181818,0.0495244314876,0.974,0.249,0.321440909091,0.0561209874174,0.971,0.3735,0.409777272727,0.0571322231198,0.967,0.6025,0.610177272727,0.114915836756,0.963,3.0,4.0,1.0,197.59,197.58975,0.0,0.0,0.0,-4.657,86.238,0.507588616851
128.95155,128.473954499,5480.85931703,255.81733,128.95155,128.473954499,5480.85931703,255.81733,142.11414,119.368545556,6771.97664876,242.98358,-6.485,-7.25947295597,18.8593796807,24.901,0.05138,0.060973245283,0.00209372136406,0.38146,-13.133,-14.2822327044,31.4990547421,53.225,125.45492,126.736927245,5376.1452672,256.27574,129.081125,128.605031299,5480.73976686,256.0857,50.479,49.3438163522,20.1729574355,25.585,12.07,12.0573333333,1376.22352331,256.568,4.978,9.78217358491,2220.5563637,335.249,-12.414,-10.7569647799,1257.07351672,248.972,28.278,27.6558528302,536.189248956,188.85,-15.827,-11.7491761006,669.821922696,196.015,-12.473,-11.2333207547,414.878258067,150.977,-3.786,-2.09984150943,351.350505104,159.475,14.177,12.9624503145,290.139332612,132.828,3.357,2.78632201258,330.762377954,168.243,-0.038,-0.782203773585,187.833016364,134.675,16.289,14.8625937107,226.642499552,120.06,0.231,0.303879245283,0.0573842193806,0.996,0.234,0.320220125786,0.0639203100352,0.991,0.41,0.493289308176,0.106269083596,0.988,0.274,0.323086792453,0.0458352666809,0.983,0.584,0.593664150943,0.123553488463,0.988,0.224,0.259735849057,0.0365071025513,0.993,0.201,0.284042767296,0.0565102094917,0.993,0.25,0.353569811321,0.0844932187113,0.996,0.236,0.298265408805,0.0542500465393,0.997,0.215,0.319035220126,0.0770551006463,0.986,0.162,0.254257861635,0.0541298341363,0.993,0.417,0.503866666667,0.105708535681,0.996,1.0,2.0,1.0,256.731,256.73098,0.0,0.0,0.0,-4.463,113.646,0.51684380089
162.16218,162.182651649,8732.80277514,322.36147,162.806415,162.828495504,8779.48822937,324.52808,157.19384,155.8388725,10513.7758003,317.94269,-12.755,-13.0477683727,25.900890426,34.984,0.03454,0.0435459514436,0.00095496567147,0.25502,-24.8815,-26.1947900262,70.7974560963,50.949,167.98186,165.986137448,8422.56666173,325.05311,162.73503,162.756578511,8787.3249013,324.9547,40.8165,40.2953326772,29.6307422338,32.725,-12.674,-11.2402775591,5299.64118265,507.999,-26.0615,-14.0171870079,12142.563414,558.7,37.864,38.9874652231,2461.62064283,363.882,-34.917,-35.3946961942,2178.68427709,326.78,1.841,9.97447047244,2613.59089849,297.075,29.7585,30.5292887139,1195.0635604,233.599,-11.1585,-12.4017572178,1175.04393278,248.755,0.7285,0.565448818898,978.331044594,203.477,-3.019,-5.0697007874,799.288796275,220.895,-0.7975,-2.69798031496,547.553434317,186.138,4.243,3.73556692913,540.280653155,193.486,0.6295,0.600663385827,0.136301391284,0.998,0.392,0.447162073491,0.104125155491,0.993,0.1425,0.21448687664,0.0494972655758,0.997,0.108,0.212677165354,0.0653209075888,0.998,0.107,0.206234908136,0.048039705973,0.999,0.1015,0.215834645669,0.0637576891934,0.999,0.125,0.283582020997,0.106525984742,0.999,0.35,0.465700131234,0.163015779501,0.999,0.2065,0.350447506562,0.117593970342,0.999,0.1635,0.316244750656,0.107722346265,1.0,0.284,0.336566272966,0.0840338729045,0.999,0.101,0.214080052493,0.0611081851926,0.999,4.0,8.0,1.0,322.374,327.83628,0.0,0.0,0.0,-9.521,140.053,0.485761152925
112.581825,112.374080288,4224.08375169,222.91967,113.67051,113.454744223,4239.23337759,225.09654,114.10661,105.855306667,5310.85232016,218.35886,-4.951,-6.10252631579,19.648627189,58.837,0.03664,0.0491880102696,0.00200834413173,0.46967,-10.185,-11.3483684211,28.4386639965,56.041,104.302,107.149156919,3627.65418249,225.30295,113.59795,113.383000999,4233.92700248,225.24311,52.163,51.1638587933,22.1511698157,56.555,33.188,31.7132939666,1162.01671358,326.404,-10.39,-12.1278279846,772.250979321,216.609,-13.905,-13.372775353,755.52346936,470.999,4.303,5.54046854942,459.411432596,142.97,-27.346,-26.0566970475,432.043281649,311.665,10.927,10.1002477535,363.861288256,167.65,-0.876,-0.665476251605,347.916695102,133.049,-3.835,-2.80238125802,434.534875479,163.664,-5.031,-5.04582284981,238.222176767,132.279,-0.252,-0.683047496791,122.49789786,117.966,9.592,9.06097560976,230.791087377,102.528,0.271,0.372030808729,0.105162769269,0.999,0.375,0.447102695764,0.105552518337,0.984,0.448,0.525037227214,0.0996732681905,0.972,0.183,0.238957637997,0.0376668852401,0.999,0.354,0.426616174583,0.087912963076,0.998,0.283,0.355405648267,0.0770399304431,1.0,0.345,0.399421052632,0.0629655788122,0.995,0.48,0.543241335045,0.111602935339,0.998,0.202,0.25943902439,0.0444105620714,0.999,0.272,0.34802182285,0.0762074026046,0.983,0.206,0.276979460847,0.0547679559324,1.0,0.227,0.296937098845,0.0634066905235,1.0,5.0,7.0,1.0,217.774,227.26485,0.636,0.0,0.0,-4.514,138.105,0.51684380089
87.64179,87.3259274545,2504.22127508,172.31555,88.42167,88.1152953483,2562.02645467,175.53821,81.736965,83.802997,3178.13314895,169.74825,-6.0485,-7.40169112628,26.6221697425,34.466,0.045105,0.0577448122867,0.00196296022326,0.3907,-12.175,-14.5371552901,50.0684228069,47.021,83.73424,85.6467259215,2521.08652455,175.97528,88.519605,88.2141024494,2562.01048493,175.71252,51.541,49.2529590444,32.0855066297,33.208,16.787,15.0456672355,1484.88440325,276.845,-3.096,2.74879863481,1196.9210058,254.455,-10.1225,-12.3050119454,966.32249109,252.185,22.9705,22.8665614334,522.337729274,203.974,-16.641,-10.3688430034,813.720206112,243.17,-17.0295,-17.9442883959,728.393633106,197.257,-2.244,-1.60482764505,482.616565364,220.391,11.6135,11.0874334471,368.135485856,140.552,3.585,5.95613651877,393.024700053,167.108,0.0965,-0.56233105802,210.654698798,123.036,15.728,15.7876808874,248.723771528,112.802,0.3545,0.433122866894,0.116737435416,0.989,0.311,0.36795221843,0.0703743629046,0.992,0.4995,0.544387372014,0.112173179294,0.994,0.1995,0.271220136519,0.0547697279904,0.994,0.186,0.25509556314,0.050571178581,0.996,0.22,0.302284982935,0.0687850228803,0.995,0.297,0.338744027304,0.0564201153654,0.993,0.6215,0.600232081911,0.122263058766,0.987,0.277,0.323566552901,0.0548066414751,0.985,0.2585,0.340552901024,0.0686342472015,0.984,0.172,0.266307167235,0.0605128681056,0.988,0.255,0.357752559727,0.0842155377494,0.988,4.0,0.0,1.0,177.528,177.52771,0.0,0.0,0.0,-4.852,152.29,0.496795816759
100.23917,100.244723301,3370.27979836,200.56505,100.23917,100.244723301,3370.27979836,200.56505,90.3562,94.544233,3822.0809445,190.62243,-6.5835,-6.82729754601,6.07143100042,56.703,0.04317,0.0551637576687,0.00267559030689,0.74526,-10.76,-10.9897285276,10.4969490965,54.008,99.67449,100.973598589,3429.06899818,200.83283,100.13835,100.147166757,3370.22434299,200.76079,51.1805,51.0074110429,6.74138585865,54.405,81.3095,78.2435092025,602.988306854,193.573,14.2375,17.7475199387,602.271048691,211.391,-13.4535,-13.6350352761,486.973521056,618.559,-35.5595,-35.6842714724,507.329184038,157.849,-23.693,-22.6230843558,258.72815731,310.899,-11.179,-8.67501533742,302.813885895,163.12,9.6735,9.1074892638,195.581430781,160.556,11.4485,10.3505567485,158.982771501,83.185,3.639,4.82254141104,188.077468181,112.981,-1.535,-1.88180674847,78.1505675823,122.725,-5.9815,-5.60908128834,119.004338817,76.983,0.555,0.570348159509,0.0896540582328,0.976,0.595,0.596136503067,0.0835623970111,0.972,0.482,0.502555214724,0.08183150462,0.984,0.4455,0.457587423313,0.0640763558541,0.974,0.4455,0.459415644172,0.056653856381,0.977,0.3025,0.320214723926,0.0399889324212,0.989,0.2755,0.292496932515,0.0369463144078,0.982,0.3095,0.352512269939,0.0566779338985,0.976,0.3955,0.423711656442,0.0467387880236,0.956,0.861,0.679792944785,0.123658032282,0.945,0.3325,0.352552147239,0.0404522012684,0.97,0.267,0.287742331288,0.0332817280854,0.989,1.0,2.0,1.0,196.812,207.62077,0.218,0.0,0.0,-6.121,154.046,0.324058699214
265.32351,265.456015887,23726.3536384,529.57023,267.32247,267.347439027,23811.7939853,533.35522,267.24909,247.694937222,22062.5803343,529.35378,-7.6005,-7.87197462236,20.8690450906,58.344,0.03481,0.0402024138973,0.000380815777043,0.12429,-17.863,-18.8370873112,38.681989728,52.527,266.504985,266.88175926,23284.0282998,534.86884,267.416405,267.42630746,23868.0136474,534.77077,47.9195,46.8694,21.2858864744,53.331,55.9055,56.390652568,2273.05695885,238.935,15.0235,13.6682386707,1414.19214789,238.976,31.5045,33.3242731118,1593.6837975,228.006,-27.132,-29.751236858,1476.52654673,172.517,2.766,3.62640543807,908.863192098,191.059,0.212,-1.81584531722,563.918463864,125.695,1.9525,3.33246676737,552.630105562,123.799,17.6135,18.9137132931,479.682012546,124.558,20.701,18.6098111782,211.921433606,95.016,0.1895,-0.197449244713,421.731745992,202.008,0.6925,-0.783113293051,175.211723136,85.918,0.636,0.593558308157,0.0781212538509,0.966,0.6315,0.671727794562,0.0734318319465,0.901,0.413,0.43515407855,0.0758564113051,0.966,0.4055,0.398374018127,0.0612751791437,0.973,0.508,0.520424169184,0.0672851469687,0.98,0.525,0.57095347432,0.0813744346934,0.949,0.641,0.647447432024,0.0681241463303,0.915,0.659,0.64726978852,0.0775759740419,0.94,0.527,0.57783081571,0.0691800795338,0.906,0.527,0.56831570997,0.0765303924722,0.926,0.413,0.461456495468,0.0690299000711,0.97,0.392,0.44913897281,0.113018076155,0.993,4.0,6.0,1.0,524.283,536.13669,0.206,0.0,0.0,-5.402,63.495,0.288596453904
303.84707,303.847059843,30763.0778762,605.68739,304.792765,304.799632562,30956.5058402,608.85996,290.5093,285.580953158,32412.0999548,564.14807,-10.8835,-10.6465406272,30.7938830759,20.533,0.03218,0.0375670598717,0.000829377599374,0.35144,-32.281,-30.6510114041,81.9524801595,50.677,302.106125,305.874382865,33016.1941548,609.47542,304.630985,304.640858385,30956.5162073,609.17726,42.304,40.9491151105,24.0459750441,27.549,12.895,6.30136956522,3939.45363283,335.288,-24.189,-20.1725691376,2954.80197363,342.611,60.076,72.3221368496,4707.39506928,482.154,-4.0705,-0.884322166785,486.669192968,159.329,25.445,32.2386703493,3737.51068638,397.493,1.571,1.99136172488,438.63906598,154.304,21.425,19.5728399857,846.002830911,194.608,1.128,0.441746614398,126.022481506,85.927,1.485,2.63287633642,461.104837433,139.292,11.4875,9.40789878831,585.134068035,176.313,-3.1845,-2.71149180328,148.89508333,93.963,0.9815,0.780043121882,0.0886219151042,0.978,0.671,0.64583784747,0.0679146518962,0.988,0.5465,0.501369565217,0.0789426948542,0.984,0.309,0.336432287954,0.0420634791998,0.982,0.322,0.362883107627,0.0695333035136,0.978,0.466,0.483682109765,0.090001447057,0.986,0.327,0.377300427655,0.0666622892871,0.981,0.43,0.476577690663,0.104341477749,0.996,0.29,0.376018888097,0.0819915965784,0.993,0.3275,0.408560940841,0.0873360110759,0.996,0.334,0.40313150392,0.0989075782163,0.994,0.308,0.355178902352,0.0702975104031,0.998,3.0,5.0,1.0,609.419,613.11955,0.0,0.0,0.0,-7.721,94.463,0.405115721691
89.151875,89.182685,2605.794405,175.14824,89.98381,90.0168883683,2667.8172441,178.48466,107.91583,102.380172727,2634.68908344,175.51557,-7.507,-8.21672968981,18.388559243,38.456,0.04164,0.0487140472674,0.00120482601405,0.56326,-17.233,-17.5447592319,28.637808818,53.095,87.25234,85.963215096,2495.87972532,179.48816,89.98381,90.0168666589,2674.05052078,178.90446,47.289,46.7720413589,19.5211321549,46.416,-0.926,-0.796224519941,1138.23605768,300.177,-4.064,-1.34194534712,1637.48034995,270.777,6.833,4.57601329394,2159.4002381,348.682,-10.722,-10.0503648449,1200.33138605,214.082,-3.538,-0.737837518464,1271.24764824,252.904,24.333,21.3524903988,615.901799609,141.296,-0.14,0.825677991137,560.86883748,183.528,7.646,6.64682717873,338.343379422,129.416,-0.825,-0.225949778434,383.509145965,133.939,-4.719,-6.34371639586,419.155337615,211.585,2.902,1.56648892171,205.17592518,121.524,0.301,0.376007385524,0.0821993042291,1.0,0.265,0.365612998523,0.0832015134499,0.998,0.135,0.182200886263,0.0256812299549,0.999,0.135,0.194672082718,0.0308299751881,0.999,0.252,0.367152141802,0.099646105361,0.995,0.245,0.307901033973,0.0598067538689,0.997,0.349,0.477652880355,0.133894790882,0.988,0.201,0.284404726736,0.0673488376734,0.995,0.205,0.293935007386,0.0653802971054,0.994,0.264,0.406788774003,0.122028524069,0.995,0.212,0.26529098966,0.0427869448671,0.994,0.344,0.474097488922,0.146709990496,0.997,4.0,4.0,1.0,173.534,181.49832,0.0,0.0,0.0,-6.042,143.938,0.462379945973
