barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
136.62831,136.495359292,6268.14069873,271.86235,138.756295,138.616447346,6379.0849369,275.76282,160.34033,147.136428889,7800.09495629,271.08254,-17.804,-19.004224327,39.4626625708,48.224,0.03771,0.0463713958126,0.00147423057552,0.40698,-28.549,-30.1739521436,66.5312597385,44.196,136.59592,140.177105633,6545.06274403,276.24957,138.75679,138.616814698,6365.17762156,275.76282,37.131,36.0420957129,38.1345692371,45.067,38.858,35.8455084746,4798.57915003,480.954,8.839,13.1791226321,2759.72455472,342.161,22.415,23.7985762712,2400.53369157,501.306,21.675,18.211885344,1214.36497634,234.562,-9.391,-0.601666999003,1704.26478637,454.296,0.669,0.571413758724,491.65972576,174.075,2.158,4.12944765703,832.348856451,267.153,-9.35,-10.3876749751,509.656324818,183.516,-1.761,-1.46028514457,477.518906329,155.961,0.587,0.393083748754,434.746285305,157.716,3.691,4.17544366899,299.91911247,152.899,0.321,0.397371884347,0.0907843891198,0.987,0.37,0.474824526421,0.118879349069,0.972,0.391,0.474013958126,0.132701190234,0.992,0.211,0.273341974078,0.0494833656061,0.991,0.287,0.390763708873,0.0926967966092,0.991,0.316,0.446454636092,0.135132459308,0.993,0.223,0.353277168495,0.0995198314528,0.996,0.174,0.265813559322,0.0648995574632,0.996,0.169,0.276162512463,0.070603228824,0.994,0.234,0.34046560319,0.0914910863044,0.993,0.143,0.235853439681,0.0554763543925,0.998,0.213,0.326450648056,0.0830680681028,0.995,4.0,0.0,1.0,268.446,281.20771,0.991,0.0,0.0,-16.017,98.667,0.903618146768
127.59087,127.681508994,5462.17582465,254.52788,128.31061,128.396567997,5508.17972662,256.67754,64.007825,89.38380625,6615.54144306,249.93535,-9.247,-10.9259121562,58.3273786693,59.83,0.03856,0.0472386601597,0.00225712548507,1.0893,-16.012,-18.57327063,70.6204638904,54.253,124.00336,125.592908731,5586.15018219,257.04186,128.399495,128.485992997,5508.1873973,256.85185,47.004,44.9934436557,58.3250532726,55.269,-0.442,-0.0626796805679,1325.47515992,301.024,18.646,14.2165297249,2248.34312398,288.423,7.788,9.67848535936,1185.39909876,315.809,23.344,23.5898811003,947.311209743,245.547,-19.47,-12.6408944099,1005.52754817,329.618,11.765,9.91646317657,560.223506378,200.692,-4.165,-4.47182786158,369.230363786,176.053,-4.796,-3.078527063,364.307265681,127.62,-0.291,-1.84461135759,278.899966053,121.276,0.902,1.053,232.496292953,119.834,6.154,6.33188110027,270.190182014,128.078,0.502,0.541266193434,0.08267859285,0.983,0.484,0.54055190772,0.102708238432,0.988,0.231,0.317328305235,0.0670271947889,0.996,0.209,0.279133984028,0.0491667531219,0.993,0.342,0.428417923691,0.0865389300425,0.983,0.235,0.298318544809,0.0508547636579,0.992,0.325,0.397586512866,0.0846095592857,0.992,0.304,0.36930700976,0.0740436182561,0.991,0.368,0.451500443656,0.10054274157,0.989,0.33,0.434827861579,0.106111178887,0.989,0.231,0.311524401065,0.064005042661,0.99,0.3,0.389064773736,0.0921608130182,0.998,4.0,6.0,0.0,246.143,261.8771,2.334,0.0,0.0,-6.542,167.908,0.817933846334
126.87786,126.73084427,5389.36179943,252.9234,128.05854,127.98132095,5450.21093272,255.43498,80.62074,98.1379828571,6766.91355002,248.86839,-9.072,-10.7101860465,54.4567878155,58.701,0.0379,0.0444937639966,0.00108357823846,0.51588,-16.148,-18.341583118,67.5832381725,54.443,119.72503,122.358157571,5570.35568139,255.82902,128.06516,127.98127598,5457.83979777,255.79415,47.036,45.1780284238,54.5577192369,55.082,-2.401,-2.33992075797,1245.90588949,301.383,16.919,10.6772196382,2075.68029686,300.544,8.126,10.0406597761,1204.55329756,277.807,22.503,24.130751938,1070.54139401,271.401,-18.9,-13.6337993109,975.016170987,299.887,12.111,9.77459259259,529.962244912,206.91,-6.259,-6.39323944875,364.325244225,141.271,-6.022,-4.33330404823,396.123977865,147.7,-0.923,-1.69352713178,302.120544883,145.66,1.694,1.53684668389,229.208442199,138.577,6.051,6.22353143842,296.15045776,112.165,0.469,0.531059431525,0.0825520145557,0.985,0.452,0.52462962963,0.104981364979,0.987,0.216,0.305634797588,0.0680780475058,0.995,0.196,0.263040482343,0.0427741370347,0.991,0.35,0.431547803618,0.0892664182574,0.985,0.226,0.30052540913,0.0556010383294,0.99,0.331,0.402021533161,0.086790753197,0.989,0.291,0.365169681309,0.0743921012685,0.985,0.35,0.441819982773,0.0990875464052,0.991,0.345,0.432918173988,0.105836095802,0.991,0.217,0.299420327304,0.0589885433939,0.994,0.287,0.389150732127,0.096921954024,0.995,4.0,9.0,1.0,244.373,258.32444,0.189,0.0,0.0,-6.476,167.968,0.690992289726
130.36631,130.353345145,5683.15994952,259.57237,131.4983,131.485350947,5765.7810994,262.60123,102.064335,114.552245833,6862.15730332,256.01119,-7.517,-9.79025456498,77.6407032338,62.141,0.03905,0.0481413641246,0.00135439175378,0.42186,-16.313,-17.6060332975,86.5594929688,57.341,111.84744,119.716195951,5363.62095646,262.95755,131.404535,131.390969713,5765.78481231,262.78063,48.137,46.2691729323,75.9854772343,57.61,22.022,26.192329753,2745.38038178,467.811,36.733,31.9860504834,2554.18958198,315.625,14.253,13.477311493,1165.32484603,243.477,2.285,4.75760580021,874.50479846,194.612,-14.895,-9.89443609023,811.859508925,211.294,9.23,8.1581471536,844.008614804,192.536,-0.498,-3.4643254565,531.820824409,155.297,-3.891,-3.93446938776,455.028067955,164.906,-1.376,-2.67177336198,285.967489984,113.531,0.881,1.35089044039,296.226385094,122.063,3.201,3.32604940924,401.246529186,136.757,0.238,0.350106337272,0.0991541573283,0.996,0.294,0.436668098818,0.130170269004,0.992,0.179,0.241722878625,0.043609755642,0.997,0.369,0.479337271751,0.12996096251,0.996,0.161,0.226444683136,0.0393098001087,0.995,0.116,0.189930182599,0.0380855858882,0.995,0.139,0.289567132116,0.108816092969,0.998,0.146,0.223954887218,0.0529362020465,0.998,0.237,0.373741138561,0.114197742873,0.999,0.129,0.215433941998,0.0560755431659,0.999,0.224,0.347059076262,0.100352794577,0.998,0.152,0.274516648765,0.0897409693791,0.996,4.0,1.0,1.0,250.305,267.83302,5.19,0.0,0.0,-4.847,158.972,0.677077603812
112.379535,112.3726435,4251.21150508,224.44552,113.43595,113.431239658,4291.30238763,226.56391,99.33153,92.6913814286,5015.35459333,217.18348,-10.795,-13.0048194014,61.6676294173,57.046,0.03974,0.0502283591331,0.00140420355345,0.33865,-17.191,-19.6444117647,71.2894945312,54.11,106.51342,109.848864727,4139.84091613,226.84966,113.523845,113.519395816,4291.31295667,226.74174,45.589,43.5826006192,61.2289011026,54.247,5.29,-0.01064499484,2021.32687293,381.147,-7.18,-12.8443415893,2766.29296553,332.999,-8.896,-6.57578534572,1361.23503601,291.916,1.925,1.39828173375,1105.62833677,241.082,-20.85,-17.4434819401,684.024657267,216.806,9.24,8.27998039216,727.608450341,170.944,-8.906,-10.7791713106,614.082273801,162.692,-4.982,-5.0791878225,544.888883374,163.904,-5.745,-6.50975644995,312.362598766,129.104,2.181,2.28028379773,221.746441774,124.703,13.364,11.6702868937,556.609401672,144.649,0.383,0.461752321981,0.108936217293,0.993,0.41,0.509875128999,0.136028881208,0.995,0.183,0.319981424149,0.103826771585,0.997,0.164,0.209080495356,0.0351110151923,0.998,0.21,0.324425180599,0.0939497738138,0.998,0.121,0.163098039216,0.023486028572,0.999,0.146,0.219270381837,0.0522645914963,0.999,0.097,0.186025799794,0.0578303966512,0.999,0.205,0.264694530444,0.056480205966,1.0,0.258,0.361346749226,0.107179658919,0.998,0.165,0.281849329205,0.0776492590321,0.998,0.205,0.378925696594,0.128858991383,0.995,4.0,11.0,1.0,213.299,230.53016,0.996,0.0,0.0,-7.916,170.159,0.658156488521
123.385215,123.296459141,5093.29207459,244.96752,124.110835,124.019189591,5133.07103292,247.37806,102.48905,111.203908,7205.4837776,240.86293,-12.009,-13.8172232451,74.8186372643,59.092,0.03601,0.0486707479862,0.00154546181475,0.37016,-20.298,-21.7222128884,98.253993079,54.416,121.63488,119.652732486,5281.7248313,247.75342,124.11083,124.01926334,5123.14112251,247.37806,43.901,42.0952462601,80.5182826574,54.252,-33.594,-36.0654856157,2642.18593033,348.163,7.91,5.02730609896,3455.20811953,357.436,10.859,8.12906674338,1752.56808651,480.396,0.173,2.62915995397,869.037002599,169.558,-21.588,-15.1648481013,1070.51303999,298.295,20.882,21.6425097814,860.86525437,174.838,-2.951,-3.05842462601,603.374248014,203.662,5.807,4.95845224396,470.123945962,155.457,3.585,3.05665822785,316.868069942,165.383,0.17,-0.537635212888,327.099846066,127.086,2.651,3.4591127733,456.509149064,143.679,0.258,0.340617951669,0.0853847884464,0.997,0.29,0.393477560414,0.0969206499568,0.992,0.243,0.371498273878,0.113440351263,0.999,0.128,0.20697698504,0.0460165288144,0.997,0.23,0.340731875719,0.098999701412,0.997,0.139,0.216667433832,0.052088185142,0.998,0.204,0.290998849252,0.0792865650159,0.999,0.147,0.273417721519,0.100424952091,0.999,0.167,0.253684695052,0.0701556957496,0.999,0.198,0.38070310702,0.135932441199,0.995,0.155,0.232077100115,0.0612588766793,0.999,0.248,0.371996547756,0.109666581116,0.999,4.0,11.0,0.0,234.655,251.24526,0.151,0.0,0.0,-8.343,124.158,0.652078338837
103.458115,102.954032642,3549.28805656,204.91132,104.42409,103.928745906,3566.06006795,207.00914,99.87341,97.110575,3726.60088871,199.98198,-19.1065,-19.2135222222,45.6617748717,55.834,0.048845,0.0632619722222,0.00342008231639,0.56446,-25.111,-25.5162791667,48.0860052707,50.198,102.802765,102.505074556,3596.37158583,207.22726,104.42409,103.929018952,3557.61805335,207.00914,37.6095,37.4835444444,43.6059143036,51.977,-51.6655,-49.2053916667,2000.20218454,328.0,-13.49,-7.69023888889,2615.0006442,313.256,-13.2875,-13.9886722222,1345.89086866,283.549,-11.9555,-11.9139472222,1099.49758895,182.637,-17.2335,-12.4577791667,777.500234822,191.308,-9.5345,-7.46631805556,645.815187464,173.267,-1.1115,-1.63481111111,511.516535978,193.928,-15.793,-15.4712013889,461.016017425,125.156,-6.938,-7.40492916667,255.407494296,161.218,1.319,0.354198611111,258.226359037,101.996,8.5885,8.54468194444,477.124302136,135.614,0.126,0.2312375,0.0639539644271,0.997,0.3015,0.435583333333,0.1433867125,0.998,0.113,0.247968055556,0.0892453642573,0.998,0.065,0.200756944444,0.0837394812018,0.998,0.0965,0.198272222222,0.0638785508951,0.998,0.0495,0.101611111111,0.0192869348765,0.998,0.1285,0.281269444444,0.103003299622,0.996,0.061,0.118588888889,0.026211789321,0.999,0.09,0.210620833333,0.0762118242882,0.998,0.1715,0.345198611111,0.128612209165,0.997,0.112,0.185927777778,0.0437787308951,0.995,0.1885,0.380936111111,0.14898306814,0.994,4.0,4.0,1.0,202.466,213.75955,0.142,0.0,0.0,-13.145,121.846,0.606483997109
121.25993,121.25224966,4863.15702234,239.9704,122.08202,122.073700742,4946.29098038,243.26217,96.208,104.815077273,6376.99753786,236.64386,-12.649,-14.8376341463,80.5228851832,57.917,0.047695,0.064022597561,0.0029934276424,0.58528,-19.7005,-21.2128085366,81.502119206,54.512,109.952155,111.173575585,4617.94638049,243.998,122.184695,122.176444283,4946.28616013,243.4661,44.036,41.7948829268,77.3145774497,54.663,-49.694,-48.0694085366,2655.1963229,361.707,26.0,28.0407621951,1698.05988806,248.297,0.983,-0.104973170732,1181.03069311,527.07,2.614,4.45139634146,1131.5978034,182.405,-18.814,-14.6792170732,678.515620972,297.517,16.43,16.268502439,615.991252479,166.607,-1.3005,-1.04943658537,536.032585963,237.279,4.2755,2.04914268293,493.17296231,125.577,-0.2625,-1.12759390244,322.989116295,173.264,-1.4305,-1.31808536585,210.952511471,102.977,8.395,7.33055,341.877326645,120.562,0.601,0.612548780488,0.111469857377,0.973,0.2795,0.326648780488,0.0530906059131,0.992,0.246,0.351625609756,0.0866128878807,0.989,0.165,0.236809756098,0.045484634539,0.997,0.2605,0.350182926829,0.0832051762939,0.998,0.2505,0.346145121951,0.0927788582079,0.997,0.178,0.233809756098,0.0374084906365,0.996,0.3185,0.397380487805,0.0853733844973,0.991,0.1765,0.244385365854,0.0476206441761,0.992,0.2295,0.35912195122,0.111485197323,0.997,0.167,0.256636585366,0.0625598801249,0.995,0.2975,0.378354878049,0.0908491094274,0.995,4.0,0.0,1.0,232.2,252.70812,0.322,0.0,0.0,-8.526,146.163,0.602759417292
43.688015,43.6808834667,641.914333975,86.89578,43.688015,43.6808834667,641.914333975,86.89578,7.6865,29.9045566667,1368.23045739,82.02717,-10.589,-10.3924771429,35.2225933066,58.297,0.031625,0.0422399428571,0.00098650801314,0.1385,-16.4475,-18.2355657143,40.7957251828,46.849,43.075715,43.4012777143,595.572847367,87.31773,43.834185,43.8267020667,641.905170467,87.18029,46.5355,45.5541685714,33.5999833859,52.058,4.4245,5.08241428571,959.783015568,242.484,10.471,11.8821657143,604.818091167,168.07,1.313,8.79626571429,2088.30838863,431.934,-9.596,-10.63192,315.684881719,106.47,-22.981,-21.2958628571,991.881506884,342.539,13.6795,8.71546285714,644.019919151,122.07,12.623,16.1238457143,645.594738353,142.381,2.7295,2.23027714286,99.8875810118,49.682,7.2515,9.97992857143,572.500773906,176.704,7.83,7.24144571429,261.325424264,124.297,12.8495,14.1170571429,257.12673586,71.391,0.558,0.508017142857,0.0844830511347,0.935,0.3335,0.463428571429,0.137243404898,0.96,0.283,0.301131428571,0.0328249998694,0.966,0.2465,0.357531428571,0.087277923298,0.961,0.2475,0.263005714286,0.0281350971102,0.91,0.521,0.526042857143,0.0752728353061,0.889,0.3725,0.434822857143,0.0891016086204,0.935,0.3365,0.468248571429,0.111774192498,0.962,0.3075,0.358254285714,0.0590491381959,0.923,0.1915,0.263057142857,0.0404537167347,0.956,0.2495,0.415522857143,0.124006678049,0.958,0.2415,0.355231428571,0.0753496521551,0.995,1.0,10.0,0.0,91.402,91.402,0.926,0.0,0.0,-5.502,102.484,0.584856553918
103.80725,103.799400581,3638.24013173,206.52229,105.02067,105.014445333,3659.864633,208.9549,62.495705,79.385317,4083.05929585,198.55771,-15.248,-16.1666535142,46.0810336444,52.991,0.03124,0.0403087792848,0.000777591586056,0.26692,-26.734,-28.7073933416,75.8736437923,45.77,106.19361,105.29672762,3524.80164651,209.47565,104.86785,104.862596928,3659.89013822,209.25952,39.576,37.8504537608,42.7259523613,48.437,30.024,34.8643341554,5777.91080756,534.815,-22.48,-21.6728483354,3809.41203995,488.129,22.406,29.0699543773,4276.4922332,538.375,-1.823,-2.81596547472,1867.01556688,317.596,-9.9,-1.50423797781,2195.54149833,348.933,14.798,13.7073193588,851.369794987,193.196,-2.001,-6.64078668311,1628.67566216,252.402,4.347,4.1646189889,682.199044221,152.551,-0.048,0.474104808878,697.011783845,183.518,1.109,0.177032059186,611.586324334,199.457,7.923,7.93828853268,414.893132262,225.816,0.383,0.45754377312,0.116897185199,0.994,0.381,0.457351418002,0.116064459736,0.994,0.277,0.361263871763,0.0935909488674,0.997,0.169,0.232954377312,0.0514260336769,0.999,0.303,0.386790382244,0.101644301313,0.999,0.217,0.349981504316,0.104647593986,0.999,0.257,0.328159062885,0.0800000351182,0.998,0.332,0.376818742293,0.098176759994,0.999,0.176,0.289816276202,0.0829340735205,0.999,0.285,0.405922318126,0.129329427998,0.996,0.177,0.296159062885,0.0879602915917,0.999,0.158,0.298875462392,0.0926329795582,0.999,4.0,9.0,0.0,196.046,212.16608,0.508,0.0,0.0,-12.08,98.795,0.580772814403
