barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
65.787245,65.9528992187,1491.25799296,131.85504,67.25753,67.4206080186,1520.44334521,134.85789,48.47857,55.15851375,1853.32385494,124.78368,-10.849,-11.4589003322,9.90338399339,53.954,0.035775,0.0478365780731,0.00153721112085,0.30565,-17.5355,-18.118858804,19.8054376229,49.84,66.10422,67.3051426578,1487.38496373,135.22431,67.25753,67.4205942002,1520.4527574,135.13919,45.434,45.1457973422,9.94986319813,49.74,69.9035,63.8426710963,1317.43665,239.106,35.3055,33.286654485,1160.05755654,243.982,7.4615,5.59500332226,953.068058874,426.916,1.8045,-0.416357142857,533.538505558,151.831,-18.4705,-15.566486711,640.971761818,309.61,9.9555,9.62169933555,406.699386682,134.028,5.61,6.17722591362,328.233889464,129.222,0.5555,0.774858803987,273.319324018,132.319,1.915,0.562485049834,242.784001429,143.097,0.753,0.238546511628,212.745221235,250.857,5.7065,6.64066943522,217.040873191,104.852,0.5035,0.527775747508,0.0791199513719,0.992,0.61,0.623009966777,0.099517388605,0.961,0.2415,0.363950166113,0.0849314792442,0.984,0.209,0.293443521595,0.0534680873418,0.981,0.26,0.326451827243,0.0538511646229,0.986,0.2585,0.301182724252,0.041246674253,0.989,0.475,0.545523255814,0.0873061232133,0.965,0.2965,0.319803986711,0.0381858153994,0.985,0.291,0.317710963455,0.0365439995144,0.989,0.3955,0.433177740864,0.0756487939896,0.996,0.372,0.439044850498,0.0754200860283,0.978,0.3415,0.453177740864,0.108313877046,0.99,5.0,6.0,0.0,135.204,142.65424,0.16,0.0,0.0,-10.035,143.572,0.814130311626
113.51422,113.057565109,4175.983184,222.25619,114.32979,113.871654955,4221.14286173,224.85221,153.22383,129.335193333,5627.6782175,218.60008,-21.468,-21.9057740964,32.9702230484,51.357,0.04075,0.0546431927711,0.00237596596149,0.503,-29.3475,-30.444185241,64.5096709943,46.136,116.75322,115.114269639,4232.54622241,226.11873,114.32979,113.871143944,4228.84278253,225.28699,34.316,33.7381581325,43.3893155307,47.419,-98.114,-94.920376506,2997.6476656,407.758,-52.057,-56.3521460843,2804.9391168,333.008,-15.754,-15.3301475904,1955.3227333,444.809,-18.5255,-17.1720828313,1108.95289449,183.852,-9.703,-4.83185240964,933.475536933,259.197,-26.6755,-26.8223207831,592.688507019,172.506,-10.9485,-12.0442831325,621.926145203,248.607,-2.4195,-0.0465,405.332129063,129.674,-1.9685,-2.20273343373,457.945129852,188.328,3.8065,2.77427108434,351.089350442,134.659,21.176,21.2574156627,315.236499279,142.731,0.06,0.20496686747,0.0882182579384,0.997,0.082,0.142429216867,0.0322376214958,0.995,0.4175,0.469138554217,0.122926345261,0.991,0.045,0.0706144578313,0.00634005015242,0.641,0.027,0.0965753012048,0.0433872413177,0.998,0.022,0.111198795181,0.0479372044564,0.999,0.072,0.19505873494,0.0807516034779,0.998,0.073,0.266936746988,0.116255631541,0.999,0.117,0.156480421687,0.0178019333516,0.998,0.889,0.727728915663,0.0995698572362,0.987,0.087,0.11388253012,0.01290280849,0.997,0.106,0.200487951807,0.0574110872042,0.997,4.0,7.0,1.0,225.686,235.96363,0.522,0.0,0.0,-17.51,147.024,0.813076547016
75.12853,75.3754664935,1916.90855525,149.57359,76.1106,76.3606906431,1954.90192945,152.55171,47.68339,57.8916942857,2149.44744334,142.98469,-12.439,-13.7100664137,27.7797993903,52.848,0.04026,0.0575357874763,0.00244952437846,0.30441,-19.65,-20.9667836812,39.9909341961,48.777,76.10023,75.9667976091,1902.74802028,152.76186,76.1106,76.3605225926,1948.64589063,152.55171,43.617,42.417658444,27.711364631,49.314,36.864,30.9087590133,2838.87292542,393.612,28.704,33.4708766603,2163.54862746,311.532,9.377,7.73000189753,1147.29562738,269.191,-40.389,-44.5172485769,1089.89207137,217.302,-7.958,-3.35632258065,847.931983452,165.635,3.296,4.12856166983,640.648978967,186.644,-5.251,-5.14898102467,522.828647882,209.215,1.471,1.87733206831,373.875418491,154.863,-5.863,-7.18337381404,353.075109934,111.353,1.958,0.156935483871,327.21034458,113.162,-1.699,-0.862785578748,346.693826093,147.907,0.32,0.433506641366,0.100562158874,0.994,0.252,0.317144212524,0.0615414137379,0.99,0.342,0.440548387097,0.118356463977,0.987,0.243,0.285639468691,0.0504851527496,0.992,0.246,0.366540796964,0.103370669588,0.997,0.24,0.28659772296,0.0474701038278,0.991,0.215,0.306235294118,0.073584305168,0.995,0.209,0.300089184061,0.0752101761069,0.997,0.217,0.269110056926,0.0490599575269,0.994,0.173,0.274508538899,0.0714570620713,0.994,0.156,0.261404174573,0.0668179144418,0.997,0.503,0.542590132827,0.124597653641,0.991,4.0,0.0,1.0,150.047,156.96934,0.162,0.0,0.0,-11.011,122.002,0.771730222435
95.83445,95.8549716667,3090.89743988,191.05694,96.643595,96.6565195847,3111.6085123,192.66193,90.3941,86.14629,3923.93291522,180.49094,-12.839,-14.1923122239,24.1784259261,53.265,0.03148,0.0448577466863,0.00204811880774,0.39282,-19.848,-20.0278055965,26.87460408,49.346,100.16209,97.1783079676,2972.93275123,193.00254,96.563205,96.5763844518,3111.61201595,192.82112,43.173,42.61610162,21.9547164212,50.741,46.47,41.7585552283,2071.39209462,257.483,14.118,14.9092562592,1593.36657646,230.703,0.623,1.0753460972,614.995305446,250.094,-0.649,-1.44551840943,762.32946582,181.858,-21.836,-19.9401310751,413.111559074,168.907,-12.484,-11.6917290133,389.942972987,126.983,-9.151,-9.04807216495,262.428077239,121.038,-3.762,-4.01155670103,301.582008049,111.862,-4.643,-5.11370250368,206.397246262,89.232,2.945,3.45232989691,145.755808893,110.302,-2.559,-2.47869366716,190.423651485,89.227,0.381,0.450552282769,0.0846284917437,0.981,0.352,0.427754050074,0.0687755993024,0.979,0.374,0.424201767305,0.0853271478025,0.99,0.291,0.32254197349,0.0409793586948,0.992,0.559,0.58348011782,0.119673436644,0.981,0.185,0.212029455081,0.0185022023725,0.984,0.227,0.284780559647,0.0357994172362,0.972,0.318,0.419653902798,0.0942414104082,0.983,0.347,0.394357879234,0.0556037820845,0.964,0.384,0.447231222386,0.0948355150193,0.983,0.311,0.396748159057,0.0750351898898,0.947,0.446,0.498033873343,0.090296583536,0.977,4.0,11.0,0.0,189.579,196.15302,0.16,0.0,0.0,-11.184,187.342,0.759923355146
83.64259,83.6141172131,2342.09355497,164.96969,85.344445,85.3285979032,2419.39026372,169.77012,71.62433,74.18128875,3239.57386591,163.1528,-14.339,-15.2125184,34.4189622305,53.355,0.03554,0.049605664,0.00229930112248,0.50197,-21.125,-21.7662384,46.0648316728,48.609,82.25365,82.71630544,2426.59767431,170.6342,85.51665,85.5001655791,2424.2246402,170.45259,41.604,41.2515088,36.4023281507,49.141,28.451,27.0447664,1991.89317746,378.459,32.852,22.570984,2408.45047013,301.732,5.967,3.4349744,1068.26529527,423.31,-21.48,-23.9070944,1110.73327216,212.115,-16.602,-13.1451632,635.482988604,161.608,-1.841,-2.115232,528.159448495,157.289,-9.866,-6.5205824,581.101494202,197.449,5.874,5.5719888,278.708713006,117.872,1.835,0.9647648,297.43716993,123.929,1.651,1.5471184,214.467922488,144.166,3.395,3.7021184,249.419670876,106.704,0.254,0.3218688,0.0586425939866,0.992,0.283,0.3741488,0.0753118578586,0.987,0.403,0.5337616,0.123929487165,0.969,0.161,0.2671712,0.0805918442906,0.997,0.237,0.3161056,0.0551131088486,0.995,0.445,0.4834512,0.0883323020186,0.998,0.192,0.2540752,0.040627128745,0.99,0.232,0.333208,0.081234721536,0.999,0.278,0.3466656,0.0690473585766,0.998,0.366,0.4193568,0.0612797302938,0.965,0.423,0.5021984,0.128281714237,0.996,0.201,0.2754896,0.0485240738918,0.994,4.0,10.0,1.0,170.394,175.64689,0.169,0.0,0.0,-11.801,87.24,0.750554019885
97.316565,97.2840607692,3163.04659994,193.08058,98.23455,98.2196704198,3211.87701086,195.67609,96.032065,95.0872841667,3663.50543852,189.39508,-13.305,-13.7106820809,16.5160820666,54.263,0.04517,0.0567657225434,0.00200910781985,0.40646,-19.145,-19.910783237,20.9953176611,48.415,102.870685,100.067278931,3241.51657298,196.1941,98.23455,98.2196683794,3217.98915814,196.04251,43.7295,43.2515635838,15.2881286593,50.016,49.5045,48.323732659,1063.26775341,222.936,35.8495,35.5849176301,1396.13625502,276.982,3.623,3.71734971098,807.810390074,411.449,-10.7865,-11.2328569364,785.086136831,182.103,-16.584,-13.6876459538,453.341904928,160.987,16.1855,17.1297991329,474.266594519,142.491,4.8705,4.14891763006,261.875069191,136.688,-2.8825,-4.16754046243,383.826322985,141.124,-2.4645,-2.57132369942,230.838540999,103.07,-1.964,-2.83403468208,169.781023042,176.702,-4.134,-3.58106936416,263.27906718,112.169,0.4065,0.47536416185,0.0903123009122,0.977,0.563,0.589641618497,0.0809055045107,0.965,0.4585,0.561153179191,0.121517248212,0.976,0.225,0.27174566474,0.0375714699957,0.978,0.21,0.26550433526,0.0458714176113,0.99,0.176,0.226747109827,0.030872142694,0.921,0.2775,0.35023265896,0.0622912305519,0.97,0.1435,0.196800578035,0.0297203590748,0.986,0.128,0.173553468208,0.0222539234417,0.989,0.277,0.335518786127,0.0519849230575,0.977,0.207,0.30175,0.0619456383671,0.969,0.381,0.478566473988,0.11792305483,0.994,4.0,4.0,0.0,194.206,202.762,0.125,0.0,0.0,-11.137,160.272,0.740812278287
126.772205,126.667994151,5336.10575373,250.79216,127.96836,127.862390211,5412.38926732,254.40479,103.462825,102.443534,4780.77078396,243.05506,-11.933,-13.4928236559,36.1492179732,55.667,0.04214,0.0506584193548,0.00100764724815,0.35673,-22.461,-25.1802677419,91.7135229875,49.96,128.705235,127.948045946,5315.88839067,254.99855,127.8192,127.713117564,5412.42551089,254.70571,42.427,40.5410086022,46.1177945548,51.1,-36.254,-40.1418817204,2847.28152795,415.755,-23.301,-28.4082956989,3144.45566253,377.084,7.9265,8.38198494624,3644.49263074,485.584,-24.3905,-22.5985182796,950.191809028,229.7,4.6925,15.1323645161,2340.22677674,413.245,0.606,-0.382192473118,941.944141491,199.062,-9.988,-6.43246236559,1095.72964904,270.646,3.08,3.80514193548,407.929160096,168.7,-9.289,-8.44003870968,603.231115102,189.883,0.1595,-2.3789172043,596.935406745,216.876,4.355,5.06573655914,350.06463179,139.159,0.5235,0.575676344086,0.121447580193,0.987,0.3865,0.455489247312,0.0795407036478,0.978,0.322,0.412574193548,0.0970903047104,0.992,0.145,0.208727956989,0.0376046238421,0.995,0.134,0.211423655914,0.046530525892,0.993,0.119,0.211929032258,0.0541296917378,0.998,0.156,0.242872043011,0.0554001545948,0.997,0.271,0.449687096774,0.148185384887,0.991,0.13,0.228595698925,0.0582775290138,0.993,0.114,0.218950537634,0.0620215631449,0.998,0.116,0.29328172043,0.110414808806,0.994,0.2915,0.369617204301,0.0788140943277,0.993,4.0,5.0,1.0,243.577,257.67138,0.183,0.0,0.0,-10.49,100.395,0.738737751165
86.56214,86.5627047059,2487.58815736,167.76303,90.254505,90.201138629,2704.62739514,179.66952,95.34482,87.71250375,3883.79374594,176.38361,-12.48,-13.3502860792,24.0610789731,55.275,0.0431,0.0510208939974,0.00100914777315,0.32296,-22.811,-23.2118965517,34.5411754389,48.569,86.47687,88.6925740485,2666.50810796,180.27388,90.03629,89.9828182082,2700.22087387,180.10686,42.755,41.9032694764,22.7122743552,49.164,-48.264,-44.6054802043,2636.91912156,397.02,-62.048,-60.788394636,1801.47239314,264.848,-17.528,-16.1412911877,1572.31979348,252.865,-17.729,-15.488403576,608.190700468,157.713,0.347,3.00214303959,1232.30489983,303.557,-2.38,-2.64785823755,581.248201238,177.032,-12.257,-12.3134572158,1046.07532842,233.686,0.59,2.49122988506,419.420214619,124.144,-4.013,-5.61097190294,618.373937652,170.36,1.403,0.38203192848,424.155194836,167.628,24.677,23.586054917,367.78101669,123.031,0.307,0.43785440613,0.136393937934,0.999,0.274,0.351813537676,0.0749303151679,0.992,0.269,0.433616858238,0.145360238898,0.994,0.128,0.17919284802,0.0271275273052,0.997,0.129,0.205077905492,0.0444914817979,0.997,0.094,0.167190293742,0.0369631195993,0.997,0.249,0.36267688378,0.101363940296,0.999,0.268,0.411523627075,0.112387082137,0.996,0.233,0.314228607918,0.067911586308,0.996,0.136,0.289399744572,0.101714967918,0.998,0.094,0.220254150702,0.0696870120358,0.999,0.148,0.285528735632,0.0994900473863,0.999,7.0,7.0,1.0,174.591,181.91628,0.345,0.0,0.0,-10.777,82.638,0.738542014915
34.220355,36.6585527778,518.036914478,74.16931,42.67537,42.73360375,612.004874516,84.96723,19.81317,29.012825,880.761774205,76.42496,-15.803,-18.2606153846,55.2229897971,50.171,0.04608,0.0598812820513,0.00357124664268,0.67665,-22.001,-24.1146446886,59.6372818408,46.937,40.42925,41.15078337,572.291961985,85.61519,42.83715,42.8970623954,607.413931,85.29207,41.063,38.6312747253,54.9978214886,47.567,26.586,20.0551062271,2762.92851736,289.205,39.962,35.8587728938,1436.09131502,216.014,4.304,3.97307692308,689.423287272,217.46,7.481,10.0513992674,1263.23726457,188.767,-22.127,-20.206,562.156092212,144.424,12.43,14.9606886447,927.521977108,176.325,-4.675,-4.8663040293,413.788121662,131.122,2.5,2.75769230769,410.580808836,103.264,-4.17,-5.69838827839,303.832884648,163.998,0.076,-0.740468864469,174.9992963,99.614,5.34,5.69092307692,298.692298796,111.47,0.798,0.719523809524,0.0813559417408,0.939,0.437,0.479688644689,0.0691813059883,0.961,0.343,0.385637362637,0.0518679087872,0.946,0.331,0.354205128205,0.0399236795341,0.938,0.431,0.455597069597,0.0365413907606,0.923,0.365,0.413608058608,0.0525014031585,0.939,0.32,0.368703296703,0.0558946262529,0.961,0.324,0.405586080586,0.074277070429,0.945,0.305,0.376791208791,0.0588471761865,0.96,0.308,0.385282051282,0.0680285468207,0.961,0.428,0.47221978022,0.072408281367,0.918,0.571,0.621461538462,0.0859136990702,0.938,4.0,10.0,0.0,81.101,88.24118,0.154,0.0,0.0,-14.134,61.617,0.720134661189
98.8202,98.8224922,3242.18487764,195.28658,99.41293,99.4143471173,3281.5551534,198.0633,82.84423,89.7296122222,3997.30198738,191.73074,-11.4525,-11.7875364431,26.8366727035,57.252,0.03328,0.0482305393586,0.00257047775146,0.52406,-18.2485,-18.5844212828,31.349319168,52.229,103.06195,100.851958032,3324.21955228,198.61882,99.314185,99.3157236879,3281.56253801,198.25809,44.5225,44.5655845481,24.0604511729,53.722,-28.698,-29.177058309,2380.55151103,429.672,-2.6825,-6.77687900875,1720.32187339,286.107,-3.1165,-2.54933673469,943.800624011,211.449,9.374,12.1085233236,671.602226214,207.594,-23.071,-18.5368760933,729.810860257,211.78,0.593,-1.46845772595,558.197099385,135.009,-16.156,-15.2120043732,599.039160308,225.883,12.1845,11.6393075802,346.184004528,181.318,-0.3835,-1.93914139942,333.298464151,136.018,5.2025,3.97714868805,217.643092745,131.179,2.8295,3.14912099125,302.111503608,142.511,0.281,0.348247813411,0.0814536616206,0.993,0.405,0.49060058309,0.124694006647,0.996,0.2115,0.265467930029,0.0438971527616,0.993,0.3875,0.489202623907,0.130119867107,0.994,0.152,0.25210787172,0.0672116239322,0.996,0.144,0.234587463557,0.0545680528458,0.997,0.214,0.290348396501,0.0698577780368,0.997,0.1185,0.200679300292,0.0489165006502,0.997,0.1215,0.252680758017,0.0833236342362,0.995,0.102,0.166599125364,0.0358204821567,0.996,0.226,0.346274052478,0.0923694584229,0.995,0.222,0.373701166181,0.124608489416,0.993,5.0,3.0,0.0,196.127,203.49342,0.566,0.0,0.0,-7.691,152.09,0.718484676175
