barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
95.8973,96.533898,3165.88617347,192.05868,97.0769,97.6793405572,3186.8224212,194.36206,51.13864,74.94633,4393.51700948,188.73607,-7.9555,-9.85941752577,48.1672840087,57.587,0.046135,0.0579576804124,0.00405194811472,1.20252,-15.6415,-17.1019458763,57.3124457393,54.249,100.33567,101.32480308,2891.10454742,195.93714,97.22351,97.8224910704,3187.06545943,194.6422,48.145,46.5821791237,46.1561063223,55.304,40.594,44.5908157216,1494.23284194,280.115,46.4825,51.266564433,1793.27225808,270.036,10.3465,9.79252706186,1201.53316728,449.791,-33.2265,-29.5187667526,2091.9034134,262.897,-5.4365,-1.68854510309,968.910021658,235.436,2.3245,1.12188659794,679.788405361,161.857,3.558,4.89482345361,370.322291828,175.228,12.657,12.6561481959,513.428909077,147.857,10.675,10.8254059278,330.555333107,167.5,-3.343,-3.82216365979,244.421789186,128.223,-4.463,-3.73697938144,429.104375837,128.536,0.414,0.456527061856,0.0892008755563,0.982,0.576,0.592537371134,0.116161073346,0.98,0.3575,0.451203608247,0.101129425039,0.99,0.2725,0.331132731959,0.0608605120214,0.985,0.392,0.49100257732,0.120683255148,0.99,0.283,0.335317010309,0.0582331572364,0.994,0.3205,0.393212628866,0.0819966699952,0.986,0.2105,0.287154639175,0.0581582853651,0.99,0.213,0.284225515464,0.0552715457923,0.991,0.292,0.371846649485,0.079787967463,0.991,0.199,0.298719072165,0.0703919185022,0.993,0.244,0.351015463918,0.0959148167712,0.996,4.0,2.0,1.0,186.839,197.8771,1.223,0.0,0.0,-6.749,103.916,0.989612576046
89.924755,89.9296823016,2699.92243287,178.57582,90.99782,91.0012779371,2753.94502162,181.45705,88.51332,80.792785,2816.10809498,147.43617,-6.0125,-6.20241025641,14.462311265,59.777,0.035395,0.0596335384615,0.00363987343774,0.56264,-12.8475,-13.6539269231,25.7862937575,55.528,90.33746,89.5197063077,2643.61609942,181.86154,90.99782,91.001307213,2759.37144676,181.82563,51.0245,50.3138448718,13.7872461875,55.885,64.756,67.0922910256,984.109045458,289.167,-7.716,-6.14660641026,1584.308495,323.379,-5.9265,-2.48701153846,1508.86996642,470.515,4.262,7.43951794872,803.682226721,242.89,-18.949,-16.3859602564,839.344560295,199.181,23.086,18.1709153846,622.075413472,158.089,-8.0115,-9.24704615385,436.551617216,130.447,2.2025,3.8784,302.628680966,141.001,11.3835,10.8598987179,270.132069971,147.871,-4.7645,-5.31918974359,337.4787131,213.554,-7.8185,-7.018,292.988841523,123.363,0.286,0.363603846154,0.0706884469083,0.994,0.3755,0.466948717949,0.097369443524,0.98,0.1785,0.338084615385,0.116885995404,0.996,0.115,0.173473076923,0.0298811133777,0.994,0.147,0.227598717949,0.0515738787163,0.993,0.119,0.171287179487,0.0274898175279,0.963,0.4105,0.399308974359,0.0815531596631,0.995,0.36,0.368998717949,0.0816102807676,0.994,0.408,0.501621794872,0.146930804397,0.995,0.934,0.670830769231,0.146591825207,0.986,0.286,0.317235897436,0.0490074366601,0.994,0.1245,0.269297435897,0.101761057686,0.997,4.0,2.0,1.0,179.304,184.58077,0.061,0.0,0.0,-3.426,168.02,0.917551963404
118.512405,118.527253607,4719.74787219,235.86111,119.48847,119.502719084,4778.47322944,238.80874,122.427335,105.475725,6163.91514568,204.38992,-3.822,-4.55668551587,18.0300323703,53.843,0.0372,0.0465878472222,0.00137041776927,0.35681,-13.6935,-14.4752460317,34.6590279792,55.091,121.034375,120.568504306,4576.65702474,239.02685,119.48847,119.502673721,4768.78109426,238.80874,51.1495,50.507015873,14.6732621486,51.261,32.414,33.9858303571,1316.73762128,454.413,20.9525,25.2013630952,1605.11581918,343.518,18.571,15.4771031746,1157.627862,365.947,2.571,5.72176686508,764.425653387,214.935,-3.4725,0.427405753968,1453.26751412,264.468,8.3495,8.50505456349,617.024825135,183.014,-0.448,0.49783234127,432.338164437,174.865,-7.6715,-7.90297222222,417.398442239,141.664,3.9935,4.11494543651,377.665227369,194.823,-2.764,-2.21723710317,460.29989949,196.792,-8.6535,-9.5939265873,287.17245737,107.356,0.5625,0.558025793651,0.105543003303,0.986,1.0,0.721448412698,0.130866152101,0.995,0.1485,0.215570436508,0.0338143462292,0.996,0.263,0.293010912698,0.0500219651587,0.997,0.1885,0.238026785714,0.0342438851952,0.997,0.234,0.345891865079,0.0880164258068,0.992,0.208,0.315294642857,0.0779488487015,0.998,0.17,0.244555555556,0.0419140564374,0.997,0.1195,0.277413690476,0.100077183027,0.999,0.094,0.180578373016,0.0439508510005,0.999,0.0985,0.20221031746,0.0595694220364,0.998,0.1385,0.200078373016,0.043793217072,0.999,4.0,8.0,1.0,235.003,239.98649,0.0,0.0,0.0,-2.409,122.981,0.894615511983
137.86399,138.50996163,6500.14237391,277.19608,139.92423,140.178442037,6539.16894755,279.77712,133.23568,137.395231538,8409.42119955,275.55296,-7.36,-7.8966541471,23.8240775126,59.732,0.04656,0.0544089280125,0.000892684145721,0.21846,-18.4675,-19.4372652582,36.8994587771,52.807,137.00646,139.096358302,6829.44467475,280.40054,139.79568,140.049830505,6539.13923133,280.03191,47.6425,46.8790962441,21.8291021918,53.31,32.8855,34.3305352113,2035.4280868,358.803,0.909,0.0563544600939,2320.50191247,343.875,11.7605,11.8919655712,1844.74356084,521.563,-12.2445,-12.4211932707,1020.86859434,198.499,8.406,12.1338348983,1285.86395961,361.075,21.723,20.1761635368,605.525426573,154.19,11.67,12.705243349,600.421681859,217.097,1.9075,1.50911893584,591.647965917,177.773,11.1775,12.197743349,458.754793559,188.239,-10.318,-9.35095383412,432.728536717,198.216,-2.0655,-2.08612910798,252.448511441,106.391,0.832,0.751635367762,0.0725635681388,0.866,0.48,0.50608372457,0.0764004945551,0.913,0.28,0.380878716745,0.0816110298913,0.98,0.445,0.447954616588,0.0732816004443,0.985,0.4775,0.520523474178,0.123426504535,0.979,0.3185,0.451870892019,0.119722860483,0.982,0.1795,0.282886541471,0.0585542163916,0.974,0.176,0.274570422535,0.0604163937105,0.979,0.146,0.224388888889,0.0433150921144,0.978,0.129,0.213314553991,0.0436972766426,0.977,0.205,0.264736306729,0.034742225458,0.972,0.464,0.529946791862,0.0907995730687,0.982,4.0,6.0,1.0,274.129,282.43546,0.136,0.0,0.0,-5.304,116.369,0.87380856645
119.14414,118.943981327,4587.81713009,233.33854,119.14414,119.080560403,4777.64409474,238.67511,124.48239,119.964307273,5756.95560717,225.81232,-10.0645,-9.40943762575,22.1840047994,58.427,0.042925,0.051616861167,0.00150770393401,0.42565,-17.472,-18.4760140845,26.0724405974,50.841,115.260225,116.982445443,4489.41950351,239.11628,119.14414,119.079611598,4759.34226916,238.67511,46.7535,46.2566971831,14.3028041568,52.502,37.4805,38.1710865191,2782.05772571,424.606,22.037,21.6711076459,3998.24938933,371.635,10.837,9.19235915493,2140.20710978,475.526,7.9995,9.71675251509,1647.21453807,258.042,-1.069,1.83945674044,1233.32120495,254.937,2.8855,-0.464437625755,1131.47608381,210.128,-12.342,-11.6491549296,1185.07481382,268.215,5.92,7.07490040241,707.327945222,155.425,3.0,2.2123249497,769.865280922,163.102,-2.8025,-3.59158853119,368.785438123,199.149,-6.1925,-8.12311770624,497.409525726,130.172,0.127,0.216451710262,0.0547765374065,0.992,0.2845,0.395139839034,0.100122913041,0.982,0.1405,0.230523138833,0.0631283842734,0.989,0.1565,0.279547283702,0.082735491225,0.994,0.2795,0.420263581489,0.120245051249,0.989,0.1645,0.222184104628,0.03782325685,0.992,0.2265,0.380406438632,0.130114830783,0.992,0.195,0.300987927565,0.0742493982446,0.991,0.286,0.419243460765,0.115567284791,0.978,0.3875,0.496937625755,0.131419233534,0.988,0.175,0.246942655936,0.0455634604944,0.987,0.1465,0.260334004024,0.0772265001113,0.993,3.0,4.0,1.0,237.848,241.03138,0.189,0.0,0.0,-5.722,86.752,0.837635140862
81.48072,81.4978349425,2218.49273657,161.67663,82.18277,82.2022555143,2244.37225424,164.05864,78.42994,76.0495125,2793.93873864,157.51194,-12.041,-13.2480542986,27.9773056019,48.237,0.05061,0.0600626395173,0.00110788989062,0.26544,-24.955,-25.4044660633,57.9809706832,50.578,81.66726,81.679497994,2194.45122471,164.51034,82.30049,82.3198232,2244.35398911,164.29472,41.67,41.0194977376,29.5451883435,48.407,-13.001,-7.20521266968,1733.85183975,296.006,28.128,28.1888748115,2438.54060908,280.587,11.053,11.6230799397,3086.20366573,407.054,-19.692,-19.0698446456,774.521943477,214.52,22.573,26.7281749623,1629.09994976,340.337,3.067,0.527610859729,738.672371764,165.669,5.485,6.82201809955,888.679753674,224.68,1.259,0.561797888386,394.641748336,138.229,3.546,5.06525641026,516.271535075,130.864,-4.94,-6.60002714932,539.440816687,139.302,0.423,0.431431372549,358.043934245,111.935,0.32,0.354273001508,0.0538777731323,0.98,0.738,0.64746907994,0.128876770914,0.979,0.28,0.316752639517,0.050816291754,0.986,0.172,0.308202111614,0.0914637057572,0.992,0.158,0.254740573152,0.0597303610537,0.992,0.322,0.35750678733,0.059429275595,0.987,0.227,0.431873303167,0.161848101595,0.995,0.169,0.217837104072,0.0319745436007,0.996,0.148,0.254987933635,0.0709066122224,0.99,0.092,0.152054298643,0.0282271855886,0.992,0.102,0.160250377074,0.0301992917608,0.996,0.119,0.189500754148,0.0422043555801,0.991,4.0,1.0,1.0,156.235,166.3473,0.0,0.0,0.0,-11.013,127.741,0.82129258212
84.39029,84.3183748819,2384.89077173,167.92985,85.555845,85.4833255078,2422.42356566,170.27456,70.65072,73.8715457143,3289.89868905,168.44742,-16.901,-18.5228896952,27.2996303652,46.713,0.04578,0.0529962844702,0.00131931708895,0.39777,-28.957,-29.4321552975,55.5975317712,44.728,86.37546,87.2692827866,2428.65905319,170.53773,85.55542,85.4835163343,2417.68427067,170.27456,37.61,36.4051944848,29.0111364469,44.085,14.927,17.9114325109,2099.28353915,314.233,50.954,50.2549375907,2122.4027603,327.629,28.888,27.5649506531,2497.44859785,352.741,-42.399,-40.8612481858,1793.35239418,249.735,15.549,23.6424716981,1699.56322587,231.287,-15.215,-14.9667373004,692.343063514,171.1,-9.407,-8.33812772134,713.381725795,181.392,30.783,30.1993686502,417.479835725,161.025,13.853,14.6238664731,486.734323265,141.064,-3.472,-5.44033381713,427.409652083,145.443,-3.88,-2.29412191582,415.895697079,148.179,0.249,0.304708272859,0.0460198002363,0.979,0.356,0.458101596517,0.1041792756,0.976,0.206,0.286624092888,0.0567244029609,0.994,0.45,0.477367198839,0.0966601685032,0.994,0.343,0.436503628447,0.124865506881,0.996,0.224,0.267663280116,0.0443412393048,0.992,0.34,0.444915820029,0.116731934859,0.995,0.16,0.23875616836,0.0533523295157,0.996,0.21,0.328313497823,0.0942773530979,0.997,0.126,0.208650217707,0.0453188805551,0.997,0.196,0.321425253991,0.0927683140792,0.994,0.192,0.33811030479,0.116396327455,0.992,4.0,11.0,1.0,167.677,173.34812,0.45,0.0,0.0,-16.328,179.958,0.813747925972
121.162055,121.158411979,4893.04210664,239.80372,122.11068,122.104856865,4944.60979367,242.94231,124.32045,130.82016,5176.63510788,230.95799,-14.027,-13.5705500365,26.9552015988,54.499,0.03677,0.0429846018992,0.000604338659319,0.29021,-30.622,-30.3627289993,44.7918629894,47.785,124.2815,122.965793733,4947.84257728,243.54476,121.87396,121.868193018,4944.65004169,243.41315,39.316,38.9892943755,18.5727393209,48.947,-1.74,1.91131263696,1169.16024384,280.237,-38.84,-37.8732819576,2401.08499446,317.891,23.716,26.5780065741,3865.9704214,402.019,6.872,9.36716216216,1014.26620048,164.041,28.877,33.2973652301,2898.95053875,361.874,-9.341,-10.0100065741,574.504377578,185.684,-7.594,-7.42773338203,902.94528661,211.056,7.471,9.2969890431,587.407117682,171.608,12.952,12.7265208181,667.351790781,192.789,-4.259,-4.21784806428,735.393095454,181.912,4.683,5.6892184076,476.154647978,134.927,0.641,0.594785244704,0.0761490335003,0.987,0.823,0.711946676406,0.103625216295,0.988,0.482,0.536124178232,0.102424839218,0.988,0.293,0.303528122717,0.0365419833216,0.992,0.224,0.311558802045,0.060222730107,0.996,0.214,0.321,0.0739166632579,0.997,0.225,0.334210372535,0.083048366262,0.997,0.227,0.3538458729,0.10027774615,0.997,0.2,0.309707085464,0.0756491830104,0.998,0.31,0.395644996348,0.0791452413939,0.989,0.335,0.415505478451,0.0993784208977,0.994,0.298,0.336866325785,0.0734999507214,1.0,4.0,10.0,1.0,242.306,244.58404,0.084,0.0,0.0,-10.78,95.084,0.795291999844
122.47463,122.470247209,4932.52643986,242.65935,122.47463,122.470247209,4932.52643986,242.65935,101.37243,99.04871,5922.1877644,237.19412,-13.525,-14.3410234522,47.8179546439,51.588,0.048765,0.0537441744841,0.00170723349805,1.14443,-27.4425,-28.2081932458,59.2809638745,48.704,122.976535,122.492145272,4884.09837103,244.21905,122.69368,122.69009935,4932.57333445,243.1169,41.0115,39.7599324578,43.4859211493,48.453,23.393,25.1302532833,1767.74205988,324.359,-42.6685,-47.443565666,3068.11354031,339.599,-5.2445,-0.498850844278,3120.34051723,425.545,9.957,7.09513789869,1120.93118266,214.372,16.568,21.482456848,1822.86511838,287.253,-5.0105,-6.32066697936,653.971375226,176.427,8.206,8.86273452158,968.275980867,226.744,8.346,9.43404315197,570.412446351,151.005,6.082,7.89240806754,453.589813041,163.492,-8.416,-9.51823076923,485.734476847,160.203,6.5935,5.5628424015,396.162920988,133.218,0.703,0.659700750469,0.102947333527,0.988,0.458,0.491577861163,0.0768383808982,0.982,0.209,0.257251407129,0.0351501506781,0.996,0.229,0.293476547842,0.0690677616451,0.995,0.2215,0.298353658537,0.066777639466,0.997,0.1385,0.200496247655,0.0400907246576,0.998,0.1735,0.234583489681,0.0377116163878,0.998,0.254,0.353027204503,0.0780914692412,0.997,0.429,0.531248592871,0.136980627695,0.997,0.36,0.391587242026,0.0647699346965,0.999,0.146,0.21212945591,0.0371375948734,0.999,0.298,0.340537523452,0.0537463442768,0.993,1.0,1.0,1.0,230.69,246.38649,0.0,0.0,0.0,-10.033,90.999,0.762423562118
81.69878,81.7758032407,2222.19795279,162.18767,82.44477,82.5331502299,2253.54857791,164.45906,72.59284,78.34141125,2978.10716132,158.35766,-6.459,-8.68392189893,59.0257315391,48.623,0.04289,0.0503757580398,0.000930353021975,0.26065,-19.919,-21.5608958652,70.9018677349,56.199,82.97388,82.5671766922,2195.95947867,164.87583,82.538135,82.6278465977,2253.5545331,164.64092,47.013,45.1899402757,51.4927861879,51.326,29.249,37.5987029096,3006.61840396,349.156,-0.779,-9.25296630934,4854.42841284,384.206,19.524,17.6866646248,2948.85101856,364.67,-20.887,-21.0137947933,1445.62664432,231.431,14.857,20.8265712098,2468.76780552,412.98,-0.223,-0.658577335375,722.26475387,187.349,-4.683,-5.40545022971,1097.32515043,349.597,0.283,2.09893721286,637.914520681,179.0,8.972,10.4575957121,778.996894516,190.667,-8.96,-9.87448851455,651.46825195,307.644,8.835,6.87307963247,426.158760554,132.743,0.224,0.317318529862,0.073814599917,0.975,0.289,0.401479326187,0.10028166458,0.985,0.324,0.414955589587,0.106214884705,0.994,0.234,0.321341500766,0.0743233917999,0.997,0.264,0.350474732006,0.0829105403263,0.995,0.44,0.492653905054,0.10995125541,0.988,0.324,0.401707503828,0.0894789634506,0.993,0.288,0.356882082695,0.0780191055442,0.994,0.188,0.28802143951,0.0751093655434,0.993,0.282,0.325719754977,0.059680241524,0.993,0.376,0.475626339969,0.138185970639,0.993,0.151,0.252516079632,0.0754983324367,0.999,4.0,2.0,0.0,156.909,165.69424,0.0,0.0,0.0,-4.938,159.263,0.757295394657
