barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
105.99181,105.993571818,3776.48893977,210.93882,107.197915,107.203244505,3845.7789836,214.36301,95.590585,96.79852875,4680.64715524,207.11083,-12.331,-12.9874525223,14.5412722092,29.991,0.04952,0.0614321661721,0.00240557097009,0.51484,-19.205,-19.3479287834,17.5829249949,49.643,109.19943,108.50003,3601.87539349,214.659,105.26847,105.856089459,3839.10193231,210.45566,0.844,0.12240652819,1020.06661119,264.133,0.763,-0.355372403561,1032.29291717,246.762,1.326,-0.39909347181,1041.06395155,263.205,-0.6475,-1.84229080119,1087.39267096,251.69,0.2365,-1.58114985163,972.462440121,236.19,0.5005,-1.0790727003,968.244686827,231.555,0.4015,-0.82453264095,1015.0917978,246.957,-1.0855,-1.61429080119,1063.75333905,303.313,0.8275,-0.25949851632,986.999421867,243.082,0.36,-1.01387388724,1026.7605064,201.817,0.834,0.129716617211,1033.14928466,284.223,0.377,-0.0623353115727,1017.06079201,245.496,4.0,1.0,1.0,212.213,220.65587,0.0,0.0,0.0,-10.528,124.0,0.503752061361
118.8875,118.865640847,4583.87609167,233.46244,118.603065,118.890241374,4715.87235108,236.93205,86.905235,96.244243,4838.72050201,220.2084,-14.7455,-15.2008804348,39.2996904879,30.688,0.03706,0.0504685543478,0.00184350676867,0.34088,-23.054,-22.58555,55.6710739214,44.779,121.45848,118.405878217,4865.2159897,237.43977,116.905775,116.471430714,4675.20132109,232.89945,-1.851,-5.81588369565,1132.91817127,265.6,-1.7865,-5.18217391304,1075.58938808,250.942,-1.2445,-4.45733913043,1095.18225983,256.828,-0.8375,-3.98834782609,1148.47600926,266.257,-1.797,-4.79665326087,1145.07952372,245.943,-0.754,-4.12553586957,1149.74154922,266.474,-1.8145,-5.85397282609,1243.39035959,271.77,-2.286,-4.92484891304,1208.7824951,446.467,-0.4905,-3.52860869565,1094.31466561,276.669,-2.3065,-5.18530869565,1143.95372592,252.876,-0.856,-4.24096956522,1094.75733196,251.081,-2.2105,-4.48829891304,1045.94959214,246.96,7.0,5.0,0.0,233.471,243.74812,0.0,0.0,0.0,-10.358,106.03,0.487492443417
153.28167,153.277002364,7852.46995764,305.03392,154.67684,154.668448331,7971.00182763,308.20445,145.368315,141.969295,10881.8316847,303.52685,-9.086,-9.52606640106,9.44065307793,34.389,0.02745,0.0316291965471,0.000439477826512,0.29801,-16.8125,-17.1063432935,21.3842443264,51.527,148.487255,149.44048747,7300.99403803,308.53905,152.3502,152.220542,7846.59646403,302.78323,5.331,5.81783399734,776.178993554,234.738,5.6875,5.85134329349,781.230591143,229.365,6.356,5.74193891102,818.62528064,284.962,5.9575,5.58770783533,814.327287393,281.549,5.071,5.0178811421,796.611621728,281.56,4.6175,5.10205909695,803.775092394,230.498,6.214,4.98308698539,836.029048377,217.631,5.389,4.71822841965,763.131798881,204.509,5.096,5.14556308101,757.85758019,200.919,4.576,5.09934794157,770.72485039,204.779,6.022,5.86282868526,771.98472509,193.825,5.454,6.1600876494,824.317861129,383.646,4.0,1.0,1.0,310.01,318.37995,0.0,0.0,0.0,-7.793,129.012,0.48626091005
139.238285,139.243162109,6498.66663749,277.10227,140.32915,140.334189748,6575.415191,280.35264,71.59737,104.174313636,7947.66725995,263.61985,-12.296,-13.4369950178,33.1074683324,40.813,0.03247,0.0472705622776,0.00247855342395,1.03363,-18.722,-20.0301231317,38.9474467656,51.242,143.67986,140.991171829,5827.66245351,279.88943,138.01135,138.217059766,6521.96335127,276.00884,-1.148,-4.08800854093,1200.09685295,344.347,-1.143,-3.25642206406,1147.35844736,388.051,-1.391,-4.78322135231,1209.14574382,376.23,-1.428,-4.00475587189,1257.12203849,461.854,-1.635,-4.75313309609,1302.64858907,557.237,-1.473,-4.14458718861,1233.40082784,329.219,-0.496,-3.7086975089,1243.36154393,364.479,-1.519,-3.40637651246,1252.78070506,472.96,-0.985,-3.4808569395,1169.87472463,365.375,-1.63,-3.72816014235,1211.15932861,351.707,-1.191,-3.01471601423,1118.36893526,335.724,-1.359,-3.86738078292,1191.93151414,353.362,4.0,7.0,0.0,261.19,287.13751,0.0,0.0,0.0,-10.311,110.046,0.440826440499
116.83255,116.841308201,4587.82144572,233.22321,117.673905,117.687743971,4610.63092061,235.066,75.20489,84.24354,5941.20648539,227.75001,-11.0,-12.0378414747,15.5757312744,26.712,0.02989,0.0388485990783,0.00126481279122,0.39471,-17.784,-18.4596313364,21.0995829627,51.819,111.36939,111.147814304,4518.59975045,235.43166,113.643155,113.733694423,4558.80060402,226.98107,1.891,1.1328921659,918.356256142,289.223,0.106,-0.200733640553,890.927241128,254.558,-0.708,-1.15771059908,910.715919996,196.436,-0.068,0.0185953917051,891.736809974,219.218,0.011,0.0295400921659,902.373600713,249.84,1.147,0.773066359447,923.945874692,264.589,0.503,0.503225806452,901.619054273,286.004,0.626,1.61810046083,912.365827165,350.606,0.432,0.0349493087558,882.661459095,230.387,0.555,0.75314562212,830.261594591,208.746,1.493,0.437710599078,839.753277111,248.444,1.462,0.237494009217,874.10744942,254.524,3.0,8.0,0.0,232.751,243.27791,0.0,0.0,0.0,-9.707,106.678,0.437036204112
126.4102,126.414514651,5366.43868719,251.80016,127.643735,127.644109769,5450.28003049,255.24061,121.00487,132.449329091,6951.14092325,249.8684,-9.233,-10.3712173913,16.7175859174,29.661,0.03751,0.0444682507583,0.000960054958012,0.32056,-17.457,-19.4298645096,53.9074708735,52.036,129.8078,128.813988645,5544.93997438,255.48576,125.427485,125.293846395,5359.80279615,249.3439,3.374,2.38213043478,1070.08700606,247.511,3.735,3.8754479272,988.853750033,328.25,3.817,3.51257431749,990.618561403,232.786,3.123,3.14077047523,988.856864695,277.151,2.89,3.11413043478,1056.04130115,312.771,3.751,3.05600303337,1136.88250621,361.287,3.877,3.0745156724,996.732521449,336.016,3.231,3.76358645096,1245.11068805,525.698,2.605,2.46536400404,1079.9283795,277.706,5.163,4.02508392315,1112.43189481,337.609,4.088,3.87716582406,1100.87492635,304.494,3.198,2.58038422649,968.227298724,222.418,4.0,10.0,1.0,254.984,259.29098,0.0,0.0,0.0,-8.228,121.981,0.419125892959
125.0922,125.093401742,5264.60354357,249.75966,125.90213,125.904416248,5281.83449239,251.38886,107.863165,110.275487,6549.93545157,247.54733,-10.595,-11.6925394897,23.2892000151,52.227,0.03727,0.0547420170109,0.00295929014295,0.50848,-16.12,-17.3590923451,37.0469964581,52.164,118.78463,120.663612928,5186.88481935,251.67787,124.68724,125.183887767,5230.76297333,249.35046,-0.197,0.952962332928,766.886165426,224.674,0.49,1.58851397327,758.340291623,216.645,0.826,-0.243198055893,840.40108925,283.799,0.3,-0.159947752126,817.642217821,260.093,-0.028,0.802445929526,772.147638962,243.576,-0.189,0.921006075334,769.448342081,211.716,0.868,1.34022114216,787.31582451,230.33,1.022,1.08791494532,810.21315652,263.272,-0.134,0.319031591738,821.378959686,273.569,1.12,1.68929404617,818.532361063,249.339,1.38,1.50055650061,764.138111078,222.579,0.519,1.15973876063,791.226521253,270.817,4.0,6.0,1.0,243.606,255.08526,0.0,0.0,0.0,-9.069,147.99,0.413752421598
99.015665,99.0245047826,3161.28517607,192.16533,100.0762,100.083867438,3276.73170469,197.12844,23.15163,69.453218,5719.39832022,192.48722,-20.8215,-24.0320602837,103.469286826,47.036,0.034985,0.0554768794326,0.00829127532324,1.35257,-29.576,-31.0355815603,67.4484348746,45.265,95.97163,97.8664596454,3526.94150459,199.16014,96.89765,95.9969484783,3165.84142861,189.38815,-2.5345,-2.94233510638,1207.04452296,287.217,-1.2165,-2.97068262411,1135.71985008,258.78,-1.913,-3.2694893617,1116.53871045,224.574,-0.485,-2.64669326241,1109.78561457,238.621,0.7245,-1.90482092199,1113.6451979,226.403,-0.98,-3.00358156028,1128.42425078,210.143,-1.377,-1.60348758865,1024.99596949,219.851,-0.5335,-1.81309574468,1086.92707251,207.902,-0.364,-1.86824113475,1038.15860696,209.936,0.046,-2.09606028369,1101.94691298,231.098,-0.604,-1.84330496454,1087.01789261,218.563,-1.0035,-3.42009042553,1120.11431782,223.039,3.0,8.0,0.0,184.337,199.49669,8.841,0.0,0.0,-16.837,85.019,0.407901717218
107.98347,107.981892394,3925.82770576,213.99985,109.89474,109.892424236,4037.8670647,219.31675,98.805885,101.17184,6527.12753784,207.34574,-9.503,-10.5504621381,24.2740906472,27.642,0.036955,0.0434941202673,0.000761421881242,0.25032,-17.759,-19.2260066815,41.1455903719,50.773,109.287985,109.825938953,4044.40691414,219.86757,110.08547,109.021983368,3962.35302754,217.41916,4.387,5.20619710468,862.832007258,271.907,6.196,7.00790423163,786.731435116,272.904,5.5755,7.14078173719,785.629693433,318.113,6.131,8.10779175947,895.448284964,392.842,5.898,6.84330846325,764.891683828,258.677,5.848,7.27921603563,884.634645704,328.543,4.941,6.34090868597,837.009809715,293.29,5.002,5.94981514477,906.472465135,336.065,5.82,7.1251247216,808.319004922,255.992,5.823,6.63386302895,804.192817477,265.254,5.599,6.89004788419,832.714780867,236.042,5.1145,6.54279955457,891.947878479,424.107,4.0,3.0,1.0,217.658,223.55546,0.0,0.0,0.0,-7.819,78.537,0.407901717218
112.859655,112.860148413,4244.19606551,223.87242,113.531925,113.531648992,4278.20414394,226.1156,121.369605,115.587824,6555.29329965,223.90227,-7.8285,-8.43403210117,9.64456698243,25.329,0.03205,0.0416756809339,0.00273695470722,1.00842,-15.218,-15.8363521401,25.4405508449,41.336,110.253855,111.276625165,4075.24338835,225.89805,98.19015,98.1962470238,4158.50119742,195.90146,9.2595,12.0104357977,905.424886491,233.597,6.3285,9.93783171206,893.058538683,227.612,7.0805,10.1784095331,878.408880539,242.406,7.242,9.94725486381,851.961998735,270.902,6.152,10.0873404669,838.043946158,227.367,6.8995,8.89513424125,833.259984856,229.368,6.5255,9.73633463035,875.517743686,228.1,8.192,11.12442607,916.330889258,412.401,9.0525,11.1650145914,902.363787077,244.678,7.8325,10.8443715953,905.104848239,235.08,7.192,9.59929766537,898.490965859,254.686,7.389,10.0506867704,900.288035046,248.257,4.0,10.0,0.0,226.278,229.0673,0.0,0.0,0.0,-6.65,134.033,0.394394856101
