barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
128.13644,127.911638952,5518.22408633,254.29339,129.67331,129.438466588,5570.26633926,257.28171,90.02972,107.455088182,6642.77824325,228.88795,-6.452,-7.34682199367,14.5585126147,36.89,0.040215,0.0455323417722,0.00140803959515,0.64607,-15.085,-16.1862389241,38.8927305458,53.926,131.69474,130.337504193,5871.01681322,257.79683,129.52143,129.28590102,5563.80716806,257.57953,48.879,47.9625490506,20.5766981748,48.345,-55.884,-57.4593299051,1070.14740342,297.663,16.487,10.6047452532,1569.28610145,312.568,11.264,11.3667998418,1405.04423003,524.571,-19.748,-20.1370261076,582.647610975,172.774,-3.2235,0.711734177215,1226.00690358,280.768,-4.1145,-4.47953797468,370.16037778,142.197,-18.056,-16.5693552215,486.123326313,236.151,2.3185,4.89044303797,500.021143171,158.162,-3.6315,-3.90049050633,423.638715358,141.429,-0.678,-1.06092721519,292.017385526,126.571,-6.993,-7.80891297468,337.770230549,123.127,0.262,0.322025316456,0.0537034835363,0.999,0.457,0.528141613924,0.110584759218,0.995,0.3945,0.445118670886,0.0928700555375,0.994,0.282,0.36957278481,0.0708261513479,0.996,0.424,0.475855221519,0.0759105415392,0.989,0.143,0.200227848101,0.0283705778321,0.937,0.239,0.285840981013,0.0449977429092,0.999,0.291,0.397647151899,0.104372090688,0.993,0.326,0.380200158228,0.0581230873101,0.991,0.6085,0.621418512658,0.102428398423,0.977,0.243,0.285295886076,0.0333772605527,0.997,0.2205,0.339359177215,0.0903645766879,0.997,4.0,2.0,1.0,257.074,267.59791,0.0,0.0,0.0,-5.623,98.585,0.659022828599
170.46906,169.728170078,9614.05123197,335.43915,171.47619,170.715036318,9763.16933871,340.01432,88.93302,120.636013333,9585.12020441,334.00167,-8.313,-10.0827712062,28.6843959165,56.802,0.04177,0.0536621789883,0.00278559796257,0.78963,-17.636,-18.8536910506,44.4936333917,53.295,180.71125,180.771226148,8897.39439077,340.86726,171.58749,170.825015429,9775.56996328,340.66958,46.662,45.3828863813,29.7190054844,54.414,-28.177,-29.3187525292,1270.08812404,383.551,28.07,31.7644264591,1270.21034117,274.956,11.971,11.2709610895,1830.06109878,453.892,-14.767,-12.7313011673,713.501278945,194.184,-1.773,2.01677431907,1183.73380604,200.199,-0.049,-3.35780466926,594.672543407,203.854,-5.096,-5.15231439689,286.178747629,169.279,16.287,16.6907626459,341.502100111,135.935,4.948,4.40375175097,260.768679779,147.163,-3.017,-4.02593540856,296.882317846,116.723,-11.206,-10.3408894942,260.587984319,117.893,0.207,0.258438910506,0.0334049684471,0.996,0.44,0.479210894942,0.080953087819,0.996,0.944,0.712722957198,0.114212541146,0.99,0.365,0.415568871595,0.0691387542061,0.991,0.253,0.356228015564,0.0833651269972,0.996,0.151,0.27059688716,0.0751923869164,0.998,0.152,0.292610894942,0.100538485173,0.995,0.097,0.173329182879,0.0354136931951,0.996,0.101,0.145431128405,0.0216520491478,0.998,0.204,0.292037354086,0.0602058600833,0.995,0.127,0.176235019455,0.0280236350382,0.998,0.174,0.311853696498,0.0992347879338,0.997,4.0,9.0,1.0,330.6,343.35302,0.142,0.0,0.0,-7.781,90.704,0.643847690983
171.00077,170.540655646,9498.77211512,335.31337,172.14637,171.683938714,9594.13560139,338.76138,155.438745,160.63237125,10191.4690525,336.65476,-6.476,-7.44416139879,20.1722537292,55.413,0.03635,0.0491328244788,0.00405064425403,1.26392,-14.785,-15.3943470074,32.855564345,54.569,169.79873,168.730111675,9818.87823507,340.37533,172.28939,171.827498604,9593.88167379,339.04739,48.946,48.3939475454,23.0958563187,54.597,-90.816,-90.3751856086,2096.86469574,450.464,22.061,22.975868191,1281.37287753,308.699,10.848,10.8863759247,1324.83342695,325.972,21.188,20.4477357095,459.754695651,177.452,-7.846,-6.16805850706,929.3289905,190.667,-0.853,-1.15543443174,553.160040357,178.165,-21.372,-21.8725453934,411.234417838,213.541,3.876,3.36534835239,308.098521659,117.844,-4.417,-6.23673167451,433.993576611,130.977,3.029,2.94749024882,258.915480232,143.443,3.426,3.28963685272,161.47800006,82.045,0.268,0.35138937458,0.0748871442852,1.0,0.513,0.565884330868,0.0944708931439,0.998,0.903,0.786577000672,0.0633192662632,0.935,0.277,0.310963685272,0.0316367343907,0.999,0.211,0.280876933423,0.0526461092662,1.0,0.185,0.215325487559,0.0206274636611,0.999,0.196,0.249831203766,0.0293066446753,0.991,0.624,0.624675857431,0.0803055129545,0.938,0.139,0.18423066577,0.0192074699944,0.981,0.137,0.210935440484,0.0436860993963,0.999,0.107,0.15216139879,0.0191337022625,1.0,0.208,0.278312710155,0.0488597293812,0.999,4.0,11.0,0.0,337.241,346.122,4.406,0.0,0.0,-5.953,104.632,0.642286630306
98.91717,98.9113009278,3231.08064739,194.89235,99.253485,99.2494431973,3298.34699725,198.28213,62.709415,81.980744,4536.26191366,191.61526,-11.9445,-13.3127057292,40.7149332285,54.994,0.039085,0.0481691015625,0.00118463119646,0.50882,-24.8695,-25.4678346354,52.6421292917,49.674,101.46889,100.036342943,3133.84492807,198.81311,99.478065,99.4750277778,3298.37053483,198.73478,42.355,41.2122239583,37.8854255853,51.146,-63.3225,-64.5126966146,2021.14135453,364.402,52.245,49.4467291667,1848.00731275,250.755,34.257,35.1891289063,2709.4301671,463.23,2.8305,3.19447916667,1152.53495663,185.935,13.931,18.8679895833,2000.54167825,392.526,-9.5105,-10.1818984375,641.581971096,160.823,-0.4625,-1.55602994792,518.948040636,194.866,-1.3225,-1.94788932292,344.862322161,126.011,4.9455,5.50054557292,408.406841553,166.689,2.9275,2.13973046875,575.110106252,138.119,0.32,0.99376953125,225.997792542,109.007,0.2215,0.363268229167,0.111251258782,0.995,0.2335,0.365040364583,0.0981608824853,0.989,0.2895,0.36586328125,0.0703501961517,0.988,0.105,0.146677083333,0.0190971978082,0.994,0.132,0.213421875,0.0459107438965,0.994,0.2085,0.389046875,0.132934281657,0.992,0.322,0.402954427083,0.0922004914127,0.988,0.6345,0.619188802083,0.118127455239,0.977,0.1465,0.1900625,0.0215299596354,0.987,0.15,0.293703125,0.0991296254069,0.993,0.0805,0.133227864583,0.0225466525048,0.997,0.142,0.196346354167,0.0273784399346,0.989,3.0,7.0,1.0,189.301,204.40771,0.293,0.0,0.0,-9.868,88.628,0.625662397168
176.69471,176.64112377,10411.4894609,351.68108,177.357905,177.335312663,10466.4117339,353.97316,151.389,161.578975385,12121.2524188,349.72949,-7.615,-8.00288114981,18.1407206431,60.874,0.04086,0.0466949917081,0.000690063661926,0.37687,-16.244,-16.7028612493,29.9596165617,54.794,184.92082,178.908536407,9903.15153253,354.44971,177.24722,177.219614321,10466.4063066,354.18791,48.634,48.0538131564,19.2185014853,56.965,-4.411,-6.21524930901,1392.85123179,418.589,9.164,12.7650088447,1443.73123698,289.528,3.037,5.35844499724,845.730943773,474.017,4.748,5.01938640133,598.812548899,201.208,-4.418,-2.12110889994,776.588727543,351.784,5.826,3.82490602543,524.125385489,149.66,-7.618,-6.50515588723,308.58065915,178.474,5.667,5.10830016584,234.18501386,114.424,8.141,7.49518242123,237.792588465,137.811,0.163,-0.103761746821,213.922732706,127.245,-8.552,-8.93094029851,310.208841062,122.745,0.951,0.794559425097,0.0672132846113,0.98,0.536,0.556153123273,0.0745501108816,0.982,0.298,0.351725262576,0.0477518675818,0.985,0.342,0.421029297955,0.0866472291029,0.991,0.291,0.325920950802,0.0441352159734,0.992,0.287,0.374115533444,0.0789322503336,0.997,0.229,0.28701050304,0.0433602491987,0.996,0.279,0.368102819237,0.0751380082231,0.997,0.208,0.296443338861,0.0601505972594,0.997,0.19,0.281713101161,0.0548942764508,0.993,0.336,0.406712548369,0.0833286382118,0.992,0.37,0.435824765064,0.096913212521,0.995,4.0,10.0,0.0,352.618,359.78404,0.113,0.0,0.0,-5.601,130.059,0.614695601146
198.448655,198.453873478,12731.7361815,388.7505,200.04242,200.047088219,12905.6946132,392.99491,210.400795,195.187769444,12854.6656161,386.99382,-10.3765,-11.9553334739,35.5146243656,37.956,0.03347,0.0387878288364,0.00560705849373,3.54586,-22.91,-23.4947386172,40.2338792318,49.84,200.34769,200.942902955,13196.5210222,396.65234,200.108805,200.113487343,12888.3048689,393.12706,43.9515,42.6766024452,32.0376910582,51.299,10.648,9.87970615514,1043.36327059,310.714,0.249,3.21053878583,1288.41675228,263.801,31.0895,30.0921496627,1305.66051455,268.737,-11.233,-9.17945404722,1060.92954839,227.3,5.938,8.19354679595,1179.64815335,227.768,-0.461,-1.97251770658,522.567403263,158.088,-9.38,-8.37966947723,354.066648086,166.073,-0.809,-0.501217116358,275.347246962,133.618,8.4885,8.17167453626,291.758395234,142.587,3.6755,3.49988195616,301.954091704,136.688,9.117,7.6781648398,335.482130137,139.889,0.691,0.661807757167,0.0951301392653,0.981,0.4645,0.499553962901,0.0791826813207,0.991,0.3585,0.410198988196,0.0888613263396,0.995,0.2355,0.300359612142,0.0498700962272,0.992,0.383,0.466114249578,0.0908330472337,0.993,0.2975,0.388706576728,0.087362816095,0.995,0.333,0.412303962901,0.0801069358528,0.996,0.552,0.586778667791,0.10413283086,0.99,0.359,0.405720067454,0.0639022614354,0.996,0.3995,0.450980185497,0.0985020978367,0.995,0.2315,0.255400505902,0.0280218884989,0.996,0.214,0.241010961214,0.031611490605,0.995,4.0,7.0,1.0,376.105,396.77342,5.033,0.0,0.0,-9.089,112.991,0.603944818792
112.25386,112.089959653,4157.22062676,221.63398,112.87216,112.708433674,4203.2849808,224.11805,109.610585,104.769365714,4997.5003179,218.34456,-7.013,-7.9060998004,8.80155069663,27.158,0.039815,0.0488856686627,0.00148895603034,0.51338,-12.8755,-14.0326536926,24.3670482982,52.669,106.89177,109.000466737,4136.4886015,224.48358,112.794845,112.63095136,4203.33490535,224.27307,50.0545,49.0242325349,13.3809504659,35.982,-21.4875,-21.2731267465,1003.41334197,207.643,23.5435,22.352498004,731.117061745,236.509,-0.0175,0.917231536926,779.90871526,250.251,-24.863,-26.7491297405,644.425968251,189.106,-12.0655,-8.39097005988,515.411615209,225.666,-12.2515,-12.1389351297,296.80956647,123.42,-21.2995,-20.4146037924,470.187116499,244.035,10.262,10.1478463074,288.317279481,116.902,-0.246,-0.727374251497,328.807927043,147.032,1.319,1.11135229541,164.245085589,94.513,-1.4665,-1.01200199601,144.106594389,96.992,0.2475,0.310025948104,0.045249316692,1.0,0.454,0.512107784431,0.100180467424,0.999,0.273,0.360907185629,0.0912777887907,0.999,0.1855,0.253832335329,0.0435386545233,1.0,0.3415,0.408969061876,0.0681842655099,0.989,0.158,0.198846307385,0.0241359025263,0.947,0.2425,0.299538922156,0.0477545678463,1.0,0.34,0.418086826347,0.101607947551,0.998,0.364,0.43252994012,0.0918031552912,0.997,0.826,0.686891217565,0.111515140861,0.966,0.271,0.329121756487,0.0534551588281,0.994,0.169,0.270248502994,0.0724851987253,0.999,5.0,2.0,1.0,220.822,229.8771,0.0,0.0,0.0,-6.738,193.689,0.597593848268
141.58832,141.809010937,6770.72258669,282.61151,142.735315,142.926890337,6843.88274421,286.41108,127.85125,140.271293846,9126.03565412,281.25121,-23.472,-23.2592812803,44.1000319286,47.937,0.06172,0.0721816585839,0.00224038814691,0.36197,-32.275,-31.8580698351,38.3441138089,45.866,143.27819,144.11135999,6546.72544124,287.2805,142.99765,143.174717168,6844.14598176,286.92981,31.753,32.2037934045,37.9246681115,45.259,-101.396,-89.7756265761,2890.44682703,329.606,40.584,43.9194927255,2089.38707727,299.575,4.956,4.20061105723,1956.54379253,445.061,-29.061,-27.9009505335,1055.58866799,214.158,9.402,12.3829020369,1097.95553924,288.911,-17.479,-18.9835305529,883.079628447,173.244,5.323,4.84690203686,447.711641243,208.122,-15.606,-11.7336547042,720.592472515,156.09,-2.156,-1.09293210475,274.587587559,170.222,-3.51,-4.78725800194,289.780029951,113.175,11.99,11.1397972842,219.936752519,117.689,0.997,0.797845780795,0.067770297264,0.971,0.199,0.306783705141,0.0761359580662,0.98,0.151,0.284709990301,0.0882378373299,0.995,0.063,0.131,0.0304805548012,0.997,0.082,0.129796314258,0.0205979643317,0.996,0.089,0.224662463628,0.0839652982903,0.997,0.104,0.173005819593,0.0370864907518,0.998,0.26,0.328116391853,0.0636303084704,0.996,0.061,0.112599418041,0.0192801722208,0.997,0.088,0.161722599418,0.0350902101488,0.997,0.096,0.240925315228,0.086872239815,0.995,0.359,0.467183317168,0.108843833514,0.979,4.0,7.0,1.0,269.758,295.02649,2.426,0.0,0.0,-18.058,79.932,0.597126351828
123.00778,123.098316955,5036.62222746,245.43961,123.00778,123.098316955,5036.62222746,245.43961,113.800095,116.08464,5881.48737412,239.75524,-10.875,-11.784965368,14.4125852694,53.28,0.044775,0.0545527489177,0.00275458321885,0.93615,-18.8195,-19.4369480519,27.3870705103,50.555,120.021765,122.489316981,4943.28184511,245.98381,123.18787,123.275364348,5036.57124722,245.79154,45.118,44.5050021645,15.5395659069,50.715,-61.9925,-68.0657002165,1972.1938371,389.474,6.563,2.60435064935,1365.37640463,276.692,-0.096,0.82508008658,1240.06027536,199.562,-29.4675,-29.1588906926,679.807986385,168.412,-3.82,0.503036796537,755.360576092,157.411,-0.258,-1.40923593074,407.735196791,140.765,-16.1895,-18.3708073593,588.458031411,200.539,17.423,17.3427261905,323.26274758,152.066,-3.755,-6.10881926407,316.317138077,164.673,-2.853,-3.12851948052,261.370510154,113.396,-2.846,-2.42164502165,213.533115013,111.534,0.19,0.316292207792,0.0999562566059,0.998,0.17,0.282101731602,0.0822291996074,1.0,0.2445,0.313713203463,0.0553680703451,0.999,0.111,0.149496753247,0.0184031785609,0.954,0.177,0.226218614719,0.0332937530734,0.999,0.2855,0.395963203463,0.108623933711,0.999,0.3195,0.379720779221,0.0700752250661,0.993,0.8885,0.685465367965,0.121256590792,0.964,0.228,0.260043290043,0.0391302015892,0.996,0.195,0.285524891775,0.0671909073891,1.0,0.1635,0.264547619048,0.0790415918883,1.0,0.125,0.200601731602,0.0390541703866,0.998,1.0,2.0,0.0,238.742,248.55465,0.125,0.0,0.0,-10.1,113.21,0.587535686827
122.20227,122.211759488,4901.78832844,241.46148,122.20227,122.253131137,4979.40711897,242.95746,144.464755,124.913336,5539.11678128,235.91728,-18.943,-19.9082722646,18.1480204068,41.982,0.0749,0.153540737913,0.0834825204526,2.73282,-22.584,-23.5133231552,19.9234615571,37.851,121.82594,119.090410738,4830.28370746,243.08358,122.20227,122.253131137,4979.40711897,242.95746,39.29,38.0228753181,18.0607573458,39.884,-172.601,-167.969826972,992.529213095,363.845,33.463,34.661740458,588.368503118,229.92,-15.301,-13.34456743,393.271800047,175.832,-20.855,-16.463870229,713.14792168,188.364,-25.551,-23.9489058524,223.048536838,154.836,-14.106,-14.9425139949,563.573862525,169.659,-1.615,-1.48588295165,176.134675717,98.584,38.891,38.1860254453,473.163095658,142.681,14.694,13.5359363868,116.273830731,81.504,0.802,0.750129770992,69.186429319,63.699,2.199,0.679610687023,239.513667027,99.731,0.081,0.200256997455,0.0654755700846,0.995,0.035,0.0662086513995,0.0104732236402,0.997,0.098,0.166730279898,0.043296787302,0.997,0.021,0.0563435114504,0.011377589379,0.929,0.035,0.0655292620865,0.00819149596307,0.849,0.238,0.339368956743,0.076283744278,0.997,0.041,0.111867684478,0.0301519417801,0.997,0.027,0.11213740458,0.0439940930793,0.998,0.031,0.119773536896,0.0520456713608,0.996,0.112,0.191842239186,0.0450368555187,0.989,1.0,0.819949109415,0.0912837175119,0.997,0.176,0.336142493639,0.112936941528,0.986,3.0,5.0,1.0,232.484,246.17751,0.0,0.0,0.0,-17.862,160.935,0.583401231014
