barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
191.10049,191.012306396,12112.7678727,380.26122,191.10049,191.012306396,12112.7678727,380.26122,172.035625,173.414945,12993.715507,374.43967,-16.777,-17.9160157676,31.3903617217,48.917,0.04043,0.0483089045643,0.00122039524478,0.46246,-24.134,-24.9021684647,31.7976545583,44.58,196.00816,193.971370448,11354.7522208,381.18785,191.10049,191.011720917,12142.6347427,381.18844,39.276,38.3154190871,27.897387865,46.087,29.792,25.028879668,4873.90315334,425.284,14.998,15.8748182573,2114.52756395,263.173,0.706,-1.85135352697,823.782545112,205.446,-52.353,-51.3929228216,1165.88791534,186.912,-1.422,1.01449792531,725.706369035,181.292,-35.2,-32.8226904564,695.452285002,160.558,-16.875,-17.7287925311,610.436516023,158.387,-0.602,0.510764315353,459.931295649,137.074,-5.62,-4.14861825726,371.898647892,105.377,-2.626,-1.9852813278,231.062351777,98.215,-19.32,-21.3353651452,451.84713718,155.186,0.128,0.216463900415,0.0607891001491,0.998,0.164,0.2988,0.104298017261,0.998,0.067,0.133061410788,0.0306808642785,0.998,0.153,0.223676348548,0.0425686886107,0.996,0.66,0.611828215768,0.143976643519,0.987,0.141,0.181106224066,0.0246983057289,0.996,0.194,0.321125311203,0.104741553592,0.996,0.081,0.133635684647,0.0234911610503,0.998,0.179,0.270980912863,0.0713675822083,0.997,0.116,0.236634854772,0.082651186171,0.999,0.098,0.176686307054,0.0502296343768,0.998,0.317,0.433691286307,0.125105451584,0.989,1.0,4.0,1.0,356.804,384.23465,0.0,0.0,0.0,-14.87,84.873,0.576810825333
98.78085,98.7861568779,3204.87689426,196.36017,98.78085,98.7861568779,3204.87689426,196.36017,107.7154,94.01336,3452.74373093,170.35621,-9.658,-10.715,12.2360948634,24.155,0.03779,0.0778307923497,0.0143704410401,1.90236,-14.181,-14.9126038251,18.4927203348,51.509,76.6751,83.0693619399,2554.09893206,195.93846,98.77799,98.786723678,3197.29380721,196.36017,47.728,46.963386612,12.356834218,28.555,57.3715,55.2861980874,1201.95642238,253.642,60.6805,62.5193674863,967.654244642,224.476,3.836,5.02296448087,333.354580687,321.056,-18.875,-21.3500491803,497.721567454,186.724,-23.471,-22.8825696721,272.192249087,213.045,1.9385,1.53625956284,157.291799495,96.633,2.607,2.43697814208,178.88393695,110.63,-13.6725,-14.5002295082,115.315021912,74.827,-5.3635,-5.76866666667,128.513542651,137.986,1.094,1.20332786885,156.067079745,220.604,-13.297,-12.8205491803,96.6089416656,65.655,0.7775,0.691394808743,0.085091263525,0.941,0.623,0.604338797814,0.0894802322106,0.943,0.412,0.492919398907,0.0717236833942,0.933,0.326,0.346784153005,0.0235594315522,0.911,0.254,0.284766393443,0.0287515615482,0.973,0.214,0.244348360656,0.0202103964044,0.978,0.2545,0.307666666667,0.0352247850638,0.954,0.416,0.483857923497,0.0649369169727,0.944,0.4415,0.483995901639,0.0588683401471,0.978,0.371,0.441259562842,0.0580944462883,0.957,0.3095,0.366849726776,0.0463617151229,0.974,0.4715,0.542698087432,0.0994497244226,0.971,1.0,11.0,0.0,196.54,206.65424,0.0,0.0,0.0,-9.145,130.352,0.576810825333
139.94025,139.858633982,6676.97378826,278.72288,140.8792,140.793638392,6736.66885076,281.85084,150.58893,135.306853333,8003.31824017,275.51429,-10.252,-11.0040251309,14.2090530947,54.029,0.03253,0.0448396125654,0.00223182565001,0.39254,-15.535,-16.4214534031,17.3416472468,50.594,138.63224,140.730827906,6385.7018084,282.89769,140.8792,140.794330594,6751.25791455,282.47594,46.772,46.0823623037,13.3110963923,51.566,44.053,41.2424628272,1114.21052902,232.872,32.349,31.2864764398,562.918137975,198.534,2.647,3.78181989529,467.420196491,228.022,-32.061,-33.6232701571,504.766525096,175.286,-18.229,-15.0297528796,419.445345671,260.336,-1.28,-1.7150052356,225.803545128,108.942,-8.763,-8.84313926702,268.700127837,127.212,11.75,11.5321675393,310.543037406,110.192,0.165,-1.19028062827,206.595516713,152.038,1.478,1.59756858639,98.3539476086,81.51,8.015,8.06959895288,126.789976638,69.646,0.227,0.317579057592,0.0780465013415,0.992,0.357,0.479260732984,0.128102412647,0.981,0.114,0.188203141361,0.031258318943,0.867,0.158,0.201651308901,0.0237817098281,0.964,0.488,0.545665968586,0.109241198371,0.99,0.175,0.225851308901,0.0308251401946,0.992,0.171,0.244143455497,0.0493978422477,0.993,0.085,0.154539267016,0.0311973395576,0.994,0.222,0.325589528796,0.070543349838,0.995,0.395,0.487663874346,0.141248907962,0.988,0.186,0.247239790576,0.0446181278408,0.996,0.372,0.457756020942,0.105669805396,0.981,4.0,1.0,0.0,275.394,287.08526,0.113,0.0,0.0,-9.076,95.584,0.569500603101
114.059935,114.047214455,4354.27566343,226.54067,115.35958,115.345929842,4434.16816676,230.19714,123.38071,109.800978889,5206.95227866,202.36177,-11.954,-11.9613042986,8.69126017098,54.989,0.03359,0.0405630316742,0.000909405508908,0.2834,-18.0745,-18.2308925339,7.79179001673,47.9,114.683355,115.277372805,4356.10583409,230.68717,115.489285,115.47589768,4434.18782154,230.46269,44.895,44.6850294118,5.17206256248,48.237,34.736,34.0015067873,760.293568153,246.707,33.091,37.3582285068,641.159793633,290.318,13.6905,14.2337488688,500.335591145,362.892,-20.923,-22.5887737557,479.239604345,180.021,-13.2435,-12.4171538462,369.539888639,223.385,7.7395,6.12754298643,269.625133594,113.954,-18.416,-16.9773506787,250.56376604,152.893,5.439,5.94106674208,175.536418225,81.723,-7.8205,-8.31569570136,239.850804954,142.34,3.118,3.2109219457,121.264041475,158.588,-6.3665,-6.06227714932,98.7743745171,69.856,0.1595,0.245277149321,0.0497681369892,0.982,0.4715,0.520652714932,0.0720421904791,0.977,1.0,0.699881221719,0.122068860326,0.967,0.214,0.243909502262,0.0206225393215,0.962,0.161,0.286778280543,0.0784521250486,0.978,0.0945,0.144347285068,0.027630414461,0.991,0.1395,0.210787330317,0.0399202398395,0.974,0.092,0.170415158371,0.0381379532091,0.99,0.106,0.163505656109,0.0262066798323,0.981,0.427,0.51084841629,0.0858899204613,0.953,0.1395,0.2095,0.0344903993213,0.98,0.129,0.250795248869,0.0846619297964,0.988,4.0,2.0,1.0,230.383,238.10567,0.206,0.0,0.0,-10.231,115.521,0.567542917587
120.0447,119.978380388,4508.83829498,229.65396,120.95003,120.874207466,4524.80116147,231.47473,79.37716,92.6958255556,4820.31316168,232.13712,-11.956,-15.0709017497,84.1900991384,49.218,0.03587,0.0554004306864,0.0258710514913,4.12207,-17.484,-20.341115747,79.9262628211,49.017,117.5024,121.70501323,4236.70907991,235.96989,121.06246,120.986351818,4524.62824148,231.70233,45.115,42.166384926,80.5177001399,49.712,13.507,9.45512786003,2199.45311518,312.876,14.811,15.901846568,854.380575863,270.512,-2.709,-3.23910094213,547.836189286,429.639,-2.685,-5.09177523553,504.773538917,171.331,-25.77,-23.6249542396,364.733104006,286.878,12.864,12.8052341857,300.55107938,147.585,0.064,-0.0827833109017,267.178782129,167.624,2.286,1.65046567968,292.290425888,157.335,1.352,-0.0530794078062,193.256319548,119.732,-0.824,-0.542732166891,132.765840511,180.38,0.351,0.00137146702557,149.746018169,103.037,0.377,0.403145356662,0.0490673166911,0.994,0.442,0.494333781965,0.0921167876475,0.999,0.307,0.34269179004,0.0551311391924,0.999,0.238,0.312209959623,0.0593757324984,0.996,0.244,0.315701211306,0.0709582498909,0.999,0.182,0.273919246299,0.0586116139364,0.999,0.258,0.323625841184,0.0512510820779,0.992,0.157,0.237565275908,0.0473689940567,0.998,0.225,0.288071332436,0.0565659074285,0.998,0.283,0.415204576043,0.121929928539,0.998,0.27,0.317555854643,0.0570767690875,0.993,1.0,0.720584118439,0.109774452884,0.978,4.0,4.0,1.0,229.692,238.94159,16.074,0.0,0.0,-11.437,132.595,0.565527334227
84.35896,84.0189931197,2315.00895782,165.99726,84.35896,84.0189931197,2315.00895782,165.99726,64.08846,69.46863,2470.13784713,161.43591,-13.163,-14.2443630832,43.1421245558,51.767,0.03363,0.0483893711968,0.00290757869109,0.50043,-18.208,-19.1379269777,38.4030923192,48.263,77.84136,79.3515062475,2151.59104971,166.6702,84.47657,84.1386858773,2308.27777379,166.2342,44.19,43.1338255578,40.6115516166,49.523,16.13,16.8855862069,1383.82048064,265.05,48.412,50.5385517241,830.650160746,291.788,7.815,9.52879513185,733.20117411,474.238,-28.009,-28.8053204868,487.732841208,150.952,-22.82,-21.9412819473,332.506660077,261.352,14.873,15.6463853955,479.385744638,147.6,-1.057,-0.747977687627,266.34563917,135.71,4.314,4.43909939148,321.288263473,136.845,3.302,0.471709939148,242.212307614,113.556,0.323,0.559024340771,112.672952093,74.822,-5.1,-4.88759229209,226.742160655,104.249,0.265,0.350257606491,0.0830243210628,0.99,0.374,0.463340770791,0.119639762171,0.986,0.36,0.477395537525,0.114548750244,0.962,0.187,0.257636916836,0.0436558377447,0.983,0.181,0.270515212982,0.0660873369897,0.987,0.137,0.216829614604,0.0522959993664,0.984,0.251,0.337496957404,0.0669801769684,0.977,0.342,0.48521703854,0.130993829162,0.975,0.209,0.290789046653,0.0564645721315,0.981,0.223,0.342056795132,0.0947310677682,0.982,0.143,0.224701825558,0.0506808380697,0.991,0.193,0.341628803245,0.112333880469,0.988,1.0,2.0,1.0,157.066,173.50485,2.229,0.0,0.0,-11.522,84.262,0.554452303954
91.49072,91.3824575,2805.69783287,181.46504,92.48586,92.3796681227,2826.09536784,183.45001,83.033165,83.23003,3904.08679776,179.46023,-12.0565,-12.941905694,14.8748303274,53.251,0.03225,0.0539137366548,0.00421642140668,0.58744,-17.2075,-17.8354679715,18.0403014874,50.969,93.639545,92.216705694,2647.11136154,184.30077,92.31997,92.2136058664,2826.16867042,183.78455,45.0795,44.4103398577,13.7792059717,50.564,45.495,45.6261939502,1484.16411979,236.971,26.6765,27.1249323843,745.51655743,188.68,-3.249,-4.09277758007,359.794649814,288.43,-15.342,-17.3333967972,537.037258343,150.061,-21.54,-20.4087348754,372.042903458,273.795,-16.9695,-18.7446903915,306.855815804,112.946,-10.267,-9.21114234875,255.740404674,126.404,18.333,17.3371548043,273.595841458,153.413,9.771,8.56051957295,222.816026353,112.311,3.4505,2.61556227758,115.49892767,169.259,11.1015,12.0514893238,216.441747734,101.592,0.1515,0.23196797153,0.0507097071592,0.998,0.3785,0.462040925267,0.103499914695,0.988,0.1705,0.284669039146,0.0790905879738,0.998,0.2385,0.294135231317,0.0463350172997,0.997,0.54,0.583341637011,0.125069328124,0.975,0.181,0.229201067616,0.0367550538779,0.997,0.1335,0.236964412811,0.0647909880574,0.996,0.099,0.162946619217,0.0276481323818,0.983,0.2175,0.307708185053,0.0662769504312,0.987,0.2855,0.423176156584,0.119466130891,0.991,0.137,0.189185053381,0.0287440547232,0.992,0.2235,0.32337544484,0.0897005796817,0.988,3.0,9.0,1.0,179.589,192.26077,0.17,0.0,0.0,-10.825,90.097,0.552007132469
105.86871,106.091822162,3735.90469193,209.48468,106.81722,107.04522294,3820.60307645,213.3157,100.635035,96.68703625,2949.47732657,175.88594,-10.672,-10.5887234899,6.56160410341,36.366,0.03353,0.0485975436242,0.00269511368242,0.52447,-14.602,-14.6776080537,12.0713774974,52.107,98.41483,100.146806711,3633.91820469,213.86449,106.69955,106.926141759,3820.59180898,213.54911,47.173,47.254433557,7.69771676908,42.656,47.55,46.559766443,1312.51068943,209.764,47.467,50.0510348993,436.916381207,211.432,3.063,3.17327785235,370.657481508,447.217,-27.104,-27.4148469799,440.952360946,153.7,-25.784,-24.6859651007,163.419009462,147.594,14.271,13.2691221477,299.545267275,131.804,0.424,-0.0413744966443,191.054370041,141.734,-5.945,-4.86820536913,185.548630493,93.811,-1.723,-2.9961033557,164.236544764,111.344,2.421,2.18616912752,83.1976061432,175.905,-5.985,-3.91794496644,219.139882865,115.435,0.414,0.422789261745,0.0580376294149,0.967,0.687,0.653653691275,0.101004027721,0.938,0.296,0.332731543624,0.0411615923607,0.96,0.227,0.265919463087,0.0304126055943,0.973,0.377,0.452059060403,0.0776947938273,0.961,0.239,0.27191409396,0.0291547362443,0.965,0.259,0.395855033557,0.106530217911,0.983,0.206,0.264953020134,0.04337110786,0.993,0.251,0.316343624161,0.0513543329291,0.953,0.328,0.47031409396,0.125334177855,0.982,0.217,0.269700671141,0.0363714392613,0.979,0.404,0.463673825503,0.0814234949525,0.946,4.0,11.0,0.0,213.455,220.81261,0.0,0.0,0.0,-8.937,126.314,0.549472918963
150.6503,151.06787197,7583.45657838,299.89711,154.10555,154.50398695,7964.34308343,308.57503,101.23133,105.875797273,7080.9904109,302.4171,-15.253,-17.038862069,44.6398106476,51.903,0.03683,0.0542900287356,0.00328157277289,0.53303,-19.922,-21.3003850575,45.644894936,49.057,159.823065,155.219423659,7743.2803012,308.82154,154.10555,154.503928622,7949.65546937,308.57503,42.167,40.6975574713,43.3122710666,49.935,7.7125,4.62832088123,1222.80315782,291.521,34.4975,34.0120009579,666.861693953,172.462,-2.0045,-3.04003639847,264.938557232,147.388,-26.9735,-26.7324971264,479.306321545,161.299,-19.8785,-19.7715009579,207.086996911,196.276,-10.819,-9.90364655172,302.484903317,122.071,-14.879,-15.5097183908,242.317841294,140.852,7.05,7.5201302682,258.425756801,126.85,2.6475,1.91131992337,184.6193598,121.208,2.0895,2.29370019157,77.2702131256,74.299,0.497,-0.52716091954,258.1826317,112.8,0.556,0.586602490421,0.121412856354,0.981,0.3045,0.383899425287,0.0896316862449,0.993,0.234,0.382890804598,0.124705131755,0.992,0.149,0.225649425287,0.0534319997027,0.995,0.263,0.366459770115,0.0930251621747,0.982,0.227,0.375228927203,0.117188534757,0.99,0.107,0.171935823755,0.0338701405174,0.99,0.161,0.292432950192,0.0898879409066,0.984,0.115,0.173641762452,0.0296585843095,0.991,0.221,0.306907088123,0.0662238582256,0.995,0.0995,0.162561302682,0.0279858745945,0.995,0.155,0.200046934866,0.0268651864944,0.995,4.0,0.0,1.0,287.759,313.33832,0.154,0.0,0.0,-12.784,104.508,0.535215806293
93.04435,93.0480868831,2872.79945207,183.29307,93.64673,93.6510669453,2929.49365924,186.87678,68.90435,66.3118285714,2748.50913721,143.07468,-12.824,-13.5298369963,16.9798130705,53.632,0.040595,0.0506004029304,0.00172375248921,0.35413,-17.9725,-19.3160879121,34.5544035857,49.125,93.89551,94.013160989,2771.23088307,187.19655,93.64673,93.651000306,2920.11209796,186.87678,44.283,43.3630586081,20.6826810991,50.474,36.6045,41.0744065934,1151.07202973,216.312,11.526,9.4853992674,909.039346526,199.425,-5.9695,-6.07371794872,713.860831459,369.002,-13.815,-16.7396318681,565.461903386,179.79,-20.55,-18.4948919414,517.144346045,217.402,-2.324,-0.254445054945,450.600226434,174.839,-3.5225,-3.12699450549,227.581164727,142.037,7.5285,8.40853479853,205.304691996,100.27,1.331,0.73180952381,196.543240385,101.341,-0.596,0.307483516484,137.03567936,185.775,4.4115,5.67238644689,216.52608138,79.445,0.2575,0.298838827839,0.0504605527781,0.99,0.3695,0.438600732601,0.09927834608,0.991,0.1465,0.253516483516,0.0752268907539,0.997,0.2525,0.310937728938,0.052247659126,0.996,0.1415,0.251054945055,0.0755996013766,0.995,0.1235,0.163558608059,0.0216380450999,0.996,0.334,0.434996336996,0.106045509144,0.989,0.112,0.143525641026,0.0174970149103,0.996,0.121,0.171159340659,0.0260885075776,0.997,0.088,0.154137362637,0.0339738657469,0.991,0.129,0.201758241758,0.0405037767178,0.997,0.81,0.65669047619,0.131796063536,0.993,4.0,11.0,1.0,182.671,191.89506,0.206,0.0,0.0,-11.219,99.546,0.531984609467
