barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
129.707725,129.709024365,5354.54654301,251.45842,130.96578,130.966421294,5483.16414255,256.01827,106.821475,105.219215,5682.36817617,252.94278,-8.37,-9.23131767109,33.871047561,55.755,0.03227,0.0401183554648,0.00930490397247,2.97597,-17.075,-19.1550878447,63.4042556429,52.065,127.67737,127.910656057,5405.74151653,258.95791,130.96593,130.96639683,5472.4422845,256.01827,47.01,45.6535342186,38.7550052601,54.702,9.786,9.77117160368,1493.15476315,335.853,-3.486,-8.04421552605,1885.57473767,254.523,13.217,18.3499611849,1688.40775808,307.996,18.017,16.2252461696,1047.35016232,188.228,-15.052,-9.05198672114,1262.4293427,351.585,-9.294,-8.65721144025,568.336439854,161.944,-16.184,-14.9030531154,423.654162297,163.801,2.482,2.84813789581,299.013571582,126.927,4.829,4.57508784474,388.553596209,150.995,8.3,8.81262819203,293.951240074,150.022,0.334,-0.906692543412,371.004611651,133.287,0.512,0.553157303371,0.135257789352,0.992,0.31,0.376017364658,0.0704373510774,0.992,0.543,0.560203268641,0.115045828958,0.99,0.134,0.17486721144,0.0201627157686,0.996,0.264,0.367006128703,0.0885161490942,0.993,0.162,0.246871297242,0.0552595646409,0.996,0.118,0.145770173647,0.0124952658724,0.994,0.298,0.406246169561,0.109627231535,0.995,0.177,0.22031154239,0.0261734994684,0.985,0.451,0.508551583248,0.116967991977,0.987,0.168,0.217673135853,0.0383031005143,0.986,0.284,0.413783452503,0.115393908163,0.995,4.0,9.0,0.0,250.781,261.04118,3.111,0.0,0.0,-6.19,119.336,0.945866108953
186.323645,185.741244961,11412.1255565,368.5887,186.815235,186.225090916,11471.6389712,370.56335,165.8572,169.505823077,12759.4113974,361.68636,-16.705,-16.7955469767,64.6276459557,58.026,0.03783,0.0570517116279,0.00425270571037,0.73307,-25.214,-25.2661069767,104.361605437,53.873,181.35057,184.229102456,10361.1139811,371.15478,186.81217,186.224666102,11486.6696629,371.041,38.593,38.9164586047,74.3968080306,54.87,24.412,18.9106427907,3606.5233778,423.303,-26.679,-37.1364344186,5171.21855157,369.604,-6.819,-6.61102790698,2201.87618355,537.002,7.408,9.16286790698,1039.86473774,199.402,-23.612,-17.1641395349,1010.96631246,264.69,-1.309,-2.27183813953,1375.34024456,253.813,2.146,1.25602046512,480.520354867,215.203,-4.979,-4.79450325581,419.18968009,129.86,3.566,3.55818139535,409.16735493,163.311,2.701,3.01675534884,361.118197861,188.512,8.055,7.63604651163,442.33115514,160.705,0.49,0.538873488372,0.14378248632,0.997,0.193,0.284693023256,0.0767036639048,0.998,0.234,0.301147906977,0.0693474190538,0.997,0.182,0.270904186047,0.0710837964011,0.998,0.112,0.181173023256,0.0423879495978,0.999,0.205,0.346535813953,0.121074529648,0.999,0.142,0.20243627907,0.0417138310559,0.998,0.363,0.462278139535,0.114639028685,0.994,0.169,0.263223255814,0.0733643055057,0.996,0.113,0.16064744186,0.0292497984935,0.999,0.18,0.284500465116,0.0891857346509,0.998,0.207,0.262309767442,0.0443372817186,0.998,3.0,5.0,0.0,365.157,383.242,2.537,0.0,0.0,-10.058,122.188,0.871638737636
105.624225,105.7449455,3750.17655441,210.37751,106.772625,106.849379628,3813.03495812,213.47605,98.55551,96.6949472727,3783.29417227,207.36504,-23.435,-23.3861856392,56.295277962,54.083,0.05195,0.0647828196147,0.00200877276455,0.35746,-30.271,-30.0245113835,59.1318395879,48.679,102.69401,103.549306602,3826.64490228,213.46821,106.77263,106.849435388,3805.1757414,213.47605,33.118,33.3922854641,54.1968445507,49.946,-78.506,-76.2272644483,1821.9537448,367.873,-46.004,-41.8888423818,1774.42594965,258.919,-28.851,-28.8070683012,1136.30843962,202.604,15.905,18.3459772329,1408.70415381,243.238,-15.082,-11.6653099825,519.13771289,142.398,-9.555,-10.0130805604,723.834773671,198.605,-9.643,-9.06701576182,355.05422598,151.185,6.322,5.63401576182,376.632841304,109.901,-6.232,-7.42280210158,287.618374656,160.293,0.221,-0.170681260946,248.655836539,98.74,11.089,11.7933502627,298.761940823,115.795,0.2,0.37365849387,0.129519366736,0.993,0.091,0.197520140105,0.061677811766,0.998,0.103,0.229579684764,0.0873582821792,0.998,0.226,0.353910683012,0.108348907959,0.997,0.065,0.137383537653,0.0376693012351,0.998,0.198,0.354882661996,0.127124576424,0.999,0.077,0.174217162872,0.0502758407562,0.999,0.106,0.258145359019,0.100209700412,0.995,0.123,0.223677758319,0.0730463725176,0.997,0.076,0.121661996497,0.0224386896065,0.998,0.212,0.376753064799,0.13850636109,0.998,0.079,0.153887915937,0.0467208771044,0.998,4.0,10.0,0.0,205.096,217.99138,0.445,0.0,0.0,-16.91,136.146,0.840837126807
139.6006,139.602521768,6528.22795198,278.96896,139.6006,139.602521768,6528.22795198,278.96896,136.906255,125.30171125,9548.43037375,270.09388,-12.212,-12.2515022279,40.2598893487,33.576,0.04252,0.0461225779758,0.000563702091699,0.28597,-24.702,-25.1606499045,37.8821229124,50.622,142.27982,141.633540344,6644.19720541,279.7629,139.975325,139.977487245,6528.29472557,279.71816,41.221,40.5677612985,25.1730871862,28.554,10.145,8.33389624443,2019.58170197,305.687,-52.541,-47.0676047104,5222.0302498,470.629,18.061,14.3016613622,1986.24820265,316.002,-16.206,-14.8786664545,748.243488103,201.954,12.015,16.2481043921,2437.27558987,311.591,18.934,24.9592832591,1277.23197949,216.315,-3.946,-5.10624252069,771.092672524,169.451,8.755,5.74626734564,826.558001076,198.487,-9.925,-11.2081610439,678.991343036,202.231,-6.083,-8.68032718014,561.494318714,153.944,6.817,6.43445257798,544.029601447,158.028,0.317,0.378348822406,0.0620092494241,0.991,0.453,0.516154042011,0.112540369651,0.98,0.206,0.270948440484,0.0495727898305,0.99,0.257,0.34170973902,0.0818650131388,0.993,0.333,0.373645448759,0.0502242797676,0.996,0.284,0.327052196053,0.050318311725,0.997,0.798,0.669201782304,0.107624688119,0.995,0.738,0.624868236792,0.0898588680618,0.998,0.799,0.663140674729,0.124307306118,0.999,0.441,0.52265436028,0.123643523436,0.998,0.295,0.326425843412,0.0386011802105,0.994,0.167,0.236615531509,0.0511218750993,0.997,1.0,1.0,0.0,264.568,279.95383,0.0,0.0,0.0,-8.096,66.673,0.838591952324
134.067055,134.0713897,5924.09216882,263.73575,136.06714,136.070842593,6073.83322539,269.05284,104.73255,114.400878,7061.40485176,263.40452,-12.012,-13.8511200361,73.0684564179,52.995,0.034315,0.0473038537906,0.00451156701231,1.39044,-24.1365,-25.3826606498,97.8694756033,50.339,141.66356,140.693906092,5824.38047631,271.03211,136.1505,136.154225377,6073.8875899,269.54919,42.7045,40.7830090253,68.3263725559,51.794,19.4515,23.6490460289,3029.90676749,360.718,-31.494,-31.432965704,3959.95572512,430.341,14.309,19.9954422383,3324.13007443,531.596,-5.159,-3.86053610108,1591.81378392,232.851,-2.885,4.41389350181,1779.17195813,312.782,13.7235,12.3419467509,673.391962982,178.53,-11.776,-11.2204521661,662.002620033,247.117,2.35,2.85954783394,438.968390717,136.87,-4.558,-5.25330415162,507.403409219,172.404,-0.2295,-0.999676895307,450.279360302,201.636,2.715,1.87265162455,318.216749778,133.443,0.356,0.473846570397,0.108781888012,0.992,0.5455,0.564129963899,0.121865224987,0.99,0.4635,0.534127256318,0.114392670629,0.99,0.336,0.450146209386,0.1132052205,0.994,0.289,0.391742779783,0.102384627881,0.997,0.2525,0.381344765343,0.106046456949,0.997,0.2395,0.329144404332,0.0764568780644,0.997,0.3805,0.496311371841,0.125771524889,0.991,0.2155,0.285820397112,0.0631871491507,0.997,0.193,0.262608303249,0.0589405938661,0.997,0.157,0.268747292419,0.0760384162833,0.998,0.1275,0.228768050542,0.0651263099179,1.0,4.0,0.0,0.0,256.859,273.21424,7.866,0.0,0.0,-8.642,89.976,0.817275032686
219.00028,219.007368667,15612.2401584,429.96572,220.80283,220.811290627,15926.7858274,436.47243,182.93611,197.128921176,15745.1602016,432.55195,-18.0075,-18.3440518602,56.8345200909,51.854,0.029045,0.0417005524239,0.00502827115821,2.58783,-27.7685,-28.0595997745,58.5659776572,50.954,228.815035,225.521081313,16526.9688968,439.38875,220.892865,220.901505285,15900.5575121,436.65629,37.2855,36.8351166855,50.0821851572,49.525,-37.3195,-42.7270163472,2239.89167216,362.298,-72.4165,-76.2109453213,4307.87407818,374.694,-12.89,-8.4021042841,1783.36532813,324.392,12.4345,12.6079768884,1431.52339313,278.99,-24.06,-16.4835947012,1492.00531593,272.104,-5.6495,-7.13313810598,808.999076731,224.894,-8.571,-9.46827057497,497.138323109,161.377,6.356,8.34748759865,477.171885396,172.258,3.6885,1.82743799324,432.985065177,133.432,1.3585,1.50278354002,338.834872251,167.97,-0.632,-0.333748590755,274.088368768,132.497,0.421,0.450950394589,0.0697158735258,0.986,0.3985,0.495308342728,0.13887119072,0.99,0.2585,0.360979143179,0.103459073409,0.994,0.088,0.179614994363,0.0438446843524,0.997,0.119,0.21792897407,0.0625137514378,0.998,0.0735,0.173336527621,0.0479538331979,0.998,0.1915,0.287393461105,0.0698807256844,0.994,0.12,0.221456595265,0.0616897960303,0.997,0.114,0.236700676437,0.0813138985678,0.999,0.206,0.306851183766,0.0918790376057,0.997,0.138,0.302422209696,0.106612202235,0.998,0.3035,0.463154453213,0.171857139617,0.999,4.0,11.0,0.0,429.296,442.5922,2.839,0.0,0.0,-12.195,83.161,0.806212527306
101.05407,101.053611519,3367.51321811,198.50171,102.01579,102.007572062,3453.81532562,202.95793,83.24994,69.16925,2962.98988089,143.68467,-8.824,-9.66359723965,21.4055270737,57.637,0.04308,0.0503540150565,0.000990676472462,0.21341,-17.079,-17.9090589711,35.0410046854,53.525,100.37098,101.138546399,3639.8144795,203.55392,101.85531,101.848537237,3459.25120499,203.58541,47.178,46.3300790464,21.9142693099,54.011,29.197,30.2027528231,1445.67561619,280.931,-4.181,-13.0942032622,3153.64163302,339.216,-10.925,-9.44399623588,1043.12627027,428.392,17.367,18.455055207,918.763737096,179.468,-9.952,-5.43103136763,1054.40682769,348.329,-6.305,-7.14042032622,599.487930618,150.91,-4.215,-3.88238644918,365.526581708,183.768,-2.777,-3.07738143036,384.125778826,144.212,-1.242,-2.17395984944,375.341407343,139.968,-0.407,-0.969312421581,237.25102167,134.565,7.823,7.6985621079,310.162916033,104.695,0.248,0.340168130489,0.0874805363495,0.991,0.378,0.47021706399,0.107652488642,0.991,0.313,0.434337515684,0.120628582445,0.992,0.139,0.202010037641,0.042027545696,0.995,0.273,0.408138017566,0.125304051215,0.993,0.135,0.183158092848,0.0321964016064,0.995,0.191,0.27338770389,0.0615815272265,0.995,0.132,0.181542032622,0.0267156033148,0.995,0.163,0.261476787955,0.0695041892354,0.996,0.298,0.377770388959,0.0786244679814,0.992,0.156,0.249271016311,0.0567566040909,0.996,0.2,0.346229611041,0.10704345167,0.994,4.0,2.0,1.0,203.192,205.97506,0.456,0.0,0.0,-6.797,94.313,0.781718591072
131.05042,131.012605864,5768.09541109,261.47914,132.473155,132.433048911,5839.46117647,264.32483,131.4571,128.267685455,7003.06487868,260.85386,-12.897,-12.7454405145,46.4542201586,58.678,0.03478,0.0513315862808,0.00266995103007,0.493,-20.827,-21.3291747053,55.668839694,53.369,129.28594,132.971695295,5907.28425162,264.73478,132.574845,132.534570452,5839.45853699,264.52832,43.065,42.8227663451,40.3901608136,53.374,-33.096,-36.461943194,2614.57425664,363.041,-20.183,-21.0370289389,3281.06801126,325.007,-4.679,-0.518873526259,2633.08641313,472.124,1.055,-0.043934619507,1030.01095339,224.082,-14.952,-10.4048145766,1167.19029581,297.753,-5.686,-7.34845766345,888.387949614,246.813,-12.597,-12.3031436227,666.329922605,217.51,-5.595,-5.76520150054,490.238947462,190.267,-5.539,-6.72985530547,458.683392134,163.194,7.023,6.12332475884,393.728882251,217.281,12.715,13.630130761,378.199865736,147.888,0.227,0.334345123258,0.0939106847485,0.997,0.326,0.447115755627,0.132673302785,0.999,0.227,0.343838156484,0.0918061420811,0.999,0.101,0.172670953912,0.0375632625754,1.0,0.193,0.326899249732,0.107793717609,0.999,0.165,0.231419078242,0.0512050901826,0.999,0.419,0.492946409432,0.136408288661,0.999,0.18,0.273375133976,0.0748972097568,0.999,0.115,0.183541264737,0.0419795258964,0.997,0.128,0.247508038585,0.0772410537939,0.998,0.109,0.194183279743,0.0478907499026,0.998,0.416,0.487687031083,0.13674491384,0.998,4.0,11.0,0.0,259.262,267.57179,0.966,0.0,0.0,-6.724,147.975,0.779988079392
153.87199,153.208417387,7747.08169173,303.13797,155.01893,154.351959888,7843.09022143,306.15886,140.423135,146.377220833,7720.04255175,299.94431,-16.712,-17.4434058885,74.0599263589,55.842,0.04494,0.0580315878023,0.00227049947876,0.47817,-25.143,-26.1202103049,64.6760700693,50.967,180.73846,168.222258528,7835.42244513,307.05084,155.115775,154.447612434,7842.95655795,306.34042,39.543,37.9762355415,58.9080502474,50.602,14.87,15.5670325973,2261.83719507,347.732,-29.102,-26.9745141956,2522.64207749,278.853,-9.447,-8.63254574132,2054.1321763,303.317,23.198,24.8199348055,1312.70930921,228.698,-12.607,-5.94948370137,1219.11662659,213.431,7.847,6.1270893796,719.526953118,203.777,-2.694,-2.89683491062,447.665851461,160.812,-12.918,-11.9187202944,496.681792307,144.829,-5.388,-6.27251735016,426.046289459,154.356,-3.365,-3.84611146162,340.87723694,131.293,8.221,6.49733964248,413.576865511,136.623,0.208,0.308767613039,0.0829654654495,0.996,0.33,0.451451104101,0.14399142742,0.995,0.139,0.25067192429,0.0750440669194,0.996,0.21,0.31283491062,0.0776966572881,0.999,0.205,0.346779179811,0.114864296139,0.997,0.088,0.15252891693,0.0303029578915,0.999,0.14,0.259121976866,0.0840439115149,0.999,0.149,0.254537329127,0.0739269804677,1.0,0.44,0.51503785489,0.144698473856,0.999,0.205,0.325826498423,0.104704717531,0.999,0.12,0.20781913775,0.0502395193393,0.999,0.148,0.269219768665,0.0836121336155,0.998,4.0,9.0,1.0,297.854,309.99465,0.0,0.0,0.0,-11.042,157.825,0.772652141261
127.09018,127.053721362,5343.20217115,252.76109,127.09018,127.053721362,5343.20217115,252.76109,112.36423,113.737693077,5216.39629859,235.8303,-17.56,-17.6502563758,35.740712247,55.622,0.03258,0.0503236510067,0.00244586404063,0.4796,-24.902,-25.0074738255,51.4116875379,51.069,129.21637,128.044640537,5128.92915757,253.59456,127.00465,126.967802464,5350.48659993,253.27685,38.417,38.5972147651,38.2850773042,53.078,-27.412,-22.6010765101,1768.47271522,330.475,-58.766,-45.5281637584,2671.94724237,295.075,-23.629,-21.4293422819,1676.79054888,416.266,9.274,7.83288993289,814.63109365,165.89,-25.74,-21.2599409396,742.188787229,170.426,-31.037,-29.8494872483,562.426793914,169.841,12.465,11.945790604,520.257308367,175.214,4.715,3.04859463087,328.055165481,124.196,8.153,8.79535302013,218.77482542,116.292,4.638,3.51432751678,233.206755914,94.316,7.344,4.91664697987,336.603899882,112.928,0.257,0.395970469799,0.105414799128,0.992,0.184,0.277782550336,0.0666018050646,0.995,0.12,0.179953020134,0.0351412796721,0.996,0.104,0.164555704698,0.0309353663601,0.996,0.339,0.448238926174,0.0971622221089,0.986,0.162,0.253037583893,0.0566256898626,0.996,0.151,0.319139597315,0.104007824808,0.994,0.217,0.324943624161,0.0822474438016,0.99,0.311,0.397493959732,0.0908963707689,0.984,0.444,0.518320805369,0.118409807151,0.991,0.153,0.192783892617,0.0192981881969,0.836,0.333,0.436681879195,0.0977646518193,0.994,1.0,9.0,1.0,248.169,260.20526,3.111,0.0,0.0,-12.658,116.722,0.748107855765
