barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
98.88522,99.2106294545,3255.9183743,193.78324,99.5992,99.9294301434,3352.02943864,199.52678,114.950835,100.21304,4881.31882123,184.81674,-6.5885,-7.26426638177,17.9700077025,58.486,0.05211,0.0707810826211,0.00414059370681,0.55922,-13.53,-14.4887606838,32.6780240595,55.107,94.701085,98.0939697293,3352.13283227,199.82857,99.5992,99.9291965509,3336.14974781,199.52678,50.0405,49.2291680912,19.8361570145,56.031,35.8255,32.7731410256,1348.4468971,345.581,44.3435,46.9681951567,1716.38373813,424.441,6.6465,7.24510683761,2314.31122239,511.979,-31.0155,-29.0370669516,1017.33545038,203.642,-7.228,-3.59864387464,925.339771674,326.535,12.704,10.7799017094,618.125850855,184.374,-1.2665,-0.0656111111111,348.915904124,187.034,27.486,29.0336623932,418.215834776,134.5,6.607,6.61991452991,223.465563996,124.257,-3.3625,-5.0777022792,388.586780776,171.828,3.4925,5.47038034188,372.830802951,136.221,0.444,0.483591168091,0.0838406376998,0.976,0.637,0.612284900285,0.122408101168,0.986,0.322,0.377108262108,0.0570188743192,0.992,0.4355,0.509276353276,0.116314772632,0.992,0.31,0.345458689459,0.0614459121111,0.994,0.34,0.449518518519,0.108587620027,0.992,0.194,0.30662962963,0.0841678514298,0.994,0.2505,0.331514245014,0.0779054976603,0.987,0.252,0.342866096866,0.0751339051469,0.994,0.1645,0.231323361823,0.0395555293403,0.988,0.2005,0.282455840456,0.0607028406425,0.996,0.1825,0.248944444444,0.0462370553181,0.994,5.0,1.0,1.0,201.404,201.40363,0.125,0.0,0.0,-4.895,84.017,0.831409885878
104.46654,104.069236796,3706.68294441,208.30525,105.79807,105.67896123,3730.92289505,210.96775,102.1319,97.69429625,4497.70005845,205.11489,-13.434,-15.8302031802,92.9065058439,57.856,0.05159,0.0733560070671,0.00739693385967,0.98175,-22.3125,-22.5626466431,106.885154971,53.878,89.25814,94.3954083216,3260.97673856,211.6312,105.963585,105.845651845,3730.91865254,211.30056,42.8615,40.8097650177,93.6430342646,55.019,-64.73,-68.5170547703,4687.99187287,388.633,6.152,1.17307420495,2319.32259682,253.996,-7.1715,-9.07312367491,1909.88206033,365.443,0.238,1.24177915194,1136.62322224,198.988,-17.713,-11.9259310954,872.127068707,190.55,9.3255,9.59676325088,743.674752174,160.575,-6.1565,-5.55527031802,563.92757896,233.684,5.834,4.62127738516,542.917315116,150.761,-2.663,-5.16176678445,353.580937401,180.212,-3.2735,-5.48037632509,414.350954938,150.791,-4.9635,-2.20390459364,387.101796867,106.929,0.0655,0.280978798587,0.141807709798,0.999,0.1455,0.22243639576,0.0546817406541,0.998,0.563,0.585190812721,0.139129034262,0.981,0.063,0.108568904594,0.0173438424253,0.995,0.058,0.163729681979,0.0576418332886,0.999,0.058,0.11772614841,0.0255417288922,0.998,0.1835,0.342118374558,0.126973680334,0.997,0.1875,0.352604240283,0.120280578357,0.993,0.061,0.115985865724,0.0243434697649,0.997,0.1185,0.228164310954,0.072706783956,0.996,0.036,0.0876272084806,0.0171299228639,0.999,0.051,0.139505300353,0.0455561969684,0.999,3.0,7.0,1.0,209.816,224.9922,0.403,0.0,0.0,-8.662,89.938,0.829870506107
197.390885,196.287345806,12739.9492434,388.86245,196.62285,196.366164043,12775.0422674,391.52463,156.83608,161.762817647,13302.7439101,385.31094,-23.933,-23.2653590392,62.7234150696,32.242,0.07397,0.12278312263,0.0219215048182,1.19275,-28.519,-28.4814968394,47.384333542,47.136,210.75814,210.0978678,11343.6612203,392.60576,196.60754,196.366202784,12792.1142749,392.06447,34.139,34.1160771176,51.3222142987,31.827,-21.003,-20.493159292,2752.74592504,315.732,46.123,53.697182048,3972.99038941,372.719,-13.616,-11.0131491783,1698.31335692,409.758,2.881,2.66712642225,1392.07296078,213.344,-8.149,-4.12904677623,473.070654416,146.323,-48.369,-48.0391276865,1041.37949183,215.861,-7.233,-6.80718457649,271.094604702,131.311,-4.014,-2.58051327434,505.666502389,148.041,-5.444,-5.70468773704,188.458772885,130.896,5.394,2.54858786346,281.159920591,123.256,4.081,2.99772566372,537.475040599,150.343,0.063,0.174844500632,0.0675674739236,0.998,0.043,0.0884728192162,0.0228673036228,0.997,0.073,0.145605562579,0.0384727192611,0.995,0.556,0.585871049305,0.125465538365,0.995,0.09,0.145613147914,0.0287907732279,0.998,0.279,0.423887484197,0.139015844483,0.996,0.057,0.119728192162,0.0303844507728,0.996,0.081,0.211278128951,0.0786668809249,0.997,0.116,0.295145385588,0.121915818307,0.998,0.071,0.128666245259,0.0285144246381,0.997,0.356,0.460211125158,0.119729822683,0.993,0.058,0.106634639697,0.0206162976117,0.996,4.0,3.0,1.0,396.277,396.2771,2.873,0.0,0.0,-16.453,114.834,0.772860715017
123.165305,123.510481271,5069.36053819,247.24565,125.254285,125.365396381,5246.7324645,250.73442,60.61587,88.8814055556,6357.53183235,246.21102,-7.104,-7.90751294498,13.6214029327,56.881,0.06099,0.0877722006472,0.00762870111037,0.81816,-12.7045,-14.0774805825,35.3501990846,54.143,118.201,118.243928123,4760.58432449,251.13914,125.26301,125.364747331,5232.20291389,250.73442,50.2755,49.2250048544,18.5255021472,55.266,21.225,17.0378608414,1471.00636484,274.086,19.3005,16.7861521036,1587.14268476,325.623,-11.6465,-12.0432799353,1353.83520516,386.947,-7.164,-4.80708090615,640.716821925,172.314,-17.336,-11.595038835,787.641851063,331.429,14.6495,15.6405,643.750717056,199.05,2.7525,2.38048220065,470.124911512,228.051,-23.449,-23.226881877,303.828570988,115.103,-5.8315,-7.32881391586,286.171509012,163.092,-4.3245,-5.06914239482,197.234076724,114.661,-7.204,-8.54184466019,338.128634584,126.348,0.116,0.221970873786,0.0623076981808,0.995,0.1735,0.340368932039,0.118154977158,0.993,0.1035,0.174663430421,0.0358672912517,0.991,0.151,0.256161812298,0.0761666275385,0.995,0.2,0.334239482201,0.108219127114,0.993,0.174,0.240611650485,0.0460652698966,0.994,0.1795,0.359653721683,0.131473048376,0.999,0.1295,0.202237864078,0.0454807735178,0.999,0.167,0.325223300971,0.115857704182,0.995,0.149,0.298438511327,0.112340087643,0.994,0.123,0.218797734628,0.0584213781826,0.998,0.128,0.229579288026,0.0689106579529,0.996,3.0,4.0,1.0,245.998,256.15628,0.972,0.0,0.0,-6.261,85.614,0.760787236805
122.92995,123.94475314,4963.69444426,241.0744,126.53593,126.621711898,5065.89549991,245.93602,101.292075,112.883399,6947.58784664,240.53183,-12.044,-14.6951494058,67.4619268673,54.603,0.06533,0.102023786078,0.0324574164629,3.09986,-19.965,-20.4192088285,75.8685426881,54.074,116.45057,116.360392224,4250.66764259,249.09506,126.35519,126.447284802,5066.15813524,246.28538,44.283,42.5734567063,68.8873275452,54.626,-26.01,-42.6515297114,4673.27415241,407.001,24.257,22.0187368421,1245.37122539,275.492,-14.978,-16.9371001698,1374.39892422,549.029,8.327,7.09767232598,925.803770624,203.372,-14.857,-12.0364685908,509.836089553,264.688,-5.777,-4.74513582343,495.96750042,148.291,0.039,-0.763850594228,532.719831234,194.001,-1.237,-1.54023938879,564.354483024,128.299,-4.277,-6.06511205433,363.760363461,117.617,-2.595,-3.29516468591,270.735739051,186.647,-5.695,-5.76255687606,340.040345534,134.346,0.318,0.4520237691,0.120761164121,0.988,0.177,0.299541595925,0.0843356913937,0.99,0.082,0.124448217317,0.017374899271,0.996,0.112,0.231928692699,0.0855163854076,0.995,0.12,0.184392190153,0.0378283130799,0.997,0.48,0.535991511036,0.125985685836,0.987,0.121,0.220660441426,0.0634437522721,0.996,0.17,0.270130730051,0.0724858963222,0.996,0.185,0.312996604414,0.103123667221,0.989,0.094,0.152726655348,0.0297209524474,0.996,0.171,0.296954159593,0.0938261218375,0.997,0.122,0.197018675722,0.0462722628091,0.994,4.0,5.0,0.0,240.541,254.82404,6.995,0.0,0.0,-9.052,85.413,0.760691022923
227.68061,227.691255439,17269.9595939,453.33721,228.394965,228.405451729,17415.0575087,456.67928,184.118165,202.86255375,16595.5057203,427.68737,-7.9825,-9.56519674086,45.6694804434,54.587,0.02772,0.0313161287758,0.000569444061643,0.31231,-27.5155,-28.1328497615,87.4671619003,54.214,232.745195,230.770391343,17491.9920766,456.95864,228.51373,228.52450337,17415.0685225,456.91733,42.124,41.291317965,37.2587453305,52.067,-1.451,-11.517622814,5556.67032199,520.037,-52.373,-50.2886967409,4806.27721624,463.275,66.8615,77.9302118442,6174.63628386,633.777,18.5595,19.7695842607,1740.47201886,263.602,0.587,7.62012718601,2814.96044048,377.119,0.5215,1.03553696343,754.202626284,181.199,2.8865,0.589141891892,1092.34456688,229.793,-9.1125,-8.85609936407,221.588748755,133.206,15.0675,13.3423052464,833.251371749,198.61,16.009,12.9611828299,740.177904295,254.138,2.1185,2.68159499205,182.94430046,110.115,0.7735,0.666264705882,0.115951446624,0.991,0.473,0.500288155803,0.0946448847723,0.976,0.302,0.350399046105,0.0621866738306,0.993,0.283,0.334761128776,0.0622944695701,0.989,0.3115,0.415891891892,0.101196485133,0.996,0.357,0.42644554849,0.104037565,0.997,0.336,0.432752384738,0.10733524592,0.995,0.484,0.530206279809,0.116600625573,0.989,0.2155,0.302028219396,0.0692256395057,0.995,0.249,0.327873608903,0.0740525849792,0.995,0.218,0.34420190779,0.0977730554177,0.996,0.358,0.37156518283,0.0681490088673,0.997,4.0,4.0,0.0,451.379,457.1424,0.0,0.0,0.0,-6.18,126.004,0.755330911902
126.1907,125.430096923,5103.39213369,245.68232,127.04739,126.269771417,5243.92448373,250.82136,127.90729,110.788395714,7576.35492712,235.32507,-3.864,-5.70418416206,43.8448532994,55.441,0.04307,0.0914404972376,0.0226998707406,1.44437,-7.435,-10.3334714549,82.4779398919,55.166,131.07365,121.180619595,4646.55044496,251.32921,127.04739,126.270236034,5235.07393706,250.82136,54.065,51.753878453,55.4786431639,53.581,31.325,26.2501583794,1565.93502833,272.602,38.493,35.6819742173,374.384563005,158.922,-5.821,-1.76959300184,761.352981512,211.627,0.031,-0.601784530387,436.15252341,171.485,-29.28,-23.7985138122,891.062475837,184.979,7.563,7.98295211786,272.410874657,138.717,-1.368,-1.80589686924,213.484870921,150.666,6.43,7.01029650092,269.337200382,100.407,4.265,3.55957826888,178.067136439,92.106,-2.982,-2.68568139963,71.2841872079,58.633,-2.69,-2.68203499079,165.580789117,71.176,0.45,0.500090239411,0.094694627216,0.988,0.512,0.547432780847,0.0871706248554,0.984,0.501,0.550454880295,0.0903700490692,0.955,0.311,0.362510128913,0.0521796679453,0.977,0.337,0.41044014733,0.0747570235816,0.989,0.279,0.329278084715,0.0609870294829,0.983,0.431,0.470561694291,0.0829729938918,0.978,0.311,0.38061694291,0.0779869508732,0.985,0.287,0.344872928177,0.0614405308141,0.987,0.368,0.418379373849,0.0705855945654,0.983,0.235,0.285946593002,0.0419958332435,0.986,0.366,0.449819521179,0.094501090816,0.975,5.0,2.0,1.0,227.875,256.522,3.68,0.0,0.0,-4.044,140.214,0.749460059691
118.329165,118.165021866,4656.91359289,235.43114,119.22056,119.051607124,4710.27195248,238.16027,97.43782,104.739826667,4988.13735888,227.48277,-18.511,-20.6276671756,91.50812999,54.266,0.05376,0.0688365954198,0.00247729702154,0.40761,-28.167,-28.9358137405,101.06591613,48.076,120.30181,119.714558672,4197.33428603,238.60531,119.32937,119.16232179,4710.32606271,238.37785,37.18,35.3792946565,87.4489758506,49.208,23.841,19.9952030534,3617.41377129,433.364,1.968,12.2250290076,3980.21275164,380.72,-5.637,-6.62981374046,2577.9296429,404.546,7.282,9.91841679389,1574.31221081,222.671,-3.331,2.99418473282,1146.83814265,211.102,-6.738,-13.6077343511,1584.96067115,230.462,-2.572,-1.80220916031,587.386396434,238.417,-9.386,-8.9937221374,801.265681379,195.256,-3.541,-2.85840305344,387.635857804,170.553,-1.62,-3.09111145038,494.023539119,230.001,8.324,6.68924274809,567.225752413,156.105,0.075,0.170916030534,0.0597667273003,0.999,0.07,0.23612519084,0.104589892724,0.998,0.12,0.184346564885,0.0411722539386,0.996,0.246,0.407334351145,0.1447926134,0.998,0.088,0.160415267176,0.0399828535074,0.998,0.109,0.296512977099,0.122209113954,0.997,0.087,0.162622900763,0.0426780761168,0.999,0.155,0.284473282443,0.0909363653167,0.996,0.185,0.351764885496,0.127285358462,0.998,0.105,0.175538931298,0.0414165599347,0.998,0.219,0.394690076336,0.139070161963,0.994,0.071,0.128961832061,0.0273818473982,0.998,4.0,8.0,1.0,225.263,238.8371,0.229,0.0,0.0,-13.926,135.766,0.746459891932
130.969755,130.68912734,5674.52439607,258.04671,133.06384,132.76186853,5824.30416581,263.58282,91.30074,114.539233333,7762.15964339,257.74452,-7.908,-10.2223015521,48.1389440931,57.371,0.03121,0.0463403215078,0.0022177203499,0.55719,-13.1055,-16.091786031,64.2100956804,54.24,125.338455,128.43886449,5755.32186887,264.36204,133.179375,132.87692458,5834.3932303,264.2842,49.352,46.8274235033,53.0684758406,54.691,29.4225,13.8474933481,2321.19357992,341.515,40.342,33.9856053215,1051.12086372,218.869,3.62,2.4447383592,823.774758787,278.865,-2.583,-7.22894013304,719.508860025,187.04,-23.0325,-17.9773625277,607.662609621,190.41,-4.83,-4.79346008869,447.397114838,143.023,-3.873,-4.94402439024,322.492023088,174.693,7.9325,7.31329046563,215.682926328,98.618,1.8955,1.6223248337,179.162664133,132.028,2.0195,2.27391019956,165.544203284,100.324,1.0,0.25817405765,263.45493874,105.331,0.6085,0.61288248337,0.1259228465,0.996,0.3235,0.370574279379,0.052007217875,0.984,0.315,0.409368070953,0.084209445455,0.99,0.146,0.198197339246,0.0302092803477,0.989,0.1855,0.247640798226,0.0459822634353,0.996,0.238,0.379639689579,0.12249079368,0.998,0.167,0.221754988914,0.0377628013886,0.996,0.337,0.421362527716,0.0974026590393,0.996,0.1565,0.217460088692,0.0374374501809,0.993,0.2995,0.369923503326,0.0763050129953,0.995,0.2835,0.39510421286,0.118148146568,0.997,0.385,0.406533259424,0.0616782688495,0.997,4.0,2.0,0.0,252.523,268.5122,0.252,0.0,0.0,-6.647,86.282,0.743112279867
101.187315,101.358039828,3397.57112065,198.49007,103.180025,103.345790652,3533.59211013,205.37076,96.94089,87.0990542857,4061.22458436,200.5921,-7.1165,-8.85656268657,34.2608817058,58.571,0.04489,0.0603893731343,0.00314894664408,0.65598,-16.641,-17.6614074627,63.2092167907,55.05,93.42914,96.6094799254,3326.03002718,206.44671,103.18127,103.345709192,3542.14565182,205.87181,48.1915,46.885158209,39.9962579839,56.005,-23.6845,-23.8947701493,4157.52872989,556.983,19.498,14.520280597,2689.88475249,383.915,-0.6475,1.32305373134,2012.97513142,391.315,-19.7655,-15.3813850746,1072.96445452,229.619,-7.4515,-1.39504029851,1175.64353896,226.399,7.5045,6.17271343284,724.723865584,207.617,6.3915,6.53790447761,658.894720937,232.252,-0.691,-0.549268656716,431.408744683,123.174,-0.4645,-2.27464179104,548.151251719,159.748,1.2715,-0.319256716418,401.557173567,187.92,2.6895,2.45955671642,322.073056336,115.504,0.222,0.31267761194,0.0621699169615,0.975,0.2995,0.429576119403,0.120978888982,0.99,0.18,0.253207462687,0.0427635584518,0.991,0.26,0.419237313433,0.136080578011,0.993,0.225,0.283217910448,0.0586861734106,0.986,0.2615,0.370943283582,0.10224447738,0.989,0.1675,0.269752238806,0.0702941774204,0.993,0.1325,0.245897014925,0.0673752267075,0.995,0.1835,0.331097014925,0.10619257417,0.991,0.175,0.252037313433,0.0572112777122,0.994,0.3615,0.472802985075,0.128212534319,0.992,0.1665,0.24876119403,0.054063593718,0.995,7.0,10.0,0.0,194.717,209.57995,0.246,0.0,0.0,-5.64,120.433,0.740537029419
