barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
84.69598,84.7738356627,2384.41808283,167.43753,85.96418,86.048825119,2442.51014747,170.97889,34.506635,62.5073116667,3931.19533124,156.63224,-9.139,-9.85031825796,26.4473881969,57.312,0.05333,0.0655962479062,0.00301269373467,0.63042,-15.139,-17.0501356784,55.2491718225,53.075,86.0683,87.6701645059,2365.96029987,171.57483,85.83936,85.9212274405,2442.57309679,171.23432,47.703,46.589758794,32.0950667592,55.609,-20.823,-15.0206281407,2553.982411,373.608,-19.987,-31.2307855946,2490.73424879,364.078,-20.19,-20.6210586265,1271.07152036,455.589,-14.172,-12.4851340034,792.458869195,216.243,-20.053,-14.7737252931,809.619647281,207.317,11.45,9.01603685092,395.088430893,154.742,11.206,12.6574840871,599.705106591,229.176,7.704,11.5772747069,487.585440377,157.378,3.355,1.77309045226,486.342445164,151.162,-5.369,-6.48019765494,278.858959582,221.46,2.449,3.66469179229,158.192327024,87.955,0.669,0.62461641541,0.112974169446,0.99,0.352,0.3932680067,0.0615275898139,0.993,0.205,0.304415410385,0.085289740332,0.995,0.172,0.197639865997,0.0233566960991,0.995,0.149,0.194063651591,0.0283382070038,0.992,0.212,0.299077051926,0.0705215619022,0.985,0.207,0.276425460637,0.0511321539916,0.983,0.284,0.456125628141,0.153528944017,0.991,0.141,0.22186599665,0.0485216269342,0.99,0.167,0.249872696817,0.0545084494555,0.989,0.169,0.354840871022,0.133389755247,0.991,0.473,0.456648241206,0.0909688812909,0.991,4.0,0.0,1.0,170.887,174.52363,0.967,0.0,0.0,-7.371,117.749,0.837114556815
115.303005,118.765298793,4912.71115128,242.09682,126.66132,126.165242167,5269.20521711,251.40167,120.64529,117.357694167,5480.99670063,231.73971,-21.366,-20.8056591928,43.1012890827,52.356,0.08118,0.125796606876,0.0181524052242,1.69712,-25.229,-24.7787443946,40.6271078913,50.181,124.81011,123.96982438,4918.07308466,252.49642,126.43262,125.970235929,5269.1349608,251.78932,36.422,37.0021434978,39.7159330766,49.568,21.377,20.5451704036,2016.24444082,293.872,58.824,64.9009387145,2120.28441669,402.481,-9.786,-5.35834977578,1019.79784827,314.269,-18.93,-17.327612855,1000.89193273,183.533,-17.481,-15.5079671151,236.282828675,119.562,-14.818,-10.7261958146,1094.51925502,235.983,-1.267,-1.97552167414,299.703238803,131.897,18.408,19.0416681614,330.405363145,144.861,4.75,4.62198056801,146.413789137,129.79,-0.936,-3.16980119581,190.677610306,86.744,2.75,4.4788445441,516.050278164,173.471,0.104,0.184038863976,0.0393711614193,0.991,0.151,0.289523168909,0.100209358581,0.994,0.097,0.149801195815,0.0237304193708,0.997,0.239,0.438319880419,0.163039858813,0.997,0.077,0.134905829596,0.0240750030901,0.999,0.108,0.17530044843,0.0414230861134,0.998,0.158,0.323437967115,0.114923746899,0.999,0.08,0.131125560538,0.0232309887189,0.995,0.104,0.292303437967,0.115656366819,0.991,0.084,0.142517189836,0.0218780703323,0.92,0.309,0.437904334828,0.124270660504,0.998,0.092,0.25080568012,0.1030610594,0.999,5.0,3.0,0.0,240.686,259.082,0.39,0.0,0.0,-14.661,76.274,0.826482803776
108.445635,106.224219712,3830.91628086,209.98492,106.98947,107.144186254,3776.27027306,213.16696,115.14185,109.584610833,3517.33311628,204.52465,-22.623,-24.0900584192,59.8487818179,51.247,0.075425,0.121480738832,0.0219380479216,1.98269,-28.5345,-28.6593195876,68.1258849975,47.802,108.16424,109.856317715,3605.25020172,214.29361,106.98947,107.144186254,3776.27027306,213.16696,33.7295,33.3167817869,60.6072361362,48.799,-31.59,-33.2519501718,2456.93386583,329.415,78.3195,75.967766323,2787.96389594,282.403,-0.3925,-1.69418556701,1415.49648826,254.795,15.3925,16.9414158076,1378.85219252,201.583,-16.715,-14.7421237113,273.695015937,126.93,-15.107,-19.6656769759,1716.27872698,257.372,-3.3665,-4.33826460481,319.349300421,137.758,19.7975,20.6465618557,792.7826135,181.621,0.545,0.440518900344,174.799864696,89.356,4.5,2.02275257732,306.971959564,113.313,14.1245,20.4256735395,1044.53222871,166.921,0.133,0.216656357388,0.056057149951,0.992,0.264,0.401048109966,0.119055619679,0.99,0.135,0.283570446735,0.0994609976146,0.995,0.065,0.128735395189,0.0318345932145,0.998,0.05,0.107632302405,0.0261034558638,0.999,0.0915,0.131615120275,0.0197095150978,0.998,0.214,0.369175257732,0.120283594714,0.997,0.143,0.37845532646,0.157691282369,0.995,0.122,0.188865979381,0.0425121744783,0.994,0.074,0.146731958763,0.042613921281,0.996,0.116,0.245867697595,0.0932789017401,0.997,0.095,0.233558419244,0.0875214115356,0.997,3.0,7.0,1.0,198.362,220.1073,2.136,0.0,0.0,-17.798,93.821,0.786533714905
91.686285,91.9196786538,2839.03309096,182.21298,95.06909,94.7297632093,2925.78476836,187.40206,80.38034,89.35225,3673.89124877,182.68486,-18.4555,-19.7471904762,47.3247846105,50.909,0.059215,0.0942807539683,0.0100383011768,0.68507,-23.6565,-25.2761785714,47.5668388213,46.819,91.127165,90.7245657341,2733.23529567,188.00785,95.06909,94.7314381352,2912.05933788,187.40206,39.161,37.4421051587,44.4341228679,47.411,-45.8755,-43.5338333333,2032.67983393,350.338,39.613,33.3398730159,2201.66541226,238.111,-9.1005,-7.26692261905,1083.81679106,236.547,13.474,13.3558511905,811.146098444,172.165,-19.2005,-13.7971527778,509.347227288,125.328,-3.3475,-4.36770833333,993.683698917,199.32,-5.194,-6.62045833333,338.796072038,160.279,13.1785,12.4423055556,436.120041034,134.078,-0.856,-3.15359126984,257.565664646,119.352,4.248,1.76759126984,210.986387373,102.701,9.711,10.7704166667,527.945776541,136.717,0.163,0.28231547619,0.0850178548399,0.997,0.1345,0.207813492063,0.0464583699767,0.99,0.2375,0.40158531746,0.13193329034,0.993,0.0835,0.120091269841,0.0133369361143,0.755,0.218,0.322646825397,0.086866974474,0.998,0.0955,0.148450396825,0.020207489603,0.769,0.276,0.395609126984,0.112073416663,0.996,0.2245,0.380307539683,0.125904554229,0.996,0.097,0.165152777778,0.0351444984843,0.995,0.3405,0.452619047619,0.125189100907,0.994,0.079,0.160299603175,0.0434852177776,0.995,0.2265,0.375952380952,0.130619577098,0.998,4.0,7.0,1.0,179.194,193.4624,0.28,0.0,0.0,-15.154,68.859,0.780177673809
218.36052,217.588007716,15509.0668375,430.90999,218.11263,217.933324073,15579.0388488,433.43051,242.103535,234.25356,16179.8565509,426.80553,-26.588,-27.6804800759,79.1081530219,52.582,0.06011,0.0777319544592,0.00495961488498,0.97937,-34.5955,-35.3239136622,90.0370601776,49.058,214.452835,223.351587249,13581.2823586,433.87215,217.988685,217.809209725,15579.2427026,433.67751,29.6555,28.3473330171,76.7133526548,48.25,-101.1315,-92.712085389,4213.06893089,405.745,-45.8455,-53.607398482,5523.10779395,375.587,-29.0535,-31.4856024668,2872.69805926,583.257,-19.911,-19.3887476281,2183.80274266,360.338,-17.2565,-11.3999705882,1269.52689381,354.804,3.5445,2.7174373814,1011.60221989,209.727,8.424,8.39832258065,746.12126375,255.272,2.767,2.83407874763,911.49276772,212.098,3.661,3.60039753321,457.814114784,198.619,-5.934,-7.82342220114,409.376638845,178.359,5.335,5.4255313093,479.515087243,159.247,0.119,0.265454459203,0.0957310050418,0.999,0.1605,0.31009772296,0.107885266541,0.999,0.222,0.326614800759,0.0989110964033,0.998,0.053,0.10865654649,0.0227614399144,0.999,0.048,0.0977466793169,0.017088141711,0.999,0.148,0.302225806452,0.110951322825,0.999,0.132,0.186925996205,0.0377051596088,0.999,0.2585,0.448929791271,0.178736158259,0.999,0.096,0.170648956357,0.042887313201,0.998,0.1475,0.224689753321,0.0525674132347,0.997,0.3415,0.464845351044,0.153236238892,0.999,0.083,0.164347248577,0.0502605625304,0.998,3.0,5.0,1.0,439.144,439.14404,0.351,0.0,0.0,-20.695,120.649,0.758954661461
209.04241,209.333391148,14637.881273,417.99581,209.90232,210.19427666,14729.1186596,420.80523,255.74261,250.827455,14139.8130961,413.80658,-11.661,-12.7533468885,41.0895721896,38.07,0.0292,0.0422302649415,0.00238959159174,0.89558,-22.877,-23.4567270487,46.7033693383,51.34,202.1644,198.920529932,14442.9264741,421.23211,210.009495,210.301868218,14729.2118881,421.05988,42.985,41.9885810228,31.6710764172,33.761,-41.747,-50.0640850277,3800.05201651,434.548,1.388,-1.19236290819,3169.08108656,379.911,25.623,28.4575964264,2931.31687005,683.056,-35.262,-36.384181146,1539.33066867,275.167,-14.223,-7.96078126925,1445.38167878,391.752,22.289,21.4630061614,894.593286099,201.77,-12.579,-12.8551447936,706.119898208,222.862,-1.931,-2.48148983364,405.947880564,184.167,-3.393,-4.82687615527,475.861748436,205.817,6.215,6.56594085028,407.820000555,148.544,-0.646,0.907827479975,307.875149045,150.701,0.563,0.548306223044,0.115713935186,0.991,0.289,0.410945163278,0.11267779305,0.994,0.241,0.347665434381,0.0981727167781,0.994,0.128,0.197624768946,0.0372277550735,0.995,0.257,0.390060382009,0.110487516995,0.994,0.131,0.211975970425,0.0507059569087,0.995,0.128,0.189382008626,0.0328301362629,0.996,0.171,0.265900184843,0.0732545199199,0.996,0.185,0.277585335798,0.0678348995262,0.996,0.413,0.477609981516,0.130708516401,0.994,0.156,0.258334565619,0.0728254352008,0.995,0.338,0.424043746149,0.115963286441,0.999,4.0,9.0,0.0,421.123,431.28118,0.0,0.0,0.0,-8.225,139.407,0.752022993316
212.93175,213.012181111,14989.2600143,420.18473,212.584745,212.750157968,15350.5997485,426.10381,123.10894,172.0269525,19955.9344456,402.30245,-11.7945,-14.0291186131,69.7238109999,57.265,0.04778,0.0563158029197,0.00167267801438,1.17645,-27.2495,-28.2301368613,96.1047074904,51.445,210.381815,212.664133108,15193.4781724,427.52417,212.7582,212.922395903,15351.0816374,426.44862,40.6675,39.5540158151,57.1886984377,52.822,16.714,7.14955352798,3763.21569407,374.234,-14.3675,-16.3326684915,3826.46206146,441.902,7.3255,12.8214069343,4496.00348187,459.889,-0.7645,-1.78766970803,1252.33227805,222.139,13.5115,24.7351259124,2640.53760325,402.73,-5.364,-6.02302676399,777.039128588,195.117,2.385,3.84736557178,1066.0221921,230.058,-2.641,-4.66213017032,536.149221859,171.201,-2.9895,-2.6301946472,659.194223645,206.793,-1.4745,-3.43063199513,708.539242587,207.072,7.1005,6.46478163017,382.192842728,161.59,0.479,0.527746350365,0.112642773253,0.984,0.28,0.36852189781,0.0851720731215,0.986,0.177,0.276305961071,0.061877147872,0.99,0.2275,0.342986618005,0.0938057820594,0.992,0.25,0.332239659367,0.0646073428067,0.983,0.443,0.507504257908,0.125936776746,0.988,0.194,0.272487226277,0.0541779967955,0.994,0.2185,0.317400243309,0.0740099480778,0.986,0.231,0.367489659367,0.109382681767,0.996,0.214,0.304874695864,0.0686016984108,0.992,0.197,0.334797445255,0.104319016757,0.997,0.224,0.285358272506,0.0521044890374,0.997,4.0,5.0,0.0,418.191,430.68036,3.802,0.0,0.0,-9.28,86.504,0.750243053342
227.46924,223.133287619,14159.7846762,423.67791,214.54259,214.635656274,15450.1752676,431.42638,209.03309,206.095317333,17614.1562992,422.18316,-17.518,-18.6262935906,62.703817543,54.473,0.03561,0.0483285389387,0.00397452876285,1.88941,-29.492,-30.2941998622,56.5278207485,48.151,218.50825,220.14928213,13363.8978234,432.20717,214.693555,214.789326286,15428.3076526,431.77214,36.768,35.7368676775,43.9260351348,49.439,-26.465,-35.2237422467,6381.85175295,480.798,-27.96,-22.2936085458,3806.39368513,404.445,14.958,19.4423962784,4470.27637949,498.533,-15.927,-13.0634817367,1446.76478062,269.004,-8.467,1.49617367333,2382.81046735,290.518,17.57,18.1531274983,883.933925909,169.918,-1.344,-3.38709028256,906.953487262,204.292,1.695,1.03203239145,396.077008922,164.6,4.764,3.49472639559,459.905076135,185.528,-2.583,-3.78048035837,572.037287004,183.038,-1.252,-1.19248311509,362.834115448,130.396,0.3,0.403761543763,0.10727262267,0.999,0.278,0.360375603032,0.0906287100595,0.999,0.238,0.32516884907,0.0874195559145,0.999,0.158,0.236260509993,0.051435367007,0.999,0.222,0.350134390076,0.101907285178,0.997,0.202,0.303157133012,0.082892070416,0.999,0.203,0.282972432805,0.0708534037886,0.999,0.194,0.350039972433,0.117001385032,0.998,0.219,0.327479669194,0.0874653660581,0.997,0.68,0.612252929014,0.144851031134,0.993,0.192,0.259067539628,0.0532903675955,0.998,0.138,0.257748449345,0.0783846086726,0.999,4.0,9.0,0.0,418.458,437.26322,0.857,0.0,0.0,-12.512,64.863,0.746105644618
103.92891,103.768430472,3610.18109618,206.67429,104.95847,104.793144412,3638.89646497,208.73792,105.03371,103.7308,4579.71258364,205.41066,-6.157,-8.0643437014,28.0442430903,58.808,0.03755,0.0633735147745,0.00545674072171,0.68492,-13.178,-14.808496112,55.3374876341,55.889,94.32753,100.634722488,3172.11945732,209.35415,104.96003,104.793092752,3646.05486256,209.14418,50.116,48.6427496112,35.1438396092,56.327,6.581,3.14486314152,2584.66135975,422.967,16.786,15.0758600311,2208.79646056,290.484,-3.759,-4.95773872473,1152.6388088,332.159,6.669,7.97679471229,757.648701532,179.269,-19.071,-14.674311042,669.346782668,190.924,-16.158,-16.6518880249,640.670332821,156.785,-6.841,-8.28215863142,534.408903319,204.779,6.189,4.12006531882,361.179572951,133.687,1.276,0.485707620529,397.76142654,194.062,1.111,1.99343545879,255.176294364,136.35,0.978,0.767617418351,314.936593032,110.372,0.207,0.281687402799,0.0581779878195,0.99,0.443,0.509458786936,0.113315324507,0.991,0.187,0.219222395023,0.0244433891097,0.993,0.167,0.268710730949,0.0715031231663,0.994,0.131,0.193304821151,0.0367161839114,0.993,0.262,0.332709175739,0.069017565499,0.99,0.47,0.519390357698,0.118224807185,0.987,0.307,0.353914463453,0.0726987998375,0.994,0.494,0.536059097978,0.118196599929,0.985,0.205,0.263713841369,0.0438625713014,0.993,0.243,0.355055987558,0.0986693219043,0.991,0.214,0.322262830482,0.0896010739995,0.998,4.0,6.0,1.0,205.253,217.39057,2.043,0.0,0.0,-5.219,146.857,0.745642317487
209.643455,209.746791327,14666.736781,417.70496,210.350125,210.443755309,14732.397105,420.13495,211.54486,189.013915385,14674.7837966,405.24325,-15.112,-16.0805233093,50.8489352173,38.25,0.04689,0.05230109652,0.00114432858954,0.57975,-27.889,-28.2217294813,52.4040812335,49.325,197.73696,201.786613795,15167.8724089,420.89039,210.34717,210.44363296,14716.1383474,420.13495,38.973,38.1038890348,39.6626519043,49.36,-27.925,-33.995212738,4560.59673091,471.498,-31.927,-32.3041135916,3061.99916171,381.875,8.471,9.95049573211,2930.13462683,369.365,-13.579,-14.0830531845,1157.95102344,289.481,0.115,12.7522718319,2780.11017698,325.075,24.992,24.8750275772,903.515493483,233.174,-1.425,-1.85134471438,953.89687386,216.907,5.13,5.40903742613,512.679465025,188.011,1.652,0.408173998687,527.586931147,180.148,-6.85,-7.89861917269,524.245826194,184.8,4.592,4.66696388707,248.923329168,119.649,0.279,0.386428102429,0.109616369585,0.998,0.163,0.300562048588,0.106082813451,0.998,0.091,0.199588312541,0.0641370406251,0.999,0.107,0.199856204859,0.0457077383512,0.999,0.11,0.285806303349,0.125832081326,1.0,0.225,0.260957977676,0.0549794887134,1.0,0.208,0.411138542351,0.159155184352,0.998,0.102,0.164428759028,0.0386975712543,0.999,0.06,0.140821405121,0.0336336857664,1.0,0.073,0.182501641497,0.0656310326631,0.999,0.081,0.165821405121,0.0461463660028,0.999,0.411,0.502134602758,0.174425844653,0.999,4.0,11.0,0.0,416.845,427.15383,0.0,0.0,0.0,-11.063,129.372,0.742419596183
