barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
101.828535,101.95489049,3524.4027005,203.28557,102.8392,102.960524397,3547.9284127,205.05255,87.67092,95.39299625,4488.33370684,201.95688,-8.487,-9.39197997139,22.3245577449,58.655,0.04394,0.0525634477825,0.00117633596651,0.34607,-14.872,-16.6518154506,36.1378629173,54.581,94.89719,98.2971509299,3560.62924779,206.15134,102.8392,102.960741366,3559.42331425,205.68263,48.601,47.1644391989,24.2497440117,53.634,-15.02,-15.7157310443,2499.83243733,342.812,2.026,2.00538197425,1139.75896228,273.915,-9.38,-10.8206065808,1135.02090399,566.39,3.026,1.50732188841,625.949171924,191.368,-7.407,-3.90764520744,716.648979439,174.456,-20.214,-22.026832618,474.74725048,153.913,-4.063,-3.9752546495,661.213281546,216.672,2.167,1.04578683834,376.857035501,115.629,-5.333,-5.94082832618,509.24237385,150.392,1.639,0.651321888412,242.284742058,91.27,-0.647,-0.609442060086,262.390678312,113.194,0.103,0.191021459227,0.0501956404551,0.999,0.338,0.445726752504,0.129851743648,0.998,0.171,0.325725321888,0.114501166326,0.998,0.071,0.114035765379,0.0136791217537,0.998,0.195,0.358197424893,0.120329526116,0.996,0.1,0.181339055794,0.0471282698766,0.996,0.245,0.381224606581,0.118579882313,0.996,0.093,0.19926037196,0.0703859550963,0.997,0.141,0.243826895565,0.0665847583038,0.996,0.253,0.375243204578,0.107771998076,0.994,0.086,0.158369098712,0.0346651398749,0.997,0.124,0.262103004292,0.0893515430382,0.997,3.0,6.0,0.0,204.278,216.11057,0.612,0.0,0.0,-6.751,89.03,0.349119964652
151.86374,151.888752066,7791.92444444,303.56713,153.76108,153.787202177,7890.27410716,307.43587,191.99656,181.079375,8032.73345814,296.68355,-17.961,-16.8109093511,60.1507600385,48.226,0.03529,0.0446080438931,0.00147346185066,0.58728,-26.516,-25.0920877863,87.8558145534,45.773,120.639095,130.554885945,6893.95931098,307.85293,153.76108,153.787123323,7882.18624369,307.7499,37.7275,39.2071316794,63.7715101487,46.776,27.527,38.286360687,3296.96390347,347.246,-39.7015,-33.9102919847,2376.17119369,314.538,-1.4945,-1.96554866412,1420.35336367,337.535,-14.419,-15.0349723282,1055.23175281,181.373,-20.1005,-12.354990458,939.6244463,214.876,11.018,10.2550458015,499.65085562,162.614,-3.087,-6.49823091603,630.483781659,236.332,10.202,11.4267958015,414.950614348,166.896,-2.4225,-3.38034255725,441.087560576,154.073,-1.165,-1.56972137405,248.452530024,134.353,9.447,8.20514122137,314.829389572,150.262,0.259,0.389999045802,0.104064126907,0.986,0.247,0.332767175573,0.0845194801439,0.994,0.1525,0.238358778626,0.0487798960871,0.997,0.178,0.253148854962,0.0483461515063,0.994,0.3695,0.475039122137,0.112878064309,0.978,0.456,0.527248091603,0.137342728527,0.995,0.285,0.34795610687,0.0563492423482,0.983,0.257,0.328258587786,0.0686897699644,0.995,0.216,0.346992366412,0.0974853873463,0.993,0.2985,0.430666030534,0.121716552587,0.996,0.1915,0.288169847328,0.0781864749687,0.998,0.185,0.323280534351,0.102534594965,0.993,4.0,9.0,0.0,282.935,311.48363,0.0,0.0,0.0,-9.489,94.94,0.577499801671
89.682115,89.9034427419,2742.26880203,179.62167,90.595635,90.81939524,2787.3165915,182.18684,69.613635,76.4242925,2912.13232849,157.72158,-8.2425,-10.3263561047,43.2612313775,57.904,0.036815,0.045488880814,0.0013245832675,0.36176,-17.649,-19.1447456395,61.6706306373,54.719,81.655805,86.1382680378,2894.17012827,182.07669,90.59518,90.81899003,2781.78066999,182.18684,46.8415,45.1690857558,47.9636263022,55.183,53.321,41.2477587209,3773.30484624,316.545,-22.209,-22.3288735465,2701.41895045,294.135,6.7725,4.56468604651,1595.1770235,530.344,-30.019,-32.8815247093,775.039476575,181.178,-12.162,-6.9107630814,1292.57781429,313.046,21.0975,21.790380814,391.150278678,158.732,-11.211,-10.0250494186,710.239309419,211.444,17.1415,16.6332892442,337.970928101,102.688,2.915,0.00025,507.895247464,210.294,-5.3865,-5.15685319767,344.719212837,172.686,-11.888,-10.9018604651,382.448783132,113.942,0.388,0.457139534884,0.0844334718091,0.991,0.352,0.418332848837,0.0851308354326,0.997,0.216,0.315757267442,0.0781360239297,0.997,0.178,0.230238372093,0.0318803908532,0.996,0.309,0.355489825581,0.0574246568732,0.997,0.2295,0.273135174419,0.0423163901581,0.99,0.394,0.480962209302,0.103322248572,0.991,0.667,0.599236918605,0.135218238928,0.977,0.525,0.544757267442,0.102731241953,0.969,0.536,0.547710755814,0.130418211396,0.995,0.287,0.340986918605,0.066251922794,0.997,0.222,0.323029069767,0.101120586364,0.997,4.0,7.0,1.0,181.841,191.76444,0.238,0.0,0.0,-6.801,164.275,0.474085120526
104.84646,104.793937731,3684.7073644,208.52952,106.17055,106.120210769,3762.93968855,212.13643,72.20166,89.07378,4235.70609259,198.37506,-14.771,-15.5654136292,38.5493529177,38.842,0.05358,0.066884659271,0.00274807783344,0.45993,-22.643,-23.4499160063,46.7454264193,48.914,108.31342,107.05404355,3360.4760358,212.14567,106.17055,106.120252435,3755.11483938,212.13643,41.88,40.6316212361,39.6435726188,36.781,-68.434,-64.2285515055,3438.25546106,409.58,8.71,7.22049762282,1609.18454441,268.882,-5.772,-10.0788494453,1435.01132242,350.305,-4.94,-2.57123454834,993.079205286,209.958,-1.737,2.82643740095,908.901209355,251.92,-25.609,-30.0372012678,672.534728554,153.482,-6.31,-6.25648335975,791.658852681,237.025,0.48,-0.00149920760697,506.874252634,150.802,-4.576,-4.83748969889,525.773933648,199.004,-1.627,-3.23145641838,291.28589396,143.144,-12.547,-13.2268526149,476.703088623,164.276,0.103,0.150908082409,0.0202559059727,0.987,0.265,0.385459587956,0.110070803042,0.988,0.16,0.203320126783,0.0316464204982,0.995,0.288,0.385348652932,0.100739678758,0.995,0.284,0.410938193344,0.138241845625,0.997,0.163,0.229431061807,0.0483312151366,0.996,0.393,0.4934659271,0.124220724275,0.995,0.095,0.138101426307,0.0217255903466,0.996,0.104,0.239881141046,0.0893213186776,0.996,0.049,0.0808478605388,0.0102411495953,0.997,0.086,0.14859429477,0.0324630144841,0.996,0.299,0.43781933439,0.129148331861,0.993,4.0,11.0,1.0,207.203,219.50649,0.0,0.0,0.0,-11.446,136.003,0.328942312606
92.34969,92.4296370642,2836.20813293,182.72401,93.201,93.276137483,2901.84336118,186.11414,59.39711,72.1062977778,3160.08968835,174.53419,-6.6335,-6.76301585014,12.0565409061,18.903,0.04165,0.0493334005764,0.00125539809161,0.34133,-13.0225,-13.6582622478,16.9763673779,55.417,89.77118,91.8003506052,2965.34388847,186.33184,93.09403,93.1703960884,2901.84756459,186.32647,50.4635,49.8842997118,11.4557715961,26.012,-14.4265,-12.7809351585,1442.69202734,256.294,7.787,6.40714985591,752.068500946,308.782,-3.613,-6.33999423631,933.573777337,441.663,-8.258,-6.88612536023,1160.7669354,214.529,-8.905,-6.969629683,581.250364455,250.641,-19.88,-20.1845576369,441.077913074,132.727,-12.6905,-8.98650144092,646.475093555,188.627,11.7815,11.244314121,384.060059734,111.998,-2.153,-1.01601440922,394.017808983,151.783,2.269,1.54659365994,214.492260904,140.234,-0.6625,-0.177714697406,255.785169907,108.236,0.2445,0.393134005764,0.131067902792,0.996,0.086,0.154367435159,0.0280503765188,0.995,0.1125,0.17726945245,0.0350040037643,0.992,0.267,0.420161383285,0.122489406232,0.986,0.106,0.160828530259,0.0251175541716,0.994,0.104,0.235817002882,0.0881531322181,0.994,0.067,0.122327089337,0.0220574103036,0.996,0.2115,0.267384726225,0.0481311560203,0.993,0.2175,0.456396253602,0.183641288228,0.997,0.1395,0.183250720461,0.0313061763323,0.995,0.2335,0.369548991354,0.106367230309,0.98,0.104,0.179965417867,0.0336957682565,0.994,4.0,3.0,1.0,186.433,197.22404,0.0,0.0,0.0,-4.251,141.993,0.376169924841
105.4219,105.527104065,3705.72366328,208.81752,106.49446,106.600535968,3767.04423653,211.84179,140.67362,118.1304875,5502.38602093,207.72278,-9.735,-10.4970197044,58.5859081927,58.75,0.03253,0.0396310738916,0.00136104098417,0.7781,-18.319,-19.7589280788,59.7632535071,51.179,105.84036,106.255848384,3788.95111485,213.31878,106.49446,106.601003917,3774.60547432,212.27012,46.372,44.8575133005,48.4108682557,53.664,50.82,54.9879773399,1616.48913931,299.097,-37.07,-35.4686256158,2076.09895229,259.776,0.179,5.68431625616,1759.18042938,235.175,-5.487,-8.48045812808,1759.41076593,216.567,-24.296,-22.747955665,795.780834293,188.74,6.335,5.60523152709,599.097645325,145.599,20.069,22.5318147783,600.904657302,152.274,9.13,7.82374581281,311.858956412,111.719,12.648,13.7508433498,316.731446136,122.988,3.148,3.91374187192,266.77412,123.11,-5.06,-5.12685123153,380.362967524,111.106,0.575,0.533606896552,0.0990307962086,0.99,0.293,0.383731034483,0.0935692212536,0.988,0.218,0.308420689655,0.0853905924783,0.994,0.191,0.269898522167,0.0550115493082,0.988,0.233,0.308935960591,0.0754967200369,0.987,0.182,0.275551724138,0.0571424739256,0.99,0.39,0.456533004926,0.0918788242801,0.991,0.224,0.301117241379,0.0599006158111,0.987,0.145,0.237302463054,0.0558927252649,0.987,0.131,0.33475270936,0.126583559537,0.986,0.162,0.30781773399,0.0776252721978,0.989,0.875,0.629279802956,0.165426954223,0.989,4.0,11.0,0.0,205.305,216.21506,5.37,0.0,0.0,-5.833,140.028,0.440071071977
123.23467,123.2214054,5064.79862144,244.53434,124.25992,124.244890464,5131.86856392,247.26832,86.24653,101.457059,6025.05883383,241.17476,-9.859,-11.601208805,45.4572891589,49.674,0.0456,0.055767509434,0.00187437001946,0.4137,-17.041,-18.6589962264,48.9338305874,54.062,118.26308,120.87096278,4914.04922518,247.80041,124.26043,124.245055377,5123.43879704,247.26832,46.548,45.045572327,44.5055843102,50.521,-1.114,-4.0836490566,2566.97819747,430.983,-16.459,-15.1359232704,2342.213898,300.244,-14.237,-15.4237433962,1043.11336332,518.444,7.184,8.36951823899,611.242452763,206.74,-14.807,-9.44956100629,674.841300354,305.26,-6.334,-10.2380125786,712.289023399,175.382,-2.562,-0.679421383648,450.518397336,214.827,2.94,3.82397232704,404.927379549,138.607,-1.072,-2.55417106918,389.025881168,186.709,1.483,0.645548427673,175.28467222,112.283,4.136,3.66323647799,343.418693972,139.216,0.21,0.350581132075,0.117438288701,0.994,0.212,0.297641509434,0.066326612365,0.993,0.334,0.466574842767,0.127963006663,0.992,0.162,0.219205031447,0.0331584346917,0.994,0.223,0.347899371069,0.102413358427,0.993,0.089,0.143696855346,0.0214455974115,0.893,0.112,0.197485534591,0.0498487151996,0.994,0.164,0.288111949686,0.0883650956434,0.995,0.098,0.166958490566,0.0300978184028,0.992,0.202,0.377303144654,0.127336503072,0.986,0.105,0.181879245283,0.038704506173,0.993,0.235,0.373240251572,0.114928139763,0.994,4.0,7.0,1.0,232.292,251.71546,0.0,0.0,0.0,-7.917,145.982,0.376169924841
123.27077,122.611485027,4962.689458,244.76082,123.27077,122.611485027,4962.689458,244.76082,83.5003,84.846273,4015.28466659,195.49038,-18.244,-19.4361936416,33.5793913845,49.221,0.057625,0.0786621820809,0.00483816983874,0.70619,-27.504,-27.3897297688,37.3737206567,46.673,129.187165,127.05236104,4962.80128469,245.362,123.2716,122.611117579,4948.98408429,244.76082,37.4475,36.8202196532,29.0625916309,47.743,-36.1715,-38.7968786127,3312.2675451,362.845,51.215,50.9628034682,1193.21541754,241.85,2.884,1.13383815029,2184.93290476,400.921,2.351,1.25230491329,1012.02974357,179.79,2.901,8.34339306358,957.619996126,185.723,-13.518,-13.9057023121,468.647904252,153.161,2.1815,2.13396676301,487.975371275,220.373,-11.375,-9.9043916185,609.999607701,161.266,-6.7075,-7.00533381503,354.399672442,186.843,-0.11,-0.790174855491,370.652127118,122.386,15.567,14.0462442197,316.135874635,116.465,0.151,0.29849132948,0.103185212353,0.989,0.1305,0.180047687861,0.0283877592866,0.987,0.3455,0.469264450867,0.12201525521,0.986,0.084,0.122384393064,0.0180338204501,0.99,0.152,0.279713872832,0.0907618083047,0.992,0.0615,0.104039017341,0.0160527629285,0.997,0.205,0.319026011561,0.0886783577049,0.991,0.2635,0.406715317919,0.128175992656,0.993,0.1015,0.173056358382,0.0364551948006,0.994,0.2335,0.369075144509,0.111973066608,0.991,0.098,0.167141618497,0.0380069539326,0.995,0.2175,0.356560693642,0.112526237646,0.993,1.0,7.0,1.0,243.084,253.70077,0.473,0.0,0.0,-15.636,89.508,0.372530039366
139.456115,131.232092273,6132.1480713,256.11254,132.31078,131.709928953,5802.61388059,263.52034,118.70097,120.077727,6043.14477486,257.08536,-24.414,-24.1178034433,36.8498329872,49.621,0.05211,0.0729768149211,0.00457432843777,0.68102,-31.423,-30.9609512195,38.0890234811,45.201,136.20984,133.838242511,5836.55711237,264.39741,132.50737,131.902160392,5802.71989715,263.90696,32.396,32.5337288379,31.0208951532,45.426,-93.956,-88.5112439024,2478.13530066,380.714,0.928,4.66774605452,2156.08465972,292.821,-17.51,-19.7764849354,1826.79194198,299.643,15.956,14.2118436155,846.234721825,179.64,-9.01,-3.86117934003,642.053270945,146.721,-42.199,-40.4946829268,527.700697643,190.551,-7.979,-6.23455954089,364.475924628,142.121,7.075,5.53357101865,679.207440454,141.44,-1.32,-1.68513342898,239.070116182,152.239,0.374,-0.851235294118,276.053300074,112.989,-0.759,-0.870866571019,459.289268075,143.811,0.133,0.216558106169,0.0572548664228,0.993,0.159,0.299157819225,0.101233909096,0.997,0.089,0.186823529412,0.0566330291164,0.994,0.151,0.257258249641,0.0734418156601,0.994,0.233,0.378222381636,0.123580233186,0.995,0.121,0.182796269727,0.0391548135872,0.994,0.265,0.408978479197,0.129895429953,0.993,0.117,0.179515064562,0.0409481866454,0.997,0.245,0.358226685796,0.100526057652,0.993,0.202,0.322216642755,0.0996242357058,0.996,0.104,0.152106169297,0.0272409270351,0.995,0.239,0.392355810617,0.129269345422,0.996,7.0,4.0,1.0,258.798,270.18404,0.333,0.0,0.0,-18.955,76.826,0.454192988218
143.64785,143.746517862,7060.09437288,289.8785,146.41981,146.431441088,7236.60436354,293.36866,97.519355,117.7268025,8849.65701892,289.41691,-9.015,-11.4360044297,57.0466672181,56.069,0.03461,0.0510763233666,0.00311690194839,0.53823,-13.526,-16.6259125138,64.148593298,51.664,143.07274,144.740998915,6237.25450726,293.70027,146.5455,146.556377891,7236.68203347,293.61836,50.05,48.4321439206,27.2486161629,54.099,36.003,33.0886823821,1612.30220109,310.387,30.288,34.0981277916,1202.61370498,229.527,-2.1785,-1.79692679901,412.469196723,199.764,-33.672,-32.9481054591,645.899480204,191.737,-24.3095,-22.7664032258,236.350970521,104.073,-1.0965,-2.30313151365,266.054089556,124.22,-6.864,-5.84850620347,225.098026965,138.923,1.9785,-0.529708436725,365.691009075,129.641,2.501,1.56650620347,221.589193535,125.333,2.7485,3.18038585608,94.2681280012,83.478,2.4935,3.35101736973,165.541945146,149.55,0.47,0.533344913151,0.0980350224741,0.98,0.396,0.441672456576,0.0762183468096,0.979,0.288,0.348491315136,0.069395488138,0.992,0.2715,0.345342431762,0.0697765626412,0.98,0.42,0.48970471464,0.0840152229803,0.965,0.219,0.27755707196,0.0461714353284,0.986,0.2105,0.274096774194,0.0449625787241,0.985,0.2535,0.324333746898,0.0620346193822,0.987,0.261,0.335117866005,0.066286634991,0.99,0.66,0.629286600496,0.121923187091,0.978,0.295,0.346554590571,0.0529645820075,0.982,0.339,0.389459057072,0.0665568860408,0.982,4.0,4.0,0.0,289.831,298.31791,0.247,0.0,0.0,-7.839,119.731,0.630736110783
