barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
168.730205,168.704873187,9491.86180872,335.39051,169.446195,169.407944087,9571.4685462,338.20982,173.27401,160.270697692,11663.132553,334.99021,-6.4685,-9.46342324247,44.711448851,53.46,0.02204,0.0299935581062,0.00072310997371,0.29308,-22.527,-24.7480868006,85.8356211754,51.508,175.71084,173.375742195,9222.34941207,338.96218,153.245575,153.240489167,9398.51198139,306.33088,5.03,4.63819942611,2221.08421181,521.66,3.0525,5.0259784792,2178.14645953,483.913,4.9885,4.3797266858,2172.37017053,492.767,4.0885,4.88954878049,2194.00362859,471.933,5.337,5.79948852224,2311.4831194,487.625,5.428,4.08878909613,2036.21322998,486.728,4.3435,5.12032711621,2132.28666865,519.769,5.3785,5.88142969871,2271.0598457,495.636,4.7385,5.37062195122,2179.22448846,500.341,5.253,6.10520373027,2169.61872807,485.35,4.332,4.27252080344,2284.1793802,456.125,4.698,4.52404806313,2050.4633714,500.734,3.0,6.0,0.0,332.835,340.63628,0.0,0.0,0.0,-6.621,85.36,0.806628690963
109.45971,109.394311478,4040.68296419,218.42021,110.65898,110.591990996,4076.46563377,220.82511,112.3326,105.298411111,4722.27155371,216.27207,-5.075,-5.81615376569,22.6354271469,50.98,0.027005,0.040145083682,0.00129991118399,0.40046,-13.416,-15.6956558577,59.8758555332,54.579,110.10517,110.233286328,3913.75864461,221.03932,104.781325,104.945120526,3959.227155,209.04551,8.286,9.13103033473,1367.88812812,590.471,7.264,9.05779497908,1108.97401306,384.27,7.1585,7.96321338912,1322.38333789,345.747,5.461,7.10698012552,1195.72822453,363.53,5.7755,6.86359623431,1218.7848398,304.319,7.4775,8.21266736402,1140.99737812,337.858,8.893,8.74960564854,1208.30776528,331.661,7.225,7.93817573222,1108.57882444,358.886,10.2895,10.1389194561,1133.96356817,301.515,6.5995,7.58206380753,1220.93523104,360.136,8.6475,9.3067541841,1172.61032174,286.953,7.1985,8.55709937238,1239.06909773,351.028,4.0,10.0,1.0,213.943,221.64853,0.0,0.0,0.0,-3.599,124.965,0.70895355611
114.97438,114.983954173,4443.06115796,229.09461,116.33964,116.347387984,4495.96680722,231.8232,94.753975,87.3334366667,4063.61466173,174.97956,-5.803,-6.56554305284,12.1024003284,24.079,0.03218,0.04122018591,0.000960522996541,0.2735,-15.505,-15.7242524462,24.6554843159,32.011,116.259505,115.287034139,4613.55849458,232.45746,116.11287,115.991702353,4467.17631043,229.09509,7.5085,10.6268493151,1054.62987429,295.301,8.181,10.8255616438,988.498039233,307.743,8.602,10.6073091977,1106.40287417,305.234,6.9795,9.46097651663,1073.79620396,274.178,7.645,10.6454921722,1009.71660963,276.827,9.742,11.1268708415,1030.65046962,267.225,8.8475,11.2377573386,1022.64110179,293.599,7.127,10.1293170254,1170.53384729,433.758,8.689,11.2439168297,1065.92056962,317.311,7.1895,9.57336594912,982.158986326,246.187,9.161,10.961946184,1009.27035263,268.627,7.938,10.9475831703,990.070219934,228.613,4.0,10.0,1.0,231.335,235.44118,0.0,0.0,0.0,-4.839,132.013,0.708420838065
119.890925,119.796482578,4813.05158828,238.35584,121.29485,121.203735435,4907.65378822,242.16523,91.36911,105.599227143,6102.94113432,239.4262,-5.5985,-6.9679335443,20.4279816654,58.589,0.03158,0.0504039767932,0.00284705294758,0.71202,-14.411,-15.9837373418,39.3411662127,54.866,122.2966,121.238457289,4798.30561052,242.24503,119.889395,119.66554814,4882.46746102,237.88247,4.1505,6.24600632911,1291.06363903,336.441,3.9655,6.06870675105,1125.07125315,338.098,2.677,4.54101476793,1364.5122015,366.347,2.3705,5.74964873418,1217.30959613,339.35,5.4205,6.08427004219,1445.26361447,570.081,2.3215,2.97308227848,1236.62446543,343.378,3.4225,6.30484599156,1160.93811617,360.76,2.063,4.93344198312,1242.20293766,318.558,2.606,4.38258860759,1196.09785247,311.323,3.9065,4.67778902954,1490.69789523,508.306,4.8905,6.78292510549,1278.231651,343.623,5.4625,6.26125105485,1341.94944147,407.939,4.0,9.0,1.0,238.411,246.282,0.102,0.0,0.0,-4.909,127.899,0.61838666025
119.18501,119.316840394,4746.08995133,236.69789,119.88336,120.021745941,4783.97192604,239.06785,106.06534,105.2459725,4715.2791565,224.17196,-6.244,-7.77375850714,26.1575613401,58.049,0.03281,0.0516862568606,0.00521320727589,1.26788,-14.861,-16.5748144896,47.7168295957,54.351,121.25669,120.154197728,4666.75999223,239.95202,119.88336,119.888868824,4771.93983381,236.69891,4.863,7.28800658617,1261.41916423,393.853,3.809,5.87500219539,1207.10725709,316.354,2.996,4.37503183315,1133.48239887,333.98,1.05,3.7777870472,1240.07713334,386.971,4.991,6.07759275521,1164.57156343,288.618,3.825,4.90047749726,1291.2628435,405.689,3.567,6.67852030735,1146.88398646,318.989,3.567,6.40095389682,1270.83910184,371.653,2.779,4.96106037322,1202.50465565,341.655,3.587,5.47718111965,1112.36693728,268.448,5.258,7.25765422613,1208.21189425,313.887,2.059,4.04340834248,1192.34434248,324.227,4.0,9.0,1.0,236.762,246.22975,2.63,0.0,0.0,-5.727,127.932,0.586948900659
98.42354,98.425124,3238.67434052,195.45108,99.49527,99.4966142457,3295.50701469,198.44488,104.85259,96.5856533333,3708.50696183,192.72448,-4.299,-5.54477074236,22.7793898754,60.026,0.026965,0.0323077183406,0.000371058747523,0.22082,-14.7275,-15.4953613537,24.3389987089,52.246,98.510725,99.3368169432,3366.92812652,198.92671,98.20948,98.9454224675,3267.43544666,196.30866,2.7055,4.87252292576,1078.67270359,222.097,3.533,4.91658624454,1141.57487694,353.985,3.594,6.27954475983,1056.41275156,249.473,2.9755,5.66847707424,1158.7249664,318.112,2.1205,4.69498253275,1113.37139844,285.562,1.746,4.76591921397,1060.95338046,215.151,2.827,5.851680131,1055.20117202,262.519,1.9145,4.66882969432,1076.7271162,307.933,2.367,4.13799563319,1070.65878872,230.725,4.0735,6.33554803493,1129.54205883,389.316,3.1245,4.84619978166,1153.94990773,234.968,2.642,4.49144978166,1078.08419259,241.6,4.0,11.0,0.0,197.735,202.57914,0.223,0.0,0.0,-3.18,139.975,0.577353272083
103.636295,103.637709375,3562.42867251,204.93514,104.09709,104.099480133,3610.58258939,207.71383,63.024925,77.5901025,3338.19970784,161.32864,-4.618,-6.61185939394,45.2983257814,58.428,0.03291,0.0432364121212,0.00183475547973,0.73486,-13.375,-14.5021672727,60.7625973926,54.443,104.74259,106.129501927,3678.57349881,208.15819,100.86743,101.200583467,3587.67186187,201.23417,9.253,13.7983951515,1183.24931577,338.506,11.638,15.0048448485,1185.60899896,381.367,9.409,15.026169697,1191.87360893,375.174,12.112,14.8379624242,1091.34837693,365.641,8.691,13.8051406061,1202.90501912,366.053,10.229,14.6129745455,1147.59141019,330.576,9.958,14.6476084848,1247.91967614,370.935,10.948,15.433929697,1177.02072676,276.122,9.781,15.0352266667,1242.67477627,379.909,9.876,14.8164181818,1259.52680456,318.904,9.672,15.5493381818,1126.61955687,309.289,11.059,14.6870230303,1183.97753387,367.513,4.0,0.0,1.0,203.906,208.69179,0.189,0.0,0.0,-4.652,130.006,0.566386194826
102.75602,102.810383063,3507.81512738,203.32155,103.44878,103.504149732,3571.66984405,206.5643,81.75414,95.793935,4782.01154365,198.06254,-3.651,-4.93703160556,22.0838585869,52.319,0.03432,0.051768369153,0.00466980060354,0.93478,-10.508,-12.6769671302,50.9362545906,56.486,98.39129,100.519371934,3616.88080445,207.02621,100.67999,101.293801757,3501.94796385,201.0061,10.251,16.1409279393,1393.25184432,447.919,10.13,17.2170556258,1510.50986493,487.189,9.431,16.336,1532.95442353,550.949,10.698,17.2803653603,1677.67898071,639.7,9.902,17.6022983565,1602.70529784,541.018,9.99,16.0585714286,1727.42928388,626.758,10.557,17.4235903919,1414.13914552,495.165,11.372,18.4482010114,1576.88165833,424.416,9.258,15.9357281922,1415.60346608,417.796,9.922,16.9806055626,1651.74289857,582.109,8.041,15.936817952,1371.72670589,486.104,11.858,16.7525828066,1665.47489055,535.075,4.0,11.0,0.0,203.018,207.51628,0.0,0.0,0.0,-3.418,129.975,0.543796627415
101.51876,101.526017706,3477.20981314,202.04013,102.45596,102.46297082,3525.7015767,204.86939,98.22785,86.270956,5404.42489757,203.24247,-4.495,-5.57162393162,20.9806437145,41.656,0.02567,0.0342507448107,0.000709489217638,0.27922,-13.548,-15.0392967033,45.1625155151,53.456,103.8019,104.464543199,3358.39311877,205.08707,101.04927,102.326754521,3497.90738236,202.03488,8.436,10.2497704518,1021.20866119,351.859,5.444,7.94064224664,1046.7378526,383.253,7.138,8.98904029304,1052.93752569,385.641,5.877,9.06074358974,1060.66725793,448.253,4.574,8.46492673993,1075.98053179,337.392,5.839,8.66727594628,1093.88303437,303.456,7.276,10.1887741148,1087.03196087,338.103,7.184,9.31396947497,1089.2915356,317.104,7.125,9.51751037851,1098.00238401,323.425,7.18,7.43595848596,1161.42954524,431.695,5.434,9.13941269841,1097.14918938,291.251,5.49,8.35374358974,1026.91318468,299.821,4.0,7.0,1.0,202.321,205.92281,0.0,0.0,0.0,-3.749,127.949,0.538392865951
96.08267,96.0875558252,3107.83639727,191.25731,97.48789,97.4940668916,3153.53137941,194.08171,51.08582,64.622495,2520.21711435,150.45479,-6.9015,-8.15486509636,15.0181251917,24.731,0.037985,0.045949143469,0.00092702273781,0.25878,-17.3545,-19.4553843683,60.459693697,38.96,100.331995,99.5949349036,3119.87373619,194.71964,94.67863,94.3144169565,3135.29034393,187.97406,7.2345,8.62951605996,1490.15397643,320.916,5.472,6.21047216274,1579.99911271,300.434,5.158,6.47883832976,1559.19855705,340.65,4.161,5.0147869379,1606.37664117,504.727,5.228,6.66516381156,1492.8890415,335.692,5.766,7.45498072805,1556.40529859,302.144,4.108,5.25462205567,1507.30395449,355.085,3.518,5.35415203426,1643.18619581,361.264,5.1925,7.58374411135,1567.39872906,339.085,5.877,5.65265631692,1365.5542499,285.899,4.152,6.41239507495,1633.78015728,374.042,4.133,5.98440149893,1456.60525838,298.598,4.0,9.0,0.0,194.212,197.22404,0.0,0.0,0.0,-6.35,127.809,0.538392865951
