barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
151.95841,152.142853852,7826.01018718,304.74584,153.37639,153.566031734,7886.25799318,307.59491,131.5805,135.06386875,8006.83398114,294.65427,-15.232,-15.013796,42.8163588824,55.258,0.040005,0.046780192,0.00173548108588,0.65746,-22.9705,-23.0167808,69.5530639952,51.491,127.501495,134.852932768,8329.03618439,308.1434,153.447575,153.637116158,7886.35786399,308.01992,41.1635,41.0473672,45.9967469428,51.685,16.2385,13.4586632,2080.88565351,354.665,29.0645,31.2590728,1645.41120279,296.807,7.2765,11.8858864,1223.93322388,319.615,-11.226,-5.335304,1173.67782304,207.099,-11.3445,-4.6096136,1254.77761252,226.149,5.828,3.4531392,673.071128921,142.343,7.5155,6.764452,366.617779121,156.696,-0.9955,-2.0448296,406.563548021,148.68,5.8425,4.8865608,267.404378666,134.165,-3.323,-2.8291336,258.64918097,136.499,-4.0265,-3.8527368,291.545442674,136.707,0.5775,0.5722352,0.103054007081,0.985,0.572,0.5586448,0.095360997033,0.992,0.4415,0.4834576,0.0933091490022,0.99,0.3015,0.3475952,0.042426004137,0.991,0.5705,0.5893152,0.104990636649,0.977,0.3155,0.4113896,0.0859582202118,0.993,0.262,0.2972792,0.0391723132474,0.99,0.218,0.2776104,0.0507843610118,0.993,0.2425,0.3138712,0.0562355698106,0.992,0.2405,0.3169296,0.0648788302438,0.992,0.196,0.2976144,0.0727509409126,0.993,0.38,0.446908,0.107593941136,0.992,4.0,9.0,1.0,305.104,308.34893,0.328,0.0,0.0,-10.189,105.931,0.978398555537
84.23478,84.3307892771,2332.32379298,165.87614,84.983355,85.0871473952,2360.59796333,168.42128,77.70448,76.152925,3061.37556926,162.41575,-11.945,-13.2009234609,28.2098481738,55.786,0.05091,0.0626446422629,0.00269948801522,0.56917,-20.438,-21.6910232945,49.8061779495,49.409,82.10939,83.441831015,2358.37944701,169.10218,84.98089,85.0865948281,2367.7669464,168.94367,43.508,42.4666422629,29.6235480667,49.871,18.275,16.1923028286,2937.5451113,299.662,18.525,21.5585341098,2326.90372506,311.671,2.701,1.41440599002,2091.64349279,387.812,-5.673,-4.03454742097,1611.82918471,214.591,-0.843,4.07529118136,1125.46707116,187.415,-11.311,-12.3391747088,856.752744141,182.423,-8.989,-10.9845790349,760.989020237,211.637,19.146,20.2108668885,412.885305626,131.036,2.717,1.43062728785,411.947112567,169.567,-3.987,-4.88126622296,399.027401536,133.082,5.773,7.18780865225,272.83687512,110.528,0.406,0.465677204659,0.0888657693473,0.981,0.424,0.508893510815,0.111225070191,0.982,0.337,0.392311148087,0.0645989763982,0.983,0.506,0.551981697171,0.12427657038,0.991,0.243,0.315129783694,0.0579101794956,0.99,0.211,0.312247920133,0.073502026722,0.993,0.203,0.298554076539,0.0680428893386,0.996,0.293,0.356930116473,0.0648729801413,0.996,0.296,0.399627287854,0.0984322204867,0.97,0.191,0.269682196339,0.0546340004983,0.994,0.202,0.318618968386,0.0904781426685,0.994,0.219,0.298542429285,0.0582115660034,0.994,4.0,8.0,1.0,163.683,172.9824,0.154,0.0,0.0,-10.774,119.139,0.95199805827
222.08298,222.513684145,16610.9867798,444.07581,223.03367,223.467297977,16718.0086767,446.95048,198.29945,195.593613636,17821.4458213,445.23512,-10.266,-12.23940956,36.4838606666,36.524,0.03864,0.0852993481803,0.0140375802773,1.20818,-19.696,-19.8032808256,33.6189511656,53.032,212.87778,236.593440304,19908.08745,447.34703,223.152785,223.586460889,16718.0721835,447.18767,44.244,43.6402042368,25.5458330034,41.331,64.066,66.7752140141,3245.39136791,380.86,23.618,19.6988147746,6382.5849186,412.751,9.549,13.6095279739,2671.06223231,446.884,-8.665,-11.9829391635,1147.56966523,196.05,-22.903,-24.858774579,745.084904203,159.604,22.684,27.4486561651,1203.17021721,195.736,1.381,2.12381477458,298.036659209,135.175,-4.593,-4.83665290603,204.401129664,111.369,6.856,9.88042042368,339.223581351,122.659,1.901,3.21500760456,271.453236688,157.634,10.94,10.0907365562,190.143642206,85.009,0.385,0.462563280826,0.0863666870602,0.985,0.514,0.539000543183,0.113733980988,0.984,0.264,0.363989679522,0.0681369618707,0.998,0.364,0.442570342205,0.0944953042589,0.988,0.311,0.440394894079,0.100459336183,0.988,0.457,0.532636610538,0.12175309174,0.981,0.493,0.507438891907,0.0782679290469,0.984,0.367,0.418859858772,0.083819768519,0.987,0.307,0.382067897882,0.0829412170086,0.992,0.33,0.37409071157,0.0600630341397,0.993,0.412,0.464527973927,0.105673597398,0.993,0.214,0.323942422596,0.0870509429097,0.992,4.0,6.0,1.0,440.239,452.17914,0.0,0.0,0.0,-8.471,126.309,0.939551172321
106.94002,106.953637429,3859.93605701,213.32385,107.522435,107.530400641,3887.97380893,215.26635,98.13842,95.182306,4709.96035395,205.55259,-11.992,-13.0115844156,26.4663741286,51.711,0.04932,0.058787012987,0.00127365172173,0.30938,-19.988,-20.8603402597,32.2641494531,50.85,102.910885,102.071869948,3601.27768296,215.71628,107.52243,107.530776044,3894.87566851,215.65262,44.423,43.3424233766,27.7096194311,49.262,-56.7765,-57.5742376623,2805.00688566,314.352,23.36,27.8060688312,1604.45068596,313.402,4.8125,1.69738311688,1296.06027659,548.634,-17.0705,-15.8963350649,631.982563898,182.543,5.8845,7.99815064935,716.051301341,315.344,-9.124,-12.1346,453.106535113,143.141,-17.124,-14.4723,506.645997041,249.768,13.747,16.0079766234,436.618318462,151.536,-3.6535,-4.65446883117,343.866988231,182.622,2.4725,0.717971428571,297.546637402,146.939,10.337,11.9747220779,266.420785845,115.052,0.1545,0.199571428571,0.0288281513915,0.988,0.389,0.450858441558,0.109210877364,0.989,0.154,0.190027272727,0.0211034732822,0.986,0.1195,0.222272727273,0.0503180736718,0.995,0.086,0.122996103896,0.0144253259588,0.994,0.124,0.179644155844,0.0306405980503,0.994,0.8545,0.700316883117,0.108610717767,0.98,0.3065,0.341918181818,0.0511228387603,0.982,0.15,0.310293506494,0.112112760607,0.991,0.0985,0.149823376623,0.0206772285444,0.992,0.159,0.29867012987,0.0909919665104,0.992,0.445,0.487890909091,0.100063362125,0.995,4.0,6.0,1.0,200.615,215.7971,0.0,0.0,0.0,-10.001,156.413,0.927286478422
134.43396,134.463245876,6034.50610712,267.61277,135.19373,135.223551294,6086.06324156,269.90446,184.5566,159.144645455,7522.57597203,262.97106,-12.244,-12.6525064935,27.3408319104,55.692,0.043255,0.0566662337662,0.0022977127873,0.61419,-19.703,-19.7145148423,25.870109222,51.208,141.157415,139.000699276,5965.35268283,270.36834,135.19373,135.223566381,6094.63379643,270.28961,44.136,43.5461372913,22.9369624542,51.769,-21.8375,-23.8241131725,2248.68793597,365.488,-22.777,-17.7303692022,2954.32823003,348.391,-6.5265,-6.28785435993,1622.91366576,585.203,6.0715,5.20774211503,880.21584208,212.227,-15.7125,-11.2134666048,718.106323807,308.17,-14.236,-11.4742931354,976.031222723,196.878,-1.2815,-1.32269944341,328.084907403,240.515,-0.5095,-1.0577309833,356.073431336,141.122,-2.7825,-2.69991280148,198.312685914,132.225,2.312,1.3720890538,236.196242645,93.944,11.8515,9.58199721707,415.830388804,158.905,0.486,0.555628942486,0.111481075674,0.971,0.382,0.478891465677,0.124342939055,0.991,0.131,0.185219851577,0.0307353644668,0.998,0.17,0.325900742115,0.11619224896,0.996,0.1455,0.21575974026,0.046459492368,0.997,0.227,0.384652133581,0.131403364147,0.998,0.236,0.331027829314,0.0860180233443,0.996,0.126,0.181325602968,0.0322757446321,0.995,0.1305,0.229628942486,0.0596646897746,0.998,0.1585,0.24787012987,0.0656479107775,0.998,0.22,0.32420593692,0.0934671412635,0.997,0.147,0.215070500928,0.039373559037,0.998,4.0,10.0,0.0,270.147,273.65832,2.757,0.0,0.0,-9.451,157.868,0.926767440532
81.66813,81.5748623333,2277.62908218,162.56827,83.38548,83.2977315702,2316.70742792,166.07007,78.23402,74.272925,2360.21863906,160.85311,-10.8285,-10.9868296178,19.596961342,55.44,0.042425,0.0477442197452,0.000766030817385,0.36887,-18.644,-18.5181528662,16.2893635531,50.892,80.73288,80.5404502229,2316.18558733,166.67959,83.38635,83.2977728157,2307.17704339,166.07007,45.2825,45.0188726115,14.8606049105,51.787,4.8045,4.91706369427,1627.33208213,289.033,-1.7305,1.41844745223,1598.16108104,265.966,3.261,2.75144904459,1093.5016441,521.075,40.346,41.6574729299,1076.93936221,186.619,-17.0695,-13.8160318471,744.855463095,459.756,-5.28,-7.55027229299,610.377729641,163.54,0.8825,1.01378821656,302.674709651,149.736,6.5505,5.40437420382,248.106491957,86.675,-0.1825,0.49673566879,259.642029096,142.385,2.5045,1.90294267516,215.949618341,90.687,8.7155,9.6407977707,182.177748228,90.505,0.2435,0.34651433121,0.0887505841895,0.988,0.255,0.323364649682,0.0650272030179,0.992,0.3825,0.485353503185,0.11937938459,0.993,0.192,0.274030254777,0.0628288828426,0.993,0.151,0.206888535032,0.0360733856647,0.997,0.218,0.347361464968,0.112125507878,0.994,0.1795,0.25748566879,0.0451640077564,0.988,0.2755,0.423804140127,0.125127577881,0.994,0.151,0.20475477707,0.0336730131141,0.998,0.193,0.273117834395,0.0610206007647,0.993,0.3485,0.451189490446,0.121717994348,0.989,0.18,0.234007961783,0.0414481034398,0.99,4.0,7.0,0.0,162.023,167.81016,0.253,0.0,0.0,-7.777,87.359,0.910849716815
89.542045,89.0185887879,2489.32260245,172.72001,89.81431,89.4437862463,2632.7070956,178.07592,62.176405,73.059425,4263.30526419,171.5484,-14.851,-15.6523783333,28.7098058852,41.651,0.039045,0.0548567333333,0.002129472516,0.37914,-22.6785,-23.31546,45.3113738317,48.833,82.68068,83.39166575,2254.6148457,178.95329,89.81431,89.443922489,2640.55449856,178.60563,41.9015,40.8448666667,32.9472620722,45.158,-44.88,-48.0843366667,4687.23377978,357.873,11.6905,19.0714783333,2854.64849057,284.459,0.053,-1.662455,1301.5901411,455.361,11.5715,13.26697,1049.52332083,239.881,-4.0385,-3.275625,795.571743741,179.186,-17.319,-20.1666816667,728.234675537,180.974,-5.346,-2.75761833333,795.056505983,271.367,-33.012,-30.9304816667,389.632105983,138.358,-8.366,-9.57304833333,569.189292543,163.52,7.9425,7.68716666667,339.663591386,141.599,16.4345,14.3475616667,423.183668626,132.052,0.155,0.221168333333,0.0421970999972,0.988,0.4585,0.520561666667,0.148026049531,0.993,0.147,0.188838333333,0.0284488021972,0.989,0.077,0.217023333333,0.0859033661222,0.998,0.0535,0.108085,0.0235851111083,0.999,0.1275,0.211953333333,0.0538820878222,0.995,0.3375,0.450273333333,0.127770255289,0.992,0.092,0.143771666667,0.0262330995306,0.997,0.1465,0.287276666667,0.0957835067889,0.991,0.1315,0.186831666667,0.0312541599972,0.992,0.3725,0.473141666667,0.122990458264,0.983,0.1415,0.218686666667,0.0539488651556,0.99,5.0,1.0,1.0,166.191,179.09506,0.0,0.0,0.0,-12.197,113.234,0.908794686397
103.03233,103.035726444,3557.1398128,204.24082,104.63773,104.642837956,3637.15854899,208.38607,117.95141,105.895925714,4846.3563503,202.90576,-5.3735,-7.06769487751,35.1987453791,50.173,0.04573,0.0534576503341,0.00116326484938,0.31507,-10.728,-12.7438663697,48.4310379198,55.197,102.37381,102.575211715,3527.3789525,208.84889,104.48486,104.489867172,3637.15358972,208.67895,52.2815,50.4170512249,39.2507655185,51.305,55.1495,58.3978329621,1543.84394984,318.303,15.3985,22.055986637,1209.33418426,262.767,-7.3845,-4.83717260579,494.264308174,268.27,13.381,17.7270278396,799.699366798,220.449,-19.741,-16.4112717149,435.424117285,264.923,1.011,-3.3651169265,716.379999575,192.263,-2.563,-2.28509799555,288.087406463,254.772,6.5595,7.43895991091,305.129068241,124.665,5.252,5.85156458797,213.104297573,149.377,-2.6675,-2.19643207127,108.996051116,101.504,-4.9005,-5.51501447661,404.043287754,116.895,0.3235,0.417416481069,0.0944292652963,0.984,0.2335,0.315307349666,0.0656121928413,0.991,0.1565,0.238419821826,0.0439668137274,0.984,0.246,0.394085746102,0.117751762135,0.991,0.2015,0.241145879733,0.0262327882959,0.988,0.2635,0.3815,0.0947332076837,0.99,0.22,0.287682628062,0.0570687333508,0.987,0.391,0.439498886414,0.0778466620255,0.984,0.484,0.499249443207,0.129218741787,0.99,0.26,0.398375278396,0.109408637563,0.985,0.474,0.560766146993,0.131289337295,0.976,0.0915,0.208846325167,0.0645171166958,0.995,5.0,3.0,1.0,197.329,211.53914,0.0,0.0,0.0,-4.446,130.674,0.893545013758
137.33789,137.34487048,6292.11174125,273.58706,137.785535,137.794829205,6319.72005421,275.08599,125.044645,134.739322,7857.27179442,272.63444,-13.6755,-12.7161217184,48.8243020234,56.919,0.03324,0.0556923508353,0.00627222178123,0.9199,-18.2005,-18.1407589499,67.3906715553,54.191,125.305875,127.037973723,6033.52860149,275.53587,137.860275,137.869822593,6319.72485941,275.23601,44.044,44.4535477327,52.3999843265,54.213,-41.867,-40.0208460621,3071.98174304,347.141,24.398,23.8948341289,1185.4131056,225.966,1.2395,3.05156682578,718.735256186,287.732,-20.0695,-20.0551921241,774.751590928,283.085,-25.0685,-20.2186670644,537.169890769,186.438,9.738,8.98163245823,276.544383354,110.928,-3.24,-4.25605011933,262.954864613,130.264,10.393,8.06902505967,376.654069807,114.787,0.725,-0.586941527446,217.094786602,111.459,-0.7375,-0.564008353222,147.278160507,132.585,-5.486,-6.981650358,168.942243089,86.16,0.5465,0.58195823389,0.135913436203,0.985,0.2665,0.33807875895,0.0642383016729,0.976,0.2365,0.349601431981,0.101771203912,0.991,0.188,0.304400954654,0.0940179108344,0.99,0.129,0.17737947494,0.0227961829677,0.988,0.134,0.20111575179,0.045485078487,0.994,0.1355,0.206318615752,0.0404306156678,0.992,0.207,0.373490453461,0.110999803608,0.986,0.1495,0.290491646778,0.092346591219,0.989,0.146,0.250940334129,0.0667471372514,0.993,0.2495,0.329472553699,0.0939131060486,0.992,0.1805,0.224785202864,0.0260044144827,0.939,4.0,8.0,1.0,270.466,277.75955,0.206,0.0,0.0,-7.525,200.038,0.892517452001
66.97577,67.83017925,1537.89469253,135.89463,72.57911,72.6231752941,1757.83597201,144.56145,85.85647,76.4945266667,2230.61325512,139.30093,-11.2665,-12.3207074689,18.3602193439,21.607,0.045945,0.0551734854772,0.00151539639408,0.28979,-15.5525,-16.7209937759,21.1169570352,34.114,67.329455,68.1989421577,1678.92428105,144.65093,72.57911,72.6241456127,1747.29142648,144.56145,46.5375,45.4970352697,18.1874230921,21.778,-56.503,-54.702379668,2188.17889174,286.408,25.2935,24.4355850622,883.077351616,138.081,-14.456,-14.329280083,329.142710787,135.408,-34.7335,-30.4016618257,809.878985518,167.019,-16.0095,-15.0899647303,212.268980022,94.215,-22.3785,-21.0723651452,234.621363087,114.621,-4.224,-7.2091120332,277.038078232,115.774,13.363,12.4433962656,241.016899023,103.654,-2.409,-4.28454356846,234.481500771,101.346,5.498,5.73377593361,89.5510414851,73.907,6.6615,6.2694439834,208.31018755,86.731,0.272,0.323900414938,0.0435313676762,0.97,0.6775,0.679937759336,0.0732263612713,0.85,0.438,0.431261410788,0.0462671723283,0.987,0.4015,0.428526970954,0.0769461828825,0.988,0.3295,0.342771784232,0.0445716699093,0.896,0.6565,0.637975103734,0.0890108126582,0.967,0.2765,0.344072614108,0.0701456897479,0.986,0.2075,0.228441908714,0.01950468231,0.647,0.3595,0.469114107884,0.0929649309628,0.974,0.216,0.227168049793,0.0088239655352,0.981,0.5155,0.549607883817,0.102326317199,0.978,0.183,0.191371369295,0.00821418366161,0.496,5.0,10.0,0.0,145.214,145.21424,0.0,0.0,0.0,-9.59,90.708,0.891834565227
