barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
91.93583,91.8586715618,2867.84282084,184.64009,91.93583,91.8586715618,2867.84282084,184.64009,59.165525,68.974786,3195.15017061,173.69469,-9.569,-9.90797063142,9.39342611367,54.299,0.0321,0.0558225697504,0.00861046100676,0.89787,-14.396,-14.6872187959,14.1863106819,52.249,95.57646,97.2802270778,2888.15413089,184.96181,86.949765,87.3246051316,2793.17543526,174.93698,-6.869,-1.560969163,1419.80406643,241.511,-6.776,-1.41578267254,1427.22928544,238.124,-6.849,-1.42361674009,1551.6071843,273.033,-7.721,-1.93194126285,1428.49807542,229.9,-7.124,-2.10254625551,1511.23749319,238.681,-7.71,-2.50586049927,1483.16535995,249.636,-6.864,-1.76898384728,1378.58100044,219.207,-7.747,-1.97508223201,1482.16000394,233.626,-8.306,-1.97658590308,1479.14251858,241.04,-8.769,-1.97608516887,1459.26382347,278.551,-9.157,-2.23801615272,1496.01738863,279.31,-8.619,-1.52496622614,1695.12488195,504.356,1.0,6.0,0.0,184.871,189.25669,0.376,0.0,0.0,-8.328,148.78,0.575056050109
119.364375,118.277246491,4312.57682828,225.47364,120.012655,118.991319283,4383.28202201,229.26362,113.54675,102.795103636,4527.48073191,202.73498,-6.953,-7.82182790698,8.71059926341,27.856,0.027175,0.052921755814,0.00682577219727,1.65482,-13.2445,-13.3730523256,13.765289324,52.85,117.443625,116.518424663,4443.77072626,229.93737,120.62495,118.985314087,4383.53350693,228.71089,0.158,5.06435116279,1542.72093077,327.319,0.105,4.87681162791,1499.04304114,268.531,-2.1665,4.45385813953,1539.32745133,236.278,0.2045,4.98467325581,1513.59920595,257.392,0.134,5.47700697674,1601.26967648,302.584,-0.6375,4.8781,1536.49957188,281.457,1.348,6.16573023256,1515.91171064,284.482,0.308,5.54837674419,1598.4189772,265.258,0.153,6.28774418605,1612.22661397,301.033,-0.778,5.59963953488,1576.68364795,240.123,-0.2825,5.28422325581,1521.08014148,233.699,-0.371,4.95756627907,1456.5227881,244.08,4.0,11.0,0.0,227.26,235.04934,0.0,0.0,0.0,-6.551,112.369,0.567542917587
152.07248,152.025424353,7750.32598757,303.18644,153.64003,153.491442646,7817.69836924,305.86217,131.92116,135.556531538,8608.87191745,279.60893,-8.037,-8.55680971338,9.93183672414,56.541,0.03077,0.0453735111465,0.00243882857676,0.48807,-13.3725,-13.8933423567,12.3423164943,52.222,151.777165,147.835478535,7673.32442051,306.31497,146.924255,146.629724474,7794.43845592,292.49612,-1.366,-0.00831130573248,1083.90013928,274.246,-1.9445,-0.146625,1091.81300187,257.82,-2.224,-0.0836608280255,1068.80256575,239.433,-1.9165,-0.220782643312,1035.80738929,268.276,-2.139,-0.53111066879,997.802545805,267.477,-2.2785,-0.421933917197,1030.07780235,305.599,-1.3105,0.234568471338,990.800200799,255.456,-1.8755,0.147922770701,1237.57905111,514.216,-2.0645,-0.529310509554,1117.18282692,309.465,-1.525,-0.221675159236,1062.64237107,270.31,-1.716,-0.362183121019,1026.06014742,271.592,-0.55,-0.46152866242,1074.35136496,343.175,4.0,6.0,0.0,305.447,311.24853,0.211,0.0,0.0,-6.769,133.838,0.528600514032
103.328535,103.811145464,3674.28050756,209.20663,103.328535,103.811145464,3674.28050756,209.20663,88.10834,93.3794153333,3768.77881708,202.0615,-9.776,-9.88677300613,8.10869866381,55.014,0.03163,0.0417873251534,0.00129515264364,0.39197,-15.582,-15.6312981595,10.4561045062,50.251,102.88481,105.143080908,3907.44930369,209.37238,101.18449,101.78745,3614.09519782,204.43733,-2.913,-0.611520245399,1194.90714957,257.664,-2.551,-0.57434601227,1298.51742498,256.814,-4.654,-1.5375607362,1198.34106972,223.73,-2.286,0.137979141104,1276.37987319,263.65,-4.16,-0.0039754601227,1316.68061579,269.397,-3.771,0.478158282209,1287.31346686,259.34,-2.87,0.439680981595,1256.01160651,268.607,-2.092,1.1812601227,1441.39861597,468.495,-3.464,-0.551155828221,1221.65160835,262.148,-3.819,0.655355828221,1325.8110929,251.192,-3.264,-0.521963190184,1473.01094455,492.73,-3.592,-0.38890797546,1359.88044748,335.511,1.0,7.0,1.0,209.107,212.11383,0.292,0.0,0.0,-8.378,140.823,0.508801327533
126.51322,127.081736829,5502.51772975,254.31972,127.55319,127.941954378,5607.05868063,257.9794,63.46753,106.466681111,8301.19204084,239.28031,-9.0945,-9.72565113872,13.8375411009,44.123,0.03338,0.0582321325052,0.00571229204328,0.66204,-13.807,-15.5972142857,43.5921977978,52.139,145.5634,136.529214462,4742.16831487,258.53946,124.4299,124.919970732,5468.36227865,251.73688,-8.018,-4.12934886128,1526.88261049,496.864,-7.4225,-4.10892753623,1486.21385709,479.047,-6.7985,-4.94648550725,1257.62689996,283.973,-7.7705,-4.88651035197,1383.81432328,483.814,-8.693,-5.07673809524,1368.64356074,377.637,-7.6445,-4.52953726708,1493.8259434,388.104,-9.0785,-6.51432505176,1628.53575265,544.071,-8.9215,-5.76579813665,1410.19012466,347.576,-8.6035,-6.10386438923,1342.0655616,277.451,-8.123,-5.10011904762,1317.40493633,319.851,-8.262,-5.05577846791,1373.59693891,300.519,-8.175,-5.61242443064,1538.26258136,498.409,3.0,9.0,1.0,257.596,260.15302,0.0,0.0,0.0,-8.07,114.51,0.506270993523
118.68966,116.659129842,4430.45657229,227.43352,119.6128,117.401488903,4497.1617051,230.29746,114.53862,102.750381667,4904.85846395,204.09931,-7.61,-8.43196235294,20.3914548621,51.8,0.03034,0.0438420117647,0.00274012668736,0.67613,-11.79,-12.6401529412,21.9915892448,53.36,106.411835,107.148820153,4769.31133738,231.24544,118.32098,116.726442835,4453.58229151,228.36373,-6.437,-0.555402352941,1415.12961386,177.374,-6.397,-0.374347058824,1460.92734628,243.097,-7.0495,-0.332016470588,1445.15866393,183.775,-5.549,0.561189411765,1631.06097453,391.019,-6.717,0.122714117647,1508.20851353,185.914,-5.182,-0.0918352941176,1508.93015356,280.834,-6.2225,-0.493257647059,1487.31326106,197.168,-6.5175,-0.299401176471,1457.00587956,193.7,-7.4445,0.00702,1469.55641244,209.648,-7.2615,-1.05100352941,1467.11145629,193.339,-5.6965,-0.0698129411765,1465.75177765,238.864,-7.0615,-0.342449411765,1433.34836376,179.897,4.0,9.0,1.0,230.539,233.1424,4.574,0.0,0.0,-6.999,199.319,0.499752327989
133.06605,134.942569158,6262.29206162,269.0074,135.23937,136.991335842,6375.90952035,273.7904,143.07174,150.112128182,7824.42676662,265.27965,-11.1005,-11.5850669014,10.9475899474,19.246,0.03448,0.0494151643192,0.00258688005971,0.50079,-16.475,-17.2863920188,17.732004898,49.738,139.77787,137.146265904,5943.28760725,274.65415,131.7584,133.606454865,6273.90292165,266.60048,-3.142,-0.906873239437,1500.09718851,317.84,-2.2075,-0.183884976526,1462.70993493,339.449,-3.4495,-0.861312206573,1425.6991968,295.503,-4.219,-0.907570422535,1552.40323389,335.834,-0.836,0.375970657277,1365.4899856,281.494,-3.072,-0.724428403756,1351.20456204,305.141,-4.2455,-1.25333685446,1444.7693315,326.217,-5.1175,-1.92600469484,1493.47965235,277.39,-3.113,-1.17137323944,1440.33065603,285.511,-3.599,-1.3224870892,1440.41258402,332.231,-3.8975,-1.30349295775,1599.11918809,334.671,-3.282,-0.576214788732,1744.14684622,546.469,7.0,6.0,0.0,272.353,277.91628,0.0,0.0,0.0,-9.713,149.654,0.493730188906
119.977465,119.721972248,4742.8951295,237.32375,120.26052,119.995188526,4775.59277387,238.99439,66.708625,78.7964525,4642.75164085,211.53621,-8.973,-9.18904761905,4.18893919235,26.012,0.029545,0.0474894306418,0.0109997104805,2.93921,-13.6,-14.3508695652,16.280548366,51.5,114.880295,122.208597774,4276.1604092,239.59256,118.70962,119.237271793,4717.15295893,236.20336,-9.288,-3.55213146998,1330.84850766,275.295,-9.757,-4.01223809524,1260.8198084,279.478,-9.3765,-4.68783333333,1274.16497288,253.841,-7.47,-3.55296273292,1358.3684799,287.535,-7.5485,-3.45788198758,1349.3763588,265.74,-8.659,-3.5797184265,1322.97983191,278.575,-9.0565,-4.13697412008,1377.33084609,305.474,-9.3255,-3.46157971014,1304.0413382,298.372,-8.6425,-3.45259109731,1381.76116506,260.896,-8.1155,-3.89410351967,1416.88436821,296.177,-9.1795,-4.42657763975,1397.50925502,391.567,-8.621,-3.81928364389,1393.8331595,287.739,4.0,6.0,0.0,240.065,240.06485,0.0,0.0,0.0,-8.011,219.099,0.489174002406
159.91671,159.785275298,8173.60575004,313.43875,161.20783,161.081202286,8281.38354348,317.10375,153.463755,148.878980833,9125.75346028,279.911,-11.949,-12.3850987868,12.081119323,19.744,0.035955,0.0512535181976,0.00430430632419,1.69725,-17.166,-18.5162530329,21.7888359845,49.347,177.85313,171.003168951,7973.53707999,318.66127,159.65845,160.417291287,8228.60241859,314.5837,-2.048,-0.492947140381,1443.16945556,318.145,-1.8715,-0.381829289428,1425.2828225,293.743,-1.72,0.127314558059,1394.31876549,316.228,-1.2255,-0.292058925477,1334.13687814,283.225,-2.1605,-0.046116117851,1352.2278346,302.747,-1.083,0.682527729636,1441.08622168,293.126,-1.6955,-0.17670017331,1412.86313256,294.473,-1.3455,0.984879549393,1465.49843281,557.089,-1.947,0.0469566724437,1388.96282922,334.676,-2.0005,0.181682842288,1495.37456821,342.118,-1.7095,-0.36212305026,1380.11542871,299.801,-2.1805,-0.399064991334,1462.82452682,537.281,4.0,9.0,1.0,318.125,323.10812,0.0,0.0,0.0,-10.085,116.003,0.482137585065
92.53023,92.255191573,2823.9676302,181.92472,93.57167,93.2870100279,2871.32999248,185.04374,77.45862,69.4135188889,2655.47859612,167.25008,-7.832,-8.21985647608,10.5672009794,56.105,0.02354,0.0381874912485,0.00174252357679,0.33776,-13.546,-14.0446814469,15.2710769009,51.77,94.60091,93.5715619953,2739.7606244,185.68694,92.01246,91.8507194915,2808.72390221,182.45168,-0.104,3.94591831972,1042.40993186,238.831,0.21,4.22101400233,1115.94279278,240.363,0.63,4.00132788798,1149.25127405,271.96,0.697,4.47005017503,1117.23729495,258.467,0.954,4.37562193699,1095.96600982,252.172,0.526,3.21536872812,1235.92713756,450.219,0.88,3.64026604434,1118.0278957,242.606,1.048,4.61117969662,1327.14187829,499.196,0.968,3.97289148191,1104.00133412,237.592,0.993,4.17111318553,1099.59592693,252.238,-0.051,4.39647491249,1119.7549246,239.342,1.542,4.39268961494,1160.00534368,247.807,4.0,2.0,1.0,185.202,188.70812,0.247,0.0,0.0,-7.093,115.399,0.480238747979
