barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
91.26591,91.2733048366,2809.06163835,182.40553,92.06586,92.0732899783,2833.68992208,184.00811,68.87169,79.8123418182,3467.55372937,176.87943,-7.6965,-8.7611943734,21.3850627704,56.172,0.042765,0.052360831202,0.00162622963243,0.47142,-14.4315,-16.9299961637,58.8668183644,53.266,93.341385,91.4040115601,2991.7533362,184.24943,92.06586,92.0732204126,2827.55384834,184.00811,49.2565,47.5545498721,29.9360168485,54.004,-4.8385,-6.8803056266,1275.97505856,287.285,35.6205,22.38,2646.71337661,341.736,10.647,12.843011509,1125.08640427,452.931,-10.138,-7.42582352941,751.045875918,223.691,-12.6605,-6.97656138107,981.936072302,313.642,33.0405,35.6708964194,543.727681367,183.212,4.1485,4.04653324808,266.356743367,148.612,9.905,7.66644117647,725.526677091,153.918,7.394,5.64890792839,272.12045159,135.38,-6.266,-6.73081585678,272.102769324,119.151,-5.1495,-5.45935421995,285.149748669,131.063,0.369,0.421314578005,0.0773514227798,0.988,0.5235,0.558815856777,0.132802817754,0.986,0.15,0.251474424552,0.0646024769674,0.983,0.3705,0.418998721228,0.0518083542183,0.971,0.7605,0.695896419437,0.090712197711,0.965,0.2665,0.328916879795,0.050871436825,0.973,0.2375,0.263622762148,0.0338966518093,0.989,0.255,0.32220971867,0.0621925161204,0.988,0.2995,0.367516624041,0.0716409786239,0.982,0.3035,0.411530690537,0.118725197907,0.994,0.177,0.228283887468,0.0377570524002,0.995,0.3215,0.383649616368,0.0578296496098,0.975,3.0,9.0,1.0,183.124,188.47302,0.636,0.0,0.0,-7.175,150.015,0.520370304282
126.19806,126.184029158,5344.66950365,250.62384,127.860585,127.850301198,5458.41149411,255.28306,97.52794,109.318719091,6856.05009698,235.50689,-7.137,-8.04567365542,20.3000107249,37.737,0.04502,0.0556247584321,0.00163175675165,0.37324,-14.963,-16.9460601641,53.9281531158,54.168,122.4766,123.765064038,5269.78652806,255.46898,127.85971,127.850323366,5437.13433808,255.28306,49.242,47.8396417502,25.8791210047,43.365,22.771,20.15698268,1786.80964981,346.479,22.903,25.5495496809,1537.30108163,268.477,5.453,9.17273290793,1766.90097127,687.157,-2.386,3.00999817685,1734.86694878,334.323,-10.548,-3.472023701,1111.95485151,232.811,4.263,5.57570920693,1014.72677322,280.496,4.493,3.26377028259,582.046930026,233.447,13.353,12.9519489517,648.844233886,166.211,6.936,7.83987784868,415.996305161,140.285,-1.483,-2.87583135825,394.902614124,188.238,2.648,1.37295350957,306.372315144,144.138,0.666,0.648455788514,0.0959065488658,0.986,0.602,0.605364630811,0.089175637327,0.989,0.347,0.399225159526,0.0637235217736,0.99,0.277,0.349181403829,0.0589294301738,0.989,0.29,0.409358249772,0.0974262280837,0.981,0.279,0.350755697356,0.0646562119662,0.986,0.354,0.399653600729,0.0524558873002,0.99,0.357,0.421346399271,0.0667230395335,0.987,0.307,0.382721057429,0.0722755630297,0.984,0.305,0.416811303555,0.102249571504,0.981,0.252,0.34143573382,0.0681198429528,0.98,0.383,0.452000911577,0.0921244020046,0.985,4.0,7.0,1.0,252.569,261.82485,0.0,0.0,0.0,-5.406,90.038,0.487492443417
137.518375,137.705501354,6362.47051243,273.22854,138.95788,139.153123316,6531.21830289,278.96704,172.402385,151.6306225,5716.80478445,253.74815,-11.823,-12.027001004,40.5462234669,58.004,0.04331,0.0613346787149,0.00345057956405,0.57582,-17.509,-17.6262319277,48.0837577826,54.922,136.11551,136.603272671,6216.45744521,279.46639,138.95788,139.153030548,6531.24446552,279.4517,45.168,45.2225341365,43.047836046,55.04,-14.694,-17.8315321285,4010.91361429,444.43,41.1285,46.0752931727,1760.17323128,259.086,3.5145,3.02119779116,854.305687849,436.046,12.2585,12.5027740964,1044.23061477,209.256,-18.8825,-16.1459648594,417.215530526,276.812,-2.5265,-2.98784638554,583.088343612,152.187,-3.554,-5.23358433735,491.515844865,223.671,5.759,5.3708373494,367.71251358,137.214,-1.187,-1.94136044177,285.322657817,121.384,5.342,4.13212148594,193.286156304,108.671,14.924,13.5247369478,389.559190903,115.838,0.199,0.3424437751,0.108791373345,0.992,0.279,0.403657630522,0.124242586598,0.994,0.283,0.381348393574,0.0895525864532,0.99,0.1315,0.195915662651,0.0324185832487,0.993,0.164,0.310708835341,0.105261848958,0.992,0.1285,0.192092369478,0.0353309513072,0.994,0.4,0.499111445783,0.128445052841,0.992,0.2365,0.358997991968,0.10051563855,0.994,0.129,0.217826305221,0.0518864427217,0.997,0.121,0.202763052209,0.0497915462654,0.996,0.0935,0.195480923695,0.057902870118,0.996,0.271,0.399214859438,0.102363281145,0.982,4.0,11.0,0.0,275.923,289.74975,0.084,0.0,0.0,-6.936,83.85,0.480238747979
94.86415,94.3989251456,2979.3471484,187.15818,96.47531,95.995145625,3035.19380351,190.0932,96.80393,92.537775,3502.26901428,177.41403,-6.985,-7.75673846154,14.2857820421,57.22,0.04639,0.0595896083916,0.00296772857355,0.74542,-13.374,-13.7314461538,17.0766956821,54.269,100.82875,98.0534663636,2855.14899634,190.18014,96.47588,95.996081769,3027.95346298,190.0932,50.19,49.4293804196,11.5488352203,54.337,32.303,30.7259804196,846.630467776,238.924,35.371,40.1001426573,1208.3065902,270.74,-1.924,-1.09642377622,795.873680331,545.32,-13.218,-11.6472517483,709.271405674,190.71,-13.614,-12.5004769231,510.607042907,334.351,7.933,5.38295244755,864.46223463,166.208,4.685,1.82870629371,369.058797508,198.965,7.744,11.2851370629,600.044164529,147.743,3.441,4.39676783217,242.434627563,158.584,-0.736,-1.37605174825,168.684393053,171.844,0.559,-1.85848391608,344.542783911,129.675,1.0,0.835841958042,0.0622664519458,0.954,0.52,0.563173426573,0.0779721825106,0.961,0.263,0.318725874126,0.0494632731068,0.984,0.128,0.178759440559,0.023062602271,0.992,0.152,0.218633566434,0.0355880167754,0.982,0.196,0.238430769231,0.0339396801721,0.99,0.203,0.253556643357,0.0424399055328,0.994,0.322,0.412783216783,0.0773039935645,0.966,0.19,0.268836363636,0.0491791214749,0.978,0.128,0.221593006993,0.0514846972938,0.995,0.127,0.272457342657,0.0888272104181,0.991,0.378,0.399124475524,0.0473249928975,0.988,4.0,0.0,1.0,189.185,194.40281,0.136,0.0,0.0,-5.714,130.331,0.476248227291
93.64481,90.8816127869,2737.00660064,175.95226,91.1711,90.7363476172,2724.20423857,180.21364,99.98585,86.6438157143,3337.21953497,161.6819,-4.272,-4.79364943457,10.5282606219,60.191,0.0439,0.055372180937,0.00158177774242,0.32542,-10.497,-11.7360387722,34.5597113168,56.153,94.71143,91.7020668659,2548.57585275,180.9493,90.99428,90.5594706537,2729.58959967,180.9272,52.595,52.0055767367,14.3464660147,57.562,33.233,32.1826025848,1086.57666648,250.229,44.865,45.44980937,876.201785359,303.524,5.814,6.64771890145,1475.63122957,871.761,-24.546,-19.6267722132,789.560117691,177.337,-11.362,-4.57803231018,859.267591359,219.744,5.839,0.124365105008,645.557392788,170.302,-0.225,0.678739903069,391.48055902,199.763,2.661,0.285621970921,324.11215734,132.41,0.794,2.34526978998,368.7341541,200.662,0.586,0.275075928918,258.168442991,133.139,5.066,4.64984006462,174.422079688,95.349,0.238,0.308371567044,0.0577249540219,0.987,0.382,0.470129240711,0.103161149694,0.985,0.255,0.364462035541,0.09231539557,0.98,0.245,0.322848142165,0.0563922806549,0.979,0.56,0.573216478191,0.116806815819,0.983,0.194,0.241177705977,0.0331432899069,0.99,0.159,0.213890145396,0.0340495614376,0.985,0.167,0.231967689822,0.0422314012178,0.992,0.296,0.345978998384,0.0483658687027,0.99,0.489,0.546198707593,0.115089235152,0.991,0.218,0.268310177706,0.0370813609788,0.994,0.201,0.29762358643,0.0735290974081,0.994,4.0,9.0,1.0,180.703,187.03628,0.136,0.0,0.0,-3.47,85.004,0.467365631328
141.969585,139.785604014,6233.06281129,272.29375,143.224475,140.971548676,6362.11283408,276.96537,120.01493,117.107811818,7960.67030607,269.11523,-10.279,-10.4034118919,36.5298049471,57.21,0.04592,0.0576842810811,0.00184166410405,0.4162,-15.491,-16.4716540541,61.4333562349,55.323,139.23002,137.092559838,5990.62844759,277.60912,143.22384,140.969659304,6373.35603481,277.46292,46.7,46.7335502703,43.9509446064,55.494,10.61,2.49494486486,2015.45196706,332.446,40.175,24.4705189189,3212.20731944,346.242,-0.457,1.1281372973,1040.13040935,589.416,7.264,14.7862605405,1303.80108547,236.761,-24.488,-21.4934313514,583.505497759,233.877,16.41,23.6823621622,1394.32039901,258.428,0.613,-0.847315675676,369.262040724,185.631,14.017,12.0283405405,790.102379915,211.371,2.6,2.04415675676,347.155348385,155.122,0.802,0.848277837838,194.847240108,121.392,11.467,16.0116756757,638.053934394,152.215,0.427,0.500788108108,0.119845111859,0.993,0.271,0.376353513514,0.103460330163,0.997,0.225,0.339227027027,0.0941338381885,0.998,0.152,0.22632972973,0.0509305150621,0.997,0.298,0.413958918919,0.105296469664,0.98,0.201,0.279737297297,0.062084420717,0.995,0.19,0.249697297297,0.0518862564792,0.998,0.313,0.411189189189,0.112453018262,0.998,0.22,0.327777297297,0.0843304282413,0.988,0.258,0.426285405405,0.148194776922,0.996,0.152,0.247442162162,0.0615393385467,0.997,0.271,0.355579459459,0.082506721524,0.991,4.0,0.0,1.0,277.566,284.96934,0.097,0.0,0.0,-6.317,120.458,0.447784051196
96.19395,95.9662005344,3064.42782818,189.15304,96.93919,96.6886282922,3097.87907588,191.40804,70.7761,79.6797284615,3259.10828015,183.69401,-6.368,-6.72171528588,9.27144888043,58.745,0.05528,0.0626363827305,0.00142625267,0.39099,-14.091,-14.9308798133,27.3702702761,54.212,98.52939,98.9202647025,3020.31503746,191.53633,96.93919,96.6894389934,3092.09832049,191.40804,50.175,49.7223908985,10.5968087118,54.479,35.273,37.3340676779,1042.86467906,282.832,21.761,24.7100653442,2241.3676065,386.12,-4.594,-4.14086697783,1556.60824379,630.466,-5.312,-4.31947374562,812.010574784,182.033,-1.564,1.33131271879,925.139571211,218.484,4.195,0.191189031505,892.669549787,148.972,7.081,6.93524737456,586.024866989,193.433,5.377,7.9814714119,415.485558473,137.988,7.541,7.41724854142,405.949661076,150.441,-3.713,-5.1594714119,390.745753036,151.658,3.814,4.30483663944,277.617804631,108.972,0.586,0.569348891482,0.11622239286,0.976,0.447,0.495564760793,0.108404143122,0.99,0.314,0.376998833139,0.0614086662764,0.99,0.215,0.279221703617,0.0456111387122,0.99,0.262,0.335381563594,0.0734768427406,0.992,0.236,0.300635939323,0.0536027122673,0.983,0.332,0.400810968495,0.0691442396463,0.987,0.43,0.531441073512,0.116719852129,0.972,0.3,0.356661610268,0.0564140768576,0.981,0.363,0.421218203034,0.0800393024458,0.988,0.247,0.348584597433,0.0833270106379,0.986,0.334,0.432312718786,0.0993386700016,0.981,4.0,7.0,1.0,191.164,195.26485,0.166,0.0,0.0,-5.51,163.159,0.437036204112
124.12583,122.649592682,4756.84858779,241.64407,124.671675,123.154075903,4812.27144773,244.10317,127.79097,115.03512625,6041.02122518,236.05846,-3.39,-4.65321557455,17.4104695214,60.174,0.04809,0.0591748338082,0.00198081588062,0.5948,-11.106,-12.9435384615,64.5216185676,57.327,120.96295,119.085325223,4773.67094448,244.68857,124.67212,123.153512471,4819.31907161,244.45043,53.362,51.7682079772,27.534198028,57.845,31.583,34.4096980057,1805.7275408,397.382,49.701,60.9563912631,2539.27184329,358.863,11.089,20.3504415954,2452.10623527,479.598,-20.632,-16.8235365622,1033.78987225,213.483,-4.935,2.981337132,1321.71622003,325.317,18.146,17.992362773,592.052075359,158.029,3.464,3.43857549858,369.50609364,241.5,-1.963,-1.95150807217,206.862429008,115.81,-4.218,-3.84563437797,244.67535041,108.04,-0.748,-1.95161348528,259.003819855,118.924,2.691,2.18251566952,150.612048102,112.946,0.608,0.632665716999,0.100962775244,0.985,0.401,0.463926875594,0.0875635188693,0.982,0.267,0.309667616334,0.0454364992077,0.989,0.276,0.326865147198,0.0537769732677,0.995,0.313,0.394469135802,0.0821493829505,0.994,0.357,0.443560303894,0.0983665445591,0.995,0.234,0.287458689459,0.0475968104967,0.994,0.315,0.353861348528,0.0547562523807,0.983,0.31,0.385343779677,0.0775242179979,0.993,0.227,0.273114909782,0.0345927645735,0.996,0.211,0.315723646724,0.0694624715871,0.99,0.295,0.350269705603,0.0573771732228,0.987,4.0,1.0,1.0,239.746,250.69669,0.107,0.0,0.0,-2.939,170.974,0.419125892959
181.94847,183.095226121,11094.6800623,360.23499,184.663015,184.829699725,11266.3971937,366.58407,89.953245,127.459235833,13269.518438,361.82736,-9.938,-13.017734563,66.8237717459,49.93,0.04477,0.0630011307137,0.00566347166616,1.23806,-16.308,-18.7554081796,68.5617827436,54.323,193.4171,192.872105044,11146.6617638,368.8473,184.79796,184.959546217,11282.3578407,367.37101,47.182,44.2052894948,63.6362804142,51.359,8.147,-3.0545701684,4759.1727858,534.203,27.985,42.1225356856,4040.63239633,416.595,5.83,5.59350360866,1333.61148464,528.898,2.484,6.90032878909,1487.20755742,338.801,-18.149,-15.6556968725,480.373453133,336.681,7.144,10.1403175621,1863.96494194,323.946,-2.003,-1.93330473136,529.583770528,220.674,8.218,4.5842638332,1054.42359259,270.281,0.108,-1.43924137931,364.309300453,192.565,1.757,0.656619887731,226.439377681,131.12,10.089,11.1670112269,623.964518149,210.233,0.236,0.354419406576,0.09835339988,0.994,0.178,0.278016038492,0.0740862916433,0.997,0.164,0.249981555734,0.0579688889942,0.995,0.127,0.19074659182,0.0358481041885,0.996,0.419,0.517012028869,0.150745723191,0.991,0.199,0.272534883721,0.0560348357919,0.991,0.215,0.317840417001,0.0851683201628,0.991,0.343,0.458762630313,0.121980476134,0.993,0.192,0.269141940658,0.0577974257229,0.997,0.149,0.282615878107,0.0932647209347,0.998,0.108,0.219434643144,0.0657751663379,0.995,0.321,0.415178027265,0.101775092605,0.993,4.0,9.0,0.0,357.732,380.00281,8.499,0.0,0.0,-7.303,77.046,0.401486711428
117.14812,116.951096474,4502.69180658,232.24693,117.14812,116.951096474,4502.69180658,232.24693,120.60313,109.339063636,5784.75936942,219.56261,-7.657,-8.18262596899,9.12241713142,56.482,0.03569,0.0437945833333,0.000930737467074,0.29247,-14.4185,-15.5711686047,24.9844447642,52.983,115.510975,114.703042025,4448.67156107,232.55746,117.06265,116.86491997,4502.79191813,232.41987,48.7835,48.0549825581,10.8005193737,53.067,19.6105,20.1580862403,1192.73109036,253.593,14.8995,9.44237112403,1935.91681499,295.941,2.8545,2.97160174419,884.589355623,360.412,-13.9155,-14.0544515504,980.628864907,245.914,-14.573,-10.3073255814,825.945365241,311.339,-9.3205,-10.8362054264,521.331312095,210.79,-8.7095,-7.14487209302,393.397364313,194.602,3.8315,3.4696375969,375.353812566,145.911,-0.622,-0.564510658915,246.625273556,146.847,4.0475,4.17623934109,273.594018765,253.81,0.488,-1.12943895349,333.021876452,118.272,0.451,0.495002906977,0.095643940883,0.988,0.449,0.51934496124,0.113229941079,0.99,0.274,0.382792635659,0.0952905383954,0.983,0.2075,0.258966085271,0.0351239959428,0.988,0.2675,0.354449612403,0.066488257151,0.989,0.2955,0.414596899225,0.105768147587,0.99,0.221,0.28457751938,0.044510333138,0.979,0.22,0.316471899225,0.0716415166522,0.981,0.2405,0.308303294574,0.046899827586,0.982,0.3825,0.468074612403,0.095946363619,0.974,0.349,0.405309108527,0.0710703279015,0.979,0.29,0.344423449612,0.0556837402641,0.982,1.0,5.0,1.0,232.658,235.20608,0.125,0.0,0.0,-6.766,173.952,0.401486711428
