barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
117.78997,117.742601218,4591.00402186,233.63086,118.352395,118.307368631,4650.27216068,236.25763,110.27343,104.862777778,5422.96564238,229.91475,-8.146,-10.0047924298,40.3678771681,58.389,0.04982,0.063198009768,0.00253665023255,0.57555,-16.79,-17.6043028083,47.9381098839,54.966,114.44,117.363577277,4581.32219371,236.42336,118.35239,118.307440056,4642.84439027,236.25763,48.125,46.3558290598,41.3377308304,55.974,5.829,1.96982051282,1615.48007457,321.529,-5.557,-8.91923687424,1888.35861437,247.025,-14.211,-16.164976801,1195.80947919,283.476,-10.466,-11.0121697192,968.554653037,218.137,-3.42,-1.15874358974,783.810451531,229.708,-8.427,-10.0385518926,469.765976255,142.269,-3.242,-2.28341514042,474.171240851,159.143,8.587,11.5398107448,456.308084972,158.315,1.492,0.427181929182,276.641296752,134.661,-1.733,-4.16905128205,281.210475321,104.909,8.275,8.79683516484,285.830624882,117.395,0.212,0.33004029304,0.0917001461176,0.992,0.233,0.362975579976,0.108927120283,0.996,0.121,0.204982905983,0.047620239024,0.998,0.169,0.277070818071,0.0726388008456,0.995,0.2,0.348727716728,0.11735081353,0.997,0.163,0.265153846154,0.0722201521555,0.992,0.253,0.380727716728,0.110302300709,0.993,0.157,0.275531135531,0.0868943174066,0.997,0.182,0.294289377289,0.0856303155282,0.996,0.103,0.195255189255,0.0537667761483,0.997,0.164,0.261418803419,0.0670043362032,0.994,0.248,0.377925518926,0.101799841827,0.99,4.0,11.0,1.0,226.9,238.15791,0.148,0.0,0.0,-6.552,159.972,0.643142958104
122.96289,122.934976129,5132.43609559,245.48012,124.636965,124.602753075,5188.17064828,248.81264,89.64419,102.755394444,6276.40813006,238.97754,-6.6545,-7.53420656371,10.3902743299,20.562,0.043395,0.0599032625483,0.00334152253028,0.80535,-15.555,-15.958457529,32.4556999451,50.819,121.33662,122.98085417,5304.62568311,249.11197,124.72051,124.68616583,5174.34696186,248.9789,49.2675,48.5161872587,15.596421631,23.638,28.2945,25.2777181467,1641.68865346,250.025,18.6535,15.0436216216,1677.61674489,249.154,0.942,1.82531660232,1365.22431109,464.808,0.16,0.249457528958,653.761233918,170.747,-10.5615,-6.57412065637,966.89947393,204.447,12.3015,12.5344623552,502.083250295,147.418,-0.3145,-0.191777027027,514.241363922,193.833,5.6375,7.15430694981,311.75192178,138.015,9.5685,10.0146196911,297.10187877,119.027,-2.672,-3.33072490347,359.379609371,140.444,0.251,-0.246274131274,271.018139906,106.568,0.4315,0.477757722008,0.0931099885987,0.993,0.55,0.571116795367,0.111170068405,0.983,0.1865,0.230230694981,0.0338899651196,0.995,0.242,0.298457528958,0.0529419663429,0.994,0.2095,0.294892857143,0.0633406921884,0.997,0.2255,0.310251930502,0.0683649606623,0.996,0.288,0.383537644788,0.0967445980037,0.995,0.293,0.368831081081,0.0844696152888,0.989,0.4765,0.538264478764,0.106875316151,0.982,0.292,0.403404440154,0.0974249860421,0.994,0.27,0.365213320463,0.0847993956141,0.996,0.153,0.269662162162,0.0784867468695,0.998,4.0,1.0,1.0,248.825,252.682,0.0,0.0,0.0,-5.885,90.041,0.597358404331
156.5277,156.446036216,8198.65659725,310.75897,157.93516,157.858473848,8310.34526604,314.98362,141.58557,115.341028571,8757.14725911,272.29262,-4.3475,-4.24002921348,18.9900910295,39.912,0.02432,0.0284074269663,0.00248240159372,1.43471,-15.9935,-16.400047191,27.3796547629,54.434,162.636895,153.479317236,9201.0300598,315.9512,158.11165,158.035041817,8319.66757251,315.68719,50.3775,49.8230398876,16.787124345,39.423,62.0475,55.8592376404,2842.53990369,398.516,-21.55,-10.9347775281,2486.92092263,444.895,28.0115,38.8156595506,1962.50848898,715.79,10.6045,12.0654235955,760.438492488,195.648,-27.5145,-22.9180106742,1365.68194766,429.374,2.2325,3.45902808989,458.866057274,163.263,3.0945,-1.6354252809,1359.79629317,204.853,0.856,-2.18606011236,278.98238644,100.328,0.503,1.34532134831,508.28472769,141.864,15.691,17.3281213483,363.403769032,243.023,4.5575,4.73373370787,167.09745361,79.427,0.6665,0.625220224719,0.0949859829617,0.982,0.7445,0.674873595506,0.0976997733477,0.977,0.2965,0.40496011236,0.0867915585213,0.992,0.351,0.423897191011,0.104173392239,0.991,0.38,0.463623033708,0.109593453964,0.99,0.593,0.544005617978,0.126005869631,0.991,0.31,0.440980337079,0.114495546243,0.989,0.3055,0.445860674157,0.115732068229,0.988,0.329,0.440330337079,0.102412305484,0.988,0.272,0.370121348315,0.0788081661735,0.995,0.278,0.342048314607,0.0769278077781,0.995,0.268,0.311766292135,0.0578220296503,0.997,4.0,10.0,0.0,315.408,326.42567,0.0,0.0,0.0,-0.864,85.011,0.576399981255
157.33016,157.509938671,8392.32441503,315.15049,158.441815,158.620912535,8432.9397689,317.37494,54.652475,87.690497,7847.4448258,286.53777,-12.0425,-12.6139667488,10.38229251,53.459,0.043175,0.0483170628079,0.000822783850178,0.35264,-21.672,-22.5696539409,33.038346916,47.444,161.297755,159.12975343,8455.60734606,317.90703,158.36785,158.546693699,8425.07480038,317.81831,43.655,42.8296656404,13.8085494405,48.766,30.7565,29.4762068966,1041.63506241,306.538,11.1465,8.94703017241,1392.05653673,314.188,3.5145,3.98292857143,1410.35518759,549.228,-8.5995,-8.6615658867,517.226624565,186.032,8.8715,13.2815960591,1160.6943809,326.622,-27.148,-27.2723552956,381.759322672,143.712,-7.3275,-6.9588953202,350.651666691,163.67,4.2925,4.43246674877,285.64765161,147.239,0.3565,0.0647580049261,253.596985645,161.108,0.615,0.238458128079,292.772680176,142.246,0.2145,0.269867610837,216.258897894,114.388,0.4,0.449435960591,0.0603331313669,0.988,0.544,0.577648399015,0.0943827476822,0.983,0.324,0.377556650246,0.0604319869385,0.986,0.225,0.264733374384,0.0314345108073,0.994,0.478,0.537485221675,0.109382274412,0.972,0.322,0.385332512315,0.0620221763814,0.986,0.371,0.445192118227,0.0859226428935,0.966,0.22,0.273891009852,0.0425520712492,0.984,0.2705,0.321860221675,0.0445114010285,0.986,0.2975,0.405979679803,0.0919195703999,0.98,0.2525,0.298411945813,0.0370221979115,0.987,0.355,0.449878078818,0.0923135307017,0.995,3.0,9.0,1.0,317.515,322.14159,0.375,0.0,0.0,-11.284,81.069,0.528695287583
185.10624,185.528186751,11426.3744503,369.35158,184.86976,185.412918455,11619.4228623,372.18617,136.91273,127.772050769,7091.02375629,267.78698,-11.285,-12.8759380734,37.1219722221,41.177,0.03184,0.043546146789,0.00118562908206,0.33041,-23.445,-25.5130131881,81.5305233937,49.485,197.992765,194.579905654,11283.4514143,373.02653,184.869,185.413654953,11633.9544721,372.65793,43.1895,41.1855716743,41.2121004559,41.039,61.6655,53.0177173165,4822.0638743,631.824,-69.0775,-67.2106307339,3443.84214886,417.229,3.6635,4.11611754587,3909.57990646,586.79,-6.455,-5.42345068807,888.520655056,242.968,-7.541,-1.93160091743,2357.63751496,366.989,0.158,-1.23044323394,1268.94727514,283.775,0.5875,-0.0853222477064,742.827226142,260.368,3.058,1.5516146789,546.620185111,196.862,6.364,4.89434805046,486.507690823,171.944,-4.8635,-5.65697419725,830.718507508,230.069,-1.6875,-2.18260493119,296.579053319,122.774,0.9,0.720751720183,0.10784224283,0.977,0.61,0.591383027523,0.0806448727853,0.988,0.2585,0.330138188073,0.0751374436334,0.995,0.2425,0.343930619266,0.0949139280992,0.998,0.233,0.292401949541,0.0558168642393,0.996,0.159,0.252525802752,0.0614823399305,0.999,0.175,0.308193233945,0.0985363175918,0.997,0.208,0.332973050459,0.103414051453,0.998,0.235,0.338985091743,0.102548992897,0.999,0.1875,0.320893348624,0.102532269589,0.999,0.149,0.282605504587,0.0814569888688,0.996,0.1875,0.300506307339,0.0886172476666,1.0,4.0,10.0,0.0,373.551,373.55057,0.0,0.0,0.0,-9.984,126.976,0.502449624125
168.64376,167.428878667,9123.12668783,329.4827,169.49685,168.269978825,9190.30378245,332.06365,114.381715,142.42917,12597.8158559,319.24624,-14.3,-14.9143589744,10.1157664626,51.54,0.04003,0.0462878461538,0.00083449914784,0.42385,-24.27,-24.9003663818,35.9515787997,46.893,167.62776,164.724173624,9645.33927926,332.48372,169.63606,168.411526556,9189.72307184,332.34858,41.113,40.4494239316,14.7154698681,48.269,66.113,62.3337128205,1738.69169596,251.016,-22.006,-25.4500433048,1540.5260585,259.279,1.7,2.99002564103,1447.41856637,384.486,-22.26,-21.0819310541,695.269769813,186.54,-1.287,3.17322051282,1233.06285526,255.567,9.728,8.77704387464,374.528084368,154.618,-8.884,-9.91130541311,583.962629998,168.264,-0.809,-0.013207977208,337.768634275,181.084,-1.057,-2.14904045584,381.11068287,148.084,-1.259,-1.55412592593,352.875925227,148.672,2.887,2.64805299145,235.479103615,129.962,0.578,0.609978347578,0.102105966483,0.975,0.377,0.447238746439,0.076292823342,0.983,0.29,0.371486039886,0.0734412150473,0.988,0.291,0.390973789174,0.0884119104241,0.992,0.415,0.471511680912,0.0790806361883,0.981,0.499,0.542056980057,0.112328965414,0.989,0.261,0.326798290598,0.056033008886,0.981,0.277,0.378803418803,0.0837846684783,0.982,0.205,0.270391452991,0.0446678951976,0.989,0.221,0.285597150997,0.0483220228979,0.993,0.176,0.229752706553,0.032145341695,0.986,0.276,0.324334472934,0.043642027729,0.985,4.0,5.0,1.0,329.503,335.75138,0.38,0.0,0.0,-13.419,141.13,0.500206246622
145.43852,145.664750077,7118.80030723,290.60002,145.43852,145.664750077,7118.80030723,290.60002,74.9449,110.459047273,9207.76955026,282.43293,-12.076,-14.0229381153,42.7273461762,54.698,0.05787,0.084991350211,0.00765703207272,0.74084,-19.827,-20.835164557,55.7919932233,51.881,133.62218,139.299386456,6670.48032664,291.0888,145.442,145.664914994,7100.77236132,290.60002,44.363,42.8261040788,44.4309147824,52.506,47.77,34.8250675105,4072.87671664,313.869,65.415,64.5100365682,1093.78408484,219.294,5.62,2.26603094233,1243.33736869,340.88,21.521,24.0974472574,1236.49180725,187.439,-6.158,-1.94175246132,572.789449849,153.982,-10.87,-9.84159774965,577.381241231,136.671,-0.431,2.35502250352,382.624411895,167.564,6.455,7.71765541491,461.295479624,149.964,0.629,0.128212376934,221.349844651,140.238,0.821,-1.32054852321,314.329371092,137.374,13.891,14.0002250352,289.64404157,98.92,0.42,0.506427566807,0.131732706076,0.993,0.1,0.130905766526,0.0123525663662,0.995,0.246,0.353558368495,0.103330454751,0.986,0.083,0.116603375527,0.0136633982446,0.995,0.21,0.334811533052,0.0997376859992,0.996,0.133,0.250869198312,0.0771457198811,0.995,0.118,0.157064697609,0.0192335963768,0.993,0.41,0.518023909986,0.129419384801,0.972,0.121,0.157248945148,0.0193400097563,0.987,0.232,0.358618846695,0.103307574835,0.992,0.097,0.142592123769,0.0258917830041,0.993,0.203,0.298697609001,0.0716923881659,0.983,1.0,0.0,1.0,287.115,297.1424,0.223,0.0,0.0,-9.902,80.36,0.498170860956
130.63022,130.580174993,5665.71679898,260.87793,130.63022,130.580174993,5665.71679898,260.87793,111.79836,119.07141,6949.80406122,255.66407,-10.653,-11.2388980545,11.2035174628,53.614,0.04531,0.0512263268482,0.000902208877559,0.32356,-21.197,-21.8670474708,23.7719639005,49.381,132.34331,131.088047144,5678.28337753,261.07002,130.71891,130.669011224,5665.70443862,261.06773,44.451,43.8971649805,11.8074277502,48.837,12.715,12.6662132296,1387.57426186,348.928,-11.051,-10.0617821012,1380.68692105,347.861,0.893,1.70737821012,1532.53036972,566.591,26.221,24.6283159533,538.417268437,158.722,11.96,13.2630412451,1309.42723312,352.204,-16.724,-16.9851081712,435.378910272,145.521,-15.167,-13.5297237354,731.138604944,204.385,-4.468,-3.70842801556,320.822348148,138.861,-2.583,-2.74279533074,469.794687545,153.12,-4.439,-4.37679688716,381.075640426,139.072,-0.932,-1.73459066148,292.033151479,170.113,0.595,0.617660700389,0.103654424954,0.946,0.345,0.398157198444,0.0585394725649,0.99,0.349,0.435028793774,0.0979491548129,0.991,0.165,0.206196108949,0.0263126292456,0.988,0.241,0.330232684825,0.0737929987761,0.981,0.204,0.295519066148,0.0656468208427,0.992,0.218,0.271298832685,0.0404327651737,0.983,0.357,0.431425680934,0.091616149535,0.981,0.197,0.242246692607,0.0311120799988,0.988,0.257,0.360513618677,0.0864887027328,0.992,0.243,0.332033463035,0.0715998393472,0.986,0.389,0.476426459144,0.0847582523738,0.987,1.0,0.0,1.0,251.298,265.29914,0.351,0.0,0.0,-10.312,169.131,0.487378507764
78.633665,78.5478854231,2041.65891334,155.32557,78.633665,78.5478854231,2041.65891334,155.32557,81.32677,68.20875,2553.25373635,134.93366,-11.6735,-12.5043128492,16.839600606,53.529,0.03944,0.0445859217877,0.000465508791469,0.21585,-22.852,-23.7299888268,39.4114473686,46.742,79.59764,79.7463760196,1990.03627301,155.82617,78.833285,78.7478354359,2041.41032257,155.63509,43.6935,42.4574804469,21.6244357049,48.838,28.109,30.4884036313,1113.15549315,309.056,7.1335,2.29978910615,1766.99189081,298.535,9.5775,10.5742178771,1590.48674194,531.944,3.98,6.08796089385,743.480630705,164.4,10.4975,11.1060963687,1241.25641536,260.048,-4.155,-4.79366340782,515.139109673,155.279,-4.305,-3.89729748603,521.989559974,188.275,-6.8845,-6.7276773743,395.600450146,121.775,3.367,1.94198184358,306.14280913,102.887,3.283,2.45118296089,381.598433191,120.294,2.0075,1.79676396648,285.07295394,96.965,0.418,0.499682960894,0.106612875743,0.993,0.5,0.547430167598,0.0930937423301,0.997,0.504,0.554583798883,0.102477254151,0.986,0.3115,0.331872905028,0.0405025522826,0.994,0.306,0.389872905028,0.0817010858022,0.998,0.218,0.271410614525,0.0461749654739,0.99,0.221,0.293082402235,0.0553570113663,0.993,0.2275,0.32811452514,0.0815149170516,0.996,0.22,0.273562849162,0.0442810281729,0.993,0.3515,0.457730446927,0.0976837387937,0.992,0.189,0.252141061453,0.0463725625039,0.992,0.289,0.366466480447,0.0733397153569,0.984,1.0,9.0,0.0,155.533,161.95873,0.334,0.0,0.0,-11.103,99.786,0.487378507764
150.66787,151.1805675,7715.65267329,301.17791,152.41539,152.917187447,7794.29053049,305.99174,118.90489,133.896598667,9048.22119506,289.62372,-26.294,-26.9149916963,31.689109669,44.105,0.02769,0.0785758956109,0.224178656369,12.47004,-33.755,-34.2382502966,22.9989423585,38.306,180.65451,178.333375718,4842.41435039,306.39918,152.292955,152.793423562,7794.1640888,306.24306,29.867,29.1986441281,22.4175559232,39.585,-205.584,-200.665274021,1476.85986149,458.145,-60.803,-67.0090984579,2901.79353779,309.432,-11.766,-17.2612811388,2042.58714964,292.23,-2.344,-2.43627520759,1010.62753635,226.139,-27.178,-24.6258873072,680.555643571,172.546,-29.758,-30.0932396204,673.227280427,167.41,7.073,7.50540925267,341.998465487,110.393,-8.86,-10.5552194543,596.257008231,160.796,-1.78,-1.78665599051,149.970694553,100.771,8.229,8.49216963227,194.885316867,94.605,4.81,5.55221945433,361.655093557,166.11,0.076,0.117511269276,0.015017507287,0.998,0.495,0.573615658363,0.0974155058995,0.946,0.107,0.13090747331,0.0104295098255,0.873,0.752,0.699778173191,0.08618928294,0.931,0.07,0.0911696322657,0.00533334844909,0.48,0.024,0.0392728351127,0.00268858748271,0.648,0.012,0.0268956109134,0.00395844461893,0.999,0.059,0.0754246737841,0.00356289201279,0.508,0.524,0.56384460261,0.0958988216405,0.998,0.087,0.103803084223,0.00733985209013,0.913,0.442,0.518190984579,0.103868289741,0.987,0.063,0.0883190984579,0.0070690096827,0.591,7.0,8.0,1.0,299.015,314.51383,0.148,0.0,0.0,-22.902,120.078,0.486108870434
