barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
77.33892,77.4127301266,2015.34777801,153.32694,79.05893,79.1340356875,2067.04779639,156.78333,57.00647,63.08449,2796.86939159,145.95346,-7.4,-8.5293797856,20.3935620212,55.954,0.0431,0.050734517611,0.00139195612063,0.49774,-17.912,-18.6233843798,33.1615732504,51.885,76.54712,78.1288956508,2031.54469195,157.88136,77.58377,78.4917430189,2041.77224936,154.32018,10.753,12.0965206738,1120.14666799,229.497,10.478,11.4286477795,1079.38621011,261.09,11.46,13.4712603369,1157.4248741,302.878,11.344,13.7565022971,1213.10107176,229.575,11.412,13.9215620214,1080.86379513,229.229,12.529,15.3263185299,1265.50403179,283.953,12.796,14.0238683002,1107.11252299,259.693,12.666,14.2544104135,1199.92992265,385.784,11.133,13.1398621746,1060.84365713,199.37,12.199,12.9789479326,1182.15832028,231.382,11.149,12.7725589587,1230.08168985,236.615,10.022,13.2720872894,1210.88448824,248.404,4.0,0.0,1.0,158.285,166.05995,0.514,0.0,0.0,-6.416,122.117,0.595280456422
81.89652,81.7753447619,2190.37536449,161.70807,81.89652,81.7753447619,2190.37536449,161.70807,57.22084,56.9701144444,1459.8921388,115.56464,-10.376,-11.0870734463,14.7554638609,55.569,0.05627,0.0675236723164,0.00266288742512,0.6504,-17.657,-17.9218512241,21.2399327029,51.141,81.75488,81.120363597,2226.72534325,162.03152,79.00242,78.7506828947,2123.42841947,154.15597,6.992,11.8642806026,1361.02061937,242.046,6.728,12.9019020716,1461.11122386,252.092,5.393,13.23373258,1532.07076345,257.323,6.323,13.7538719397,1514.59328814,252.331,5.85,12.0652636535,1541.37093783,309.66,5.789,13.0422090395,1368.64161957,325.496,6.109,12.4939905838,1399.52449637,246.648,8.217,13.6252485876,1493.16118176,258.552,6.598,13.1211581921,1602.36475031,243.828,8.858,14.1258606403,1525.33264145,308.127,6.801,14.3052636535,1649.79297177,332.972,7.381,13.4241619586,1533.27327539,364.504,1.0,9.0,1.0,160.142,169.03791,0.293,0.0,0.0,-9.085,85.716,0.555086263327
65.66997,65.5771138863,1409.56489275,129.69168,65.66997,65.5771138863,1409.56489275,129.69168,39.76401,51.1055185714,1727.91646452,124.66678,-12.197,-12.859736211,19.1472920695,54.92,0.07006,0.0776983213429,0.00173473919095,0.29126,-21.108,-22.1191007194,30.2580451649,48.617,63.39891,63.5574555396,1332.27734168,130.43438,65.05047,65.0645971429,1418.10892497,129.09325,8.843,11.2272517986,1210.24961809,238.83,8.002,12.1753333333,1148.85240164,285.866,8.264,11.2628800959,1202.92710646,305.307,5.359,10.8975563549,994.584746314,235.669,7.076,9.09440047962,1323.77539127,432.748,10.885,13.4936450839,1400.96020351,267.743,9.42,11.7254268585,1115.62002377,222.229,7.066,10.4751127098,1241.22065591,232.096,9.89,11.4998633094,1314.25447207,238.636,8.499,13.239323741,1368.39149281,265.194,6.477,11.2789952038,1167.1703143,253.004,7.809,13.6993285372,1323.67712147,369.191,1.0,7.0,1.0,127.745,135.78404,0.464,0.0,0.0,-10.474,97.378,0.501227880375
76.914375,76.8325427049,1963.28825172,152.65329,77.56542,77.4638601636,1971.61441131,153.96368,58.09493,65.6712611111,2407.30424725,149.33521,-11.318,-11.9301071429,22.8234078882,29.748,0.056545,0.065986207483,0.00193811759361,0.5307,-20.992,-20.763079932,24.9305837028,51.982,72.742135,75.5785120748,1771.38616586,154.47424,70.44179,70.2946305,1879.52719564,138.92755,0.9285,1.65016496599,1383.13957357,345.6,-0.1115,1.78727380952,1107.86171542,212.829,0.954,2.99936734694,1191.56032589,237.029,1.7195,3.02829421769,1161.08773433,229.725,-2.556,0.220358843537,1105.42458661,256.701,-0.8535,-0.064387755102,1133.56947129,234.118,2.24,4.0726122449,1065.47195124,205.524,-0.673,0.96543707483,1187.15128984,258.041,2.0925,1.07308673469,1150.05727729,255.058,-0.887,0.26737244898,1256.60998639,257.185,-3.465,-0.938721088435,1173.25241757,264.248,2.7765,4.78491666667,1511.39700449,484.927,4.0,0.0,1.0,151.591,159.4771,0.0,0.0,0.0,-8.667,185.888,0.487779223785
95.20842,95.5962627,3104.85662545,191.08399,96.78535,97.2101732343,3169.19837745,194.32519,78.819365,74.055966,3129.12515378,186.45822,-10.529,-11.7173445065,33.5320907733,50.757,0.05461,0.0699952886406,0.00314090986253,0.56586,-17.483,-18.7889608939,41.1048745217,52.565,92.33143,94.618812514,3084.85646796,195.19551,93.318105,94.4402114,3092.17490705,187.19466,7.778,14.025972067,1379.86344287,291.172,7.609,14.752396648,1386.30277031,242.503,7.081,13.7439031657,1337.61889773,240.145,6.43,13.9431545624,1803.08077308,373.117,7.265,14.4715437616,1601.9934437,282.374,7.677,14.5939515829,1658.26197643,269.785,7.613,15.3925810056,1552.80578709,248.052,6.03,13.1593854749,1475.32502414,264.292,8.138,15.264301676,1513.62078671,277.858,10.518,15.4141955307,1656.64156317,269.949,8.442,14.6558733706,1582.04707966,259.361,8.004,14.747320298,1430.37551375,249.985,3.0,9.0,1.0,184.709,198.1122,0.0,0.0,0.0,-8.946,92.78,0.422505918972
64.9111,64.9076603226,1385.15461588,128.56971,64.9111,64.9076603226,1385.15461588,128.56971,52.190955,55.6955175,1797.5904338,128.22309,-10.75,-11.6627907407,21.6529999988,54.935,0.057215,0.0626702777778,0.00111396569492,0.4526,-21.2065,-21.7758759259,36.6980188235,51.108,64.97247,64.5583184815,1397.86666674,129.06467,63.521075,62.9167634783,1358.22096301,124.3842,10.289,13.846087037,1315.21176751,312.974,6.3315,12.1094203704,1466.02207757,333.476,10.4175,12.5211462963,1197.22064305,247.007,8.426,12.3701611111,1228.08312858,242.322,8.3495,11.6068018519,1218.18169273,258.854,11.3465,11.6363037037,1295.92738406,291.728,9.42,12.2910444444,1296.40260845,275.168,9.3955,12.9983462963,1363.17579764,274.849,8.7615,12.8609388889,1284.91740444,300.8,10.2425,13.3114574074,1306.83798219,288.125,11.6645,13.9252481481,1269.31129695,278.967,8.725,13.2197055556,1370.696091,389.883,1.0,7.0,0.0,126.717,134.39955,0.502,0.0,0.0,-9.207,129.824,0.41754741677
90.16322,90.1492043478,2753.88058184,179.19006,91.80194,91.7957844964,2794.4212229,182.47266,90.15323,86.598052,3280.95521119,169.18711,-11.482,-12.2078543247,15.1780297299,50.509,0.06054,0.0679410318665,0.00162058690212,0.48271,-20.576,-20.8761487102,29.9427362055,50.883,89.28463,90.3830701214,2769.34484405,182.90617,90.166295,89.2920273913,2759.54431196,177.20131,6.5,9.41519271624,1250.84757212,281.588,9.564,11.0843338392,1289.97954191,247.168,7.933,11.6130500759,1223.70836355,266.957,8.379,10.786323217,1416.56521725,364.508,4.872,7.52825644917,1266.22996503,315.678,5.664,8.2831047041,1109.20978054,281.691,7.722,11.2511426404,1353.28847916,354.185,9.894,11.7161957511,1518.80370269,503.979,8.147,11.7173216995,1331.53709369,362.724,7.645,9.46369347496,1248.19406198,349.982,7.099,9.39720182094,1302.94577693,307.112,6.502,10.4496631259,1477.72467063,551.298,4.0,10.0,1.0,182.909,187.53261,0.496,0.0,0.0,-10.113,91.109,0.417329708521
84.41197,84.4898777528,2409.65929048,167.96222,85.86587,85.920554349,2477.77744376,171.68321,35.3448,55.7989485714,2980.4442338,169.89643,-9.779,-10.3426840215,15.9418007691,55.531,0.05388,0.0616789766607,0.00143122448495,0.2949,-17.875,-18.0205763016,22.5776320359,50.735,81.45918,83.4440854399,2494.78773217,171.83057,69.92274,70.0735273333,2364.12485437,140.06946,6.983,15.0992944345,1403.2946252,333.028,9.669,16.0534021544,1445.4356026,321.414,7.305,13.3760359066,1558.18645696,375.589,9.06,16.1371436266,1312.05060242,253.19,8.571,13.6827594255,1293.27042509,391.117,9.988,15.5871131059,1322.88908317,359.346,10.582,15.1046535009,1242.40164442,265.226,8.774,16.3496427289,1850.83008287,460.248,8.623,14.1370125673,1220.03793487,255.547,10.01,16.4784201077,1273.34285464,243.994,9.747,15.9864129264,1356.63240537,266.578,10.105,16.2347630162,1428.55400346,294.539,4.0,5.0,1.0,171.474,176.84853,0.473,0.0,0.0,-8.08,125.925,0.415080549873
102.192595,102.117982719,3505.44259911,203.13315,103.0977,103.016808578,3520.79325875,204.93888,121.10331,106.565297778,4422.19935047,202.6147,-8.971,-9.56607302709,12.3377484163,56.298,0.05668,0.0615141342756,0.00106851447796,0.35809,-15.636,-16.4915182568,29.3535102497,52.236,99.18712,99.3005564075,3515.18801371,205.57515,98.636635,98.8498943421,3497.29747033,196.16763,8.101,15.2947573616,1110.13307927,274.017,6.672,15.8361083628,1076.84532368,244.773,8.26,14.7991590106,1146.49457053,287.025,8.39,15.3406961131,1285.82212808,459.592,7.907,16.0614687868,1137.11836646,253.903,7.786,15.117540636,1153.57264448,284.005,9.486,16.5136760895,1091.95824184,244.484,7.074,14.8495924617,1108.83298689,249.643,8.241,15.7438138987,1283.65010399,380.844,7.303,15.2238256773,1237.18107033,390.589,7.636,15.0313404005,1152.03601193,250.789,9.059,15.5938209658,1307.66527091,459.891,4.0,9.0,1.0,205.595,209.99791,0.346,0.0,0.0,-7.813,133.336,0.386524024339
113.29537,111.034161707,3974.08034921,216.67806,114.003045,111.691626296,4003.80607755,218.74904,108.11095,105.748002,4802.15804016,206.39337,-8.1275,-8.57145048309,18.6124454746,58.975,0.052895,0.0603753381643,0.00186328546812,0.73058,-15.4905,-16.418281401,40.7517358544,54.683,113.252495,113.673174614,3888.76471792,219.0424,112.131965,110.020305488,3980.86866424,215.46995,11.7725,18.1797874396,1509.36580211,442.76,11.2375,18.1342886473,1418.99120555,334.718,10.592,16.9445048309,1497.59683724,401.208,10.496,17.9666908213,1684.62490435,444.259,12.5315,18.9901654589,1608.52242255,479.887,7.9335,15.3876642512,1470.14281616,361.259,9.9255,16.8527826087,1469.67602457,337.166,11.1445,17.9833719807,1388.64016371,310.724,8.9945,16.0307294686,1527.63412781,361.857,10.355,16.1403236715,1319.28187535,336.418,10.6845,17.1938719807,1364.30609446,287.367,12.79,19.2818780193,1572.20930539,536.094,4.0,10.0,1.0,218.308,224.20853,0.293,0.0,0.0,-6.231,134.148,0.385490908171
