barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
122.08145,122.085121565,4968.39300871,242.06657,123.40606,123.412379655,5055.54300662,245.78149,126.85739,117.686031429,5400.20536433,239.39897,-10.818,-12.1754407972,40.0256798502,55.871,0.03558,0.05364,0.00373057587902,0.83946,-18.872,-19.4063810082,45.92760738,52.943,118.3376,120.283601676,4977.36992874,246.27447,123.27309,123.279678319,5055.56037411,246.03745,45.3,44.2720867526,39.7616118706,53.552,4.004,6.48362133646,960.720487865,256.131,-3.555,-1.71985111372,1445.84386417,229.628,-1.101,-2.52753927315,967.079991672,430.998,11.358,12.3053329426,320.920154691,104.256,-14.616,-11.7138382181,713.58914551,438.51,-7.024,-5.85936694021,372.94981762,153.289,-19.13,-18.749919109,475.19981411,164.805,9.899,9.78921570926,305.170396399,133.609,-3.481,-5.16272684642,309.636682145,165.53,4.785,4.569996483,214.702275652,105.386,12.248,12.5407022274,167.80666325,81.849,0.465,0.549728018757,0.104718659907,0.985,0.312,0.355759671747,0.0634178238367,0.981,0.379,0.470483001172,0.13333878664,0.993,0.118,0.15821922626,0.0193203399821,0.992,0.15,0.218168815944,0.0417245365657,0.988,0.323,0.446705744431,0.120820702394,0.993,0.167,0.215651817116,0.0372003512189,0.991,0.235,0.37347010551,0.11233387396,0.985,0.093,0.161976553341,0.0334117509157,0.984,0.24,0.323955451348,0.0811656416262,0.993,0.113,0.243642438453,0.079264161716,0.992,0.201,0.24990855803,0.0408314711225,0.996,4.0,5.0,1.0,233.61,248.52853,2.2,0.0,0.0,-9.131,113.027,0.809354214709
51.45385,51.2506588,870.320264369,100.04594,52.83233,52.6111606494,917.419552917,104.16904,51.97338,51.4052,1194.81127481,97.96359,-22.56,-22.2090931677,65.8968514385,51.128,0.05479,0.062311242236,0.00111573231274,0.20362,-30.142,-29.7339937888,93.193089149,45.93,47.74222,50.1937269565,706.111642658,104.92499,52.83233,52.6107727508,923.392919379,104.85208,33.368,34.0147391304,67.8801962301,46.744,-62.913,-60.1479192547,1935.13714663,348.098,4.646,-5.31461490683,2419.90541471,247.121,-8.444,-7.43532919255,1601.38533487,323.538,-22.436,-21.8812298137,382.775173034,136.809,-11.446,-2.07572670807,1183.31827435,315.88,4.85,3.3651552795,357.7458331,129.736,-8.56,-8.03288198758,518.843325607,171.825,-2.647,-3.13174534161,536.9739265,104.675,-6.293,-7.56940993789,263.777513323,144.892,0.137,1.22763975155,203.92816551,132.944,11.907,11.3759503106,285.086376917,88.663,0.094,0.306329192547,0.145518481694,0.997,0.04,0.107124223602,0.0276870528915,0.997,0.176,0.358906832298,0.133384531692,0.997,0.029,0.0619440993789,0.00713753103661,0.609,0.037,0.0933167701863,0.0151286636318,0.54,0.039,0.102447204969,0.0205281602562,0.895,0.082,0.156683229814,0.0451955580417,0.997,0.657,0.574105590062,0.177040367733,0.993,0.076,0.136049689441,0.0245466807608,0.901,0.082,0.252658385093,0.117159578951,0.996,0.027,0.0656273291925,0.0127145195016,0.766,0.066,0.192714285714,0.0748202910382,0.994,3.0,0.0,1.0,112.509,112.50893,0.067,0.0,0.0,-15.615,87.681,0.777421840364
102.835515,102.850504759,3531.58896451,205.36316,102.835515,102.850504759,3531.58896451,205.36316,66.80193,85.3525285714,5761.3117691,204.3932,-9.839,-9.73513280212,9.19093644983,48.719,0.03501,0.0463435192563,0.00188868744485,0.49532,-15.229,-15.3199256308,9.67751109141,49.8,102.57079,102.123342112,3417.82421857,205.75478,102.83608,102.850236476,3523.86186093,205.36316,47.838,47.4056188579,7.40621498753,51.003,76.403,78.5483851262,718.33791366,198.052,34.053,37.0816148738,498.406018263,157.329,1.234,2.25945418327,462.120576397,317.724,-5.584,-9.24133333333,775.930416124,139.486,-14.52,-13.2125033201,408.851526157,249.562,-15.381,-15.1181992032,201.931385264,112.115,-7.59,-7.24277822045,205.004786042,130.68,-10.459,-9.50894023904,156.965825137,84.863,-2.247,-2.94301195219,138.210091728,112.191,2.924,3.16551527224,122.690031124,138.976,8.242,7.98499468792,151.741807147,86.042,0.308,0.376444887118,0.0693676068563,0.993,0.473,0.535220451527,0.0935334387849,0.946,0.512,0.576132802125,0.102333212111,0.963,0.195,0.227885790173,0.0209963959867,0.972,0.295,0.385545816733,0.0754864683524,0.971,0.196,0.277673306773,0.046583794998,0.995,0.343,0.415216467463,0.0731927486266,0.967,0.188,0.323313413015,0.0903395857032,0.988,0.211,0.238731739708,0.0231930860709,0.99,0.546,0.567630810093,0.102570745505,0.967,0.19,0.222618857902,0.0195251787679,0.978,0.327,0.421669322709,0.0933344577176,0.996,1.0,2.0,1.0,201.996,210.54649,0.345,0.0,0.0,-7.841,132.819,0.752312507139
83.035995,83.0623848068,2304.37173741,166.01283,83.035995,83.0623848068,2304.37173741,166.01283,71.59628,80.2021271429,3711.21676095,159.30495,-16.726,-18.6300914928,47.388532555,51.993,0.03156,0.0388176083467,0.000648897121567,0.27327,-24.431,-25.9227897271,50.0738634694,45.851,78.99125,80.0191685875,2154.67580956,166.14762,83.03609,83.0623530593,2298.80741874,166.01283,39.978,38.1606067416,45.6139962129,47.825,-67.049,-59.9218154093,3035.73366333,385.354,4.749,4.46477207063,1400.25542069,304.525,3.561,3.21925842697,611.296962522,336.79,36.394,31.2637656501,1130.36083527,203.108,-17.999,-14.5954189406,570.661641794,270.028,9.673,9.97144301766,554.650140231,140.081,-8.653,-7.69377367576,236.909408576,110.979,-3.633,-5.62797431782,525.533485267,150.277,-6.513,-7.57973675762,215.113769728,150.3,6.312,7.00022311396,211.703714234,109.422,14.675,14.1120288925,455.206757351,163.404,0.04,0.182372391653,0.0967303396551,0.998,0.111,0.167800963082,0.0309964451355,0.995,0.493,0.548757624398,0.114544475765,0.972,0.12,0.369446227929,0.164763585792,0.995,0.068,0.121203852327,0.0191345507396,0.999,0.066,0.10349117175,0.0149641857166,0.997,0.142,0.224309791332,0.0453074048319,0.99,0.372,0.507385232745,0.146421344373,0.99,0.053,0.08013964687,0.00534364502524,0.477,0.075,0.110945425361,0.0172257979847,0.998,0.167,0.284276083467,0.076148983168,0.998,0.029,0.0686019261637,0.0103399956303,0.626,1.0,7.0,0.0,163.538,168.82893,0.229,0.0,0.0,-14.59,149.469,0.751168909159
99.56006,99.5611838095,3382.46037338,199.6357,100.707155,100.703085968,3429.30187274,201.91801,65.10619,86.62473,4711.21493956,196.57917,-11.389,-12.372035503,22.3426814733,54.8,0.03884,0.0510194911243,0.00168748566258,0.49443,-18.054,-18.7338390533,27.6742719575,51.875,100.26694,99.2115847574,3258.48870847,202.02082,100.705545,100.702520729,3419.09608984,201.91801,45.266,44.3770662722,21.8200347932,51.78,50.885,50.4750153846,1010.99112213,313.976,11.339,9.6728591716,1076.7190328,213.584,-10.597,-10.2993183432,734.656381417,525.656,-6.648,-7.4857147929,938.465845726,175.538,-12.048,-12.0609455621,441.740135853,167.02,-26.228,-25.5784674556,401.699376585,142.026,-0.753,-1.09301775148,291.83620447,133.02,-3.332,-3.08246035503,246.917969304,116.007,3.769,3.80233964497,189.396734366,110.738,1.625,1.99695147929,169.020433071,102.395,-1.59,-1.5530556213,241.499712093,98.721,0.512,0.570234319527,0.11825913326,0.996,0.352,0.419095857988,0.0768916345982,0.993,0.265,0.313443786982,0.0477949308638,0.978,0.274,0.340668639053,0.0586842120934,0.974,0.415,0.487904142012,0.0939341032373,0.967,0.234,0.281604733728,0.0404855692084,0.982,0.312,0.410001183432,0.0910492437856,0.992,0.257,0.344563313609,0.0673545039796,0.987,0.175,0.231829585799,0.0341064301306,0.994,0.216,0.301511242604,0.0686992605245,0.994,0.208,0.244486390533,0.0289769575071,0.996,0.488,0.555647337278,0.094771440126,0.987,3.0,0.0,1.0,194.879,205.21751,0.369,0.0,0.0,-10.084,131.643,0.73748983256
139.823725,139.820455203,6511.1480958,277.65012,140.5318,140.528642997,6555.49040155,280.01965,153.03685,138.2253,6983.18723251,273.90675,-9.9865,-11.0877405063,21.6794405107,54.299,0.038605,0.0529716983122,0.00312429087486,0.60202,-16.404,-17.3398101266,27.839585158,51.63,133.04438,134.77713307,6370.38896765,280.92975,140.53239,140.528615921,6566.53941642,280.48871,46.549,45.7378734177,21.113477811,51.084,29.181,28.4769535865,840.776895601,243.922,17.73,18.2112004219,1060.72776869,191.833,-2.881,-3.8133628692,552.048297584,173.93,8.8085,7.83891350211,377.555636033,128.412,-16.7165,-14.9612194093,490.860363268,156.106,-6.72,-6.84819303797,213.264522966,94.384,0.4845,1.23336181435,389.714612841,155.603,-4.8205,-4.8663164557,188.915939368,115.776,0.8115,2.09773206751,195.655785361,119.87,0.6105,-0.298821729958,173.931774159,101.447,7.702,6.10502637131,215.53582592,79.225,0.3665,0.479297468354,0.102981822905,0.974,0.2265,0.2825,0.04428432173,0.982,0.236,0.350705696203,0.0908672878578,0.989,0.181,0.218542194093,0.0276573157302,0.993,0.242,0.324934599156,0.067761622305,0.978,0.3945,0.511582278481,0.133732665171,0.99,0.213,0.244539029536,0.0271749847636,0.986,0.252,0.329724683544,0.0704678282093,0.976,0.1565,0.227565400844,0.0467272161869,0.992,0.214,0.305469409283,0.0741145634102,0.988,0.1355,0.270520042194,0.0888114858852,0.991,0.192,0.246448312236,0.0318900004929,0.991,4.0,5.0,1.0,271.97,283.14077,2.235,0.0,0.0,-9.179,127.057,0.736412327427
124.89813,124.947344245,5223.53336532,248.07191,125.578585,125.62246075,5298.8831773,251.16831,155.14535,145.84064,5953.82099968,245.29669,-6.605,-7.0780808656,20.4111785459,58.155,0.03804,0.0527169476082,0.00435986351164,1.2624,-13.1165,-13.3586594533,21.7167217417,53.681,125.569885,125.486707221,4947.61368446,251.59143,125.69209,125.734731741,5298.94596469,251.39411,50.482,49.7494111617,18.0862270485,54.216,1.576,0.630727790433,617.997677127,237.516,28.149,29.5855341686,658.100219219,223.225,0.931,1.71150683371,652.760713772,296.367,-24.791,-26.6023599089,589.12951559,153.499,-11.935,-10.7858291572,482.209495661,139.847,-4.303,-3.6727881549,306.924713358,110.599,-4.751,-4.06172095672,188.582398725,122.34,4.7245,5.25442824601,156.388899457,84.188,-1.585,-2.101238041,169.216779006,97.832,2.4665,2.19421070615,156.555221251,139.941,1.4085,1.79390091116,146.128926107,86.58,0.3075,0.410407744875,0.112710498892,0.983,0.276,0.312449886105,0.0449120379214,0.985,0.4335,0.510604783599,0.109884977061,0.973,0.2235,0.283992027335,0.0413384726016,0.98,0.3415,0.455629840547,0.119064624941,0.985,0.196,0.230034168565,0.0278073291286,0.982,0.252,0.31148405467,0.0536991199052,0.979,0.325,0.43475284738,0.104410684929,0.988,0.165,0.217211845103,0.0285672785841,0.982,0.2575,0.320546697039,0.0615987284572,0.985,0.14,0.231281321185,0.0484989197194,0.984,0.404,0.469996583144,0.0895287300567,0.988,4.0,4.0,0.0,248.065,255.242,4.087,0.0,0.0,-5.259,133.272,0.734244350712
140.72676,140.726776133,6568.27872673,279.50643,141.503915,141.506499647,6656.243538,282.30756,140.88894,132.52598,6615.58879498,263.00889,-9.279,-10.0244325482,22.3974803154,50.836,0.0331,0.043471391863,0.00178064741084,0.77399,-14.408,-15.5404546752,34.1219230531,50.989,138.36399,140.118254011,6644.30986002,282.92644,141.5047,141.506493326,6663.59851106,282.62277,47.865,47.0010228408,24.6177384991,49.163,38.584,39.6313012134,559.860925854,247.405,30.935,29.5608422555,675.959494354,314.795,-1.86,-1.62855603141,670.872008184,500.474,11.995,12.7524653819,372.020889094,133.941,-23.206,-21.8843861527,467.785373082,313.413,-18.254,-17.5792555318,194.875173679,107.354,-0.677,-0.307386866524,238.730174314,275.225,-1.401,-1.66651748751,172.604279883,89.147,0.956,1.59824125625,137.264063311,140.91,6.314,5.9328608137,141.610371652,142.081,14.159,13.1231605996,167.794854871,88.766,0.318,0.404239828694,0.0711158454087,0.97,0.393,0.483443254818,0.0954195744031,0.971,0.575,0.602723054961,0.0826471724092,0.954,0.389,0.452915774447,0.0759922027562,0.967,0.27,0.310872947894,0.0369048018449,0.977,0.357,0.410425410421,0.0682885584978,0.978,0.322,0.358778729479,0.0406568646725,0.974,0.429,0.485414703783,0.077765868706,0.972,0.301,0.34295503212,0.0431598630742,0.978,0.5,0.559471092077,0.0841713312486,0.973,0.394,0.476453961456,0.0866557924914,0.962,0.185,0.226735189151,0.0257586572128,0.976,4.0,7.0,0.0,282.709,287.68608,2.664,0.0,0.0,-8.586,192.321,0.728165818164
70.11284,69.7267053488,1676.70336546,137.35924,72.057915,71.2454176667,1696.20556231,142.43204,42.41876,50.34834,2322.66785305,116.55584,-25.383,-25.7492057416,54.785498527,51.461,0.04309,0.100622727273,0.0349814237634,1.4744,-30.968,-31.7309856459,37.5806367701,41.425,71.76413,72.6748869378,1356.0085749,143.40195,72.27721,71.5103400185,1696.34334714,142.98233,31.761,31.3088899522,40.5789974472,44.653,-88.446,-83.0354114833,2149.37176697,353.617,-4.607,-4.55314354067,1937.22770138,229.863,-19.331,-11.0965598086,1082.02132363,209.459,-32.532,-27.0474114833,1170.50891301,199.181,-21.156,-12.6095598086,1030.99941379,246.332,-13.759,-11.8436746411,583.769294325,146.647,-7.165,-8.08898086124,331.954248985,166.413,6.277,5.30333971292,362.016512263,122.101,-0.569,0.0820813397129,177.401354611,134.089,4.728,5.66285645933,179.912056467,107.079,3.983,5.27535406699,288.757295004,93.855,0.045,0.207315789474,0.100686579703,0.996,0.058,0.135612440191,0.0416226201323,0.997,0.165,0.31890430622,0.117928067398,0.997,0.036,0.141406698565,0.0763109398594,0.997,0.073,0.16504784689,0.0512399785719,0.996,0.068,0.230918660287,0.0994599503217,0.997,0.121,0.202387559809,0.0523472038644,0.995,0.171,0.379057416268,0.147870216799,0.996,0.083,0.134488038278,0.0227046230627,0.992,0.143,0.323923444976,0.126724041986,0.995,0.05,0.152507177033,0.0682890537762,0.997,0.053,0.15476076555,0.0530539523363,0.998,4.0,9.0,0.0,137.828,152.73751,0.13,0.0,0.0,-19.726,74.529,0.719836496332
81.8137,81.8265491339,2158.48178254,159.62718,82.875565,82.8821677344,2192.67432591,161.74407,55.21194,66.1593171429,2491.40520192,156.62432,-15.8885,-19.7811119403,126.215150237,54.57,0.04117,0.0520551865672,0.00650975830071,1.68767,-22.4005,-28.35875,149.154568583,50.146,82.854945,83.5988787687,1957.23368837,163.94113,82.87481,82.8821321717,2198.39783554,162.16666,41.3835,35.9010242537,126.327620136,49.713,-67.2575,-61.7393190299,4080.73691891,361.645,10.121,6.59125559701,1805.66382054,257.103,5.4335,9.72246455224,1329.89987989,262.809,-17.9815,-0.247925373134,2738.27095103,244.138,-1.8005,2.71782649254,974.117112364,187.308,1.7195,-2.23491044776,473.336198895,130.491,-13.4,-14.7232593284,416.329113599,147.885,14.864,13.8788003731,304.23986004,143.875,-2.3895,-5.51642723881,567.147818379,116.187,1.42,0.259179104478,227.36311655,116.142,9.6655,9.09397761194,209.618490985,82.472,0.316,0.423621268657,0.138287686786,0.995,0.2345,0.387496268657,0.116323697747,0.986,0.843,0.756274253731,0.0758296467998,0.976,0.124,0.144673507463,0.0088259475071,0.711,0.0815,0.14203358209,0.0261494839469,0.995,0.05,0.0872201492537,0.0176018955642,0.995,0.066,0.0920317164179,0.00597016503884,0.46,0.049,0.185544776119,0.0873919345623,0.997,0.098,0.122968283582,0.0149902433971,0.937,0.694,0.626875,0.121073579524,0.991,0.149,0.179264925373,0.019404858919,0.991,0.1595,0.229460820896,0.0450544313008,0.995,3.0,7.0,1.0,152.108,168.61995,8.702,0.0,0.0,-12.406,142.168,0.718052292599
