barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
118.23906,118.246356748,4647.52652371,234.25014,118.71949,118.726482949,4704.69082235,237.14063,113.92254,111.796727,5519.03840392,230.57006,-4.9455,-6.78995269017,47.5196275497,59.798,0.030535,0.0433834693878,0.00140010388277,0.28488,-14.329,-16.4423033395,69.6066563523,54.931,116.357185,117.683805891,4767.08631385,237.51415,116.55988,116.67183439,4650.49059123,232.80818,11.241,14.5602513915,1288.47891955,294.559,10.0905,13.5791410019,1183.26813764,270.301,9.4875,12.5803469388,1155.52016958,240.364,8.915,12.5265083488,1249.19266813,282.723,11.984,14.1208163265,1229.1011531,298.134,8.6685,12.9721762523,1250.55512876,346.393,9.618,12.6591363636,1150.73347849,265.162,11.0875,14.7282662338,1171.98902925,296.854,10.3705,13.1197857143,1242.18026068,294.723,8.583,11.8823274583,1218.36887973,275.931,11.731,15.0970510204,1299.65065404,283.303,12.0985,13.9254628942,1182.28033474,311.618,4.0,1.0,1.0,226.191,239.12444,0.136,0.0,0.0,-4.364,125.0,1.0
114.90608,114.90791325,4424.43005388,228.57384,116.34891,116.349290247,4517.63467995,232.45944,123.54241,115.235344545,5321.27074943,218.58821,-6.9405,-7.64188807786,17.5462716322,57.343,0.03763,0.0559340754258,0.00489848578059,1.30638,-14.6825,-15.7895316302,39.1873003682,54.355,113.3193,112.933703759,4263.73175445,232.69002,110.82925,110.93555725,4415.11307455,221.38263,9.1585,12.5029708029,1165.31099111,231.329,7.0235,10.4687287105,1187.74170299,414.683,6.0685,10.9170717762,1296.17803369,476.239,7.309,10.1684403893,1199.37640157,448.609,8.3385,11.3886849148,1050.26037205,258.169,5.75,9.69606934307,990.237421819,236.582,6.23,8.70927858881,1051.88907613,276.302,9.35,11.8478223844,1087.13078866,262.956,7.34,9.70201459854,1063.29636421,307.363,6.8375,10.797620438,1077.49100227,262.504,8.8555,11.9705316302,1174.05466784,303.694,10.613,13.2389914842,1179.9913786,410.445,4.0,9.0,0.0,230.104,236.64281,0.154,0.0,0.0,-5.568,124.972,1.0
128.80405,128.76170646,5520.34679395,254.43194,129.59943,129.552659258,5569.90887273,256.71251,92.80176,100.473695455,6215.89244079,244.3967,-7.751,-9.36418360656,44.9167626461,59.061,0.05073,0.0677108961749,0.0042662049675,0.71673,-13.447,-16.2441672131,80.8645445261,56.438,112.92159,118.676284328,5609.24045785,257.4639,128.40437,128.452388785,5495.31353931,254.86679,5.74,7.59262622951,1178.8671283,333.879,6.442,8.21693224044,1059.49904644,259.811,6.066,9.6189431694,1181.1456705,321.854,6.431,10.0784590164,1091.95513197,265.955,5.94,9.28268961749,1167.19327581,353.224,4.11,7.02564262295,1147.6953628,273.612,6.204,8.45513114754,1158.70720517,288.135,5.277,8.24073879781,1067.15130558,284.579,5.362,7.9065726776,1160.98428954,267.927,4.34,8.16715737705,1149.82361429,288.377,7.146,8.78300765027,1135.36510909,271.766,6.677,8.75786994536,1161.14437334,273.1,4.0,5.0,1.0,245.806,257.69751,0.137,0.0,0.0,-5.728,150.029,0.860597416743
98.28237,98.2766005263,3294.66998666,196.30323,100.371365,100.370920078,3365.19353328,200.50915,82.31161,83.1096681818,3210.40321197,193.77088,-7.116,-8.06926699629,19.3462741784,57.568,0.03749,0.0508971569839,0.00212024949278,0.44052,-15.271,-16.3210012361,41.8848214351,54.366,99.54807,99.1265716934,3136.64187159,201.15714,89.029865,89.0301246875,3312.53870652,177.74378,6.987,7.99262051916,1162.87826946,250.77,5.183,6.11098145859,1232.16650798,306.989,5.234,6.07695550062,1138.01929583,312.928,6.797,7.46550432633,1341.06244836,488.322,6.987,7.85147960445,1188.36181411,290.078,7.466,8.15123733004,1267.67082486,311.305,8.293,9.14239431397,1141.03912043,299.205,5.594,6.9995105068,1231.11694972,426.34,5.707,6.45265636588,1132.66831024,239.472,4.288,4.57798145859,1188.1654907,276.268,5.299,6.28854140915,1282.36283488,268.535,6.03,7.78352781211,1099.83970552,288.177,5.0,8.0,0.0,201.259,208.40444,0.13,0.0,0.0,-6.09,114.639,0.852078940246
110.3767,110.466881667,4049.47054174,218.97899,111.11087,111.201736529,4117.40880617,221.93576,100.097985,104.75558,4935.58404197,217.75778,-12.9025,-13.873292804,34.1611584577,53.95,0.057495,0.0685870347395,0.00315415467371,0.50365,-22.247,-23.1325781638,55.9083046434,50.279,105.241815,108.184270968,4263.23973944,222.18866,106.62598,106.8771266,4043.12940537,213.28734,4.194,4.40123200993,1340.84100606,267.447,5.003,5.10154466501,1351.9162686,290.781,5.3305,6.68791315136,1477.79377204,308.546,3.806,4.31904590571,1327.81437639,330.497,4.1025,5.17486228288,1355.29355591,293.093,4.9355,4.55934119107,1447.51883758,320.858,5.1095,6.41261662531,1306.70254655,307.106,5.657,7.08933870968,1602.68968244,385.265,6.288,7.13294540943,1374.38540448,259.247,3.706,5.69466004963,1406.28970722,298.172,2.648,4.12389826303,1336.60624592,310.844,5.3535,5.74463399504,1404.10997283,324.042,4.0,6.0,0.0,220.561,229.04118,0.949,0.0,0.0,-10.102,163.815,0.820390359797
116.889415,117.071849274,4596.1719413,233.02337,118.06386,118.2537177,4670.42143471,235.96846,74.060135,96.459128,6250.90018255,231.63649,-7.345,-8.86552538071,22.0108177722,25.143,0.041425,0.0624087817259,0.00331824165055,0.58092,-17.013,-17.3892779188,42.4438801728,55.753,110.288025,112.45058052,4557.11354095,236.18508,117.5947,117.882187108,4644.77224807,235.02225,5.8775,5.89551142132,1360.58084976,378.259,7.1245,7.42895939086,1184.94961973,260.688,6.076,8.26509771574,1209.58249177,306.901,6.543,7.66236167513,1246.04006148,294.179,6.5625,6.25465989848,1241.61986888,305.233,4.3165,6.45700634518,1266.73966067,268.122,4.9175,5.61081852792,1166.03696087,254.133,4.4945,6.13801269036,1357.34582979,284.196,6.6835,6.7471535533,1192.19278913,316.996,4.9745,5.12103553299,1244.37014016,336.334,4.243,5.47048984772,1282.58645736,295.785,5.3955,6.46532741117,1258.27427131,329.994,4.0,0.0,0.0,233.117,241.42322,0.0,0.0,0.0,-6.354,127.323,0.799253771997
113.871315,114.625807326,5129.13376033,231.98469,117.606895,117.965639253,4658.16159409,236.36947,95.94111,104.692417,5886.01632317,232.13665,-7.2,-7.89051344086,23.0013353762,59.144,0.0401,0.0769587231183,0.0111683272074,0.7758,-12.6045,-14.3273212366,40.1301358417,54.874,103.85116,108.229522177,4665.66718477,237.17751,111.5019,112.281366316,4522.09507978,224.40436,6.567,9.75163978495,1172.28613861,339.223,5.699,9.87089784946,1135.32418216,274.268,7.095,9.55086693548,1384.87763995,599.315,6.8915,8.23399193548,1000.69793435,259.488,7.6745,9.73291532258,1071.02279698,257.443,8.2135,9.75882392473,1049.05916773,284.48,7.4365,9.93526209677,1152.67226538,260.635,6.362,10.3554811828,1471.52727599,638.33,6.665,10.2613427419,1565.26946261,588.007,7.0395,9.16779032258,1054.23165644,254.114,6.6415,8.91951747312,1354.68018752,576.937,5.5725,9.3373938172,1319.22806159,440.741,3.0,7.0,0.0,232.774,239.75138,0.136,0.0,0.0,-4.588,89.189,0.78967732829
98.99203,98.9872227184,3258.70548286,195.84567,99.71015,99.7070964183,3322.59808127,199.21085,84.350795,83.375797,3759.14489908,192.58632,-6.367,-7.00298167539,30.8202437379,54.326,0.046835,0.0518147905759,0.000945998808988,0.34046,-14.6485,-16.8854123037,56.6001777606,54.016,96.667595,99.1103262565,3377.7762914,199.51669,96.83506,96.4516988406,3287.38617454,192.48679,6.47,8.36403403141,1048.20640823,510.026,5.3595,8.46644764398,1114.47312733,335.489,4.684,7.12743455497,947.253538138,220.235,3.7225,6.76509293194,933.235739118,241.626,4.976,7.5460065445,965.97027737,261.786,4.731,7.39219764398,1042.07562256,442.763,5.865,7.39827748691,895.892662274,215.767,5.017,5.85248167539,900.072038362,247.042,5.4445,8.07522251309,982.542931922,268.671,7.381,8.20922120419,1053.6644071,305.301,4.6625,7.98953795812,967.04699683,254.431,5.5715,7.15962434555,926.450707596,242.561,4.0,11.0,0.0,192.668,200.61995,0.0,0.0,0.0,-4.531,125.027,0.783241966798
70.14359,70.2593249576,1645.59175472,140.27793,70.14359,70.2593249576,1645.59175472,140.27793,40.60968,57.1804657143,2346.35498088,131.62998,-8.496,-8.93566048502,18.443162966,56.697,0.03848,0.0440161768902,0.000778300273258,0.23944,-19.042,-19.7047931526,31.0658245235,52.219,75.92649,73.7625565193,1538.90204029,140.74186,64.9497,65.1137585897,1606.22100071,130.09398,7.829,11.4402510699,1469.60742223,365.996,7.502,10.8046333809,1385.53906517,338.758,6.628,10.8305577746,1374.3819542,321.691,5.489,9.37206419401,1236.16601423,257.015,7.799,9.7257189729,1405.08292032,372.385,8.957,11.6761112696,1272.56782707,250.942,6.456,8.02882596291,1359.62677646,301.825,8.343,9.56734664765,1324.228656,295.973,6.105,8.91291868759,1261.02813529,276.702,6.149,8.88812410842,1563.58847741,365.798,5.069,8.68942225392,1288.89815292,251.921,6.943,10.2311041369,1359.63312404,265.744,1.0,1.0,1.0,140.956,140.95628,0.137,0.0,0.0,-6.877,201.189,0.773415060037
141.19507,141.318810915,6645.79955541,280.42956,141.884285,142.009560097,6732.82613148,283.41,135.27082,128.887274444,9517.8610325,277.01316,-8.8,-9.47739439439,33.3253484771,59.089,0.04379,0.0635719419419,0.00357848109112,0.62406,-15.885,-17.1657137137,38.730089918,52.836,130.38685,135.499962382,6260.24325198,283.32118,134.105725,134.277040098,6623.22532821,268.02668,0.746,0.972531531532,966.321746131,340.432,2.921,3.46405905906,1022.66151029,351.973,0.982,0.983586586587,940.861085498,264.323,2.102,1.57207907908,1005.61328867,322.139,2.269,1.68806606607,1053.72162784,312.606,2.483,3.83163463463,983.740593503,287.818,1.132,2.37802002002,1030.06269749,323.622,2.313,2.82415515516,1031.56915973,410.285,0.163,0.996205205205,961.6214128,282.144,2.597,3.37954454454,918.279916624,281.07,1.15,1.43194994995,994.209970578,382.58,3.572,3.59302502503,1072.37760758,381.79,4.0,4.0,0.0,278.436,286.32771,0.156,0.0,0.0,-5.675,130.182,0.77004757529
