barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
141.017915,140.933821008,6635.34223643,281.40764,141.77857,141.693603673,6671.40005524,282.92056,145.01355,131.101229091,8517.40950426,276.04435,-12.008,-12.1228326106,19.1306599989,54.883,0.03327,0.0505373460538,0.00338595027032,0.66966,-17.897,-18.1306721596,25.6416714623,52.625,129.4712,133.488115603,6585.84908607,283.52413,137.692185,137.798734113,6628.6327355,275.17312,0.85,2.05490893322,880.11732793,321.241,0.345,2.68885255854,858.865747794,274.053,0.26,2.00856808326,792.165986277,279.077,1.014,2.350547268,780.699697332,260.078,0.597,1.31135125759,797.287483701,224.298,-0.518,0.667743278404,763.371981766,223.732,0.604,1.80541283608,772.759984336,302.049,0.139,1.65181613183,869.999171186,353.32,0.855,1.61386209887,820.945827186,307.281,-0.416,1.96170424978,871.019580484,402.263,0.081,1.88741283608,855.657040763,377.536,1.817,3.28349176062,904.350691976,307.56,3.0,5.0,1.0,279.597,288.49587,0.845,0.0,0.0,-8.984,157.979,0.536913114695
133.132965,133.132663371,5942.25549556,265.67509,133.88087,133.883270281,5959.2601177,267.19659,117.18312,121.88705,6950.28687849,261.1886,-15.113,-16.0107082324,42.531661134,54.0,0.040225,0.06772,0.00780508050993,0.82937,-21.615,-22.7668414044,51.3397243683,51.805,126.225535,128.747900993,6235.25913142,267.89156,132.19488,131.717804746,5877.27035293,263.06921,-5.248,-9.53129539952,1277.02864399,234.032,-2.44,-8.08053026634,1350.35619218,284.997,-3.3615,-8.04028934625,1351.46370029,303.191,-3.4935,-8.56820581114,1346.42697418,313.238,-3.288,-7.7127748184,1352.11170014,317.296,-4.394,-9.11369975787,1353.64666812,296.776,-5.1895,-8.87597094431,1303.24369084,321.347,-3.2055,-8.81999273608,1409.9060667,290.959,-4.3655,-9.34667917676,1352.43790927,356.647,-2.2975,-7.50294309927,1296.55539088,238.379,-2.351,-8.40939104116,1372.45446651,377.56,-3.6215,-8.14142615012,1338.59261919,319.496,4.0,10.0,1.0,259.245,270.0273,0.113,0.0,0.0,-11.442,160.135,0.52670665927
127.800115,127.791903511,5475.8241426,253.6067,129.83748,129.837611181,5623.02710962,259.10918,97.106115,107.767193333,5978.11267741,254.60136,-16.4795,-16.4693326772,17.2891021393,40.581,0.047965,0.0586927854331,0.00270283139647,1.01647,-23.853,-23.5172145669,19.7995713477,50.628,129.13243,130.157003848,5939.2421607,259.49052,123.872765,123.952338889,5522.51686273,247.12748,-5.4555,-10.7743887795,1384.22649443,226.233,-4.0215,-9.68687992126,1388.9117933,281.701,-7.8,-12.3511427165,1391.32833498,256.777,-6.9475,-11.0708307087,1386.90293809,309.992,-7.1135,-11.5459645669,1407.37519222,290.533,-5.594,-10.8586702756,1377.2160255,326.384,-4.2845,-10.1604635827,1417.5536928,282.071,-5.497,-10.606371063,1469.25005187,476.653,-4.1505,-10.3309753937,1467.44845949,332.042,-5.8065,-11.2303818898,1405.35765637,263.669,-5.1665,-10.6293730315,1362.41432184,252.084,-5.5685,-10.6493415354,1318.24040009,232.131,4.0,5.0,0.0,254.839,265.11628,0.0,0.0,0.0,-13.29,88.016,0.505949527797
116.24808,116.248893908,4487.88647673,229.40721,117.58253,117.582600312,4618.34242352,234.74508,72.22915,90.0678288889,5399.9342137,228.29015,-11.257,-13.3045613609,58.68184942,51.712,0.03278,0.0468432442284,0.00239222429215,0.70155,-18.722,-20.3389161604,69.0451893672,53.949,114.62213,115.437757485,4593.87935871,235.42961,115.41404,115.15856906,4564.60035539,229.74254,-4.023,-5.05091373026,1000.44609491,295.022,-2.081,-3.21082503038,950.445813753,263.42,-1.798,-2.97320413123,996.076070884,258.504,-2.394,-3.93016160389,1021.85577107,362.159,-2.101,-2.79954921021,1099.28522087,342.062,-2.828,-3.41522235723,927.391829774,290.071,-3.423,-4.16187606318,1017.41576585,351.523,-4.652,-5.2704872418,1089.04557179,390.924,-3.603,-4.74387484812,1014.67979064,308.671,-2.33,-4.1807290401,1042.63294861,311.652,-1.224,-2.14991494532,1047.09803512,319.171,-1.471,-3.4192782503,970.815310184,229.701,4.0,9.0,1.0,217.96,238.52363,0.187,0.0,0.0,-9.117,90.009,0.467365631328
110.1689,110.168120244,4084.17868565,219.53367,111.52161,111.518393273,4134.54537076,222.40138,99.81424,102.02679,4196.57114375,216.3671,-12.732,-13.4880821918,26.3212539185,54.496,0.04587,0.0688141718555,0.00845295629007,1.69133,-18.926,-19.4652092154,30.4085641106,51.934,105.29175,105.100635479,3576.09333822,222.88472,108.66863,108.887701951,4081.54550033,217.13672,-1.27,-2.62025280199,893.496110665,270.636,-1.628,-2.45808343711,843.192881703,236.723,-2.005,-2.94374595268,964.636200239,253.545,-1.742,-3.38560896638,936.952496938,257.157,-1.77,-2.98589788294,952.392042102,320.251,-0.994,-2.30260024907,944.369033044,417.064,-0.268,-1.88643088418,1051.12590099,489.426,-1.972,-3.24420797011,900.94437555,247.727,-1.017,-3.49221793275,1017.95334697,273.14,-1.75,-3.47813947696,991.167476773,248.444,-3.481,-4.48410211706,918.078300413,255.564,-1.926,-3.42690286426,925.341318641,317.383,4.0,11.0,0.0,208.776,225.54077,0.09,0.0,0.0,-10.318,133.337,0.467144435156
106.533555,106.305687468,3789.94948571,211.74506,107.22172,106.997638788,3826.9514059,213.82963,83.221535,90.256985,4988.39739761,206.62755,-14.437,-16.5164408322,63.0971365742,58.888,0.04463,0.065561573472,0.00422207157763,1.05787,-23.606,-24.4654850455,69.4542720365,53.111,110.0995,109.391089779,3419.7448272,213.90603,106.70193,106.903845728,3814.61175136,212.79222,-4.729,-6.79146163849,1234.98815775,375.996,-6.174,-5.46852275683,1236.83499437,315.45,-4.521,-4.68758647594,1300.77948038,300.165,-3.078,-3.5358023407,1235.57580812,257.082,-3.734,-5.29295578674,1192.21112399,278.001,-6.132,-5.64028088427,1164.28039742,315.995,-3.273,-5.73266189857,1137.16133413,237.646,-3.166,-4.10110663199,1156.20526407,237.513,-5.02,-6.57948894668,1282.27590071,256.769,-6.704,-6.75571781534,1281.41561212,350.668,-4.667,-4.04459037711,1182.69618949,271.536,-5.748,-6.03627048114,1226.22144329,306.701,4.0,11.0,0.0,208.167,226.48118,0.113,0.0,0.0,-11.254,173.903,0.456881819095
105.033735,105.062505,3752.75147958,209.47786,106.78148,106.809229935,3803.26319348,212.97192,56.89678,74.7808944444,4175.91122602,207.08222,-16.519,-17.2117617689,53.9745697107,54.975,0.0435,0.072122382311,0.00796571137278,0.74259,-21.895,-23.2361569187,62.4645999212,50.758,95.22159,100.035211598,4109.07373632,213.84077,101.545805,101.657551078,3790.24414223,202.84723,-3.531,-4.11017403709,1205.08169524,280.826,-3.149,-5.0230342368,1247.48492609,263.419,-3.25,-4.61245791726,1223.483119,247.442,-1.732,-2.42019828816,1315.24480582,304.157,-1.777,-3.11721968616,1287.89105784,274.826,-1.897,-2.03207417974,1246.0494821,340.25,-4.732,-3.87906990014,1299.41334687,427.814,-2.81,-3.14787161198,1184.44667657,249.669,-1.296,-3.03491155492,1182.62584653,288.663,-2.248,-2.8745363766,1218.51697217,309.923,-2.548,-3.24116975749,1190.50436679,307.382,-3.86,-4.58223680456,1206.74439439,303.307,4.0,11.0,0.0,202.449,219.34975,0.334,0.0,0.0,-12.324,85.985,0.454202505593
108.928715,108.9372475,3966.08093,215.98747,110.292245,110.300988837,4046.22427978,219.82169,97.484,101.511181818,4247.10834004,218.03357,-12.514,-12.812032666,16.5442895764,52.07,0.03773,0.0523961222339,0.00239234019803,0.58542,-18.669,-18.8179536354,19.5997755827,50.422,121.03628,115.081053762,4039.26996205,220.50531,109.065115,109.000486119,4004.11475718,216.81029,2.603,2.51747418335,800.352822837,271.311,1.562,3.06757534247,815.319693222,284.238,1.273,2.43400842993,756.675475047,245.922,-0.106,1.89678925184,791.901087355,390.408,1.762,2.69059852476,828.997632889,414.49,1.028,1.98906638567,779.152036597,193.27,3.304,3.11363013699,745.640929927,244.558,2.58,2.97233930453,785.068542696,226.376,1.147,1.40256796628,807.714763818,205.514,0.217,2.18495047418,787.686339712,230.362,-0.047,0.0845258166491,823.610458127,196.327,0.794,2.31277239199,787.337218701,268.706,4.0,1.0,0.0,217.867,225.90649,0.275,0.0,0.0,-9.905,109.998,0.44970621942
125.36481,125.374723421,5289.69519151,249.74973,126.78917,126.795625467,5356.63805412,253.23768,113.22042,111.865046667,6607.07615076,244.25421,-9.767,-11.5057462387,75.0605822175,58.788,0.0321,0.0463777131394,0.0020316854385,0.36484,-19.051,-20.8984202608,82.0824784162,54.815,126.09293,127.956971174,5358.87787813,253.54172,126.1538,126.078860075,5284.68087348,250.06491,4.617,4.79678034102,1149.4726592,399.311,3.984,4.76044032096,1113.60602309,433.046,4.062,3.99373019057,1199.04977437,428.65,4.317,4.22708525577,1385.45245041,405.668,3.926,4.19628585757,1313.3317289,618.702,4.022,5.13896790371,1203.6548024,432.531,4.275,5.69803610832,1228.42449786,448.663,3.846,5.01633901705,1252.49239451,408.315,5.134,5.69788565697,1204.97543855,404.971,3.795,5.1963219659,1209.19657116,420.133,4.798,4.61423069208,1213.60506175,446.863,4.935,5.43040722166,1243.02345098,398.447,7.0,10.0,1.0,238.544,255.50322,0.159,0.0,0.0,-7.329,190.068,0.437036204112
106.31367,106.615132574,3822.05269999,212.3558,107.61873,107.4445923,3844.53245605,214.45345,101.616015,98.01145125,4287.0847343,206.22808,-13.5305,-15.7253801775,91.0786998066,55.918,0.050475,0.0756959763314,0.0104642591445,1.09053,-19.741,-21.947352071,94.7365031601,54.638,115.6166,113.085827041,4135.1133451,214.51401,102.007305,101.565296029,3741.07593245,202.44471,-1.69,-1.25563313609,786.30365925,193.514,-2.7845,-1.85460502959,852.91925665,328.209,-1.71,-1.57766863905,884.512981793,229.865,-2.07,-1.31718047337,796.121355035,238.26,-1.6965,-1.0365887574,897.574323985,303.06,-2.5625,-1.16686982249,875.859938181,230.373,-1.9405,-2.03432100592,880.610485011,266.005,-1.4265,-1.18442307692,874.893466818,270.591,-2.736,-2.07324112426,798.666360624,218.104,-2.401,-1.29469230769,898.578999914,317.035,-1.785,-0.729041420118,705.659743504,189.953,-2.9625,-1.01615236686,766.284972416,207.698,3.0,6.0,0.0,192.54,218.09587,0.067,0.0,0.0,-10.562,115.031,0.434665193111
