barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
110.92396,111.123530968,4136.33855822,221.54302,111.46179,111.663942106,4163.55408287,223.35673,99.41795,106.013266154,4690.83728014,215.23347,-9.7295,-10.6318982036,42.4315659657,58.896,0.04301,0.0507623153693,0.000896003961306,0.22786,-19.261,-19.965759481,43.2622911986,52.597,108.469295,109.809649421,3957.51953553,223.68753,110.37965,111.0221,4109.70797215,221.17872,11.1195,12.5007984032,1250.97219233,283.35,11.303,13.0585309381,1306.61879334,314.533,11.3435,11.8582754491,1334.01496033,322.565,9.268,10.8028423154,1366.50394525,329.041,10.271,11.588239521,1113.82734306,237.477,9.5935,11.1805948104,1373.42720614,541.51,11.1485,11.8430538922,1286.92791655,293.786,10.96,13.4792005988,1254.65901051,259.522,10.7615,9.99827644711,1310.29042697,275.211,12.15,12.0876367265,1170.73027268,229.354,10.6245,11.5878542914,1325.08539956,307.04,8.575,11.4256417166,1255.2417751,278.418,4.0,1.0,1.0,211.789,228.67546,0.263,0.0,0.0,-7.238,166.068,0.499445834801
116.85362,116.962647253,4515.60835796,229.942,117.618985,117.731895609,4615.86141033,234.56232,119.92004,110.390316364,5494.30142484,228.56378,-6.8745,-8.19735834897,40.127255759,58.429,0.043265,0.0514258067542,0.00106780143148,0.23883,-18.6145,-19.9978752345,61.9518953081,54.001,115.466595,116.741835216,4498.27887997,235.71478,118.04348,117.554847217,4615.54826001,234.04869,5.975,5.07902345216,2019.21635961,355.291,5.501,5.50710225141,1991.01990515,415.088,4.5395,5.36982457786,1881.99607194,361.975,4.1085,3.92933677298,1884.71311564,329.926,5.9165,5.38326829268,1944.67710051,344.326,4.715,4.73467542214,1792.85860373,323.797,4.8785,5.98898123827,1771.77449678,302.968,3.989,3.81947654784,1823.7784509,326.637,2.412,4.03170356473,1911.84491774,400.475,5.328,6.0364793621,1966.34191793,324.711,2.8805,4.99004690432,1825.53632198,311.247,4.8875,5.15345966229,1905.55730751,377.569,5.0,0.0,0.0,229.611,236.30322,0.293,0.0,0.0,-4.969,117.371,0.496175335673
113.8825,113.097259886,4283.68635847,224.94791,115.47059,114.829313595,4361.81627398,229.47985,143.78353,123.852093636,5322.5189361,222.30063,-7.1,-8.14179178606,26.7214987398,57.867,0.04274,0.0519284813754,0.00107211912405,0.25469,-16.769,-17.7618920726,41.3438911507,53.764,109.29905,110.567309532,3916.4092085,230.7161,114.2158,113.412406393,4241.79046645,223.66022,1.798,3.35892359121,1436.75631389,297.246,-0.105,3.20387010506,1569.56389878,372.642,1.897,3.72037058262,1533.69867613,527.631,2.468,4.44197707736,1451.34242808,289.278,1.433,4.85819102197,1608.25624108,543.502,1.451,3.87729799427,1656.6843274,556.563,4.947,6.18430468004,1391.34159765,277.502,2.627,5.69713849093,1474.46527128,470.813,1.55,3.5842139446,1415.22902144,352.549,0.573,3.38560267431,1418.7975934,338.248,1.588,3.19711747851,1435.52653854,482.657,1.651,3.53910315186,1596.34082434,614.548,4.0,0.0,1.0,223.376,231.52281,0.165,0.0,0.0,-6.066,93.841,0.490904200542
44.47819,45.5301792593,788.438625597,90.59858,51.691775,50.9172623485,868.196663629,100.29541,23.88031,31.874236,672.696670087,72.83828,-6.89,-9.49784646465,50.9329108209,51.883,0.0419,0.0512535353535,0.00124188004184,0.27257,-18.129,-20.2263454545,62.5096715837,52.516,49.36277,49.714366404,837.655115291,100.62077,45.122315,45.0318025,810.034077799,88.53653,12.236,12.1584282828,1389.8933318,282.041,6.766,10.0398080808,1338.60169397,300.734,9.943,12.2982888889,1383.82181892,302.343,9.373,12.6510161616,1678.01719162,337.888,10.154,11.6895191919,1775.03090116,308.761,10.447,11.2503434343,1542.31083886,294.636,11.37,12.9471393939,1505.42903715,299.639,7.619,9.12008888889,1539.20971166,291.549,7.785,11.8410787879,1368.06447912,316.088,7.644,11.7980969697,1531.61522379,424.518,8.562,12.1696989899,1672.763501,395.377,9.497,10.8723979798,1641.12473843,281.678,4.0,7.0,1.0,98.232,101.01506,0.0,0.0,0.0,-6.415,77.62,0.487112194863
94.91323,95.1368212319,2950.96867248,186.58685,95.26563,95.4733445946,2982.4718421,188.50709,85.74484,87.1987,3594.27136564,176.52216,-6.4745,-7.08150118203,11.895055302,59.364,0.0512,0.0615503546099,0.00136580837883,0.31211,-15.312,-15.9109822695,26.7520581427,54.138,94.36798,94.4863667258,2917.98106556,188.92626,93.502705,92.893881087,2959.05139661,183.11321,7.748,8.29524349882,1047.05566906,244.389,7.608,9.06302955083,1290.8415276,341.634,11.4705,11.1591891253,1162.46529776,253.249,9.98,10.9145,1266.73048225,346.203,11.2055,10.5916477541,1192.7877005,233.551,9.173,9.38216548463,1181.88448837,269.012,10.384,10.6897931442,1428.42281892,373.941,9.4085,10.9216973995,1387.59514009,495.631,8.6305,9.48547635934,1239.12381264,369.387,8.714,10.0760756501,1225.18971546,273.994,7.915,10.1860602837,1326.63114569,386.624,9.022,10.3738723404,1232.270246,336.252,4.0,4.0,0.0,186.944,192.28689,0.136,0.0,0.0,-5.479,170.267,0.4830645596
124.93468,127.333792967,5546.46978029,253.21618,129.350655,129.935693511,5614.09423482,258.68889,115.20697,128.78537,7819.54688965,251.64082,-7.984,-9.56716503391,52.660726278,59.043,0.04234,0.0523413489073,0.00104132762297,0.25322,-20.075,-21.7023880934,66.434900866,52.443,127.16535,128.533999608,5408.86261934,259.2229,125.60002,125.77958871,5492.4221391,250.71009,4.07,7.26423737754,1583.66214301,389.024,7.115,10.7101838734,1592.83968173,311.245,6.912,8.48355538809,1556.20626306,405.021,7.118,8.27022758101,1505.71664849,327.159,7.725,9.18761868877,1371.58948504,359.322,5.68,8.96897889977,1585.12560881,359.491,6.349,9.23582516956,1520.50137983,341.542,6.893,8.06220120573,1483.7804134,325.261,6.72,8.26060135644,1446.48251133,310.94,5.667,8.34521401658,1517.92478769,288.246,8.225,9.98292539563,1412.23499188,304.128,6.814,8.81553579503,1542.61290067,361.141,4.0,1.0,1.0,239.903,259.97016,0.218,0.0,0.0,-5.34,87.915,0.4830645596
93.22985,92.919879,2841.73913681,183.34905,94.12109,93.8052090684,2907.51210394,186.54735,90.37825,84.6298018182,3301.23925195,181.45601,-7.244,-7.6497137637,12.4976006647,58.136,0.04719,0.0580161632156,0.00160247809137,0.3356,-15.895,-16.3961595615,22.0866476591,53.784,94.04512,93.4733914616,2928.55123789,186.78998,91.44792,91.0446967816,2861.06881496,180.49697,3.177,7.28015590743,1460.69434277,379.214,5.005,9.27528867235,1453.37549671,252.331,3.635,8.33449330085,1466.19265637,294.887,5.543,8.84461632156,1398.64674655,264.737,4.152,8.46611571255,1552.99695826,433.314,2.879,8.87195371498,1601.69863001,314.489,4.903,9.28304384896,1585.32580952,292.377,4.559,7.93323507917,1656.75106942,495.077,2.543,9.50575152253,1613.12878332,298.741,4.461,8.9743361754,1494.81393078,436.813,3.309,8.80792204629,1417.70402572,269.786,5.472,9.06780511571,1376.46738862,268.116,4.0,0.0,1.0,187.454,187.45424,0.171,0.0,0.0,-5.693,168.387,0.480934212809
93.81735,93.4080383117,2974.80296199,186.18219,95.1916,94.632699537,2985.9273365,188.61767,72.161005,79.5685725,3671.43827942,176.59927,-6.4465,-7.08853301887,11.9339395532,59.629,0.05076,0.0606791745283,0.00134244778493,0.24087,-15.279,-15.8707606132,26.7641239132,54.235,94.54585,94.584091816,2925.91459142,189.10626,89.74546,89.4449961111,2972.9408521,178.11455,8.9405,10.6830978774,1184.59721759,255.385,9.9415,9.6935495283,1275.40841052,384.34,10.673,11.6163620283,1525.06269824,374.718,8.3875,10.2031332547,1362.58331524,617.842,8.34,9.52900589623,1122.87029281,276.813,9.306,12.0696108491,1251.20570824,387.79,8.36,8.2954870283,1084.57533521,250.145,9.6265,10.5905365566,1497.39582932,398.411,9.6825,10.4190908019,1257.94208886,299.844,7.6685,8.54246226415,1148.55742358,229.157,10.1965,10.4808490566,1231.96209293,287.562,9.0675,9.80325589623,1165.2047977,296.979,7.0,9.0,0.0,190.667,190.6673,0.316,0.0,0.0,-5.439,170.514,0.430160637018
70.396665,70.7585571,1667.5904403,140.10829,70.912475,71.2895989801,1684.72211231,141.86851,29.70936,53.824858,2672.42272598,137.15584,-8.29,-8.86734294385,17.9230727534,33.123,0.05515,0.0623564036419,0.00133928690619,0.29375,-17.069,-17.5499772382,26.6805690814,54.215,73.07542,72.3635133687,1642.4419922,142.60195,71.43459,71.1915465672,1684.5957904,141.16989,2.415,5.28641578149,1558.50078883,292.573,1.9,5.24824279211,1445.9252252,274.121,3.157,6.75086039454,1513.36988006,401.661,3.361,8.03661305008,1508.20416655,288.375,4.333,7.60427162367,1605.00651978,402.656,6.986,7.40008649469,1442.10570632,321.016,2.967,5.72939605463,1479.16925131,276.433,2.399,4.53850986343,1530.11010099,338.899,3.468,6.0665629742,1520.17575619,299.047,1.517,5.71848861912,1444.75634443,290.281,1.815,5.61530804249,1570.02627962,274.379,2.084,5.33058877086,1511.7202383,336.855,4.0,9.0,0.0,138.356,143.82975,0.0,0.0,0.0,-6.126,171.973,0.400039656955
125.03262,124.711465595,5213.15323858,245.3126,124.61016,124.915586957,5244.16810222,249.7444,120.08047,111.982350909,5947.93726824,243.44127,-8.89,-9.92613688889,40.4425816453,59.369,0.04565,0.0540554933333,0.00119728616147,0.21067,-18.906,-20.0064995556,51.7737175104,51.791,125.74308,125.324417084,4906.83824046,250.63397,125.36605,125.17950513,5244.09252775,249.37768,4.2,4.46686844444,1667.13789417,397.251,1.787,5.36120177778,1688.13786687,353.653,3.027,5.05503288889,1783.64926642,323.093,1.941,3.79830044444,1701.4746782,291.758,2.01,4.76821155556,1760.0381759,354.996,-0.297,2.54085422222,1580.9143574,308.614,-1.624,0.564988444444,1586.72765662,314.949,0.003,2.61528444444,1415.58274214,310.294,2.42,4.30394933333,1513.4842973,351.963,2.236,4.21085155556,1638.92050926,352.527,3.978,4.79410222222,1649.82912713,329.042,2.849,3.937648,1591.24275034,339.609,4.0,6.0,1.0,240.135,251.58485,0.179,0.0,0.0,-5.804,83.087,0.360370582712
