barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
120.253555,120.381549783,4835.12879359,238.39494,121.88428,122.02020414,4941.89223312,242.93904,68.05428,92.7221844444,6298.81859913,235.78214,-8.543,-11.5042753978,67.6168006059,57.921,0.04417,0.059813378213,0.00280885127916,0.49196,-14.552,-17.7725544676,93.9365752972,56.344,112.24807,116.381137013,4822.7791545,243.71914,118.54399,118.821784758,4936.02137409,237.24829,2.134,1.51155936353,1181.66378326,311.256,0.281,0.751700122399,1193.87496139,344.815,1.771,1.06671725826,1150.10295963,313.094,0.74,0.41470624235,1175.75758467,431.423,1.554,0.956375764994,1196.38055642,291.258,-0.642,-1.05022643819,1104.49894661,309.401,0.928,0.510742962056,1123.01136073,320.333,0.405,0.547605875153,1093.37248923,347.45,0.334,-0.18264871481,1151.28470622,321.32,2.275,1.69405140759,1219.86899764,364.064,2.134,1.59662056304,1127.22615083,277.154,0.874,0.976143206854,1070.60964542,298.057,4.0,0.0,1.0,241.859,250.69669,0.125,0.0,0.0,-6.522,91.879,0.710980932933
151.23812,151.350188717,7676.32169014,301.95199,152.273465,152.365329455,7759.15131547,304.81591,142.64744,142.614914615,6947.28267373,301.59766,-14.439,-15.6653118406,25.0554386085,52.184,0.04519,0.0577311606096,0.00192319319736,0.43573,-20.458,-22.301112544,42.9602433519,48.262,144.36005,147.50370286,7439.45628395,305.0776,151.23811,152.05156096,7718.14087849,302.76829,1.824,3.60533645955,941.100860467,309.578,1.897,3.03310082063,985.364518063,310.823,0.983,1.5651852286,842.286052873,234.623,1.033,2.82071043376,951.861407784,292.431,2.526,3.04363540445,1075.55687881,433.11,1.958,3.08962485346,941.608668359,251.131,2.656,3.459010551,976.183184772,296.434,2.37,3.69321570926,975.625402193,290.368,1.373,1.88408675264,923.712955228,251.607,0.686,2.81418405627,885.697338832,246.833,1.445,2.82712426729,947.551915595,261.865,0.984,1.86552168816,929.590211253,323.346,4.0,11.0,0.0,297.68,307.35628,0.189,0.0,0.0,-12.825,147.781,0.687755308738
122.55396,122.540634074,5019.83269982,243.90515,123.91058,123.905228435,5075.71170652,246.63921,108.46381,116.244042727,5844.37044358,240.23985,-10.234,-11.7345407166,57.5658251865,57.782,0.03503,0.0513880347448,0.00308514698561,0.85946,-16.19,-17.7565982628,59.8285742317,54.204,117.53098,120.376706091,4942.12522461,247.49424,121.34405,121.245487556,5017.60163141,241.4695,-0.564,-0.21525732899,1081.09782113,253.788,-1.008,-0.606909880565,1108.44192981,246.379,-0.273,0.393648208469,1046.32211862,257.431,-0.229,1.68553420195,1224.04329238,457.494,-0.525,-0.602122692725,1214.81386332,449.816,-0.373,-0.172779587405,1090.01070966,321.664,-1.197,-0.288456026059,1101.465666,269.847,0.133,0.725993485342,1159.59625005,358.361,0.19,0.0518545059718,1134.73117658,310.169,0.178,0.0869120521173,1172.26336366,363.866,-0.73,1.10148425624,1173.82464488,268.177,-1.171,-0.654643865364,1090.26906265,302.014,4.0,7.0,0.0,232.902,249.05098,0.2,0.0,0.0,-7.691,132.042,0.669616824992
121.59245,121.403869096,4812.17350257,239.18586,122.30377,122.124925785,4909.34801405,242.5766,115.626125,110.3721425,3467.1002961,193.90568,-18.9635,-20.1916803714,38.9533417931,50.576,0.049345,0.0729898938992,0.00605992185675,0.75484,-24.845,-25.5661167109,49.142423814,47.146,121.031405,121.085682149,5076.15874754,243.33592,120.88113,120.780663494,4825.63920459,240.15005,-2.7625,-5.29866047745,1108.53645238,231.389,-1.5185,-3.55315517241,1129.93744347,250.016,-1.816,-3.21616976127,1172.29588676,256.363,-0.6795,-3.56537798408,1375.4741558,440.54,-2.0315,-3.22830238727,1143.66635586,237.205,-2.827,-3.51788196286,1139.74782097,248.871,-1.822,-3.5971061008,1133.20101658,278.234,-1.6515,-2.53210344828,1111.40405596,295.006,-1.6485,-2.56842440318,1042.70592861,254.359,-0.8875,-3.62515649867,1144.97656451,296.094,1.063,-2.55167771883,1228.29863847,330.847,-2.329,-4.58192572944,1152.47234904,275.88,3.0,7.0,1.0,242.265,249.70404,0.206,0.0,0.0,-15.467,123.704,0.651545422104
163.40975,163.896597661,8972.82213093,325.82798,165.32928,165.186069088,9040.4808499,329.19694,159.13311,159.388955455,7793.51398335,317.21933,-15.127,-19.2281309398,94.4042790557,54.351,0.04274,0.0716802111932,0.007102445997,1.22791,-22.028,-24.8312967265,89.1355868233,50.048,152.30957,153.698202408,8094.9406295,329.94658,165.81264,164.815327391,9014.35827348,327.76802,-1.352,-1.61027771911,883.240812646,249.401,-2.109,-1.96097465681,1022.3518396,346.374,-1.302,-1.83846673706,999.773076359,334.107,-1.676,-1.83174551214,1029.18255195,356.576,1.061,-1.10427877508,940.040475696,296.537,-0.283,-1.16990390707,1085.91198729,507.74,0.98,-0.897544878564,958.908939572,320.343,-0.368,-0.866042238648,971.047148361,314.091,-1.184,-2.10404751848,891.969364882,251.918,-0.92,-2.3559155227,931.261698546,210.436,-0.738,-1.38008975713,948.36994379,273.074,-1.766,-0.438413938754,972.379056213,347.441,4.0,7.0,1.0,315.826,331.83302,0.199,0.0,0.0,-12.012,125.633,0.636311538814
134.69548,133.862156807,5817.19576302,264.15568,134.69548,133.862156807,5817.19576302,264.15568,109.62235,116.022516154,5693.52606082,262.03554,-15.092,-16.9205805687,69.3090610918,55.258,0.04178,0.054420521327,0.00205409913148,0.35535,-20.916,-24.4581125592,119.648851718,51.84,126.80753,129.475982382,5775.42801239,264.66848,131.46507,130.439105977,5795.37804578,257.19772,5.3785,4.95532345972,1298.16042607,328.529,5.643,6.47990047393,1222.58381055,290.69,3.085,4.4949443128,1327.28458316,305.861,3.532,4.14493957346,1230.11504356,322.598,6.9615,5.9521978673,1365.23935193,364.711,4.429,4.04030687204,1279.06894083,330.193,3.9925,4.14196445498,1215.23730833,296.411,5.526,5.55281398104,1301.06454893,397.795,4.362,4.0014028436,1215.54607698,271.094,4.6355,4.85052606635,1208.22447578,284.86,4.334,5.22273341232,1158.25133439,295.905,5.705,5.90587203791,1312.11102581,347.297,1.0,2.0,1.0,259.57,272.84853,0.183,0.0,0.0,-11.308,118.546,0.630524668941
98.16572,98.6650311818,3217.34617692,195.32715,98.83768,99.3359432805,3247.02922503,197.5821,81.545875,85.3958933333,5323.71957504,193.70248,-12.4235,-13.4675255255,33.4179173304,56.124,0.04588,0.0615715915916,0.00377562452479,0.74989,-18.52,-19.539509009,34.5707146373,52.05,98.690885,98.3750022222,3153.04913584,198.31288,96.60145,98.3188487671,3177.25917612,193.76238,2.315,3.11377927928,1193.8575829,230.811,2.094,3.44468318318,1162.65285398,295.351,4.93,4.92837387387,1186.4538958,253.494,3.078,4.00096246246,1057.0216345,257.552,3.42,3.92466966967,1150.23434489,249.893,2.7095,2.98885285285,1110.0230377,229.414,1.7285,3.15972372372,1096.63581568,310.644,1.969,1.93912462462,1261.10528522,365.838,0.9625,2.08661111111,1265.29761574,283.097,3.4585,3.50447747748,1189.83261732,272.735,2.383,2.87045195195,1050.37116583,237.219,3.4705,3.42208108108,1173.09009148,289.195,4.0,7.0,0.0,190.526,203.78077,0.067,0.0,0.0,-9.279,133.069,0.623305737794
125.291535,125.257891544,5235.52068451,248.55587,126.21481,126.175538793,5292.80205498,250.9804,89.13249,97.8196422222,5679.93701282,241.55411,-15.601,-17.1839957326,69.5709374893,55.395,0.05013,0.0656974395448,0.0029120512347,0.40535,-22.209,-24.2129274538,69.7686851398,51.749,130.10467,131.865673158,4897.72487563,251.3005,126.67565,125.819014286,5273.79405258,249.83729,4.724,3.60505974395,1708.64031854,366.8,4.39,3.21087055477,1555.91255824,367.315,5.107,2.93039544808,1660.65654481,363.168,3.651,2.69268990043,1691.06191248,333.121,5.07,3.04689473684,1614.86155193,329.263,3.491,3.15236415363,1710.24431671,355.295,4.728,3.92723328592,1726.69536915,364.808,2.522,3.80324182077,1712.74902361,369.322,2.374,2.15303129445,1726.35749004,360.215,4.916,3.59746230441,1832.2989745,376.12,3.772,2.51849928876,1833.15534684,360.971,4.123,2.476685633,1771.10504706,354.58,4.0,0.0,1.0,235.624,254.51057,0.067,0.0,0.0,-12.019,129.991,0.619812366274
101.65795,100.290004458,3384.36631944,197.62658,100.27089,101.34215205,3409.3927511,201.79724,76.9436,86.9018738462,3929.73008492,195.23677,-13.5,-15.0295472313,54.316704453,56.185,0.06161,0.0799247557003,0.0043727057295,0.67872,-20.065,-21.4224413681,64.5468886342,52.508,95.279365,97.3420689577,3490.59862493,202.40068,81.797815,82.5604528333,3268.05170971,165.26338,-0.184,-2.64818241042,1401.02981535,311.007,0.1045,-2.09829153094,1194.81701741,261.201,1.193,0.946545602606,1389.6259928,294.719,-0.4545,0.205548859935,1244.27062491,315.689,0.188,-1.06788762215,1301.34636231,319.175,0.1605,-1.13131596091,1423.61011429,291.17,0.457,-1.20358957655,1160.74237732,281.91,0.485,-0.795008143322,1406.96635012,262.708,1.1445,1.9319218241,1306.92792441,280.721,0.495,-1.42848371336,1518.3164591,360.934,1.378,0.429571661238,1554.49713848,369.696,-1.2495,-0.475653094463,1486.4207061,428.975,4.0,7.0,1.0,200.156,204.48608,0.065,0.0,0.0,-9.665,105.469,0.614184506952
105.73106,105.652316776,3738.58166446,210.48498,106.50818,106.422229292,3765.46657054,212.00648,126.05149,107.813914444,4933.9206594,200.33409,-11.6755,-13.8184833333,66.9052561164,55.645,0.05047,0.0670160555556,0.00334600776315,0.46829,-19.5045,-20.7291759259,72.2497830302,54.805,103.511705,106.017177519,3711.01074238,212.47773,100.25865,99.6361813333,3611.49918352,198.29006,0.9865,2.07506851852,1500.31688656,433.635,-0.0985,0.88737037037,1314.28357507,387.831,-0.194,1.12014444444,1426.15369972,320.586,1.5945,2.5554462963,1230.61884217,270.104,1.172,1.09103703704,1274.40403752,277.534,1.4975,2.82043333333,1246.17761633,305.547,1.209,0.816101851852,1404.87083873,360.582,2.007,1.73955185185,1231.1583336,286.672,1.419,1.60733888889,1267.50674241,306.328,1.066,-0.266544444444,1515.04109851,413.649,-0.3515,0.665446296296,1377.66738478,302.947,1.7455,2.61271481481,1378.75428897,306.957,3.0,11.0,0.0,196.644,215.64036,0.0,0.0,0.0,-8.825,155.134,0.609084922169
