barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
177.518745,175.811001687,9672.8071241,340.69664,175.70402,174.935576988,9809.63151409,343.36432,160.315965,163.774902778,10225.5009744,314.87037,-23.5305,-24.3405122478,32.2414852066,51.015,0.050575,0.0582140345821,0.00118675989568,0.50416,-33.8165,-34.352582853,42.1088544088,41.082,171.232675,173.609819575,9706.22787673,344.30054,175.95361,175.058127706,9794.166751,341.22354,0.869,-2.95356268012,1361.22838987,285.482,1.9235,-1.08127305476,1449.66150322,333.136,0.593,-2.05421685879,1443.14241901,307.958,0.575,-1.48419740634,1465.24769653,331.544,-0.9235,-2.24592435159,1339.85397039,360.57,0.298,-2.42109870317,1481.02110145,330.192,0.78,-1.78986743516,1608.9386349,360.458,-0.4645,-2.77531412104,1480.31588514,416.488,-0.1975,-2.53720821326,1467.9744598,401.677,0.694,-1.93018371758,1473.48773027,334.444,0.833,-1.58547766571,1391.47882884,288.822,1.289,-1.97922766571,1414.80030341,310.605,4.0,10.0,0.0,343.255,350.35383,0.537,0.0,0.0,-20.502,114.032,0.511424325686
82.756365,89.4954007692,2804.3587824,179.94816,99.163625,98.5788290964,3049.12930087,191.52353,94.423675,83.74741,3952.93720329,175.17016,-21.389,-22.1749445983,30.10274049,45.898,0.03891,0.0489659141274,0.00136102939813,0.53315,-31.9625,-32.4721939058,40.7093714389,40.905,98.866805,98.0122637119,3007.55153649,194.27737,97.55163,97.5386416364,3014.59518496,189.80468,3.1585,-1.21599584488,1337.13973995,356.395,3.2085,-1.40927285319,1322.75771948,274.075,2.521,-0.725577562327,1246.15584455,323.44,1.914,-2.1216398892,1350.58904437,294.04,2.7175,-0.729132963989,1256.26006183,243.196,0.1875,-2.98365789474,1331.40937083,296.78,2.0235,-0.252929362881,1227.62122477,316.577,0.881,-2.39507202216,1336.69128616,332.926,1.194,-2.03351246537,1242.48373326,314.996,1.779,-0.646175900277,1310.37124239,318.424,1.71,-1.59642243767,1269.61958912,298.214,1.2395,-2.0088434903,1110.61597215,269.365,4.0,11.0,0.0,191.791,200.35873,0.581,0.0,0.0,-18.763,51.632,0.503381236206
97.969325,98.234399,3013.00254143,187.21255,102.980345,103.070683396,3436.15159582,203.45247,74.31008,81.0603163636,3033.72547305,184.62063,-18.306,-19.1450562249,24.4655656113,51.486,0.05085,0.0586516733601,0.00123776653575,0.29972,-30.352,-30.9397228916,48.6170185778,45.159,103.46694,102.241902356,3419.08296869,203.97238,101.03781,101.005867097,3396.09107998,197.96489,2.39,2.16379919679,1293.59946089,305.303,4.155,2.50446987952,1237.29007233,298.327,1.384,1.29874966533,1261.2696906,342.572,1.461,0.474464524766,1490.61259108,372.931,4.021,2.62820749665,1204.60435909,296.561,1.836,0.732883534137,1153.80333273,281.823,3.788,2.97555421687,1256.67907009,266.309,1.823,0.411931726908,1199.1489402,257.457,1.471,1.00568005355,1284.85677423,290.974,1.03,0.546780455154,1210.69766666,291.85,1.136,0.247595716198,1279.43627114,342.358,4.448,2.2434832664,1194.65313749,281.553,7.0,4.0,1.0,201.561,208.03873,0.183,0.0,0.0,-16.344,108.533,0.484562529968
85.62519,85.8108282857,2295.33452035,165.99459,85.95713,86.1228958223,2331.26076267,168.85331,85.95713,79.5695785714,3411.09574558,161.52115,-23.917,-24.7796264856,32.3594403325,44.524,0.04524,0.0562031918506,0.00171589641154,0.53579,-35.138,-36.0913056027,55.7683586978,38.514,91.35098,89.521788455,2196.6922832,169.68259,80.79578,80.1320904545,2326.20588867,156.2628,1.264,1.03034125637,1207.87905988,297.216,3.162,1.53056196944,1261.94540683,321.296,1.548,0.560932088285,1202.65412718,319.08,3.256,2.76610526316,1355.56537599,342.747,3.278,2.60228862479,1102.40894145,294.49,2.133,0.817405772496,1224.85982554,288.993,1.978,1.82238539898,1225.3275708,274.63,0.954,0.216784380306,1221.27863147,350.532,1.345,-0.555904923599,1185.94653044,289.543,0.161,-1.89089813243,1252.56939261,273.376,2.308,0.0141629881154,1229.11408218,269.381,2.615,1.84929881154,1349.17468611,303.405,5.0,5.0,0.0,169.233,173.73995,0.638,0.0,0.0,-21.295,182.73,0.473346541109
193.88349,193.763403004,12103.9024134,382.30396,193.88349,193.763403004,12103.9024134,382.30396,185.785695,176.942318,12529.1629933,366.29311,-21.295,-21.481511055,23.6254479062,50.579,0.04135,0.0510049336702,0.00109208926252,0.54958,-31.914,-31.7406803538,26.1475462225,42.799,195.08082,195.828109893,11826.6468134,383.5229,189.26158,189.472248682,11956.788284,373.97391,3.728,-1.19257359444,1827.53004828,296.935,3.886,-1.48381554011,1740.33928975,326.367,4.655,-1.61248894504,1743.56456764,308.56,4.048,-2.24220783323,1806.03627576,335.734,5.941,-0.759749842072,1840.47294132,328.412,4.696,-2.32732849021,1819.51734862,346.28,3.843,-2.04854579912,1825.06864034,326.182,5.233,-1.00495641188,1747.9024161,307.303,5.076,-0.931164245104,1717.0844627,324.884,4.875,-0.449902084649,1699.94706821,336.828,3.795,-2.4946879343,1787.33872722,302.297,6.506,-0.619669614656,1829.13056889,359.756,1.0,0.0,1.0,380.639,388.8322,0.572,0.0,0.0,-18.15,122.547,0.439654659707
137.34734,136.380643688,5798.50212,265.29022,137.34734,136.380643688,5798.50212,265.29022,116.84376,126.908061176,7084.67759049,264.29303,-21.5,-22.271278649,28.7958792167,48.176,0.03345,0.038427840772,0.000832877397147,0.64911,-35.46,-35.2731230398,29.3481401176,38.058,136.87175,135.923692364,5775.78932133,266.33909,131.24851,129.967823438,5783.6242151,252.27856,4.701,1.83474427021,1528.50569285,283.18,3.041,2.26487092883,1515.14124042,306.978,5.812,2.75917490953,1330.36835489,280.464,7.117,3.88588419783,1557.16693469,321.293,5.936,1.60037273824,1570.19360829,357.507,5.461,1.58975150784,1494.87462532,299.909,4.328,1.17919541616,1536.19129208,294.182,6.045,2.54671773221,1637.65141856,298.995,3.919,1.64449215923,1498.44171147,280.99,2.918,0.778572979493,1357.66407379,289.858,4.541,1.74261037394,1318.8477529,261.698,6.027,2.36357780458,1464.52216738,297.294,1.0,0.0,1.0,262.536,270.2624,0.663,0.0,0.0,-18.832,87.467,0.427446571488
69.73789,68.6619803412,1456.52082256,133.4483,69.73789,68.6619803412,1456.52082256,133.4483,69.1855,65.3759166667,1526.16481238,125.59207,-10.13,-11.6890531309,30.7226855114,30.279,0.02687,0.0358913282732,0.00112740520583,0.47057,-23.053,-23.936288425,54.5204252375,49.999,67.87515,67.1803318786,1534.46443326,133.8502,66.40683,65.06192,1451.92645826,125.65778,2.953,6.31049525617,1446.9689645,241.183,3.452,5.72381973435,1580.1833594,305.211,2.435,5.28427893738,1313.20941582,235.716,6.194,6.46777039848,1501.77075665,296.378,2.026,5.1320170778,1399.33116313,271.922,0.022,1.71521252372,1361.21138703,244.335,-0.395,3.96288804554,1384.55134263,312.734,2.014,5.55579127135,1528.31299558,437.514,4.345,5.30520493359,1443.01467649,267.791,2.551,6.37307210626,1611.23422216,398.212,1.28,4.04131688805,1427.5974038,291.025,3.118,6.27824288425,1401.68831994,322.331,1.0,2.0,1.0,132.545,138.94485,0.0,0.0,0.0,-8.464,213.962,0.427446571488
169.13615,169.043417588,9383.25730921,334.38218,170.25214,170.030075477,9409.10080471,336.36547,172.800085,166.266916429,10944.0770537,329.08135,-23.817,-23.6600505338,20.4469471398,46.819,0.03429,0.0432670391459,0.00100896414355,0.55004,-33.252,-33.051397153,18.6224623305,39.325,168.19084,167.111325495,9190.5791167,337.10544,170.25214,169.407367699,9328.25640681,333.38314,3.67,-2.449513879,1144.47478209,236.93,2.93,-1.65970818505,1220.43668668,300.504,4.028,-2.11317366548,1182.44529927,244.4,3.772,-1.61081565836,1154.38269838,228.029,3.78,-1.49063274021,1206.31545241,238.779,3.001,-1.76471245552,1295.05120826,271.51,3.471,-1.54592740214,1256.57883188,339.291,3.61,-1.55583772242,1135.78251183,227.186,2.845,-1.85181494662,1156.52281453,272.86,3.111,-2.69966120996,1131.79409706,277.735,3.741,-1.41143131673,1247.21469259,274.496,2.919,-2.42292455516,1191.65341926,247.87,4.0,0.0,1.0,334.582,341.62893,0.565,0.0,0.0,-20.147,121.971,0.408110883511
87.76598,87.1501069869,2437.19217595,170.68728,87.76598,87.1501069869,2437.19217595,170.68728,100.50414,97.51659,3418.47509847,168.40732,-9.588,-10.4906861167,17.8794443522,44.979,0.03969,0.0436694969819,0.000598379422886,0.33358,-25.343,-26.1936519115,44.4785750599,47.471,89.21388,87.759768169,2432.07231257,171.42385,85.503055,84.6702578947,2407.4461892,164.378,4.31,10.6455593561,1669.19844156,236.926,7.473,9.44327162978,1500.59765403,277.14,3.125,10.9221609658,1780.14940266,253.479,6.896,12.1751629779,1664.73499143,307.922,6.003,10.736668008,1559.51286328,224.963,4.129,11.499665996,1554.23936286,313.388,5.823,11.0361629779,1632.70891142,326.053,6.67,11.9671790744,1644.00754638,288.098,7.49,12.1750684105,1687.01942035,310.078,7.429,11.3047142857,1503.83732955,317.031,5.169,10.3924325956,1529.2314805,302.481,8.161,12.7312595573,1525.21173193,253.941,1.0,2.0,1.0,168.083,175.22893,0.0,0.0,0.0,-8.999,80.696,0.408110883511
172.53425,172.469291752,9759.87544963,341.30568,172.53425,172.469291752,9759.87544963,341.30568,167.82261,166.319147143,12128.3960175,336.26927,-21.107,-21.794132381,28.4974431453,44.203,0.03529,0.0411558857143,0.00103663306555,0.8461,-34.7845,-34.4123438095,26.5633903285,40.397,174.35431,173.112751362,9992.29233228,342.79905,171.46922,171.52888028,9686.03763523,339.71124,7.3055,3.76903619048,1334.38701743,315.491,5.4105,2.48251238095,1462.96192551,328.954,5.798,0.886379047619,1396.25353112,358.172,6.77,3.80344857143,1346.25222608,309.103,7.9535,4.23297809524,1450.51411897,299.632,6.347,3.46120095238,1332.42384307,309.901,4.35,2.61198857143,1505.74774834,306.111,7.2805,3.9793952381,1404.83254732,315.361,6.044,3.94263714286,1329.97302211,310.246,5.645,2.8500152381,1360.46452394,278.939,7.2625,3.05482380952,1464.45482102,319.956,6.1335,2.8398,1323.76864894,293.861,1.0,7.0,1.0,339.685,347.66322,0.864,0.0,0.0,-18.432,112.912,0.3759843015
105.189895,102.444360952,3486.87746891,201.60165,106.01593,104.121177961,3587.8482288,205.72006,119.78809,107.671025,4171.62641245,198.13033,-26.557,-26.7440674603,51.1469419439,46.086,0.049535,0.058941005291,0.00146994734158,0.39393,-36.1625,-36.7763624339,59.1905913051,42.183,104.46882,105.801869352,3351.95432342,206.42231,104.71642,102.803551525,3529.45772627,203.34985,-0.6295,0.779294973545,1180.5504323,381.873,0.846,0.761814814815,1333.17729371,332.597,0.7575,2.37560846561,1297.13436045,295.179,0.973,0.441898148148,1293.10837265,334.927,0.1515,0.497984126984,1379.15441702,331.259,2.073,1.99538227513,1417.91293518,303.468,3.1625,2.71965079365,1200.44422318,293.523,0.4815,-0.554649470899,1184.51894469,304.606,2.4485,1.77246825397,1207.50219972,440.127,0.965,-0.113993386243,1370.01697988,351.102,0.677,1.41991137566,1176.71393403,341.414,2.1065,2.31576587302,1282.98680478,375.376,4.0,4.0,1.0,205.09,211.09506,0.574,0.0,0.0,-21.511,102.399,0.3759843015
