barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
132.7955,132.550265516,5774.09505406,263.22208,133.30111,133.074256856,5789.37029728,264.26172,138.4009,130.465537143,6768.1776549,255.16617,-11.604,-11.3969912536,5.9343867317,16.929,0.02593,0.0444308551992,0.00340700831317,1.0069,-16.543,-16.3353313897,5.27089577648,48.819,140.18181,137.055229466,5659.90677237,265.26757,133.30111,133.074067881,5797.11608415,264.61105,45.848,45.8593411079,4.91077711105,42.665,82.735,79.5913877551,573.433139895,182.931,-14.944,-10.8760884354,532.434219861,245.49,-18.778,-18.6198746356,416.346830149,580.881,-58.662,-59.0227852284,460.609959516,141.488,-25.201,-22.8408075802,254.098512492,132.363,-26.037,-25.8067026239,257.20899292,134.009,-7.563,-6.18001360544,197.352840962,184.508,33.864,35.1406015549,145.633938984,96.004,12.19,12.3721933916,107.441031396,81.202,2.361,2.68440038873,125.90382085,214.196,13.167,12.5890874636,103.264017135,74.89,0.416,0.491453838678,0.10436016818,0.979,0.46,0.500610301263,0.0898917266577,0.99,0.296,0.338096209913,0.0439335641159,0.982,0.291,0.330372206025,0.0442354270603,0.989,0.339,0.417626822157,0.0823959171037,0.983,0.296,0.339142857143,0.0470761185617,0.974,0.372,0.439731778426,0.0795051000688,0.983,0.48,0.546972789116,0.102696255819,0.987,0.449,0.514315840622,0.0879990790591,0.98,0.377,0.450690962099,0.0746132767016,0.952,0.295,0.382620019436,0.0740705290842,0.964,0.269,0.362228377065,0.0841808390004,0.985,3.0,9.0,1.0,264.905,268.69506,0.0,0.0,0.0,-9.486,171.463,0.78768832886
111.17293,111.799503881,4319.1766197,224.18372,113.78744,114.355352694,4420.29229509,229.25635,126.706045,120.91131375,4207.91973011,205.52844,-2.966,-3.56436235294,11.7788252522,59.739,0.03787,0.0907160470588,0.0211935755585,1.14467,-6.721,-7.84029647059,21.7325452203,56.695,115.56413,116.604842965,4209.6866118,230.33891,114.00051,114.567634557,4420.58757026,229.66583,55.044,54.1599082353,12.1638539516,57.16,83.077,85.7079647059,796.0068189,195.266,18.262,10.9028729412,693.995502214,173.099,-13.231,-13.56504,630.311629422,437.795,-43.368,-41.7530870588,418.457706409,167.947,-25.705,-24.7950211765,262.22256243,175.068,2.74,5.58235058824,324.838479159,136.112,2.418,2.58180235294,323.488848841,160.483,-7.137,-6.99077647059,258.800894861,89.503,4.865,5.80264235294,152.45355414,111.984,-3.502,-4.07814823529,124.812772479,177.59,0.223,-1.01609647059,169.067533122,73.759,0.382,0.445131764706,0.0671606744028,0.959,0.836,0.745689411765,0.0732442470644,0.93,0.591,0.590710588235,0.0800976927114,0.951,0.264,0.313138823529,0.0380515689633,0.977,0.249,0.309541176471,0.0471042247751,0.984,0.273,0.329475294118,0.051561632919,0.969,0.267,0.35176,0.0702600835765,0.971,0.241,0.325712941176,0.0583366328913,0.981,0.619,0.579381176471,0.0978310641163,0.973,0.51,0.524014117647,0.0826614445066,0.968,0.223,0.266823529412,0.036055175917,0.968,0.253,0.318068235294,0.0518096871087,0.97,4.0,2.0,1.0,229.442,234.762,0.357,0.0,0.0,-2.355,70.735,0.773818953881
150.44071,149.4115704,7471.34890642,295.04549,151.72145,150.67713532,7530.39564116,297.53331,124.44629,123.153696429,6526.5486053,248.17178,-2.965,-3.38192432432,8.88343007355,59.449,0.03574,0.0993098918919,0.0961161209993,5.45211,-6.648,-7.18934054054,14.3075053561,57.155,126.23837,144.477056667,8622.48906994,297.67741,151.612615,150.57120106,7530.73189701,297.751,54.958,54.5186666667,9.5518404024,56.578,86.593,82.6105333333,470.93957418,214.472,13.879,14.118645045,372.193991148,248.654,-14.135,-14.5226,347.528722863,437.756,-37.456,-35.5511117117,248.443795004,144.563,-27.031,-25.6717855856,246.825870082,207.963,-0.746,1.82959279279,235.480871668,148.075,2.363,3.38650990991,156.57094278,180.675,0.264,1.4820954955,128.738345146,73.732,11.138,11.8281531532,95.5498217549,84.833,-4.751,-5.30343243243,112.714806631,152.591,3.192,2.82498738739,78.2745537854,76.881,0.476,0.501030630631,0.0793835143771,0.936,0.248,0.289418018018,0.0287380919276,0.971,0.256,0.318133333333,0.0497244254655,0.983,0.379,0.40365045045,0.0415677048421,0.971,0.448,0.473967567568,0.066934672822,0.966,0.397,0.418812612613,0.0528083793004,0.969,0.707,0.661632432432,0.0898760522815,0.956,0.494,0.545618018018,0.0905970036393,0.971,0.264,0.340405405405,0.0607047419528,0.982,0.252,0.360122522523,0.0909404210243,0.976,0.236,0.303873873874,0.0489538723805,0.974,0.517,0.524367567568,0.103269428858,0.977,4.0,4.0,1.0,297.703,301.16526,0.321,0.0,0.0,-2.682,143.26,0.773818953881
129.01966,128.124493947,5450.97404313,253.92541,130.438825,129.5266135,5547.1183963,257.955,107.402455,114.355278333,4287.10528648,251.48992,-8.375,-10.0560290909,62.8805346137,58.611,0.054755,0.0850925818182,0.0113361220901,1.46805,-13.3075,-14.4801890909,63.1183807752,55.834,100.610185,110.332650018,5183.78189451,258.37796,130.43882,129.526920892,5535.0149675,257.955,49.0095,47.4896418182,61.969671739,57.027,23.874,8.77803636364,4686.3013624,385.924,8.9345,14.9670109091,2502.33821051,330.169,-12.0515,-10.1483854545,962.027771055,457.805,0.784,1.44633272727,912.792707153,225.754,-28.5915,-26.8163327273,322.712648135,221.699,4.117,2.59129818182,757.390684842,177.639,-1.391,-1.69297090909,369.726081381,194.19,11.4,12.7599181818,490.850373995,166.692,5.254,4.14261818182,210.787216963,129.907,-3.25,-2.45313454545,147.468043051,97.231,1.948,1.76242727273,344.267653096,151.884,0.5105,0.569387272727,0.15332319002,0.999,0.4905,0.535263636364,0.085130732314,0.99,0.384,0.50982,0.146279322145,0.997,0.181,0.232521818182,0.0398279913421,0.998,0.1475,0.218370909091,0.0446483351537,0.998,0.104,0.140676363636,0.0156382916231,0.942,0.143,0.243852727273,0.0658107074017,0.989,0.165,0.229810909091,0.0463969496992,0.994,0.13,0.174590909091,0.0234720271901,0.92,0.224,0.306363636364,0.0657504459504,0.999,0.1425,0.206292727273,0.0400807088562,0.999,0.17,0.218065454545,0.0377807302612,0.999,4.0,4.0,0.0,247.618,263.31383,3.053,0.0,0.0,-5.455,105.204,0.771742228238
212.06513,211.184084434,14775.8338174,417.66872,212.80642,212.550849977,14895.3563189,421.66685,241.97808,230.633011176,14224.2075825,413.41878,-7.2865,-7.08993370166,24.276104189,59.886,0.03091,0.081235,0.0225172332457,1.4478,-11.6995,-11.6887955801,40.2562324555,57.55,123.7978,160.376076561,13657.8000084,421.94939,212.80642,212.551784465,14878.0692734,421.66685,49.8165,50.1831187845,30.6082567152,57.913,34.6475,29.4422803867,1127.19363879,266.365,16.355,14.8649323204,835.194871055,183.606,-8.2325,-7.03233839779,474.115793945,429.409,-42.7945,-43.6935953039,721.078017595,166.909,-24.9825,-23.7941767956,304.87027482,154.74,-6.2735,-2.31491850829,434.691154923,125.515,-7.536,-8.13660497238,209.793449388,150.287,9.6055,9.30471270718,124.572292429,78.299,4.9475,4.11208563536,150.658818487,134.968,3.7415,4.17688535912,104.478061624,79.001,8.1875,8.20791436464,128.605154515,72.313,0.448,0.512993093923,0.0864142195656,0.975,0.4235,0.497965469613,0.115975281957,0.985,0.215,0.347285911602,0.106250262177,0.994,0.178,0.227700276243,0.0306863894474,0.98,0.19,0.266037292818,0.0549317347971,0.992,0.258,0.424403314917,0.136416782088,0.986,0.354,0.391197513812,0.0616808270104,0.98,0.213,0.304571823204,0.0708026536812,0.991,0.1885,0.30142679558,0.0853649849726,0.991,0.2385,0.343294198895,0.0849006938338,0.988,0.12,0.186994475138,0.0334034447209,0.992,0.279,0.39271961326,0.0973263481789,0.985,4.0,6.0,1.0,415.701,424.64608,0.328,0.0,0.0,-3.307,120.155,0.76353180456
109.71233,107.631782288,3814.89536396,211.28568,108.78969,107.28895345,3936.02758624,215.94131,99.394,99.683045,5030.74706361,211.01259,-8.62,-8.58349108205,2.60367944849,14.386,0.028,0.0432002259215,0.0023768476688,0.59085,-13.336,-13.2708311534,3.73167714866,26.914,103.8424,109.214873864,4193.6306927,216.31433,108.78969,107.287207219,3922.07909839,215.94131,48.876,48.7710225922,3.32473124206,28.77,75.787,75.0518442331,397.050414331,184.712,3.115,4.49468489893,545.446734166,304.493,-11.108,-10.1452437574,484.013373057,439.777,-56.782,-54.9072366231,221.375149857,138.591,-28.739,-27.945255648,251.379943222,255.866,4.616,4.00351605232,127.698755603,100.14,6.778,6.83960760999,211.277871932,152.418,-11.171,-9.44046848989,84.3038431836,57.209,1.338,1.41905588585,150.778301228,105.726,1.208,1.14231391201,106.880390567,200.076,3.43,3.28896432818,64.0300482413,54.747,0.457,0.50427824019,0.0903314493363,0.976,0.483,0.525024970273,0.0941772918854,0.974,0.226,0.296941736029,0.0523361809097,0.983,0.233,0.309531510107,0.0566304654162,0.983,0.284,0.411497027348,0.109136252369,0.984,0.309,0.386146254459,0.0762992663623,0.981,0.349,0.451846611177,0.104757402156,0.981,0.308,0.391602853746,0.0856567768765,0.984,0.262,0.370126040428,0.0882420031388,0.986,0.221,0.368195005945,0.109639222377,0.983,0.233,0.354751486326,0.0899235066119,0.984,0.306,0.416029726516,0.109180849295,0.985,3.0,6.0,0.0,215.458,219.14077,0.0,0.0,0.0,-7.68,105.754,0.761748897674
135.46037,135.2655188,6153.12056851,269.36875,136.160505,135.94277696,6194.17913026,271.59589,125.58552,109.850911429,6279.87961811,243.73771,-9.075,-9.36737383178,11.0754684046,55.885,0.02657,0.0449713551402,0.0170148924243,3.26472,-14.533,-14.914114486,11.6404445687,51.495,133.25349,135.091671203,6213.08170464,271.91424,136.26679,136.055867591,6194.19235437,271.83178,47.97,47.5526950935,9.04632029138,52.752,69.429,67.8896857477,804.464996529,204.57,6.8865,12.2296518692,733.000646131,275.701,-4.1585,-2.79554205607,484.21940726,388.865,-56.3115,-58.6019848131,415.08337241,192.318,-23.8775,-21.7081682243,349.678123455,166.995,3.124,1.19862616822,170.061765954,110.961,6.6025,6.11486915888,384.005819009,162.925,-9.834,-8.6765,135.46425297,75.658,-0.1725,-1.37932476636,172.889308416,105.447,3.563,3.40539135514,148.60990254,207.573,1.901,1.79409813084,79.7090178035,99.279,0.3025,0.384494158879,0.0737050116481,0.987,0.454,0.517928738318,0.110571012445,0.981,0.194,0.283796728972,0.0563329843818,0.983,0.471,0.478260514019,0.0913152674128,0.979,0.6565,0.613801401869,0.1258933414,0.98,0.357,0.439056074766,0.0837355856407,0.975,0.252,0.363065420561,0.0875083952529,0.985,0.2245,0.299650700935,0.0560788207472,0.984,0.203,0.293910046729,0.0599784136374,0.974,0.176,0.294509345794,0.0748939555201,0.98,0.237,0.333224299065,0.0812877931479,0.983,0.32,0.402198598131,0.0767204675681,0.984,4.0,4.0,1.0,270.878,277.99465,0.3,0.0,0.0,-7.607,134.786,0.751168909159
219.97192,221.45925749,16730.1784825,443.19301,221.76895,222.782571866,16894.8850662,446.81095,256.95731,249.503096667,17816.7744502,441.35407,-2.93,-3.27449054054,6.5665378418,59.442,0.032445,0.105334459459,0.083881883689,5.27712,-6.398,-6.78574864865,11.1040872422,57.237,184.64508,198.973233649,15679.8751477,447.34095,221.76895,222.782944802,16910.7399904,447.24653,55.0525,54.6790013514,7.63122742297,57.413,74.476,70.9438216216,694.666728865,252.83,19.479,24.7377013514,545.159022528,210.599,-12.5555,-11.9317824324,449.120266749,656.099,-33.102,-32.2427743243,351.975860872,184.523,-29.8125,-28.3297148649,195.88565335,172.847,-3.118,-1.45609189189,234.697913735,137.83,0.2095,0.109640540541,204.065003276,166.693,0.5225,2.21900810811,160.97905204,90.141,6.939,6.15196351351,119.545779105,117.285,-2.2375,-2.18519594595,80.9052675954,133.336,2.857,1.11376216216,146.536023216,93.542,0.507,0.552540540541,0.100887405113,0.962,0.354,0.455981081081,0.0975291131556,0.963,0.2735,0.331225675676,0.0581134504218,0.98,0.3385,0.378733783784,0.0559254656154,0.976,0.4185,0.458105405405,0.090234286187,0.977,0.382,0.420305405405,0.0709754797005,0.982,0.47,0.513309459459,0.0768837001808,0.977,0.3595,0.409960810811,0.0678941295453,0.974,0.2705,0.320605405405,0.0476500659167,0.976,0.216,0.261536486486,0.0320191621822,0.984,0.228,0.277172972973,0.0399044160263,0.972,0.5195,0.574259459459,0.114504965113,0.971,4.0,11.0,1.0,446.09,452.12689,0.189,0.0,0.0,-2.399,139.231,0.748426596233
134.78027,135.972994682,6102.94566287,269.51552,137.37621,137.384588814,6161.62400465,272.61295,133.34126,128.512385833,7569.49920395,261.96945,-2.556,-3.83014130435,19.8567606974,59.64,0.03083,0.0888111141304,0.0827863249072,4.94779,-6.2385,-8.1020625,43.2496039173,56.66,112.81712,122.597888668,6976.64770868,273.2898,137.52474,137.513012928,6161.40533156,272.8734,55.161,53.7350896739,25.7622254947,56.904,84.19,77.7197282609,644.889714138,188.213,18.259,17.9915108696,280.762767891,141.94,-12.064,-12.346236413,688.979937094,632.819,-36.0135,-38.4263559783,473.484167256,168.629,-28.7375,-25.8130353261,399.667758741,158.936,1.088,3.32736684783,201.041623933,124.736,0.01,1.02482065217,153.295044843,157.492,1.313,2.58164673913,123.863152163,69.337,7.9885,7.18229619565,103.194447078,160.562,-0.506,-0.980241847826,119.764103156,126.648,6.0385,8.52087228261,171.191545715,79.195,0.617,0.604815217391,0.112606123464,0.972,0.433,0.485304347826,0.107991189981,0.959,0.384,0.447701086957,0.101856089999,0.968,0.39,0.437567934783,0.0814308595153,0.969,0.38,0.438559782609,0.0907212192521,0.968,0.4025,0.457649456522,0.0932486026627,0.975,0.368,0.414524456522,0.0637961352714,0.97,0.258,0.297684782609,0.0436161941163,0.978,0.2855,0.30452173913,0.0475138962665,0.97,0.264,0.304288043478,0.0425940474657,0.969,0.2045,0.25064673913,0.0320203371633,0.97,0.3835,0.440706521739,0.107796354088,0.976,3.0,0.0,1.0,272.968,277.81179,0.363,0.0,0.0,-2.536,114.723,0.747579836473
119.04864,118.920592967,4660.9799952,234.47664,119.69833,119.571495095,4739.28686289,238.42595,111.24437,114.217979091,4232.00689472,209.02155,-9.3,-9.1117959479,9.87968070655,56.178,0.02955,0.0458805788712,0.00285680843729,0.37905,-15.162,-15.3113039074,11.3412245733,51.673,122.28494,120.880835745,4901.40529348,239.06358,119.85995,119.734373038,4739.30699081,238.71759,47.65,47.3356859624,7.48456484928,51.898,60.701,59.9225542692,1070.22156599,206.247,10.955,11.3323936324,482.803999619,302.964,-1.09,2.13789146165,836.252475205,464.883,-62.904,-64.8982199711,411.374971245,186.958,-17.94,-17.332251809,431.101459922,134.352,0.836,0.262685962373,112.842248273,107.517,2.439,3.87588567294,505.943295696,163.406,-1.591,-1.77323589001,149.051103046,100.271,-0.934,-2.07234732272,200.176338369,109.223,3.421,3.76179739508,191.176365357,165.188,2.399,2.12504486252,69.3615125436,59.09,0.249,0.341658465991,0.072769562081,0.98,0.286,0.380447178003,0.0814953528538,0.974,0.146,0.225680173661,0.0479680815027,0.986,0.162,0.271519536903,0.0614770947703,0.986,0.214,0.396904486252,0.140431119676,0.984,0.211,0.310904486252,0.0771362716297,0.985,0.167,0.314283646889,0.0977654448701,0.982,0.152,0.267367583213,0.0758448258088,0.976,0.13,0.248131693198,0.0720489305585,0.988,0.125,0.280419681621,0.0950511002783,0.99,0.161,0.327367583213,0.115137181815,0.986,0.242,0.325904486252,0.0731503758265,0.987,4.0,11.0,1.0,238.782,244.84526,0.299,0.0,0.0,-7.162,92.39,0.746142572621
