barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
220.957975,220.224396272,16949.7918495,443.38647,219.78573,221.313771878,17149.9970653,448.01326,305.96771,253.099031429,22065.4600631,437.36348,-11.268,-13.9557332959,71.8540822472,56.568,0.04186,0.0568163054464,0.00271808593155,0.6371,-20.103,-22.7013211679,98.3405736386,53.945,202.06898,203.119130118,16663.7668962,448.11882,219.78573,221.312398014,17132.3481722,448.01326,44.88,42.0602425604,77.5672676368,54.785,16.545,14.5486939921,6757.90904925,670.609,47.103,61.5068792813,5826.70080582,416.522,17.326,29.6786013476,2735.83557582,534.575,14.028,19.651840539,1026.12861061,217.813,-9.684,-4.21201459854,1055.43506982,407.864,-2.175,-0.546589556429,681.219168568,266.396,3.607,4.17423975295,397.534351194,215.908,-12.621,-13.8195648512,356.299078368,157.744,-6.741,-6.9022953397,309.295459676,187.95,3.685,4.0618192027,351.888220459,243.968,9.158,8.00715440764,261.09942334,174.358,0.282,0.36946603032,0.0849044060611,0.997,0.312,0.392325659742,0.0836028742939,0.993,0.308,0.384848961258,0.0811751366483,0.994,0.238,0.324073554183,0.073044511715,0.993,0.391,0.45687366648,0.0898171210415,0.991,0.345,0.429690061763,0.0930138657575,0.996,0.221,0.285415496912,0.0528689660484,0.993,0.384,0.469915216171,0.109959516113,0.991,0.24,0.301097697923,0.0553474952277,0.994,0.341,0.442952274003,0.104943647919,0.993,0.235,0.326417181359,0.073790563186,0.995,0.168,0.253111173498,0.0552331577696,0.993,4.0,2.0,0.0,448.087,451.29098,0.369,0.0,0.0,-8.915,123.608,0.642268700401
104.75968,104.890895065,3652.1731078,207.98155,105.4338,105.569365719,3687.68100395,209.96504,112.79686,106.807833,3572.00119905,187.68219,-14.3945,-14.5356402266,22.7791791397,53.968,0.0483,0.0804315439093,0.00949037611362,1.07804,-20.4485,-21.1545113314,42.6690750232,51.5,103.59261,102.714405765,3675.4425756,210.45669,105.4338,105.569170557,3693.64734094,210.29885,42.558,42.0095708215,27.5820626104,51.296,-51.944,-54.5482351275,1917.47028722,343.102,35.606,32.1740552408,2328.57784607,289.705,0.153,-1.74933427762,1745.31495349,600.175,6.602,4.68258215297,1482.08548528,227.038,-12.101,-9.72834135977,577.02163218,270.047,-23.6845,-23.4689065156,802.147642133,199.482,-7.7395,-7.36544334278,583.781513822,242.651,-6.12,-6.84243909348,692.629722912,176.222,-4.099,-3.75668838527,309.833089937,142.392,7.1275,6.31175354108,271.938857121,112.75,6.1085,7.26518696884,677.52897667,165.427,0.2355,0.390966005666,0.136239630572,0.994,0.13,0.232151558074,0.06735939771,0.996,0.135,0.248650141643,0.0779065504037,0.996,0.0785,0.185825779037,0.0666496027915,0.998,0.119,0.224202549575,0.0685827195969,0.998,0.2875,0.416628895184,0.131119836785,0.998,0.124,0.239573654391,0.0726139839518,0.998,0.184,0.305058073654,0.0991443294886,0.996,0.082,0.190994334278,0.0662388526591,0.997,0.1225,0.263328611898,0.100350010994,0.998,0.13,0.244940509915,0.0837002939114,0.998,0.071,0.132458923513,0.0292768035535,0.997,4.0,7.0,0.0,207.314,212.53179,0.404,0.0,0.0,-10.897,178.312,0.629762225344
101.28384,101.273396591,3444.0294302,201.67787,102.05414,102.043122325,3457.15335053,203.21565,85.88261,101.402531111,3459.83931705,196.73763,-13.295,-13.3639449761,31.1975752195,58.149,0.03515,0.0455330980861,0.00150527885009,0.42037,-22.035,-22.0934964115,40.9795907308,53.593,94.037685,95.7927808493,3328.37611505,203.73501,102.05414,102.043085779,3463.69861108,203.60025,42.6955,42.161069378,33.2693596196,54.715,-16.963,-10.1435861244,2066.62077271,301.715,-2.173,-1.89308253589,1981.75250077,326.044,17.482,17.0756818182,1454.38148334,477.371,-1.652,0.845863636364,735.616570355,166.783,-13.444,-8.9850992823,1064.00920773,322.453,3.273,1.11530143541,727.766733823,189.2,-18.578,-18.5263409091,603.39391604,193.959,-0.506,0.325900717703,316.207545989,116.709,-1.4285,-2.29513277512,448.856488158,163.234,5.083,4.14264354067,300.768215399,124.613,8.6945,9.20267344498,235.359598002,121.857,0.426,0.500490430622,0.118945158999,0.988,0.2465,0.341185406699,0.0883313543803,0.996,0.2435,0.340135167464,0.0808418202465,0.986,0.132,0.198610047847,0.0369047785593,0.998,0.2375,0.328343301435,0.0864718307087,0.997,0.4455,0.528166267943,0.142371150585,0.987,0.1995,0.247906698565,0.0400564984719,0.996,0.29,0.391224880383,0.105915836989,0.997,0.107,0.178053827751,0.0371191801169,0.998,0.2225,0.319583732057,0.0743992956205,0.995,0.0935,0.245854066986,0.100261048082,0.997,0.154,0.235677033493,0.0491274985634,0.998,4.0,5.0,1.0,192.859,205.7922,0.16,0.0,0.0,-9.644,155.799,0.628225915639
112.02148,111.708816959,4069.98900499,220.64325,112.02148,111.708816959,4069.98900499,220.64325,84.668925,90.814733,3515.57042151,189.5477,-16.882,-17.2199192886,17.1043205612,50.531,0.05129,0.0696387414501,0.00361441819486,0.45371,-23.369,-24.3671518468,33.6383566678,47.391,111.10884,110.063269549,4053.0919284,221.63937,111.64785,111.348033221,4081.32263514,221.02607,39.507,38.9971983584,19.2686275845,47.059,-65.872,-62.2200328317,1968.3350161,400.647,-19.045,-21.1970533516,2755.95697568,327.546,-16.217,-17.2400834473,1479.83246899,340.665,-3.854,-8.57254035568,1364.21431304,225.206,-15.485,-10.7013652531,776.769863291,210.651,-1.39,-2.55767168263,743.717955463,182.384,-11.025,-11.2579411765,532.154002882,239.973,6.389,6.63672777018,368.610238929,158.536,-2.317,-2.88639671683,330.932612387,135.579,0.019,-0.662670314637,240.277063263,99.22,13.566,12.1041039672,429.705394233,154.147,0.31,0.392470588235,0.0871395432526,0.987,0.562,0.580370725034,0.133929264752,0.987,0.346,0.434049247606,0.104884990735,0.997,0.174,0.279626538988,0.0727475527293,0.994,0.116,0.218221614227,0.06196233666,0.994,0.142,0.260093023256,0.0840637150129,0.994,0.121,0.202447332421,0.0511871282111,0.996,0.188,0.342058823529,0.114418140179,0.996,0.121,0.199149110807,0.0462725181216,0.998,0.111,0.234350205198,0.079527672158,0.995,0.17,0.280938440492,0.0833249469628,0.996,0.071,0.133114911081,0.0286933493125,0.995,1.0,5.0,0.0,218.755,228.15302,0.334,0.0,0.0,-14.577,80.288,0.626616531637
95.95538,96.2674225984,3069.28390771,190.48253,96.45942,96.7734638701,3134.53170891,193.51842,83.184365,82.884302,3729.27013038,189.18764,-7.4315,-8.7477991453,39.5444540437,56.993,0.03999,0.0476417094017,0.00136820633668,0.53656,-16.696,-17.0588119658,55.6949591555,53.618,97.678505,97.5468036895,3123.70586925,194.20281,96.58543,96.8994057403,3134.59184459,193.77314,48.2955,47.293505698,42.2869521673,54.697,75.911,71.0871467236,1242.79579493,300.284,15.5725,22.1213632479,2394.12496651,277.447,7.5255,5.74374501425,992.696776375,407.859,7.2385,6.64047008547,316.980299973,114.349,-3.768,1.03968233618,832.435301157,241.191,-15.6,-14.3044344729,201.208373206,112.992,-4.057,-3.97158547009,223.178846567,113.013,1.3525,0.761713675214,155.577655407,80.507,6.961,6.8554031339,175.096359996,112.704,2.075,0.502670940171,229.158491791,138.177,5.4685,5.7974002849,139.903543297,85.055,0.7325,0.678055555556,0.0920240638651,0.958,0.2995,0.382941595442,0.0667405165319,0.973,0.214,0.316703703704,0.072302453519,0.978,0.156,0.212749287749,0.0380867120721,0.987,0.18,0.225347578348,0.0287279561124,0.98,0.5005,0.560673789174,0.134622832333,0.975,0.176,0.204417378917,0.0192952830598,0.976,0.2435,0.318373219373,0.0695781883426,0.985,0.1825,0.242247863248,0.0443475624954,0.981,0.186,0.240944444444,0.0330267248338,0.982,0.2275,0.308424501425,0.0721351502829,0.985,0.404,0.480716524217,0.0892773256244,0.981,3.0,5.0,1.0,185.487,196.28363,2.862,0.0,0.0,-6.605,119.138,0.623037475551
162.053815,162.889789688,8880.98089196,323.66231,163.94342,164.537585904,9022.88711003,327.53293,127.05036,145.214028824,9527.66378246,322.44357,-34.148,-34.610519774,45.0040736112,39.566,0.04029,0.049956779661,0.00090440607381,0.26852,-44.277,-44.2663587571,44.0181923487,32.487,206.50719,186.387314322,7281.87359803,327.9717,163.94342,164.537585904,9022.88711003,327.53293,21.2645,20.992960452,39.4397590775,36.057,-129.717,-118.483502825,2756.47020689,383.147,-14.866,-15.0602118644,3754.65243469,285.628,13.581,11.7382514124,2913.79771897,380.165,50.791,50.2323898305,1497.51308228,260.358,-20.783,-13.7753757062,1548.77633885,253.604,-2.51,3.42005367232,1351.66607619,192.907,32.8415,34.8753757062,984.001698788,209.451,-25.6935,-24.1948531073,810.130899815,190.439,9.699,12.722920904,469.883800259,138.846,-1.306,-1.42014971751,256.02575711,115.697,-16.722,-16.5741440678,613.830836835,150.536,0.263,0.370740112994,0.0924320454531,0.976,0.1675,0.244107344633,0.0516666438444,0.976,0.137,0.296627118644,0.102251233841,0.987,0.099,0.190330508475,0.0562444416116,0.989,0.15,0.266966101695,0.0780826937662,0.986,0.1835,0.254336158192,0.0496216355852,0.986,0.18,0.290406779661,0.073455060519,0.981,0.218,0.397788135593,0.136225263023,0.99,0.085,0.154471751412,0.0376607407274,0.993,0.216,0.324152542373,0.0859020219286,0.988,0.1715,0.281338983051,0.0748548624916,0.989,0.273,0.396672316384,0.102517079064,0.987,5.0,7.0,1.0,324.609,339.43465,0.224,0.0,0.0,-29.285,147.045,0.619305881115
77.74267,77.5988254321,2048.29916489,155.02633,79.406465,79.2945142378,2099.60202242,158.43121,70.00734,69.7082277778,2024.1610358,147.89006,-19.531,-19.749482389,19.327308507,26.563,0.03387,0.0485251301685,0.00164487537108,0.28525,-30.486,-29.8931148545,41.6712611001,39.609,78.20912,79.0300654671,1998.30479766,158.5546,79.40705,79.2944905038,2093.19206141,158.43121,34.536,35.0404272588,24.0617312432,28.762,-106.473,-101.880431853,2517.86706763,297.331,-17.501,-15.4859831547,2462.01985395,307.567,14.506,10.7306891271,2821.8948147,408.415,-14.362,-10.9950964778,1116.01341977,173.57,-8.107,-0.688300153139,1515.68655468,237.417,-10.016,-11.1030566616,638.78604956,146.911,-7.91,-4.95421745789,919.038130721,210.435,-23.376,-22.3266967841,895.88108819,184.409,-5.564,-6.49581316998,454.169472081,136.118,5.88,5.28971209801,401.341779011,136.099,20.936,18.0698453292,354.096825904,120.805,0.104,0.223116385911,0.07838511356,0.997,0.13,0.273169984686,0.100160334045,0.997,0.087,0.203822358346,0.0695698826854,0.997,0.118,0.237312404288,0.0768979850988,0.996,0.107,0.247649310873,0.0910647728824,0.998,0.089,0.210382848392,0.0819417982969,0.996,0.163,0.336719754977,0.134237313499,0.997,0.078,0.189151607963,0.0735395742585,0.999,0.069,0.205505359877,0.0886353954537,0.999,0.05,0.154770290965,0.0617958614757,0.999,0.08,0.20156661562,0.074762236374,0.998,0.136,0.310710566616,0.127105639046,0.998,4.0,11.0,1.0,153.913,160.62649,0.0,0.0,0.0,-16.766,124.274,0.605819607475
96.44949,96.1066295455,3037.87302654,189.83504,97.91541,97.5525887387,3092.41716586,192.79976,65.59517,82.0369916667,4618.13011896,189.20089,-9.754,-10.3630073452,32.3080515624,57.708,0.03965,0.0577255194124,0.00204692804383,0.37807,-21.18,-21.5029916055,41.8426995697,51.81,86.50336,91.1720957083,2914.56521592,193.43805,97.697035,97.3348232808,3092.70313622,193.20966,45.454,44.6638982162,30.5633278354,53.011,14.132,15.3484344176,1127.86122243,268.111,24.682,21.1866925498,2099.19803875,324.287,16.002,14.8867838405,1769.80049627,622.811,-17.946,-17.2846128017,887.675868518,275.083,8.873,9.44202728227,1335.32997484,299.974,9.469,11.192887723,612.439625787,167.957,1.53,0.224472193074,341.879714446,147.702,8.574,5.83165582371,605.63853705,163.484,9.804,9.36927701994,290.107546047,137.135,-2.1,-3.14785624344,451.265455456,153.072,-4.478,-5.91991920252,531.704700358,187.176,0.487,0.535694648478,0.0986523128465,0.982,0.804,0.720164742917,0.0850447441085,0.972,0.237,0.411570828961,0.133501776987,0.985,0.109,0.2014386149,0.0432383931364,0.993,0.122,0.178966421826,0.0330263136679,0.998,0.114,0.165423924449,0.0233605170352,0.998,0.16,0.266353620147,0.0773218906926,0.996,0.125,0.229241343127,0.0654685482593,0.996,0.114,0.206240293809,0.0636970492893,0.996,0.124,0.232920251836,0.0729433388658,0.994,0.157,0.20433158447,0.0396642887926,0.994,0.18,0.294774396642,0.087221255504,0.994,3.0,2.0,1.0,186.207,194.01098,0.7,0.0,0.0,-8.136,103.094,0.592465487654
65.21058,64.9410502299,1422.94468608,129.29598,66.33036,66.0679122222,1447.59997065,131.52515,43.35026,52.4354971429,2051.78587661,128.74016,-10.55,-12.0570831721,31.9100531207,55.27,0.04413,0.0565394777563,0.00204768360572,0.35981,-19.859,-20.9488201161,49.0849742056,51.552,66.27751,64.9818177176,1393.76908699,131.82195,66.33036,66.0680336662,1443.4801152,131.52515,44.737,43.4842359768,32.7838601571,52.001,-8.564,-7.49680270793,2405.92580166,313.758,-0.452,-4.35140812379,2045.36721383,257.107,0.069,-0.21712959381,2644.94526493,580.885,-33.818,-36.1914854932,842.730527731,178.334,-0.059,2.60103288201,1209.14952525,330.389,-21.708,-22.8759187621,822.41296751,156.146,-9.41,-8.28249516441,521.373321646,172.42,15.26,16.7054410058,450.48674625,138.141,1.978,0.415481624758,405.464883693,155.778,2.97,2.38847195358,410.340095232,115.911,20.518,21.6524216634,392.624880275,154.692,0.254,0.360473887814,0.0866635529932,0.985,0.386,0.506611218569,0.12537869411,0.977,0.258,0.34429787234,0.0705330563398,0.984,0.173,0.251102514507,0.0548441732432,0.98,0.213,0.315694390716,0.0752450516707,0.991,0.155,0.267820116054,0.072870731665,0.986,0.209,0.306023210832,0.0727273805057,0.988,0.239,0.326323017408,0.0707485436288,0.988,0.411,0.505684719536,0.120287337736,0.977,0.393,0.437342359768,0.0857978305654,0.985,0.156,0.251740812379,0.0638584434601,0.983,0.189,0.302582205029,0.0827138486582,0.986,4.0,6.0,0.0,127.408,135.91465,0.148,0.0,0.0,-9.374,159.837,0.587954991093
157.448155,156.075362333,7623.08605466,300.67394,155.901315,155.625948569,7897.89193121,309.15795,74.94729,108.334014444,10078.1120488,296.02731,-32.0505,-32.5802355263,38.4614152695,39.852,0.03719,0.0483519736842,0.0027515870661,1.00914,-39.835,-40.3760671053,27.439537431,32.768,173.79202,165.359399592,6550.25886488,310.54748,155.90478,155.625635469,7881.71163323,309.15795,24.372,23.4492355263,27.5913498037,34.992,-102.843,-103.175997368,2694.10878012,387.274,-55.0425,-49.7820315789,2345.1344027,291.882,-10.236,-6.80606315789,1618.69451164,259.348,26.412,34.6938881579,1674.9217351,252.463,-25.9405,-20.1022184211,815.110066197,187.208,-7.0125,-3.29353815789,1056.09630495,199.076,3.3845,4.92665394737,737.353531329,249.442,-3.033,-4.43482236842,545.677573625,209.966,7.863,7.97162763158,380.137691597,134.947,1.397,0.927701315789,172.745761891,86.064,4.339,0.306619736842,546.072520083,166.041,0.186,0.304686842105,0.0894916098269,0.996,0.15,0.281965789474,0.0906239672507,0.997,0.082,0.170615789474,0.0505715655402,0.996,0.065,0.181578947368,0.0669508595568,0.996,0.1145,0.296706578947,0.125255644167,0.997,0.128,0.264932894737,0.100072767865,0.995,0.107,0.242119736842,0.0865932553999,0.996,0.084,0.197413157895,0.0704786845637,0.998,0.086,0.212735526316,0.0810675945274,0.997,0.078,0.184259210526,0.0664490867573,0.997,0.078,0.218289473684,0.0880933109418,0.997,0.1335,0.297011842105,0.114046806439,0.997,4.0,11.0,1.0,301.424,323.34322,2.403,0.0,0.0,-27.776,96.797,0.585979766109
