barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
95.19521,94.9192580899,3031.84307416,188.79569,96.97528,96.703093963,3099.67707554,192.36253,108.13067,98.4707942857,4403.15814351,186.78517,-12.8275,-13.3363452722,55.8843332289,58.162,0.04509,0.0526355873926,0.00098254816477,0.23567,-27.6905,-26.978747851,63.868955435,52.638,89.92066,92.4617659312,3017.33553246,193.17615,97.33151,96.2088814925,3053.93236114,190.23428,2.4985,-4.88057593123,2176.60139492,312.884,0.4515,-4.9725974212,2466.09805396,392.333,0.571,-4.74761604585,2361.56350271,400.851,-0.753,-4.79906446991,2188.22673222,373.162,-0.262,-5.37922492837,2033.23288274,335.566,1.1555,-6.19997421203,2301.6035422,392.952,1.393,-5.26434240688,2369.94342265,343.552,1.2965,-3.91877077364,2220.49241221,425.181,1.45,-6.21074641834,2415.64302348,402.453,1.115,-6.12645558739,2451.85890522,409.106,-1.743,-5.75764183381,2258.02796413,352.401,0.483,-5.00584240688,2189.93803159,418.943,3.0,3.0,1.0,184.094,196.25751,0.14,0.0,0.0,-8.688,83.88,0.758350586628
124.80691,124.57681825,5090.3307712,245.90983,126.08479,125.86397216,5218.98460565,250.60908,120.920305,114.740205,6793.49336777,241.50388,-12.316,-13.1943572102,18.0274244483,54.635,0.04549,0.0544061451461,0.00105996735451,0.3249,-20.05,-20.8867153629,29.7521320717,49.32,124.76703,126.208181461,4913.29191766,250.69302,123.01646,122.871513457,5217.96148023,244.44779,1.293,-2.28741847314,1440.92710728,269.729,-1.261,-2.87843355325,1407.15603915,310.819,1.003,-2.01020546654,1525.86799813,319.92,0.672,-2.01127426956,1465.60301287,330.091,-0.091,-3.16513666352,1510.2497022,360.183,1.174,-0.400282752121,1354.63215128,301.486,0.643,-2.0160405278,1449.87870949,322.704,0.458,-1.71980678605,1541.25741118,555.0,0.822,-1.82210179076,1358.49157948,318.879,-0.562,-3.309332705,1404.02392712,338.571,1.44,-2.06461639962,1402.01231776,350.467,0.567,-2.63722337418,1366.6274407,306.023,4.0,3.0,1.0,250.567,252.9171,0.641,0.0,0.0,-10.656,116.482,0.720560105879
95.9974,95.7271585,3014.21873406,188.6215,97.183435,96.9126429803,3105.22254936,192.8767,122.672605,107.1094225,4517.38087752,186.77864,-16.449,-16.7667238913,55.1096122256,55.367,0.04625,0.0546823748212,0.00107389645244,0.31031,-31.183,-30.395695279,65.9204275853,50.833,90.13111,92.5657598712,3019.96015116,193.41751,97.18344,96.0629737313,3044.41088672,190.04332,-0.793,-6.75076680973,2325.63210341,398.109,2.001,-4.52704148784,2294.27337814,352.168,1.206,-3.96542918455,2132.7153263,394.196,1.211,-4.56709012876,2298.65711713,405.265,-0.418,-5.70619456366,2379.56734997,355.592,-1.047,-5.74039771102,2094.4207871,366.626,0.682,-6.12968526466,2321.62460793,384.233,2.458,-3.36572961373,2263.14929942,390.114,1.169,-5.85769957082,2237.95731839,336.657,0.233,-7.35689842632,2409.52008433,386.028,-1.243,-6.89415879828,2247.95045645,392.771,2.292,-5.17261087268,2347.92771044,333.422,4.0,3.0,1.0,184.343,197.642,0.316,0.0,0.0,-11.894,125.703,0.690559099677
182.80993,182.814446406,11283.6705601,366.15298,183.5263,183.525735024,11328.0905278,367.81252,134.17334,173.428860769,16142.6301655,362.88836,-21.792,-21.3465941423,39.1351227363,54.127,0.05476,0.0663179079498,0.0025320059079,0.979,-27.9805,-27.8927677824,38.2580043847,50.246,180.25116,182.68846099,11383.7570975,368.27329,179.23586,179.347873895,11208.2791894,359.23181,-2.812,-8.78216736402,1699.74418775,301.072,-3.0565,-8.39242956764,1594.61237886,297.264,-2.414,-8.27273291492,1627.8588765,292.081,-3.238,-8.59082775453,1556.36802488,299.355,-3.078,-8.80593654114,1704.61627863,308.368,-3.0215,-8.7129679219,1798.53397833,556.276,-3.0365,-8.35423709902,1696.85123637,375.825,-3.6,-8.81293235704,1749.84957114,316.206,-2.459,-7.22464086471,1721.9110335,320.934,-3.2795,-8.25825104603,1713.42237272,330.332,-0.7545,-6.966986053,1627.7820638,302.428,-2.853,-8.16942119944,1624.66785205,329.963,3.0,10.0,1.0,362.092,373.65506,6.362,0.0,0.0,-15.798,169.241,0.678867448471
147.73391,148.396898654,7348.52463796,294.08276,148.21434,148.88308,7492.15479107,298.85843,93.906065,125.689804,11651.2190921,295.54017,-17.645,-18.8316004882,26.5575435304,42.586,0.04268,0.0520950854353,0.00131115897389,0.45566,-25.188,-27.0874548413,53.5762195091,45.741,151.35506,152.411112034,7216.34518126,299.7254,148.02461,148.778803053,7471.4988529,298.84964,6.83,6.05753051261,1627.63352253,302.284,6.436,5.13691456469,1634.48874032,346.506,6.849,5.09632546786,1731.90707867,353.824,3.217,3.39926851098,1778.77832411,379.872,6.691,6.98262815297,1596.99371326,359.256,4.365,4.11107811229,1748.17118782,329.357,4.834,4.03933685924,1622.5672196,335.603,5.948,4.29924165989,1763.32691633,367.003,5.568,4.32024247356,1698.14040819,405.283,8.021,4.91062815297,1741.21489791,358.057,6.536,3.85835231896,1833.03328779,377.553,5.976,4.59856224573,1620.33659063,309.494,3.0,1.0,1.0,293.222,304.22159,0.0,0.0,0.0,-16.297,63.126,0.6785238284
115.00467,114.975403576,4381.53273112,228.22388,116.0497,116.016750135,4447.92146891,231.02651,107.235835,105.477781,5619.18071608,224.27933,-14.4255,-15.0474778912,18.6158152189,45.717,0.04127,0.0482188605442,0.000869776710096,0.38646,-23.6955,-24.2110306122,33.4899270399,49.515,117.13349,116.862497917,4361.16213849,231.37274,114.30785,114.184623364,4378.71578999,226.51065,-2.5665,-3.15442176871,1439.90193598,445.782,-1.7235,-3.29562329932,1244.46294371,272.831,-2.912,-4.53801870748,1377.74449146,295.648,-2.7775,-4.29169897959,1297.96340934,271.04,-2.281,-4.21046598639,1344.14474244,296.127,-3.56,-4.32843027211,1356.56573593,272.358,-3.41,-4.77890901361,1376.02924176,370.291,-2.79,-4.06605272109,1291.80046541,263.731,-4.467,-4.7016462585,1325.64899714,245.544,-3.3935,-3.94327295918,1270.52757283,249.327,-3.174,-4.38293962585,1361.13959654,271.461,-3.2145,-4.00943962585,1213.86302264,253.145,4.0,1.0,0.0,223.498,233.42975,0.0,0.0,0.0,-12.939,172.636,0.6749732951
114.68501,113.23425216,4270.56721138,223.79094,115.686295,114.357795677,4302.52220553,225.84552,103.67194,96.8276545455,5598.84098237,219.89127,-16.31,-17.1523462511,27.2027248919,42.12,0.02918,0.0354249452401,0.000574785569732,0.2797,-27.99,-28.9909941028,35.6365219587,42.709,107.51016,110.703072334,4222.67871926,226.49501,114.68501,113.335451566,4248.24203004,224.209,1.556,-2.88633782645,1917.85186333,370.259,-0.106,-2.02951305813,1945.41739312,362.074,0.143,-3.54314911542,1901.56513073,326.161,3.068,-0.339157540017,1862.08659542,352.342,1.557,-0.951324347094,1876.04024794,300.276,0.603,-2.54504886268,1898.15468031,312.864,0.08,-2.14706234204,1720.52878372,322.393,2.207,-1.23657792755,1967.30968036,323.132,2.328,-1.51144229149,2005.19343397,352.759,2.135,-1.50192502106,2097.92542422,338.119,1.635,-2.16052822241,2035.3030871,332.223,-0.258,-2.21442881213,1876.32705126,300.769,4.0,3.0,0.0,219.359,228.07465,0.0,0.0,0.0,-14.44,135.413,0.673865343175
53.23278,52.8803748485,939.236706631,102.99515,54.83116,54.4875196241,952.381912454,106.1424,44.29634,42.289892,1292.52749363,99.95087,-17.973,-18.8616911392,39.3909310844,50.715,0.03926,0.0512781518987,0.0024347604581,0.5221,-28.515,-28.855635443,32.0503666823,44.732,60.5898,58.6387603038,944.451276093,107.17306,50.71334,50.1500847727,936.310374008,98.82839,-0.572,0.172711392405,1787.39310605,270.023,5.164,3.45856962025,2135.04954705,267.954,4.677,0.757926582278,1945.41367179,336.832,4.551,2.63759240506,1945.92469736,282.294,1.641,-1.51982531646,2208.69587257,278.281,3.908,-1.29698987342,2242.45808248,267.323,-1.71,-2.36335949367,2105.49349778,244.705,0.38,-1.44557468354,2077.96056445,255.583,2.197,0.788179746835,2111.62359495,261.635,-4.696,-5.59695949367,1847.69519076,266.722,-2.467,-4.94456455696,1953.51524791,283.393,-1.637,-1.77614936709,2108.27818676,274.891,4.0,7.0,1.0,105.395,110.39302,0.08,0.0,0.0,-14.771,75.254,0.667165454925
65.56671,65.9011182759,1475.80493016,130.81014,67.291,67.6358042616,1542.73910019,135.46712,44.742525,56.3900516667,2445.48224453,129.53615,-14.036,-14.9769932976,27.9475910496,44.489,0.03915,0.0474497855228,0.00114294631711,0.26233,-27.6405,-27.5554879357,44.7791229389,48.421,67.610795,67.2515251609,1370.20458625,136.35193,66.71638,67.410686962,1542.44696481,135.18493,2.3095,2.16546782842,1819.88474332,364.387,2.531,0.96486997319,2012.77973594,400.555,0.6435,0.378376675603,1986.83673053,388.661,0.679,-0.222032171582,1883.82180774,307.334,1.9985,0.57536461126,1861.32863225,353.88,0.969,-1.20242895442,2025.96665676,372.516,0.5565,0.394020107239,1962.59667218,353.289,0.773,-0.572392761394,2006.77484709,419.019,0.3165,-0.466139410188,2040.32424661,461.577,1.018,-0.504471849866,1965.65600175,362.226,2.293,0.773050938338,1815.95771938,399.087,3.1505,1.52910053619,2074.3046674,369.586,4.0,0.0,1.0,129.887,138.44853,0.0,0.0,0.0,-12.331,104.085,0.659622024226
99.97225,100.025338515,3399.13743429,199.74076,101.48478,101.524410958,3450.22292782,202.70913,70.0945,84.28921625,4152.53314431,197.06882,-10.1915,-10.8069553571,18.2669232901,24.197,0.051635,0.0608000637755,0.00202242413099,0.77117,-19.866,-20.1695204082,32.2198214639,51.722,104.484645,103.093024554,3330.86026522,202.94127,100.98174,100.128229701,3366.08757042,199.25184,4.9805,2.12705994898,1418.71197493,320.3,6.6705,4.48536352041,1371.58016145,314.738,5.332,3.56725765306,1345.8714932,299.647,3.531,2.28441071429,1313.12458268,291.434,5.3245,3.51461989796,1585.15692083,342.44,5.7965,5.2698252551,1286.66520484,311.095,6.076,3.62909438776,1386.06992686,283.414,6.485,3.61328316327,1236.55522134,252.785,7.099,4.19581377551,1572.63280618,418.906,8.1785,5.84204336735,1330.33490913,324.743,5.5755,4.40782397959,1167.50234107,327.85,4.8165,4.2397869898,1313.38465476,298.162,4.0,1.0,1.0,199.808,203.85914,0.0,0.0,0.0,-8.1,119.97,0.640968804378
