barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
119.672495,119.671260795,4799.22251408,237.27068,121.71297,121.71665916,4937.17257469,242.73645,77.39202,105.203574286,8006.85576526,236.94129,-9.8485,-10.893971831,28.8661115045,49.979,0.0327,0.0414056778169,0.00102656846521,0.35038,-18.742,-19.6395475352,33.9410858727,50.517,120.91753,121.86017243,4855.28282466,243.73619,122.73666,121.794094454,4943.67109724,243.08001,2.283,1.19924911972,1378.46068197,289.557,1.7775,0.176124119718,1309.35878705,231.802,2.656,-0.203512323944,1402.87416504,273.806,2.0245,0.844101232394,1399.98815687,307.631,1.644,0.266993838028,1432.09640121,328.586,0.608,0.184679577465,1345.65871596,234.441,0.274,-1.72611971831,1330.21035308,290.33,0.6975,-1.90854665493,1343.80397179,222.436,1.457,-0.296271126761,1342.2184576,252.236,1.844,0.788155809859,1381.74618479,249.041,2.186,1.71514524648,1380.90743032,238.38,0.448,-0.344277288732,1289.44272945,226.241,4.0,0.0,1.0,232.112,249.23383,0.0,0.0,0.0,-8.765,87.986,0.410071106091
142.48062,142.666238092,6687.03999882,281.7392,143.58478,143.747899773,6819.75567856,286.44586,126.337655,133.025575,8241.77870591,278.91983,-11.169,-12.3597447584,27.9816598565,39.532,0.04361,0.0571518596171,0.00232955695661,0.54707,-18.717,-19.8347830447,44.5953913221,50.855,145.2683,144.854649945,6470.35793701,286.76798,142.176605,142.427550195,6792.10665225,283.92752,-0.499,-3.0825077484,1345.25512608,308.173,-0.9,-2.73610118505,1483.1995844,338.366,0.197,-2.39190793072,1435.43440296,338.899,0.487,-0.982074749316,1524.6154769,377.893,0.468,-2.65531996354,1450.56021648,360.258,0.365,-3.44613126709,1441.07655777,318.23,-1.04,-4.11768459435,1463.83873625,331.926,-1.696,-3.50668824066,1273.72709417,329.535,-0.688,-3.4386390155,1405.98254302,395.596,-1.47,-3.55232725615,1472.96887899,443.784,-0.555,-4.36901823154,1462.90175096,346.19,-1.254,-4.14386144029,1452.08022286,331.892,7.0,0.0,1.0,280.213,291.97016,0.0,0.0,0.0,-9.132,195.082,0.324058699214
127.69563,127.666087857,5381.47567507,253.06804,128.565515,128.537899796,5470.67697426,256.21068,78.35184,94.68072,6797.26026606,252.22072,-6.7075,-7.27459271523,16.0818664368,42.028,0.041795,0.0463522350993,0.000697657525633,0.26652,-18.268,-18.8573899007,34.3725999862,53.267,127.225735,127.898301366,5025.41451072,256.38612,126.6498,127.047080492,5437.82176219,252.71185,4.7975,6.47631043046,1165.19167125,306.842,5.22,7.70894619205,1060.59943246,328.003,2.1115,5.18571274834,1132.43016172,377.105,4.7365,7.96156870861,1168.96677578,319.714,4.2035,6.30143211921,1186.34902554,369.5,4.3635,7.32794701987,1139.8549554,311.551,5.252,8.4906705298,1157.92610037,241.925,4.304,7.69329470199,1099.35233374,265.499,3.6535,6.84710099338,1177.09310645,281.499,5.325,7.64166059603,1198.051757,368.709,4.6335,7.15829470199,1125.20685186,247.111,4.01,6.47001903974,1114.89707713,264.755,4.0,1.0,1.0,249.963,256.73098,0.0,0.0,0.0,-5.028,171.985,0.324058699214
87.05347,87.1871536416,2560.10460092,173.64911,87.05347,87.1871536416,2560.10460092,173.64911,89.61578,82.0000266667,3432.64753051,164.06164,-5.9125,-7.07592780172,22.7537650282,46.12,0.05022,0.0529573706897,0.000682049227785,0.22892,-16.05,-17.2789148707,41.6506171555,52.747,85.86839,85.7192847414,2391.2718026,174.68086,73.639215,73.8052322222,2473.92731862,147.41213,6.877,9.60914978448,1285.81456095,404.364,5.4365,10.1085064655,1219.92144201,387.912,8.124,11.4832165948,1275.6884973,401.052,6.808,11.4116131466,1132.07473838,367.302,6.7855,10.0716465517,1278.10414795,405.716,6.765,10.3961982759,1295.96241806,503.541,5.544,9.70142241379,1348.49750237,446.072,6.205,9.11185344828,1349.26733142,432.687,6.089,11.084955819,1303.90753156,483.869,7.173,11.2876271552,1320.35687839,461.425,6.7685,9.59732866379,1186.94100026,415.212,6.5255,9.9473362069,1162.08973524,392.467,1.0,7.0,1.0,170.005,174.8371,0.0,0.0,0.0,-5.209,59.116,0.288481642656
102.430585,97.1706221875,3173.28233807,187.62011,94.00526,93.8264490228,3045.44632909,190.70961,82.41973,84.620865,3894.1242876,183.9563,-14.2935,-14.6341602871,31.574525582,42.342,0.04658,0.0568770574163,0.00168621414995,0.2926,-21.702,-22.4348409091,31.0513508778,48.875,94.83,94.7505878589,3085.34607047,191.44503,89.669785,89.3683171053,2961.47215557,181.12582,-3.681,-5.55833971292,1418.73183237,310.717,-3.944,-5.2361208134,1384.45116963,247.333,-6.4115,-8.92474043062,1361.03169009,242.785,-4.92,-5.84525358852,1298.65923247,291.797,-3.511,-5.73813875598,1334.53999799,325.941,-2.3805,-4.72789832536,1477.55915992,340.428,-2.648,-6.01766028708,1425.8627667,292.377,-0.3095,-4.23667942584,1426.15601926,287.16,-3.2425,-6.3743145933,1402.9091662,306.739,-0.3185,-4.42148325359,1492.06726541,287.742,-5.2055,-6.66661842105,1318.5150728,333.079,-3.8755,-6.58096650718,1383.66091542,326.23,4.0,4.0,1.0,184.906,197.69424,0.0,0.0,0.0,-8.489,92.994,0.229144103717
108.59533,108.359217743,3860.97355321,214.60395,108.59533,108.359217743,3860.97355321,214.60395,95.20579,90.4485677778,4064.00195281,201.08431,-13.976,-15.6089747292,52.0985529945,39.782,0.04834,0.0572387966306,0.0016314001882,0.26629,-23.531,-25.0292021661,60.5052934754,49.712,105.19329,106.135969952,3815.89208381,214.99968,109.16861,107.875351789,3849.60790192,214.22457,-2.931,-8.35400842359,1581.768474,291.004,-1.785,-6.64191215403,1634.54555828,340.9,-3.071,-8.12127918171,1748.83168539,337.385,-4.392,-8.41135740072,1856.62516442,349.235,-2.889,-7.6757954272,1923.03433404,386.51,-1.761,-7.12918652226,1878.46382872,318.505,-3.982,-8.00102888087,1787.02206798,413.417,-2.997,-7.24385920578,1669.51376262,343.838,-2.993,-8.04667990373,1740.42559444,349.086,-4.128,-8.66587725632,1647.92348452,291.158,-3.201,-8.58615403129,1811.56452709,345.734,-4.006,-8.10105174489,1634.10311585,302.562,1.0,9.0,0.0,213.397,218.53995,0.0,0.0,0.0,-11.1,108.068,0.229144103717
114.45468,116.17707568,4510.23158993,233.69078,114.45468,116.17707568,4510.23158993,233.69078,143.99945,131.896833846,4659.07701776,228.49666,-5.784,-6.18193787234,15.1914362064,39.001,0.05402,0.0597143319149,0.00120234280004,0.26475,-16.538,-17.7472502128,47.8883278216,53.046,114.62644,116.998664979,4417.28458037,235.40712,113.383385,115.023081047,4520.44203784,231.17314,6.933,9.86779574468,1325.71855784,335.885,6.074,9.36430382979,1370.18229962,435.168,4.462,7.47982553191,1282.55007501,362.172,5.272,8.82226468085,1345.9273596,465.006,4.175,8.68133531915,1478.28795247,526.938,3.084,7.48658978723,1347.61923114,344.924,5.349,9.20356,1396.38866501,369.169,5.635,8.90733276596,1210.30316126,295.698,5.998,9.8431812766,1262.86664078,272.353,9.02,11.0345353191,1403.11760044,407.224,4.946,10.5944025532,1264.98673369,290.795,7.129,10.8303931915,1344.39692722,302.011,1.0,11.0,1.0,232.287,235.72853,0.0,0.0,0.0,-4.538,52.21,0.229144103717
173.84586,173.637620176,10010.3714357,344.94113,174.61656,174.398561778,10075.7024748,347.22944,173.84586,165.492028462,11984.4211079,338.77684,-13.1075,-15.2578786408,55.6423153993,45.412,0.040235,0.0499457142857,0.00141426331353,0.39813,-23.043,-24.2988467406,64.5694369314,51.737,176.62592,176.395655194,9591.37556396,347.57755,173.27744,173.535151523,9966.41044969,344.56851,-0.747,-5.88006449376,1521.06059159,382.764,-0.3825,-5.61702288488,1643.53102645,344.573,-1.2515,-6.56457212205,1631.18932316,373.597,0.8455,-4.62356033287,1599.62909669,343.369,-1.0385,-5.42776421637,1533.86396328,345.216,0.2575,-4.9430963939,1565.27576355,320.112,-1.3605,-5.56748196949,1550.53763314,338.307,-1.191,-5.79803814147,1505.65505147,430.382,-0.601,-5.55753883495,1468.51212889,314.122,-0.6885,-5.79748543689,1560.23626174,320.615,-1.5805,-6.88811719834,1501.08460005,305.229,-1.5265,-6.09342302358,1539.39662395,369.941,4.0,1.0,0.0,344.892,354.14159,3.396,0.0,0.0,-11.248,157.535,0.229144103717
126.84424,126.447493807,5348.88781901,251.90344,127.733725,127.346689873,5379.11167929,253.69913,118.094635,122.468162857,5801.64085696,252.54433,-6.6445,-6.99769516408,13.2621787663,37.312,0.05338,0.0602879015544,0.00154326733195,0.38978,-16.7005,-16.6264438687,26.1055432797,54.712,129.103965,127.099881675,5262.99477981,254.04154,125.065,124.375182479,5317.36340633,247.96972,4.5345,7.08967443869,1171.42652122,239.651,5.9675,8.50375906736,1238.75845145,325.112,2.1165,6.30574006908,1192.93963785,235.105,3.672,6.45551381693,1109.77940846,266.697,3.1335,6.047,1166.76863063,257.772,2.0575,5.41914853195,1219.34534434,258.294,2.896,5.61641105354,1238.33627505,401.448,4.204,6.73533160622,1133.22888655,224.513,4.1105,7.31946459413,1152.87208137,213.622,4.858,7.819291019,1175.95491422,255.669,4.6405,8.31077202073,1211.24730427,253.786,3.5905,7.60136960276,1139.34663119,228.258,4.0,5.0,0.0,251.362,254.30159,0.0,0.0,0.0,-4.87,167.826,0.229144103717
109.718625,109.944452568,4065.76439685,219.42646,111.10166,111.24968755,4120.5155609,221.996,97.01766,101.07968,4395.00853154,215.07953,-7.4665,-8.46626810176,33.7910741179,48.556,0.049315,0.0561049706458,0.00127027003322,0.32465,-18.998,-20.0037984344,51.0785451649,53.216,108.79859,108.725389843,3966.23522429,222.09029,108.0556,108.711990404,4089.64660658,216.49775,2.776,6.1832035225,1532.85195809,336.634,3.533,6.09576712329,1551.35736002,372.039,4.4885,7.42901369863,1534.91486343,286.893,3.645,7.22301956947,1504.4632603,347.703,2.944,5.52768199609,1511.19122824,346.617,2.44,5.06809001957,1411.91612273,270.912,4.1205,7.50293933464,1455.98362555,267.691,1.952,4.18568101761,1472.42258731,306.811,5.13,7.12285127202,1561.66264232,308.989,2.911,7.03800489237,1538.86395196,342.087,2.8885,6.55474363992,1569.81473354,318.2,4.0385,6.88353424658,1568.09418245,304.649,4.0,7.0,1.0,212.788,222.30159,0.0,0.0,0.0,-4.541,163.263,0.229144103717
100.01289,100.062722099,3334.47442157,198.69729,100.474255,100.525114018,3375.7085696,200.81677,86.2225,83.0637590909,3442.55628171,175.46433,-4.665,-4.41827840909,6.92386291491,16.396,0.050095,0.0542387405303,0.00105691234302,0.30837,-12.528,-12.9806458333,14.4114315943,57.188,98.97215,100.925907727,3262.57374125,201.12159,89.821175,89.7919552778,3292.95186729,179.56872,4.4755,10.333405303,1235.56995087,347.395,5.5695,10.0122888258,985.844159758,240.429,6.3275,10.6741420455,1006.48106748,227.555,6.0915,9.65148106061,1013.69967214,243.938,5.4525,9.18558238636,1088.89714746,225.518,5.755,10.6646979167,987.261144512,212.595,3.7785,8.89867140152,1000.59075145,235.551,5.129,8.34725757576,934.218447348,204.008,5.2005,9.09207386364,1070.61002048,237.182,4.2685,8.21152462121,1058.41843683,237.815,4.255,8.97820265152,1066.6972903,242.686,6.1465,9.68810132576,1091.25743591,246.091,4.0,10.0,0.0,201.404,201.40363,0.0,0.0,0.0,-1.674,195.848,0.229144103717
