barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
110.54586,110.537812679,4051.65046667,218.47702,111.77652,111.768116542,4161.13133839,222.9038,92.80886,96.3921915385,4113.88894254,218.31727,-9.488,-11.6162455304,41.7131946382,56.021,0.05259,0.0605523480334,0.00130714629139,0.29186,-23.874,-25.6307520858,96.7267726799,52.199,113.72821,112.54572416,4057.5115325,223.16408,107.34718,107.693427867,4080.17760111,214.53659,8.988,13.3246102503,2061.12712438,420.128,13.35,15.4966269368,1902.22410152,389.753,10.392,12.6741668653,2075.13789862,389.903,12.607,14.3981668653,2123.62097503,437.403,8.899,12.3883420739,2228.37141552,451.049,13.505,15.9829594756,1846.55440951,445.066,11.105,13.2673802145,2129.64562054,446.127,10.741,14.1731764005,2113.15388313,384.394,12.944,14.9020059595,2252.72499395,426.302,11.295,14.4439678188,1857.59741825,452.182,9.796,13.2469988081,2050.35914098,370.251,13.107,14.5768653159,2190.85310828,416.529,4.0,0.0,1.0,217.78,224.88771,0.276,0.0,0.0,-8.926,122.002,0.820667756608
109.332025,109.332074407,4050.1519902,218.59578,110.73413,110.733353579,4102.10774329,221.40006,104.19516,104.06346,4680.39844365,216.76495,-10.2775,-11.248442623,20.6002046238,54.343,0.039065,0.0508146413934,0.00129400060602,0.29515,-21.8125,-21.7633043033,25.8618048756,49.628,109.876735,110.392069191,4033.682532,221.8634,110.03242,110.600208734,4084.7639904,219.99778,12.603,12.7003053279,1043.71549178,249.995,15.451,14.7165881148,1021.89445956,254.137,11.9415,12.4542756148,1170.7878166,242.38,9.887,11.3540297131,1150.38039447,334.235,13.957,14.4687305328,1058.7838717,289.33,14.808,13.1090922131,1095.22387218,310.516,14.1555,13.5160092213,1096.52535207,233.627,12.4565,12.3245870902,1215.89244168,319.126,13.976,14.2439764344,1066.37431502,304.76,15.9745,14.8010829918,1021.95916705,310.876,14.676,12.8551762295,1059.62861578,235.144,12.1915,11.9442817623,1091.94423937,256.063,4.0,10.0,1.0,217.292,223.32036,0.473,0.0,0.0,-9.572,128.429,0.682589688922
107.42415,107.410431275,3880.16981805,214.30919,108.63558,108.616968222,3932.54637489,216.72947,90.294765,91.405205,4406.2766809,213.57319,-15.723,-15.7707222222,45.4289961408,53.065,0.06702,0.0733431339031,0.0014700355728,0.31979,-26.363,-26.9111794872,39.9908752043,45.65,105.831135,106.027491809,3831.08603034,217.14998,105.25608,105.825868108,3821.78890927,209.94629,10.764,14.2171054131,1158.71975386,253.943,11.1045,13.1796595442,1262.10180253,242.246,11.356,13.8366452991,1214.53835628,268.122,9.0575,10.8178575499,1239.01195132,325.364,11.633,13.2666581197,1272.45533113,271.259,10.514,13.2259387464,1041.24186272,193.7,9.5385,11.5066495726,1278.86417476,347.855,11.7155,13.1927037037,1330.74237954,315.935,11.7185,12.0698874644,1392.11235459,278.869,13.6895,15.8137336182,1226.07509791,235.904,10.453,11.9998561254,1354.50147224,299.913,11.5015,11.593482906,1361.24388299,292.807,3.0,11.0,1.0,209.862,218.27873,0.206,0.0,0.0,-11.63,124.381,0.673559840717
141.7475,141.74801896,6765.18668331,283.28879,143.19048,143.189192457,6843.80786975,286.1746,133.09861,149.150386923,8614.34266186,280.50499,-11.041,-12.1256465028,25.3170099431,53.658,0.05173,0.0639753213611,0.00246807989465,0.32159,-19.413,-19.872120983,39.75616125,50.825,143.557755,142.457572817,6913.74565899,286.63587,139.796315,139.580041379,6837.00923007,278.76193,2.4105,6.6215926276,1187.31069192,249.172,3.3665,6.95174102079,1153.54482754,225.476,2.361,6.99259357278,1161.26906342,285.539,4.6975,8.72307466919,1200.06079029,269.063,4.4865,6.91758128544,1126.96526241,217.178,3.459,7.41331379962,1190.2190547,249.0,3.669,8.1346436673,1128.80895291,247.557,4.9045,8.57110018904,1118.24400302,260.13,4.073,7.91803591682,1190.98356564,268.134,3.6275,8.27299432892,1117.4272355,234.818,3.975,8.08933364839,1248.40603502,266.889,4.0275,7.70627410208,1208.6776257,278.14,4.0,4.0,0.0,276.991,287.79057,0.258,0.0,0.0,-10.356,145.636,0.585301011988
87.87604,87.8690943956,2551.12988908,173.04539,88.59026,88.5900113859,2607.83341007,176.43162,72.726255,79.607224,3879.38306852,172.9463,-12.092,-12.6039385066,31.9316829362,55.036,0.04566,0.0560141288433,0.0017981386872,0.37008,-20.576,-22.123102489,53.4508338079,48.803,86.40354,86.9646817277,2654.72229353,176.76454,85.717135,85.54239,2603.66555429,170.81452,5.982,10.5041303075,1676.9885983,331.052,6.897,10.1527349927,1836.95007411,365.251,6.334,11.4839531479,1745.76311858,357.922,9.047,13.5934582723,1743.55944295,340.296,10.224,13.2277789165,1747.69938277,360.477,7.93,10.922863836,1689.01542667,322.48,9.395,13.613954612,1711.33240325,316.831,7.752,11.8771215227,1529.93683862,353.114,9.836,12.7990395315,1637.78229856,340.433,7.125,10.7884860908,1857.73050056,335.694,7.516,11.5144026354,1644.76775189,399.913,9.087,11.4300483163,1803.18746302,345.631,4.0,11.0,0.0,173.395,178.41587,0.339,0.0,0.0,-9.274,124.655,0.551288056021
155.34514,155.28869782,8036.65773448,308.17294,156.806575,156.746830392,8157.92547513,312.26203,119.14513,121.922509231,8493.61223438,306.33861,-18.029,-19.4942676056,54.7437658077,50.174,0.056665,0.0734007042254,0.00268681178019,0.48172,-28.064,-29.0022877264,58.9076779554,45.666,154.215145,154.826698934,7881.41450807,312.68163,155.539375,155.377571194,8154.06544483,309.36934,7.4155,4.34507746479,1555.06596839,331.031,7.2865,4.51709959759,1447.39415453,355.81,8.8205,5.94568712274,1434.81278443,329.617,7.436,4.1760694165,1451.63324721,348.86,9.407,5.14414084507,1505.22295355,300.323,6.1,4.3662917505,1653.61262234,355.134,8.4615,5.82070321932,1557.16024542,336.723,6.4525,3.22246881288,1686.81037534,362.345,7.495,3.34041649899,1649.17300808,359.177,9.868,7.27337122736,1603.28956218,374.455,9.9815,7.18919617706,1498.13836762,446.308,6.5165,3.8537665996,1487.99872028,378.541,4.0,2.0,1.0,302.15,314.74893,0.182,0.0,0.0,-14.946,102.751,0.480610618388
102.85324,102.853676667,3502.25491488,202.77803,103.42342,103.423390826,3561.26639649,206.22245,134.2604,110.24396375,5109.38901184,202.47293,-15.057,-15.822136536,30.8566688385,52.889,0.04303,0.0525212262958,0.00114657157511,0.3324,-25.687,-25.1926750948,40.8143199058,47.574,99.65197,102.40935086,3647.00537343,206.70707,83.84078,83.905748,3366.33163605,167.213,8.853,9.25266498104,1041.91392447,271.531,9.799,8.72821112516,1183.91932099,270.864,9.053,9.1842642225,1180.21654709,294.924,10.779,10.6785764855,1108.12807256,255.062,10.908,10.8613324905,1092.07741862,304.361,11.195,11.0289494311,1149.12160082,353.97,10.546,11.1359405815,1064.23411483,251.488,8.055,9.63680404551,1152.42245699,309.403,9.549,10.8016801517,1178.56067689,387.565,8.544,10.0487117573,1110.06829169,283.772,9.469,9.81866118837,1044.48852463,253.132,10.006,11.1998849558,1025.06642536,289.39,4.0,11.0,0.0,201.247,209.08363,0.194,0.0,0.0,-12.467,104.936,0.457447167085
116.992945,115.298355263,4385.86122554,225.02477,115.75768,114.960604447,4476.71152454,228.47735,134.34049,118.229995455,5207.84305636,223.78382,-12.341,-13.0664752577,19.915140703,52.937,0.051905,0.0670068865979,0.00278677256742,0.54644,-20.4355,-21.4415659794,40.9318662663,49.355,108.24265,111.579088928,4555.8542752,228.97492,107.52723,107.276095256,4420.44041164,213.87615,9.0185,13.2244051546,1178.8592883,371.14,8.157,13.4422453608,1136.73398698,230.563,8.5735,13.6221938144,1162.1834909,242.939,9.794,12.931443299,1212.67070646,266.179,8.244,12.6606742268,1165.0952909,220.403,7.5545,11.5108608247,1155.40825696,272.738,9.045,12.4431680412,1170.30296798,281.873,7.948,13.2238927835,1211.84916099,282.412,9.119,12.1472505155,1201.62604909,347.692,8.428,12.8941917526,1169.73497019,261.586,9.3235,13.4411670103,1108.47329463,292.117,8.031,12.7564876289,1225.72088582,315.068,4.0,7.0,1.0,221.275,232.17587,0.154,0.0,0.0,-11.14,121.627,0.439202489315
173.558575,172.841390195,9820.60481451,342.40795,174.95857,174.235831214,9881.93421228,345.2462,159.03167,152.220351,15377.1004172,339.30289,-9.668,-10.0410857143,17.0527315361,56.165,0.04965,0.0564387696793,0.00126834009301,0.34086,-17.043,-17.7373965015,29.6934886509,54.416,179.09841,177.825362484,10011.299034,345.75927,174.25723,173.469236927,9782.64191894,342.4123,15.103,18.8952635569,1232.03190867,237.398,15.016,18.3915265306,1239.90062499,246.047,15.521,18.5168956268,1178.56745451,270.646,15.03,18.212341691,1114.4597206,255.082,14.705,18.1664408163,1186.13212356,266.332,14.107,17.4835265306,1120.85585932,230.58,14.333,17.3353131195,1186.37143055,260.797,14.187,17.5091883382,1117.82927504,235.302,14.186,17.6442699708,1149.5249073,312.484,13.971,18.0067037901,1158.11047681,241.934,15.205,18.8830303207,1234.71368579,270.821,14.827,18.4796046647,1182.21717956,264.299,4.0,4.0,0.0,336.753,347.24526,0.235,0.0,0.0,-8.152,107.279,0.41967427881
125.4273,125.431293333,5293.32195126,250.176,126.89028,126.897094162,5355.35177495,253.12087,114.201045,116.942996,6718.52021929,246.58028,-9.4425,-10.0468029661,35.9406000205,52.332,0.04235,0.0516333792373,0.00149682140479,0.4912,-19.065,-20.1641228814,64.516551523,52.767,129.158525,128.322477055,5208.05034315,253.35016,124.935515,124.805780233,5286.84982074,247.73009,12.2485,14.3774491525,1654.91230367,347.086,11.7955,14.6451366525,1663.67990752,420.448,11.4325,14.7279290254,1687.39001651,399.136,12.037,14.5078792373,1619.22166402,436.163,12.4775,13.8919237288,1681.27471611,331.327,11.5245,13.5181197034,1704.89896421,402.409,10.603,12.608404661,1661.42659151,403.596,11.667,13.7871991525,1639.58704733,330.295,11.086,15.5358146186,1594.97905235,324.301,12.201,14.3525709746,1578.33423643,324.402,11.48,13.4253442797,1702.78018201,314.237,11.633,13.7754141949,1661.69618895,389.403,4.0,4.0,1.0,243.85,254.51057,0.0,0.0,0.0,-7.302,122.788,0.41373983586
