barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
114.430275,114.452411875,4425.588597,228.69499,115.77989,115.803346835,4478.0358305,231.42914,91.47434,93.5853622222,4572.69045188,229.74077,-8.84,-9.39304087193,13.8844635024,55.323,0.035525,0.0450691280654,0.00124724453248,0.33274,-14.6695,-15.3226144414,20.4204343459,52.209,107.59535,110.570909905,4363.8452045,231.51732,114.87962,114.775216941,4380.35463301,226.88628,1.773,2.9026239782,594.250321602,191.991,1.273,1.89126975477,596.651222118,155.849,1.6045,2.49052043597,656.55054586,258.722,0.359,1.62905177112,603.626747234,187.11,1.1575,2.01374114441,677.43714814,289.578,1.053,1.75895367847,701.860825175,287.291,1.288,2.05964577657,655.631445272,302.444,1.2195,2.28653814714,717.304149524,292.607,2.24,2.70200408719,681.247156557,224.522,1.3755,1.51989373297,675.1331504,207.323,0.1165,1.29525476839,673.735864768,213.063,0.3505,1.9461239782,689.878574387,277.645,4.0,10.0,1.0,227.341,233.06404,2.456,0.0,0.0,-7.656,133.264,0.682842046326
125.784865,125.814856194,5248.41835397,249.07383,126.94701,126.985819317,5366.92560678,253.30293,115.9628,121.523570625,5538.00961081,246.63181,-9.5915,-10.9443831071,28.7568929256,54.081,0.03601,0.0482255882353,0.00192191164562,0.50342,-16.6585,-17.8487956259,33.8753257418,52.358,123.182245,125.437283265,5375.08632848,254.12209,119.70792,119.604705111,5303.51980829,238.28247,4.9835,7.24528129713,1157.33214168,253.645,6.1535,8.24719758673,1273.983353,332.862,3.616,6.47263273002,1128.44933564,269.579,5.7465,8.01811312217,1140.82041177,252.922,3.414,6.42410784314,1170.22810622,263.738,5.5655,6.43897360483,1164.45140476,242.367,4.2295,6.95831749623,1135.07565322,276.136,4.1685,6.3921546003,1218.61826001,334.076,5.2045,6.83559728507,1103.84221832,225.917,3.9485,6.58682730015,1100.34740038,281.341,4.688,7.28793665158,1088.45378403,230.106,4.918,6.7331025641,1220.21783684,312.001,4.0,10.0,0.0,243.92,255.99955,0.327,0.0,0.0,-8.767,128.134,0.648785261692
144.05595,144.02727303,6950.11608587,288.07045,144.05595,144.02727303,6950.11608587,288.07045,145.22632,151.809068667,7289.81326579,281.69597,-6.9395,-7.84214933837,17.9451411081,56.898,0.04744,0.0504747542533,0.000629008586376,0.31257,-16.2345,-17.6137069943,40.7162864075,52.676,142.517775,144.161678081,6765.49056343,288.08694,141.432195,141.530819146,6870.0332854,282.81987,7.5825,9.92816729679,1080.60523905,292.369,5.7415,9.8032173913,1046.53407333,304.585,7.674,11.7364328922,1200.62610829,358.618,6.7425,10.1584319471,1120.31457632,337.555,7.783,10.752100189,1127.2006189,285.41,7.8515,11.215442344,1154.55530482,320.947,7.594,10.1569990548,1067.53152734,301.348,8.8905,11.0576181474,1096.32845927,304.487,7.0975,10.2543903592,1101.36474355,273.491,8.472,10.1357618147,1060.44038147,283.989,7.5135,10.7614650284,1162.96796086,279.985,7.16,10.5431266541,1171.08864218,439.955,1.0,11.0,1.0,279.272,290.42893,0.282,0.0,0.0,-6.561,102.928,0.597494162083
115.1811,115.176527395,4313.15097844,227.93097,115.1811,115.176527395,4313.15097844,227.93097,122.18325,113.510725556,5305.33351358,222.92578,-9.9305,-11.0881774942,29.8679288722,55.304,0.042625,0.0515264965197,0.00133356763807,0.33086,-18.931,-19.6712354988,38.1534017206,50.298,114.52061,115.523617425,4351.56575668,228.63837,110.93257,111.2561364,4253.33736839,219.99338,5.945,9.59729118329,1006.789826,231.752,7.3755,11.6500232019,968.719928255,228.168,6.0625,11.1215614849,991.078918193,303.989,6.7055,11.1385986079,974.776112475,278.486,7.7015,10.1676055684,1015.15958814,235.051,7.898,11.5806032483,960.272124847,235.82,7.6595,12.054687935,946.083993247,276.086,7.3575,11.6956740139,951.073326201,244.534,5.5625,9.85701392111,946.913118974,255.402,7.7235,12.2558538283,947.988468484,255.854,8.1865,12.5645684455,987.414076746,239.577,6.524,10.7035835267,1046.32663708,261.463,1.0,0.0,1.0,220.067,233.03791,0.438,0.0,0.0,-8.969,119.663,0.56345049456
80.59353,80.5357398701,2108.036393,157.24983,81.63786,81.5630573482,2176.82739166,161.43952,60.024625,69.85304625,2873.01647122,156.14212,-8.984,-10.4101554702,17.5367938434,55.221,0.0474,0.0545452399232,0.000992842487514,0.24005,-20.939,-22.540731286,48.530427041,51.117,83.67043,81.793594261,2136.51522855,161.75887,76.344425,76.4985569231,2154.90723389,151.45311,5.604,6.41649136276,1191.90025789,283.884,5.636,6.64493474088,1331.56437681,253.964,4.941,6.34924952015,1303.27107807,365.808,6.006,6.61173128599,1233.64673997,292.185,4.808,6.24149328215,1341.7612461,355.221,1.744,3.48436660269,1357.62005227,360.37,3.23,6.86682533589,1317.62809586,280.334,6.463,8.46343761996,1440.45975867,476.845,2.958,7.30040882917,1163.13576541,240.152,5.61,6.91094241843,1033.25975306,280.949,4.449,6.43252399232,1140.6434421,300.865,3.764,4.87911516315,1116.25708013,235.322,4.0,0.0,1.0,161.419,164.38812,0.299,0.0,0.0,-9.071,116.74,0.554452303954
374.5568,366.777428729,43523.2916834,731.21993,375.302,367.719942173,43716.8956415,733.82621,433.1601,388.207996296,58562.6625929,723.76758,-10.551,-11.278431652,11.7521462285,30.664,0.04073,0.0591356615497,0.0120127223017,3.21497,-15.7955,-16.4408205409,15.7550164981,41.615,339.106875,335.10725924,37090.3967044,733.99048,372.36846,364.185302268,43524.7965516,725.79466,3.256,4.81436111111,871.931721282,312.065,3.311,4.7356747076,884.130334388,326.67,3.719,5.49557565789,911.82776095,336.689,3.667,5.34281871345,901.463519711,349.142,3.524,4.89809502924,904.602261166,334.158,3.77,4.90186366959,913.163694545,338.099,3.616,5.05767909357,887.456536063,324.552,4.182,5.1835880848,899.488462,331.642,3.594,4.82358625731,903.188535301,308.973,3.281,4.91977412281,895.060564654,355.45,3.5555,4.95313230994,901.838620686,333.685,3.25,4.7202624269,880.298545257,337.943,4.0,1.0,0.0,729.17,734.22322,0.0,0.0,0.0,-9.637,185.089,0.505025446262
93.20116,93.215085461,2910.53236264,185.17972,94.3716,94.3722742782,2951.71031624,187.48384,53.706985,71.8423733333,4260.55481635,183.44641,-11.877,-14.3322420786,52.2364772354,54.319,0.04507,0.0513393789607,0.0010559460185,0.45187,-21.985,-23.8687110266,66.0999310673,51.008,98.67615,96.7871335234,2903.77092947,187.6722,93.033835,92.6277273404,2912.03974442,184.19537,3.816,5.2410608365,1034.19546674,277.648,5.128,5.32369708492,1140.78108891,324.435,5.241,5.41155259823,1073.99318489,291.927,3.601,4.42828770596,1073.85041954,300.912,3.746,4.85160329531,1118.05768642,274.826,5.62,6.09105323194,1088.40671033,295.842,7.065,6.22418377693,1106.03143876,286.909,4.61,3.9845095057,1186.85125139,283.887,5.42,6.64064385298,1167.73825967,285.415,3.597,4.08099746515,1124.51305984,332.74,5.419,4.90145627376,1039.62073501,296.264,5.876,6.00232826362,1041.6097899,301.316,4.0,5.0,0.0,179.281,189.80526,0.34,0.0,0.0,-10.672,181.574,0.481694146614
109.22624,109.089922981,3993.48695026,216.60209,110.022665,109.878154378,4031.8923772,219.22751,50.06682,74.2214457143,4706.23874959,201.57058,-10.9055,-12.2135280612,29.2691871905,55.609,0.048945,0.0628289540816,0.00233089354967,0.39049,-18.0015,-19.559630102,48.2043185724,51.972,114.822515,115.017606199,3633.22454712,219.30385,106.307,105.788204783,3952.46771035,210.87387,7.537,11.7591122449,835.438816518,221.961,7.6955,11.3776721939,970.852967452,338.791,8.2005,13.2389005102,981.078861781,262.479,6.178,10.7777844388,1065.61793565,529.667,6.7255,11.2288915816,920.94915089,304.625,8.354,12.9428265306,898.783513197,293.864,7.832,11.572817602,925.342318455,289.501,7.352,11.6370918367,940.345316275,296.348,9.0735,13.065934949,960.677108918,296.978,7.231,11.4446619898,864.999392999,266.997,7.14,12.0803010204,1019.87164751,313.974,7.727,12.2556683673,907.928217724,373.941,4.0,7.0,1.0,218.54,222.24934,0.316,0.0,0.0,-9.74,114.056,0.474882705988
116.5104,116.18714125,4476.89471061,228.97273,117.71843,117.388902802,4593.42277868,233.58775,140.149085,119.6297875,5450.24520382,228.78394,-13.271,-14.0179903568,13.7158676219,53.381,0.04756,0.0563602121504,0.00132713941153,0.35741,-22.114,-22.5983934426,26.9945347902,48.079,119.79946,119.505102758,4408.10882766,233.72358,110.760085,110.294135938,4460.40842848,219.71775,0.765,5.28972516876,1077.75882934,277.467,2.402,5.89784570878,973.495611789,260.657,1.845,5.38733847637,1052.68556119,294.052,3.856,6.1765024108,956.251758773,264.072,1.428,4.41869334619,1023.06222947,384.124,1.971,4.72627386692,991.156486666,276.779,2.096,5.03179459981,935.407290863,260.655,0.385,3.29086403086,1020.03232168,260.77,2.296,4.88101639344,955.662929314,236.792,2.053,3.6874927676,986.94933215,306.559,1.77,4.2523635487,988.313402879,255.146,1.385,5.04694889103,944.346303013,286.109,4.0,10.0,0.0,233.79,239.96036,0.316,0.0,0.0,-12.06,99.494,0.474882705988
115.6108,115.54834812,4496.1362769,230.17436,116.607065,116.539599261,4521.80577564,232.1656,112.30142,109.540161818,5527.16030483,225.90394,-5.903,-8.21720489978,38.3677033277,43.019,0.024205,0.0450189755011,0.00575077811655,0.90212,-11.6205,-14.3358296214,51.4745789721,53.448,112.68762,113.660753218,5063.28610877,232.94454,112.7458,112.56584125,4513.5601755,224.21716,1.59,3.28422939866,835.334119553,268.664,3.491,3.80419265033,794.469405819,244.323,1.742,3.19596213808,771.615961279,227.674,2.5575,4.47725612472,800.262521057,230.469,2.7785,4.43581959911,826.951560827,347.297,3.228,4.01768596882,798.960719734,261.397,2.758,4.64369265033,821.373416046,273.919,3.2355,3.56315478842,767.609443198,180.464,2.7805,4.49182739421,954.711102677,458.531,2.408,4.32814365256,785.016205127,238.924,1.8915,3.30047104677,835.690824681,221.638,2.524,3.96923273942,776.342106626,224.645,3.0,0.0,1.0,213.716,233.27302,0.0,0.0,0.0,-5.665,90.655,0.439525605299
