barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
92.92586,92.9075001124,2871.08061685,183.58532,93.44443,93.429413454,2920.07899392,186.69766,90.321135,88.2122,3107.29370807,180.54629,-7.998,-8.89964951321,28.288144745,57.463,0.03375,0.0451151738526,0.00135266686475,0.2853,-15.158,-16.9785688456,40.8644329546,52.164,85.08073,89.1304349374,2765.76247109,186.76621,93.44443,93.4294127057,2911.96868613,186.69766,48.682,47.0654464534,30.5422600496,54.511,8.378,-9.77416828929,3288.13744849,344.305,-13.149,-9.0861821975,944.775807036,266.778,0.613,3.69625730181,1371.82937551,261.428,-33.932,-37.0954102921,1155.06978166,206.905,-10.659,-6.28626286509,837.844512363,215.378,6.808,6.18141585535,408.964960159,131.882,-9.955,-9.05153824757,449.279011342,194.373,-11.962,-12.4965368567,365.997148852,126.788,-9.485,-9.78469958275,314.088917531,129.42,-0.774,-1.54478859527,251.25646988,119.488,-11.42,-11.0822308762,217.504065043,100.732,0.226,0.314283727399,0.0718067122665,0.991,0.322,0.396018080668,0.0949792834005,0.992,0.209,0.290752433936,0.0643277801575,0.996,0.109,0.146150208623,0.0151798689534,0.998,0.101,0.174641168289,0.0337805499602,0.996,0.11,0.175161335188,0.0321388946942,0.995,0.291,0.396248956885,0.108686821192,0.987,0.226,0.441105702364,0.160531852527,0.995,0.155,0.237222531293,0.0491738920654,0.998,0.099,0.191994436718,0.0476582141554,0.997,0.101,0.206798331015,0.0661988258108,0.995,0.272,0.469692628651,0.156908351976,0.993,4.0,11.0,0.0,177.685,190.9024,0.073,0.0,0.0,-6.094,115.092,0.781388209139
101.05385,100.876285882,3425.2347282,201.09906,102.308665,102.120764122,3459.42480268,203.5634,78.43203,85.0584325,4363.75531679,201.45635,-5.185,-7.32036901763,38.2308686006,58.213,0.038635,0.0484583879093,0.00170097308279,0.28176,-11.2315,-13.6112531486,50.4810047785,55.892,100.362995,98.1016657053,3388.16840605,203.89546,102.18381,101.996325341,3459.43423839,203.81274,51.6685,49.5007846348,38.7273847609,55.349,14.636,2.35694206549,3341.99587285,381.011,21.2955,23.8859395466,2066.23350835,370.715,3.2505,3.4116675063,714.872804237,241.497,-19.09,-22.7549030227,1168.00508553,212.371,-16.514,-12.8222027708,707.943734023,185.677,13.625,13.4831498741,502.430729137,135.614,-1.3565,-0.54812720403,397.362741431,196.087,-10.2115,-12.680279597,357.938236894,131.429,-3.597,-4.63665617128,196.783130598,131.73,-2.556,-2.5924836272,221.871032958,127.839,-7.511,-7.43393450882,308.418707107,112.712,0.4665,0.521335012594,0.109520872653,0.998,0.422,0.444620906801,0.0804757240465,0.998,0.2375,0.308798488665,0.0639277881085,0.999,0.188,0.238735516373,0.0348591920131,0.974,0.3375,0.434516372796,0.101006667868,0.985,0.1765,0.244593198992,0.0371048659991,0.995,0.211,0.306746851385,0.0645950983843,0.998,0.244,0.335664987406,0.0755263965827,0.998,0.2285,0.332219143577,0.0849651811952,0.986,0.368,0.460569269521,0.122210048728,0.993,0.228,0.299508816121,0.0666736554638,0.983,0.52,0.569560453401,0.120087646849,0.994,4.0,11.0,0.0,197.12,208.3522,0.078,0.0,0.0,-4.684,120.153,0.781264071412
134.51932,134.647157487,6042.10744221,268.53637,134.51932,134.647157487,6042.10744221,268.53637,51.92071,79.197765,6267.75913995,254.5118,-7.802,-9.59086202965,40.8164002352,41.306,0.04338,0.0622163055872,0.00462662096811,1.03134,-12.461,-14.8286031927,59.2562936692,54.458,133.08776,136.401952303,5323.21149641,269.36009,134.749445,134.877271615,6042.15626736,268.99624,49.905,47.8170935006,44.990437786,42.164,0.07,-2.51225541619,1171.38117051,265.829,15.621,18.804386545,1569.79877105,242.441,-3.582,-6.6708004561,787.497237191,320.118,-4.781,-2.12800342075,1086.50848895,204.726,-26.292,-22.3771949829,628.603297457,223.661,12.339,9.51642873432,585.653521271,139.904,-2.574,-1.43444925884,289.977596177,198.765,4.305,5.12239110604,358.732741844,128.587,-0.328,-0.0769578107184,258.80140046,171.907,-2.239,-2.54692930445,150.481457466,126.107,-3.504,-3.31552451539,194.108729383,85.387,0.39,0.463523375143,0.0970071114832,0.978,0.343,0.467087799316,0.130155658198,0.994,0.224,0.277896237172,0.0443743575343,0.992,0.304,0.416334093501,0.101977647789,0.981,0.285,0.325034207526,0.0461927149074,0.982,0.461,0.526059293044,0.0959535335425,0.977,0.242,0.299007981756,0.0536110478268,0.983,0.28,0.346131128848,0.0638982895327,0.982,0.413,0.496396807298,0.121159876751,0.992,0.235,0.304328392246,0.05280580778,0.986,0.354,0.425530216648,0.0959664087221,0.988,0.179,0.254947548461,0.0482433587084,0.99,1.0,5.0,0.0,266.884,278.43873,3.117,0.0,0.0,-6.589,86.692,0.771696999213
153.36931,153.957756538,7991.34916431,308.99572,156.35492,156.849123226,8183.03895353,311.37656,144.40545,146.263545556,13623.2096708,305.04055,-10.143,-12.1216813294,88.5949836384,48.64,0.03798,0.0510584848485,0.00224002419624,0.48585,-16.382,-19.9545493646,105.993312048,50.054,156.82816,158.89186999,6646.15369527,312.24132,156.35492,156.848438578,8198.35604888,311.90244,46.722,43.7799677419,89.3184827037,45.853,7.831,11.8583734115,3548.22636475,604.189,30.452,33.8913088954,2985.32460183,343.76,15.752,17.7324584555,1417.7921686,365.144,-24.116,-9.37638220919,3326.05644662,395.076,-17.442,-10.9155591398,982.52544051,267.913,32.743,22.0873489736,1892.13911192,281.02,-1.024,-0.295417399804,404.866393131,195.371,1.782,1.18972140762,349.358591298,148.861,-3.474,-2.86524437928,252.707081669,116.801,1.183,0.837996089932,366.866220925,161.212,0.829,-0.218678396872,370.170649874,129.043,0.568,0.586869990225,0.120510392677,0.982,1.0,0.796624633431,0.082527520879,0.983,0.24,0.304362658847,0.0599063445294,0.981,0.105,0.176003910068,0.0376392922623,0.996,0.094,0.185771260997,0.0516748137586,0.997,0.1,0.172931573803,0.0438225583677,0.998,0.069,0.128068426197,0.027508057879,0.999,0.064,0.108513196481,0.0180791628268,0.997,0.14,0.250237536657,0.0592908047689,0.997,0.085,0.165239491691,0.0345834353124,0.994,0.076,0.16339198436,0.0467180799749,0.998,0.201,0.273730205279,0.0659245059009,0.997,4.0,1.0,1.0,274.785,312.42404,0.0,0.0,0.0,-6.164,100.042,0.756975377613
151.516895,151.546383482,7680.62562574,301.211,153.95756,153.987694885,7818.57226229,306.08753,93.93889,107.220736667,10931.8233464,296.03455,-12.23,-14.4478207452,73.4021287675,49.01,0.03082,0.055878489426,0.0157849097804,1.81523,-23.59,-24.8343131923,48.2162405837,46.191,177.25388,172.063731319,6413.09314783,306.80082,153.95756,153.987890833,7800.09900217,306.08753,42.245,40.2124058409,55.0512317074,47.218,-13.589,-18.5594511581,3276.71338304,391.392,-77.666,-76.4720181269,2515.64364893,278.161,13.358,11.4481480363,2163.52431774,258.494,-13.143,-9.41445216516,1387.46120299,232.083,-18.689,-10.2614118832,1384.57667044,203.313,-2.464,-1.47795568983,1056.8966398,178.474,-10.683,-9.80850050352,487.879491293,115.157,0.043,-1.76736958711,380.218235486,142.482,-1.751,-3.36882074522,344.840818244,114.92,0.459,-1.07980060423,266.696222806,114.556,14.827,14.0611057402,440.733417085,132.411,0.233,0.35166163142,0.0949393074604,0.998,0.328,0.494124874119,0.164046179774,0.997,0.082,0.172070493454,0.0454277452824,0.998,0.117,0.189563947633,0.0456139840779,0.999,0.169,0.303790533736,0.106392542227,0.998,0.081,0.134596173212,0.0250678983539,0.996,0.132,0.2212306143,0.0527876698785,0.997,0.115,0.180658610272,0.036359679022,0.998,0.209,0.374418932528,0.136244311907,0.997,0.138,0.207761329305,0.0478088161481,0.999,0.114,0.217347432024,0.0660075338731,0.997,0.196,0.384080563948,0.137998934094,0.999,5.0,6.0,0.0,295.642,307.61751,2.914,0.0,0.0,-10.526,110.68,0.715473629701
100.77603,100.775667303,3382.88358145,199.23006,101.90704,101.907692674,3440.54409906,202.63166,56.0654,64.434178,3060.82422704,165.86369,-9.019,-11.7278830228,44.2794641571,36.965,0.03557,0.0385694099379,0.000286763808037,0.1484,-24.985,-25.5538571429,30.7230609092,45.657,113.90279,111.793960041,3000.88098208,203.48549,101.76628,101.766161705,3445.36328351,203.19751,43.2195,41.8179606625,31.3010201082,34.805,40.399,33.6491594203,3771.32176539,333.786,-104.3545,-108.091355072,3043.06163293,318.966,-6.089,2.53403726708,2044.89841072,244.819,7.9575,14.161189441,877.485543984,174.222,16.8665,19.4462277433,1340.29889624,278.844,-22.37,-20.4691863354,1417.94794077,255.646,-20.388,-18.4208115942,683.367959025,142.092,15.929,20.0108012422,366.787322575,119.891,-9.28,-11.2117060041,611.996731098,171.388,-1.7585,-4.03099171843,361.795054445,119.426,6.9955,5.20747308489,417.430541576,144.669,0.359,0.436098343685,0.0599043536826,0.949,0.3135,0.395285714286,0.0740958748891,0.98,0.291,0.35082505176,0.0535607199107,0.981,0.236,0.333642857143,0.0614037803165,0.984,0.496,0.544370600414,0.106724949612,0.98,0.29,0.30751863354,0.0355858024478,0.934,0.349,0.43916252588,0.0795910222396,0.974,0.282,0.405869565217,0.111229057521,0.98,0.168,0.356618012422,0.102492372719,0.982,0.232,0.371230848861,0.113095328696,0.981,0.208,0.271775362319,0.046600807716,0.911,0.871,0.592822981366,0.170602102205,0.977,4.0,11.0,0.0,200.911,203.67628,4.737,0.0,0.0,-7.607,105.997,0.676914029308
138.4274,138.385117735,6380.45744724,276.30691,138.4274,138.385117735,6380.45744724,276.30691,169.22044,154.704333333,7690.91150522,271.01683,-11.5245,-12.9929224739,36.0700343625,36.801,0.03983,0.0517642247387,0.00280183729321,1.12386,-22.1325,-23.205466899,37.6617862454,50.717,128.583015,132.528355531,6159.97002295,276.51338,138.353085,138.310504817,6380.44301795,276.45483,43.935,42.379554007,28.8554950398,38.794,-17.627,-19.9690601045,5928.38489477,531.992,8.79,19.8243188153,3874.09755282,387.153,21.654,22.3899233449,2189.14864137,541.946,-4.8525,-0.310083623693,1674.66713231,335.889,-2.4155,2.52591114983,1299.84879839,340.503,11.7865,7.69785278746,1508.38774058,280.03,-5.085,-6.24741376307,776.267949946,259.444,21.858,22.1365984321,636.504108462,195.753,2.2865,1.40295209059,453.023610763,171.292,-4.0345,-3.33879442509,424.459663919,172.262,-8.8185,-8.97176829268,324.039485152,122.663,0.6695,0.6193771777,0.13460692481,0.99,0.2075,0.284220383275,0.0633022989922,0.995,0.132,0.200073170732,0.0427848239143,0.994,0.158,0.264734320557,0.0732788536305,0.996,0.1205,0.198067073171,0.0417737698914,0.995,0.18,0.276870209059,0.0612032784505,0.994,0.124,0.240898954704,0.0697008852602,0.995,0.1815,0.298412020906,0.0888175976604,0.998,0.4595,0.49925087108,0.132891362151,0.995,0.262,0.356212543554,0.0910912597033,0.992,0.356,0.460394599303,0.109605223211,0.992,0.249,0.286770034843,0.0512041544331,0.997,1.0,8.0,1.0,268.614,278.17751,0.0,0.0,0.0,-9.48,201.485,0.633485006257
94.45652,94.4057707563,2990.62426842,188.03352,95.46016,95.4018134792,3041.53552023,190.81125,78.46631,82.5901277778,3728.2435959,184.06866,-11.471,-12.556620438,37.3094560808,54.995,0.0387,0.0553812992701,0.00234146488138,0.44812,-18.899,-20.7497007299,52.3740784842,51.856,96.52816,95.8747834015,3009.00251077,191.23079,95.46016,95.4018134792,3041.53552023,190.81125,45.127,43.6868437956,37.2126874515,52.609,-14.722,-14.7101021898,1616.48492028,317.386,20.355,24.0606875912,2222.39293813,290.559,5.383,4.93247007299,1421.7785379,255.294,4.22,4.26396058394,912.171238026,206.901,-11.728,-5.59065985401,1092.5136023,301.527,-2.504,-2.2861810219,496.407694942,161.69,-12.368,-12.095459854,529.913453848,190.102,12.209,13.0256233577,329.097618734,127.656,3.906,3.37257956204,401.752813242,171.191,-0.014,-0.276718248175,349.876876953,190.399,4.584,5.06079270073,254.780480094,107.488,0.31,0.363267153285,0.0698927359284,0.994,0.551,0.555772262774,0.114257638647,0.995,0.326,0.420289051095,0.105312990902,0.991,0.294,0.347816058394,0.0547938464575,0.993,0.454,0.542604379562,0.123207704798,0.995,0.383,0.430764963504,0.0719519111812,0.996,0.409,0.484767883212,0.115091804516,0.995,0.253,0.327306569343,0.0646428023656,0.996,0.246,0.308913868613,0.0572987969609,0.994,0.328,0.374097810219,0.0724755364186,0.997,0.233,0.295321167883,0.054966168384,0.996,0.28,0.341010218978,0.0624693269029,0.995,4.0,9.0,1.0,178.085,194.42893,0.813,0.0,0.0,-9.092,150.059,0.538540415919
160.28392,159.312816648,8211.66661795,315.95562,160.952865,160.037451239,8368.06116012,320.36043,168.53864,163.329282222,8433.42810345,312.46043,-33.262,-33.358063786,28.3793009075,39.842,0.066025,0.144110349794,0.0761859031898,2.76874,-37.532,-37.7934773663,31.3018369573,37.128,163.97161,160.605555309,8001.70709872,320.6829,160.952865,160.037451239,8368.06116012,320.36043,24.643,24.3715411523,27.4600003224,36.861,-147.387,-138.879343621,3131.08724033,396.15,36.8225,28.1956028807,2162.94081655,242.072,-14.2735,-12.5890884774,1047.33793195,325.974,37.452,37.5758662551,2152.85612874,216.417,-27.186,-24.3366316872,415.73810934,237.6,-10.8915,-9.67816872428,639.53144714,139.569,9.0965,11.5740411523,326.386151311,202.64,-28.692,-28.5260987654,559.159885583,126.055,-1.3795,-0.43766255144,161.04472047,146.802,2.401,1.62985390947,111.389310211,90.379,-6.36,-5.7261255144,299.266207295,131.578,0.145,0.288364197531,0.092333692463,0.994,0.1045,0.303697530864,0.124220803574,0.995,0.0835,0.12812962963,0.0173628124143,0.996,0.3035,0.422353909465,0.122599129892,0.995,0.075,0.166086419753,0.0631527373876,0.994,0.07,0.186137860082,0.0700928019823,0.994,0.054,0.107497942387,0.0257444763332,0.996,0.135,0.268514403292,0.090367348558,0.993,0.189,0.395969135802,0.150573531969,0.994,0.0495,0.100053497942,0.0271959189487,0.994,0.15,0.294080246914,0.0983646211324,0.995,0.076,0.162565843621,0.0539379781749,0.994,5.0,8.0,1.0,305.743,324.46649,2.13,0.0,0.0,-29.657,164.933,0.523175054705
113.71299,110.416951842,4217.31380495,210.91398,111.49828,111.545977804,4160.32646261,222.51086,101.26643,102.422923333,5416.52568495,212.86228,-22.7795,-23.5284412568,28.1826754023,47.154,0.03627,0.0475494672131,0.0011888850739,0.32673,-31.738,-32.0339303279,31.1304699938,41.531,114.72118,114.082439932,3506.07923368,222.759,111.49828,111.545986592,4138.69964258,222.51086,33.3255,32.7394153005,23.0188269669,43.133,-118.0395,-104.345251366,8166.68371771,451.672,-31.3345,-22.2529863388,5435.09174477,396.203,-13.088,-7.31307377049,2405.11577923,361.72,20.677,20.2974590164,1502.67523697,299.612,-13.6605,-6.59176775956,1349.74960028,302.251,-28.54,-31.2831420765,1710.45242511,246.459,4.265,1.38548770492,682.000201488,172.412,11.9855,17.5127595628,2496.58729946,256.015,0.771,3.35943852459,474.48867306,162.347,5.3635,4.41597131148,337.401868197,134.334,20.452,22.4293142077,989.86623865,202.366,0.148,0.287822404372,0.093492766274,0.995,0.139,0.267117486339,0.0905599151587,0.997,0.1125,0.256633879781,0.0979725899997,0.996,0.1285,0.274926229508,0.101432502755,0.997,0.086,0.183780054645,0.0661459529902,0.996,0.128,0.233691256831,0.0788296806339,0.997,0.107,0.204658469945,0.0670588860895,0.998,0.1105,0.236148907104,0.0843095802857,0.997,0.119,0.272949453552,0.10008566821,0.997,0.125,0.236543715847,0.0809503792365,0.994,0.182,0.340534153005,0.122446748834,0.998,0.1175,0.246107923497,0.0865420744181,0.998,5.0,5.0,0.0,220.532,228.20526,2.577,0.0,0.0,-19.887,68.357,0.478054966561
