barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
161.65429,161.338422513,8685.00944969,321.61294,162.89575,162.581602082,8752.29985269,324.12015,140.039485,144.931145,9280.61749574,319.55422,-11.6845,-13.3988670588,44.3629066941,33.861,0.056635,0.0735182117647,0.00363594659468,0.44736,-17.555,-19.3747552941,65.3612145825,55.165,151.885805,158.462372624,7941.56896061,324.61279,162.790625,162.477938193,8752.30994628,324.33036,45.395,43.6206576471,51.3457755593,43.526,-42.6335,-50.7980647059,4084.02383931,374.638,0.242,-3.15236941176,1589.07156157,268.51,-14.8165,-16.7752870588,968.427894447,337.143,-9.4105,-8.03089529412,662.881189108,175.724,-16.8545,-11.3876847059,552.857583011,169.211,-3.9515,-4.48160352941,459.152407691,166.079,-8.539,-10.4365211765,555.789000261,287.779,-8.933,-8.20380235294,372.865184182,142.852,-11.351,-14.1390223529,323.83741625,154.375,-0.407,-1.31025411765,204.974333081,128.999,-0.3705,-1.08445882353,258.520076519,114.475,0.162,0.251384705882,0.0640558414131,0.995,0.3955,0.488012941176,0.131571930421,0.995,0.1385,0.320871764706,0.12963371885,0.999,0.15,0.247031764706,0.0573246166381,0.999,0.1915,0.317962352941,0.0994173421121,0.997,0.131,0.238872941176,0.0678155485619,0.998,0.1845,0.306303529412,0.0962578749287,0.996,0.122,0.220531764706,0.0543141172263,0.999,0.4005,0.497324705882,0.122390918096,0.984,0.2525,0.385845882353,0.113808775071,0.995,0.119,0.172930588235,0.0331765540055,0.999,0.1245,0.209310588235,0.0568187505938,0.998,4.0,9.0,1.0,318.438,331.91138,0.0,0.0,0.0,-8.791,144.366,0.875445991732
103.556775,104.525871471,3847.32075637,207.22194,106.45998,106.82866884,3840.47613274,213.70238,88.992035,91.37075375,5080.67889271,206.5855,-16.784,-17.3765934256,21.0901428364,50.65,0.067725,0.0948784948097,0.0061585572678,0.63061,-20.8925,-22.0088806228,32.0677523612,47.675,110.477825,106.935055017,3724.52709537,214.16127,106.45998,106.828658,3827.46330648,213.70238,40.855,40.0188961938,24.8140891865,48.286,-101.584,-100.16633737,1599.93724133,372.251,2.7965,-2.79640484429,1044.88271495,184.634,-22.857,-21.4841626298,954.770918337,412.638,-0.416,-1.18989619377,575.397194885,145.225,-27.343,-23.7255986159,353.058406254,206.185,5.857,3.37947231834,328.631584564,142.767,1.669,0.756769896194,263.602784046,182.734,11.787,12.6053477509,495.576275597,137.706,2.2565,1.18498961938,190.413045391,135.319,-0.6555,-1.31861418685,126.824993476,106.563,12.105,11.938783737,423.270189135,111.913,0.129,0.280666089965,0.108566371203,0.996,0.086,0.213425605536,0.0711719261264,0.993,0.143,0.229162629758,0.0499572019253,0.982,0.859,0.669019031142,0.132236648427,0.981,0.1495,0.196785467128,0.0272193069168,0.987,0.0815,0.184233564014,0.0478167430257,0.995,0.0555,0.142531141869,0.0542650483381,0.997,0.167,0.236283737024,0.0501250579016,0.991,0.0795,0.27815916955,0.136226715149,0.997,0.0695,0.123711072664,0.0249949424726,0.993,0.215,0.318628027682,0.089287818384,0.984,0.065,0.112970588235,0.0217932430796,0.994,4.0,3.0,1.0,210.646,218.53995,1.64,0.0,0.0,-14.368,82.513,0.859121925433
130.75483,130.72955712,5671.06868568,258.59712,131.27145,131.250643082,5739.45098164,261.70694,68.375895,84.72642375,6123.83460002,254.43848,-22.89,-23.6912431466,30.5498134498,45.796,0.04937,0.0618040643623,0.00261667882031,0.70057,-29.379,-30.5652038141,24.2472463911,38.62,129.12912,128.997250834,5421.31636732,262.4346,131.400605,131.381075696,5739.4486477,261.96696,34.248,32.8373087008,23.9672647712,40.134,-50.773,-46.5778700834,1565.09623585,343.887,-26.112,-26.5024183552,1352.41084668,313.332,-14.848,-17.0521656734,939.695629661,345.897,9.012,12.2069046484,847.159879362,154.199,-14.235,-10.9953051251,677.971885063,240.195,-7.714,-7.56914898689,310.964749998,123.513,-9.839,-10.4660500596,371.099137347,156.885,8.38,8.49980095352,210.856742474,105.413,5.633,4.12364600715,291.552409707,125.454,-1.528,-1.94818355185,153.095515439,83.454,5.575,3.94730750894,257.570810349,104.661,0.314,0.468828367104,0.151696859696,0.998,0.215,0.259514898689,0.0434316419115,0.999,0.187,0.314125148987,0.0888302286762,0.999,0.134,0.175199046484,0.021249034278,0.797,0.127,0.18573659118,0.032506303679,0.997,0.19,0.345069129917,0.119929079846,0.998,0.227,0.262504171633,0.0352288554653,0.999,0.635,0.594296781883,0.152170609179,0.999,0.202,0.265974970203,0.0448643438312,0.998,0.099,0.171077473182,0.0379670988847,0.998,0.085,0.146497020262,0.0362999830066,0.999,0.197,0.250376638856,0.0394630905627,1.0,4.0,0.0,1.0,251.112,264.75057,0.253,0.0,0.0,-20.112,115.003,0.85727792262
105.26896,105.711358367,3520.34522025,205.83536,105.26896,105.711358367,3520.34522025,205.83536,88.07855,95.569212,5069.46719603,202.62442,-22.662,-22.6224567219,22.1608598688,36.095,0.08095,0.119710405157,0.0302807715332,3.07269,-26.395,-26.6217661142,25.9651692326,45.112,107.07088,106.018549006,3468.18887699,209.99891,105.26896,105.712789901,3534.70017969,206.67362,35.382,35.1807127072,21.6501360611,43.9,-139.711,-124.381639042,3967.9502058,386.134,26.622,29.1418821363,1913.8918982,241.356,-19.645,-18.4477661142,1167.64289308,264.639,32.545,27.7818471455,1722.14039354,223.926,-28.085,-23.9259171271,332.821139442,100.685,-9.324,-10.3644604052,1331.91094019,192.866,1.594,0.045123388582,274.545490871,169.228,5.114,8.11045672192,527.89497402,176.15,-2.912,-3.53424493554,134.644853496,92.843,5.095,3.80361141805,153.455152558,74.345,21.021,20.9274217311,579.171389533,122.823,0.089,0.197657458564,0.0617843467538,0.996,0.292,0.400896869245,0.115445742587,0.998,0.101,0.239804788214,0.0855907095903,0.998,0.057,0.103537753223,0.0158984253703,0.817,0.334,0.466593001842,0.15327267229,0.995,0.069,0.103438305709,0.012965240669,0.933,0.121,0.255009208103,0.0955190551638,0.998,0.035,0.0673057090239,0.00837268738914,0.761,0.078,0.154953959484,0.0499747879355,0.997,0.277,0.434756906077,0.12775935527,0.997,0.068,0.139565377532,0.0399374501457,0.997,0.161,0.298624309392,0.109362624971,0.997,1.0,9.0,1.0,203.389,212.32281,4.342,0.0,0.0,-18.684,72.049,0.850517372602
96.23918,97.0864713514,3073.2973278,184.62527,97.465765,97.5521504701,3150.35377397,194.92225,97.05483,103.004759091,3832.51356786,189.47651,-22.26,-22.3976101695,32.5596994356,51.297,0.0676,0.0962833145009,0.00898985657621,0.76012,-27.741,-27.8231996234,46.6500998246,48.74,91.56621,93.5746486817,3007.03009093,196.26363,97.26289,97.4386502766,3163.59532775,195.74548,34.733,34.7849284369,35.1961677425,48.753,-82.401,-78.4130489642,2996.17263918,392.466,51.071,48.2587175141,2429.22844792,274.797,-5.171,-1.66333333333,1864.12698547,429.816,35.958,38.2544237288,1169.4329469,188.449,-19.066,-16.7837740113,516.311494329,266.874,-11.224,-9.48358003766,1647.93617951,247.805,4.752,5.07060828625,835.73526695,216.544,-0.654,-1.70778531073,617.672108862,161.381,-3.468,-4.18988700565,374.52750381,188.083,2.856,1.52374199623,277.462110033,110.374,7.386,9.47015819209,527.655627692,140.123,0.182,0.327425612053,0.114049728459,0.993,0.124,0.235267419962,0.0746366704828,0.995,0.211,0.379169491525,0.128957843212,0.991,0.07,0.113259887006,0.0198703392384,0.996,0.126,0.272619585687,0.10040055585,0.996,0.119,0.221491525424,0.0713474100035,0.997,0.129,0.273734463277,0.0974108466277,0.997,0.261,0.397907721281,0.123315138377,0.995,0.111,0.177962335217,0.0397929966981,0.994,0.197,0.324220338983,0.102451493824,0.995,0.073,0.129348399247,0.025387485021,0.996,0.125,0.23027306968,0.0749369367324,0.995,5.0,7.0,1.0,189.312,201.19465,0.357,0.0,0.0,-17.868,71.856,0.846014985113
137.65454,137.638961419,6328.00336701,273.87729,138.98642,138.973097488,6430.92908799,277.42875,147.183565,132.005818,6907.00377616,267.86642,-6.6575,-8.40640525328,43.3999261097,58.849,0.028935,0.0412114634146,0.00129707641418,0.31646,-14.5255,-16.3922485929,55.5233905264,54.881,137.07331,137.053584053,5830.4005983,277.90522,138.98642,138.973128961,6441.25127887,277.875,48.9575,47.7922664165,41.1125817808,56.285,52.829,50.7181172608,1799.91241504,373.678,-2.2205,0.7969315197,1385.165439,233.89,2.9335,4.17512570356,1019.1126651,216.978,-30.345,-31.6935103189,740.518018513,211.405,-15.204,-13.0746425891,630.434452226,228.881,-5.328,-6.9915065666,559.258425693,155.068,-0.675,-0.348612570356,323.705031305,165.136,10.6225,11.6916547842,264.682016342,125.199,6.9615,7.98130393996,269.695142579,117.438,-0.301,1.85652908068,261.302759326,135.927,6.4815,6.67986210131,290.754121541,112.853,0.178,0.336874296435,0.116446019846,0.997,0.233,0.316880863039,0.0909649116976,0.997,0.2105,0.375252345216,0.124052691481,0.995,0.149,0.23550750469,0.0475020679549,0.997,0.201,0.288984990619,0.0740137690055,0.992,0.1645,0.326334896811,0.114114052009,0.997,0.2655,0.316165103189,0.0616760946922,0.996,0.257,0.438577861163,0.151707577896,0.997,0.2085,0.251667917448,0.0417494150495,0.997,0.1605,0.327999061914,0.117363550656,0.995,0.098,0.171541275797,0.0317451507353,0.997,0.169,0.254179174484,0.0604066667708,0.995,4.0,0.0,1.0,264.812,280.73751,0.287,0.0,0.0,-5.348,135.078,0.834321783779
68.41876,68.0464813333,1523.79196766,133.48254,68.63378,68.7755989935,1562.97209325,137.0196,55.36406,55.7320385714,1926.45116703,124.2591,-28.373,-28.4829579439,21.5363897225,27.437,0.041945,0.0557969158879,0.00610626921479,0.85314,-33.004,-33.6317102804,18.0657328413,33.6,62.46501,65.8249361215,1585.22910473,137.48816,68.63378,68.7755989935,1562.97209325,137.0196,29.3585,28.9126168224,17.0373334793,24.674,-172.953,-170.611570093,445.311111955,181.503,13.512,8.62637383178,655.946796,159.653,-10.359,-5.18322897196,751.75736812,225.11,7.628,11.1509953271,622.996564836,134.669,-27.9375,-23.3961588785,379.083819199,94.015,-4.3045,-4.07907943925,201.117689484,87.839,14.8415,14.8117149533,192.841569895,153.817,-4.0565,-2.01743457944,446.156763844,100.886,2.48,3.88258411215,119.323769168,115.377,4.298,2.81078504673,77.3172115987,70.356,-6.3955,-7.89153738318,242.772598277,72.905,0.3605,0.420481308411,0.120646670211,0.982,0.0445,0.0994439252336,0.0287792655472,0.989,0.05,0.163700934579,0.0733555086907,0.992,0.034,0.189668224299,0.110545492729,0.996,0.129,0.175191588785,0.0250257156302,0.981,0.332,0.45708411215,0.157886432177,0.998,0.0415,0.0666588785047,0.0074854303651,0.706,0.1395,0.241219626168,0.0746570498952,0.996,0.05,0.0733598130841,0.00731092193641,0.995,0.3035,0.466088785047,0.155447193052,0.997,0.052,0.183102803738,0.0839079894314,0.996,0.0485,0.0572196261682,0.00143333961481,0.319,4.0,10.0,1.0,135.297,143.28118,0.0,0.0,0.0,-24.908,135.954,0.828203987008
109.178955,109.197191707,3948.854688,215.20099,110.838395,110.865525808,4097.20357652,221.53777,103.8702,101.053148462,4899.18579856,214.74599,-12.466,-13.6683295638,23.2550435392,51.895,0.0448,0.0639901938611,0.00429767772823,0.59133,-16.926,-18.4623004847,31.3119201843,49.997,103.48218,105.725542488,3733.23443786,222.31678,111.00449,111.031859626,4097.32123669,221.8548,45.38,43.9129709208,24.3977418893,49.56,52.975,48.3413877221,1643.17579686,309.868,23.583,22.2867108239,848.152008312,237.442,-10.656,-10.0731292407,535.605426555,403.964,-29.686,-28.906365105,657.130246552,167.131,-18.713,-16.5676720517,367.278993487,183.576,2.64,2.98026817447,429.366651094,121.214,-1.214,-0.540911147011,286.908991079,161.473,10.07,11.0478885299,342.943961156,132.274,5.392,4.72324717286,207.637005947,137.915,-2.052,-2.90028432956,150.201216859,159.306,5.769,5.50999192246,328.908344761,121.183,0.205,0.274019386107,0.0561818380733,0.999,0.259,0.460192245557,0.148510620554,0.995,0.224,0.294702746365,0.0591174237566,0.997,0.229,0.286523424879,0.0523375095482,0.998,0.294,0.368534733441,0.0849681518631,0.995,0.203,0.247778675283,0.034275613374,0.998,0.202,0.278841680129,0.0560573933516,0.998,0.157,0.216273021002,0.0312255296599,0.997,0.324,0.423206785137,0.0865358215372,0.994,0.173,0.36897092084,0.137267734211,0.998,0.147,0.21663812601,0.0423807931183,0.999,0.23,0.410200323102,0.140641491373,0.992,4.0,1.0,0.0,221.089,229.79873,0.322,0.0,0.0,-11.3,90.383,0.823849701054
118.55148,118.633866078,4632.10471006,233.47265,119.421865,119.501175898,4723.88610612,237.49901,101.810665,101.699895,5251.23605873,221.076,-30.2855,-31.1784477124,33.5946788551,40.715,0.03495,0.0514524618736,0.00353992760658,0.73415,-35.7955,-35.8106143791,34.3377473458,37.901,108.27245,118.267233181,5546.44597799,238.87882,119.42223,119.501391981,4741.12544072,238.36152,26.7425,26.254083878,31.7031678219,38.143,-146.1495,-141.48448366,1078.6825041,369.067,-34.8045,-37.8946198257,1796.99164194,248.171,-20.142,-21.2478126362,514.903592486,326.531,13.237,12.7432679739,434.516630257,124.528,-36.035,-33.6933126362,408.080156282,130.348,20.0685,19.8652843137,195.596131744,94.388,8.503,7.39248257081,284.536697853,150.698,-9.647,-12.1629901961,350.144219511,103.396,-1.4675,-1.23290522876,92.6550468418,67.145,-0.0625,-0.360091503268,70.3117865058,59.097,-1.329,-0.181367102397,239.083754014,90.25,0.498,0.514795206972,0.0503588033757,0.958,1.0,0.914418300654,0.0537747182708,0.954,0.2585,0.275559912854,0.0181013923799,0.782,0.1625,0.195387799564,0.0246156469971,0.92,0.083,0.103851851852,0.00971807173404,0.667,0.121,0.145001089325,0.0134339836589,0.77,0.062,0.148236383442,0.054898256759,0.998,0.062,0.112430283224,0.0208281906733,0.996,0.18,0.276587145969,0.0700004646278,0.982,0.052,0.100068627451,0.0185833776432,0.847,0.082,0.131737472767,0.0340862023213,0.998,0.0415,0.069962962963,0.00931865222303,0.833,4.0,1.0,1.0,238.597,242.12853,4.493,0.0,0.0,-26.756,104.004,0.819954102667
100.41226,104.109736154,3882.81957,202.59687,106.17222,105.837719322,3639.28920094,209.27486,86.17082,84.85496,3873.05255613,194.67704,-24.284,-26.1932445415,49.4856555778,43.862,0.071515,0.104888537118,0.01516063343,1.42101,-28.674,-31.3936113537,72.6544661241,42.165,100.33519,99.6992906987,3518.13742456,210.15551,105.95311,105.614639682,3639.45944042,209.83228,33.162,30.9890676856,54.4769876963,42.404,-107.86,-119.507384279,3342.44648199,426.76,-56.8385,-65.1750764192,1603.0933017,208.493,-50.58,-51.2075545852,1797.37939253,312.168,-17.8005,-10.6906790393,1157.80737514,192.226,-22.977,-23.1066331878,318.164553228,103.761,-20.4245,-20.7198624454,543.806622988,126.621,6.3605,10.5318951965,429.334205351,160.609,-23.55,-23.9110196507,231.071632207,85.235,-7.2545,-4.3398231441,273.204118285,129.154,1.1675,0.301244541485,211.961107019,97.338,5.495,6.5839279476,242.114024425,84.743,0.5905,0.554945414847,0.198296597457,0.994,0.124,0.190727074236,0.0429411678696,0.997,0.053,0.123796943231,0.0374617164099,0.997,0.0995,0.275373362445,0.121984980688,0.999,0.041,0.0910524017467,0.0141707308785,0.996,0.014,0.0328165938865,0.00557758208272,0.999,0.02,0.0569847161572,0.0126364211638,0.998,0.1275,0.300720524017,0.120961987395,0.995,0.0685,0.214943231441,0.10416528062,0.996,0.0185,0.0661877729258,0.0163350913789,0.998,0.047,0.169589519651,0.0668016699338,0.996,0.074,0.165582969432,0.0486335094916,0.997,5.0,8.0,1.0,189.092,212.29669,2.879,0.0,0.0,-22.212,67.166,0.817222848829
