barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
239.792415,239.341809065,19132.3782348,477.63821,241.50475,241.046783259,19288.1463963,481.09018,176.473555,198.947012143,18358.3032803,465.68712,-12.2795,-13.1141745932,13.5050379188,52.563,0.04728,0.0576405944931,0.00397397837568,1.40689,-19.3025,-20.9935438048,51.5450778551,49.821,225.94748,229.477168598,17678.4371785,481.53823,236.49215,235.802622134,19124.8704656,470.25616,4.7095,15.989126408,2482.59458992,450.162,5.1785,16.220359199,2422.2320052,440.713,5.3835,16.5682478098,2496.2362388,447.322,5.6915,17.2227115144,2481.32383504,517.423,5.607,16.5551789737,2354.61601204,434.147,7.5995,17.0888385482,2384.50859929,402.265,6.9265,17.2572653317,2442.88540983,476.565,5.092,16.4390275344,2566.85976089,574.469,6.0495,16.9880788486,2432.10098737,447.425,6.9005,17.1396364205,2451.52795097,429.092,5.6665,16.2684142678,2512.14278991,442.851,7.1995,17.7711182728,2467.87233847,410.475,4.0,0.0,0.0,481.025,487.8624,0.234,0.0,0.0,-11.322,122.72,0.560091603264
188.81833,188.819757273,11876.8632316,375.08464,190.3514,190.351926903,12032.0398181,379.34151,178.40583,172.270774545,11798.7939485,321.19228,-8.934,-10.8686007273,30.4912920682,37.034,0.03472,0.0458433454545,0.00295949906328,0.99043,-19.313,-20.6507156364,38.6737863402,51.895,207.18358,197.061638487,10814.9870878,380.29986,189.12367,189.876305631,11954.4212143,376.90997,5.71,9.28195418182,916.975970457,359.611,5.854,9.03109963636,990.327872007,342.379,5.391,9.30901381818,886.353936271,307.297,5.476,8.61927927273,1023.03455238,416.098,5.901,9.27315563636,959.708238211,310.124,5.539,8.92801818182,884.708407331,318.572,5.626,8.94832727273,879.27364219,305.899,5.803,8.91426909091,889.488933561,319.494,4.889,7.876832,942.76146223,352.875,5.403,8.43036581818,897.613697684,347.107,7.354,9.32261527273,892.832525347,304.003,5.626,8.81289890909,967.180534692,321.149,4.0,10.0,0.0,379.6,386.08934,0.0,0.0,0.0,-8.519,97.922,0.54800562052
144.41537,144.407003787,6995.34500506,287.94925,145.27253,145.263745611,7057.8488768,290.52283,136.90352,134.245935,9130.33887695,278.11981,-4.835,-5.61490647482,10.0793144517,38.596,0.032685,0.0493831384892,0.00258309887189,0.51368,-11.074,-11.9271438849,26.8397546142,55.726,119.25433,131.760934766,6995.47062471,290.51941,145.70174,145.145866726,7037.39380746,288.79728,2.443,5.99565827338,964.028893277,245.698,3.2335,6.78933273381,905.327705206,217.568,3.1215,6.67973381295,1011.87051166,299.905,2.0905,6.19549190647,966.168289048,379.006,2.648,6.19229226619,954.037286423,365.054,1.4845,5.49401258993,979.883690714,286.019,3.219,6.55070323741,1027.64415836,266.532,1.238,6.01456294964,1069.95352098,473.845,2.7055,6.74677428058,997.050612704,292.366,1.4105,5.77701798561,875.487147313,227.282,1.637,5.15262589928,961.988026538,261.52,1.674,4.96624910072,966.788606743,318.071,4.0,9.0,1.0,289.82,293.58975,0.0,0.0,0.0,-4.128,140.044,0.545937381331
209.01076,208.742216597,14352.6212549,413.95158,209.01076,209.039206498,14509.4123786,417.2558,78.575095,160.547307857,20411.8682339,410.94648,-9.6195,-11.5047994228,30.2918969223,55.774,0.045645,0.0573251154401,0.00223313367419,0.66777,-16.4545,-17.9951334776,36.7086031445,52.407,213.150365,213.615800375,14465.590753,417.74739,203.06388,203.214608906,14382.7467285,405.70546,6.65,7.63755411255,1202.17960066,480.021,6.9935,8.75856493506,1069.36384071,420.047,6.337,7.49211760462,1142.40018142,373.26,6.1,7.1312994228,1099.45145505,398.887,6.9805,8.38755483405,1091.28984453,415.442,6.316,7.61470779221,1136.3088032,372.491,6.09,7.5628008658,1164.79174956,375.281,6.0885,7.38131529582,1204.33966305,381.202,5.6555,7.53344300144,1151.61219006,385.193,6.624,7.36415223665,1083.82948606,395.193,5.7485,7.11205194805,1151.97009099,425.049,6.53,7.25478932179,1211.65543371,471.357,4.0,0.0,1.0,414.819,421.66812,0.311,0.0,0.0,-8.624,110.838,0.514753324338
156.20236,156.205223333,8155.57860016,311.28888,157.02957,157.033704058,8220.8705463,314.03096,109.85787,129.105188182,10621.0803146,308.50887,-5.795,-7.495336894,25.6540288857,56.982,0.03994,0.0536843303205,0.00386514577837,1.41405,-11.391,-12.8399720624,30.5887817248,54.698,149.10526,150.491573369,7639.70514254,313.78508,150.19878,150.300268175,8138.50382435,300.1236,-2.23,0.649006573541,847.237432174,290.92,-3.185,0.405421528348,855.880771628,251.177,-1.824,1.56485045193,864.578008338,233.519,-2.948,0.328892358258,866.796985858,232.703,-2.197,1.10718898932,855.419748331,303.803,-2.469,0.719930156122,936.347994302,285.611,-2.707,0.413196384552,854.831396536,251.158,-2.383,1.39594001643,891.407379907,269.835,-2.508,1.12842974528,862.62307357,299.662,-2.969,0.236411668036,858.413752554,274.86,-2.63,0.999425636812,897.030141301,253.568,-3.522,0.401534921939,850.789544985,268.837,4.0,1.0,1.0,306.312,314.93179,0.183,0.0,0.0,-5.597,145.003,0.501015498737
216.06025,216.881844851,15766.5383186,432.11967,217.89388,217.894651772,15794.6387249,434.49011,178.09923,177.823466667,17722.1192358,429.16082,-13.772,-15.34777597,32.9606699135,52.973,0.03798,0.0460263204005,0.00129747937407,0.76186,-20.499,-22.9302315394,66.8721867937,48.951,209.838775,211.455013292,15603.2919303,435.41283,215.75367,214.97499,15666.1893542,429.24046,4.829,10.5372634543,1297.7833017,345.12,6.234,10.4922922403,1287.3965786,382.35,5.8915,10.451698373,1347.21639739,381.477,5.959,10.632698373,1312.89572245,385.428,6.3905,10.6214374218,1245.01850145,391.87,6.0665,9.37085419274,1262.13132466,403.252,4.934,9.54568085106,1272.73448644,390.974,5.8825,10.7808817272,1336.10694611,493.185,6.073,10.4657953692,1306.0723117,386.351,6.1455,11.0627778473,1383.79238669,403.987,5.586,10.299738423,1479.66290554,428.186,5.459,10.6338748436,1322.85560103,348.397,3.0,8.0,1.0,432.628,442.38322,0.2,0.0,0.0,-12.456,98.003,0.496175335673
173.05299,173.415763904,10071.9720467,346.85074,173.99098,174.345025812,10181.4473262,349.64283,195.00229,178.337498235,13206.5061904,340.78719,-21.7205,-22.8529090909,56.6563289533,51.785,0.032685,0.0697264073427,0.043295437947,5.90762,-28.4,-29.2289300699,59.5790067101,48.757,169.12737,164.340479301,8692.58358571,349.89841,172.11511,172.260039735,10149.312601,345.50634,1.439,3.1084763986,1732.04448004,468.477,2.6655,4.50042744755,1733.74926203,440.656,1.251,2.93509702797,1660.82722838,537.226,2.303,3.09840472028,1876.04295764,599.641,1.504,3.43168444056,1792.86015616,465.445,2.45,3.43172465035,1697.73811723,435.854,3.2375,3.37685052448,1782.54100817,537.486,3.0465,4.34120891608,1646.79343064,473.962,3.5305,4.11398339161,1736.15339836,488.285,2.736,4.00447814685,1752.07541657,494.369,1.597,4.2005541958,1751.34724876,543.169,1.3715,2.70170454545,1686.26928434,519.034,3.0,7.0,0.0,348.723,354.79465,1.077,0.0,0.0,-17.359,130.938,0.489038209173
102.414955,102.364981159,3533.34050595,203.20476,103.16609,103.110705346,3618.2386402,206.38615,60.413675,83.5407483333,6257.86883579,195.58353,-22.486,-23.8117240829,38.6486122476,41.043,0.05043,0.069998277512,0.0125015372395,2.24542,-26.863,-28.5359138756,43.7453777725,43.68,112.22789,107.628512504,2662.58518841,206.58626,99.40568,99.0189568116,3525.01517428,198.288,1.323,-6.84294736842,2457.58270944,387.531,-0.176,-7.94818181818,2427.9590154,377.294,0.105,-7.46459011164,2523.58270005,371.074,-1.047,-8.75370175439,2409.18192318,332.221,0.816,-7.64746251994,2714.10925326,388.516,0.196,-7.97166188198,2426.95934829,347.049,-0.363,-6.51319298246,2479.33425825,523.622,0.73,-7.20207974482,2352.5881353,328.804,0.026,-6.47655502392,2429.62314345,386.844,0.492,-5.58285805423,2150.93423669,345.681,-1.26,-5.30473524721,2536.0333442,572.844,1.261,-7.42083413078,2479.88097646,370.813,3.0,5.0,1.0,188.012,212.1922,7.674,0.0,0.0,-19.915,120.149,0.47872628848
208.951335,208.753881505,14473.0213671,414.23891,210.06952,209.872054739,14691.2127674,419.15319,186.50053,191.575576667,14680.0631919,389.50997,-9.288,-10.2392447002,18.886549716,56.828,0.03528,0.0529700726832,0.0272943496818,6.0697,-16.377,-17.7869951545,51.9821081187,53.6,196.13615,197.832153319,12157.7174184,419.53515,205.59294,205.319241538,14652.7359787,409.68217,4.664,9.12954936402,1559.94897091,431.055,5.628,8.86964748637,1384.63260678,345.902,5.922,9.10834887947,1380.99085771,307.526,5.408,9.25698061781,1621.49617907,591.754,7.227,9.49126650515,1459.34369078,337.349,5.327,9.092308298,1560.81309685,487.097,6.812,8.62640702604,1373.35625451,320.173,4.822,9.31551726227,1525.38724746,344.641,5.078,8.45205208964,1458.50359545,351.41,6.271,9.2881029679,1475.69793694,312.358,5.638,8.8118594791,1479.88774077,479.987,5.447,9.57032768019,1407.01909158,323.534,5.0,1.0,1.0,418.18,428.72118,6.618,0.0,0.0,-7.933,134.012,0.476435219643
146.03281,145.73646529,7114.782925,290.16795,147.719205,147.430272782,7206.19547547,293.52475,89.244685,109.583138333,6404.31516321,258.40756,-12.8125,-14.2193791103,31.2715540478,54.356,0.046705,0.0591730077369,0.00309092800033,0.84924,-20.362,-22.2287321083,78.6654174611,51.867,149.64932,150.158290358,7172.5180014,294.23456,146.408405,146.195795231,7208.87316868,291.29015,2.176,0.501201160542,1059.14251179,282.685,1.4155,1.32127369439,1089.11105401,280.335,1.325,1.63275725338,1156.70383772,313.549,1.1095,0.487637330754,1084.29584959,308.75,0.015,0.0107833655706,1085.50617994,282.854,1.8675,0.446617988395,1177.43887423,320.698,0.144,1.02490135397,1148.67404394,295.713,1.095,2.59993907157,1334.52749782,568.882,0.3775,0.938126692456,1079.93278524,256.22,0.1685,0.676681818182,1207.69778849,294.543,0.782,0.78553384913,1116.75484004,283.313,0.567,1.19092166344,1191.1718879,294.722,5.0,7.0,1.0,293.576,301.76608,0.363,0.0,0.0,-10.728,160.15,0.471578247701
