barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
165.699425,166.285221209,9261.36372004,331.75175,166.61965,167.205560668,9390.73949526,335.41044,129.92355,141.502897273,11939.0583899,321.70455,-9.487,-9.91384665793,19.5422199005,55.898,0.026315,0.0384712909567,0.00451384952409,1.94672,-15.8785,-16.2841402359,18.4528531311,50.071,166.76141,169.468096579,7955.07232706,335.7581,166.734705,167.320104748,9390.89662173,335.63978,47.2435,46.8933066841,17.7356577893,52.286,-10.2105,-17.0919737877,1781.34031854,369.555,-7.086,-8.01998099607,823.181257582,296.599,-2.8205,-2.56314416776,468.418482174,362.932,10.8975,14.2282536042,493.582179856,176.335,-31.5145,-29.7304888598,401.171490798,218.16,-1.59,-2.69567431193,284.030855054,166.034,-5.102,-3.71844102228,314.733571957,160.704,0.9145,1.28408846658,174.082244833,117.236,3.545,3.42881258191,172.82215777,112.189,4.058,4.64053604194,129.229384291,180.173,-5.8565,-5.92412450852,151.613249117,97.363,0.8105,0.733460026212,0.0775252772356,0.99,0.8245,0.738697903014,0.0821733602446,0.985,0.3525,0.380976408912,0.0494023690372,0.992,0.298,0.347540629096,0.0608169403545,0.993,0.241,0.285537352556,0.0402174084999,0.992,0.3415,0.397929882045,0.0570093627113,0.971,0.272,0.378650720839,0.0831186257105,0.986,0.1895,0.266520314548,0.0499713767171,0.987,0.183,0.278944954128,0.0556551083723,0.993,0.1715,0.274462647444,0.0581154897581,0.993,0.259,0.373010484928,0.0830978334418,0.981,0.252,0.388421363041,0.110903032807,0.995,4.0,10.0,0.0,334.077,346.61832,6.02,0.0,0.0,-7.309,130.004,0.702406533882
146.818015,146.826646273,7169.17463788,292.03331,147.4847,147.493610339,7251.04523505,294.70076,97.324685,108.913174,6788.69918038,288.8463,-5.344,-6.02735317201,34.7820868772,60.604,0.03172,0.0380004316547,0.00080435320897,0.56025,-17.719,-18.2111543492,32.8275630828,51.562,148.62807,150.393603852,6745.27082623,294.82689,147.4847,147.493595947,7242.85909074,294.70076,49.605,48.5258011772,28.4380469494,55.241,42.286,37.2414839765,2060.12410925,343.398,8.134,1.81186396337,3116.41201825,393.052,41.365,39.6321700458,1228.89572065,447.088,7.003,8.06608436887,942.426847112,266.911,-8.98,-4.80153106606,1205.9728805,353.081,9.646,11.4794074559,671.459888699,201.265,9.198,8.50252387181,352.537905032,178.64,-6.66,-5.28047809026,253.396258597,125.897,10.608,9.73235775016,244.165074167,148.137,0.297,1.4256854153,370.507074017,120.647,1.029,-1.74660039241,236.799475687,113.275,0.844,0.684508175278,0.0888672832883,0.991,0.729,0.735247220405,0.0424344895688,0.979,0.417,0.508243950294,0.0689389692652,0.991,0.449,0.492533682145,0.0929838132867,0.995,0.524,0.559594506213,0.084268163894,0.985,0.473,0.507563767168,0.0816022995636,0.996,0.493,0.497086330935,0.0668682999374,0.993,0.469,0.48459058208,0.0579433196235,0.986,0.443,0.514725310661,0.0991037008702,0.983,0.32,0.43889470242,0.114191844374,0.99,0.294,0.431390451275,0.128231665076,0.993,0.149,0.238199476782,0.0613673879396,0.996,4.0,1.0,0.0,287.364,298.44853,2.125,0.0,0.0,-3.144,179.976,0.677390429094
154.960785,155.011264147,7996.90920907,308.47296,155.85961,155.911636422,8074.72372552,310.87631,134.85885,134.273699231,5601.74056524,257.71533,-14.642,-15.3228344459,26.8821271462,26.761,0.034775,0.0459274299065,0.00247371306249,0.64203,-24.229,-23.5488397864,19.6304606913,50.845,169.848865,167.777087069,7544.58326384,311.38916,155.78479,155.836622734,8074.72381426,311.02691,40.107,40.0582162884,18.1934641495,24.349,3.784,4.67925967957,1337.47366551,264.738,-54.172,-44.7604586115,3104.55474471,294.107,-4.3705,-1.49624833111,1321.68105754,501.472,15.738,16.5796275033,667.069409035,167.303,-25.0845,-19.401228972,1039.90413101,273.392,13.509,10.6852196262,839.256338321,158.966,-0.272,-0.0659279038718,296.022465541,163.919,10.2165,9.40056742323,422.623358001,129.091,5.6305,5.6855493992,296.871142322,127.583,-3.086,-4.56762483311,262.658738337,146.647,-5.286,-5.91210881175,269.589980761,108.35,1.0,0.810525367156,0.0858050677811,0.975,0.477,0.505116154873,0.0903296807671,0.99,0.154,0.239894526035,0.0520488633746,0.998,0.1515,0.237801735648,0.050573245738,0.997,0.117,0.177593457944,0.0333019435353,0.998,0.133,0.245682242991,0.081858786881,0.999,0.124,0.217449265688,0.0580463261977,0.998,0.2305,0.29650400534,0.0622340123338,0.998,0.1515,0.286188251001,0.0945777055495,0.999,0.152,0.277542056075,0.0834991147199,0.998,0.237,0.313343791722,0.0804991161197,0.998,0.113,0.178104806409,0.0392604836752,0.999,4.0,0.0,0.0,311.263,319.84281,0.0,0.0,0.0,-11.422,200.025,0.66249316082
99.81384,99.61274424,3318.35221512,198.17451,101.208885,101.010066567,3371.68427762,200.95768,69.57089,82.29175125,4530.78344234,197.37459,-16.2775,-16.7337383292,23.0052862841,52.591,0.03129,0.0384877641278,0.000791657163551,0.26835,-24.2765,-24.6928452088,22.5283564306,45.731,100.88238,100.539793108,3185.37307386,201.48535,101.20889,101.009947146,3378.40813991,201.35528,39.892,39.4327776413,19.7408320525,47.983,-43.4315,-42.3832371007,2226.18117466,341.92,-6.7995,-7.57297297297,690.053552267,243.439,6.593,6.38438206388,880.914600062,449.473,-15.823,-15.7502506143,504.298918856,154.208,-9.549,-6.4962972973,800.57156643,407.506,-15.93,-15.9654791155,312.423836365,129.896,-25.5135,-23.669022113,419.268919739,134.93,11.8495,11.4526154791,298.330709804,120.074,6.3315,4.31372481572,282.67951789,106.877,2.6105,2.65711425061,185.686566507,168.565,9.0225,9.8340970516,326.276549144,113.521,0.158,0.247084766585,0.0571570996942,0.993,0.138,0.329549140049,0.14009621073,0.995,0.05,0.0804078624079,0.00884602283745,0.881,0.1545,0.300878378378,0.104602517149,0.997,0.33,0.461776412776,0.128093384898,0.995,0.132,0.168574938575,0.0201588930329,0.866,0.095,0.252522113022,0.101296787595,0.995,0.0575,0.0934938574939,0.0119523015593,0.936,0.192,0.296594594595,0.0784515358922,0.991,0.079,0.201008599509,0.0809629618425,0.996,0.092,0.134525798526,0.0183610454032,0.862,0.352,0.455179361179,0.111704191417,0.991,4.0,4.0,1.0,196.516,206.2624,1.019,0.0,0.0,-13.485,150.354,0.661054995145
125.6014,125.682919649,5301.52833782,250.62495,126.34137,126.42120968,5348.61374329,252.80871,113.926625,116.566675833,7397.88642021,245.06273,-16.937,-17.333633546,29.169254141,53.521,0.03549,0.0416137921604,0.000656243439403,0.26073,-25.312,-25.9968824066,32.701598782,45.344,129.58141,127.229603282,5064.63056529,253.15805,126.24774,126.329086703,5348.56729004,252.9934,39.057,38.4697948952,27.0614967738,48.1,-55.749,-54.3036590702,2375.15874893,355.581,-16.479,-16.7824804011,1198.98520485,333.799,5.504,4.80725159526,1439.03028733,435.851,2.805,2.22000091158,386.820035753,142.341,-11.317,-8.27334457612,812.888085077,286.028,-0.123,-0.243449407475,311.383281602,147.453,-14.489,-13.2815369189,395.929487769,290.93,22.788,21.5053463993,360.700322017,141.012,4.737,3.91959252507,246.998479873,130.325,-0.871,-1.22235186873,186.581862764,96.999,-9.397,-8.83484412033,223.043379896,114.37,0.339,0.454583409298,0.115477723444,0.991,0.274,0.356983591613,0.081769197543,0.997,0.304,0.439976298997,0.145196455227,0.998,0.116,0.161817684594,0.020805066123,0.79,0.121,0.162749316317,0.0197757721622,0.956,0.579,0.592425706472,0.139256798719,0.997,0.169,0.207902461258,0.0250527680614,0.988,0.153,0.276329079307,0.0839552453987,0.996,0.111,0.242173199635,0.0827656327184,0.998,0.141,0.223360984503,0.0572073920238,0.996,0.101,0.164640838651,0.0301287442939,0.998,0.087,0.167201458523,0.0361396303352,0.998,4.0,2.0,0.0,253.138,257.48853,0.154,0.0,0.0,-13.728,162.938,0.660018144399
112.56832,112.681756279,4267.9767958,221.12989,114.460395,114.564144346,4413.91005258,229.37796,118.62181,113.212772222,5863.93057075,225.67718,-18.5225,-18.3559753593,28.4327141513,52.78,0.03493,0.0406080698152,0.000649982604283,0.20406,-25.8235,-25.8985513347,26.186923426,46.644,112.534965,113.157528296,4236.17010253,230.07184,114.764915,114.864978484,4414.05833491,229.97905,37.98,37.9316314168,22.7174645777,47.839,-95.6255,-87.9535533881,2637.9092721,382.01,-32.227,-34.4264086242,722.078621112,210.493,-9.081,-8.08109650924,992.198761097,250.462,-5.4,-4.47638911704,415.711383416,133.118,-17.7515,-12.5516211499,789.609342673,286.649,-4.613,-5.3629301848,309.823927137,135.993,-18.7225,-18.1540451745,324.536842376,177.521,14.3975,14.9507926078,291.786654776,106.756,2.434,2.03868069815,240.683688833,173.522,-0.094,-0.0147679671458,195.798588186,128.295,-5.739,-7.17009445585,282.423309408,107.163,0.4115,0.480575975359,0.10438896086,0.994,0.332,0.378287474333,0.069527486147,0.995,0.1465,0.229536960986,0.0478664888803,0.997,0.1895,0.254941478439,0.0464295807641,0.996,0.401,0.502551334702,0.124506996851,0.994,0.9955,0.750088295688,0.0970831687952,0.985,0.247,0.272475359343,0.0196437586331,0.971,0.184,0.280026694045,0.0717357836817,0.997,0.088,0.124026694045,0.0150922847084,0.754,0.143,0.253766940452,0.0676483881884,0.998,0.051,0.0730995893224,0.00580248802858,0.638,0.055,0.0872689938398,0.0103386155273,0.998,7.0,0.0,1.0,226.133,238.91546,0.154,0.0,0.0,-13.905,79.767,0.644711980257
149.90037,149.971956875,7481.28214844,295.62247,152.89965,152.967505446,7633.41592985,301.56641,101.15521,125.416223,9721.15067188,297.25658,-11.92,-13.5964225156,38.7738994337,47.556,0.02535,0.0447992981237,0.0100701684384,1.76935,-22.01,-23.611009729,50.9752041028,49.87,173.50707,170.369358721,5246.75354999,304.20154,152.711645,152.7805273,7645.93561707,302.3971,42.463,40.9561980542,35.1428126828,49.658,-43.445,-47.4919089646,2882.99012566,464.262,-31.752,-30.7878811675,3758.92930965,378.142,21.507,20.0866740792,2459.13488985,555.732,23.643,26.8880430855,1519.2158279,233.984,-27.065,-21.7415469076,1318.96305467,342.694,-4.484,-2.665933287,1170.38399369,277.856,-19.85,-21.7466907575,773.962793879,230.507,-0.527,0.156271021543,638.752045001,178.938,7.639,4.24578874218,511.044051089,149.433,7.046,6.80776789437,340.384924583,155.605,5.04,6.30866157054,440.76056026,165.766,0.746,0.665079221682,0.0967928776711,0.992,0.263,0.408395413482,0.137138660187,0.991,0.089,0.227608061154,0.0864830513874,0.998,0.106,0.187708825573,0.0425441160514,0.995,0.295,0.350675469076,0.0596294853677,0.994,0.114,0.159838082001,0.0201915158256,0.973,0.15,0.218997915219,0.0419161938803,0.995,0.244,0.319633773454,0.0630602112569,0.997,0.282,0.383568450313,0.0814318255786,0.997,0.521,0.569537873523,0.107767696794,0.99,0.237,0.313079916609,0.0564693563652,0.996,0.346,0.402911744267,0.082688134671,0.994,5.0,4.0,0.0,292.897,310.80444,4.905,0.0,0.0,-10.368,80.041,0.63924848915
155.25074,157.36526691,8501.56406468,317.2558,156.60609,158.634726908,8620.10101489,319.96633,145.26645,147.583426154,8953.53494632,315.02978,-15.1705,-17.1053907436,36.2594804293,51.297,0.041025,0.0520184446131,0.00302230273134,1.18392,-22.64,-25.3161570561,68.9444898122,47.733,141.682015,146.450856525,8082.67925496,320.75837,156.60609,158.635875953,8632.21961787,320.41975,41.321,39.1675728376,44.4996778304,49.218,15.0585,4.21617830046,4575.98302314,474.069,7.658,8.52692564492,3754.4067572,473.943,2.432,8.21045978756,1585.23127948,356.907,-3.024,-5.45346965099,1142.9531697,246.296,-11.0375,-8.67380955994,717.003896603,244.002,-8.9025,-3.5982723824,848.388265142,190.643,1.892,3.15202655539,390.647870627,179.321,5.1265,2.14621623672,788.608703206,191.531,1.3865,1.01254248862,318.428884005,142.217,0.392,0.0696456752656,233.738854692,154.402,9.313,11.893991654,551.794871151,157.395,0.56,0.564219271624,0.10294982066,0.994,0.3635,0.435569044006,0.0851839857489,0.991,0.2855,0.349881638847,0.0668680133047,0.993,0.277,0.370996965099,0.0926415675173,0.993,0.247,0.286889984825,0.0434177655901,0.994,0.2795,0.370650986343,0.0923763713609,0.996,0.306,0.378577389985,0.076554284982,0.993,0.5035,0.546462063733,0.123563752354,0.986,0.231,0.284620637329,0.049705532867,0.995,0.176,0.21939908953,0.0270459879203,0.995,0.235,0.349132776935,0.0895914231897,0.996,0.296,0.355091805766,0.0617655067462,0.993,3.0,0.0,0.0,313.278,324.62322,0.311,0.0,0.0,-14.067,132.455,0.63602372747
147.45119,147.483885007,7257.85018981,295.17798,147.45119,147.483885007,7257.85018981,295.17798,177.11303,154.296491538,9351.97429678,290.43598,-15.494,-15.4022167488,54.5185255057,58.114,0.0316,0.039426137931,0.000984823812868,0.43057,-24.717,-24.5813576355,42.971379278,49.747,154.39329,154.213210768,6777.49978514,295.68086,147.55751,147.592173192,7257.92675649,295.39444,40.117,40.1061300493,43.9892048974,52.395,-89.71,-82.6445458128,5531.75205803,399.355,-30.142,-30.3687950739,1132.31537939,225.23,5.835,7.51631133005,1808.72534665,501.987,-6.208,-4.61854679803,729.474755635,181.395,-15.464,-7.81575960591,1369.12670152,375.135,1.504,1.46753596059,394.351582903,143.714,-22.69,-21.6426738916,425.620091477,181.632,15.02,14.3248669951,338.738272894,119.602,2.368,0.91581182266,327.72452498,130.708,0.013,0.386716256158,267.983997135,138.203,-2.835,-2.15985123153,236.255669364,92.959,0.209,0.376636453202,0.129989139755,0.988,0.062,0.114427586207,0.0186881462341,0.995,0.062,0.142114285714,0.0403522785644,0.996,0.051,0.0750433497537,0.00578883752967,0.808,0.149,0.20562955665,0.0366631908505,0.992,1.0,0.65484137931,0.159506769913,0.995,0.204,0.224231527094,0.0239455552622,0.99,0.123,0.256867980296,0.0922009914378,0.993,0.051,0.0855221674877,0.0102216721687,0.839,0.117,0.206325123153,0.0538660657235,0.995,0.093,0.24798817734,0.105848062914,0.998,0.108,0.170537931034,0.0305971155563,0.995,1.0,5.0,1.0,289.315,300.93016,0.154,0.0,0.0,-9.624,138.712,0.622354478398
153.767445,152.248009604,7420.07528102,298.89268,153.767445,152.248009604,7420.07528102,298.89268,144.20427,141.062796667,9605.37175715,293.98327,-14.7745,-16.8146490985,53.8095836439,55.328,0.03847,0.0440101733703,0.00074127639255,0.30855,-27.1,-28.4618058252,62.3963251911,47.671,155.0361,153.841262171,6722.34801066,299.41909,153.76744,152.246551334,7428.81872541,299.24531,39.5235,37.4888945908,48.8487704272,48.67,-10.8735,-10.5762683773,988.381206572,279.091,-23.835,-24.348482663,2287.60369133,279.726,14.692,14.0680145631,2596.96167847,444.629,-2.2715,-2.54506934813,460.724235823,166.729,-2.502,3.35094036061,1478.00402402,347.932,-4.5075,-5.50219417476,750.173904387,165.934,10.0685,10.2003196949,721.979123507,211.038,-8.533,-8.12641955617,338.052391375,107.053,3.5055,3.58383980583,418.220036472,163.655,3.0405,2.77002496533,368.852244255,141.577,5.986,5.23715464632,214.707298763,89.755,0.394,0.460409847434,0.0824020116367,0.995,0.632,0.622365464632,0.108803532871,0.987,0.25,0.305879334258,0.0467404764245,0.992,0.199,0.264748266297,0.0482312369075,0.995,0.3715,0.464461165049,0.116222647937,0.989,0.305,0.376680305132,0.0764718374623,0.991,0.2845,0.404107489598,0.112638532829,0.993,0.192,0.253897364771,0.0471687966782,0.996,0.189,0.251850901526,0.0446761490595,0.996,0.2245,0.340581830791,0.0924399589764,0.994,0.1945,0.279697642164,0.0616914231428,0.995,0.266,0.369484743412,0.0870123454677,0.993,1.0,9.0,1.0,296.025,314.64444,0.359,0.0,0.0,-13.073,172.772,0.619231168877
