barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
241.0641,241.160274691,19180.7320906,480.09735,242.139385,242.243438425,19278.7275286,482.26288,320.13115,251.650678462,27990.31323,476.86744,-13.247,-14.6202911914,27.0752511177,53.296,0.02227,0.0289605893536,0.00173125735567,1.26971,-30.751,-30.4810465779,42.3883591046,46.133,247.51989,249.234852858,17557.6919782,482.41841,242.44627,242.007432664,19229.1596158,481.02509,-0.381,-6.2217404943,2708.09480745,405.673,0.315,-5.22251806084,2599.23772716,415.724,-0.6995,-5.87935234474,2746.06965594,428.736,-0.1025,-6.28267141952,2659.02010224,426.998,0.716,-6.1677991128,2733.89897729,401.837,0.453,-6.6808643853,2635.49534311,371.074,0.1665,-6.18908555133,2650.48869664,384.574,0.71,-5.09634252218,2590.01828463,407.038,-0.7325,-6.33616730038,2623.1237519,435.579,-0.5955,-6.66502091255,2631.87302329,440.031,-0.9695,-6.11591096324,2622.52776668,444.893,-0.5885,-5.82538212928,2579.94787426,416.318,4.0,11.0,1.0,471.475,484.44036,3.657,0.0,0.0,-12.731,194.641,0.734653701178
137.84455,137.906565823,6337.27243283,274.77912,138.75906,138.782460079,6398.70624781,277.4761,151.80215,142.643956364,8057.96734194,273.75783,-5.566,-7.49384474241,21.6092682624,58.226,0.02862,0.0376423288638,0.0009893777456,0.36175,-16.438,-16.9349082569,31.7877624404,53.982,136.69932,137.625683126,6666.65616038,277.84136,134.62672,134.943967619,6292.4452627,269.73883,9.559,13.3561644319,1104.67543864,250.81,8.392,12.4170331687,1146.94640141,305.74,8.46,12.6354580099,1160.02715321,400.827,9.101,13.4251058574,1251.78083054,458.427,10.074,12.9008179252,1242.70302869,414.121,8.731,12.840094566,1204.0827009,429.899,8.926,13.1500508116,1225.74648256,425.566,9.124,12.6484643613,1110.27330377,327.358,8.55,11.8529082569,1113.08701752,291.501,9.702,13.1708270995,1117.77549515,257.041,8.398,11.4496055046,1035.97212312,238.917,8.534,11.8448659139,1156.96433687,314.824,4.0,11.0,0.0,278.239,284.39465,0.262,0.0,0.0,-5.567,137.805,0.588644746116
265.9031,266.240030519,23603.0558428,530.77202,267.02786,267.392051276,23767.5390829,534.01738,238.38507,249.615652105,19314.5965386,504.00811,-8.624,-9.36073862037,13.1051876159,56.984,0.0263,0.0351571797278,0.00180475220523,0.72449,-18.626,-20.4702970436,57.100152053,52.785,294.91179,278.316045176,22540.9099061,534.81098,265.2143,266.80962057,23673.6745504,530.76928,5.893,4.60694087283,1514.89357954,285.812,4.906,5.15533552323,1482.21879933,450.184,6.168,5.76228202722,1537.89179009,323.881,6.425,4.13893477241,1603.46796956,357.999,5.325,4.25399671516,1499.75071672,336.774,6.504,6.20021163773,1358.17892199,332.505,4.635,4.28673674331,1563.77894505,339.074,5.3,3.50758892539,1650.14615721,348.091,6.371,5.06687658376,1546.20513808,308.801,5.989,5.81998404505,1435.68506038,375.756,4.88,4.85298686063,1552.54965807,330.025,6.002,4.44464805256,1579.15782554,327.869,4.0,9.0,1.0,531.586,543.76444,0.444,0.0,0.0,-7.579,130.01,0.547735296798
110.361775,110.277906977,4087.07902767,220.20288,111.43329,111.351441445,4134.91909904,222.39156,105.42619,107.513248571,5796.45248272,219.49516,-7.1365,-9.20446966732,33.3030148596,57.04,0.03271,0.0401871232877,0.00068853788194,0.28741,-20.9665,-21.8236457926,67.6778735242,54.386,111.73188,110.83367593,4098.93925948,222.52508,109.71779,109.511911163,4081.98269964,217.56104,9.8735,14.5651174168,1861.8447413,402.795,7.3545,12.2335225049,1924.13440719,419.293,4.356,10.5041692759,1886.84567878,334.483,6.4485,12.8531007828,1903.37107006,386.368,6.2415,13.6637250489,1788.67478696,307.529,7.6355,12.1177651663,1875.57018391,334.053,7.0745,13.5700851272,1925.9187974,333.773,8.184,12.6702426614,1809.35631368,309.613,9.5475,13.9179549902,1821.40736141,297.8,7.146,11.8169041096,1768.95222346,328.245,7.4825,12.4781800391,2063.71711154,385.722,8.125,13.0087896282,1925.17036367,372.904,3.0,11.0,0.0,217.6,225.82812,0.363,0.0,0.0,-7.172,139.963,0.508683072674
64.068965,64.0980735,1362.61181773,125.83637,65.11193,65.1649252675,1397.29807065,129.07313,53.86623,55.74903875,1457.19436456,122.64394,-12.845,-12.8335332198,9.1339327736,32.719,0.03296,0.0440292504259,0.00140413637184,0.39302,-18.922,-19.5937785349,19.8842431366,48.921,62.32526,63.2674830494,1436.03059099,129.95905,63.28523,63.3565880247,1396.447176,126.11919,1.452,3.71439182283,791.463565393,218.453,3.009,5.66153492334,828.85830955,266.128,2.056,4.98166269165,784.280558496,229.41,1.586,3.59631175468,804.210302613,230.004,2.146,3.84077683135,824.286326582,293.247,3.328,3.82847359455,780.698114518,260.733,2.23,2.90255366269,795.570966642,252.869,3.018,3.23786030664,887.908663803,359.266,2.893,3.82247870528,732.346896393,221.019,3.576,5.13722657581,835.805064087,328.993,3.503,5.01245144804,829.502204064,216.701,2.559,4.53452640545,763.838988665,199.328,4.0,1.0,1.0,129.742,132.10077,0.0,0.0,0.0,-10.653,112.623,0.508579496274
87.08739,86.5774223864,2491.72690507,169.90328,88.09715,87.5525956863,2561.90967749,173.83279,112.4215,93.7453028571,3238.92386496,163.17959,-15.6445,-15.6245954545,16.7856236379,51.23,0.03435,0.0453804545455,0.00209186000767,0.52737,-22.2655,-22.9751666667,22.2842022843,46.125,93.744535,92.7147496061,2491.80252864,174.86045,87.3063,86.9231801695,2532.4929814,172.34156,2.8175,6.92668030303,1217.98706817,265.752,2.5905,8.28182424242,1226.9088455,244.075,0.9745,6.09084393939,1369.9183119,408.813,3.4715,7.14126515152,1253.91059006,260.727,4.56,7.71669848485,1241.86185764,259.121,3.755,7.55839545455,1195.6708706,232.97,2.975,7.08792272727,1162.61817283,216.607,4.258,7.89189848485,1187.95121302,221.506,3.7645,7.13790606061,1221.24318619,212.498,3.0645,7.37096363636,1184.64737924,221.081,3.3055,8.22096515152,1232.88019916,210.675,2.758,7.66079090909,1548.16084729,541.248,4.0,6.0,0.0,174.243,182.54322,0.821,0.0,0.0,-12.897,122.43,0.498499488955
70.553715,70.7760907447,1668.05991888,139.90554,71.625455,71.7806082746,1692.34898041,141.903,73.723555,69.3685883333,2165.99089871,136.44456,-15.221,-15.4750857143,18.1926400652,49.989,0.04436,0.0622785494505,0.0040020842546,0.7996,-20.677,-21.4161054945,23.8490193119,46.18,67.23107,70.1940402198,1485.0170148,143.06739,72.45571,71.1189625532,1682.44669499,140.91385,-1.391,4.31769230769,1020.59346993,185.975,-2.231,3.91819340659,1240.72090236,222.834,-2.487,3.59793626374,1241.45128948,258.927,-1.884,3.4406,1091.86157379,184.052,-1.824,3.79904395604,1227.78728177,224.611,-2.331,2.73672747253,1170.72022191,211.816,-1.83,3.22378461538,1260.5897328,232.611,-1.439,4.35470549451,1244.72566865,242.338,-2.219,2.96714945055,1198.23809773,239.208,-2.851,3.54625934066,1272.5774173,236.31,-1.597,4.0004,1472.29596543,446.44,-2.04,4.13037802198,1287.13364743,264.857,3.0,4.0,1.0,136.162,144.97914,0.816,0.0,0.0,-13.462,120.709,0.498499459476
88.647185,87.9731512069,2528.73850533,173.98891,86.58363,87.8877456471,2607.19723088,177.49498,47.15502,46.944648,1690.15533237,107.53156,-12.066,-13.6445015576,29.5724057516,51.004,0.027855,0.0433195638629,0.00340312931726,0.8659,-17.637,-19.4801401869,40.2789258869,47.952,90.871175,90.0375067601,2687.75639462,178.67442,83.32283,84.23984,2522.844813,168.84505,1.5355,6.30590498442,1082.6841039,201.416,0.981,6.14193457944,1150.32026214,216.647,1.1035,7.59727102804,1234.30038547,217.417,1.417,6.95263395639,1234.65534474,245.999,1.6085,7.47974766355,1196.99633054,239.167,1.6985,6.99495950156,1265.53748258,263.056,1.056,7.04401090343,1241.13995851,257.654,1.866,7.45422897196,1205.7724981,230.29,0.366,6.545605919,1212.57754595,277.984,1.295,6.53739252336,1153.29314364,222.216,1.5125,6.9878411215,1176.18032692,203.721,2.0555,7.09436604361,1313.20111573,428.655,4.0,11.0,0.0,178.411,180.58404,0.897,0.0,0.0,-11.651,85.002,0.498499452106
62.37623,61.59059,1224.47135895,119.75409,63.36447,62.5980741079,1232.14852145,121.67039,68.74686,59.2576071429,1614.03173018,111.87863,-13.367,-13.6060213777,17.4240101444,44.261,0.03614,0.0519989073634,0.00269715335273,0.44929,-20.0,-21.1011710214,24.004786327,48.377,64.54277,63.43735038,1148.84200622,121.86122,58.87146,57.89292425,1223.12271809,112.32474,3.216,2.80618052257,825.309854153,200.35,1.437,2.12186935867,976.528205486,261.09,2.63,2.71995249406,881.420148777,270.873,2.795,4.24387173397,1015.95524462,384.457,2.111,4.05357482185,804.744871456,209.301,2.812,3.57713064133,850.405925857,180.566,3.461,4.74246793349,881.638899228,264.489,4.067,5.16747505938,790.755851071,186.724,3.256,4.02582660333,727.824009017,174.384,3.385,4.73002375297,810.924721814,243.599,3.713,4.81795011876,800.058860556,190.933,3.286,4.247152019,822.543253179,198.803,4.0,4.0,1.0,121.719,125.12608,0.247,0.0,0.0,-11.103,119.001,0.484717596481
42.58274,42.3744762069,602.521769211,84.46415,42.58274,42.3744762069,602.521769211,84.46415,45.28043,40.476732,997.06119448,81.77722,-13.351,-14.0200196078,27.126308065,50.587,0.041705,0.0560837254902,0.00195332266259,0.30489,-17.545,-18.6160196078,32.9997572872,47.408,46.266305,44.873142549,462.485888726,84.9654,41.81849,42.4506955172,603.318275105,83.03673,-1.0605,4.23304901961,771.287289641,169.391,-1.029,4.03053594771,829.060553216,234.546,-1.629,2.79848366013,824.38470157,169.772,-2.1205,3.25667320261,837.329633213,183.433,-1.93,2.40586601307,800.236889423,161.98,-0.995,2.42867320261,849.133924527,207.211,-1.719,2.50713071895,866.130817382,238.126,-3.406,2.59962418301,1251.7390687,477.718,-1.762,2.63686928105,796.035397676,155.04,-1.4585,3.01517647059,826.090866969,176.522,-2.968,2.94530392157,810.351063277,181.693,-2.3215,4.14329084967,1484.19688764,538.737,1.0,5.0,1.0,80.405,87.14404,0.77,0.0,0.0,-12.352,123.799,0.468946684186
