barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
137.33844,132.272845147,5455.17850742,261.07319,139.20128,136.275426401,5695.45412314,266.68482,137.345885,125.901660833,5838.90757785,256.23016,-11.2735,-14.3607311609,69.2728852658,55.996,0.03862,0.0454986863544,0.000728501179028,0.3502,-18.2155,-20.7181720978,70.9795683299,51.678,132.576825,132.161422006,5769.10914535,268.10082,137.2352,135.684447526,5656.05961976,263.93424,2.351,5.31440325866,1092.69845935,378.821,4.258,6.67519450102,1078.74717171,360.737,4.0305,5.90429735234,968.475153152,290.2,3.472,6.23057739308,984.822665356,311.542,3.736,6.16323421589,996.176027888,301.508,3.4245,5.40290835031,962.211428904,307.52,3.4715,4.57785539715,973.553836651,271.053,3.4635,5.48328207739,982.793436881,264.689,2.6505,4.7309592668,932.852478173,291.725,2.535,5.72806720978,999.100875666,338.161,3.3155,6.41890427699,1104.51844349,385.578,3.966,6.39337780041,1055.29472889,334.818,5.0,5.0,1.0,263.941,274.442,2.873,0.0,0.0,-9.546,85.271,0.537503904192
242.82247,242.828324883,19879.7460366,481.0058,242.060275,243.282612484,19744.8266999,482.84145,206.194315,207.859733889,21965.2260772,476.16791,-13.07,-14.3876871421,62.1448584274,55.677,0.03887,0.046700702759,0.000790915927096,0.3033,-20.387,-21.2186767309,64.4729265353,53.557,248.17778,247.940588688,19864.2874001,483.65166,238.59335,239.977495817,19753.4496106,476.21345,2.641,3.64455023425,1057.94702032,290.104,2.58,3.62635242061,1025.35598923,310.227,1.653,3.40023217074,1055.30418169,314.205,2.429,4.08626392504,1087.06492564,289.421,3.266,4.32594482041,1034.52726611,295.804,2.219,3.5838250911,1166.20088442,336.568,2.165,4.23574128058,1095.75932681,311.657,3.108,5.0566501822,1076.80561862,282.489,1.719,3.55283394066,1107.38940094,315.231,2.538,4.30854606976,1091.09041756,345.615,3.004,4.39533211869,1040.45663673,300.721,1.647,4.00431650182,1064.4193944,320.589,3.0,0.0,1.0,463.726,488.95955,0.0,0.0,0.0,-8.916,113.799,0.445454525493
131.37332,142.445474082,7075.01549111,292.38579,156.853,156.798797683,8223.13994812,313.02748,193.71119,170.845893,9083.16392274,295.08646,-28.681,-28.9676955414,37.8829957073,43.896,0.03715,0.0499465477707,0.00170039498948,0.41347,-34.355,-34.8275082803,40.7818525735,37.806,163.97628,162.674973592,6637.32003401,313.31628,154.969635,154.80936814,8149.13519009,307.61969,-2.059,-13.2878420382,2827.60597155,407.97,-1.118,-13.3347299363,3080.76670634,387.672,-3.233,-14.2172,2902.00437818,396.504,-3.604,-13.4351592357,2980.49187858,388.656,-1.121,-10.9182700637,3205.86509564,413.392,-0.081,-10.9135923567,3061.92917006,433.594,-0.181,-12.1864687898,2878.82119804,388.614,-2.606,-12.1359312102,2948.92079626,386.688,-0.456,-11.8833146497,2942.53781378,396.506,-1.725,-13.0861681529,2917.23004781,366.055,-3.499,-14.493489172,3189.21030815,391.219,-2.969,-13.3648242038,3118.90159331,401.396,4.0,4.0,1.0,292.879,323.97016,2.479,0.0,0.0,-24.149,49.192,0.427446571488
173.05616,174.092281279,10504.3371933,350.11256,180.58704,179.53100176,10638.13215,357.87341,124.10692,147.881904,13125.0366351,352.83356,-16.549,-16.9260770404,46.270690126,54.793,0.0298,0.0415771472159,0.0015814237374,0.39045,-23.97,-23.6057002288,55.1928718407,51.373,178.29887,181.169905645,10138.9019206,358.88522,179.91264,179.5108284,10637.7571452,356.68598,-0.536,-4.60066132723,1519.00496726,359.111,-1.117,-4.22475286041,1446.48567746,364.234,-1.909,-4.52822196796,1363.31214643,355.128,-1.028,-4.60180396644,1459.20174668,414.652,-1.091,-5.10256521739,1430.87856234,517.263,-2.602,-5.79973684211,1474.14142374,362.238,-1.307,-5.38523188406,1494.42489837,368.611,-1.156,-5.18392753623,1476.03100959,369.166,-2.322,-4.84419984744,1488.30741057,383.23,-2.635,-5.01406941266,1351.12157901,366.683,-1.125,-5.64587795576,1473.1460279,402.558,-1.578,-4.13747902365,1504.96362073,444.647,5.0,2.0,1.0,356.444,370.33751,0.386,0.0,0.0,-11.198,82.607,0.427446571488
187.590075,190.0413616,12816.205909,387.48202,194.600175,194.960335708,12985.8029164,393.26091,162.56955,175.570116,14730.4063079,389.25311,-15.941,-15.8835516981,53.6832648737,48.189,0.0419,0.0551343471698,0.00249937714291,0.66062,-21.017,-20.8837720755,56.6658486016,49.769,201.29383,197.762358679,12969.1532288,393.79605,191.72637,192.928114262,12897.7357053,387.36348,3.092,0.283121509434,1589.70257404,476.381,3.289,0.767063396226,1503.7846167,468.143,3.313,-0.0899901886792,1648.55454255,464.074,3.774,0.473593962264,1567.9188776,473.022,1.845,-0.292542641509,1638.54084884,493.178,3.786,0.492338113208,1658.52096408,490.451,4.027,0.0442966037736,1653.57112318,404.735,2.913,0.090758490566,1616.12958136,387.594,2.577,-0.0384633962264,1732.52611544,447.577,3.108,0.193436226415,1665.39171779,464.04,2.355,-0.690731320755,1636.41966046,465.195,2.855,-0.221773584906,1651.98874086,456.364,7.0,0.0,0.0,382.386,394.47465,0.0,0.0,0.0,-9.691,110.644,0.427446571488
188.98243,189.054469304,11851.3778059,374.7379,190.85244,190.939653014,12093.2772383,381.31017,127.21038,149.92075,12755.561507,373.74364,-19.945,-20.4866876268,28.0945570289,48.105,0.02838,0.0395538336714,0.00938139829139,3.446,-26.266,-26.7590196078,27.7947698853,44.962,188.34059,188.567366788,11157.2385133,382.39356,190.69646,190.855926059,12068.4710166,381.0028,-6.816,-11.0227626775,1651.47112433,360.16,-6.546,-10.3066463827,1579.53513282,333.863,-5.099,-9.82109803922,1657.22884267,330.74,-5.101,-11.171591616,1831.82903693,395.877,-5.504,-10.7584374577,1705.30977097,373.496,-5.894,-11.4391230561,1761.00136134,444.127,-7.066,-10.958795808,1570.42252379,357.489,-6.713,-10.9858106829,1667.11753656,365.725,-6.146,-10.9907383367,1687.17501282,369.024,-6.024,-11.7272366464,1744.40475301,368.703,-6.363,-10.5993597025,1757.53255938,368.307,-5.987,-11.0757167005,1794.09215788,434.445,7.0,11.0,0.0,372.425,393.45587,5.59,0.0,0.0,-16.867,128.14,0.405115721691
110.041955,111.353114231,4037.51511784,218.92596,115.17394,116.249677589,4482.44731158,232.64551,66.99269,91.2482946154,4933.15945667,224.31098,-36.435,-33.9023996176,92.5664670162,49.505,0.03769,0.0504369024857,0.00196989316937,0.41862,-41.153,-39.0047323136,84.0088684637,41.038,122.9581,115.909113021,4260.98076569,233.96766,110.92775,111.332427971,4361.48200197,222.94584,0.184,-7.22702294455,3767.48778244,390.867,1.626,-6.88279541109,3662.54035788,362.219,0.76,-5.58304780115,3725.41731804,402.586,0.694,-7.56983365201,3781.99316249,402.846,2.739,-6.94782409178,3684.43170733,387.908,2.227,-6.48390248566,3824.57040476,373.018,3.344,-6.27418546845,3873.09191699,369.599,1.163,-6.577416826,3760.08761895,403.386,0.596,-7.80596749522,3581.75472643,392.414,1.816,-7.10310133843,3652.86281948,364.533,1.988,-6.05585468451,3870.98527922,403.358,0.827,-7.97556596558,3766.31590234,395.649,5.0,9.0,1.0,212.985,244.53179,0.45,0.0,0.0,-23.356,106.252,0.405115721691
42.078515,42.7269927778,497.386106016,73.14006,42.06731,42.3041281757,637.644984923,85.88519,45.99405,38.008478,901.391276788,75.59944,-22.7095,-23.1685341615,13.4683419755,42.375,0.057165,0.0719239440994,0.00244466810152,0.33884,-27.407,-27.7160062112,14.8814653664,39.391,43.63268,43.0668617081,621.154697411,86.43293,21.778945,21.9658920833,423.318068505,44.01661,-2.8055,-4.03624534161,1700.41174309,248.151,-0.322,-3.18314596273,1690.59191641,271.336,-1.3435,-4.16013354037,1908.72526855,269.815,-1.1,-2.80078571429,1804.7131897,257.377,-2.985,-4.09654658385,1889.7495493,262.289,-1.492,-3.917,1867.70125719,287.923,-1.462,-4.98584782609,1771.70577482,269.139,-3.576,-4.76987267081,1756.60313681,277.285,-2.207,-3.44033540373,1663.72705374,263.228,-2.7295,-3.88123913043,1326.25209857,238.781,-2.3575,-1.83521118012,1464.32948568,341.052,-2.855,-4.21907763975,1533.77502564,231.717,7.0,0.0,0.0,86.7,86.69995,0.247,0.0,0.0,-21.281,99.152,0.405115721691
186.08165,185.777480675,11708.6612259,371.38805,186.08165,185.777480675,11708.6612259,371.38805,171.843635,179.631815714,17621.0267486,364.48501,-34.727,-33.5330572597,61.9477274466,35.233,0.05211,0.0693384969325,0.00656896408435,1.29497,-40.6965,-40.2787280164,41.6323321816,40.618,197.688255,194.404874591,10858.0427917,372.3127,180.50502,180.4677922,11688.1463096,360.87472,4.6515,4.99298670757,2454.87660581,379.621,5.308,4.89267075665,2553.95114445,420.232,4.5335,5.15844989775,2480.31076155,425.399,3.741,5.05986605317,2539.11113812,454.838,4.6805,5.2581002045,2323.93352812,413.881,5.8555,5.47508384458,2436.54726338,434.034,6.5395,6.84148875256,2483.06146224,430.193,6.1185,5.82509406953,2399.38246303,410.643,5.475,5.54800511247,2480.28644354,389.316,5.329,5.2528006135,2362.52198387,397.707,4.188,4.5787791411,2399.32407623,370.254,3.935,3.20459713701,2551.814241,388.875,1.0,5.0,0.0,372.401,372.40118,0.0,0.0,0.0,-25.582,63.778,0.405115721691
239.704915,242.285625803,19744.9734552,485.26081,239.668515,241.912149317,20095.3158126,489.44268,133.34064,193.680593846,31552.2295279,475.1024,-35.902,-34.4084319419,84.7754957566,40.804,0.03816,0.0473404658197,0.00105900036851,0.44513,-43.654,-41.1171215971,87.5265594256,38.907,250.47029,252.184627943,19084.6353862,490.39324,240.52087,241.759060791,20095.5816786,488.32336,-2.124,-7.43388142771,1885.25127657,336.377,-2.643,-8.1361984271,1987.88022856,346.909,-2.994,-7.90114640048,1915.67471139,329.454,-3.636,-8.44263520871,2113.73209787,380.841,-3.075,-7.96199032063,2042.85196101,395.937,-3.007,-7.20802782819,1985.30034411,340.871,-2.323,-8.11998427102,2054.90081894,356.463,-1.814,-7.51785359952,1984.73517132,336.22,-2.191,-7.59838294011,1892.64254993,359.714,-2.977,-8.11649001815,1892.84608151,352.236,-2.97,-8.33515426497,1893.07389692,353.957,-1.056,-7.24644404114,1927.00321363,335.91,3.0,0.0,0.0,490.684,490.68363,0.0,0.0,0.0,-26.053,102.085,0.3759843015
