barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
176.40955,176.420887551,10285.2560479,350.4758,176.40955,176.420887551,10285.2560479,350.4758,207.59546,184.854249286,13417.1599778,349.38335,-12.5955,-14.0781521984,36.4302676612,49.223,0.02621,0.0387431736189,0.00950466824241,2.63445,-25.3325,-25.6112282976,21.3919700882,46.066,179.315825,178.67859128,8105.93415449,352.21478,176.40955,176.020839784,10239.1190491,349.20334,5.93,0.461898534386,1863.76456433,430.192,7.584,1.97506651635,1876.95007905,397.72,6.7695,2.01109131905,1840.581397,400.672,6.1595,1.30737147689,1838.15669318,364.823,7.4245,2.58444926719,1883.94934547,421.191,8.7105,3.04456426156,1820.69307633,365.065,7.091,2.1088934611,1779.78616942,379.052,7.6015,2.26669334837,1783.36172604,406.875,7.07,1.60894306652,1828.78943972,398.433,7.976,1.64087260428,1885.7285034,406.359,8.1345,1.86054622322,1925.97647151,422.265,6.664,1.38618771139,1954.47352392,428.191,1.0,10.0,0.0,343.748,359.47057,4.389,0.0,0.0,-10.76,75.997,0.576332858606
192.61981,192.50438,12140.1969861,379.61551,193.742465,193.626707412,12235.9291946,382.60495,190.36654,174.86878,14866.0877574,371.90727,-14.331,-15.9427789591,40.881097748,43.894,0.02486,0.0428915892557,0.00973717866284,2.07899,-26.075,-26.8234969222,29.2603198504,46.624,201.15234,205.549796766,10032.820521,385.21628,191.42878,191.255954336,12232.548575,378.11422,-1.193,-5.76812255176,2238.35046082,410.066,-0.888,-6.15212367096,2347.08899154,405.999,-0.567,-5.26328539452,2377.76120602,387.027,-0.675,-6.06001678791,2369.20862985,453.395,-2.023,-5.59955400112,2288.46425217,415.011,-0.614,-5.64757582541,2308.16836561,401.804,-0.076,-5.93156127588,2429.18893117,402.458,0.131,-4.82463626189,2155.25135785,343.313,-0.786,-5.60977056519,2331.79381686,376.2,-0.777,-6.17217067711,2290.81707477,450.705,-0.825,-5.45655288193,2266.50778952,444.289,-2.479,-6.62911695579,2270.34908638,414.198,5.0,0.0,0.0,365.952,392.48934,4.156,0.0,0.0,-12.081,160.09,0.560586187577
198.46914,198.463492708,13052.8357534,394.70459,199.1819,199.177718625,13171.1063226,397.5637,143.11148,162.219108,16861.0254459,389.90175,-17.844,-18.5925029691,49.3398827809,49.966,0.02952,0.0406116152019,0.00105457881461,0.33904,-26.543,-27.1443165083,35.2628851641,44.523,200.052425,200.469205618,11463.0803443,398.09719,199.1819,198.726093081,13100.4056282,395.42146,-6.943,-16.0643444181,3207.13018985,536.387,-7.262,-18.2843788599,3097.57598515,515.548,-7.7505,-16.6021229216,3066.49217046,480.365,-7.7985,-18.0081258907,3021.230781,474.501,-8.218,-16.5443016627,3028.10240126,481.402,-7.341,-17.2062731591,3185.30155474,515.665,-8.058,-16.7677226841,3096.70896435,476.091,-8.138,-17.6762482185,3133.52233046,479.083,-7.9285,-17.8480023753,3165.08673091,465.392,-9.226,-17.3688836105,3120.88178506,517.866,-7.942,-17.3175611639,3102.43031079,477.165,-8.0885,-18.2743960808,3233.66146732,478.183,4.0,5.0,0.0,378.636,402.65098,0.0,0.0,0.0,-12.138,168.004,0.560490376362
149.08996,149.091733795,7366.0454147,295.51755,150.21023,150.211229164,7500.03650006,299.56558,164.75596,148.679419231,9728.1398608,290.59288,-6.4815,-8.6888125,53.2841858738,56.997,0.02948,0.0481728303571,0.00520498684172,1.01916,-11.3155,-14.4449794643,65.5488573076,54.488,138.930725,141.034587089,7362.80040419,299.95968,146.62634,146.508648108,7404.21646163,291.94877,6.4595,8.81138571429,1023.85278427,244.091,5.482,8.17781607143,1027.55497015,278.32,5.757,8.44896160714,1021.49209289,265.825,6.2795,8.07468035714,1034.5432978,237.08,5.736,7.74190803571,1029.71396737,241.36,4.726,6.95128035714,1029.03986478,221.681,7.0095,8.45480625,1076.43140703,324.26,6.8575,8.37693571429,1095.63970566,282.082,6.3925,8.26082321429,1036.36923955,235.889,6.0335,8.22944375,1043.5094593,290.598,6.874,7.60601785714,1023.97834587,202.783,5.8435,7.42736160714,1030.76072248,265.203,4.0,9.0,0.0,292.821,302.73261,3.669,0.0,0.0,-5.633,134.01,0.542307526169
122.50963,123.581874952,5114.52211314,245.77428,123.70832,124.769599551,5190.683861,249.45424,86.240785,108.901508333,6250.56287791,241.9043,-4.8785,-5.12175057471,2.56149811595,12.695,0.02896,0.0501066436782,0.00577404083264,1.31549,-9.663,-9.9589862069,8.84729356073,54.942,140.23714,135.920864701,4284.99775876,250.59855,121.91022,122.769511418,5186.384023,246.16977,6.9605,11.0076988506,1178.10104841,327.051,7.6105,11.2848229885,1127.68803688,243.961,8.7605,11.9468413793,1098.9782404,246.324,7.1645,11.1556712644,1076.56646451,207.161,8.7825,11.6228229885,1050.68838434,232.909,7.205,11.5751632184,1098.04018773,288.481,8.076,10.7773701149,1284.92579255,560.048,8.515,10.9520367816,1149.61725933,338.691,7.898,10.5560816092,1104.38865146,360.273,8.0485,10.9070402299,1065.65605042,208.567,7.0775,10.1734942529,1096.73309912,226.54,8.348,11.1199356322,1206.04534682,432.47,4.0,7.0,1.0,250.404,252.81261,0.0,0.0,0.0,-4.194,100.138,0.535106024898
154.38593,154.338459793,7939.15811993,306.92679,155.58105,155.537501338,8042.38043561,310.26452,160.592665,151.651012778,8176.92125257,299.59605,-5.741,-5.84350921659,5.68543716005,57.764,0.028905,0.0566484331797,0.00627241861713,0.81279,-10.2495,-10.3670576037,8.74732473631,53.719,145.16542,153.93642568,7645.9601675,310.86658,152.39806,152.432624419,7978.08319489,304.29859,6.9065,8.63990668203,785.592467098,188.417,6.0775,8.63584562212,806.775438988,181.273,7.056,9.56447465438,813.913745051,199.215,5.741,8.37396313364,893.510040844,371.856,5.7595,8.32641589862,831.958110227,239.423,5.532,8.62300460829,805.721935212,201.617,5.9115,8.42923847926,814.3836935,208.867,7.3725,9.36200460829,844.188056864,275.576,6.128,8.90632603687,763.622301005,157.524,5.66,8.34206797235,855.933423798,256.756,6.708,8.55599423963,820.10510249,175.252,6.2305,8.29812327189,791.907796885,215.529,4.0,1.0,1.0,310.84,314.53995,0.142,0.0,0.0,-4.769,150.046,0.532482707508
150.61108,150.487554709,7588.24336692,299.00104,151.80742,151.680024534,7687.96846879,302.24086,147.4069,148.832345556,7403.1192476,295.18742,-4.9145,-5.47680107527,4.57067006796,21.003,0.029395,0.0490847759857,0.00376192808391,0.98777,-10.335,-10.7054023297,4.97895608813,29.194,145.821655,145.768393987,7336.99404627,302.97116,144.612345,144.631529286,7570.55564051,288.64873,7.988,12.3058602151,1061.13843691,206.096,7.3135,11.8204865591,1003.82972978,199.428,8.021,11.5973879928,999.005158214,194.645,7.282,11.3460770609,1052.49073631,208.149,6.669,10.9715519713,1029.55813354,193.718,6.5675,11.4779543011,1028.30609067,192.07,7.501,11.60990681,1027.12938476,199.656,7.8215,11.7358512545,1008.15182224,214.141,8.1085,11.8802858423,1016.50009474,196.43,8.3535,12.1991845878,1021.63581024,209.365,7.8135,12.0205448029,1061.98841712,219.383,7.8985,11.8174758065,1024.91881723,312.224,4.0,11.0,0.0,303.464,303.46404,0.0,0.0,0.0,-4.397,150.094,0.529730607229
14.81147,14.8746353846,74.7700820117,27.70806,18.81235,18.9815443077,119.547050472,37.28373,13.241655,13.241655,175.341427139,26.48331,-16.0825,-17.7535178571,74.0146027318,45.127,0.08689,0.0960303571429,0.00304781750166,0.30661,-28.09,-29.2903392857,84.1047938313,44.271,17.03753,17.9200320536,116.389105625,37.89175,15.387695,15.465887,104.999484271,30.58207,1.725,-1.95217857143,2164.73996759,282.076,8.4805,7.30367857143,2178.06940543,259.81,-1.98,0.448642857143,1776.90570993,259.466,-5.217,-1.91061607143,1525.82446179,247.973,5.2715,9.22702678571,2481.92255585,385.5,-3.0285,1.91620535714,2729.26257166,458.836,1.4585,4.16429464286,2097.17635178,375.21,1.5045,5.484375,2333.3151005,441.048,1.3215,2.99908928571,2651.09984151,504.575,1.7805,2.315125,2381.6219067,434.768,-3.9005,0.799160714286,2281.35614001,351.827,1.8095,8.40526785714,2401.58750598,416.78,4.0,4.0,1.0,38.948,38.94812,0.0,0.0,0.0,-13.297,104.569,0.526837034063
188.31185,188.313002761,11835.4374654,373.9606,189.71809,189.719547926,12013.4712369,379.03067,134.59589,172.624931818,21213.4391124,373.11519,-14.38,-15.3207411697,42.9189121918,55.707,0.02684,0.0371410133179,0.00333892067662,1.37964,-25.665,-26.1877689635,31.0942974678,47.031,196.82109,198.050202843,10536.2710935,379.45206,176.4992,176.510132321,11843.2799033,352.92673,0.647,-3.11989924725,2230.09984243,464.654,0.431,-2.51359756804,2089.42935986,403.73,1.458,-1.10537869137,2074.83408378,412.362,0.315,-2.54534568616,2146.96801262,443.701,0.276,-2.31368789809,1973.62794272,433.552,1.52,-1.61744064852,2103.95780404,432.545,1.083,-2.19264041691,2137.64688764,396.589,0.554,-2.81738100753,2057.538935,396.015,0.743,-2.85632310365,2163.92399265,401.544,2.366,-1.40498726115,2189.21215727,393.874,-0.201,-2.20620324262,2189.71949034,413.834,1.476,-2.29854892878,2221.0849106,385.297,5.0,11.0,0.0,371.513,383.26812,4.168,0.0,0.0,-10.794,106.678,0.520370304282
214.85539,214.851009866,15033.1986716,425.76977,214.67717,214.680428466,15284.7780002,428.66172,230.46956,210.90933,21083.9459556,423.53351,-12.797,-13.5476831022,29.8752192714,50.645,0.02812,0.0369422958398,0.00105902570213,0.37514,-22.96,-23.4154391371,29.6114950681,49.59,227.9698,223.867590077,12844.3663507,428.98594,212.36382,212.453643184,15280.9061193,424.01871,2.297,-1.14447971238,2156.5520916,405.355,2.842,-0.379257318952,2185.51770776,421.594,2.294,-1.42199075501,2228.92056129,488.946,3.269,-0.28786492039,2310.5909679,445.393,2.404,-0.333014381099,2053.04429072,389.333,1.551,-1.17188495121,2273.20679918,483.258,2.274,0.291880842322,2266.14307026,423.383,1.89,-0.0151658962506,2194.62825262,466.771,2.069,-0.964214689266,2256.9010415,408.786,2.137,-2.10782742681,2232.00201696,428.877,1.565,-0.708943502825,2172.49199844,388.233,1.936,-1.66764663585,2204.06604225,478.66,4.0,11.0,0.0,428.681,435.22567,2.606,0.0,0.0,-10.19,168.992,0.518418706598
