barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
116.12501,115.779121429,4482.32073525,230.21555,117.196605,116.86849681,4550.04710731,233.28148,104.37117,100.956031818,5398.62361079,216.22183,-5.4715,-6.99223837209,21.1367227746,58.759,0.054665,0.0814181686047,0.00720730100217,0.58908,-11.1375,-13.1564854651,45.3058290608,56.544,110.38129,114.931070363,4490.55264276,233.79356,117.41504,116.527580674,4516.41185086,231.08939,3.5475,5.72973837209,1004.4175952,263.224,4.144,6.49287354651,1034.25178112,243.732,2.3955,5.8618125,970.162213027,235.613,4.4255,7.47509447674,1087.19203874,424.909,4.849,8.64291569767,947.425095223,257.527,4.0815,7.03906976744,1052.40169183,346.97,4.338,7.97321366279,937.503122229,214.334,4.145,7.4342122093,961.306657464,233.981,4.024,7.20093313953,963.736587106,248.461,4.356,6.32513081395,867.917315963,231.156,3.468,6.00653924419,955.164384196,230.401,4.503,7.83846947674,1108.88372067,396.699,4.0,4.0,1.0,232.443,238.94159,0.078,0.0,0.0,-4.724,137.879,0.676419126969
117.19468,117.693727333,4750.66633197,235.1342,120.62422,121.112946408,4891.02830217,242.00767,98.05056,105.93542,6900.55145754,234.90432,-6.75,-8.55537820513,44.4058503377,59.22,0.038225,0.0541051068376,0.00221023114999,0.40722,-16.087,-18.1231185897,86.1365777626,54.571,114.14175,117.292088889,4990.8888164,242.29592,122.04665,120.950394648,4908.75285458,242.00732,4.23,5.34642948718,1207.59296282,432.664,3.5755,4.24529059829,1267.87966807,318.004,3.879,5.00943162393,1233.44985308,362.599,5.654,7.01335897436,1189.05618537,343.233,5.279,6.67927029915,1209.38854114,398.266,3.421,6.54472115385,1135.15949744,304.117,4.179,6.59386431624,1163.89000125,337.535,5.389,7.70825213675,1212.90333486,377.472,4.9715,7.59800534188,1167.35142137,301.248,3.9705,6.23501923077,1096.14252473,297.779,4.707,5.49696260684,1158.02496569,429.338,2.0415,3.86724893162,1128.13719115,300.127,7.0,9.0,1.0,232.542,245.21098,0.304,0.0,0.0,-5.396,104.982,0.596213191531
107.72339,107.856518022,3835.98573501,212.14274,108.90999,109.034487317,3942.40989094,216.87762,110.19436,108.716042,5085.34218777,212.67354,-6.876,-8.06269199179,58.7530644719,60.947,0.040785,0.0530868480493,0.00169048896696,0.48164,-17.0155,-18.5514650924,90.5131597744,56.552,106.750815,108.097326191,3941.20922917,217.61628,108.31634,108.271407213,3859.87981568,212.11617,12.692,15.4665903491,1451.3168099,373.71,9.6765,13.6434219713,1443.80921077,354.414,12.21,15.0809014374,1498.66011813,364.266,11.496,14.7041827515,1396.16907287,298.186,10.552,13.2393798768,1498.70651464,306.343,9.8725,12.7692679671,1340.81550669,322.653,10.4045,15.7579887064,1578.08698897,369.356,12.6435,15.4144394251,1529.08706657,381.044,8.93,13.0587895277,1493.77363256,341.978,11.752,15.0949938398,1451.51773756,338.05,12.8005,15.095087269,1486.67009989,291.274,11.846,15.7995513347,1563.28695909,378.309,4.0,11.0,0.0,210.994,219.03628,2.659,0.0,0.0,-3.876,101.091,0.559098102642
141.85771,141.856229953,6648.58979771,281.03976,142.519035,142.512381354,6751.97426662,284.08902,154.97247,143.090825333,7818.38067806,277.49234,-8.8045,-10.194294702,61.6047843122,59.552,0.0401,0.0585834437086,0.00353466773764,0.52557,-16.398,-17.415236755,63.7323128463,56.269,132.452225,136.114986887,6791.77466915,284.88272,137.63786,137.54364963,6702.65047318,274.62086,0.118,4.17265645695,1195.49655027,310.591,0.1265,3.67,1183.55709638,319.776,0.932,4.19787334437,1317.04929383,320.926,0.2485,4.22487996689,1114.51799694,294.22,0.2735,3.57559933775,1427.8470372,578.604,2.806,4.50469205298,1013.89444402,300.812,0.82,4.19928807947,1074.98344014,248.679,-0.474,2.93763410596,1125.52426024,284.859,0.929,3.37351986755,1175.56827283,447.737,-0.606,2.87496523179,1044.16112978,229.208,-0.1815,4.18138162252,1194.2359652,265.529,0.0885,3.68696274834,1174.83808802,270.523,3.0,7.0,1.0,275.516,288.13016,2.426,0.0,0.0,-4.894,137.399,0.538306730935
149.35972,149.615200514,7475.4886241,298.0662,150.7732,150.900026298,7583.23508262,301.50689,116.72759,132.051656154,8218.68591668,295.22251,-10.0245,-11.2730538462,42.3148816086,57.578,0.03974,0.0592804615385,0.00379511864575,0.8739,-16.486,-17.6753230769,52.4947430033,55.732,157.08571,154.937208163,7548.85893405,302.04263,147.79245,147.781134444,7516.43552007,295.07167,0.8105,1.33333269231,821.896370737,215.783,-0.5605,0.222159615385,871.916807028,306.42,0.222,1.14312115385,829.33814437,256.735,0.9245,1.22086057692,818.24019143,246.065,1.18,1.08935096154,807.666508557,212.161,1.397,1.49313173077,833.387359555,275.583,1.9045,2.385,767.583965746,201.563,1.0705,1.61673173077,772.331917167,249.214,1.22,1.65512307692,836.457364933,311.532,-0.619,-0.0906115384615,872.947401601,227.04,0.331,0.514453846154,826.682537686,306.217,0.3295,0.733713461538,870.403912745,256.017,4.0,9.0,1.0,292.867,305.57995,0.293,0.0,0.0,-7.296,140.037,0.521314064036
164.074505,164.080859583,9049.60727737,327.9967,164.83842,164.84364527,9077.70185004,329.52554,174.23686,168.30581625,9018.30846126,311.81307,-6.541,-7.74630072757,24.0036626856,58.608,0.04264,0.0505537348424,0.00168001765105,0.44545,-16.24,-18.2056370251,72.7579217559,56.462,166.83274,165.994617785,9182.54459319,329.56177,147.919875,147.937428056,8938.53804693,295.71258,6.13,4.99842522231,1270.07381867,348.451,5.715,5.68893209378,1307.31379113,333.499,3.768,2.89977607114,1298.0821693,334.273,6.148,6.19285691188,1465.52412161,550.808,4.316,3.87255699272,1259.02295103,300.11,6.047,4.78510751819,1319.66362957,339.882,6.04,5.83981729992,1282.43345856,312.151,7.219,6.29490299111,1371.59963105,326.841,4.896,4.79658852061,1312.69799459,346.252,5.527,5.39112449475,1331.96083434,321.54,4.62,6.38208811641,1208.80576792,311.84,6.317,6.11724737268,1400.32067084,301.026,3.0,4.0,0.0,328.957,333.08689,0.305,0.0,0.0,-5.81,117.929,0.513213953506
95.38247,95.3793612791,3039.80161225,188.2272,96.21677,96.2082246243,3074.81737146,191.01892,109.30298,98.64946,5862.83296772,186.6454,-4.482,-5.54261028192,21.1403993191,60.016,0.04704,0.0529382587065,0.00111727939846,0.36039,-12.054,-13.451827529,39.5270452737,55.787,92.01215,93.8721722886,2844.75999254,191.5966,91.50815,91.6212975439,3003.04935705,182.80207,5.583,8.3815986733,839.701971759,241.483,8.044,10.8370033167,832.872661264,212.065,6.616,9.40084742952,722.952814607,187.702,5.114,9.47519568823,749.815642098,255.611,6.19,10.3397976783,801.493231737,239.812,8.745,11.1193681592,896.060886986,346.74,7.386,10.0317429519,694.471724065,155.36,7.323,9.14272305141,808.91989432,238.209,6.037,8.74952902156,775.901725884,285.485,5.399,7.78199502488,764.523942519,257.786,6.309,9.34952570481,1002.54506147,508.193,5.691,8.47175124378,774.211528572,178.278,4.0,6.0,0.0,188.424,195.10812,0.09,0.0,0.0,-3.82,107.931,0.467414300782
123.24922,123.02508798,5041.34865105,242.90747,124.49856,124.260387118,5117.01078652,246.67663,111.99088,117.25481375,8138.27091407,240.30704,-7.55,-9.28712738854,34.1540553647,58.555,0.05359,0.067064343949,0.00517798918737,1.34494,-15.501,-16.857456051,51.7995290583,54.791,118.83769,120.390664064,4942.19537222,247.37147,114.1611,113.866880303,5010.97543301,226.75767,1.226,2.64797707006,1086.87519686,247.836,0.449,0.645175796178,1098.64290935,230.969,0.477,1.41481528662,1257.14611903,410.954,1.552,2.37961910828,1347.74617216,343.699,-0.375,0.685624203822,1195.75462132,328.92,1.993,1.86274904459,1295.04674983,330.482,2.425,2.78870318471,1225.62652945,335.857,1.897,1.47476815287,1331.2328867,429.047,2.989,2.04238471338,1290.62090504,271.999,2.093,1.84758726115,1204.57714447,266.068,1.596,2.3360955414,1144.52775235,279.716,2.708,2.76210063694,1051.8499401,206.007,4.0,5.0,1.0,238.498,251.01016,0.09,0.0,0.0,-5.925,96.048,0.449940204043
149.49507,148.971624848,7318.49924833,294.44586,150.39784,149.864068902,7428.70165128,298.05574,124.64931,128.540340769,8008.59970479,291.46134,-8.693,-11.7689044184,96.1669317258,57.974,0.04364,0.0547005320108,0.00163538078917,0.35913,-19.829,-22.2245996393,115.289892637,54.951,145.8512,145.83753266,7385.3231495,298.59002,148.14238,147.501698273,7315.01178362,292.22135,1.608,0.280509467989,1496.30668882,350.339,0.014,-0.598298467087,1462.07514847,303.063,0.806,0.302598737601,1483.38887632,346.124,1.729,0.730647430117,1381.65660233,304.31,2.667,1.50183137962,1396.72898556,324.088,0.776,0.530255184851,1544.04467447,362.279,2.402,1.11855725879,1476.43527885,312.497,2.192,0.309332732191,1470.40770835,358.614,1.359,0.460739404869,1648.90850738,429.929,0.529,-1.07098286745,1547.91006484,375.682,2.012,-1.08206762849,1587.0185393,339.336,2.036,0.869377817854,1565.08573282,333.355,4.0,7.0,1.0,277.374,301.03465,0.096,0.0,0.0,-7.43,133.482,0.439525605299
98.948345,98.9512125641,3235.29158457,194.52944,100.21158,100.214322019,3340.33300867,199.58685,70.53106,77.878731,3731.13562647,194.32123,-7.369,-8.53978920954,41.3630334963,59.375,0.03147,0.0401023588457,0.000855306882767,0.36243,-17.538,-18.8332183187,62.7161570389,54.077,101.45315,100.556096838,3527.00154296,200.6058,99.36949,99.8839681013,3319.23690919,198.32119,0.515,1.94871141782,1248.89201596,349.973,3.003,3.72683563363,1090.35616532,269.645,1.3,3.90461982434,1049.26121254,301.565,1.947,3.37649811794,1145.85336839,325.514,2.652,3.62543538269,1160.35481208,348.457,1.176,4.11166499373,1080.00655498,275.417,1.855,4.17791217064,1013.06396899,303.089,1.005,3.69500125471,1174.40021907,365.583,2.22,4.09172898369,1038.99036736,247.906,0.118,2.74981681305,1168.73831131,335.283,1.821,4.46006398996,1147.21810666,371.359,1.795,3.16369385194,1233.58376747,380.146,4.0,2.0,1.0,191.298,204.61669,0.392,0.0,0.0,-4.928,94.992,0.439525605299
