barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
146.298885,146.300616643,7116.02490274,290.12112,147.603255,147.605198511,7218.46013293,293.77505,105.59567,127.042862857,10858.7365378,287.20301,-7.574,-9.68180786825,42.4435926072,47.563,0.03858,0.0461165416285,0.00117082658877,0.55122,-15.882,-17.0971756633,48.2118562583,54.97,136.41973,139.908091125,7073.75746752,294.47828,147.60296,147.605174969,7205.6938021,293.77505,48.187,46.3620823422,44.0092084342,54.289,-10.939,-16.786862763,3309.79954277,416.692,8.695,5.24299359561,1651.32683002,369.419,7.332,6.14287740165,962.519257418,528.508,-14.798,-11.438452882,723.401446678,179.651,-13.911,-10.5235809698,639.257920686,304.666,-8.474,-8.79157456542,324.57545369,142.123,-7.796,-9.15136322049,474.705465779,192.781,12.113,12.9086459286,352.0609811,146.924,-0.318,-1.69489935956,279.458854466,139.444,8.474,7.06316468435,180.162771442,116.853,4.773,4.58171729186,248.922047217,132.98,0.431,0.479891125343,0.0826314456029,0.989,0.875,0.746413540714,0.0938871922046,0.986,0.454,0.434711802379,0.0654929992843,0.991,0.258,0.299838060384,0.0415834879567,0.991,0.291,0.410856358646,0.0837356326151,0.977,0.187,0.243538883806,0.0350251634011,0.981,0.187,0.282377859103,0.0646328041575,0.99,0.191,0.244417200366,0.0363913886154,0.981,0.271,0.343767612077,0.0506512890883,0.965,0.301,0.422892040256,0.121256533633,0.984,0.174,0.230908508692,0.0401162569541,0.985,0.4,0.485916742909,0.127645703041,0.991,4.0,11.0,0.0,272.742,300.14649,2.618,0.0,0.0,-7.001,114.99,0.995673819272
130.46223,130.454860532,5670.37455516,259.78172,130.83237,130.826588558,5691.97709723,261.01257,112.35815,107.196158,6663.23570533,239.56807,-5.968,-8.81619514107,68.1210831116,45.585,0.031585,0.0511825783699,0.00406185488105,1.35593,-10.659,-13.8946010972,79.5345233934,55.971,118.33449,118.163254067,5165.78595467,261.45819,130.83237,130.826592466,5697.37561964,261.25908,51.6455,48.5665681818,71.1661128269,47.454,18.7445,-10.0098644201,6254.41640575,470.505,19.1325,12.2804130094,2543.67327382,403.189,-1.327,-2.37004153605,987.343232217,272.639,29.4025,23.6807899687,990.623186381,180.042,-33.004,-31.3820164577,519.646751134,276.021,10.938,10.6257750784,407.72371601,160.379,-6.7855,-6.62386050157,300.382685934,176.293,26.7615,26.9430438871,271.278461221,99.817,9.0535,7.22607288401,230.22583311,228.81,-1.8895,-2.29388871473,156.723444662,181.817,0.0375,-0.456191222571,195.49426525,106.385,0.385,0.461869905956,0.0986767087809,0.999,0.4045,0.477919278997,0.111045196462,0.999,0.2945,0.380905172414,0.0890174181237,0.999,0.2355,0.306645768025,0.0556452961498,0.998,0.394,0.456347962382,0.0783567974175,0.998,0.4105,0.463196708464,0.0976716799578,0.999,0.3845,0.4611669279,0.106432598311,0.995,0.4725,0.510945141066,0.130110054984,0.999,0.3905,0.447170062696,0.108828898195,0.999,0.456,0.504828369906,0.103141604556,0.996,0.183,0.256275862069,0.0552905837747,0.999,0.089,0.203329153605,0.0570382474573,0.999,4.0,9.0,0.0,253.916,270.88934,0.0,0.0,0.0,-5.576,242.368,0.969518401265
78.668375,78.6633383824,2070.92047758,155.33217,79.82978,79.8229614909,2117.32868047,158.77821,78.089775,75.5050666667,2465.37518039,143.58126,-4.351,-5.05511353712,15.8227538299,60.25,0.03814,0.0459051673945,0.000820256100955,0.23187,-11.067,-12.45643377,32.2666315469,54.498,83.57374,81.8546987482,2028.58614549,159.41188,79.68406,79.6781832182,2117.33233337,159.04286,52.214,51.3417947598,17.667312658,56.729,5.963,5.22019796215,730.14506277,268.755,6.221,4.73363609898,1024.25227028,311.924,0.176,4.871,845.943865418,363.579,4.995,4.18568558952,331.939393692,169.295,-20.819,-17.3855749636,687.838147473,210.898,20.663,22.3696419214,534.706233182,175.543,-3.113,-3.29773653566,405.344022666,183.298,2.082,2.92214556041,145.323745545,96.362,-3.254,-5.71904512373,262.440104748,124.347,-2.744,-2.70677438137,186.587673607,118.212,10.974,11.9052343523,193.8710593,97.943,0.5,0.555995633188,0.0826166186127,0.914,0.772,0.676212518195,0.0967874628418,0.92,0.442,0.497279475983,0.0919970718204,0.974,0.306,0.388934497817,0.0780926085188,0.984,0.283,0.364704512373,0.0738680975488,0.975,0.358,0.479710334789,0.105290933561,0.956,0.238,0.286864628821,0.0384465595495,0.989,0.222,0.300404657933,0.054345152118,0.988,0.203,0.290177583697,0.0605721344029,0.983,0.248,0.331826783115,0.0670269758183,0.978,0.239,0.364259097525,0.0993611089966,0.985,0.218,0.270925764192,0.0481660454352,0.998,4.0,1.0,1.0,157.06,163.65669,0.7,0.0,0.0,-3.844,103.524,0.968889739899
147.51854,147.316524869,7008.81012655,288.20876,148.28168,148.073985971,7063.68184305,290.5091,94.0689,110.537898333,6947.90551208,270.19168,-8.9115,-10.6738342152,35.6405109584,44.614,0.04703,0.0669436155203,0.0232104362342,2.71949,-17.129,-18.0836067019,50.4264879229,53.335,179.213515,172.13257731,5477.65208764,293.0542,148.28168,148.074117162,7054.51297792,290.5091,46.9515,45.4392786596,39.9519960493,48.942,-10.312,-19.7743430335,1987.63108649,286.345,11.1265,12.3128253968,1878.47604342,323.091,0.7815,6.18747178131,1088.84595747,554.047,-28.219,-30.7044329806,710.299636016,269.719,-14.487,-7.05925925926,1056.35281916,395.813,22.9945,19.8082733686,562.035370922,178.865,-0.8245,-0.516572310406,395.933592333,206.543,3.4875,2.6679973545,228.014766763,114.979,-3.1835,-6.24939417989,274.32427266,136.704,-5.4855,-4.42992592593,249.360971236,145.316,-7.2865,-7.36332098765,182.872025347,118.288,0.3415,0.426963844797,0.0993407456064,0.992,0.3205,0.389350088183,0.0803323774383,0.991,0.211,0.347421516755,0.109844342606,0.998,0.172,0.234974426808,0.0386082859421,0.997,0.31,0.412514991182,0.10065808399,0.994,0.266,0.336111992945,0.07429192132,0.995,0.184,0.280925044092,0.0707114114892,0.993,0.1915,0.29310670194,0.0793637002549,0.998,0.2695,0.364544973545,0.0947607418045,0.997,0.526,0.558644620811,0.148029717621,0.993,0.286,0.345198412698,0.0702280990804,0.995,0.238,0.342011463845,0.0866553058651,0.998,4.0,9.0,0.0,292.583,301.92281,5.596,0.0,0.0,-7.275,157.318,0.953203579433
144.28622,144.299762568,6951.04825899,286.87337,145.2618,145.275430319,7022.00839247,289.81624,108.937725,119.477312,7408.45264962,284.31269,-5.9815,-6.63996645963,21.7415222672,60.247,0.036245,0.0569399192547,0.00287876052726,0.31501,-11.3875,-12.2869981366,24.1297398876,55.478,151.213495,148.63413836,6764.80981439,290.11356,145.137005,145.153396933,7022.01305746,290.05581,50.9855,49.8764726708,18.0708505971,55.014,45.4075,47.6138981366,1224.83377435,226.575,-8.9015,-8.20869689441,1109.44912754,245.616,-13.265,-4.38676024845,1663.56057402,510.927,-2.99,-2.40016273292,545.89289476,206.332,-29.0675,-31.3336285714,563.523226943,421.686,6.8385,6.78382857143,355.035554227,157.419,1.371,1.39151614907,433.27809934,148.909,-6.3895,-4.96098509317,292.456335897,127.136,0.798,0.439345962733,218.2060994,166.709,3.493,2.93721614907,199.324814415,172.056,7.754,7.31668074534,238.742598606,120.386,0.5455,0.56812484472,0.0938909564635,0.979,0.609,0.613829192547,0.0729925478434,0.965,0.4475,0.490455279503,0.0764610666336,0.965,0.4115,0.466622981366,0.0686306833228,0.965,0.4,0.513965217391,0.10631939879,0.97,0.4875,0.570616149068,0.106820359491,0.974,0.454,0.501767701863,0.0879298205717,0.965,0.59,0.591357763975,0.0882971465391,0.944,0.436,0.46149378882,0.0812836648683,0.973,0.3655,0.386856521739,0.0617248856252,0.986,0.2435,0.352750931677,0.0826236702631,0.99,0.166,0.304666459627,0.100652767633,0.999,4.0,7.0,1.0,280.764,295.8624,0.349,0.0,0.0,-4.254,122.951,0.95225562725
142.28987,142.282536193,6730.7857024,282.75919,143.01041,143.003928134,6816.63797928,285.64524,82.41469,92.348125,5280.21447685,220.18349,-10.6865,-11.5828194981,20.7655043275,55.406,0.034485,0.0451492664093,0.00176152280467,0.45882,-17.7285,-18.8371486486,35.4049589933,51.474,135.13104,137.788696776,6940.68033064,285.79469,143.01041,143.003936744,6808.05296271,285.64524,45.584,44.6959507722,23.0248672476,52.465,25.625,26.3498851351,1077.97778399,242.216,22.118,21.1813889961,1950.63184034,271.618,11.7445,9.77173069498,908.988997367,470.218,-29.335,-32.0349855212,866.330432823,183.468,-13.659,-11.1009266409,775.608536958,462.066,-6.386,-6.14858687259,459.472755275,141.672,-6.358,-5.18338996139,264.309363346,158.182,4.6115,5.39286486486,323.797732262,116.17,1.0695,1.43864285714,254.97167795,128.643,2.2675,2.23523648649,249.895184015,137.325,-6.891,-6.08875965251,214.810987291,100.424,0.568,0.5801003861,0.0903162852894,0.952,0.337,0.393414092664,0.0520811827744,0.93,0.2455,0.323140926641,0.0552756442323,0.971,0.206,0.243497104247,0.0232051843545,0.987,0.381,0.435593629344,0.0775781138204,0.988,0.3595,0.408052123552,0.0632104972831,0.984,0.443,0.49644980695,0.0556825891795,0.937,0.2965,0.395749034749,0.0792616899122,0.962,0.327,0.388017374517,0.0618043240225,0.98,0.356,0.446629343629,0.0969575035405,0.973,0.3575,0.421305984556,0.0820826428599,0.966,0.6,0.596406370656,0.121665256678,0.968,4.0,4.0,0.0,282.715,286.71955,0.299,0.0,0.0,-9.261,166.466,0.941156452792
131.30972,131.415173228,5728.98315402,260.23796,132.6012,132.704586984,5865.16896921,264.58952,58.16523,99.8134057143,8549.25462812,253.81996,-5.7885,-6.95713932981,19.2486607337,23.9,0.022585,0.0379331481481,0.00350646325085,1.24462,-11.664,-14.5531093474,59.4063871521,54.856,117.1495,118.504023483,5176.32911635,264.84399,132.60185,132.704741947,5853.80646703,264.58952,51.017,48.8849541446,30.5887364353,32.058,-7.909,-16.5856499118,3096.027031,399.29,2.5445,-11.1172398589,3057.01401488,359.107,-0.624,7.13238095238,1657.41830153,516.377,19.456,18.3105925926,640.42899315,156.898,-41.334,-36.6875379189,1051.04182837,390.214,6.632,6.59369753086,772.021269999,180.518,-0.483,-3.23532010582,506.168275306,231.461,9.9415,10.5679012346,213.338459835,105.805,11.2405,10.0996261023,224.562989571,156.678,4.938,6.01248236332,258.114310431,190.772,-3.827,-4.94973633157,282.345411654,122.644,0.48,0.523441798942,0.0989575270359,0.974,0.7825,0.67335978836,0.105572073374,0.951,0.372,0.448953262787,0.0761589352054,0.944,0.248,0.340264550265,0.0621012404188,0.986,0.3945,0.455066137566,0.087288968289,0.963,0.4925,0.540952380952,0.10512943865,0.974,0.4155,0.452773368607,0.0695778207723,0.981,0.359,0.430915343915,0.0797114125864,0.983,0.214,0.265576719577,0.0372876197755,0.936,0.3495,0.412822751323,0.0753645814577,0.979,0.309,0.409565255732,0.101762667258,0.992,0.2215,0.299327160494,0.0610400384687,0.997,4.0,4.0,0.0,264.342,275.48689,0.0,0.0,0.0,-4.73,116.082,0.937085590809
123.26731,123.265620748,5079.26683155,244.13164,124.41732,124.4171806,5198.31464777,248.63839,119.2298,112.797077273,6196.22069996,235.21263,-11.4615,-12.5431810811,24.9101485014,56.023,0.031145,0.0380647927928,0.00144197857144,0.54967,-22.013,-22.732281982,40.138978361,48.242,122.23195,124.205152378,4427.03596026,248.94367,124.561615,124.561052252,5198.32627531,248.91181,43.278,42.5700927928,26.0760014626,51.732,-7.872,-7.14564414414,3943.59165613,409.796,-13.5,-12.7346198198,3736.9484921,354.311,23.305,26.3153477477,1566.98869944,320.697,1.0575,-2.73053333333,867.36242566,209.736,-16.6175,-12.0854198198,930.720506944,219.803,13.5545,12.3113711712,713.086282302,178.024,-20.866,-17.1298297297,871.396641561,224.794,16.2785,15.7320468468,263.836276001,130.581,1.7485,1.50171171171,380.35625636,118.977,2.8265,2.15134864865,275.139782609,105.248,-5.917,-5.54632882883,236.920825332,120.109,0.6075,0.601859459459,0.0966040703384,0.987,0.6535,0.614201801802,0.103517400717,0.971,0.288,0.346321621622,0.0667206902532,0.994,0.243,0.338418918919,0.081007960543,0.994,0.2475,0.341081081081,0.0792050492817,0.994,0.234,0.289863963964,0.0525653607735,0.996,0.264,0.33801981982,0.0696819635711,0.998,0.282,0.356008108108,0.0797823233577,0.996,0.2855,0.371493693694,0.0867856193296,0.986,0.332,0.433803603604,0.117660869537,0.995,0.417,0.439425225225,0.0941948678322,0.996,0.248,0.326713513514,0.0798767395471,0.996,4.0,1.0,0.0,249.208,249.20771,3.425,0.0,0.0,-9.925,103.996,0.93615123807
114.90462,114.901589244,4435.31482314,228.76342,116.35979,116.355675385,4529.25562617,232.6283,80.003045,95.26777625,6417.06539857,219.10788,-11.243,-12.284324424,25.50998195,55.58,0.03206,0.0403952718894,0.00126363509976,0.45863,-18.042,-19.015437788,21.2036616102,48.858,124.28177,123.106706479,4218.20426151,233.05569,116.481445,116.476785572,4529.26542558,232.86018,45.388,44.2872119816,20.1783742961,51.115,15.69,15.3118036866,1695.9849102,286.9,3.332,7.05716497696,1070.7630952,256.567,5.219,8.10206267281,829.689992302,321.129,-22.783,-21.4866691244,540.997459963,177.885,-21.616,-19.7850488479,426.208281746,154.581,5.118,5.64806912442,448.869226761,160.93,-2.328,-1.83413456221,198.339615818,141.377,-5.188,-4.74668571429,198.501428217,140.925,1.756,1.84465437788,200.247327509,96.071,5.673,5.66158525346,115.679266956,81.421,-0.498,-0.0943059907834,223.825420242,168.947,0.427,0.462168663594,0.057709605654,0.974,0.765,0.723633179724,0.0795243926318,0.951,0.404,0.424658986175,0.0617691740322,0.98,0.447,0.546616589862,0.11619744931,0.978,0.36,0.404700460829,0.0662638835482,0.984,0.341,0.390692165899,0.0688978130723,0.973,0.33,0.426158525346,0.0982638513674,0.983,0.204,0.234887557604,0.0332910491079,0.981,0.197,0.240000921659,0.027281903225,0.981,0.167,0.190316129032,0.017542990385,0.975,0.344,0.402703225806,0.0768729073168,0.974,0.234,0.329910599078,0.094564809519,0.989,4.0,11.0,1.0,230.65,237.87057,2.206,0.0,0.0,-9.191,123.755,0.931655794013
104.07148,104.061176882,3663.18167027,207.66992,105.4826,105.471243904,3702.80301449,210.47709,94.492545,97.33015,4322.05910562,202.11276,-11.127,-11.3419942529,11.1414269745,22.885,0.040335,0.0424649917898,0.000406591863916,0.22525,-18.4725,-19.4756781609,22.3501731854,32.564,111.206215,107.91509243,3637.96293794,210.66005,105.62314,105.612367619,3697.82229864,210.76248,45.892,45.073500821,11.178083649,27.588,41.027,43.0350065681,2551.42829538,405.14,10.144,13.911683908,2359.59750482,397.261,14.214,16.9222183908,1141.05387919,454.964,9.455,15.0652799672,1364.05576891,286.094,-16.948,-14.1963284072,659.548444544,353.128,47.7975,42.3830377668,1756.591524,270.204,6.657,4.62434646962,456.356677632,145.627,22.9465,19.5528990148,921.04021826,190.185,-0.3225,-2.00032101806,544.237867192,152.131,-4.371,-4.12179392447,200.909316934,196.987,16.397,20.8129802956,885.8139615,200.947,0.4345,0.469319376026,0.0885734948791,0.993,0.493,0.546878489327,0.115750349767,0.985,0.117,0.179013957307,0.0314676574407,0.994,0.1485,0.290120689655,0.0993599517723,0.995,0.159,0.226706075534,0.0419982929188,0.996,0.183,0.297068965517,0.0889391348168,0.995,0.2465,0.333176518883,0.0681709745882,0.991,0.219,0.320579638752,0.0723394965312,0.992,0.3195,0.466785714286,0.144553813688,0.996,0.2405,0.412816912972,0.134426423786,0.995,0.3025,0.405526272578,0.101666186912,0.993,0.1375,0.271667487685,0.0897579838526,0.997,4.0,8.0,1.0,210.146,215.11791,0.0,0.0,0.0,-8.288,106.412,0.92708807346
