barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
173.16107,172.593106687,9814.52664156,341.03485,174.21173,173.639502,9902.56366883,344.15891,169.98734,166.429376923,10893.5651726,337.16519,-11.235,-12.7708679896,36.7373029584,56.49,0.0355,0.0420108714409,0.000828477083365,0.29102,-18.745,-20.2135556514,49.2035271011,51.993,160.29601,164.020480578,9981.33706927,344.61946,174.34227,173.771038244,9902.23291711,344.4195,45.001,43.4671311475,38.8040539517,53.14,-7.116,-7.49441501294,1315.52123636,310.692,-41.671,-35.7862553926,1479.17803212,272.817,-10.9,-11.9987756687,929.13791512,607.026,-4.147,-4.97293615186,666.454313568,176.707,-21.546,-17.5803822261,633.892318492,184.533,8.528,9.32898446937,617.893060374,172.02,-2.078,-1.56407161346,361.574637331,179.063,15.48,16.432525453,286.031833181,128.625,3.617,3.42637446074,312.446731599,135.713,-3.81,-2.99807765315,191.604846569,102.639,-8.472,-9.38367903365,175.751052277,83.197,0.123,0.192946505608,0.0415732499425,0.996,0.292,0.472982743745,0.157358099789,0.987,0.117,0.200132873167,0.0462957787209,0.994,0.103,0.278348576359,0.124397402222,0.996,0.088,0.178069887834,0.0485439390329,0.999,0.112,0.24414322692,0.0939373858709,0.998,0.131,0.296876617774,0.1249406362,0.998,0.073,0.150927523727,0.0388829921588,0.998,0.121,0.287031924072,0.113239751354,0.998,0.066,0.159886971527,0.0575493496059,0.998,0.056,0.123649698016,0.0285136719391,0.998,0.047,0.0960931837791,0.0241740430855,0.999,4.0,1.0,1.0,342.831,357.66812,0.061,0.0,0.0,-8.878,114.319,0.542307526169
107.91252,107.856689048,3874.40334042,214.21748,108.65225,108.589647682,3914.05220947,216.41461,70.49498,85.4890588889,4676.38512771,198.72196,-9.049,-10.300707132,29.4492761009,30.452,0.04305,0.0591164036419,0.00320765295323,0.61993,-14.526,-17.2100591806,70.3303415003,52.764,110.37773,108.412093323,4033.46219237,216.73202,108.55978,108.497919721,3914.09583544,216.5972,48.125,46.5021001517,39.8142408397,32.946,2.716,-5.12236722307,2423.86885034,328.688,18.969,23.7351836115,1918.69440383,405.04,-6.351,-1.86380121396,1833.35637961,435.904,-1.604,1.79068133536,1132.35076252,263.536,-12.87,-7.87746433991,764.910276273,288.954,-10.07,-10.0726676783,513.670140128,202.825,-4.87,-3.20529286798,397.84687058,145.71,1.55,2.43947040971,337.817822574,127.202,0.382,0.822109256449,242.734398528,174.983,-0.315,-1.18076783005,245.522459626,147.942,-8.166,-7.75814112291,239.305216173,100.832,0.53,0.561382397572,0.12207177183,0.967,0.158,0.253962063733,0.0662645797445,0.997,0.147,0.292790591806,0.100902098789,0.997,0.085,0.169447647951,0.0372880985491,0.996,0.187,0.29806676783,0.0810403779396,0.989,0.349,0.458508345979,0.125953051144,0.994,0.144,0.205673748103,0.0383764474292,0.997,0.194,0.327342943854,0.101835773133,0.994,0.103,0.164159332322,0.0311343797725,0.998,0.18,0.317391502276,0.109456915011,0.997,0.126,0.274314112291,0.106445043974,0.999,0.124,0.199931714719,0.0413508344873,0.997,4.0,5.0,1.0,216.613,227.76118,0.0,0.0,0.0,-7.084,163.913,0.516396407073
130.15735,130.194978295,5706.43435164,259.61207,131.94149,131.970206269,5795.65181251,263.22375,139.53549,138.706916667,6453.17742655,258.43534,-11.969,-13.1826282183,24.1676218031,55.635,0.03795,0.0454584552008,0.00116358202851,0.29256,-24.085,-24.1026333677,42.9491288625,51.516,126.55107,127.988115324,5616.34540223,263.89247,131.94213,131.97026756,5806.83352638,263.73284,41.674,41.1204552008,23.451110695,52.46,-16.161,-6.44904531411,3254.55311123,390.477,-76.503,-70.2384047374,2798.77091534,334.897,-9.928,-8.99528527291,2419.44903579,399.102,-13.151,-12.3873367662,1015.89429245,188.45,-9.414,-5.27053553038,1719.22319798,236.822,3.205,3.73112873326,857.12861755,191.554,2.735,4.18933367662,890.264990511,253.273,6.694,7.34790319258,445.684010083,131.003,3.906,5.43927291452,546.030676967,184.777,-1.233,-2.4961822863,500.712503457,161.247,14.625,15.6779443872,413.844639925,117.006,0.327,0.43146961895,0.114242949386,0.999,0.332,0.448790937178,0.126249815201,0.994,0.104,0.18561277034,0.0407522887762,0.999,0.093,0.19433676622,0.0622970575463,0.999,0.062,0.150832131823,0.0433458760427,0.999,0.095,0.18752523172,0.0559136746981,0.999,0.121,0.328201853759,0.144229730625,0.999,0.135,0.200505664264,0.0481185733459,0.998,0.168,0.354822863028,0.139806489735,0.998,0.1,0.179174047374,0.0439176741359,0.999,0.081,0.172192584964,0.0474698135804,0.998,0.186,0.322139031926,0.104096272122,0.999,4.0,1.0,1.0,260.551,267.28444,0.099,0.0,0.0,-10.278,118.336,0.482137585065
113.115985,113.078873636,4262.39113709,224.38018,114.3976,114.363772176,4343.73114572,227.83465,85.65752,90.5195225,4097.85862157,192.3191,-6.3015,-7.0329255618,10.9534463695,44.654,0.04035,0.0506297331461,0.00169626391945,0.33887,-11.1585,-12.4627710674,27.7462640529,53.764,113.42186,113.758296559,4017.90338911,228.33034,114.291,114.256704662,4343.73018316,228.04925,51.264,50.2644719101,14.9462075161,45.358,-4.8005,-5.41193960674,1352.8085501,512.207,37.237,34.031369382,1077.21848399,234.986,-0.1015,-0.512356741573,1018.74279854,640.84,6.7935,5.87829775281,487.531476451,227.374,-23.7775,-20.8655070225,388.22060827,167.46,3.5395,4.07781460674,437.486658859,148.664,7.269,7.60599719101,325.258920393,279.104,3.34,2.47310393258,186.233160335,137.406,1.51,1.06393960674,196.371444708,117.368,1.358,0.80627247191,171.273352608,204.144,1.4255,1.4544241573,139.239930365,75.1,0.229,0.276095505618,0.0347287436877,0.977,0.4235,0.490088483146,0.0758219795303,0.966,0.177,0.211641853933,0.0193004180797,0.978,0.3295,0.384721910112,0.0766502428907,0.979,0.1875,0.217386235955,0.0206410544735,0.975,0.303,0.351570224719,0.0447404164168,0.987,0.5785,0.605901685393,0.084666038087,0.976,0.269,0.316762640449,0.0373489422559,0.989,0.7225,0.624268258427,0.141561145734,0.983,0.231,0.282662921348,0.0393048217712,0.986,0.266,0.410367977528,0.113739156727,0.975,0.1635,0.221585674157,0.0333868325476,0.985,4.0,1.0,1.0,228.27,236.09424,0.0,0.0,0.0,-5.612,140.035,0.461128965382
160.25334,160.273116108,8512.95229325,318.3632,161.43205,161.456644823,8619.13420785,321.55137,139.40311,147.323657692,11330.0732929,318.02399,-10.048,-10.7511158107,29.7074272786,55.37,0.04741,0.0572143705942,0.00197341903931,0.55693,-16.706,-18.2550342397,42.8249133322,52.255,153.31873,154.773146838,8372.37788375,322.59642,161.333325,161.358140373,8619.10909445,321.74993,46.412,45.4227673716,29.1995410285,54.833,-40.024,-37.5283484391,2232.73001487,391.566,-26.509,-23.3136233635,1685.91547851,345.593,-17.978,-16.1597623364,1494.6215471,698.132,15.153,11.4703101712,817.270418544,229.431,-15.385,-10.0138670695,824.375686655,259.579,-1.457,-0.431740181269,622.894276831,166.423,-6.937,-6.94464048338,671.301933519,235.345,4.69,5.00032628399,384.529073863,135.145,-6.769,-7.18142396777,272.061957952,152.205,-1.62,-2.10355891239,230.384919362,113.388,5.611,5.65386706949,337.15070824,115.614,0.165,0.276805639476,0.0802453489309,0.993,0.104,0.185371601208,0.0469126403617,0.994,0.188,0.243284994965,0.0404792752733,0.991,0.255,0.394438066465,0.107120606688,0.983,0.095,0.161629405841,0.0273758364767,0.991,0.114,0.177498489426,0.030518052616,0.993,0.108,0.193358509567,0.045779180635,0.995,0.313,0.441361530715,0.119695479567,0.992,0.295,0.452772406848,0.136864216076,0.986,0.191,0.281379657603,0.0606333211169,0.99,0.491,0.557902316213,0.108630402341,0.983,0.127,0.198520644512,0.0371821468548,0.986,4.0,3.0,1.0,315.321,324.70159,0.567,0.0,0.0,-7.408,152.292,0.452304491835
100.80019,100.820700991,3377.07905035,199.5694,101.25574,101.274926532,3423.25753675,202.31045,86.290095,92.25745,4390.92439846,195.69811,-9.5015,-10.9902033898,25.0987436479,55.827,0.033385,0.0469347740113,0.00207451412467,0.38148,-18.2845,-20.1808926554,71.7655725591,52.595,100.40549,101.652830424,3501.45807326,202.57882,101.25574,101.274819339,3415.60653071,202.31045,46.053,44.7449110169,35.1886829652,53.704,-5.3265,1.2183700565,1563.18196784,348.089,-23.1875,-22.9456581921,2374.7886632,340.09,-6.1675,-0.00453813559322,1763.80999719,345.075,-4.5455,-3.56920903955,1137.56675656,209.939,-15.8475,-10.2139774011,1053.44002248,332.848,-19.2425,-15.7872048023,642.530457632,168.296,-0.9965,1.02158333333,508.252698079,171.067,8.9635,8.90866242938,227.804683249,112.991,-1.8905,-2.40087570621,279.835327925,137.218,3.1045,3.82949435028,313.522970391,183.354,-6.6405,-5.67354378531,262.976487468,95.435,0.4895,0.543836158192,0.130051094625,0.994,0.253,0.311252824859,0.0548314092434,0.987,0.265,0.377600282486,0.0924378472881,0.984,0.127,0.184124293785,0.0286354704268,0.998,0.147,0.241177966102,0.0670896039213,0.993,0.1035,0.146891242938,0.0218170008838,0.998,0.202,0.27436299435,0.0590120391391,0.99,0.432,0.533298022599,0.113373488866,0.986,0.161,0.193759887006,0.0223574112723,0.988,0.136,0.233560734463,0.0606460909441,0.993,0.115,0.215281073446,0.059295606026,0.995,0.2835,0.410231638418,0.116936646909,0.993,4.0,7.0,1.0,203.198,209.52771,1.054,0.0,0.0,-8.647,132.397,0.450992311636
148.86609,148.902263386,7410.59988253,296.68235,150.04111,150.087060749,7509.6547431,299.85539,164.19792,153.413901111,9713.62062979,297.01164,-15.523,-16.250462203,38.7377093198,57.015,0.05009,0.0622838444924,0.0047410634133,1.2172,-23.6525,-23.7672311015,65.6451079185,52.193,145.603765,148.45059216,7863.94769695,300.29392,149.943075,149.988372536,7509.62361078,300.05806,40.579,40.3772386609,43.5013884193,53.759,-25.1045,-21.7197840173,2106.59504177,360.775,-50.114,-41.1511144708,2245.62252478,239.058,-22.092,-22.371349892,1052.58221591,308.058,-8.637,-4.71396328294,1208.77286699,286.077,-14.642,-9.3276349892,852.45098704,292.796,-2.0095,-2.71708207343,630.404229995,187.675,-1.3925,-1.58137580994,414.18943814,194.576,18.527,19.6115885529,469.512428385,137.746,5.0975,4.27705615551,338.454463107,140.599,-4.3,-4.79712526998,229.249965606,162.803,9.335,9.51315010799,267.575927469,126.034,0.072,0.155429805616,0.039595055008,0.999,0.202,0.350611231102,0.120996347779,0.997,0.1405,0.334032397408,0.134029551866,0.999,0.068,0.138726781857,0.031006736367,0.998,0.138,0.253483801296,0.078005232459,0.995,0.099,0.160977321814,0.034826858017,0.999,0.108,0.257339092873,0.106244649595,0.999,0.064,0.120344492441,0.022635668582,0.999,0.1305,0.200560475162,0.0423942420231,0.996,0.4465,0.556159827214,0.142556639682,0.983,0.126,0.197578833693,0.0376348247788,0.991,0.074,0.207141468683,0.0843882834423,0.998,4.0,2.0,1.0,295.944,305.42322,0.218,0.0,0.0,-11.689,152.257,0.433005077275
204.548805,204.792307798,13976.4826592,407.47171,205.72697,205.966152677,14169.6906801,411.69195,181.812365,184.953022778,15177.2915726,399.26134,-12.165,-13.8877407407,40.2649412702,47.462,0.04404,0.0637571028807,0.00405421227654,0.73844,-19.287,-21.2999407407,76.8423731734,52.552,195.78789,198.301110971,14196.0477311,412.20499,205.84479,206.083528189,14169.7242287,411.92587,44.209,42.5448074074,50.6120529325,48.989,-16.56,-18.7176123457,1307.24189321,277.822,-11.563,-17.3877135802,2191.83817814,267.361,-13.339,-12.1216962963,1353.86422487,439.265,12.124,9.44284691358,768.864982558,196.143,-17.24,-10.7310748971,900.740394993,342.911,-9.704,-10.7766790123,558.495783996,158.491,-3.155,-4.19456213992,359.792536147,162.563,24.345,24.2008436214,299.355891156,135.738,5.26,3.53432427984,268.832141024,128.835,-3.638,-3.2967037037,218.7209354,144.374,-0.027,0.15583127572,217.237700446,101.986,0.193,0.305883950617,0.0875598408535,0.996,0.251,0.388623045267,0.128892801115,0.998,0.137,0.202427160494,0.0376579796738,0.998,0.254,0.380349794239,0.111238187932,0.996,0.12,0.219484773663,0.0630019979163,0.997,0.112,0.211443621399,0.0598119554634,0.998,0.098,0.210203292181,0.0667631018822,0.999,0.169,0.240684773663,0.0533535426077,0.997,0.335,0.475712757202,0.150719366874,0.997,0.141,0.18738600823,0.0315626666355,0.997,0.152,0.27897037037,0.08904185262,0.998,0.122,0.220759670782,0.0637271899785,0.998,4.0,1.0,1.0,401.949,414.56281,0.0,0.0,0.0,-10.103,127.988,0.428702262523
207.874255,215.570269419,16281.8620035,437.12582,225.14735,225.418057945,17120.9872101,450.71634,311.63128,249.934582,24924.0642299,447.07121,-14.535,-15.788409675,41.8377152184,37.249,0.06196,0.0878093650794,0.0142507348906,2.2391,-19.289,-20.8361708239,51.9857156685,47.375,214.81079,221.146178488,15952.7057012,451.27102,225.001615,225.275719862,17078.4358361,451.00396,43.02,41.7164247921,43.796168976,38.507,19.664,12.6231262283,2556.37648331,364.17,24.111,25.4022834467,2497.25887818,349.11,-13.913,-13.6667142857,929.602056431,346.074,10.576,12.1067037037,919.783468187,304.045,-15.125,-12.224260771,318.851946522,144.278,-25.716,-25.4942252457,761.563169958,197.998,-3.667,-4.42736205593,325.90635112,173.763,3.925,3.23283522298,450.862838927,151.527,-3.441,-3.96385260771,204.8117839,138.392,1.008,0.0596092214664,161.639184356,119.248,13.551,14.239250189,456.638284295,127.371,0.219,0.344163265306,0.101441876595,0.995,0.188,0.318135298564,0.101317167635,0.993,0.139,0.233697656841,0.0623729199265,0.994,0.189,0.304872260015,0.0891133132365,0.996,0.195,0.305476190476,0.0853791156463,0.995,0.126,0.231001511716,0.0645520377906,0.998,0.125,0.212815570673,0.0565357135293,0.996,0.134,0.225553287982,0.0592353492012,0.998,0.215,0.342873015873,0.100361716301,0.992,0.183,0.287811035525,0.079941870566,0.996,0.187,0.308386999244,0.0903796128922,0.996,0.246,0.384256991686,0.115825962678,0.995,4.0,11.0,1.0,449.039,453.43302,0.0,0.0,0.0,-11.25,52.468,0.427582886208
98.36662,98.4643967717,3253.93134694,195.92298,98.95229,99.0474963725,3279.70479864,197.87403,87.52481,77.6705772727,3140.27697128,173.53832,-8.911,-9.86566317365,22.41325393,57.098,0.03319,0.0456663922156,0.00225572881588,0.4924,-14.172,-15.8341871257,40.5880092419,52.786,97.942135,94.8767967515,3221.7299139,198.01143,98.95229,99.0475299117,3273.29845791,197.87403,48.5615,47.0838907186,26.3530055105,53.564,6.73,1.37020209581,2044.6797073,376.8,-4.312,-10.6700613772,1632.58493059,222.429,-11.5995,-14.3598592814,1050.99236403,578.209,-7.158,-6.62191766467,721.380562827,153.682,-22.6955,-19.5582065868,560.845952969,262.202,-22.9555,-20.7310553892,486.859361681,139.867,-2.5195,-1.81126796407,458.904534187,231.551,5.024,5.78935329341,299.884477139,123.334,0.403,1.01473053892,225.746725092,115.468,0.3415,-0.0530299401198,193.168977493,141.806,-7.472,-7.27478742515,195.527443332,102.656,0.25,0.303791916168,0.049282434246,0.991,0.2715,0.345850299401,0.081409797949,0.998,0.144,0.215131736527,0.0428600185736,0.996,0.259,0.301097305389,0.0456578722682,0.994,0.5935,0.610221556886,0.106271313188,0.97,0.2665,0.299146706587,0.0454826641059,0.995,0.206,0.29747754491,0.0777965039868,0.998,0.174,0.22401497006,0.0418715117519,0.996,0.3005,0.381263473054,0.0882590413604,0.992,0.38,0.503342814371,0.136024608526,0.995,0.2095,0.256505988024,0.0356830104432,0.989,0.4245,0.480143712575,0.0940638985084,0.995,4.0,9.0,1.0,197.346,199.75791,0.212,0.0,0.0,-7.229,154.552,0.419125892959
