barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
91.06275,91.0612231429,2801.88770062,181.65516,92.22689,92.2257525237,2837.80974116,183.97999,93.681155,87.353115,2966.43143892,178.38614,-13.558,-14.8176224,24.5621626606,51.914,0.03505,0.045423936,0.00120240357011,0.32707,-23.685,-24.1068672,32.92866272,47.577,90.42694,91.730166384,2762.66044556,184.18426,85.38548,85.6524965385,2732.53671197,170.29409,2.245,3.0900112,784.880642961,207.073,0.637,1.6782448,941.88238815,295.648,3.59,2.7428224,753.285804354,159.447,1.555,2.5813664,787.117397723,154.167,3.237,2.568,792.218791504,167.355,4.389,3.8822592,873.032743997,217.242,3.516,3.8460512,857.502991943,257.813,2.073,2.9229728,864.898470618,212.213,2.731,2.3566176,801.64160694,197.217,3.172,3.7414464,768.806486068,196.695,2.087,2.8065648,821.093646367,187.088,4.309,5.1626096,917.155038833,255.731,3.0,8.0,1.0,179.142,188.02893,0.194,0.0,0.0,-12.507,103.03,0.618885126263
91.867435,91.8674907143,2899.79980296,183.21213,94.20588,94.1992231095,2963.17454322,187.86883,94.8727,89.6336681818,3905.78175448,181.48495,-8.081,-8.89436351876,18.7156736311,56.792,0.033,0.0466213195343,0.00152592108364,0.35329,-14.76,-15.5797089263,29.0708540796,53.453,93.72027,94.1028484088,2889.43582079,188.1258,92.423895,91.8516525714,2902.95554857,183.43301,-1.648,-2.35801552393,839.849000763,187.705,-1.705,-2.02409443726,806.12609281,178.649,-0.833,-0.834842173351,843.209559603,227.781,-0.371,-0.207122897801,876.851384074,224.02,-0.855,-1.36172186287,853.661368827,191.52,0.374,-0.218359637775,873.27611377,284.19,-0.092,-0.99090297542,840.791524936,188.754,1.509,-0.141821474774,841.360005086,177.781,-0.802,-1.29135834411,833.866785115,163.375,-0.228,-1.33240362225,870.457396766,218.431,0.481,-0.0854514877102,820.215130051,183.045,-0.647,-1.22994049159,826.74961313,177.393,5.0,11.0,1.0,181.638,191.00689,0.479,0.0,0.0,-6.827,90.07,0.585962237888
124.8399,124.742715719,5166.04860907,246.82474,125.25739,125.153103847,5222.30384504,248.52104,119.28864,121.433386,6143.72108084,245.11779,-6.017,-8.22296573876,38.5167479003,58.725,0.046805,0.0661283511777,0.00382979793882,0.63463,-13.9195,-17.1199603854,107.655385882,55.778,110.78819,114.991463266,5114.70413546,248.64304,121.23036,121.543073733,5194.90494889,241.38444,5.8915,8.33799678801,1427.60232853,356.236,6.39,8.33781477516,1511.63948913,388.679,6.6225,9.91199571734,1641.22430893,384.63,4.249,8.50358672377,1704.35706563,515.864,5.633,8.22886295503,1688.36918626,385.392,6.4115,8.13887044968,1503.3183961,347.714,4.4025,7.43664239829,1453.33714325,325.327,4.6465,8.23850321199,1701.82814118,512.499,5.9725,9.6970856531,1438.66917926,371.841,5.922,7.95742291221,1379.89690378,313.217,4.493,7.641124197,1636.8504173,403.368,6.5995,8.6560856531,1504.94205319,330.581,3.0,2.0,0.0,248.314,257.20118,0.169,0.0,0.0,-5.258,215.656,0.576130489682
92.33152,92.3240505435,2824.38253165,182.09702,93.582765,93.5746302941,2917.5821883,186.61858,64.83406,77.6411976923,3032.17438938,180.87493,-14.729,-15.561315942,20.1997562915,51.457,0.03775,0.0484639855072,0.00148937693122,0.28659,-21.5635,-22.7911246377,30.6851761787,47.659,92.672515,93.6649622899,2941.06870353,187.10254,91.83021,91.6782954839,2879.39198193,181.60037,-0.042,0.80528115942,786.056801486,256.428,-0.806,-0.829942028986,1043.29574843,468.949,-0.702,-0.55945942029,875.036515547,236.743,-2.645,-2.22876956522,845.98266674,225.585,-0.013,-1.16764927536,867.801236025,240.646,-0.899,-0.861753623188,869.744538435,277.099,-2.071,-3.16930434783,898.607993304,295.954,-1.4425,-2.4447115942,947.031659823,382.378,-2.772,-2.28606666667,756.964471929,202.45,-1.0775,-0.741333333333,901.187046408,227.989,-2.0685,-1.14623623188,824.611436598,225.833,-1.026,-0.837305797101,846.421091346,233.196,4.0,5.0,1.0,183.432,192.1824,0.199,0.0,0.0,-13.406,119.914,0.535404974437
132.93743,132.583569266,5659.26025693,259.89282,132.36717,132.260313476,5775.74711088,262.88977,126.041605,126.355293571,6086.04646015,256.80784,-5.6875,-6.49115913978,16.8467912069,58.27,0.039555,0.0594639139785,0.00378601736769,0.63244,-10.6315,-12.5241150538,32.6151421018,56.238,117.3768,123.235563796,5638.63770671,263.48481,129.05446,130.601865342,5628.14410285,256.89889,7.7285,11.1720655914,1098.40382488,242.285,5.647,9.19568172043,1125.11972951,256.634,7.0455,10.8586150538,1120.35023535,248.812,7.264,11.8438870968,1177.6941359,287.808,7.9525,10.1728903226,1156.63368301,296.27,7.624,10.2629387097,1089.23394349,295.759,6.3135,9.2895172043,1090.96852088,268.318,7.186,10.6949569892,1175.34690613,308.09,5.379,9.45083870968,1157.40935634,288.124,5.8735,8.68171290323,1167.32951678,265.064,7.495,10.9396666667,1145.41832864,277.349,6.243,10.5251580645,1138.1955251,296.558,4.0,5.0,1.0,251.089,272.71791,0.16,0.0,0.0,-4.908,99.705,0.509851689404
124.85895,124.388879262,5233.74965696,249.04527,126.040445,125.8604303,5305.18814441,251.73738,117.782085,107.436084167,5038.05190202,237.56992,-10.8245,-11.6968697368,24.3891172554,33.383,0.04997,0.0707691973684,0.00492911356528,0.78606,-20.2435,-20.3484723684,45.4787168387,54.127,124.167825,125.619445237,5119.7866568,252.16041,122.501365,122.1771761,5292.41608408,244.29299,1.8985,-0.516421052632,1350.04845375,377.009,-0.188,0.735864473684,1302.021698,277.054,0.0055,-0.395256578947,1323.04857186,286.157,-0.2525,-0.019,1540.80442189,479.582,0.7865,0.787264473684,1315.04896079,314.883,-0.061,0.245125,1221.72762134,273.447,0.552,-0.108256578947,1269.54793001,265.247,1.902,1.11245789474,1336.34571038,281.738,-2.226,-1.09352763158,1273.48022358,259.4,-0.414,-0.52765,1292.54770822,269.456,-0.9075,-1.51936315789,1240.76351517,281.747,-0.3755,-1.92171710526,1352.69146291,281.493,4.0,9.0,0.0,252.105,268.64281,0.0,0.0,0.0,-8.383,142.896,0.507489844445
120.88058,120.948546901,4829.2419156,236.98865,121.84458,121.913736302,4946.47247243,242.65838,104.89402,102.660427273,4935.06215618,236.4831,-6.3705,-7.67741602067,31.6046715324,57.443,0.04495,0.070688255814,0.00528345431001,0.72814,-11.549,-13.2461124031,41.7494017664,54.35,115.89882,115.266087997,4889.15529535,243.10998,120.40056,121.02162712,4888.5208879,240.4607,2.05,5.25482816537,809.061396974,193.128,3.2195,6.58894702842,874.974921022,241.433,2.2535,5.10716149871,789.461295293,189.002,-0.3645,4.23839793282,860.637561012,226.155,0.8825,3.92781007752,803.180967275,171.535,-0.1185,3.29830749354,801.657616841,179.907,-0.1465,3.68946770026,866.847569515,266.211,2.023,5.11181007752,801.727316818,163.394,1.063,5.19322351421,855.260626435,201.09,0.7645,4.11916020672,756.621428158,199.494,0.698,4.07616537468,792.110728391,205.844,0.99,3.79940310078,857.514374016,224.37,7.0,2.0,1.0,226.162,254.17098,0.201,0.0,0.0,-5.564,124.069,0.506270993523
148.30933,151.024655493,7987.34488176,297.42931,151.8615,151.928151368,7753.2699446,303.05539,115.42485,135.092106667,10830.3461414,297.99402,-9.546,-10.8108117073,32.235768067,48.118,0.0417,0.0560784390244,0.00220903389181,0.42899,-19.032,-20.8903531707,61.6662189094,53.617,151.43433,153.656964722,7907.82680189,304.26649,149.772285,149.90761122,7709.97826589,298.67131,4.659,5.26142829268,1278.10756689,321.565,3.148,4.37361463415,1295.55286611,378.249,6.244,6.65976292683,1274.64861802,352.79,3.554,4.94499902439,1447.54048823,440.259,3.715,4.15370146341,1198.64292016,294.651,4.827,4.54765268293,1390.27074185,343.803,4.47,6.2968097561,1356.42464516,341.016,2.816,4.23038439024,1330.07939399,376.375,3.395,3.93462829268,1380.1738915,343.3,4.273,5.12691902439,1311.92442961,290.591,2.648,4.20619707317,1214.43082883,367.506,3.25,4.88687219512,1284.25031561,321.844,4.0,10.0,0.0,295.039,314.64444,0.0,0.0,0.0,-8.051,65.31,0.483977246171
178.16774,178.28084,10532.1974865,351.56687,179.86525,179.918903618,10663.5034685,357.01973,186.01579,174.046854667,13268.5292983,352.5116,-16.6745,-18.5060138889,71.2728200554,53.751,0.04645,0.0599929166667,0.00307279299242,1.19311,-24.7795,-26.0404984568,67.7372786343,51.951,180.50424,179.819958164,10427.3737331,358.88898,179.57835,179.496911835,10614.7048378,353.73924,-3.8915,-6.69977777778,1488.9102945,319.757,-4.088,-7.75803780864,1596.06500928,425.554,-4.5995,-6.9090787037,1573.35066352,392.6,-4.879,-7.36732716049,1509.22732681,341.593,-3.8875,-7.60061342593,1576.8483153,330.097,-3.617,-6.69710802469,1500.15715966,297.012,-4.656,-7.4562037037,1629.28519375,308.956,-4.724,-8.77881944444,1592.8031614,299.724,-5.994,-9.52887345679,1574.10533908,361.875,-4.9165,-8.26384645062,1489.51190592,276.756,-4.098,-7.68981018519,1595.35548426,464.73,-3.2405,-7.64981404321,1522.96407131,305.31,7.0,11.0,0.0,333.009,373.10649,6.223,0.0,0.0,-13.288,109.989,0.480238747979
119.75553,119.763310435,4799.74422559,238.48121,120.407255,120.416277148,4835.03688047,240.67449,104.10499,112.365463077,5526.94672109,239.09346,-6.339,-7.73234587996,23.7837568997,25.137,0.03667,0.0480645269583,0.00133073931165,0.24812,-19.711,-21.0988484232,66.900184151,53.751,120.06118,121.038336887,4814.96266925,241.0434,116.382715,116.161251739,4790.91548125,231.70607,3.365,2.7347121058,2012.99006048,428.62,1.406,3.12519125127,2177.23121419,434.649,1.501,0.849407934893,2128.21419868,446.225,0.238,2.77998067141,2280.36629547,403.474,1.927,3.61194710071,2144.96191145,450.011,2.071,2.31353611394,2400.94966154,501.98,2.474,3.25907019329,2323.70336932,438.341,1.715,1.87416276704,2289.86331747,450.21,4.343,3.03233367243,2705.60317933,462.646,2.615,2.39169684639,2157.04708864,405.324,2.822,2.2918982706,2370.26194228,453.72,4.053,4.26773753815,2162.64275825,429.641,4.0,0.0,1.0,241.279,247.90159,0.0,0.0,0.0,-5.856,138.004,0.479148201117
