barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
91.77153,91.7565287952,2885.78631552,183.15152,92.89363,92.8768130448,2938.89663455,186.54501,78.76309,81.8719525,4249.16541091,182.61844,-7.036,-8.14728355705,37.1160551662,60.488,0.04264,0.0507990100671,0.00118795495422,0.28922,-15.074,-16.4059815436,50.4347929577,55.785,99.35524,98.9676515101,2772.13385109,186.85837,93.033445,93.0164684627,2939.04025924,186.82907,48.963,47.7755285235,38.2330573532,56.513,-35.878,-32.653102349,2802.46418536,427.389,11.206,11.1718439597,2632.50594077,290.168,8.2815,4.80944463087,1515.28764814,273.777,-14.923,-12.9932902685,822.381930619,205.228,-3.6375,-0.88777852349,871.116426629,201.02,6.447,3.65317281879,413.821481113,111.594,-6.691,-4.32686744966,563.556715461,165.767,10.5675,7.81245805369,368.071194148,118.427,-10.46,-11.4691258389,375.759101617,138.063,0.3015,-0.0784010067114,297.451516838,121.895,5.045,6.43078020134,216.90529338,94.818,0.4885,0.557612416107,0.107329123269,0.995,0.208,0.289687919463,0.0685659026057,0.999,0.095,0.182770134228,0.0525200696449,0.999,0.081,0.145209731544,0.035350702657,0.998,0.156,0.22363590604,0.0402936040128,0.997,0.792,0.650176174497,0.14332313507,0.995,0.1265,0.154979865772,0.0177642177154,0.996,0.096,0.157469798658,0.0281781953966,0.999,0.054,0.109645973154,0.0284315709737,0.999,0.119,0.196441275168,0.0474554814507,0.995,0.072,0.25019295302,0.111330964447,0.998,0.141,0.195572147651,0.0325260669424,0.998,4.0,5.0,1.0,180.773,190.04036,0.409,0.0,0.0,-5.122,106.955,0.866022714309
92.303795,92.3144676923,2806.41955367,181.16681,93.772605,93.7843294654,2915.83035928,186.4908,73.188765,77.430944,3205.6298617,179.95173,-10.89,-11.2554752475,16.3117559014,55.745,0.03302,0.0464045261669,0.00178353752181,0.39327,-19.519,-20.3707157001,54.319024707,51.605,92.86526,92.6099214003,2878.48892185,187.29324,93.77408,93.7843073312,2925.0429072,187.11537,44.919,44.3689165488,23.3074980425,52.511,-46.136,-48.7612008487,3859.57026664,486.984,-11.784,-9.43509335219,2526.39028339,320.301,7.717,9.45271711457,1944.93326112,468.118,2.663,2.63941725601,1095.89527637,181.194,-16.608,-12.3980919378,1116.746297,356.214,14.045,11.7276039604,718.79742111,164.211,-20.68,-18.1564724187,971.090877304,271.089,-0.274,-1.06556718529,320.062456562,115.572,-11.452,-12.3094186704,569.983435177,153.185,2.66,2.14814427157,411.443840429,147.135,-9.548,-8.51103960396,278.316737402,113.65,0.432,0.497230551627,0.10900609819,0.997,0.41,0.435330975955,0.0913750474563,0.993,0.135,0.28626874116,0.098950377566,0.997,0.148,0.262284299859,0.0743572897535,0.998,0.242,0.36887553041,0.111146618171,0.998,0.203,0.376411598303,0.138479781082,0.995,0.123,0.204644978784,0.0510212190802,0.996,0.146,0.313350777935,0.119893478086,0.998,0.078,0.177366336634,0.0519727356702,0.995,0.121,0.27141301273,0.0985238605379,0.996,0.065,0.198628005658,0.0773033425254,0.998,0.105,0.192065063649,0.0427462927964,0.997,4.0,0.0,1.0,186.654,191.08526,0.961,0.0,0.0,-9.136,102.013,0.842818469332
119.49945,119.091507385,4699.12908304,235.76363,122.028145,120.463307702,4700.72586231,238.01744,93.532955,97.85845,4483.40988663,209.26261,-17.349,-17.902929432,72.7019616112,53.38,0.05729,0.0838330464716,0.011329302331,1.87506,-25.481,-25.534080895,85.1468777439,52.991,116.63687,117.681021824,4655.92328599,239.18136,122.02189,120.462382182,4712.81447184,238.62614,38.248,38.4640413081,72.6599449725,52.824,-55.445,-60.9893166954,6244.68769182,408.727,18.953,23.0982168675,2695.48816852,312.798,-5.153,-5.0493253012,2058.06845694,316.097,1.745,4.42408089501,1242.05569984,225.181,-4.373,-0.720457831325,902.088871821,192.165,-0.798,-1.71396041308,834.234032537,165.031,0.011,-0.648437177281,800.929239175,240.764,2.816,-0.713864027539,839.256771615,173.92,-6.768,-9.04144406196,438.401229283,179.11,-0.346,-1.7833253012,443.422731937,120.304,14.87,14.9129913941,337.450442311,108.534,0.071,0.138493975904,0.0339205219086,0.995,0.166,0.289526678141,0.0931123456738,0.996,0.142,0.322282271945,0.128417479703,0.996,0.07,0.118729776248,0.0182002901461,0.996,0.15,0.324518072289,0.123730545715,0.994,0.081,0.171907056799,0.0580594612411,0.996,0.174,0.329929432014,0.110561755777,0.996,0.054,0.120858864028,0.0383798802528,0.996,0.131,0.230051635112,0.0636152365765,0.997,0.33,0.463025817556,0.144353515685,0.989,0.09,0.147488812392,0.0277141018542,0.995,0.111,0.270905335628,0.104705965221,0.996,3.0,9.0,1.0,236.205,247.87546,0.188,0.0,0.0,-10.565,98.044,0.821264715876
91.80837,91.9572265285,2837.09671446,183.6952,92.65082,92.6760742986,2874.45721962,185.60342,73.07667,80.9907423077,2769.73407791,178.78948,-16.855,-16.8799684211,45.4736403218,55.778,0.046955,0.0572028245614,0.00184505110939,0.49906,-23.54,-23.9767578947,38.3916885133,49.886,84.77857,87.7126888246,2969.09878915,185.77955,92.65082,92.6760742986,2874.45721962,185.60342,40.169,39.5814719298,38.8275459825,52.769,-105.9995,-93.8751245614,3637.89931488,383.029,-3.075,1.35125614035,1910.51905711,251.328,-8.893,-9.18701403509,1143.57633133,211.537,37.4855,37.2046596491,1061.78081546,174.306,-10.689,-6.40803684211,880.567608769,224.346,-18.7845,-18.5935982456,542.436096886,160.471,-13.2855,-12.2130333333,670.03786519,197.363,3.0825,2.99082280702,326.663612002,109.829,-8.642,-10.7952947368,464.923524439,175.859,0.8805,0.629952631579,308.508741343,129.48,3.429,3.80078596491,433.906731354,123.183,0.1105,0.28041754386,0.107276250219,0.991,0.1305,0.213264912281,0.0482668473653,0.985,0.454,0.531440350877,0.121160302582,0.988,0.079,0.114689473684,0.0126833053278,0.992,0.063,0.109943859649,0.0224583126377,0.993,0.3565,0.456905263158,0.134284850674,0.994,0.069,0.115205263158,0.0163025175162,0.925,0.066,0.279649122807,0.141047315482,0.997,0.056,0.0958859649123,0.0125691992767,0.993,0.134,0.256454385965,0.0735901987966,0.995,0.2015,0.371971929825,0.133806978159,0.994,0.081,0.168742105263,0.0424496650693,0.994,4.0,2.0,0.0,176.843,191.73832,0.165,0.0,0.0,-11.452,251.817,0.815032953536
69.61337,69.9830060847,1664.07050289,140.75842,69.61337,69.9830060847,1664.07050289,140.75842,71.12171,59.483626,2383.3123245,133.78893,-9.977,-11.8383435701,50.3395363445,57.753,0.04128,0.0556665834933,0.00202746355877,0.34444,-26.78,-26.2987965451,56.4834111333,52.163,71.6254,71.5407481958,1441.52237228,141.13465,69.61337,69.9810016637,1652.33965633,140.75842,42.233,41.0448771593,39.050941079,51.703,-30.712,-33.9319443378,3621.98935826,404.988,30.16,32.3145796545,1897.60588279,293.438,33.49,40.4969712092,7222.77126782,533.861,-0.719,1.25290403071,767.104857284,148.712,19.902,26.0099443378,2459.220175,277.243,-14.065,-16.2422763916,835.332035674,159.814,-7.766,-8.23681957774,950.289958716,218.898,8.1,8.25644721689,417.192910193,118.587,-1.478,-4.07042610365,614.656165899,183.064,1.584,-0.788216890595,996.337606369,191.842,13.631,13.1471266795,247.226379769,112.373,0.325,0.402953934741,0.0928627387609,0.988,0.489,0.543126679463,0.109446114471,0.971,0.816,0.713854126679,0.0949638865905,0.98,0.16,0.226677543186,0.0383360687663,0.99,0.173,0.251462571977,0.0538943138583,0.992,0.162,0.249071017274,0.0516469450525,0.993,0.263,0.335982725528,0.0628985236939,0.99,0.294,0.368074856046,0.0884074588879,0.991,0.152,0.214610364683,0.0397825986642,0.989,0.284,0.393393474088,0.0875958240649,0.973,0.182,0.24079462572,0.0472469693377,0.99,0.182,0.2633243762,0.0572834053367,0.995,1.0,2.0,1.0,136.748,146.23302,0.142,0.0,0.0,-8.091,81.697,0.809206828645
109.461955,109.468363269,4025.96312078,218.30616,111.544495,111.252085833,4092.49938491,221.65133,105.74422,97.5795930769,4277.64814421,208.07509,-21.795,-21.7794974182,66.5581650521,52.964,0.06082,0.0867717383821,0.012370428909,1.34981,-29.287,-29.3944371773,81.5157155473,51.355,104.42866,108.472289793,3460.1224789,222.75342,111.38481,111.119809119,4092.40792418,221.93845,34.517,34.4848209983,65.8410937649,52.329,-125.956,-125.287633391,5946.85739374,443.03,-1.044,-2.49662306368,2932.90961052,334.341,-15.106,-11.4605731497,1704.39795171,393.934,16.274,18.5260619621,931.818806698,154.662,-10.578,-3.91301549053,1346.77760951,410.214,8.674,4.98137693632,778.038797371,158.812,5.475,2.99785197935,1005.49538644,274.582,6.335,4.26032702238,733.702376857,156.762,-8.695,-10.6766092943,476.185027357,194.647,-3.309,-5.22690361446,502.338258177,145.927,6.689,7.1094475043,458.147835648,129.284,1.0,0.796475043029,0.0888755368126,0.975,0.125,0.202457831325,0.0427593635402,0.992,0.161,0.237757314974,0.0514980942881,0.995,0.113,0.218905335628,0.074208367975,0.993,0.11,0.215111876076,0.0641672491016,0.988,0.094,0.272681583477,0.114616754033,0.995,0.067,0.100383820998,0.0101383810808,0.666,0.215,0.300592082616,0.0624698387669,0.987,0.068,0.119907056799,0.0220772271619,0.998,0.112,0.19265060241,0.046999500985,0.992,0.111,0.224005163511,0.0731854474776,0.994,0.153,0.213860585198,0.0352002335756,0.984,4.0,10.0,1.0,202.124,222.98077,7.79,0.0,0.0,-14.413,114.329,0.804500725726
177.68661,178.249902103,10818.2823753,358.05015,177.68661,178.249902103,10818.2823753,358.05015,192.74245,183.948758667,12831.5482159,346.5929,-19.151,-19.0076067687,53.2716569413,49.698,0.05603,0.0708430378727,0.00263332663743,0.6871,-28.775,-28.0936333602,49.3769417165,51.882,179.87048,178.732919742,9811.51999883,358.48132,177.68661,178.249131256,10803.8419535,358.05015,36.862,36.8587824335,41.0815198479,51.926,-105.768,-105.619386785,6640.99171428,440.524,36.181,38.0383650282,2547.39090595,384.714,-0.885,2.82530862208,2508.83993196,426.334,32.097,32.6660572119,1386.52829421,234.075,1.611,9.04637228042,1388.55784672,390.374,-20.382,-19.4333755036,846.018404662,221.469,3.984,0.778062046737,934.463611067,252.596,-11.022,-12.5514657534,857.526752028,170.588,-16.323,-17.8465761483,570.019207018,175.965,8.799,5.3286825141,694.019758425,207.195,19.321,20.0712788074,563.758425108,155.455,0.149,0.245609991942,0.0652198930186,0.99,0.136,0.289084609186,0.109605447313,0.995,0.071,0.110938759065,0.0194532887556,0.996,0.074,0.125076551168,0.026597563036,0.996,0.087,0.131397260274,0.0193070355767,0.993,1.0,0.729157937147,0.123513236941,0.995,0.096,0.186193392425,0.0602818433407,0.99,0.072,0.13772280419,0.039067230173,0.997,0.152,0.280950846092,0.0911925060448,0.998,0.058,0.0951297340854,0.0135707575446,0.997,0.089,0.219534246575,0.0883522987869,0.997,0.083,0.120443996777,0.0194915071376,0.995,1.0,6.0,1.0,344.996,362.05669,0.318,0.0,0.0,-12.778,123.2,0.798777087971
113.26831,112.307652857,4144.73111228,220.89397,113.1908,112.757468803,4234.53374725,224.19124,104.57904,111.546452727,5017.71765891,217.87238,-18.051,-18.3220357698,55.339657599,53.744,0.05433,0.0845180093313,0.0105459998573,0.9989,-23.931,-24.6181446345,78.6659925965,51.107,100.96939,106.547050264,4127.76606299,224.70195,113.1908,112.757420287,4224.09623373,224.19124,39.631,38.8948958009,58.9242512971,51.413,-147.12,-138.469687403,5433.49558426,437.631,59.895,57.3001944012,2057.3058087,300.871,4.385,5.43666718507,1268.57658893,324.552,4.384,7.07930171073,1433.21997218,225.336,-15.417,-9.54148211509,755.632145136,197.72,12.878,14.6019984448,557.920209087,149.719,8.132,9.06789580093,571.631673596,239.738,7.195,6.18740435459,704.046057385,150.294,-2.502,-2.81484914463,435.215797434,182.028,4.071,1.2228118196,362.217568087,169.778,5.953,8.81828926905,597.04609544,139.13,0.576,0.570982892691,0.150046079023,0.988,0.136,0.226253499222,0.0617697071223,0.99,0.088,0.150486780715,0.0316577583789,0.992,0.103,0.183161741835,0.046566169796,0.992,0.096,0.165357698289,0.0386747491903,0.992,0.135,0.338188180404,0.140267294293,0.996,0.094,0.125223950233,0.0142061986799,0.991,0.314,0.408898911353,0.0934305201077,0.987,0.194,0.350455676516,0.115195716154,0.992,0.089,0.117905132193,0.0127168012645,0.995,0.098,0.231685847589,0.0804579884,0.994,0.118,0.16533592535,0.0210680613377,0.991,4.0,5.0,0.0,215.412,234.94485,0.615,0.0,0.0,-12.316,107.244,0.798465654902
90.94132,91.2580547059,2777.93659232,182.18326,93.7785,93.3331581481,2810.71327658,185.51444,88.17529,85.0498125,3762.2676941,180.87737,-14.268,-15.4747601297,58.5663173687,56.771,0.05558,0.0680802106969,0.0024752679489,0.54261,-23.905,-24.4554035656,62.9515765,53.85,90.561,91.2034455916,2425.58951858,186.36077,93.7785,93.3328564723,2819.09426872,186.07508,41.04,40.2085915721,55.0362131557,53.67,-56.379,-54.941178282,3777.99432069,384.942,66.841,71.2657277147,3378.26542935,378.996,11.544,12.1369805511,1989.66246089,360.864,26.826,26.6823533225,902.7327297,177.94,9.019,14.2654359806,1209.79650747,245.18,-34.623,-33.6542171799,783.351595356,182.053,-2.679,-2.45503079417,932.769533991,207.493,1.487,0.364551053485,471.486890121,152.449,-6.773,-8.2936191248,603.154711714,154.277,2.171,2.29023176661,362.888664528,143.677,15.729,17.7672982172,429.65470747,145.093,0.155,0.25782171799,0.070831264812,0.996,0.583,0.593236628849,0.131524041252,0.998,0.09,0.145792544571,0.0299899083399,0.996,0.088,0.2221636953,0.0853847009186,0.996,0.071,0.148993517018,0.043370910817,0.997,0.143,0.353816855754,0.143888989149,0.995,0.216,0.375265802269,0.127329391262,0.995,0.075,0.139212317666,0.03083066967,0.996,0.125,0.239766612642,0.0772100849145,0.997,0.058,0.127914100486,0.0357137770621,0.996,0.076,0.17774554295,0.0594479271479,0.997,0.067,0.151400324149,0.0456612838249,0.997,4.0,1.0,1.0,181.493,188.36853,2.096,0.0,0.0,-10.124,112.844,0.788268786631
151.270245,151.826480099,7616.43700363,302.17701,152.02533,152.58015187,7713.15825183,305.24174,127.73832,137.022256471,7403.91497791,276.68578,-16.369,-18.7713148974,100.331254599,57.19,0.05054,0.062738162355,0.00331795419894,1.09986,-36.135,-36.0033434434,146.969610461,53.715,154.17719,151.626185156,7696.83690348,305.60372,151.93128,152.486227841,7713.10599914,305.43224,36.198,33.7582247993,99.9622364169,53.942,-14.583,-16.2958296164,6105.74125963,459.668,-27.767,-19.9206092774,6460.33078033,466.864,12.184,21.3983318466,6741.58954644,598.025,23.806,23.0042970562,1375.70940336,227.179,30.345,36.0971570027,3767.54289346,365.269,-15.539,-19.2441962533,1245.84816046,208.764,9.67,7.56204549509,2630.28693559,313.481,-9.376,-7.83242818912,722.153637403,170.068,9.969,14.2744228368,1302.79773569,237.579,-8.668,-11.3384808207,1248.86869051,253.996,6.718,6.42326048171,456.719475961,151.036,0.557,0.583967885816,0.138324295133,0.988,0.373,0.471100802855,0.13463953578,0.992,0.119,0.211228367529,0.0538014197484,0.997,0.078,0.209838537021,0.0794848865078,0.999,0.058,0.151274754683,0.0467784722351,0.999,0.056,0.161180196253,0.0616351182876,0.999,0.057,0.119214094558,0.0285021093821,0.998,0.113,0.218280999108,0.0575480628771,0.998,0.129,0.258566458519,0.0895280850123,0.999,0.107,0.199263157895,0.0556677799897,0.998,0.124,0.276060660125,0.10454090087,0.997,0.166,0.267670829616,0.0761925687209,0.995,4.0,8.0,1.0,296.519,307.722,0.136,0.0,0.0,-12.975,159.586,0.783440383615
