barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
109.23219,109.232312437,3990.9711824,217.0335,110.378335,110.381743021,4058.59970107,220.25244,76.35962,80.93,4179.37791958,214.06112,-5.686,-7.40867973856,46.7704224835,53.961,0.03817,0.0460223529412,0.00128946971124,0.26333,-14.9765,-17.9348104575,98.4527355588,56.334,109.081905,109.572119902,4112.6652407,220.47043,110.37833,110.381754411,4050.15664827,220.25244,49.683,47.2441427015,56.0016262552,51.724,38.8305,34.2120446623,2026.7273397,332.526,-20.45,-22.31866122,2498.29546481,442.921,6.684,9.28991830065,2733.93107724,571.324,-27.5085,-27.6351013072,857.269242383,325.292,-5.9165,6.78272984749,2484.48640452,467.776,-1.2795,-0.85262962963,639.956892172,188.557,-4.474,-2.73916013072,706.055521026,245.068,2.5795,2.87015795207,237.71284593,116.884,8.0875,8.31893572985,386.742281666,169.661,-2.1265,-4.08147603486,510.032479406,177.563,1.068,0.784866013072,240.680612482,122.927,0.468,0.486225490196,0.0726625885877,0.986,0.621,0.580680827887,0.120403036473,0.989,0.314,0.314459694989,0.0479474139528,0.99,0.5215,0.491374727669,0.120788626464,0.992,0.3905,0.372530501089,0.077337340573,0.941,0.3385,0.361834422658,0.04212973729,0.982,0.6295,0.62738671024,0.0828871826992,0.992,0.2705,0.333530501089,0.0514879397015,0.991,0.275,0.392347494553,0.100215523038,0.99,0.192,0.257938997821,0.0425911553201,0.986,0.2175,0.300360566449,0.055855306811,0.985,0.574,0.579948801743,0.116564965788,0.99,4.0,11.0,1.0,211.685,221.43955,0.165,0.0,0.0,-4.623,130.499,0.813948890007
114.18136,114.181074355,4367.00683202,227.08273,115.10443,115.104172766,4420.26796322,229.85944,73.56735,82.25417125,4091.18826937,185.71953,-5.044,-5.88147403211,11.113293254,57.758,0.02243,0.0284732389046,0.000637593344467,0.48747,-12.031,-13.1832511804,22.5540824978,54.509,113.01456,113.934020028,4355.25607381,230.39098,115.219465,115.21959002,4420.28558145,230.0893,51.362,50.3773607177,12.4651000229,54.947,68.37,64.7322313503,972.493857387,250.703,-0.097,-2.55301794145,828.856565442,277.741,7.235,9.60875731822,808.866069392,389.804,-6.701,-4.77425495751,491.611501342,206.107,-34.82,-33.1506241737,510.060889396,201.556,12.725,10.4494381492,397.850690822,170.971,-8.574,-10.4687809254,421.061983699,148.34,-3.034,-2.28137488196,168.3568583,112.269,10.696,9.69073465534,199.237626263,138.215,5.802,7.20961661945,287.132611413,176.592,-6.035,-6.28434560907,160.996285616,83.516,0.812,0.61179414542,0.148145612015,0.986,0.575,0.492906515581,0.0851758845562,0.983,0.419,0.389667610954,0.086357825306,0.992,0.235,0.218195467422,0.0301863177887,0.993,0.213,0.216261567517,0.0343520439526,0.988,0.159,0.171245514636,0.0291892655016,0.925,0.227,0.268033994334,0.0495339780701,0.993,0.205,0.333788479698,0.102940348083,0.992,0.203,0.272247403211,0.0589155478568,0.994,0.144,0.287504249292,0.101210784448,0.991,0.135,0.22038904627,0.0493105398611,0.991,0.489,0.558641170916,0.172975366992,0.992,4.0,7.0,1.0,228.589,235.10159,0.165,0.0,0.0,-4.585,129.994,0.80844130487
95.837165,95.8231771111,3066.29459895,189.695,96.90165,96.8888891736,3117.95019164,192.88881,108.08948,100.83235875,4263.61887591,186.94277,-8.9265,-10.2227256637,64.3623905442,58.382,0.05142,0.0674011356932,0.00381406751449,0.82458,-17.871,-20.2311061947,83.9450366052,55.658,99.2395,98.8208400885,3181.95857882,193.55302,96.768805,96.7557422314,3117.9714499,193.15518,46.884,44.8765752212,61.4922976396,54.806,23.5495,14.3216283186,3541.88929279,419.461,-23.6945,-26.8924705015,2065.89212392,331.454,-8.137,-2.89645427729,2788.89642004,363.118,-16.0625,-15.3297772861,1014.22596194,186.735,-3.6325,-0.775300884956,1341.17273807,239.616,13.365,12.4061666667,722.427428868,199.765,1.9285,4.03323893805,942.506124621,212.775,4.769,5.03090560472,303.284476805,139.929,4.126,3.78742772861,495.788930962,195.46,-9.1875,-8.97884218289,391.987187015,185.422,-11.08,-9.10096902655,209.073217408,101.859,0.445,0.449612094395,0.0756708303552,0.994,0.3615,0.442383480826,0.121087988636,0.997,0.3235,0.451005899705,0.140230082561,0.999,0.211,0.263581120944,0.0488170280802,0.999,0.1645,0.288977876106,0.0872400599825,0.999,0.184,0.283969026549,0.0628064193946,0.998,0.2825,0.410786135693,0.110430840693,0.989,0.154,0.270216814159,0.0756156211332,0.997,0.146,0.222969026549,0.0423367350288,0.999,0.1905,0.259466076696,0.0465394081412,0.999,0.153,0.238853982301,0.0551697235166,0.997,0.5595,0.568557522124,0.146231125747,0.987,4.0,11.0,0.0,183.362,194.32444,0.142,0.0,0.0,-5.725,112.656,0.782013094529
114.16224,113.602101899,4216.06967909,224.33155,114.7975,114.231868141,4231.85398305,225.60243,122.564845,106.668760833,4369.55558405,198.99065,-12.925,-17.1773189744,108.277312943,55.566,0.04197,0.0548126358974,0.00529349619418,1.39132,-17.656,-21.8830912821,110.012354192,49.771,112.44517,113.470829149,4038.78209817,226.70467,114.903315,114.336857463,4231.8308743,225.81425,44.891,40.5033005128,107.058675704,50.94,-9.273,-6.24110769231,2012.18027104,346.915,16.587,10.5514482051,2756.55519468,399.074,-9.418,-9.94190564103,799.807166432,447.342,11.878,16.1389087179,595.069581468,188.769,-26.143,-25.8767394872,225.516947674,176.159,9.65,10.1537958974,473.72245872,165.22,-0.011,0.838801025641,187.43433028,183.47,-15.83,-14.5666964103,227.732852308,108.501,-1.707,-1.80557641026,149.3757372,105.975,1.91,1.46082564103,109.36312093,219.173,-4.339,-4.1317825641,193.873881785,116.827,0.556,0.565172307692,0.0906414636434,0.987,0.58,0.580990769231,0.0890526552994,0.968,0.524,0.560458461538,0.0989535282746,0.979,0.263,0.342411282051,0.0641436985394,0.981,0.227,0.279412307692,0.0407085294895,0.992,0.209,0.271066666667,0.0441599965812,0.988,0.275,0.337,0.0547450092308,0.986,0.377,0.493281025641,0.116787219486,0.988,0.256,0.322364102564,0.0540943525575,0.982,0.258,0.339503589744,0.0677375340897,0.981,0.239,0.307983589744,0.0571321679358,0.989,0.265,0.333593846154,0.0605350822185,0.994,3.0,7.0,1.0,226.743,229.48526,16.62,0.0,0.0,-12.414,141.969,0.748565507462
131.36321,131.365367875,5745.23081795,262.38702,131.36321,131.365367875,5745.23081795,262.38702,114.7565,118.330171,6500.14832319,256.35024,-10.139,-10.9341861734,21.736405516,57.489,0.04242,0.0458710855064,0.000387315145638,0.18525,-16.794,-17.8394172226,35.2131426203,54.455,138.37615,136.656837065,5582.36236319,262.69592,131.36321,131.365383185,5750.66226218,262.63488,47.086,46.1265263796,24.4343562833,54.097,8.448,8.19594542147,2607.65934096,343.505,66.455,78.718396604,2847.9983954,288.443,22.221,23.9537543966,823.973623596,508.035,-23.648,-17.5441200728,1356.15922069,256.132,1.773,2.30437598545,345.476168825,196.123,-0.045,-4.53751788963,848.131153856,195.139,-7.185,-7.25416191631,280.183021788,137.156,5.625,5.72366403881,309.279358261,131.001,0.251,-0.165090964221,210.578080432,101.785,2.083,2.94696785931,147.183498333,150.394,2.131,3.76281261371,452.469984593,171.719,0.475,0.489894481504,0.119121845749,0.99,0.533,0.556932080049,0.133829527224,0.996,0.152,0.223592480291,0.0439808575784,0.997,0.182,0.243089144936,0.0454799635511,0.996,0.373,0.468710733778,0.104252364475,0.992,0.174,0.236886597938,0.0378636481466,0.996,0.237,0.354768344451,0.089907193152,0.993,0.162,0.277878714372,0.072548852482,0.996,0.256,0.378388720437,0.0984309968649,0.997,0.257,0.388322013341,0.10696794179,0.997,0.199,0.320881746513,0.0841476009342,0.99,0.208,0.363186173438,0.117107777953,0.994,1.0,4.0,1.0,261.927,267.2322,0.409,0.0,0.0,-8.093,241.976,0.744076473418
96.54722,96.6329535714,3048.79468747,189.79268,97.4065,97.4881573289,3117.72517362,193.20226,92.25709,91.3110609091,3569.44743659,190.68133,-5.8025,-6.90370549451,29.6035982979,53.506,0.042615,0.0497484725275,0.00322998024679,1.03118,-11.5905,-12.4907406593,27.2018478119,54.108,95.01068,96.1354553736,2893.91045942,194.41474,97.4065,97.4881251947,3126.9559455,193.77106,51.472,50.4262087912,28.1249607696,54.838,35.319,36.5666010989,1048.86403897,240.078,49.773,56.2671406593,1405.53598211,266.188,7.74,7.35655274725,313.433754216,190.788,-24.3715,-21.273256044,703.712827896,176.849,-5.796,-6.36491868132,375.937499385,111.864,-13.2645,-14.5087835165,634.993866367,182.748,-11.7435,-11.3680285714,199.155003417,176.226,14.1245,12.2949549451,496.845908362,193.571,0.281,-1.08357912088,183.942874492,99.017,0.38,0.215123076923,118.450761044,71.118,-2.4565,-2.70692857143,230.040776126,136.72,0.386,0.48838021978,0.119387444444,0.987,0.4155,0.459072527473,0.087723992542,0.991,0.367,0.452203296703,0.0944849202089,0.986,0.2605,0.32261978022,0.0529988400483,0.982,0.369,0.508502197802,0.131367819226,0.992,0.194,0.249253846154,0.0359955850127,0.994,0.267,0.306169230769,0.038347048284,0.993,0.2995,0.374023076923,0.0755007544125,0.986,0.1915,0.322107692308,0.0771658411496,0.994,0.3395,0.426112087912,0.106287983041,0.995,0.193,0.36940989011,0.1209466221,0.993,0.212,0.313143956044,0.0735746243316,0.995,4.0,4.0,0.0,188.592,199.13098,3.088,0.0,0.0,-5.02,140.012,0.738226300783
107.809965,107.848453019,3965.54747427,215.41929,108.581055,108.619689131,4003.68900532,217.99768,96.994505,97.889375,5214.93050285,212.87641,-7.2075,-9.26986390533,59.9021572862,53.978,0.046485,0.0648869822485,0.00455494399385,0.91244,-15.2045,-17.539816568,82.3406073273,55.069,115.24662,114.377161716,3866.65023955,218.50281,108.711685,108.747962007,4003.81242259,218.25559,49.1005,46.7424023669,60.2755024417,53.148,22.858,9.5208683432,3886.39851062,337.428,-2.87,1.28885207101,2591.10043403,369.591,-10.397,-2.05987573964,2197.81507371,589.943,-13.6385,-15.8396360947,764.657528486,206.324,-12.3455,-2.95227071006,1459.78001037,397.488,-8.331,-9.62499408284,446.324264796,157.638,0.789,2.4056760355,767.222119695,226.413,11.681,12.591362426,349.654290267,147.153,3.7835,3.35951923077,602.390936158,167.466,-1.7665,-1.62870118343,295.827699286,153.578,-13.658,-12.9254378698,260.142069489,97.248,0.2935,0.359176035503,0.0854135710825,0.994,0.244,0.348146449704,0.0907363705643,0.989,0.085,0.151344674556,0.0315327732113,0.999,0.08,0.119113905325,0.0155072784457,0.941,0.1075,0.180448224852,0.0442640224673,0.998,0.1245,0.189230769231,0.0425580147929,0.996,0.2315,0.428636094675,0.153178444496,0.995,0.1155,0.191687869822,0.0408795283144,0.97,0.122,0.202717455621,0.046834977861,0.998,0.141,0.319383136095,0.132702342852,0.997,0.093,0.184658284024,0.0424514379639,0.998,0.2905,0.479152366864,0.18038615282,0.998,4.0,11.0,0.0,209.479,220.13342,0.0,0.0,0.0,-5.492,116.497,0.725642505493
93.83905,93.8074931818,2940.28333441,185.66287,95.180575,95.1407299719,3007.49037684,189.45084,52.987095,62.72299875,2553.73605287,145.00232,-5.452,-5.86065022422,11.1500233754,18.103,0.05566,0.0743162182362,0.00421339687553,0.5139,-11.825,-13.7501405082,37.7811170744,55.783,94.462,94.7009016592,3022.15283427,189.77991,95.04674,95.0072581039,3007.52130415,189.72509,51.614,50.631754858,13.0159085318,34.427,19.91,20.8243213752,1392.39497623,303.887,15.786,8.52708221226,2282.20574874,308.84,-6.991,-4.95185799701,1641.17978583,510.449,-7.04,-3.66893124066,750.428862782,250.75,-12.451,-5.09337369208,905.22135717,316.788,4.217,3.33591330344,436.747232578,168.81,-1.238,-1.2732735426,468.721043589,163.972,7.509,7.85748729447,313.463765918,125.95,3.009,2.52855754858,344.667194773,160.255,-4.065,-4.17437070254,362.834970559,171.945,-3.617,-4.45806278027,229.359817912,95.12,0.45,0.47979671151,0.0714788943988,0.989,0.429,0.486775784753,0.129322093225,0.991,0.192,0.317708520179,0.0933027177301,0.996,0.18,0.256720478326,0.0615467694013,0.997,0.22,0.325053811659,0.0985145561477,0.998,0.178,0.307756352765,0.0932803905613,0.998,0.256,0.358245142003,0.0851276349727,0.995,0.136,0.269167414051,0.0777916162177,0.997,0.17,0.241723467862,0.0534204272669,0.998,0.16,0.258910313901,0.0697746825394,0.996,0.182,0.232065769806,0.0416848596504,0.997,0.842,0.715799701046,0.104229750613,0.99,4.0,6.0,0.0,188.912,192.28689,0.0,0.0,0.0,-3.648,112.031,0.711373403428
92.04267,92.0366865217,2868.60044393,183.50966,93.05454,93.0449184011,2884.55323415,185.52936,97.83605,93.722938,3519.65427172,179.258,-8.22,-9.6339704918,45.7097394844,52.26,0.05961,0.0643977213115,0.00239347132874,0.47783,-18.4595,-22.4131245902,138.769152529,54.125,92.897305,92.026287459,2709.51260048,186.02458,93.183095,93.1709058943,2884.58562901,185.78219,47.0755,44.9211868852,59.1786541946,51.656,42.066,38.0605967213,3085.11098168,364.1,-2.3525,-4.93663442623,3295.14718666,339.033,0.508,16.7800639344,4420.04556409,563.313,-4.381,-1.15930655738,784.552102268,195.02,-0.0095,8.5165442623,2017.16296829,326.482,6.9955,5.33298196721,608.464179506,191.919,19.246,19.768804918,1161.02470002,220.491,3.4335,3.77534918033,326.607849063,124.79,15.876,19.5148639344,614.54546598,146.023,-10.5235,-10.7809377049,752.987734117,192.355,-4.763,-4.67271311475,224.692352572,93.841,0.434,0.480718032787,0.115702146724,0.994,0.4365,0.46382295082,0.0964528866864,0.989,0.3075,0.332668852459,0.0518635723085,0.992,0.142,0.197678688525,0.0302038410212,0.993,0.208,0.261398360656,0.0527119478662,0.992,0.158,0.235367213115,0.0492079602365,0.993,0.325,0.42731147541,0.103469702983,0.971,0.246,0.408816393443,0.130938317108,0.991,0.1355,0.217555737705,0.0437536731228,0.995,0.1815,0.291596721311,0.0763830767106,0.995,0.159,0.267085245902,0.0638771796184,0.992,0.455,0.552172131148,0.15818177201,0.994,4.0,2.0,1.0,170.307,186.90567,0.0,0.0,0.0,-7.039,119.015,0.71018777509
266.88903,266.96538045,23748.7025833,531.94112,267.582705,267.658029526,23913.5587387,535.14788,225.34878,245.110016875,27537.2046057,526.95665,-6.013,-7.62035616438,29.4082486512,57.683,0.02859,0.0403625479452,0.0015706954092,0.70549,-14.73,-16.9754129159,70.0067317227,55.066,278.39837,272.630889476,25531.3542207,535.4956,267.698125,267.773459918,23913.5754717,535.37259,49.748,48.1033745597,35.9240697403,55.55,49.541,53.0509632094,2132.86623562,386.51,-30.421,-34.7263189824,2703.86955336,412.833,-0.263,7.67676399217,1551.19799046,531.936,12.245,16.2406187867,1027.18352661,250.437,-25.659,-23.6517033268,645.732249316,317.53,1.0,0.99412446184,709.424664536,221.438,-4.002,-1.65179960861,468.596349204,178.306,-2.591,-2.57215772994,263.655667731,139.444,3.024,2.37578982387,381.6708526,142.901,5.373,5.66306731898,216.843393851,137.777,5.218,5.24111428571,263.130289027,138.384,0.512,0.505657925636,0.0720001397366,0.972,0.798,0.690468493151,0.101461719066,0.954,0.527,0.549715459883,0.0963685793109,0.982,0.266,0.292591780822,0.0316961828679,0.981,0.296,0.369982778865,0.0715860388424,0.979,0.199,0.264738551859,0.0383808247956,0.967,0.313,0.399737377691,0.0773805529473,0.981,0.261,0.369801174168,0.0859273232863,0.975,0.207,0.307464187867,0.065876431105,0.984,0.283,0.395781604697,0.0993218677634,0.981,0.204,0.293505675147,0.0555925615138,0.976,0.425,0.505122896282,0.101959278047,0.988,4.0,11.0,0.0,524.365,550.32118,0.09,0.0,0.0,-5.43,130.003,0.707947874403
