barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
95.42071,95.3829308966,3047.87104912,189.9079,95.91632,95.8772221478,3069.05383009,191.57104,75.15734,74.813857,2885.43284407,167.56669,-12.756,-12.8129634002,61.6445528806,49.392,0.03502,0.0446840377804,0.00129535227886,0.46789,-24.362,-24.8586694215,33.8747324976,44.668,91.91905,93.6558868595,2772.39444736,191.7302,95.09001,95.9508359794,3063.09175293,189.90789,6.442,5.79689256198,2133.83211531,366.3,6.343,5.67119362456,2076.01307531,385.383,6.339,4.82933293979,2044.70152478,432.33,4.915,5.94211924439,2252.21215079,350.624,6.748,7.07819716647,2254.94489026,389.88,4.651,6.06897284534,2244.5885712,444.003,9.148,8.56072845336,2312.74143025,400.759,6.138,5.64477922078,2205.34666934,443.743,6.734,7.59984415584,2078.58787392,387.495,6.866,7.09715348288,1989.72916702,377.787,5.682,5.29744510035,2147.2375065,415.249,7.82,7.66586658796,2235.91526646,392.697,4.0,0.0,1.0,189.248,192.07791,10.704,0.0,0.0,-6.345,182.003,0.721548783953
147.574775,147.30294595,7014.73374796,288.27624,147.73008,147.966518333,7011.80732565,291.05087,118.81719,117.285482727,6817.48537605,284.74901,-8.971,-9.71761383061,35.0811702712,36.54,0.03916,0.0564224087024,0.00350244754851,0.99989,-16.539,-17.5803791764,31.8749320412,54.268,143.48975,144.655013885,6868.24015841,292.05152,144.86258,144.666885147,7017.45414185,284.2334,3.13,3.47203885004,1089.22201353,329.229,3.844,3.38071561772,1156.26136945,375.246,2.998,3.21181662782,1115.40577193,346.13,4.597,4.25507925408,1133.45881829,352.636,2.903,3.44501398601,1214.01285688,564.521,3.013,3.47534421134,1132.72700751,332.061,1.817,3.42933411033,1104.00754084,363.663,2.93,3.31307536908,1216.04016865,366.513,3.663,3.94525097125,1119.25639303,332.648,3.444,2.63691841492,1128.78017442,392.542,4.903,4.15457575758,1169.64891604,351.345,3.823,3.82361849262,1068.77253284,365.52,4.0,3.0,0.0,292.284,292.28363,0.0,0.0,0.0,-4.782,171.039,0.6749732951
134.40097,134.36123009,6053.60046307,267.1185,135.9153,135.879641183,6163.6513286,271.38409,134.39413,132.53179375,9634.96209804,267.32321,-10.066,-10.7108443616,20.8242863868,44.651,0.04063,0.0496807082945,0.00164624845243,0.57167,-18.451,-19.1969282386,22.2686884058,51.583,122.23823,128.400345983,5501.66584624,271.90848,135.31238,135.798825503,6136.3405495,270.16558,5.015,6.47889841566,934.045283869,337.154,3.46,5.29978471575,883.490125617,317.364,5.316,6.68450792171,877.811854256,378.339,5.762,6.73753774464,928.033071067,338.289,6.793,6.44878844362,828.053859686,307.247,3.549,6.13936905871,828.818744678,326.46,2.659,4.84456011184,942.837347124,334.732,3.169,5.64022180801,934.270380361,301.925,3.304,4.92659273066,917.562357125,316.574,5.43,6.35289841566,899.466905599,255.329,2.735,4.90182106244,1008.13364337,331.975,4.433,5.95074370923,894.957588028,339.837,4.0,7.0,0.0,260.214,272.92689,0.0,0.0,0.0,-8.09,98.929,0.665043194393
99.189675,99.2311904487,3286.72295711,198.25335,100.14006,100.196098951,3341.76739529,200.93683,97.28445,85.355286,5259.48281397,190.89456,-8.683,-9.02455806088,8.05229370999,18.517,0.04389,0.0532205524239,0.0025851831254,0.81147,-16.582,-16.6411521984,13.3668013489,41.714,87.24018,88.4644131229,2763.44749314,201.37823,96.324985,96.4329184615,3280.51789563,192.99452,3.761,5.20437880496,903.709344328,341.301,2.804,4.8368951522,870.364748572,339.236,3.321,4.62971815107,848.398163325,334.406,4.063,4.03597745209,884.182451749,307.97,4.649,5.15307215333,868.830273233,329.864,3.687,4.41109244645,834.018358844,268.245,3.301,4.62623111612,849.242932523,359.416,3.985,5.10418602029,847.366666359,343.632,4.046,5.02049154453,883.932842189,330.073,4.684,4.71435851184,862.341756534,335.314,3.46,4.25636978579,869.717740481,330.132,2.881,3.99739909808,820.094781933,330.653,4.0,1.0,1.0,202.161,202.16118,0.0,0.0,0.0,-7.287,188.746,0.621583072024
122.522225,122.640642244,5040.62458771,244.56946,123.69957,123.823319203,5089.21845389,246.93583,106.598345,102.8684,4772.38598621,209.02674,-10.085,-11.5459103512,86.265646394,55.371,0.03339,0.042228336414,0.0010807081281,0.40819,-20.514,-22.2438271719,66.7886082021,50.634,125.83234,127.228923087,5087.34463301,247.36993,119.377845,119.572011346,5035.6691421,238.67147,6.581,7.95407301294,1558.52405125,430.101,6.5835,7.69259981516,1447.7647633,324.295,4.594,6.52216913124,1490.4641284,346.987,6.394,7.31228927911,1403.92038591,370.539,5.026,6.43571349353,1450.54450136,380.454,5.6735,6.79424029575,1431.47030527,411.335,4.931,6.01264602588,1450.24609144,367.598,4.7245,5.80041404806,1505.78658262,378.371,4.6955,6.21844454713,1522.51295567,343.287,6.628,5.881,1461.18381425,327.453,5.9315,6.6402181146,1409.32815283,314.888,5.772,7.53931053604,1509.85368954,433.171,4.0,9.0,1.0,245.748,248.97261,11.831,0.0,0.0,-5.812,152.591,0.606926463601
84.04834,84.0498572131,2277.88181394,162.6247,85.85891,85.839351746,2427.391304,169.02494,100.30975,81.152962,4334.87471097,164.47779,-10.688,-10.6735435631,7.04467960051,19.681,0.0433,0.0502346814044,0.0027126576868,1.14299,-19.762,-19.8857048114,14.2977442055,48.913,79.67837,80.6356507802,2189.24356562,169.92635,79.168805,79.2539921795,2370.55061485,157.93746,3.634,5.0895526658,908.125891974,240.49,3.616,5.99939271782,891.761559445,275.265,3.637,5.57665539662,853.558032663,290.763,4.966,5.59615214564,862.743444935,281.983,1.578,4.4688153446,802.148671997,179.964,2.644,4.57605461638,859.597202525,295.454,2.455,4.29220286086,791.512085111,181.154,1.372,3.81305851756,848.167512606,201.874,4.348,5.85949414824,890.123733381,198.168,4.342,5.74496618986,853.048366181,207.222,3.271,4.65864629389,881.487124733,236.837,3.459,4.1509869961,814.809721225,187.908,3.0,4.0,1.0,170.631,170.63138,0.0,0.0,0.0,-8.828,66.439,0.606926463601
106.48648,106.492169826,3772.50198407,211.50655,107.261935,107.265557291,3838.70484417,214.29166,106.797795,102.366428,4353.25826955,208.23936,-11.806,-12.852223648,63.8995958657,59.114,0.03449,0.0435309165903,0.000830011338482,0.35705,-27.235,-28.2689413382,69.1514621909,46.72,105.09029,105.246902035,3677.10677683,214.69429,107.26425,106.71680513,3794.53687792,212.4346,5.602,7.10048212649,1751.71364123,354.417,7.087,8.7031035747,1790.17915551,374.457,8.126,9.22839321723,1736.70759283,380.813,7.981,8.01707332722,1808.13495094,367.976,6.071,7.47104032997,1740.52364225,367.289,5.736,6.598736022,1624.00724034,335.16,6.812,9.00079743355,1800.98811591,341.968,4.875,6.34642804766,1588.54556545,305.957,8.752,9.91509715857,1760.98056331,372.923,3.765,5.46880109991,1538.8186866,334.784,5.383,8.92387809349,1633.73561748,351.144,5.387,5.97583684693,1718.20003286,363.438,4.0,11.0,0.0,189.568,214.83057,0.093,0.0,0.0,-6.069,194.051,0.604693516714
127.36712,127.842007548,5469.80269056,255.55733,128.41003,128.884115128,5543.18560826,258.52974,88.68293,96.9430063636,5798.43135958,240.10475,-11.372,-12.6781873374,46.4356624905,56.685,0.03737,0.0473924284475,0.00121683940468,0.26329,-22.559,-23.6882194276,52.6874308686,50.864,133.17447,132.65772582,5472.42838296,258.81179,124.463925,125.045803462,5532.17900976,251.07006,4.383,3.08583261058,1647.01963254,320.392,2.78,3.40085689506,1586.71701297,334.444,2.683,2.27493148309,1501.97081168,308.105,2.407,3.04449609714,1536.58300172,410.175,2.358,2.53888464874,1597.79651825,326.051,2.772,1.53095316565,1579.23386202,360.658,2.68,2.76253946227,1513.72743802,343.213,2.95,3.50417606245,1568.78409742,367.923,2.125,1.4075819601,1576.81241244,326.436,4.806,3.38137207285,1582.48651568,324.927,2.385,1.6770980052,1632.95058153,380.754,2.644,2.8019358196,1587.38467549,366.302,4.0,10.0,1.0,251.571,259.60444,0.062,0.0,0.0,-8.605,144.29,0.604693516714
101.70655,101.706221656,3454.20255254,202.27806,102.55249,102.549124161,3500.27100701,204.68432,73.895925,85.8966766667,3964.47503097,197.77476,-10.866,-11.0186769068,9.9702948882,20.741,0.041145,0.0479362923729,0.00160274824663,0.679,-18.9185,-19.3599565678,15.2685362089,35.102,104.785715,104.180806642,3311.83046838,204.50667,101.70655,102.286890693,3477.45177421,202.95339,5.27,5.87497139831,929.235850926,239.005,6.2535,7.45306355932,864.493197244,218.199,6.122,6.28935381356,824.122342873,223.974,6.4,5.84761228814,908.954333237,232.176,6.1405,6.59153601695,945.419223869,354.385,6.302,6.85820974576,894.430849227,199.114,5.889,5.81159533898,826.099099148,217.548,6.1605,6.03930720339,902.961419817,241.252,6.694,7.72731885593,896.171379724,261.511,6.142,6.43957415254,879.876685219,213.225,5.6945,6.81752330508,795.82472036,226.784,5.285,7.06513135593,877.75913933,243.231,4.0,11.0,1.0,203.912,215.84934,0.0,0.0,0.0,-8.525,178.004,0.603547540577
48.91079,48.905301,793.186321937,96.24463,49.781215,49.7769330282,816.096800645,98.67712,67.36487,48.670588,1475.77240887,93.86774,-12.254,-12.2842489451,55.1422166595,52.852,0.038155,0.0530583966245,0.00270523808477,0.61581,-23.7145,-25.5109367089,58.5509869665,48.298,49.661065,49.2548301266,748.04402482,99.17565,50.47478,49.4934674468,811.606333226,97.9783,0.4805,0.809983122363,2047.10981876,468.158,2.073,1.93875949367,2319.73941379,478.459,0.1395,0.60914978903,2712.9010926,484.15,-0.78,-1.30356751055,1974.43126719,394.541,0.4285,1.21579113924,2052.57338804,349.97,1.2185,0.269654008439,1999.12910644,346.739,-0.2025,-0.558362869198,2206.50899729,385.969,0.8355,2.27079113924,2128.74036695,423.791,-0.986,-0.479894514768,2113.1783435,463.52,0.783,0.450635021097,2024.88303662,416.715,0.823,-0.900837552743,2174.73611411,483.49,0.679,0.270451476793,2073.42075718,444.55,4.0,11.0,0.0,94.778,99.65669,0.357,0.0,0.0,-7.616,172.283,0.603547540577
