barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
99.22596,98.9044690426,3226.71037279,194.63929,99.75208,99.4249752507,3278.17874884,197.79974,66.05886,80.8312022222,4393.02135626,193.20207,-11.472,-12.3639494774,14.2148670619,52.935,0.064625,0.0773167421603,0.00255085020663,0.36863,-17.4805,-18.6613519164,29.3374991932,49.31,99.2939,99.4548576829,3149.24744356,197.79066,99.75208,99.4255615192,3269.54521809,197.79974,45.424,44.5493031359,16.9368732531,50.687,-27.0515,-20.2153885017,1827.37693977,298.671,-1.2,0.908120209059,1000.33164162,193.484,-17.9185,-19.6002195122,895.701377997,315.606,17.616,16.6658902439,440.168221579,141.203,-15.546,-11.7281445993,480.885349075,200.705,8.0155,6.12766724739,406.039448013,138.325,-6.08,-6.90925958188,628.555466666,281.701,6.862,4.11764285714,432.757672763,134.527,-6.82,-7.24296341463,331.295433791,152.529,-4.658,-5.10824738676,158.181994312,113.898,4.25,3.99973519164,250.969152717,116.417,0.2115,0.346970383275,0.10423166637,0.993,0.1455,0.208383275261,0.0407340691279,0.993,0.2625,0.362984320557,0.0865313011479,0.994,0.152,0.260407665505,0.0717336317182,0.988,0.158,0.199235191638,0.0272390683783,0.99,0.49,0.545831010453,0.106651467958,0.988,0.193,0.229451219512,0.0248033103382,0.985,0.321,0.43887804878,0.128153810912,0.992,0.128,0.171254355401,0.0224950711918,0.997,0.176,0.254764808362,0.0561000927685,0.992,0.4855,0.543353658537,0.133344113602,0.995,0.117,0.177031358885,0.0340828910027,0.995,4.0,10.0,1.0,195.274,208.32608,0.096,0.0,0.0,-10.55,114.855,0.731105434429
113.338015,113.235741426,4264.74243142,225.80931,113.338015,113.235741426,4264.74243142,225.80931,103.41507,100.124113333,4639.68132594,220.70186,-6.732,-7.83197930142,27.0477337796,59.213,0.04177,0.05434923674,0.0026617160694,0.49846,-12.581,-14.9287050453,59.7971170825,56.003,102.90195,104.250291966,3888.67634657,225.99837,113.34091,113.235997618,4257.43177982,225.80931,50.177,48.8216701164,37.8132906092,56.815,11.178,8.54198706339,2042.47272769,341.336,41.502,38.444549806,1223.63983727,235.744,5.689,5.94462483829,1115.61549776,259.287,-21.516,-20.4545032342,700.787506742,172.152,-9.258,-2.27884217335,933.578695145,273.193,0.011,-2.26892238034,520.273106967,167.491,-5.518,-6.09878913325,527.042368997,199.011,-3.284,-2.76357567917,273.124491983,128.119,-5.452,-4.37035058215,345.398069374,165.531,-0.126,-0.558579560155,229.126989499,131.032,-4.005,-4.55633376455,248.320711436,106.096,0.188,0.266342820181,0.0478219613876,0.99,0.235,0.31554851229,0.0594024158225,0.987,0.164,0.204970245796,0.0263711776399,0.989,0.265,0.301824062096,0.0393099664585,0.986,0.632,0.60595084088,0.128016331348,0.991,0.202,0.254730918499,0.0325412962885,0.987,0.283,0.375684346701,0.0870358693151,0.989,0.157,0.219750323415,0.035270924725,0.992,0.285,0.35193919793,0.071964954906,0.984,0.269,0.442271668823,0.142618254786,0.989,0.201,0.247419146184,0.0354670791677,0.993,0.37,0.473692108668,0.116156016458,0.989,1.0,4.0,1.0,220.653,228.07465,0.392,0.0,0.0,-5.163,154.176,0.71575045867
150.074355,150.141524519,7512.91306771,297.35162,151.23192,151.296400382,7629.56811641,301.92249,161.705785,146.608809,10852.1463836,289.58439,-7.236,-9.29893450882,50.4338558026,58.151,0.03566,0.0480010663308,0.00186277558148,0.60173,-14.664,-17.0464601175,68.6293947992,54.431,148.6068,149.331553955,7467.44967133,302.74508,151.32888,151.392572886,7639.29810948,302.50338,49.26,46.9806842989,53.9811455225,55.014,-3.643,-8.05652644836,2487.83959038,374.382,44.607,42.4166406381,2068.16574624,387.013,14.803,16.4968933669,1425.79467079,553.206,-30.519,-26.4710092359,1193.5835321,278.583,-9.913,-5.45892359362,986.994885718,327.826,14.174,12.4618337531,515.53732501,162.399,-1.504,-1.86222082284,485.160849154,186.674,0.994,0.0432384550798,343.99649792,146.376,4.117,2.80875146935,335.214319105,134.451,1.292,1.25102267003,326.2907571,179.003,-1.102,-0.23494038623,243.86346971,117.107,0.323,0.412150293871,0.102972987487,0.984,0.315,0.373500419815,0.0709355715783,0.979,0.256,0.354550797649,0.0880473490149,0.989,0.249,0.314308144416,0.054379766508,0.986,0.408,0.503260285474,0.0996032756604,0.98,0.217,0.277143576826,0.0516720406787,0.983,0.247,0.324303946264,0.0636316456519,0.989,0.274,0.36641729639,0.0805462717076,0.987,0.337,0.387651553317,0.066468512506,0.985,0.567,0.585578505458,0.123543128808,0.978,0.277,0.312703610411,0.0468256493488,0.988,0.246,0.3077170445,0.0577604614979,0.989,5.0,4.0,0.0,284.421,305.21424,0.108,0.0,0.0,-6.387,104.019,0.667506138835
114.8796,115.057123873,4420.73722988,229.37564,114.8796,115.057123873,4420.73722988,229.37564,96.0317,106.279286667,5812.70489023,223.29412,-11.39,-12.9467141042,40.4987736807,56.01,0.05155,0.0693668233799,0.0034131407246,0.60234,-17.55,-19.2763189327,54.823605991,52.776,113.96712,113.533670165,3996.9480656,230.1132,114.76702,114.946499172,4429.22345919,230.0348,45.408,43.9082109276,41.3073203189,52.183,-12.058,-17.3888081321,2058.38489086,392.766,30.252,32.7526861499,2620.99445997,366.706,-3.838,-3.02774587039,1248.49519284,310.528,-9.007,-6.55567344346,1337.81423424,239.003,-12.592,-8.41250190597,623.561348354,210.615,1.385,-3.2901931385,849.298004745,224.015,-2.597,-2.02164675985,560.692193425,221.849,13.298,12.8937344346,418.895133262,154.724,1.088,0.595114358323,295.88956846,162.943,-0.781,-2.30489834816,262.824802694,145.466,2.657,3.40798602287,422.336528715,151.633,0.206,0.344054637865,0.11025473272,0.997,0.229,0.336770012706,0.0910454579064,0.998,0.226,0.359612452351,0.109770969248,0.996,0.123,0.195241423126,0.0380946583604,0.997,0.211,0.310078780178,0.0820553025612,0.998,0.182,0.287331639136,0.0855391720993,0.997,0.104,0.160566709022,0.0283124310645,0.998,0.125,0.233213468869,0.0721703966166,0.997,0.123,0.209030495553,0.0496901286761,0.995,0.28,0.421831003812,0.122451825316,0.997,0.3,0.422101651842,0.129257389921,0.997,0.21,0.291081321474,0.068742183984,0.998,1.0,2.0,0.0,221.251,235.54567,0.516,0.0,0.0,-9.22,90.633,0.66632553082
108.86043,108.868628148,3993.56471281,217.27017,110.27823,110.287398934,4053.14548989,220.11675,97.310155,97.901399,4619.87835638,194.40405,-8.524,-9.1654375,17.9194912822,28.18,0.03304,0.0523075694444,0.0030645871309,0.59143,-14.3285,-15.1378833333,28.6701030808,46.11,107.519455,107.043310667,3667.07406249,220.52077,110.37794,110.388715202,4053.16395001,220.32081,48.0765,47.705575,20.4986385916,28.057,-24.761,-30.3725666667,2155.68874973,311.186,20.3475,13.0474638889,1432.36606569,269.524,0.774,1.37810277778,687.894162556,340.857,-31.316,-29.7470277778,594.620008074,208.312,-21.672,-19.2593208333,478.379118898,178.254,13.777,13.8830638889,594.77008701,208.102,-11.2255,-12.2546305556,495.885956052,157.367,24.3445,22.8093486111,336.968021291,124.502,5.9025,3.90417638889,277.094396381,107.268,0.835,1.33795,213.377870681,187.222,7.146,7.00169861111,236.080101802,105.47,0.377,0.522686111111,0.176930345918,0.993,0.257,0.325452777778,0.0636307922145,0.992,0.138,0.241768055556,0.0703343253684,0.995,0.1605,0.2274125,0.0486390062326,0.999,0.2915,0.4345125,0.134022397066,0.996,0.158,0.227906944444,0.0462466705073,0.995,0.171,0.278697222222,0.0712417111034,0.994,0.146,0.2401375,0.0592602352604,0.984,0.068,0.149804166667,0.0361852602604,0.996,0.0635,0.235275,0.112041077153,0.997,0.0745,0.154011111111,0.0322123832099,0.997,0.216,0.290808333333,0.0600117438194,0.994,4.0,4.0,0.0,220.601,230.89587,0.0,0.0,0.0,-6.282,147.976,0.654186343224
119.112175,119.105458077,4796.87838566,237.61822,121.131765,121.1239645,4889.97616453,241.66838,83.92267,92.3957945455,4820.1256867,235.03356,-17.569,-18.145583815,101.028190289,41.167,0.04255,0.0488294123314,0.00111260555081,0.37638,-25.2065,-25.7228034682,154.371519736,45.059,109.743015,113.628492177,5093.44203377,242.21084,121.13213,121.123979666,4884.18990183,241.95779,38.134,38.153504817,117.102422202,40.575,-10.688,-15.3458641618,1922.88760349,255.176,16.276,5.65455491329,2926.93750928,295.954,5.9325,5.70295953757,995.641918584,446.663,-1.2615,-1.72451156069,830.476508487,187.963,-13.59,-8.46201156069,735.397185967,283.823,12.35,12.2584007707,577.784604799,177.833,-3.575,-1.04632755299,507.892853139,226.842,0.75,1.57392485549,537.891880382,144.058,2.4885,3.15937186898,317.942827494,155.948,0.3475,-0.656097302505,158.840775514,110.228,14.582,15.2576936416,379.097907214,131.894,0.232,0.290850674374,0.058240662673,0.998,0.1825,0.272965317919,0.0700508330939,0.996,0.3295,0.397840077071,0.0978727663322,0.997,0.15,0.220020231214,0.0472062625965,0.997,0.2725,0.419643545279,0.14109342978,0.998,0.168,0.297493256262,0.0974649416694,0.996,0.221,0.284978805395,0.0466569128456,0.993,0.713,0.635641618497,0.130701087362,0.984,0.209,0.246698458574,0.0292522472231,0.993,0.1625,0.28305105973,0.0937443528842,0.996,0.097,0.143973988439,0.0219194395931,0.998,0.2645,0.350985549133,0.0840014535484,0.996,4.0,9.0,0.0,242.808,242.80771,2.136,0.0,0.0,-10.746,104.023,0.63924848915
111.19778,111.167688132,4109.36228268,220.07284,113.02974,112.998137913,4223.19440635,224.96963,91.999615,94.048378,3429.89786699,218.49543,-19.988,-21.1381441281,39.9918578938,50.311,0.034625,0.0399600533808,0.0006430543653,0.27486,-32.037,-32.7250845196,46.6383196806,44.804,118.13104,115.262333737,4145.94629523,225.6317,113.26006,113.227333726,4223.09819207,225.43269,34.054,33.2549626335,33.8949444025,43.36,-15.8355,-10.7481201068,1802.64472804,259.914,-39.203,-25.5120951957,7265.52209708,451.172,23.8035,24.4354537367,1397.92953986,398.048,-4.63,-2.51441992883,960.131787578,293.601,-1.7195,2.60664501779,1467.63010659,255.038,-1.334,-1.41107384342,889.895372116,203.831,-17.8595,-16.8171788256,445.995425962,197.713,-5.5985,-5.83445106762,671.931869789,194.895,0.6955,0.791457295374,498.247933262,165.041,4.248,4.72641459075,310.269185266,118.511,7.433,6.20344839858,621.784860938,207.863,0.354,0.475290925267,0.137964377106,0.996,0.384,0.462801601423,0.122404162595,0.988,0.109,0.152754448399,0.0261745500247,0.992,0.108,0.182987544484,0.0489171973538,0.997,0.1915,0.28734519573,0.0860308470321,0.997,0.16,0.212224199288,0.0396304052507,0.997,0.2245,0.361997330961,0.119638032911,0.999,0.1185,0.173019572954,0.0279384711471,0.998,0.214,0.347628113879,0.108341870598,0.994,0.2395,0.371463523132,0.111911202406,0.997,0.195,0.303953736655,0.0778445903864,0.994,0.2365,0.35384341637,0.105131959467,0.995,4.0,6.0,1.0,217.85,228.77995,0.0,0.0,0.0,-17.045,98.412,0.629967831373
116.330855,116.478841905,4531.46642665,230.26315,118.054835,118.216444882,4587.24743811,234.022,77.58363,86.458594,4805.60211897,228.24265,-11.6655,-14.156595092,73.4332817962,55.351,0.052545,0.081996809816,0.0279010958567,3.79654,-17.774,-19.9718711656,82.4869417503,53.546,135.85313,126.81715911,4153.55965622,235.76236,117.88167,118.04314201,4593.98767763,234.6943,44.9955,42.9881042945,73.8503741578,54.286,-22.149,-41.5183067485,5666.62527974,442.251,32.646,27.4771825153,1964.47880236,304.554,-4.829,-8.45368865031,1338.79832694,394.213,-21.146,-13.6602269939,1938.20647905,258.47,-16.6215,-13.073095092,664.207420239,263.874,2.5705,1.76464723926,673.831743063,189.461,1.5295,1.55098773006,477.396825773,220.444,6.6775,10.5281472393,664.632502156,182.075,0.756,-0.283742331288,259.836269013,146.069,-0.244,-1.69417944785,279.656750325,144.095,-2.5695,-2.51916717791,461.310437145,164.777,0.1355,0.211411042945,0.0469325427001,0.997,0.343,0.436010736196,0.133869642523,0.998,0.1145,0.239437116564,0.0770230589291,0.997,0.187,0.262196319018,0.057178032011,0.994,0.698,0.64138190184,0.125414196176,0.978,0.2,0.266848159509,0.0516108711162,0.993,0.186,0.291665644172,0.0868571734823,0.998,0.104,0.169733128834,0.0352703735651,0.998,0.188,0.262834355828,0.0588345584516,0.996,0.2375,0.400378834356,0.136802039,0.998,0.1095,0.174274539877,0.0361976347506,0.998,0.209,0.287329754601,0.0647464664153,0.997,4.0,9.0,1.0,232.838,242.75546,5.433,0.0,0.0,-8.655,86.894,0.62829679606
91.150965,90.6647471212,2655.53571347,178.94391,91.150965,90.6647471212,2655.53571347,178.94391,73.357375,76.6058825,2392.32660503,154.75122,-26.7975,-26.8326706827,66.7577841325,50.411,0.046285,0.0559012650602,0.00177999242631,0.28837,-36.338,-35.8893493976,66.6742728819,42.346,99.783715,95.6306700402,2668.53492302,179.61773,91.14932,90.6662178748,2645.32892168,178.94391,28.604,28.6227349398,59.5956578052,45.435,-82.8095,-73.2870200803,4703.31276922,399.378,-91.467,-92.3513574297,3522.40744207,310.93,-29.727,-27.8802811245,2152.21465392,352.845,-32.1865,-32.1273012048,1248.89101089,224.97,-10.458,-4.69816666667,1414.90043733,208.469,12.742,12.5879116466,693.602094482,155.719,6.2595,3.19570682731,810.508904508,206.019,-4.638,-3.83877710843,924.088688555,167.236,3.6465,2.98298393574,551.310067678,150.652,-6.264,-6.15026506024,374.624760524,144.335,26.8665,25.8460301205,339.20839084,110.664,0.2955,0.385497991968,0.100503498992,0.99,0.075,0.160827309237,0.0450249621458,0.995,0.0575,0.122596385542,0.0269912889026,0.993,0.062,0.121297188755,0.0245497871809,0.995,0.2545,0.381949799197,0.11092189507,0.992,0.1775,0.261130522088,0.0656144950122,0.993,0.157,0.251742971888,0.0631319218884,0.994,0.4475,0.526353413655,0.138205682328,0.99,0.1875,0.269238955823,0.0561807039443,0.995,0.129,0.246431726908,0.0712907553789,0.993,0.177,0.342514056225,0.119621691569,0.995,0.3715,0.46815060241,0.123169417078,0.993,1.0,5.0,1.0,178.225,187.03628,0.348,0.0,0.0,-19.994,87.275,0.61799098256
134.53532,134.6018626,5997.32654743,266.28635,135.183435,135.271278228,6077.43617556,269.40353,111.33104,119.6356925,8375.57928703,264.92361,-9.933,-10.1522675159,26.9646365441,59.068,0.04707,0.0601536836518,0.00202971483579,0.56184,-16.167,-16.5642569002,32.9611393905,54.339,131.552585,131.268302304,6006.03092012,270.14435,135.18344,135.271058114,6087.49183573,269.84846,47.1355,46.680388535,26.0613539743,56.278,-1.628,-3.78808174098,1869.32954381,336.231,12.6295,16.2958195329,1016.8141587,247.158,-5.473,-4.455992569,944.522479005,368.166,-8.24,-10.7538450106,985.308270367,187.832,-11.3895,-7.51553503185,511.680923083,146.387,0.1935,-0.394063694268,481.431456964,132.652,-5.254,-8.71943418259,577.022060951,175.168,-11.4305,-10.9371549894,271.796384324,124.15,-6.0155,-7.20060615711,240.491781638,138.625,0.2595,0.754069002123,152.735069003,113.507,-0.387,-0.396692144374,251.250449296,123.253,0.2825,0.36224522293,0.0787445375303,0.99,0.145,0.218256900212,0.0437017705203,0.992,0.278,0.363006369427,0.0973698619552,0.995,0.127,0.174592356688,0.0220097276698,0.93,0.2995,0.391191082803,0.096476405101,0.993,0.222,0.395582802548,0.138088349301,0.996,0.231,0.270694267516,0.0394508640648,0.992,0.3665,0.479109341826,0.132662373395,0.99,0.171,0.20366985138,0.02290185597,0.987,0.261,0.44277388535,0.148867412779,0.985,0.101,0.14602866242,0.0199306456753,0.995,0.191,0.269001061571,0.0550653195318,0.984,4.0,9.0,0.0,269.038,276.97587,0.189,0.0,0.0,-6.501,134.056,0.597494162083
