barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
126.090275,127.078291757,5383.10877131,252.40751,126.95009,127.93855747,5486.09111841,256.20475,116.92079,117.30074,6893.58168989,243.56011,-4.671,-5.84438955224,17.8321770109,58.298,0.037865,0.0669047164179,0.0086670033282,0.98871,-9.404,-10.9410761194,30.5448357867,56.757,119.31263,121.923373164,4870.63955876,256.18753,126.95009,127.938414374,5478.75812027,256.20475,52.531,51.4423865672,20.0478464401,56.133,26.684,28.0773820896,917.005786932,342.554,48.999,48.8878507463,1380.1073069,312.198,3.36,2.61935970149,746.899349759,382.945,-18.811,-19.656419403,834.6688905,234.996,-23.9315,-19.4817402985,503.463194974,184.68,9.6125,8.9959880597,558.851572621,190.715,7.4025,7.85259552239,303.679994698,165.648,3.569,4.77417313433,213.193280272,103.665,7.665,8.43082537313,197.476886401,111.214,-1.873,-2.57709552239,148.945595191,121.807,-5.0045,-4.58818507463,180.454632799,117.697,0.509,0.537935820896,0.0869810182691,0.996,0.5805,0.586608955224,0.0906649187258,0.995,0.304,0.33751641791,0.0357067452528,0.994,0.348,0.384705970149,0.0473110941435,0.985,0.2945,0.316201492537,0.0376877996993,0.996,0.5125,0.552025373134,0.0903286665204,0.996,0.333,0.373004477612,0.0598461955023,0.997,0.361,0.400326865672,0.0553746648006,0.994,0.6005,0.619440298507,0.0867552703163,0.997,0.3885,0.434292537313,0.0652245860637,0.995,0.345,0.439965671642,0.098546436135,0.992,0.3695,0.420597014925,0.0844595032747,0.998,5.0,1.0,1.0,243.426,259.23873,0.136,0.0,0.0,-4.378,175.028,0.738361779104
152.65911,153.453635297,7941.51770573,307.81684,153.8161,154.691891784,8016.09302551,310.47264,171.46926,156.133507778,12236.4096226,297.87496,-5.0235,-8.14135599078,57.4691689574,59.467,0.040865,0.069255483871,0.0152360901973,2.83388,-9.688,-13.4636336406,82.6044436699,55.995,147.718935,152.726796094,7997.17912144,310.54077,153.81487,154.691600927,8006.94519183,310.47264,52.6575,49.0669423963,64.9700052594,56.523,28.304,21.0620887097,2229.67402719,359.257,48.8825,48.0282937788,960.285141479,249.196,3.404,3.30943548387,741.962533543,360.149,-20.2725,-20.102921659,707.574750904,219.285,-22.6905,-17.7206440092,612.018137209,228.122,6.956,6.57530529954,534.658871936,179.01,4.7655,4.34829262673,297.975145435,218.923,7.3675,6.97073271889,339.095489376,133.075,6.07,6.31748502304,237.775186146,182.264,-2.3565,-3.27163824885,197.218601408,170.089,-5.917,-6.61882603687,237.137087443,111.413,0.422,0.456910138249,0.0689158122014,0.988,0.544,0.572456221198,0.0950578471618,0.961,0.295,0.325270737327,0.0351253633372,0.977,0.3715,0.440289170507,0.0778728553205,0.985,0.32,0.358847926267,0.0487772579796,0.972,0.351,0.380860599078,0.0529430900144,0.993,0.405,0.45922235023,0.0776705438783,0.996,0.333,0.360907834101,0.0464783163902,0.991,0.4505,0.499951612903,0.0892813248476,0.998,0.339,0.397872119816,0.0685001483932,0.998,0.3935,0.484209677419,0.113178515943,0.992,0.4615,0.498046082949,0.101526567001,0.99,4.0,6.0,1.0,303.38,310.77832,0.189,0.0,0.0,-4.95,170.5,0.736146219793
91.23085,91.2763183721,2736.02492912,180.44939,92.1,92.1562937548,2800.69393357,183.61966,80.8901,77.405284,3453.00718494,159.99291,-4.392,-5.10465189873,5.5185325476,17.503,0.038665,0.0631532067511,0.00616512332389,0.62039,-9.036,-11.0063248945,30.0116896666,55.11,94.88256,92.6817009283,2727.27347783,184.18354,92.1,92.1562686124,2806.1309692,183.97252,52.866,51.8100801688,11.4765077404,29.984,34.9865,34.7062130802,1252.00749813,388.524,53.8535,47.9360822785,1386.04076806,338.572,7.054,6.84294725738,1447.68962554,627.328,-27.4215,-27.8221687764,586.19475471,215.832,-23.565,-17.3689936709,823.2423148,374.962,12.5325,12.806535865,519.78097073,184.934,11.1645,11.8663797468,314.242953797,209.265,4.973,5.74542194093,196.827596687,111.943,8.4675,9.4052742616,297.719091583,180.885,-2.095,-2.71479957806,231.266631067,146.894,-7.3015,-7.32623628692,134.097922856,87.858,0.4475,0.466717299578,0.0639480508822,0.988,0.597,0.628111814346,0.081268770198,0.927,0.286,0.313075949367,0.0263076018266,0.969,0.305,0.354837552743,0.0565078111636,0.991,0.3205,0.361394514768,0.0535115933032,0.994,0.306,0.328339662447,0.0308244183847,0.969,0.326,0.351698312236,0.0471147634149,0.995,0.305,0.342154008439,0.035575286408,0.969,0.616,0.635510548523,0.0774745199309,0.926,0.396,0.451691983122,0.0729621160961,0.974,0.348,0.446554852321,0.103794284966,0.99,0.488,0.512094936709,0.10747875259,0.981,4.0,6.0,1.0,183.014,188.02893,0.0,0.0,0.0,-4.085,169.954,0.735712973002
112.95243,113.186697515,4291.44302535,225.66592,113.828045,114.048396852,4344.40833162,228.0756,127.139755,115.529868,5712.19937475,214.12763,-4.512,-5.38092824427,11.4895345277,58.166,0.03518,0.0543119083969,0.00364522982705,0.52478,-9.291,-10.8295664122,25.5867023586,55.333,103.43601,106.632692962,4405.80176918,228.49361,113.73804,113.962342914,4344.35345278,228.24953,52.706,51.7256580153,13.6757019472,55.486,21.026,20.5632305344,882.231862196,330.138,40.357,35.8541969466,956.484072958,292.347,4.548,5.23548244275,868.462095431,579.492,-30.13,-32.312448855,538.079824925,213.319,-24.054,-20.3770351145,458.054357277,177.321,11.955,13.2169267176,547.574365445,175.865,5.634,4.14215725191,352.621706731,210.919,3.791,3.3507389313,202.36519023,112.421,3.847,4.35674656489,236.783246211,161.834,-2.429,-2.15772671756,165.80086171,171.658,-6.327,-8.37373740458,239.250366081,114.824,0.454,0.472888549618,0.077745164678,0.978,0.5,0.552436641221,0.0926830001841,0.96,0.227,0.250432061069,0.0222088743919,0.981,0.274,0.308314503817,0.0386051865835,0.996,0.331,0.389644274809,0.0702550780397,0.998,0.267,0.287986259542,0.0306725784372,0.984,0.28,0.319157251908,0.0462401508444,0.997,0.257,0.292601526718,0.034693241219,0.992,0.585,0.586995419847,0.100111351124,0.979,0.378,0.456216793893,0.0966092476569,0.988,0.288,0.396546564885,0.0925005348546,0.998,0.449,0.508045801527,0.119425353627,0.994,4.0,1.0,0.0,226.813,232.07138,0.334,0.0,0.0,-4.122,174.542,0.732686873548
103.99884,105.522905692,3816.8185896,208.39634,108.02945,107.98009685,3897.00863202,215.01097,121.036135,109.7935825,3909.62408973,200.68634,-4.492,-5.34699494098,10.5850488718,58.245,0.03855,0.0649076053963,0.00624842958078,0.788,-9.293,-10.1977858347,19.5663642863,55.778,110.34399,106.770467167,3832.4392571,215.71619,108.02945,107.980136441,3905.19176909,215.48029,52.951,52.0024519393,11.8521554787,55.28,31.314,29.0042242833,1081.79589267,307.059,42.586,38.3615531197,860.989775515,215.282,0.513,-0.308067453626,596.858903547,397.473,-27.164,-30.4380640809,536.747665783,191.809,-22.236,-20.4240185497,483.38961472,366.822,11.276,12.0128617201,348.353600335,140.897,7.403,7.96313996627,275.147183921,153.324,5.36,5.61362394604,226.633415988,107.849,7.999,7.63824789207,173.600230858,154.724,-3.468,-4.01827993255,177.862849271,230.839,-3.72,-4.90745699831,159.153646268,111.81,0.335,0.399227655987,0.0697569920176,0.984,0.549,0.586753794266,0.0962553727723,0.962,0.257,0.283688026981,0.0245205721501,0.992,0.278,0.313320404722,0.0406772767675,0.987,0.317,0.374163575042,0.0664036275434,0.992,0.287,0.305401349073,0.0302576500488,0.991,0.307,0.380543001686,0.0841734521981,0.989,0.306,0.335246205734,0.0445989646778,0.982,0.561,0.596935919056,0.0911001476643,0.958,0.465,0.527905564924,0.102414260897,0.987,0.309,0.388381112985,0.0807604213633,0.995,0.34,0.413602023609,0.0886471266064,0.985,7.0,1.0,0.0,215.51,228.85832,0.125,0.0,0.0,-4.159,132.712,0.732339192804
137.91059,137.620529105,5979.78434647,271.45081,138.82032,138.510728246,6044.06900458,274.00802,124.368565,121.554383571,5392.60273009,233.26411,-4.742,-6.45649507736,33.0089386269,58.728,0.03578,0.065494416315,0.00876464301172,0.93222,-8.995,-11.674116737,56.0966635096,56.543,134.20848,132.258452419,6315.26958586,274.03361,138.82851,138.511663183,6035.70896222,274.00802,52.913,50.7109057665,39.7406090136,56.722,17.96,14.9159592124,2278.16989543,444.891,50.628,36.2949254571,2225.97764166,325.351,6.413,4.75876511955,650.69144463,345.007,-20.103,-20.5795921238,577.08898778,230.622,-27.284,-24.2996399437,548.232186925,228.116,17.559,18.7899338959,343.100328132,139.396,5.382,5.76780028129,239.838799243,145.915,8.191,7.71481012658,298.767553617,139.477,6.094,6.49657383966,175.005387181,118.596,-1.772,-1.63027988748,146.602438905,175.699,-3.088,-3.47169901547,207.231061679,114.401,0.415,0.446338959212,0.0711642043753,0.995,0.31,0.340310829817,0.0525460313736,0.999,0.219,0.232163150492,0.0216429888531,0.997,0.308,0.346483825598,0.0489577884163,0.994,0.349,0.409298171589,0.080882735285,0.998,0.312,0.340319268636,0.0468470893474,0.998,0.391,0.442976090014,0.0766225240415,0.995,0.321,0.337957805907,0.0400434975164,0.997,0.61,0.609046413502,0.106834106144,0.994,0.314,0.370734177215,0.057642197974,0.995,0.337,0.412437412096,0.0751694556467,0.991,0.735,0.640122362869,0.123668318361,0.995,4.0,8.0,0.0,274.512,288.88771,0.206,0.0,0.0,-4.239,167.84,0.725768346226
158.549055,161.153865909,8900.79345131,320.45062,164.67608,164.166890109,8924.1360771,325.97267,241.030485,196.187222,14066.99151,322.98815,-9.9155,-10.6332755282,23.0786866362,27.923,0.04503,0.0599437235915,0.00500875644344,1.54932,-17.332,-18.5826760563,33.8368778158,44.813,146.610635,150.245752315,7870.44756853,326.44626,164.78842,164.285255258,8936.88996234,326.59125,46.351,45.3391241197,21.2952956633,27.784,-8.735,-7.07710387324,1760.10575418,303.836,23.1505,28.2727588028,2834.5933774,340.859,4.5095,5.96140140845,1381.78319873,317.967,0.1375,1.47288820423,1064.29366774,189.953,-9.27,-3.43303433099,974.070605857,202.704,-7.558,-7.37580105634,699.969018175,163.307,-2.5285,-1.80099647887,454.334436535,180.31,8.2335,9.18598239437,444.411267426,168.222,-4.292,-4.93536443662,325.096462378,131.555,3.449,2.99823151408,261.914852715,130.339,13.149,12.3812975352,296.829751926,128.584,0.37,0.45769806338,0.111241922039,0.997,0.286,0.37498943662,0.0860033889729,0.996,0.3065,0.392117957746,0.0863909825648,0.995,0.225,0.321498239437,0.0833307499969,0.995,0.2,0.25525,0.0406158424296,0.994,0.288,0.397080985915,0.099043139568,0.991,0.203,0.279097711268,0.0490801392201,0.993,0.306,0.427186619718,0.113352345455,0.994,0.1865,0.261879401408,0.0477508754208,0.99,0.309,0.396030809859,0.0861662323254,0.991,0.4555,0.518458626761,0.103200406739,0.991,0.27,0.331478873239,0.0592678833565,0.99,4.0,10.0,1.0,323.535,327.20934,0.0,0.0,0.0,-7.381,83.478,0.614953924683
108.83161,108.386237228,3867.86719367,213.44838,109.642925,109.182466152,3944.75880325,217.20585,104.51496,107.748346667,4322.31303179,191.90546,-7.218,-7.53795865922,5.9811354698,13.356,0.04284,0.0547192849162,0.00202651272686,0.45961,-13.844,-14.0101251397,12.3284756,48.558,107.44177,107.147561296,3731.52599101,217.50576,109.77834,109.31575527,3944.63102984,217.46626,49.696,49.3397083799,5.00421590043,14.496,21.87,22.972098324,863.54486669,196.666,10.491,8.55403240223,815.020054695,192.046,-8.63,-5.46798100559,822.993820164,179.719,-9.761,-8.98545921788,440.32504796,141.765,-15.201,-12.8715519553,446.503637584,283.932,-7.747,-7.22946703911,317.644808644,150.054,2.252,2.77786368715,288.09827235,140.376,-5.025,-5.56640893855,262.380322009,119.244,-4.464,-4.10833743017,202.485464384,118.57,1.755,2.40637988827,171.022527722,112.156,12.507,11.4814178771,207.034840453,110.829,0.534,0.575443575419,0.0919122937436,0.953,0.471,0.523350837989,0.0795629048457,0.97,0.387,0.461960893855,0.0855219705377,0.97,0.27,0.324344134078,0.0424539240298,0.985,0.388,0.453788826816,0.0811835475847,0.973,0.287,0.348148603352,0.0557176036154,0.986,0.312,0.364134078212,0.0520514211292,0.987,0.446,0.512610055866,0.0962279764352,0.973,0.346,0.401306145251,0.0606712559958,0.97,0.471,0.530325139665,0.0855764853457,0.954,0.309,0.349120670391,0.041478709461,0.966,0.355,0.422940782123,0.0656759126944,0.963,4.0,0.0,1.0,218.305,218.30485,0.0,0.0,0.0,-6.003,111.097,0.603577118203
162.73473,163.355766747,8889.5906215,326.25117,165.07057,165.178895941,8978.54676061,329.61498,156.362365,150.264885,11966.0211165,326.43558,-5.972,-6.24852514793,11.9534716932,58.562,0.0399,0.101735606509,0.0327535392095,1.77069,-10.11,-10.3589142012,15.6290816317,54.779,151.945395,154.673792692,7749.67873269,330.02227,165.17913,165.301069622,8978.50196598,329.85525,51.8565,51.4965902367,12.0955783217,55.784,104.1145,103.650310651,945.661747759,189.249,31.134,30.8558446746,453.793508992,229.703,-11.2985,-10.359,179.142173249,129.768,-60.5975,-53.673193787,916.426362627,179.762,-21.8885,-21.8998402367,151.021414838,151.059,-21.0215,-20.5010887574,188.61466588,103.827,-3.2855,-2.25790680473,184.820641931,95.422,22.419,23.1743239645,185.975951195,93.241,12.2205,13.6490621302,114.824556972,73.426,1.0965,0.892813609467,84.5083148587,101.566,1.303,3.25329289941,170.433122666,84.793,0.7465,0.720060650888,0.0678695392209,0.962,0.725,0.698958579882,0.0676916225447,0.956,0.5325,0.538346153846,0.059470510355,0.97,0.5615,0.560964497041,0.0607153833549,0.954,0.643,0.64401183432,0.0682567838836,0.967,0.6255,0.630971893491,0.0591693645946,0.921,0.5745,0.588356508876,0.0528446909488,0.962,0.5445,0.548713017751,0.0534610803631,0.959,0.5165,0.523659763314,0.0521392215171,0.957,0.4015,0.419289940828,0.0398104218515,0.961,0.3665,0.383659763314,0.0345265262508,0.971,0.427,0.442729289941,0.0447811471303,0.963,4.0,0.0,1.0,321.062,333.84444,0.261,0.0,0.0,-4.765,123.859,0.590433424828
106.96518,106.967023884,3799.11944383,211.76858,107.84698,107.849364151,3878.28832958,215.30006,67.70492,85.2919190909,4862.71815857,209.75939,-9.0345,-9.52181042654,11.2730586916,56.793,0.034135,0.0449049526066,0.00148773822429,0.46651,-16.6675,-17.1580272512,30.4837508938,53.58,107.26517,106.039692867,4003.60885194,215.47882,107.84698,107.849302835,3870.36609606,215.30006,47.586,47.020563981,15.2359034426,54.67,-36.5635,-42.7793092417,2064.49157358,330.672,-2.917,-3.9867014218,1213.49255962,227.812,4.4075,2.40960308057,925.938145697,355.456,2.622,1.68841943128,821.170817374,189.821,-17.061,-10.7460402844,769.432446856,174.103,10.4665,11.1273080569,428.386760315,141.336,-7.2575,-8.91212559242,610.88156275,157.242,0.344,0.532861374408,213.938174404,89.429,-3.6035,-6.52025947867,341.786219299,131.637,-0.3875,-0.398736966825,242.004583208,161.193,-11.229,-10.1724964455,208.793211804,103.054,0.204,0.322617298578,0.0797862551984,0.995,0.377,0.414055687204,0.069779825098,0.988,0.594,0.59641943128,0.126866707964,0.989,0.211,0.236548578199,0.0245292926639,0.991,0.2205,0.282922985782,0.0506628649219,0.986,0.171,0.238643364929,0.0442014071716,0.998,0.2595,0.301393364929,0.0462021414726,0.985,0.1175,0.332946682464,0.139001112086,0.998,0.217,0.255783175355,0.0358435015653,0.994,0.392,0.502773696682,0.116633144284,0.977,0.134,0.228097156398,0.0562153720772,0.992,0.155,0.367789099526,0.133368109549,0.995,4.0,7.0,1.0,215.11,222.69342,0.171,0.0,0.0,-7.676,135.992,0.578936881021
