barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
107.116225,107.186726627,3833.45746027,213.41826,107.917185,107.997088877,3880.53804533,215.8492,94.33234,93.14848,3912.30985319,197.44635,-7.536,-8.72982598331,22.1960919673,34.848,0.0381,0.0485393921335,0.00159668876518,0.3903,-14.878,-16.0302443385,28.0944269045,48.242,104.01673,104.911384517,3800.80047144,216.52594,107.99734,108.077947313,3880.60020475,216.03555,48.76,47.6259511323,19.6795718105,33.804,4.15,2.79998808105,1337.94274294,290.023,57.791,59.0141179976,2165.85212335,399.571,16.499,17.3904934446,1086.98679112,468.78,-13.963,-13.6370727056,903.947108172,184.355,-12.779,-8.94351609058,860.040696326,210.418,6.242,6.60605244338,750.018793213,169.997,2.631,1.82012991657,434.122430597,192.52,10.229,11.1544755662,390.322852009,138.11,3.978,3.83693444577,271.898365229,154.493,2.441,1.41570917759,296.533170971,142.776,-0.459,0.240064362336,340.101838332,125.74,0.383,0.442637663886,0.0830447650177,0.979,0.555,0.588143027414,0.102899509936,0.989,0.218,0.253033373063,0.03264977481,0.988,0.227,0.272308700834,0.037549641295,0.986,0.286,0.347379022646,0.0710522401321,0.993,0.264,0.308218116806,0.040789748611,0.985,0.515,0.569717520858,0.111784460134,0.986,0.245,0.30873420739,0.0523863500933,0.989,0.303,0.383127532777,0.0811120135328,0.985,0.241,0.339635280095,0.0854020171582,0.987,0.232,0.30805125149,0.0575895170396,0.986,0.286,0.389794994041,0.100140437114,0.984,4.0,6.0,1.0,215.551,221.33506,0.0,0.0,0.0,-6.662,185.651,0.94445841892
57.73116,57.5137240449,976.657573759,110.74447,58.26303,58.1306113092,993.285753423,112.82902,37.831885,40.9352183333,1031.15602958,87.66477,-3.228,-3.53030285714,7.89817050447,59.32,0.02782,0.0424285904762,0.00236091938163,0.49615,-8.613,-8.9048152381,14.825030383,56.756,55.17878,56.979302381,1106.62584098,113.33388,58.26303,58.1285376634,996.375173294,113.19866,53.853,53.2875504762,11.0627083732,57.023,46.286,47.4161695238,386.868143223,173.287,24.592,25.3559447619,456.041290662,326.21,-1.574,0.168140952381,1245.77952112,466.417,-24.079,-25.0274571429,309.964215044,178.554,-25.56,-24.8862533333,569.672054235,408.836,-8.65,-6.91884761905,308.606910087,120.441,-6.048,-5.04199619048,285.860861463,182.434,15.302,15.7620914286,213.674835614,85.411,9.978,10.7754838095,158.198819869,104.449,2.156,1.59171809524,169.581851151,204.203,-3.488,-3.27132380952,123.198446905,77.544,0.46,0.464973333333,0.0590222773841,0.984,0.427,0.450683809524,0.0563120828807,0.983,0.397,0.420171428571,0.0627575972789,0.979,0.406,0.420834285714,0.0435749344435,0.967,0.606,0.611274285714,0.0904367857197,0.941,0.566,0.588373333333,0.0877214339556,0.971,0.391,0.477441904762,0.0864203113868,0.967,0.386,0.485773333333,0.101696217194,0.975,0.593,0.5754,0.0791417638095,0.968,0.605,0.591542857143,0.0818468272109,0.978,0.466,0.49556952381,0.0792725956426,0.981,0.342,0.41807047619,0.0765608083664,0.959,4.0,9.0,1.0,112.774,114.93832,0.212,0.0,0.0,-2.819,186.436,0.97153467517
67.98872,67.9807153933,1562.81841642,135.52872,69.14552,69.1360808357,1589.51827999,137.853,56.054235,62.2963766667,1744.52859091,130.74398,-6.597,-8.69643598616,58.711349412,45.926,0.033155,0.0529381141869,0.00309720374714,0.57343,-18.255,-19.566467128,98.2927310517,56.728,64.013245,64.6491494983,1461.71713221,137.98141,69.14552,69.1361001116,1585.08587274,137.853,47.782,46.0232820069,67.0283777907,48.499,-18.6845,-26.4995207612,3395.08626956,333.716,-10.972,-8.48853633218,2434.72545962,329.335,12.701,14.4662076125,3254.60313834,565.121,-12.1045,-10.2505899654,819.381912841,210.1,-15.2995,-6.64500692042,1796.6738079,394.555,5.44,8.51669723183,671.229114253,176.729,-2.12,-4.7461384083,1478.3605437,218.945,15.2605,13.1247716263,424.141465865,192.734,5.9685,6.67181141869,791.981704824,179.913,-0.1485,0.29008650519,574.397626525,167.63,-12.0305,-13.7444290657,408.121638072,115.934,0.359,0.408252595156,0.0893968877528,0.977,0.3365,0.437356401384,0.102830014847,0.98,0.291,0.426378892734,0.112161948136,0.992,0.1905,0.249124567474,0.0424798010919,0.992,0.217,0.295247404844,0.0647413626663,0.99,0.204,0.260576124567,0.0467257978383,0.992,0.303,0.366996539792,0.0627078304379,0.995,0.217,0.346712802768,0.102706253158,0.994,0.232,0.342015570934,0.0852361018337,0.987,0.2785,0.417207612457,0.106531693921,0.989,0.1875,0.357737024221,0.119441778595,0.988,0.242,0.384716262976,0.12528736932,0.993,4.0,11.0,0.0,127.646,138.29179,0.0,0.0,0.0,-5.659,155.921,1.0
324.015885,325.819535569,35226.7500196,651.17765,324.95735,326.829599635,35315.6218673,653.19479,302.62249,305.5472624,30233.8794157,648.36327,-27.953,-26.5535293527,52.9017943555,47.691,0.0546,0.0727128098344,0.00576783836571,1.11794,-31.182,-29.80969142,51.3484485927,44.181,319.92694,326.01832845,31751.582946,653.57079,324.862485,326.728616326,35315.6028617,653.39587,30.168,31.683343703,51.879792909,45.994,-21.167,-18.6744681385,2103.19844751,308.37,-68.889,-65.6659131962,1109.15850216,226.591,-50.189,-49.4664390366,375.513855371,389.585,-25.735,-24.1652117411,812.319228383,166.08,-33.852,-34.3611771199,135.787878373,175.495,-8.493,-3.98844405419,1012.02459355,191.685,-2.854,-1.33772303061,297.431373325,168.743,11.244,10.6600270948,369.296142408,130.998,-0.559,-0.585462117411,111.600446075,118.893,-2.539,-2.0726327145,68.2177169128,68.146,-12.713,-11.4805755143,242.200310895,136.908,0.229,0.315629703964,0.0753903857108,0.991,0.271,0.335750627195,0.0770062052492,0.99,0.387,0.445050175615,0.0700587742009,0.961,0.814,0.756939789262,0.0628029788132,0.938,0.355,0.445869543402,0.0985715213654,0.969,0.194,0.249409433016,0.0404882096852,0.99,0.248,0.313653788259,0.0532821862087,0.99,0.384,0.420694430507,0.0555645513839,0.974,0.739,0.688886101355,0.0861836082012,0.984,0.204,0.28986452584,0.0515435611751,0.987,0.165,0.24273306573,0.0444664274917,0.989,0.182,0.272236327145,0.0568646089764,0.993,4.0,8.0,0.0,633.603,655.77751,9.706,0.0,0.0,-20.402,149.92,1.0
137.292955,136.99926007,6266.95396537,271.91001,138.74253,138.445039459,6377.38019624,275.74937,139.21938,133.180190769,6785.69190161,259.93391,-8.133,-8.86606717044,10.3165656647,31.523,0.03136,0.0504458690176,0.00258123713155,0.36451,-15.514,-18.1364089001,60.4135913567,42.389,133.66853,134.906533023,6107.95012309,276.33147,138.622705,138.32441993,6377.4036028,275.98778,48.02,47.0778320739,18.0336865797,28.831,58.57,50.664125105,3447.62470767,477.96,-0.854,-4.3950302267,3136.84142065,327.77,2.088,11.0919630563,1667.73094425,522.197,0.037,1.05503274559,1266.52880751,280.706,-24.308,-19.50734089,1109.76897966,255.756,11.293,10.9937019312,726.795792737,200.821,0.429,-0.142212426532,996.332704313,237.112,2.017,2.47466834593,314.725773847,121.832,9.044,9.66788245172,437.151789227,139.549,-3.67,-2.48877078086,667.96579567,220.592,-5.105,-5.14563476071,212.843215036,93.864,0.657,0.574347607053,0.115364717121,0.99,0.468,0.492184718724,0.0840989146615,0.996,0.117,0.193712006717,0.0332266970767,0.998,0.121,0.184060453401,0.0332617377392,0.996,0.162,0.301039462636,0.0923740714906,0.999,0.164,0.248563392107,0.0533583114726,0.999,0.251,0.400734676742,0.119804085775,0.99,0.16,0.237924433249,0.0516028742225,0.997,0.253,0.312799328296,0.0637139924765,0.994,0.238,0.329937027708,0.0890656408708,0.996,0.212,0.360813602015,0.111046022351,0.996,0.337,0.479353484467,0.176062060607,0.998,4.0,6.0,0.0,275.714,279.45751,0.0,0.0,0.0,-7.362,124.991,0.956908495229
92.77699,92.8233551456,2877.67158953,184.13233,93.898315,93.9526007452,2934.39006681,187.25815,64.83591,73.09919875,3515.63111835,173.25153,-7.52,-7.86338,7.9033891606,56.217,0.040135,0.046003875,0.000861895675234,0.2839,-16.6735,-17.60398625,43.8643652711,54.369,91.74145,92.3528433375,3037.45077139,187.83556,93.78867,93.8397671875,2934.38701145,187.49558,48.29,47.94599375,12.2253691887,53.858,3.301,1.11007875,899.136653523,264.183,-0.4255,-1.0218875,1164.81848908,260.889,5.703,3.83950625,1920.17909183,578.017,-23.23,-26.26980625,423.078757324,142.715,-10.5015,-4.85811375,1171.6509716,280.424,15.019,15.05293375,328.572838444,136.058,15.959,17.96999,319.785136942,148.956,6.1855,7.3720375,190.271123689,120.835,3.1855,4.693195,240.276394637,157.031,-4.517,-5.006815,303.914390301,128.498,2.0685,1.90014125,134.785144119,98.175,0.5435,0.5598225,0.0675922759937,0.921,0.966,0.8374425,0.0443916366938,0.984,0.5535,0.58248875,0.0746728598734,0.972,0.548,0.55253,0.0896540591,0.972,0.531,0.55379875,0.0818974482484,0.951,0.311,0.32809875,0.0353638914984,0.961,0.25,0.27888125,0.0273661746484,0.994,0.197,0.2472875,0.0384497423438,0.995,0.188,0.2210225,0.0216399794938,0.912,0.165,0.20687625,0.0262257784359,0.991,0.1465,0.20113875,0.0277924744984,0.982,0.3005,0.366495,0.070302977475,0.986,4.0,1.0,0.0,187.408,191.76444,0.107,0.0,0.0,-6.888,133.093,1.0
110.960475,110.965130286,3769.64038673,211.18523,111.71635,111.724921052,3783.30579193,212.71128,79.43388,87.6159522222,4433.75415657,211.97558,-5.914,-7.52717715019,19.1778718402,23.756,0.04133,0.0629767650834,0.0378191713202,5.28745,-11.547,-14.0937073171,62.1517785433,55.918,107.89569,110.474426983,3875.09083895,218.44422,111.812075,111.819873226,3783.31565405,212.90099,50.707,49.1015815148,32.4169428852,55.401,-1.509,-16.0628741977,3966.45145018,417.939,29.264,24.1362888318,2180.41412912,352.237,-1.809,2.17242233633,1966.87507784,542.978,-33.263,-36.5821039795,838.794069818,207.931,-17.317,-8.56980231065,1006.3490296,287.528,11.858,10.4573016688,310.827428591,146.069,-0.361,-2.48920154044,453.145388174,224.495,-5.467,-4.53644929397,243.734312802,102.523,-6.967,-7.72702824134,273.859950864,131.874,0.829,0.496218228498,217.584765675,134.674,1.275,1.7467843389,162.571793484,77.489,0.371,0.451567394095,0.0935429771654,0.982,0.297,0.35211296534,0.0669408652876,0.985,0.214,0.270949935815,0.0536884686104,0.995,0.206,0.232139922978,0.0242733116154,0.888,0.194,0.395216944801,0.149132087723,0.996,0.137,0.173379974326,0.0223292240406,0.995,0.18,0.22419127086,0.0355604576388,0.986,0.121,0.21559563543,0.0678611086331,0.995,0.16,0.207894736842,0.0296727668401,0.995,0.143,0.245299101412,0.0721156910262,0.991,0.163,0.217910141207,0.030107142118,0.903,0.546,0.589237483954,0.126786504577,0.99,4.0,9.0,1.0,219.82,219.81995,5.393,0.0,0.0,-5.214,157.862,1.0
133.15971,133.140698743,5878.99465979,264.31113,134.103135,134.088687045,5946.06426683,267.00192,114.918015,115.4836175,6581.69961603,259.30176,-7.502,-8.48995395514,20.4645776425,25.382,0.04184,0.0535008028335,0.00217983057149,0.4645,-13.486,-14.2207532468,22.8736714444,39.461,127.40531,129.439793176,5073.29236723,267.43306,134.199095,134.183683281,5946.00053988,267.19353,49.47,48.5797438017,19.6117813688,33.255,-20.71,-22.3823341204,1140.38318941,252.022,67.008,70.0055985832,1610.9588212,381.565,14.351,14.1707249115,721.94055879,412.242,-3.843,-4.33713577332,649.207544807,184.202,-12.204,-9.49489728453,500.603806751,251.512,-2.853,-3.83654781582,440.298165778,133.934,-7.413,-7.14260330579,314.610906825,172.823,0.412,0.80821133412,220.295747402,102.884,-7.278,-8.96313341204,262.964746803,130.521,3.063,3.59150885478,153.879501563,95.509,2.056,0.33139433294,360.308131169,151.94,0.538,0.558534828808,0.125950454218,0.975,0.24,0.306608028335,0.0530615464763,0.977,0.391,0.459048406139,0.0999104096993,0.981,0.21,0.273939787485,0.0470679031041,0.979,0.24,0.33027390791,0.071666659331,0.983,0.297,0.441707201889,0.128277203525,0.976,0.231,0.284757969303,0.0419447737706,0.974,0.457,0.527360094451,0.102103153685,0.976,0.186,0.264900826446,0.0572210739899,0.979,0.253,0.35286068477,0.0773667621733,0.978,0.132,0.220090909091,0.0470169303424,0.987,0.22,0.277567886659,0.0449947908459,0.979,4.0,0.0,1.0,261.915,267.57179,0.0,0.0,0.0,-5.834,159.056,1.0
112.77063,112.849581282,4248.31588322,225.48317,112.77063,112.849581282,4248.31588322,225.48317,96.00833,103.855507778,5593.10821192,219.1337,-11.122,-13.0100971129,51.2854753869,56.242,0.049015,0.0612530314961,0.00242157929514,0.51226,-19.3625,-20.558984252,59.203556816,52.79,112.404855,111.423493517,4199.4682163,225.898,112.93246,113.010705798,4248.33840173,225.81285,44.921,43.2796496063,50.6261950071,53.162,2.011,-1.7712992126,1678.25530095,346.823,16.628,18.5715419948,1856.29688077,257.941,0.3725,0.825989501312,1299.69275722,564.011,2.359,3.86118766404,822.937279607,223.299,-8.721,-5.7652847769,665.936844041,296.462,3.008,1.88430971129,608.994795941,179.795,-0.485,0.0932388451444,506.11705693,205.574,-6.993,-8.54115354331,293.893335852,120.968,-4.7565,-5.80776115486,253.310046812,134.431,0.128,0.0673989501312,225.251470211,120.987,4.411,4.09585170604,316.702998116,155.667,0.378,0.442787401575,0.0802988209436,0.971,0.3195,0.384503937008,0.0756899927667,0.981,0.3535,0.438439632546,0.0996764930749,0.989,0.248,0.324208661417,0.0635270575103,0.991,0.3005,0.362455380577,0.058219009164,0.981,0.5405,0.571459317585,0.101909298214,0.981,0.3375,0.421124671916,0.0907994083414,0.979,0.324,0.39462335958,0.0777299749399,0.977,0.211,0.307446194226,0.0704740397559,0.991,0.286,0.395599737533,0.0900311613123,0.985,0.227,0.306990813648,0.0666709224878,0.982,0.1995,0.297988188976,0.0680764106217,0.988,1.0,5.0,1.0,217.298,231.18322,0.104,0.0,0.0,-9.647,92.98,0.99775839634
84.44232,84.3984296053,2215.05330166,161.18829,83.90631,83.8555671383,2319.49644454,166.5865,53.36757,58.2220525,2118.37709067,131.0323,-6.3315,-7.0076043771,16.9713243233,57.762,0.037065,0.0498116835017,0.00167085928504,0.35749,-13.879,-14.8455521886,31.9301798331,53.713,82.6061,83.4387404209,2357.18052394,167.14671,83.773075,83.7212221061,2319.57608962,166.8529,50.1755,49.2180723906,18.7501159695,55.169,19.189,15.1741329966,1583.52373977,382.84,40.7555,37.5808619529,1185.88306192,269.639,7.649,5.15161111111,1559.35477829,565.268,-30.9715,-31.2807441077,656.40655515,178.01,-3.271,-1.6723047138,737.397272798,189.4,0.92,-1.20934848485,447.957658059,187.05,-8.43,-9.80796296296,489.917756689,203.872,3.357,3.91213299663,349.780629176,131.363,-0.115,-0.789575757576,324.534406355,125.607,2.267,1.13338047138,305.81411938,153.511,-5.693,-5.46724747475,249.576608294,101.568,0.241,0.308521885522,0.0586488219116,0.982,0.3255,0.434089225589,0.0931125189748,0.99,0.269,0.319163299663,0.0409666315824,0.981,0.864,0.682976430976,0.117510777222,0.974,0.3475,0.375558922559,0.045256145518,0.988,0.2355,0.298925925926,0.0487898362639,0.989,0.208,0.313828282828,0.0806819772472,0.982,0.236,0.3042003367,0.049235227542,0.985,0.2245,0.363904040404,0.102901447021,0.991,0.196,0.260026936027,0.0384904302509,0.99,0.4495,0.46995959596,0.0722753855729,0.991,0.1925,0.256656565657,0.0441555958576,0.991,4.0,8.0,1.0,166.893,171.88526,2.13,0.0,0.0,-5.276,111.931,0.95979709963
