barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
105.52773,106.327721573,3689.06554771,209.79432,106.12476,107.140028027,3838.69639944,214.56699,66.469385,78.28182375,4753.45427373,210.83903,-9.9,-10.7258191365,38.5007522975,57.903,0.03937,0.0518056242707,0.00157202899124,0.32263,-17.748,-19.7048249708,71.5823975026,52.965,102.39601,103.825511342,3698.73122773,215.12948,105.97497,106.99250863,3838.56197807,214.86862,46.701,45.0912998833,39.6787178832,54.335,-44.269,-38.9996861144,2286.23147426,458.163,-36.076,-37.097285881,901.494718998,220.25,-12.008,-10.2959743291,1855.18549851,436.514,-12.248,-13.4213232205,562.396887393,164.172,-9.892,-3.61053908985,1154.60541398,216.993,4.291,1.18406067678,570.751486134,146.229,-4.579,-1.90672928821,706.556419616,198.293,0.395,0.275596266044,270.930844094,132.055,-3.59,-3.02561026838,467.780767948,171.002,-0.499,-2.63361143524,369.203915393,196.859,5.636,5.8160630105,203.162161511,110.636,0.333,0.367005834306,0.0743960268038,1.0,0.723,0.620054842474,0.142093837132,0.997,0.183,0.343444574096,0.113327773182,0.997,0.153,0.256093348891,0.066973923608,0.998,0.242,0.379568261377,0.114170933788,0.996,0.146,0.223849474912,0.0574180741917,1.0,0.162,0.299424737456,0.0989318942772,0.998,0.103,0.184492415403,0.0434598485422,1.0,0.126,0.224086347725,0.0632748373515,1.0,0.208,0.353807467911,0.115671527692,0.997,0.099,0.178026837806,0.0414085955458,1.0,0.148,0.260113185531,0.0789692929067,1.0,4.0,2.0,1.0,208.689,215.27465,0.206,0.0,0.0,-7.017,100.132,0.79463953702
114.06175,114.601334599,4384.40648436,228.36442,114.90669,115.442810018,4433.84846269,230.91517,88.87767,91.42071,4828.72628863,226.04795,-13.164,-14.2424427083,53.932064653,41.243,0.041345,0.0517530833333,0.0013136528632,0.25944,-22.519,-24.3897875,65.3196375923,45.94,106.92041,109.219236771,4375.75124138,231.53429,114.90669,115.442810018,4433.84846269,230.91517,42.776,40.8965395833,50.9529201401,39.912,-34.3315,-27.5256822917,3019.81482921,367.949,-39.4285,-37.3582708333,1394.43316819,284.366,-12.2735,-3.49219166667,2974.94314959,439.649,0.4545,2.27016666667,1074.0086215,256.301,-7.5215,-1.57088020833,1339.51977663,293.658,-7.2325,-9.594478125,794.3030378,178.329,-9.6085,-11.2615541667,940.570251974,207.785,8.7895,8.86297395833,398.834274467,168.543,1.074,-0.504892708333,579.190117569,150.295,-2.559,-3.31642291667,460.893379098,191.914,1.7195,2.7055,231.881618204,118.014,0.2125,0.295160416667,0.0703458200998,0.995,0.294,0.410501041667,0.109421272916,0.996,0.3455,0.417819791667,0.0867348373166,0.998,0.191,0.251902083333,0.0396569404123,0.998,0.269,0.391938541667,0.105475563931,0.988,0.1905,0.286015625,0.0694407445475,0.996,0.3315,0.414333333333,0.0968117243056,0.998,0.4585,0.527635416667,0.113159639996,0.999,0.2825,0.363746875,0.0819265953027,0.995,0.3945,0.470953125,0.115240578011,0.987,0.171,0.26639375,0.0669420532943,0.994,0.155,0.25276875,0.0604803444401,0.997,4.0,7.0,1.0,224.63,235.07546,0.0,0.0,0.0,-7.566,141.949,0.765050486468
99.286455,97.2131563265,2992.71596579,189.0222,97.72556,96.8485297735,3004.8954184,191.58647,113.66259,95.8225181818,3909.0402312,186.37554,-15.55,-16.8584936709,45.2559452992,54.767,0.04236,0.0530993530239,0.00127082760746,0.25239,-25.798,-27.4571476793,83.7593759065,50.326,95.85093,95.1184644304,3139.2284413,192.13129,97.568985,96.6932369579,3005.08293804,191.90852,39.517,38.0485175809,53.1894316955,49.443,-70.933,-70.7352475387,2778.5888976,364.738,-48.897,-48.5149212377,1586.09286079,339.791,-12.687,-6.91658227848,3119.18381025,449.917,-0.388,0.570739803094,831.216001869,175.421,-1.659,3.90334458509,1564.7999299,299.08,-6.338,-5.69281153305,796.411774637,208.34,-10.153,-4.53902250352,1328.54273184,251.576,1.14,-0.152192686357,464.076854988,173.045,-1.094,-0.78423628692,473.669164138,148.907,-0.292,-2.03951195499,462.147373527,186.241,-0.166,0.212483825598,382.463563088,109.733,0.158,0.315146272855,0.106293196607,0.995,0.184,0.302579465541,0.0873289863013,0.992,0.281,0.388938115331,0.102847292935,0.993,0.113,0.197279887482,0.0437460074577,0.995,0.141,0.238240506329,0.0663752740836,0.995,0.126,0.223926863572,0.0696978202488,0.997,0.209,0.279873417722,0.0549653426267,0.989,0.406,0.511450070323,0.141883566776,0.988,0.185,0.256569620253,0.0522899357297,0.995,0.257,0.40399859353,0.130861745427,0.995,0.151,0.233300984529,0.0595540978753,0.996,0.129,0.254154711674,0.0827332531388,0.995,3.0,9.0,0.0,183.031,194.32444,4.325,0.0,0.0,-12.983,93.395,0.764187276334
117.16675,117.517729524,4644.48504341,234.27821,118.16703,118.527942811,4741.18526945,237.98772,89.413595,105.182720714,4775.1467018,232.45041,-12.049,-12.607785329,37.6440772689,59.139,0.04732,0.0569760194175,0.00160438253399,0.52027,-20.191,-21.0737454153,49.7992231585,53.171,113.93424,115.123123981,4779.30401034,238.49624,118.267655,118.628210345,4741.32451516,238.18389,43.756,43.1553182309,37.294265738,54.908,-0.508,-0.888844660194,2084.47302486,391.326,-22.549,-17.2668737864,2300.09983814,353.664,-9.161,-10.6718220065,1613.20042395,458.637,-10.256,-10.5693527508,653.559808526,211.064,-9.506,-3.11230097087,1038.35447101,283.05,12.797,11.9074865156,542.487822884,142.11,1.386,2.27458899676,687.82010769,257.984,2.242,0.871771305286,363.651127799,166.06,-2.011,-0.711799352751,418.370750216,208.724,-3.983,-4.82593311758,327.684303027,157.401,5.381,5.64562783172,216.513122715,120.106,0.219,0.303984897519,0.0757429641732,0.997,0.249,0.355530744337,0.0975525856244,0.997,0.171,0.293490830636,0.0919966878879,0.996,0.161,0.239200647249,0.051392499115,0.999,0.237,0.385585760518,0.124371172526,0.999,0.193,0.248303128371,0.0453214345425,0.999,0.302,0.419755124056,0.11528351393,0.995,0.173,0.2759600863,0.0756342734878,0.999,0.137,0.202221143474,0.0418688604807,0.999,0.204,0.334812297735,0.109310236613,0.998,0.15,0.231391585761,0.0530038175344,0.996,0.192,0.34961596548,0.118116016487,0.992,4.0,2.0,1.0,238.649,246.02077,0.879,0.0,0.0,-8.186,150.158,0.754815802471
109.18673,109.18314741,4014.33900152,218.07736,110.56435,110.566638071,4072.86250691,220.84978,79.59989,91.045291,3623.74691209,209.85038,-11.108,-12.2203156597,37.264824105,57.097,0.04188,0.0530066584464,0.00146982236084,0.29041,-20.377,-22.683,77.9802902022,51.493,107.18036,108.082860123,4046.48761844,221.36458,110.56238,110.566813327,4080.16472057,221.24587,44.469,42.8103551171,43.4912260909,52.693,-22.02,-22.9443057953,2846.81021517,442.836,-46.63,-53.3908162762,2520.76031734,321.104,-14.508,-7.01683107275,2690.578035,515.18,-24.446,-23.6086202219,832.671047612,212.661,-10.715,0.187314426634,1649.09383493,295.3,-3.003,-1.40472133169,862.591766864,210.607,3.003,3.83422564735,813.664619827,247.746,6.934,7.54566461159,432.911921562,164.422,0.543,1.37700616523,468.704758092,144.677,-2.218,-3.53913316893,566.9053874,233.246,9.051,9.68031442663,257.132314351,105.528,0.244,0.346271270037,0.091235775981,0.998,0.241,0.396477188656,0.137424515817,0.998,0.181,0.342874229346,0.118794134613,0.997,0.144,0.264897657213,0.0682644025962,0.997,0.206,0.359547472256,0.118706595465,0.994,0.111,0.220057953144,0.0586720891199,0.998,0.099,0.171102342787,0.0357166861967,0.998,0.137,0.281938347719,0.103947702734,0.998,0.148,0.203577065351,0.039411597945,0.998,0.259,0.404154130703,0.140065701275,0.998,0.118,0.183278668311,0.0323820727755,0.998,0.133,0.260369913687,0.0818059420788,0.995,4.0,2.0,1.0,217.083,224.26077,0.194,0.0,0.0,-8.49,151.954,0.754815802471
96.89157,96.946977757,3166.66313654,192.98138,98.25654,98.3144984527,3241.78586721,196.77468,84.16607,82.3288690909,3111.20085599,188.93179,-9.585,-11.2308359264,34.5322269207,55.996,0.03658,0.0483021074965,0.00208557702059,0.46599,-17.705,-18.7190339463,43.2643481205,53.047,94.36295,94.7378335502,3149.58103617,197.09664,98.37041,98.4283470901,3241.83680716,197.00248,46.343,45.0487072136,34.8201814772,53.181,-65.062,-62.0402545969,1974.48509647,357.817,-36.324,-36.8962121641,1818.02525046,261.453,-9.059,-10.135029703,1118.71469156,516.913,-15.587,-15.8722984441,879.805902402,265.175,-14.939,-10.5207241867,749.129679108,328.885,-7.604,-8.23257708628,541.356061302,166.354,-16.993,-15.507553041,526.630878024,270.667,3.307,2.8224582744,288.422663368,145.901,-4.368,-5.09813578501,282.597681025,123.898,3.942,2.67813861386,266.989758303,125.362,4.494,3.33494625177,240.423249711,119.418,0.305,0.424998585573,0.122030468173,0.996,0.265,0.389410183876,0.120856923687,0.998,0.158,0.318644978784,0.12507186123,0.996,0.138,0.215940594059,0.0470120106152,0.998,0.188,0.324175388967,0.102604645335,0.996,0.1,0.16716407355,0.0297300381435,0.999,0.112,0.203551626591,0.0568203887774,0.998,0.207,0.304792079208,0.0910649058496,0.993,0.088,0.201823196605,0.0644967622342,0.998,0.103,0.228435643564,0.0854539120534,0.997,0.071,0.167797736917,0.0556378218902,0.998,0.161,0.256475247525,0.0650730075203,0.994,4.0,2.0,1.0,195.663,202.37016,4.377,0.0,0.0,-8.195,131.881,0.736072021321
112.975515,113.565944519,4325.68123354,224.00521,114.81259,114.327700596,4393.66122083,228.17189,113.34293,105.292311429,5469.01645505,222.06789,-11.349,-12.1695314109,27.9599775837,58.153,0.03957,0.0502840370752,0.00142584316022,0.38154,-18.398,-19.0651071061,37.0645187712,52.753,114.87229,116.24983137,4553.02941734,228.69651,114.93095,114.447297584,4384.59548036,228.38955,44.78,44.352430484,28.250837654,54.265,-40.486,-35.2742883625,1703.47541038,311.457,2.497,3.48417404737,1674.61394326,286.013,-3.591,-2.8691853759,1448.49954299,556.29,-14.984,-11.7658290422,503.661851936,158.319,-17.411,-13.3974830072,723.278913199,369.39,11.483,9.98753244078,425.67600173,165.082,-4.046,-2.91312873326,516.05479749,253.02,0.977,1.02846035015,220.827347812,97.567,-5.277,-5.71061380021,273.011010128,131.519,1.935,1.21954685891,192.835117039,114.863,-5.471,-5.37591555098,202.861959752,88.547,0.245,0.324977342945,0.07029166581,0.992,0.432,0.514452111226,0.119785353783,0.991,0.302,0.402189495366,0.0966972514242,0.993,0.225,0.286252317199,0.0475740959653,0.993,0.361,0.460139031926,0.10694582928,0.99,0.195,0.253409886715,0.0455092635068,0.994,0.242,0.322646755922,0.0721649246522,0.987,0.243,0.337380020597,0.0790353828758,0.992,0.216,0.279070030896,0.0492640486487,0.986,0.372,0.476268795057,0.109590907152,0.993,0.192,0.247372811535,0.038993865131,0.989,0.207,0.286472708548,0.0611477178443,0.994,3.0,2.0,1.0,229.982,229.98159,2.984,0.0,0.0,-8.406,83.421,0.733990878524
131.06065,131.013391649,5753.38475095,260.06578,132.076075,132.028927564,5813.31886751,263.41571,107.38614,107.896285,5995.50365947,232.56412,-16.0405,-15.763178719,32.1113436013,56.771,0.04163,0.0536107334711,0.00182947195204,0.42204,-24.036,-24.3738533058,26.2789849434,51.44,143.933015,138.447927789,5928.42848315,263.65673,131.96267,131.916107716,5803.43223105,263.64112,40.049,39.8688316116,21.5861669355,50.907,-69.265,-66.9340268595,1922.01148708,353.1,-44.288,-41.9224049587,1456.42756477,240.25,-15.117,-12.4481353306,1600.91952893,356.3,-24.879,-23.0026642562,1090.80878114,211.496,-8.3595,-1.0225785124,1208.4512386,223.457,6.8785,6.79638946281,743.589215818,193.342,-16.2195,-14.1278667355,661.789734049,216.927,2.0005,0.206423553719,630.30513223,183.821,-8.09,-8.32462396694,582.05980554,151.921,0.7745,-0.0587396694215,361.555012451,125.529,13.4555,13.813643595,406.395437161,137.225,0.162,0.190141528926,0.0281988281101,0.997,0.065,0.265854338843,0.130414833122,0.997,0.028,0.087125,0.0187242787965,0.999,0.041,0.153563016529,0.068843514624,0.999,0.038,0.162977272727,0.0752534333678,1.0,0.048,0.130702479339,0.0480356759443,0.999,0.092,0.232060950413,0.0968057163264,0.999,0.036,0.0858243801653,0.0197444877527,0.999,0.0645,0.210393595041,0.0928861271077,0.998,0.037,0.0834287190083,0.0166202015306,0.998,0.085,0.126183884298,0.0269405839552,0.997,0.758,0.613832644628,0.160978684802,0.984,4.0,11.0,1.0,261.834,272.14322,0.218,0.0,0.0,-9.568,88.641,0.733637283363
149.98421,149.867221024,7522.01385944,298.03223,150.87412,150.754299686,7581.73166962,300.9924,144.11289,148.56923,6581.00797196,283.36735,-12.407,-12.6923629977,28.4191514178,59.789,0.04517,0.0542801483216,0.00119662371778,0.3507,-22.179,-22.1721514442,38.4668252136,53.886,140.52259,145.587026995,7624.39714424,301.45633,150.947785,150.828221956,7581.75112004,301.4362,42.969,42.7078259173,27.0568044763,54.606,-32.209,-28.6054496487,1803.02709708,338.445,-15.66,-11.5924434036,1379.04673017,241.168,-7.803,-7.9566323185,1997.32144721,360.237,5.38,5.62896799375,491.09424098,160.412,2.219,6.91903200625,1089.01233801,286.747,-14.318,-15.2986330991,530.350239141,204.591,-11.827,-9.02611709602,670.292312665,232.485,-10.658,-10.3180562061,261.396808492,105.62,-7.034,-6.83222248244,426.338082276,158.557,2.789,1.52217252147,325.467425062,166.842,13.476,12.3888860265,252.785073979,115.705,0.259,0.357454332553,0.0933341167669,0.992,0.189,0.284362997658,0.0704826371632,0.989,0.343,0.446849336456,0.122593458175,0.993,0.156,0.207152224824,0.0305957793257,0.994,0.322,0.432844652615,0.113955119505,0.993,0.161,0.228991412959,0.042697594774,0.991,0.267,0.350272443404,0.0717444027457,0.984,0.315,0.424416081187,0.10885698925,0.989,0.146,0.227966432475,0.0533473720192,0.994,0.215,0.37837314598,0.126920639841,0.994,0.131,0.202711163154,0.0418509485795,0.995,0.2,0.324206088993,0.0956510394945,0.993,4.0,7.0,1.0,301.058,303.0722,1.634,0.0,0.0,-8.947,101.508,0.732924130048
97.956315,97.9219140741,3232.3074774,195.02183,98.87426,98.8332500693,3247.48860877,196.86319,45.44597,64.659295,4264.68013239,183.61485,-7.429,-8.06748010974,13.9016875829,57.751,0.04404,0.052620877915,0.00115912359758,0.34749,-15.555,-16.2686035665,34.3343875123,55.01,98.83819,100.251275583,3041.41650384,197.22281,98.759925,98.7193424596,3247.50245769,197.09138,48.489,47.9269890261,17.5287251082,54.614,-21.335,-19.0144238683,1005.89501006,270.006,-0.097,0.0392592592593,1760.74507512,244.179,-2.784,-5.43606858711,1181.88351863,368.875,-11.581,-12.6003360768,510.036391746,145.951,-7.603,-0.491864197531,869.160428658,233.369,3.303,2.08106721536,401.220620974,159.869,-4.481,-2.52573388203,428.441163649,191.448,3.619,3.46613717421,169.427438741,80.25,-3.244,-3.10585048011,284.811379109,137.889,-1.503,-3.1482866941,262.044351368,148.92,-7.139,-8.3162345679,215.655699568,116.634,0.302,0.404717421125,0.0992743508762,0.99,0.251,0.299312757202,0.0553034385341,0.991,0.249,0.365965706447,0.102506244366,0.995,0.175,0.244359396433,0.0464319778301,0.994,0.217,0.329341563786,0.0905219286017,0.987,0.232,0.341231824417,0.094803549824,0.991,0.308,0.379843621399,0.0762107053125,0.996,0.334,0.464732510288,0.123630313909,0.99,0.161,0.261367626886,0.066470989679,0.991,0.231,0.359764060357,0.0999181638112,0.997,0.119,0.18516872428,0.0353580442344,0.995,0.198,0.302625514403,0.0786107527647,0.994,4.0,9.0,0.0,197.851,203.80689,5.759,0.0,0.0,-6.124,131.447,0.731839164794
