barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
157.29023,157.134963874,8321.51564207,313.55535,158.70973,158.559353978,8358.98282059,316.40798,170.410255,158.661202143,9973.50003518,310.04936,-16.6385,-17.7862862958,22.2311699302,49.367,0.04131,0.0485707937585,0.000806137260632,0.23179,-28.422,-28.2165773406,26.4965460378,43.772,156.718365,157.370202815,8360.09810312,316.43361,158.70973,158.559848745,8330.77211181,316.40798,37.944,37.1748819539,16.4328252439,44.808,49.3135,53.6837639077,1243.03144557,268.341,-47.7865,-48.8697632293,1322.06501716,272.063,0.3555,-0.0550970149254,1952.70951816,304.428,1.6605,-0.0948412483039,942.512788374,218.737,-3.1275,-0.930098371777,1118.92657447,219.677,18.6945,18.2734518318,654.26690393,161.844,11.4565,13.6999796472,600.706388941,164.929,-12.647,-13.3368358209,440.509496076,150.975,5.0615,6.11287924016,338.73569514,117.321,-10.9595,-10.8275468114,393.350008569,165.225,-5.8875,-7.75356580733,288.141711992,124.419,0.465,0.527784260516,0.111468896469,0.987,0.5755,0.611437584803,0.0950201565521,0.989,0.2995,0.407831071913,0.0950976288581,0.982,0.2695,0.38494504749,0.0961806245243,0.993,0.227,0.293759837178,0.054105536623,0.99,0.1645,0.267913161465,0.06739619463,0.993,0.15,0.257710312076,0.0663855097037,0.992,0.1665,0.341544776119,0.123418154372,0.996,0.1145,0.203919945726,0.0457836950839,0.996,0.122,0.209394165536,0.0489028887312,0.994,0.1475,0.240684531886,0.0487676501407,0.994,0.117,0.214842605156,0.0519390186461,0.996,4.0,10.0,0.0,306.155,319.65995,0.189,0.0,0.0,-15.37,84.183,0.736727278188
179.76882,180.533204024,10934.9476898,360.15371,181.14678,181.916305212,11070.3821525,363.96126,175.34829,176.978213125,14466.5347421,358.77392,-16.678,-18.0592182203,23.3736721932,49.858,0.046635,0.0554330932203,0.00129803860893,0.27685,-31.0545,-30.6648248588,23.7111951642,42.728,181.774715,183.183428517,10916.9973427,364.7771,181.15166,181.916592195,11087.189409,364.49141,36.09,35.7881108757,13.8645218655,43.959,7.798,10.3341271186,3183.85821917,387.459,-81.911,-83.5891864407,1282.74509861,248.893,-9.8955,-8.16504943503,3632.90185182,345.145,0.481,-4.83622740113,1412.71790211,244.495,6.3865,7.88334463277,1791.29889526,257.361,8.5395,8.80521327684,854.26890862,272.54,6.8065,7.69058898305,755.494576036,246.399,0.0295,0.540394774011,574.994702584,173.497,6.1945,5.13001836158,511.534484125,155.196,-15.6895,-15.5969936441,666.601929919,147.485,0.983,0.812253531073,349.275832161,172.57,0.5365,0.535650423729,0.109135676525,0.994,0.4675,0.527155367232,0.0881158543921,0.956,0.218,0.286222457627,0.0501611856821,0.998,0.1185,0.185605225989,0.0376842290405,0.998,0.114,0.248293079096,0.0831825136809,0.994,0.177,0.284451977401,0.0770601488238,0.998,0.4705,0.547020480226,0.138423346332,0.997,0.194,0.322180084746,0.0949151490667,0.996,0.168,0.285906779661,0.0881916283156,0.996,0.2765,0.373973870056,0.0993851525658,0.988,0.1355,0.240540960452,0.0663009107516,0.995,0.3155,0.422076977401,0.132318590826,0.999,4.0,11.0,0.0,362.765,368.79628,0.183,0.0,0.0,-15.399,108.487,0.725725743672
142.94674,142.931149194,6811.52928067,284.38993,143.91175,143.891234318,6884.98204374,287.07957,152.2176,139.148218462,8384.12328555,281.98666,-15.1935,-17.0005649452,26.3117887966,50.419,0.044375,0.05205342723,0.00120647227573,0.45324,-28.0725,-28.0334655712,32.5873915587,46.753,144.773175,144.860635016,6759.8103864,287.59338,143.91271,143.891189846,6894.20128008,287.46977,38.4675,37.7405399061,20.0523785911,46.171,63.702,64.4557496088,2063.86104078,320.689,-26.902,-31.9463685446,1542.81437151,246.465,5.28,2.43839984351,3196.72595842,473.887,-5.133,-2.5768114241,922.765361507,225.442,0.2005,2.45255399061,1612.37798209,246.199,8.862,5.75460015649,535.106362591,158.357,5.3425,5.87967527387,574.564183035,165.54,2.294,2.78602503912,515.325663384,134.821,5.2215,5.44784741784,429.612685978,164.089,-12.228,-12.0345743349,450.859101074,143.166,-8.5565,-8.99191158059,313.854871541,137.701,0.778,0.692824726135,0.0940456046468,0.952,0.582,0.559266040689,0.0957272750752,0.987,0.2585,0.313827073552,0.0489057705659,0.992,0.3125,0.395917057903,0.076234781853,0.986,0.3075,0.342186228482,0.041856220405,0.986,0.4515,0.509226917058,0.119454522844,0.982,0.3065,0.344409233177,0.0532258708694,0.989,0.2505,0.307028169014,0.0468315938857,0.979,0.267,0.369581377152,0.101594947603,0.989,0.1685,0.239658841941,0.0493633217958,0.994,0.1685,0.277036776213,0.0653560197743,0.994,0.2795,0.366198748044,0.0776269917981,0.997,4.0,1.0,1.0,281.153,291.36934,0.183,0.0,0.0,-14.835,156.145,0.686882915683
181.73084,180.34364025,10839.596854,356.23943,180.89473,180.735919338,10892.1623508,360.17855,176.11853,167.775357059,12312.4162009,353.72075,-15.749,-16.9571974878,22.2863843804,38.943,0.04515,0.05492517097,0.00132770834946,0.311,-28.658,-28.7844982554,32.4452375926,45.324,181.89034,181.330891075,10874.738188,360.49057,180.89473,180.736208322,10875.5526997,360.17855,37.937,37.2643558967,20.1526552313,43.726,25.128,22.5426043266,3098.85413004,391.074,-57.001,-57.1856978367,1507.54459348,276.937,-1.709,-3.17678855548,2723.5666389,309.597,0.906,-1.52201884159,1173.30472728,222.93,5.409,6.61341730635,1728.34591944,225.764,10.889,9.97323726448,635.441737606,186.868,1.123,2.81489881368,799.474521424,243.372,1.788,1.8757320307,455.467801843,160.357,4.312,3.19260223308,544.910646011,151.948,-12.42,-14.0079441731,557.49349494,148.709,-3.882,-5.15768387997,327.915748781,117.496,0.906,0.716801116539,0.110779510341,0.98,0.504,0.537267969295,0.088115002861,0.992,0.226,0.321038381019,0.0773283607041,0.993,0.26,0.345048150733,0.0735538937038,0.994,0.163,0.226154919749,0.0373579522734,0.992,0.154,0.238598743894,0.0493002681631,0.996,0.191,0.308704815073,0.0849894069342,0.99,0.284,0.423503140265,0.120396042035,0.993,0.178,0.261953942777,0.0577992651502,0.996,0.143,0.228083740405,0.0509490104335,0.998,0.138,0.218021632938,0.0506368850868,0.998,0.243,0.282293091417,0.0466862267283,0.998,4.0,0.0,0.0,348.038,363.44118,0.0,0.0,0.0,-14.655,108.021,0.686864446296
195.9442,195.962676023,12792.7852288,390.48618,196.495105,196.519745226,12890.2151198,393.0822,180.28615,175.743643889,15481.0868553,386.0177,-16.169,-17.4508554283,21.8423017483,50.481,0.03873,0.0462760938352,0.000940831243771,0.3937,-29.736,-29.4109705401,30.1345678802,44.579,196.84694,196.934191495,12723.2887446,393.2215,196.49371,196.519730519,12878.060014,393.0822,37.557,36.8290594654,17.7244061432,46.49,52.483,52.1871620295,1885.72300033,326.654,-14.211,-14.3045935625,1638.82086322,277.228,25.382,23.500573377,2458.17182908,317.602,-5.874,-4.05769448991,1203.19159593,252.977,4.422,5.86795526459,1707.12009274,259.765,17.749,17.2293993453,509.386583874,155.851,7.493,8.90708128751,615.248960465,177.686,-6.077,-6.36905673759,418.4753581,144.645,8.717,7.38800054555,421.5182747,159.461,-6.824,-7.00719639935,476.20648717,138.293,5.536,4.46303000546,233.009238036,125.92,0.51,0.548417894163,0.087578734257,0.981,0.513,0.534637752319,0.101448615094,0.991,0.252,0.298952536825,0.0422971537756,0.994,0.318,0.399578832515,0.0855251777734,0.989,0.312,0.374352427714,0.0560058354237,0.987,0.621,0.601145117294,0.124611074413,0.986,0.293,0.348248772504,0.0618993751008,0.983,0.229,0.345653573377,0.0877016524927,0.988,0.427,0.492955264594,0.108896795598,0.991,0.189,0.261191489362,0.0534909415097,0.991,0.132,0.201739770867,0.0373004107314,0.997,0.154,0.21031096563,0.0329142371793,0.995,4.0,1.0,1.0,387.048,396.53832,0.183,0.0,0.0,-15.669,161.622,0.683082235457
153.955365,153.696497475,7749.21081885,303.95909,154.33223,154.072510691,7806.87451814,306.2429,126.67491,137.425173125,8352.36328886,299.81115,-15.3525,-17.015560698,24.4912530824,50.559,0.04643,0.0528202427921,0.00102185357581,0.34517,-29.302,-29.1411153263,29.5160439488,44.108,155.504535,153.761288194,7771.21485159,306.90558,154.33223,154.072148022,7816.57542401,306.6321,38.0205,37.2366411229,16.8969909873,45.317,68.075,65.4907420334,2272.99875285,364.538,-35.63,-36.7747473445,1955.99854915,291.36,6.9605,7.02283383915,3483.85616792,380.745,-4.7635,-5.42237708649,1019.79414143,230.091,10.109,11.0414119879,1978.55006218,278.084,7.892,5.56698103187,592.531242544,141.628,3.9915,5.66170333839,529.713657567,184.292,-9.586,-9.78038846737,430.811971354,148.718,7.409,7.72108573596,383.80705035,147.923,-13.323,-13.3621965099,495.541996879,151.281,-0.1115,-1.22685128983,262.579204385,114.731,0.469,0.508918816388,0.086470960784,0.979,0.6035,0.594015174507,0.103589544535,0.984,0.268,0.374218512898,0.0871666669714,0.986,0.317,0.375530349014,0.0616962445266,0.981,0.614,0.593962822458,0.0956674606816,0.959,0.2665,0.348695751138,0.0715863057634,0.99,0.194,0.32282245827,0.0895284798598,0.987,0.3085,0.420861911988,0.113630258625,0.988,0.2505,0.336489377845,0.0804271375958,0.991,0.2355,0.391522003035,0.118800647088,0.993,0.159,0.223081183612,0.0412845707992,0.997,0.228,0.318760242792,0.0736648013936,0.997,4.0,11.0,0.0,298.951,307.82649,0.183,0.0,0.0,-14.822,158.749,0.681079502158
119.93275,120.043477537,4878.3351537,239.78004,121.53665,121.62114763,4951.20978711,242.93932,138.53996,123.04544625,5822.43091965,237.67887,-13.8635,-13.9366747104,48.6438203353,58.666,0.04279,0.0559444401544,0.00165121703492,0.36271,-23.4385,-24.2829295367,41.5052586871,50.22,121.59735,121.438233668,4719.26044156,243.46993,121.65334,121.733853907,4951.22230173,243.16358,41.393,40.9816766409,33.0174970451,53.557,14.4125,16.7640328185,1989.11283325,312.46,-46.8065,-46.9515859073,1914.49452102,387.361,-15.4535,-5.98593436293,3298.58060565,313.113,12.932,9.02790733591,1105.38066255,201.05,-11.4755,-6.66793725869,1304.62887855,215.847,-2.571,-2.82153667954,666.548110085,162.719,-1.43,-1.77318532819,777.749618197,188.377,7.1025,5.21951833977,384.553793557,140.197,10.81,12.5860472973,551.536837246,144.573,-7.3995,-7.96708108108,485.48504738,148.46,-4.972,-5.55201640927,226.505757323,116.65,0.391,0.434258687259,0.0969791686021,0.993,0.2945,0.42161969112,0.121239131427,0.993,0.1575,0.233641891892,0.0547869402914,0.995,0.3195,0.36391023166,0.0450492400111,0.976,0.962,0.729573359073,0.101844704078,0.992,0.331,0.354525096525,0.0364074231153,0.984,0.163,0.233343629344,0.0408184243899,0.994,0.1805,0.280343629344,0.073330517054,0.995,0.1975,0.270304054054,0.0661569625704,0.996,0.201,0.362611969112,0.121551723949,0.996,0.153,0.254046332046,0.0667279592433,0.995,0.211,0.316486486486,0.090908821246,0.998,4.0,11.0,0.0,231.004,246.62159,0.787,0.0,0.0,-6.581,133.842,0.680260193105
140.89663,140.012315556,6640.99778946,278.93332,141.613465,141.577606177,6649.8719783,281.75563,134.25914,140.163278889,8343.79135663,276.17081,-17.504,-18.8214089733,21.9560510769,43.703,0.0461,0.0558537532355,0.00204610272508,0.99305,-29.571,-29.8044736842,26.5135352277,46.027,139.16213,141.045175928,6600.4786294,282.67098,141.61287,141.57746387,6661.21302372,282.23469,36.653,35.9244365833,17.5979517714,42.979,18.238,20.7531354616,1949.54381837,347.237,-52.227,-53.1882942192,1328.62017862,225.839,-4.656,-7.3442295082,2500.81555517,353.072,-16.121,-14.0912510785,960.36860966,236.085,0.373,2.12177480587,1370.86517368,208.417,16.57,15.0665677308,576.655264368,147.994,-3.56,-3.04932096635,738.679531875,214.191,4.976,6.16373425367,362.685283356,141.844,6.351,5.80016134599,491.707703029,131.508,-12.759,-12.9866324418,491.008056529,140.736,-1.793,-1.3554529767,252.830257233,115.365,0.342,0.412490940466,0.0858630385288,0.989,0.585,0.560962036238,0.117016107273,0.994,0.259,0.393207937877,0.105684093949,0.997,0.347,0.386849870578,0.0671030231902,0.994,0.684,0.596585849871,0.147160919075,0.99,0.346,0.391849870578,0.0957110162877,0.994,0.189,0.27380672994,0.0600243491868,0.996,0.225,0.333877480587,0.0962709530649,0.995,0.136,0.232707506471,0.0608517134122,0.995,0.12,0.308451251079,0.125653405518,0.996,0.094,0.192726488352,0.0498088906789,0.994,0.156,0.245025884383,0.0584752469573,0.997,4.0,11.0,0.0,275.847,285.98812,0.0,0.0,0.0,-16.427,125.954,0.648612693673
144.530715,145.134063304,7073.278874,290.36054,145.344705,145.926826616,7104.57608031,291.97508,134.47373,132.018770909,8470.99917075,284.61576,-11.0415,-12.2771065705,51.5893903949,59.497,0.044235,0.0555309855769,0.00150377902251,0.27551,-22.1865,-22.6267195513,46.4312884438,52.271,142.581655,143.916090032,6868.86288165,292.16744,145.344705,145.926826616,7104.57608031,291.97508,43.4155,42.5170945513,38.5045364334,53.373,-5.8095,-3.87576041667,1977.23674038,334.563,-22.604,-19.5266241987,1840.99412897,278.001,3.3795,7.39692788462,3277.46186128,532.346,4.9315,6.80069471154,1039.67932151,241.03,-10.926,-10.0846418269,1613.32339475,339.738,20.5405,20.273818109,975.071376492,206.549,1.451,0.825360576923,634.798653399,184.23,1.383,2.23218669872,431.854015343,140.795,11.482,10.6384871795,465.30129996,157.367,-3.8715,-3.73854567308,481.115158642,147.398,9.0955,10.0836866987,367.575008212,117.126,0.4035,0.439261217949,0.0944514782395,0.997,0.244,0.337743589744,0.0763005352153,0.991,0.139,0.199012820513,0.0331612402202,0.999,0.178,0.293586538462,0.0826203034085,0.996,0.156,0.215079326923,0.0362174880983,0.997,0.1625,0.269470352564,0.0701134157877,0.994,0.228,0.363897435897,0.112946744288,0.99,0.224,0.294271634615,0.0720891337467,0.998,0.4905,0.52037099359,0.143686183678,0.995,0.217,0.329181089744,0.0858606707321,0.993,0.21,0.34240224359,0.103362451982,0.99,0.2945,0.468299679487,0.167967844487,0.999,4.0,6.0,1.0,280.335,296.30649,0.386,0.0,0.0,-7.507,186.114,0.62103469641
123.22725,122.463076056,4981.41707573,243.77726,123.7332,122.974160194,5009.80445312,245.73592,117.346275,112.787526667,4897.34888773,238.33015,-22.0675,-21.8572731755,104.73425594,56.851,0.041495,0.0468168639053,0.00101525439549,0.22647,-35.4105,-36.539260355,50.4987221768,50.18,123.34472,123.086703757,5069.90039788,246.20993,123.7332,122.974160194,5009.80445312,245.73592,31.7365,31.033969428,52.6427823985,50.058,-57.156,-51.3989358974,8314.67293722,477.861,-27.274,-37.5256370809,3833.52634672,371.788,32.1195,44.2482021696,6125.70634447,388.165,-4.761,-3.54103254438,1761.80598442,293.806,-12.3305,-1.70652859961,2179.23060495,391.511,50.967,43.6333668639,1751.95464283,240.985,-0.5285,-1.18665680473,1404.78364551,238.76,-18.927,-21.5037406312,1082.35540758,216.998,12.308,9.27575838264,763.328139528,195.539,5.2785,2.05250295858,811.752924785,189.856,16.9315,21.5135177515,995.075539135,154.715,0.27,0.338492110454,0.0577614333697,0.994,1.0,0.782177514793,0.105585136141,0.991,0.301,0.333206114398,0.0459636823689,0.996,0.1285,0.199207100592,0.0372088210147,0.998,0.1225,0.202931952663,0.0458231423124,0.999,0.105,0.174935897436,0.0317403380999,0.999,0.0885,0.25759270217,0.106844180262,0.999,0.1715,0.273607495069,0.0692352601411,0.999,0.322,0.437569033531,0.136846971073,0.996,0.18,0.261688362919,0.0672822441052,1.0,0.094,0.150853057199,0.0275963857056,1.0,0.126,0.213115384615,0.0596133150888,0.999,4.0,6.0,0.0,234.44,248.86812,0.198,0.0,0.0,-12.715,175.615,0.604367554959
