barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
90.70795,90.4669573684,2709.91113225,177.78625,91.9679,92.0543861472,2782.8982984,182.58044,71.12443,80.4994142857,3826.17700382,172.89647,-18.273,-20.0026506329,116.48575961,51.498,0.06406,0.116658151899,0.0259040363067,1.75323,-21.457,-24.1412607595,136.175703048,52.633,102.44304,96.9593974684,2709.32241098,183.85764,92.124,92.2529251082,2782.90431639,182.98316,40.096,37.8259189873,124.331964581,52.719,-102.351,-90.9650379747,3555.05466155,399.014,45.725,34.3646126582,2182.88467832,347.705,-7.944,-7.88792151899,698.387490969,252.209,-2.076,1.29714177215,723.907940598,138.205,-24.558,-22.5495493671,324.260505154,175.547,-1.276,-3.1730278481,360.232422245,140.792,-2.595,-2.91861518987,190.942622475,88.202,2.928,-0.426835443038,332.786450659,103.762,-0.947,-2.05677721519,106.637732178,77.435,2.426,1.78481518987,127.156270024,104.835,0.7,0.939805063291,129.917987073,66.784,0.302,0.386815189873,0.0802868341996,0.992,0.25,0.323858227848,0.0713340254703,0.989,0.289,0.371579746835,0.0885193828809,0.992,0.146,0.183336708861,0.0224531499183,0.991,0.304,0.427708860759,0.0973420240987,0.981,0.323,0.438298734177,0.109842163922,0.986,0.245,0.326774683544,0.0696540783464,0.991,0.33,0.425367088608,0.10536200955,0.988,0.229,0.290949367089,0.060884078449,0.991,0.448,0.490693670886,0.108851311226,0.983,0.244,0.301496202532,0.0649161588463,0.992,0.284,0.348058227848,0.0796587282551,0.986,4.0,9.0,0.0,168.803,188.36853,3.181,0.0,0.0,-11.551,75.126,0.859013045373
77.30082,77.2855705455,1958.37681136,150.62014,77.86666,77.8451053047,2016.64299192,155.11615,72.566985,67.5838466667,2737.33520096,152.12646,-9.975,-10.8703493045,36.4377398996,56.542,0.04405,0.0564576816074,0.00228529136186,0.45109,-18.791,-19.0219010819,45.3586073936,53.698,74.54472,75.4440336012,2105.28243914,155.72739,77.7252,77.7055862724,2016.63223047,155.40025,46.063,45.4816166924,37.6670380045,54.379,7.877,13.5481313756,2019.28812505,298.386,40.035,43.1252148377,1783.22346772,278.685,10.626,9.6819381762,1166.9860305,239.523,-22.709,-22.7459799073,707.852097065,170.42,-1.5,1.29035857805,742.11783385,315.582,-7.735,-9.05545440495,554.346544987,166.092,-3.78,-6.54482071097,495.025747894,154.293,5.404,4.01767542504,278.245417357,100.736,2.567,3.00868006182,249.517083813,106.609,6.075,6.03516846986,215.758720737,127.327,16.552,14.834194745,365.81534045,127.863,0.473,0.545426584235,0.129773759293,0.99,0.254,0.312508500773,0.0521405250437,0.983,0.301,0.493148377125,0.142005950164,0.973,0.175,0.250018547141,0.0512286920826,0.983,0.206,0.302661514683,0.0799141620892,0.988,0.239,0.346916537867,0.0911304814421,0.985,0.148,0.177063369397,0.0172334380245,0.984,0.185,0.321188562597,0.0929978531613,0.987,0.157,0.255714064915,0.0647867945935,0.991,0.224,0.289350850077,0.0517049480016,0.977,0.162,0.266939721793,0.0631305203233,0.979,0.168,0.222537867079,0.0321409595398,0.984,5.0,5.0,1.0,151.017,156.9171,0.169,0.0,0.0,-7.896,107.669,0.784193676686
74.231535,74.1531866667,1856.95531285,145.84313,77.08771,76.9882733333,1963.81482611,152.87966,70.69475,67.7739675,2122.10216753,146.76802,-8.444,-9.34241565217,18.7449152411,55.485,0.04357,0.0479806782609,0.00062847493154,0.22138,-16.026,-17.3721113043,35.9319952711,51.172,74.78871,75.7114498435,1916.42172633,153.24812,77.08771,76.9893782817,1951.73175851,152.87966,47.752,46.7433756522,20.8658771771,53.132,38.642,37.5981617391,1211.50553059,241.433,50.299,44.3078782609,1265.13214681,212.659,12.804,11.3990365217,976.902183865,269.172,0.589,0.355570434783,400.785443664,127.317,-5.547,-0.850667826087,980.557869046,300.314,1.153,1.66415130435,290.112412855,100.995,-0.051,1.05202608696,478.049050551,198.675,2.767,3.20811478261,272.692194126,105.451,-1.482,-1.70870608696,292.76991923,130.12,0.703,0.538179130435,219.592504575,104.544,4.912,5.03330956522,141.26699093,88.439,0.308,0.418773913043,0.0989130758412,0.98,0.247,0.326829565217,0.0678213205172,0.968,0.258,0.319019130435,0.054573865721,0.965,0.226,0.272233043478,0.0325103978647,0.97,0.341,0.435579130435,0.0878233533036,0.978,0.263,0.404123478261,0.112233756927,0.978,0.247,0.315233043478,0.0584713926473,0.98,0.341,0.439175652174,0.081295351755,0.97,0.248,0.342504347826,0.0757946256333,0.976,0.227,0.303749565217,0.056837892065,0.981,0.197,0.251907826087,0.0369876210692,0.984,0.274,0.334372173913,0.0495351693127,0.974,5.0,0.0,1.0,144.689,156.682,0.159,0.0,0.0,-7.83,84.268,0.740039541069
74.56508,74.9091684783,1895.06891712,148.32733,77.314765,76.8202705612,1966.57527725,152.26673,81.40362,76.3105377778,2290.39169348,146.15415,-16.926,-18.1819194444,45.9669959963,54.505,0.07496,0.127271583333,0.0226071485117,1.13468,-21.5655,-22.6847611111,53.1966785874,51.462,69.44499,73.4913672222,1889.8039071,152.84268,77.31476,76.8983872379,1966.05483771,152.65954,40.595,39.384925,45.7210517472,51.966,-22.246,-31.4282361111,4179.38061257,376.135,12.527,11.7526361111,1807.03540661,231.793,-26.764,-26.9657416667,1367.5033719,381.314,13.983,13.8778638889,1315.08313574,202.109,-20.0665,-17.3660222222,399.125621611,209.801,-34.4025,-35.6153694444,798.339137083,178.456,-4.8195,-3.42089444444,400.101016578,194.534,-9.8335,-7.64108888889,651.251016714,165.19,-4.9955,-3.85809722222,189.098295666,149.96,3.6705,2.27556666667,176.362498818,109.002,8.2855,8.73223888889,295.36083031,101.034,0.1605,0.27435,0.0817634163889,0.994,0.1235,0.208272222222,0.050649364784,0.992,0.2335,0.346127777778,0.103187244784,0.994,0.249,0.387772222222,0.123748759228,0.989,0.121,0.186402777778,0.0374562127701,0.99,0.141,0.293183333333,0.106796905278,0.995,0.1115,0.192763888889,0.0476156359182,0.994,0.215,0.333044444444,0.0935367146914,0.989,0.199,0.334813888889,0.11058556814,0.992,0.177,0.25955,0.0559110308333,0.988,0.2495,0.428763888889,0.152832163696,0.995,0.109,0.195611111111,0.0479374654321,0.993,4.0,3.0,1.0,150.256,157.25669,2.525,0.0,0.0,-13.253,76.098,0.73538587253
159.71121,159.652306298,8496.55060732,317.56963,161.02932,160.974713937,8614.19909547,321.06036,157.035155,152.678075714,10921.3436475,313.89811,-14.6085,-15.2935127273,33.3909505371,56.864,0.04523,0.0629937090909,0.00383633837388,0.63061,-24.4955,-24.5974390909,58.5089770827,52.727,160.87045,160.971556573,8627.30985739,321.5766,161.02932,160.974620685,8626.03383313,321.50495,40.848,40.3309836364,36.9864495834,54.006,-58.3025,-57.53934,2165.10186955,386.834,-18.359,-17.3871972727,3292.19223275,424.781,-10.28,-10.0970663636,2164.02912769,555.461,-4.122,-4.72835181818,741.203947319,193.443,-7.768,-1.19102909091,1349.06657646,283.472,1.9945,0.00243454545455,818.407951358,205.924,0.8105,-0.159990909091,597.202929493,239.603,-2.6265,-3.90857636364,355.727660895,164.996,-1.408,-1.15977454545,408.035577031,158.834,1.2045,-0.306884545455,426.219052006,156.452,4.814,3.09695636364,297.944701934,119.296,0.8115,0.697995454545,0.104684055434,0.99,0.3235,0.37744,0.0652568827636,0.996,0.264,0.334269090909,0.0671197348628,0.991,0.2575,0.346569090909,0.0813604924992,0.994,0.2175,0.276627272727,0.0463782665289,0.996,0.402,0.487317272727,0.132566854793,0.996,0.226,0.277125454545,0.0442044115339,0.994,0.333,0.401624545455,0.0832455908521,0.989,0.1705,0.228141818182,0.0370614089785,0.994,0.1275,0.171211818182,0.0238573196785,0.997,0.1705,0.26833,0.0703159156455,0.998,0.3355,0.384186363636,0.0689267825413,0.994,4.0,0.0,0.0,321.614,327.73179,2.392,0.0,0.0,-11.449,136.084,0.728519310291
150.29488,150.372298324,7526.7461587,298.91995,150.90261,150.982187849,7608.7558735,301.80257,171.170095,152.517723333,11250.7517733,295.07191,-12.408,-13.6573028391,37.5587604714,55.637,0.037745,0.0507426735016,0.00228112838016,0.86209,-24.009,-25.1548990536,58.820987116,51.841,151.35984,152.839078052,7564.24984314,302.37351,151.00394,151.083737077,7608.79357891,302.00892,42.113,41.1616096215,39.7591905456,52.176,-29.579,-27.7172894322,1889.99819519,418.168,-23.303,-22.0921119874,5098.46025974,391.427,5.1635,4.94288091483,2584.66456904,379.867,24.252,26.6112342271,1659.02169302,289.198,2.278,4.43694242902,1639.88663205,264.869,0.6365,-0.868404574132,865.862161709,202.461,-2.7645,-4.08426340694,729.516692439,178.791,-5.1305,-4.98178785489,476.056604355,163.167,-2.1955,-2.74116798107,388.431240296,139.709,-2.037,-1.52258438486,480.331607169,165.612,-6.748,-6.4817318612,409.294387819,129.516,0.5555,0.577294952681,0.130789551804,0.994,0.3355,0.415235804416,0.0970060240493,0.994,0.2385,0.342541798107,0.0812854028271,0.997,0.276,0.377462933754,0.0999658259132,0.997,0.257,0.328457413249,0.0707802182179,0.993,0.345,0.428731072555,0.113692453703,0.996,0.194,0.247619085174,0.0421124629481,0.995,0.2185,0.301978706625,0.0707240949725,0.999,0.206,0.29115851735,0.072599415724,0.995,0.165,0.232926656151,0.0483703282169,0.995,0.2345,0.327383280757,0.0781292553041,0.997,0.2345,0.327529179811,0.0728384731233,0.994,4.0,5.0,0.0,293.309,303.80363,2.473,0.0,0.0,-10.356,147.89,0.700377660706
242.10859,241.739872582,19361.2437148,480.18897,242.604415,242.234012753,19466.9249898,482.51346,204.59768,229.15247,24959.2021148,476.7448,-19.0835,-20.3084479167,39.8185208832,51.531,0.04693,0.0515761503623,0.000762172369963,0.24138,-30.4465,-31.1377563406,44.9228035584,44.018,243.28361,242.886697713,19599.3022233,482.90825,242.60074,242.233775002,19480.2381246,482.85049,35.7505,34.6967984601,35.00564392,45.615,15.0345,11.3317287138,2919.14838878,367.065,10.165,9.2503138587,4021.59811415,363.711,11.1965,12.1613428442,2485.62935053,449.281,3.888,2.80917346014,969.16942888,226.167,6.8365,9.33463813406,1553.8115243,281.455,1.3135,0.990613224638,587.740456693,190.796,0.337,-1.2092173913,507.056165805,185.489,6.2215,5.32263858696,394.9760391,142.724,4.788,4.43194972826,313.406254927,187.071,-5.637,-5.03467980072,377.130669401,159.976,10.055,7.83956974638,323.355498195,131.825,0.3645,0.444578804348,0.101616462087,0.998,0.3335,0.433567481884,0.113733716461,0.995,0.371,0.429505887681,0.105708947429,0.996,0.2135,0.275536231884,0.0510877803901,0.997,0.385,0.443576086957,0.0911377786311,0.988,0.198,0.269026721014,0.052389526007,0.997,0.296,0.343547554348,0.065483174369,0.997,0.354,0.420141757246,0.0928622910462,0.995,0.2775,0.383626358696,0.0934538382001,0.994,0.507,0.548733695652,0.121153584879,0.993,0.261,0.325053442029,0.0595801828324,0.993,0.1575,0.242223731884,0.0590899571904,0.998,4.0,7.0,1.0,479.742,484.77995,0.323,0.0,0.0,-16.189,181.262,0.699309247639
85.79391,85.7858312658,2475.08544123,170.10738,86.88047,86.8765452978,2522.72646482,173.38844,98.06063,83.3060383333,3221.8991627,167.05802,-8.554,-10.1477097662,48.6833266132,57.037,0.04054,0.0441017744154,0.000597090730139,0.29083,-19.288,-19.9585213205,51.4253157709,52.854,84.12889,84.5509697937,2486.36009418,173.57791,86.88047,86.8764427002,2514.85260838,173.38844,46.819,45.4454415406,45.8229622741,53.37,-49.761,-50.2154786795,1281.16072764,315.362,51.427,49.5927909216,1896.97421711,228.427,23.884,21.9186299862,801.118035908,206.885,-9.995,-10.4322599725,568.865340872,147.473,7.669,10.5277579092,996.220705875,251.341,-2.812,-4.11317331499,416.126389172,119.79,-3.203,-5.89952957359,502.388434967,150.725,-3.3,-4.93945116919,257.24450304,103.246,-5.515,-5.54632049519,310.747635203,154.578,8.94,8.86127922971,245.703848355,139.042,9.128,9.21456946355,200.939483412,90.328,0.774,0.632405777166,0.140132871108,0.979,0.226,0.317515818432,0.0665324863385,0.982,0.354,0.467767537827,0.129495826291,0.99,0.158,0.204132049519,0.0326806538146,0.991,0.133,0.191729023384,0.0296819884699,0.988,0.164,0.277968363136,0.0900858325617,0.989,0.112,0.165272352132,0.0259072463195,0.96,0.279,0.391665749656,0.108091939171,0.982,0.153,0.227290233838,0.0430413146639,0.981,0.194,0.253265474553,0.0452977850941,0.98,0.154,0.250100412655,0.0629261068361,0.989,0.154,0.192759284732,0.0185936160589,0.982,4.0,0.0,0.0,166.023,176.06485,2.961,0.0,0.0,-7.388,110.042,0.698223513947
83.31458,83.8158397015,2345.02589005,167.82614,83.31458,83.8158397015,2345.02589005,167.82614,79.96834,82.1609688889,2697.43108705,162.16179,-9.3755,-10.1620833333,16.9406865235,25.547,0.05466,0.0736436178862,0.010445905956,1.50824,-20.1985,-19.0385914634,33.7381173798,54.04,81.667325,82.9416496748,2170.05551357,168.09805,83.469385,83.85283103,2339.82544681,167.82614,46.036,45.6956117886,18.1929052538,36.085,15.119,12.8508313008,1636.87502318,248.748,-1.926,4.07377642276,2905.88939567,277.01,-10.079,-9.4542601626,1850.70683119,371.941,12.639,8.74823170732,877.78971165,158.383,0.6755,3.04428455285,826.428622094,201.522,-4.1785,-5.73554471545,694.366782768,174.621,-1.302,-0.344664634146,379.544154727,124.738,8.4345,11.0457886179,638.583333012,172.273,7.293,7.3949695122,253.027298725,120.825,-5.715,-7.74833333333,384.198640551,134.727,-3.943,0.733536585366,467.517241574,136.385,0.3065,0.390743902439,0.0787594913246,0.988,0.2365,0.346069105691,0.0844699179886,0.978,0.2625,0.454213414634,0.155481062178,0.985,0.1495,0.204079268293,0.0311058168873,0.994,0.166,0.258069105691,0.0623802147366,0.987,0.083,0.132556910569,0.020118031314,0.996,0.136,0.230182926829,0.0610637592207,0.988,0.2205,0.306762195122,0.0701680593025,0.991,0.151,0.254682926829,0.065253236863,0.993,0.311,0.471101626016,0.136541831136,0.983,0.2075,0.286961382114,0.0671002363135,0.995,0.2715,0.392941056911,0.105593478233,0.992,1.0,7.0,1.0,165.79,170.05669,0.0,0.0,0.0,-7.568,95.63,0.692026453363
170.36752,170.435104714,9674.53553815,339.15775,171.12212,171.18553046,9781.5022785,342.13628,141.49754,143.7307325,9126.59747532,335.55442,-12.076,-13.1794655547,31.3967945853,56.532,0.03952,0.0487543002175,0.00145380486947,0.52327,-23.249,-23.7794408992,42.7173141247,53.27,176.15914,174.162244431,9785.98262206,342.59569,171.21618,171.279283226,9781.50687374,342.32175,42.928,42.1543212473,28.54354225,53.17,27.391,32.2561501088,1745.56863242,334.879,-13.37,-11.4295960841,2172.8924728,287.542,3.634,2.27894198695,1797.3068517,401.296,8.666,6.44773531545,1120.69275171,195.563,2.73,6.95426033358,1300.20255366,272.25,-20.748,-21.2793654822,613.919231969,169.237,-2.161,-2.40436693256,446.365156357,146.478,-0.14,-0.776963741842,369.809255474,136.465,0.668,0.288069615664,331.52671572,149.76,-0.562,-0.0261232777375,431.577937358,131.023,-0.532,-0.761525018129,269.664285009,112.82,0.562,0.576026831037,0.112073287895,0.976,0.354,0.429943437273,0.0985837299406,0.997,0.227,0.290200145033,0.0547328605946,0.993,0.33,0.428346627991,0.0993424150194,0.98,0.234,0.305195068891,0.0610845108966,0.992,0.389,0.466603335751,0.104785189285,0.996,0.198,0.263693981146,0.0490697366643,0.997,0.332,0.415018129079,0.0915497320861,0.99,0.29,0.394537345903,0.0972829027025,0.998,0.162,0.247775924583,0.0526861695146,0.994,0.21,0.335134880348,0.0956364401104,0.992,0.148,0.234277737491,0.0502115334493,0.994,4.0,5.0,0.0,335.273,345.5473,1.193,0.0,0.0,-10.505,159.987,0.683940655054
